類別,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註,placemark_address
工廠,E012,高原里,"24.830395545909838, 121.19809922806489",1,"73 ",龍潭分局,O,,"工廠 E012 桃園市龍潭區高原里高原路367巷184號"
工廠,E013,高平里,"24.84021262900838, 121.20600951234667",1,"374 ",龍潭分局,,,"工廠 E013 桃園市龍潭區高平里高楊北路109號"
工廠,E014,高原里,"24.842222939762372, 121.19644915467572",1,"97 ",龍潭分局,,,"工廠 E014 桃園市龍潭區高原里中原路二段176號"
工廠,E015,高原里,"24.844008463751795, 121.19741682399163",2,"2588 ",龍潭分局,,,"工廠 E015 桃園市龍潭區高原里中原路二段100號"
工廠,E016,高原里,"24.84487805579808, 121.19785206816907",1,"426 ",龍潭分局,O,,"工廠 E016 桃園市龍潭區高原里中原路二段46號"
工廠,E017,高原里,"24.84487805579808, 121.19785206816907",1,"457 ",龍潭分局,,,"工廠 E017 桃園市龍潭區高原里中原路二段46號"
工廠,E018,高原里,"24.824232729343425, 121.19204824854259",1,"241 ",龍潭分局,,,"工廠 E018 桃園市龍潭區高原里中原路三段390號"
工廠,E020,高平里,"24.81754277130101, 121.22242645437544",1,"256 ",龍潭分局,,,"工廠 E020 桃園市龍潭區高平里龍源路800號"
工廠,E023,高原里,"24.827411149073157, 121.18823917063847",1,"49 ",龍潭分局,,,"工廠 E023 桃園市龍潭區高原里福源路138號"
工廠,E024,高原里,"24.84429037294619, 121.20000528816564",1,"449 ",龍潭分局,,,"工廠 E024 桃園市龍潭區高原里高楊北路451巷100號"
工廠,E025,高平里,"24.828520744167314, 121.20626144118197",1,"226 ",龍潭分局,,,"工廠 E025 桃園市龍潭區高平里中豐路高平段576號"
工廠,E026,高原里,"24.84429037294619, 121.20000528816564",2,"1358 ",龍潭分局,O,,"工廠 E026 桃園市龍潭區高原里高楊北路451巷100號"
工廠,E027,高原里,"24.84429037294619, 121.20000528816564",1,"637 ",龍潭分局,,,"工廠 E027 桃園市龍潭區高原里高楊北路451巷100號"
工廠,E028,高原里,"24.827403882030378, 121.18847961049781",1,"37 ",龍潭分局,,,"工廠 E028 桃園市龍潭區高原里福源路138號"
工廠,E029,高原里,"24.827403882030378, 121.18847961049781",1,"65 ",龍潭分局,,,"工廠 E029 桃園市龍潭區高原里福源路138號"
工廠,E030,高原里,"24.827403882030378, 121.18847961049781",1,"72 ",龍潭分局,,,"工廠 E030 桃園市龍潭區高原里福源路138號"
工廠,E031,高原里,"24.827403882030378, 121.18847961049781",1,"301 ",龍潭分局,,,"工廠 E031 桃園市龍潭區高原里福源路138號"
工廠,E035,高原里,"24.827403882030378, 121.18847961049781",1,"280 ",龍潭分局,,,"工廠 E035 桃園市龍潭區高原里福源路138號"
工廠,E037,高平里,"24.832274636637223, 121.21380972804566",1,"193 ",龍潭分局,,,"工廠 E037 桃園市龍潭區高平里高楊南路320巷13弄8號"
工廠,E038,高原里,"24.837984493025797, 121.18702077671468",2,"1133 ",龍潭分局,,,"工廠 E038 桃園市龍潭區高原里渴望路205巷66號"
工廠,E039,高原里,"24.837309257848712, 121.1876621924859",2,"2889 ",龍潭分局,,,"工廠 E039 桃園市龍潭區高原里渴望路237巷01號"
高原國小,E040,高原里,"24.83012648786892, 121.19389041085086",2,"537 ",龍潭分局,,,"高原國小 E040 桃園市龍潭區高原里高原路568號"
工廠,E041,高原里,"24.836527163370373, 121.18936270950051",1,"12714 ",龍潭分局,O,,"工廠 E041 桃園市龍潭區高原里渴望路183號"
工廠,E042,高原里,"24.82355295916248, 121.21164934338911",2,"378 ",龍潭分局,,,"工廠 E042 桃園市龍潭區高原里龍源路245號"
新生醫護專科學校,E043,高平里,"24.831948873902995, 121.20863406826714",1,"11793 ",龍潭分局,,,"新生醫護專科學校 E043 桃園市龍潭區高平里中豐路高平段418號"
新生醫護專科學校,E044,高平里,"24.831948873902995, 121.20863406826714",2,"2755 ",龍潭分局,,,"新生醫護專科學校 E044 桃園市龍潭區高平里中豐路高平段418號"
新生醫護專科學校,E046,高平里,"24.831948873902995, 121.20863406826714",1,"388 ",龍潭分局,,,"新生醫護專科學校 E046 桃園市龍潭區高平里中豐路高平段418號"
工廠,E047,高原里,"24.841629875696633, 121.19630601085113",1,"5017 ",龍潭分局,O,,"工廠 E047 桃園市龍潭區高原里中原路二段188號"
工廠,E048,高原里,"24.850259684058752, 121.2001798666719",1,"664 ",龍潭分局,O,,"工廠 E048 桃園市龍潭區高原里中原路一段360號"
工廠,F001,三和里,"24.843190093878043, 121.18785498967885",2,39779,龍潭分局,O,,"工廠 F001 桃園市龍潭區三和里新和路1號"
工廠,F003,三水里,"24.871550615217746, 121.17229882804652",1,98,龍潭分局,,,"工廠 F003 桃園市龍潭區三和里大北坑街一段220巷66號"
工廠,F004,三和里,"24.87139505026882, 121.17276381270297",1,68,龍潭分局,,,"工廠 F004 桃園市龍潭區三水里大北坑街一段220巷65號"
工廠,F006,三和里,"24.870047016277887, 121.17654606667233",1,86,龍潭分局,,,"工廠 F006 桃園市龍潭區三和里店湖一路90號"
工廠,F008,三和里,"24.870847032990643, 121.17873753362603",1,169,龍潭分局,,,"工廠 F008 桃園市龍潭區三和里朝鳳路1號"
工廠,F009,三和里,"24.869648592742635, 121.1763097954073",1,241,龍潭分局,,,"工廠 F009 桃園市龍潭區三和里店湖一路126號"
工廠,F010,三和里,"24.859601188184726, 121.19287172584055",2,8411,龍潭分局,O,,"工廠 F010 桃園市龍潭區三和里華映路1號"
工廠,F011,三和里,"24.859601188184726, 121.19287172584055",2,18227,龍潭分局,O,,"工廠 F011 桃園市龍潭區三和里華映路1號"
工廠,F012,三和里,"24.859601188184726, 121.19287172584055",2,8346,龍潭分局,O,,"工廠 F012 桃園市龍潭區三和里華映路1號"
工廠,F013,三和里,"24.859601188184726, 121.19287172584055",2,1031,龍潭分局,,,"工廠 F013 桃園市龍潭區三和里華映路1號"
諾瓦國小,F014,三和里,"24.844542328984165, 121.17766220876543",1,"996 ",龍潭分局,,,"諾瓦國小 F014 桃園市龍潭區三和里渴望路660巷50弄1號"
