建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,placemark_address
,麥豐村,"麥寮鄉麥豐村光復南路266號 ","23.7444, 120.25651",1.0,902.0,臺西分局,715.0,麥寮鄉麥豐村光復南路266號
五星級商務套房,麥豐村,"麥寮鄉麥豐村西濱路2段151號 ","23.74951, 120.26053",1.0,107.0,臺西分局,716.0,麥寮鄉麥豐村西濱路2段151號
鶴祥建設公司,麥豐村,"麥寮鄉麥豐村中華路52號 ","23.75041, 120.25886",1.0,871.0,臺西分局,717.0,麥寮鄉麥豐村中華路52號
聚安旅社,麥豐村,"麥寮鄉麥豐村中正路25號 ","23.74832, 120.25502",1.0,41.0,臺西分局,718.0,麥寮鄉麥豐村中正路25號
黃外科醫院,麥豐村,"麥寮鄉麥豐村新興路37號 ","23.74726, 120.2516",1.0,275.0,臺西分局,719.0,麥寮鄉麥豐村新興路37號
麥寮新市鎮大廈,麥豐村,"麥寮鄉麥豐村光龍江街19號 ","23.7485, 120.25662",1.0,463.0,臺西分局,720.0,麥寮鄉麥豐村光龍江街19號
鶴祥建設公司,麥豐村,"麥寮鄉麥豐村光龍江街22號 ","23.7485, 120.25662",1.0,727.0,臺西分局,721.0,麥寮鄉麥豐村光龍江街22號
,湖西村,"四湖鄉湖西村中正路410號 ","23.63508, 120.22518",1.0,221.0,臺西分局,722.0,四湖鄉湖西村中正路410號
"四湖鄉公所
",湖西村,四湖鄉湖西村中山西路44號,"23.63801, 120.22434",1.0,422.0,臺西分局,723.0,四湖鄉湖西村中山西路44號
"四湖
參天宮
",湖西村,四湖鄉湖西村關聖路87號,"23.63904, 120.22679",1.0,3343.0,臺西分局,724.0,四湖鄉湖西村關聖路87號
"四湖零售市場
",湖西村,"四湖鄉湖西村新市街102號 ","23.63665, 120.2251",1.0,135.0,臺西分局,725.0,四湖鄉湖西村新市街102號
臺西鄉公有市場,臺西村,臺西鄉臺西村中山路297號,"23.70062, 120.19538",1.0,647.0,臺西分局,726.0,臺西鄉臺西村中山路297號
鍾慶工業有限公司,興華村,"麥寮鄉興華村忠興路61號 ","23.75193, 120.25159",1.0,583.0,臺西分局,727.0,麥寮鄉興華村忠興路61號
