類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
公寓,成功里2鄰,苗栗縣頭份市成功里2鄰成功路111號,"24.695509540733678, 120.91034916723335",1.0,33,頭份分局,頭份派出所,
公寓,成功里1鄰,苗栗縣頭份市成功里1鄰忠孝一路290號,"24.693751772879786, 120.91004010956155",1.0,34,頭份分局,頭份派出所,
公寓,成功里4鄰,苗栗縣頭份市成功里4鄰成功路41號,"24.693847524940765, 120.90835520956145",1.0,34,頭份分局,頭份派出所,
公寓,成功里4鄰,苗栗縣頭份市成功里4鄰成功路53號,"24.69392843386244, 120.90852181141277",1.0,42,頭份分局,頭份派出所,
公寓,成功里4鄰,苗栗縣頭份市成功里4鄰成功路39號,"24.6938385430874, 120.90819299421788",1.0,36,頭份分局,頭份派出所,
公寓,成功里4鄰,苗栗縣頭份市成功里4鄰山下街32號,"24.693892120317216, 120.90757155003854",1.0,54,頭份分局,頭份派出所,
公寓,成功里4鄰,苗栗縣頭份市成功里4鄰山下街35號,"24.694160324304445, 120.90734332490507",2.0,388,頭份分局,頭份派出所,
公寓,蟠桃里2鄰,苗栗縣頭份市蟠桃里2鄰建國路13號,"24.693469973475086, 120.91397655188966",1.0,34,頭份分局,頭份派出所,
公寓,蟠桃里6鄰,苗栗縣頭份市蟠桃里6鄰節約街28巷11號,"24.694479142185138, 120.90843099606921",1.0,20,頭份分局,頭份派出所,
公寓,成功里3鄰,苗栗縣頭份市成功里3鄰節約街28巷15號,"24.694490223633284, 120.90850479606914",1.0,22,頭份分局,頭份派出所,
公寓,成功里3鄰,苗栗縣頭份市成功里3鄰節約街28巷13號,"24.694529423553483, 120.908486953741",1.0,20,頭份分局,頭份派出所,
公寓,蟠桃里5鄰,苗栗縣頭份市蟠桃里5鄰建國路193號,"24.696667339102618, 120.90836965374098",1.0,24,頭份分局,頭份派出所,
公寓,忠孝里2鄰,苗栗縣頭份市忠孝里2鄰建國路15號,"24.693432639186074, 120.91393042305388",1.0,34,頭份分局,頭份派出所,
公寓,忠孝里2鄰,苗栗縣頭份市忠孝里2鄰建國路17號,"24.693535021099596, 120.91392300956151",1.0,34,頭份分局,頭份派出所,
公寓,忠孝里2鄰,苗栗縣頭份市忠孝里2鄰建國路79號,"24.694421762238928, 120.9125781249051",1.0,40,頭份分局,頭份派出所,
公寓,忠孝里2鄰,苗栗縣頭份市忠孝里2鄰建國路77號,"24.69427018097471, 120.91259599606919",1.0,40,頭份分局,頭份派出所,
公寓,忠孝里2鄰,苗栗縣頭份市忠孝里2鄰建國路51號,"24.693804638603872, 120.91326382675634",1.0,164,頭份分局,頭份派出所,
公寓,忠孝里2鄰,苗栗縣頭份市忠孝里2鄰光大街46號,"24.69326663500169, 120.91240422305381",1.0,350,頭份分局,頭份派出所,
公寓,忠孝里2鄰,苗栗縣頭份市忠孝里2鄰建國路101號,"24.694846079938145, 120.91169878257688",1.0,382,頭份分局,頭份派出所,
大樓,成功里2鄰,苗栗縣頭份市成功里2鄰忠孝一路314號,"24.693983038324706, 120.90961183839745",2.0,1588,頭份分局,頭份派出所,
大樓,成功里1鄰,苗栗縣頭份市成功里1鄰忠孝一路306號,"24.693760195461188, 120.9098503518897",2.0,802,頭份分局,頭份派出所,
大樓,成功里2鄰,苗栗縣頭份市成功里2鄰節約街92巷1號之5,"24.694618328022187, 120.91008198257686",2.0,1362,頭份分局,頭份派出所,
公寓,後庄里8鄰,苗栗縣頭份市後庄里8鄰文化街115號,"24.69848421550696, 120.89898294024879",1.0,24,頭份分局,頭份派出所,
公寓,後庄里8鄰,苗栗縣頭份市後庄里8鄰文化街118號,"24.69970592391538, 120.89991978442829",1.0,33,頭份分局,頭份派出所,
公寓,合興里23鄰,苗栗縣頭份市合興里文化街29號,"24.696464219617074, 120.89788049606929",1.0,20,頭份分局,頭份派出所,
公寓,後庄里12鄰,苗栗縣頭份市後庄里後庄120號,"24.697975192033418, 120.89629858090804",1.0,28,頭份分局,頭份派出所,
大樓,後庄里20鄰,苗栗縣頭份市後庄里後庄130號,"24.697975192033418, 120.89629858090804",1.0,686,頭份分局,頭份派出所,
公寓,合興里23鄰,苗栗縣頭份市合興里信義路504弄41號,"24.6986704783426, 120.89527269421805",1.0,504,頭份分局,頭份派出所,
公寓,後庄里20鄰,苗栗縣頭份市後庄里20鄰文化街9號,"24.56149152912688, 120.82226865452962",1.0,30,頭份分局,頭份派出所,
公寓,合興里24鄰,苗栗縣頭份市合興里24鄰文化街32巷17號之1,"24.697270660470025, 120.89907456617247",1.0,66,頭份分局,頭份派出所,
華夏塑膠,田寮里15鄰,苗栗縣頭份市田寮里15鄰民族路571號,"24.68541909698526, 120.88957362615527",1.0,53,頭份分局,尖山派出所,
華夏塑膠,田寮里15鄰,苗栗縣頭份市田寮里15鄰民族路571號,"24.68541909698526, 120.88957362615527",1.0,784,頭份分局,尖山派出所,
華夏塑膠,田寮里15鄰,苗栗縣頭份市田寮里15鄰民族路571號,"24.68541909698526, 120.88957362615527",1.0,181,頭份分局,尖山派出所,
華夏塑膠,田寮里15鄰,苗栗縣頭份市田寮里15鄰民族路571號,"24.68541909698526, 120.88957362615527",1.0,106,頭份分局,尖山派出所,
公寓,田寮里16鄰,苗栗縣頭份市田寮里16鄰民族路716號,"24.6853680454746, 120.88714182800003",1.0,22,頭份分局,尖山派出所,
公寓,田寮里16鄰,苗栗縣頭份市田寮里16鄰民族路718號,"24.685581786989403, 120.88706745499024",1.0,22,頭份分局,尖山派出所,
公寓,田寮里15鄰,苗栗縣頭份市田寮里15鄰民族路681號,"24.685150194299066, 120.88687541266012",1.0,138,頭份分局,尖山派出所,
公寓,田寮里14鄰,苗栗縣頭份市田寮里14鄰民族路405號,"24.685444445331285, 120.8941742108151",1.0,32,頭份分局,尖山派出所,
公寓,田寮里14鄰,苗栗縣頭份市田寮里14鄰民族路525號,"24.68535719069512, 120.89081128382522",1.0,108,頭份分局,尖山派出所,
公寓,田寮里5鄰,苗栗縣頭份市田寮里5鄰民族路584號,"24.68572309643818, 120.89058428382512",1.0,100,頭份分局,尖山派出所,
公寓,自強里14鄰,苗栗縣頭份市自強里14鄰自強路55巷30號,"24.665724782078733, 120.8822360126598",1.0,26,頭份分局,頭份派出所,
公寓,忠孝里3鄰,苗栗縣頭份市忠孝里3鄰中華路13號之9,"24.664823684021112, 120.88127736848482",1.0,266,頭份分局,頭份派出所,
公寓,自強里13鄰,苗栗縣頭份市自強里13鄰中華路1103號,"24.67583081081068, 120.88482185314496",1.0,80,頭份分局,頭份派出所,
公寓,忠孝里11鄰,苗栗縣頭份市忠孝里11鄰中華路1119號之5,"24.6738577278518, 120.88752118594488",1.0,66,頭份分局,頭份派出所,
大樓,自強里14鄰,苗栗縣頭份市自強里14鄰中華路1095號,"24.687686237558786, 120.90966282569623",1.0,1608,頭份分局,頭份派出所,
公寓,自強里14鄰,苗栗縣頭份市自強里14鄰自強路2號,"24.690732531362354, 120.91250586802434",1.0,649,頭份分局,頭份派出所,
東園大飯店,忠孝里11鄰,苗栗縣頭份市忠孝里11鄰信東路115號,"24.688727035441858, 120.90981603918831",1.0,550,頭份分局,頭份派出所,
公寓,自強里14鄰,苗栗縣頭份市自強里14鄰自強路33號,"24.6896896412438, 120.9117524122044",1.0,26,頭份分局,頭份派出所,
公寓,自強里13鄰,苗栗縣頭份市自強里13鄰中華路1109號,"24.687882485362913, 120.90998288151634",1.0,65,頭份分局,頭份派出所,
公寓,東庄里2鄰,苗栗縣頭份市東庄里2鄰自強路119號,"24.688176636561334, 120.90857509686025",1.0,37,頭份分局,頭份派出所,
合作金庫,仁愛里8鄰,苗栗縣頭份市仁愛里8鄰仁愛路70號,"24.686516595012094, 120.90927492754831",1.0,450,頭份分局,頭份派出所,
公寓,忠孝里11鄰,苗栗縣頭份市忠孝里11鄰中華路1209號,"24.689474693538926, 120.9118748103524",1.0,193,頭份分局,頭份派出所,
大樓,自強里14鄰,苗栗縣頭份市自強里14鄰自強路75號,"24.68915030548611, 120.91061196617238",2.0,1096,頭份分局,頭份派出所,
公寓,忠孝里11鄰,苗栗縣頭份市忠孝里11鄰信東路88巷1號,"24.688623139364775, 120.91039264104037",1.0,33,頭份分局,頭份派出所,
公寓,自強里14鄰,苗栗縣頭份市自強里14鄰自強路55巷1號,"24.689405189814543, 120.91122462384439",1.0,26,頭份分局,頭份派出所,
公寓,自強里14鄰,苗栗縣頭份市自強里14鄰自強路55巷5號,"24.68932528995834, 120.91135053918835",1.0,26,頭份分局,頭份派出所,
公寓,自強里14鄰,苗栗縣頭份市自強里14鄰自強路55巷12號,"24.689078694189504, 120.91120553918833",1.0,26,頭份分局,頭份派出所,
公寓,忠孝里7鄰,苗栗縣頭份市忠孝里自強路55巷2號,"24.687531834334987, 120.90682273733631",1.0,26,頭份分局,頭份派出所,
公寓,自強里14鄰,苗栗縣頭份市自強里14鄰自強路55巷8號,"24.6892304268139, 120.91113299686035",1.0,26,頭份分局,頭份派出所,
公寓,自強里14鄰,苗栗縣頭份市自強里14鄰自強路55巷6號,"24.68921678634751, 120.91104808151637",1.0,26,頭份分局,頭份派出所,
公寓,忠孝里7鄰,苗栗縣頭份市忠孝里7鄰中華路982號,"24.68707128361188, 120.90885076617229",1.0,22,頭份分局,頭份派出所,
公寓,自強里14鄰,苗栗縣頭份市自強里14鄰自強路53號,"24.689603074011025, 120.91142611220431",1.0,38,頭份分局,頭份派出所,
公寓,自強里13鄰,苗栗縣頭份市自強里中華路1121號,"24.687901040720554, 120.9103020815163",1.0,56,頭份分局,頭份派出所,
公寓,山下里13鄰,苗栗縣頭份市山下里13鄰山下街304號,"24.702266360818196, 120.90950389686057",1.0,33,頭份分局,頭份派出所,
公寓,山下里13鄰,苗栗縣頭份市山下里13鄰山下街100號,"24.69628696270239, 120.90772559686044",1.0,30,頭份分局,頭份派出所,
公寓,山下里8鄰,苗栗縣頭份市山下里8鄰山下213號,"24.70232756069854, 120.90405576802455",1.0,33,頭份分局,頭份派出所,
公寓,山下里7鄰,苗栗縣頭份市山下里7鄰山下222號,"24.70228857248056, 120.9040879545326",1.0,44,頭份分局,頭份派出所,
頭份鎮農會,和平里9鄰,苗栗縣頭份市和平里9鄰中正路1號,"24.68433375350842, 120.90638933733615",1.0,133,頭份分局,頭份派出所,
公寓,和平里5鄰,苗栗縣頭份市和平里5鄰和平路79號,"24.685418193776556, 120.90683168336828",1.0,132,頭份分局,頭份派出所,
公寓,和平里9鄰,苗栗縣頭份市和平里9鄰中正路2號,"24.683667900137216, 120.90589338151611",1.0,160,頭份分局,頭份派出所,
公寓,和平里9鄰,苗栗縣頭份市和平里9鄰中正路6號,"24.683838242424628, 120.90607848336816",1.0,26,頭份分局,頭份派出所,
公寓,和平里9鄰,苗栗縣頭份市和平里9鄰中正路8號,"24.683797405830145, 120.9062993680242",1.0,26,頭份分局,頭份派出所,
公寓,和平里9鄰,苗栗縣頭份市和平里9鄰中正路10號,"24.683867796808222, 120.9063113391882",1.0,21,頭份分局,頭份派出所,
公寓,和平里9鄰,苗栗縣頭份市和平里9鄰東興路62號,"24.68354245182329, 120.90612575453218",1.0,33,頭份分局,頭份派出所,
公寓,和平里9鄰,苗栗縣頭份市和平里9鄰東興路64號,"24.683584351751247, 120.90598376617221",1.0,57,頭份分局,頭份派出所,
公寓,和平里11鄰,苗栗縣頭份市和平里11鄰東興路58號,"24.683506188795192, 120.90606278151623",1.0,26,頭份分局,頭份派出所,
頭份市公所,和平里11鄰,苗栗縣頭份市和平里中山路11號,"24.683292609468857, 120.9066572256962",1.0,1333,頭份分局,頭份派出所,
公寓,和平里11鄰,苗栗縣頭份市和平里11鄰民族路58號,"24.68406034793107, 120.9068778545322",1.0,26,頭份分局,頭份派出所,
公寓,和平里11鄰,苗栗縣頭份市和平里11鄰民族路39號,"24.683560194491527, 120.90677145453218",1.0,53,頭份分局,頭份派出所,
公寓,和平里11鄰,苗栗縣頭份市和平里11鄰民族路41號,"24.68355520033996, 120.90677664104027",1.0,53,頭份分局,頭份派出所,
公寓,和平里11鄰,苗栗縣頭份市和平里11鄰民族路43號,"24.68366318841458, 120.90666581035224",1.0,53,頭份分局,頭份派出所,
公寓,和平里11鄰,苗栗縣頭份市和平里11鄰民族路51號,"24.683732602972142, 120.90663092569622",1.0,25,頭份分局,頭份派出所,
公寓,和平里12鄰,苗栗縣頭份市和平里12鄰民族路46號,"24.68371970890095, 120.90711931405613",1.0,53,頭份分局,頭份派出所,
公寓,和平里12鄰,苗栗縣頭份市和平里12鄰民族路44號,"24.683396809330265, 120.90762657358025",1.0,38,頭份分局,頭份派出所,
公寓,和平里12鄰,苗栗縣頭份市和平里中山路25號,"24.683624654617766, 120.90730305453218",1.0,33,頭份分局,頭份派出所,
公寓,和平里13鄰,苗栗縣頭份市和平里13鄰東興路37巷43號,"24.682284599904026, 120.90502445453218",1.0,26,頭份分局,頭份派出所,
公寓,和平里13鄰,苗栗縣頭份市和平里13鄰東興路37巷45號,"24.682203905483156, 120.90499594104018",1.0,40,頭份分局,頭份派出所,
公寓,和平里13鄰,苗栗縣頭份市和平里13鄰東興路37巷47號,"24.68224249456516, 120.90483698151624",1.0,40,頭份分局,頭份派出所,
公寓,和平里13鄰,苗栗縣頭份市和平里13鄰東興路37巷55號,"24.68209409221889, 120.9048285698762",1.0,26,頭份分局,頭份派出所,
公寓,和平里13鄰,苗栗縣頭份市和平里13鄰東興路37巷56號,"24.68197710853541, 120.9047749256962",1.0,34,頭份分局,頭份派出所,
公寓,和平里14鄰,苗栗縣頭份市和平里14鄰東興路15巷8號,"25.050332235909305, 121.565683181524",1.0,29,頭份分局,頭份派出所,
公寓,和平里14鄰,苗栗縣頭份市和平里14鄰東興路21號,"24.682473718857622, 120.90711820003621",1.0,28,頭份分局,頭份派出所,
公寓,和平里14鄰,苗栗縣頭份市和平里14鄰東興路23號,"24.68247756746883, 120.90682483495624",1.0,41,頭份分局,頭份派出所,
公寓,和平里14鄰,苗栗縣頭份市和平里14鄰東興路43號,"24.682977798548567, 120.9066064656443",1.0,50,頭份分局,頭份派出所,
公寓,和平里14鄰,苗栗縣頭份市和平里和平73號,"24.68542352295788, 120.9070184987123",1.0,24,頭份分局,頭份派出所,
公寓,和平里14鄰,苗栗縣頭份市和平里和平74號,"24.685522800031375, 120.90705123918828",1.0,21,頭份分局,頭份派出所,
公寓,和平里14鄰,苗栗縣頭份市和平里和平45號,"24.684490892526068, 120.90763472569624",1.0,21,頭份分局,頭份派出所,
公寓,成功里15鄰,苗栗縣頭份市成功里15鄰1號,"24.698442263054403, 120.91003159500855",1.0,36,頭份分局,頭份派出所,"24.698108342986945, 120.91110553076466"
公寓,成功里15鄰,苗栗縣頭份市成功里15鄰2號,"24.698452010411025, 120.91007451035257",1.0,32,頭份分局,頭份派出所,"24.698108342986945, 120.91110553076466"
公寓,成功里15鄰,苗栗縣頭份市成功里15鄰3號,"24.69846175776686, 120.91007451035257",1.0,32,頭份分局,頭份派出所,"24.698108342986945, 120.91110553076466"
公寓,成功里15鄰,苗栗縣頭份市成功里15鄰5號,"24.69842276833892, 120.91016034104057",1.0,32,頭份分局,頭份派出所,"24.698108342986945, 120.91110553076466"
公寓,成功里15鄰,苗栗縣頭份市成功里15鄰6號,"24.698374031536805, 120.91013888336855",1.0,32,頭份分局,頭份派出所,"24.698108342986945, 120.91110553076466"
公寓,成功里15鄰,苗栗縣頭份市成功里15鄰7號,"24.698413020980006, 120.91003159500855",1.0,28,頭份分局,頭份派出所,"24.698108342986945, 120.91110553076466"
公寓,成功里15鄰,苗栗縣頭份市成功里15鄰8號,"24.69839352625992, 120.91005305268057",1.0,36,頭份分局,頭份派出所,"24.698108342986945, 120.91110553076466"
公寓,成功里15鄰,苗栗縣頭份市成功里15鄰11號,"24.698403273620357, 120.91010669686054",1.0,48,頭份分局,頭份派出所,"24.698108342986945, 120.91110553076466"
公寓,成功里15鄰,苗栗縣頭份市成功里15鄰12號,"24.698432515697043, 120.91009596802455",1.0,36,頭份分局,頭份派出所,"24.698108342986945, 120.91110553076466"
公寓,成功里15鄰,苗栗縣頭份市成功里15鄰13號,"24.698481252476288, 120.91014961220455",1.0,36,頭份分局,頭份派出所,"24.698108342986945, 120.91110553076466"
公寓,成功里15鄰,苗栗縣頭份市成功里15鄰14號,"24.698442263054403, 120.91007451035257",1.0,34,頭份分局,頭份派出所,"24.698108342986945, 120.91110553076466"
公寓,建國里11鄰,苗栗縣頭份市建國里11鄰建國路128號,"24.696071877816784, 120.90994659871251",1.0,90,頭份分局,頭份派出所,
大樓,成功里13鄰,苗栗縣頭份市成功里江波庭園10號,"24.698197873990075, 120.90935638336857",2.0,2249,頭份分局,頭份派出所,
建國國小,建國里10鄰,苗栗縣頭份市建國里10鄰建國路80號,"24.695601297486697, 120.9121914968605",1.0,920,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰大同路815號,"24.69502236086693, 120.91438901035251",1.0,34,頭份分局,頭份派出所,
公寓,建國里4鄰,苗栗縣頭份市建國里4鄰大同路30號,"24.694645975727852, 120.91435421220444",1.0,26,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰大同路32號,"24.694782370787276, 120.91438323918851",1.0,25,頭份分局,頭份派出所,
公寓,建國里1鄰,苗栗縣頭份市建國里1鄰中華路1443號,"24.695427121811885, 120.91598338336841",1.0,85,頭份分局,頭份派出所,
公寓,建國里6鄰,苗栗縣頭份市建國里6鄰三民街43號,"24.69602026330759, 120.91353209500855",1.0,45,頭份分局,頭份派出所,
公寓,建國里1鄰,苗栗縣頭份市建國里1鄰中華路1471號,"24.69598453040758, 120.91649235453252",1.0,37,頭份分局,頭份派出所,
公寓,建國里1鄰,苗栗縣頭份市建國里1鄰中華路1383號,"24.694187415179083, 120.91496523918845",1.0,30,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰建國路10號,"24.69358919127442, 120.91419903918846",1.0,33,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰大同路56號,"24.69513072241503, 120.91454963733646",1.0,30,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰中華路1404號,"24.69691091378785, 120.91757176987637",1.0,17,頭份分局,頭份派出所,
公寓,建國里1鄰,苗栗縣頭份市建國里1鄰中華路1394號,"24.6966554817392, 120.91731118151655",1.0,16,頭份分局,頭份派出所,
公寓,建國里8鄰,苗栗縣頭份市建國里8鄰建國路36號,"24.69405782003903, 120.91350845453245",1.0,20,頭份分局,頭份派出所,
公寓,建國里8鄰,苗栗縣頭份市建國里8鄰大同路3號,"24.69400623381329, 120.91369465453249",1.0,18,頭份分局,頭份派出所,
公寓,建國里1鄰,苗栗縣頭份市建國里1鄰中華路1398號,"24.696768524068656, 120.91727442384453",1.0,18,頭份分局,頭份派出所,
公寓,建國里8鄰,苗栗縣頭份市建國里8鄰建國路52號,"24.6943602762866, 120.91305271220452",1.0,77,頭份分局,頭份派出所,
公寓,建國里8鄰,苗栗縣頭份市建國里8鄰建國路42號,"24.69415107212108, 120.9132933391884",1.0,18,頭份分局,頭份派出所,
公寓,建國里6鄰,苗栗縣頭份市建國里6鄰大同路75號,"24.69576931146572, 120.91478232384449",1.0,50,頭份分局,頭份派出所,
公寓,建國里1鄰,苗栗縣頭份市建國里1鄰中華路1396號,"24.696662186705073, 120.9174129680245",1.0,18,頭份分局,頭份派出所,
公寓,建國里8鄰,苗栗縣頭份市建國里8鄰建國路50號,"24.694263781071054, 120.91310576987644",1.0,77,頭份分局,頭份派出所,
公寓,建國里8鄰,苗栗縣頭份市建國里8鄰建國路42號,"24.69400485664454, 120.91387269633239",1.0,18,頭份分局,頭份派出所,
公寓,建國里8鄰,苗栗縣頭份市建國里8鄰大同路1號,"24.69405022461319, 120.91364755453246",1.0,18,頭份分局,頭份派出所,
公寓,建國里8鄰,苗栗縣頭份市建國里8鄰大同路3號,"24.693967242990997, 120.9137053833685",1.0,44,頭份分局,頭份派出所,
公寓,建國里8鄰,苗栗縣頭份市建國里8鄰建國路8號,"24.69356353457545, 120.91452737543247",1.0,33,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰中華路1417巷8號,"24.694833027703766, 120.91550402569638",1.0,50,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰中華路1400號,"24.69673033909877, 120.9174756545325",1.0,18,頭份分局,頭份派出所,
公寓,建國里1鄰,苗栗縣頭份市建國里1鄰中華路1402號,"24.69679173401347, 120.91747196802457",1.0,18,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰中華路1435號,"24.69517958890961, 120.91589248336848",1.0,18,頭份分局,頭份派出所,
公寓,建國里8鄰,苗栗縣頭份市建國里8鄰建國路34號,"24.694068120016496, 120.9135243833685",1.0,21,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰大同路52號,"24.695018884428734, 120.91455068151646",1.0,37,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰中華路1417巷6號,"24.694794037140195, 120.91554694104038",1.0,50,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰建國路6號,"24.693626282218307, 120.91483826564435",1.0,37,頭份分局,頭份派出所,
大樓,建國里8鄰,苗栗縣頭份市建國里8鄰大同路55號,"24.695062927272097, 120.91441385453251",1.0,1860,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰蟠桃20號,"24.69236712803731, 120.90429433918843",1.0,38,頭份分局,頭份派出所,
公寓,建國里7鄰,苗栗縣頭份市建國里7鄰大同路36號,"24.694835680041752, 120.91455956987647",1.0,41,頭份分局,頭份派出所,
大樓,建國里6鄰,苗栗縣頭份市建國里6鄰三民街30號,"24.695898282983624, 120.9143707619405",1.0,1166,頭份分局,頭份派出所,
公寓,廣興里,苗栗縣頭份市廣興里中華路200號,"24.665724782078733, 120.8822360126598",1.0,120,頭份分局,尖山派出所,
公寓,廣興里,苗栗縣頭份市廣興里中華路160號,"24.664823684021112, 120.88127736848482",1.0,93,頭份分局,尖山派出所,
公寓,蘆竹里16鄰,苗栗縣頭份市蘆竹里蘆竹路221號,"24.67583081081068, 120.88482185314496",1.0,106,頭份分局,尖山派出所,
公寓,蘆竹里16鄰,苗栗縣頭份市蘆竹里中華路213-31號,"24.6738577278518, 120.88752118594488",1.0,24,頭份分局,尖山派出所,
公寓,尖山里12鄰,苗栗縣頭份市尖山里12鄰尖豐路206巷87號,"24.66115919265815, 120.8790252838247",1.0,125,頭份分局,尖山派出所,
公寓,尖山里12鄰,苗栗縣頭份市尖山里12鄰尖豐路206巷89號,"24.66105764079503, 120.87883411081496",1.0,121,頭份分局,尖山派出所,
公寓,尖山里8鄰,苗栗縣頭份市尖山里8鄰尖豐路561號,"24.647519573266894, 120.88431582615448",1.0,36,頭份分局,尖山派出所,
公寓,尖下里15鄰,苗栗縣頭份市尖下里15鄰尖豐路631號,"24.645482614243953, 120.88410836848445",1.0,213,頭份分局,尖山派出所,
公寓,尖下里15鄰,苗栗縣頭份市尖下里15鄰尖豐路631號,"24.645482614243953, 120.88410836848445",1.0,348,頭份分局,尖山派出所,
公寓,濫坑里13鄰,苗栗縣頭份市濫坑里13鄰尖豐路932號,"24.63933009181398, 120.88231032615438",1.0,400,頭份分局,尖山派出所,
公寓,濫坑里13鄰,苗栗縣頭份市濫坑里13鄰尖豐路828號,"24.64219278533138, 120.88292150896943",1.0,66,頭份分局,尖山派出所,
公寓,濫坑里13鄰,苗栗縣頭份市濫坑里13鄰尖豐路828號,"24.64219278533138, 120.88292150896943",1.0,66,頭份分局,尖山派出所,
公寓,濫坑里13鄰,苗栗縣頭份市濫坑里13鄰尖豐路828號,"24.64219278533138, 120.88292150896943",1.0,121,頭份分局,尖山派出所,
公寓,濫坑里13鄰,苗栗縣頭份市濫坑里13鄰尖豐路828號,"24.64219278533138, 120.88292150896943",1.0,69,頭份分局,尖山派出所,
公寓,濫坑里13鄰,苗栗縣頭份市濫坑里13鄰尖豐路1034巷32號,"24.633952741516275, 120.88272989609554",1.0,324,頭份分局,尖山派出所,
公寓,濫坑里4鄰,苗栗縣頭份市濫坑里4鄰42號之1,"24.636137757486004, 120.88600588920458",1.0,69,頭份分局,尖山派出所,
公寓,蘆竹里5鄰,苗栗縣頭份市蘆竹里永貞路1段209號,"24.676808063409158, 120.884137226155",1.0,64,頭份分局,尖山派出所,
公寓,蘆竹里5鄰,苗栗縣頭份市蘆竹里蘆竹路277號,"24.678003553155182, 120.88405665314507",1.0,40,頭份分局,尖山派出所,
公寓,蘆竹里2鄰,苗栗縣頭份市蘆竹里蘆竹路87號,"24.672740671640188, 120.88339581265993",1.0,65,頭份分局,尖山派出所,
公寓,蘆竹里4鄰,苗栗縣頭份市蘆竹里蘆竹路172號,"24.67381154520806, 120.88415719739216",1.0,93,頭份分局,尖山派出所,
公寓,蘆竹里5鄰,苗栗縣頭份市蘆竹里蘆竹路273號,"24.67777796174048, 120.88427238382499",1.0,29,頭份分局,尖山派出所,
公寓,蘆竹里4鄰,苗栗縣頭份市蘆竹里蘆竹路53-2號,"24.67211237440795, 120.88698453089155",1.0,161,頭份分局,尖山派出所,
公寓,上埔里4鄰,苗栗縣頭份市上埔里4鄰中正一路173巷29號,"24.68752288612013, 120.9290514247415",1.0,112,頭份分局,斗坪派出所,
公寓,上埔里2鄰,苗栗縣頭份市上埔里2鄰中正一路369號,"24.68633878862094, 120.93286826891752",1.0,38,頭份分局,斗坪派出所,
公寓,斗煥里2鄰,苗栗縣頭份市斗煥里2鄰中正二路157號,"24.68180144952437, 120.94484581124705",1.0,125,頭份分局,斗坪派出所,
公寓,新華里2鄰,苗栗縣頭份市新華里下新店69號,"24.683201506713427, 120.93835796891746",1.0,862,頭份分局,斗坪派出所,
公寓,新華里14鄰,苗栗縣頭份市新華里崎仔頭368號,"24.685625587341807, 120.9292606989023",1.0,46,頭份分局,斗坪派出所,
公寓,新華里14鄰,苗栗縣頭份市新華里14鄰中正一路186號,"24.686318925932095, 120.92854945748047",1.0,32,頭份分局,斗坪派出所,
年興紡織,新華里14鄰,苗栗縣頭份市新華里14鄰中正一路200號,"24.686284488870747, 120.92884483968929",1.0,522,頭份分局,斗坪派出所,
公寓,新華里13鄰,苗栗縣頭份市新華里13鄰崎仔頭313號,"24.684749000507914, 120.928910055423",1.0,76,頭份分局,斗坪派出所,
公寓,新華里10鄰,苗栗縣頭份市新華里10鄰中正一路15號,"24.687288993619994, 120.92478338425829",1.0,24,頭份分局,斗坪派出所,
公寓,新華里10鄰,苗栗縣頭份市新華里10鄰中正一路39號,"24.68720494901391, 120.92535372658782",1.0,26,頭份分局,斗坪派出所,
公寓,新華里11鄰,苗栗縣頭份市新華里11鄰中正一路28號,"24.686998432049556, 120.92481545542296",1.0,73,頭份分局,斗坪派出所,
公寓,新華里11鄰,苗栗縣頭份市新華里11鄰中正一路24號,"24.687033438884246, 120.92466729775268",1.0,113,頭份分局,斗坪派出所,
公寓,新華里12鄰,苗栗縣頭份市新華里12鄰中正一路58號,"24.686864994382848, 120.92537099590649",1.0,37,頭份分局,斗坪派出所,
公寓,新華里10鄰,苗栗縣頭份市新華里10鄰中正一路43號,"24.687199842034715, 120.9254285554231",1.0,20,頭份分局,斗坪派出所,
公寓,新華里10鄰,苗栗縣頭份市新華里10鄰中正一路29號,"24.68736198997267, 120.92508689775272",1.0,26,頭份分局,斗坪派出所,
台電公司南湖變電所,興隆里7鄰,苗栗縣頭份市興隆里興埔街362號,"24.70749415058507, 120.93623119590663",1.0,362,頭份分局,斗坪派出所,
