電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層,可容納人數,轄管分局
XX0949," 新興區",中東里,高雄市新興區六合一路55號,"22.632427,120.308713",1,"  1,674 ",新興分局
XX0952," 新興區",玉衡里,高雄市新興區中山一路12之2號,"22.626033,120.301655",2,"  1,065 ",新興分局
XX0958," 新興區",永寧里,高雄市新興區德智街17號,"22.62636,120.306608",1,"  109 ",新興分局
QJ0390," 前金區",東金里,高雄市前金區中正四路174號,"22.629235,120.294578",1,"  250 ",新興分局
XX0976," 新興區",愛平里,高雄市新興區中正三路158號,"22.631488,120.30423",2,"  1,220 ",新興分局
XX0977," 新興區",南港里,高雄市新興區七賢一路432號,"22.634556,120.305481",1,"  296 ",新興分局
QJ0393," 前金區",國民里,高雄市前金區民生二路163號,"22.624199,120.293244",1,"  527 ",新興分局
QJ0396," 新興區",新生里,高雄市前金區七賢二路311號,"22.631139,120.29045",1,"  458 ",新興分局
XX1000," 新興區",文昌里,高雄市新興區文昌里中正二路220號,"22.630714,120.315122",1,"  525 ",新興分局
XX1005," 新興區",開平里,高雄市新興區七賢一路300號之1,"22.634445,120.309022",1,"  1,808 ",新興分局
XX1013," 新興區",愛平里,高雄市新興區中正三路156號,"22.631481,120.304379",1,"  600 ",新興分局
QJ0399," 前金區",草江里,高雄市前金區六合二路132號,"22.631163,120.295862",1,"  1,133 ",新興分局
QJ0400," 前金區",民生里,高雄市前金區文武二街161之1號,"22.62801,120.295356",1,"  406 ",新興分局
XX1016," 新興區",永寧里,高雄市新興區忠孝一路128號,"22.626169,120.305948",1,"  158 ",新興分局
XX1020," 新興區",開平里,高雄市新興區錦田路142號,"22.635871,120.311111",1,"  389 ",新興分局
XX1023," 新興區",秋山里,高雄市新興區六合二路66號,"22.632508,120.299885",1,"  265 ",新興分局
QJ0405," 前金區",草江里,高雄市前金區草江里中華三路148號,"22.631215,120.295407",2,"  1,350 ",新興分局
XX1027," 新興區",榮治里,高雄市新興區大同一路231號,"22.627951,120.298454",1,"  1,853 ",新興分局
XX1028," 新興區",東坡里,高雄市新興區中正三路177號,"22.63088,120.303486",1,"  2,034 ",新興分局
QJ0406," 前金區",新生里,高雄市前金區自強一路153號,"22.633196,120.292056",1,"  279 ",新興分局
XX1034," 新興區",黎明里,高雄市新興區六合一路154之5號,"22.63312,120.303302",1,"  495 ",新興分局
XX1037," 新興區",振華里,高雄市新興區民享街105號,"22.621648,120.304689",1,"  188 ",新興分局
QJ0413," 前金區",青山里,高雄市前金區新盛二街73號,"22.628442,120.297102",1,"  514 ",新興分局
XX1047," 新興區",成功里,高雄市新興區林森一路230號,"22.63382674720717, 120.30513712308989",1,"  1,402 ",新興分局
QJ0414," 前金區",長生里,高雄市前金區中華三路21號,"22.623495,120.297876",1,"  422 ",新興分局
QJ0415," 前金區",長城里,高雄市前金區七賢二路178號,"22.633458,120.295902",3,"  306 ",新興分局
QJ0426," 前金區",復元里,高雄市前金區自強二路104號,"22.626094,120.295205",1,"  285 ",新興分局
XX1069," 新興區",大明里,高雄市新興區自立二路4號,"22.628969,120.299944",1,"  510 ",新興分局
XX1072," 新興區",秋山里,高雄市新興區六合二路28號,"22.632847,120.30089",1,"  123 ",新興分局
QJ0432," 前金區",後金里,高雄市前金區中正四路192號,"22.628814,120.293481",1,"  969 ",新興分局
QJ0433," 前金區",新生里,高雄市前金區自強一路139巷11號,"22.632221,120.291824",1,"  542 ",新興分局
QJ0435," 前金區",長城里,高雄市前金區自立二路89號,"22.631374,120.298698",1,"  525 ",新興分局
XX1093," 新興區",中東里,高雄市新興區六合一路98號,"22.632795,120.307687",2,"  1,359 ",新興分局
XX1095," 新興區",文昌里,高雄市新興區中正二路184號,"22.630701,120.316543",2,"  1,166 ",新興分局
QJ0441," 前金區",文西里,高雄市前金區文武三街145號,"22.620815,120.298149",1,"  380 ",新興分局
XX1100," 新興區",永寧里,高雄市新興區仁愛二街113號,"22.626083,120.307034",1,"  230 ",新興分局
QJ0445," 前金區",東金里,高雄市前金區六合二路166號,"22.630642,120.294301",1,"  215 ",新興分局
XX1104," 新興區",永寧里,高雄市新興區德智街1號,"22.62648,120.306973",1,"  361 ",新興分局
XX1105," 新興區",長驛里,高雄市新興區自立二路146號,"22.633161,120.298374",1,"  231 ",新興分局
QJ0447," 前金區",復元里,高雄市前金區中華三路79號,"22.627265,120.296397",1,"  312 ",新興分局
XX1111," 新興區",振華里,高雄市新興區新田路99號,"22.622634,120.305184",1,"  699 ",新興分局
XX1112," 新興區",振華里,高雄市新興區新田路93號,"22.622679,120.305305",1,"  376 ",新興分局
XX1120," 新興區",浩然里,高雄市新興區林森一路10之1號,"22.624061,120.305271",1,"  595 ",新興分局
QJ0448," 前金區",文西里,高雄市前金區中華四路349號,"22.621071,120.298772",2,"  359 ",新興分局
XX1121," 新興區",開平里,高雄市新興區開封路435號,"22.635729,120.311806",1,"  989 ",新興分局
QJ0449," 前金區",文西里,高雄市前金區中華四路331號,"22.620593,120.298965",1,"  192 ",新興分局
XX1122," 新興區",振華里,高雄市新興區新田路103號,"22.622616,120.305107",1,"  744 ",新興分局
QJ0450," 前金區",復元里,高雄市前金區民生二路76巷42號,"22.627002,120.296363",1,"  343 ",新興分局
XX1123," 新興區",南港里,高雄市新興區南華橫二路27號,"22.634875,120.306783",1,"  286 ",新興分局
XX1124," 新興區",南港里,高雄市新興區忠孝一路476號,"22.63511749,120.306473296183",1,"  192 ",新興分局
XX1125," 新興區",秋山里,高雄市新興區民主路18號,"22.633313,120.300062",1,"  306 ",新興分局
XX1127," 新興區",浩然里,高雄市新興區五福二路3號,"22.62452374939731, 120.30921621328498",1,"  469 ",新興分局
XX1138," 新興區",德生里,高雄市新興區德順街12號,"22.626683,120.310055",1,"  165 ",新興分局
XX1139," 新興區",浩然里,高雄市新興區五福二路45之1號,"22.624945,120.307117",1,"  154 ",新興分局
XX1140," 新興區",建華里,高雄市新興區河南二路2號,"22.636561,120.301232",1,"  1,074 ",新興分局
QJ0456," 前金區",國民里,高雄市前金區大同二路135之1號,"22.625426,120.290935",1,"  234 ",新興分局
XX1148," 新興區",漢民里,高雄市新興區民生一路350號,"22.627711,120.303664",1,"  122 ",新興分局
XX1149," 新興區",漢民里,高雄市新興區民生一路352號,"22.627711,120.303616",1,"  78 ",新興分局
QJ0457," 前金區",復元里,高雄市前金區大同二路23號,"22.627026,120.295638",2,"  999 ",新興分局
QJ0458," 前金區",民生里,高雄市前金區中正四路191號,"22.628599,120.294289",1,"  599 ",新興分局
XX1154," 新興區",中東里,高雄市新興區中東里復興一路78號,"22.633188,120.308515",1,"  482 ",新興分局
XX1155," 新興區",德生里,高雄市新興區德順街17號,"22.627051,120.309687",2,"  1,415 ",新興分局
XX1156," 新興區",仁聲里,高雄市新興區復興一路47之1號,"22.629788,120.307866",1,"  773 ",新興分局
QJ0463," 前金區",草江里,高雄市前金區明星街153號,"22.632494,120.296351",1,"  189 ",新興分局
QJ0464," 前金區",民生里,高雄市前金區大同二路18號,"22.627407,120.295868",1,"  154 ",新興分局
QJ0465," 前金區",林投里,高雄市前金區中正四路259號,"22.627247,120.2903",2,"  1,777 ",新興分局
QJ0467," 前金區",文西里,高雄市前金區中華四路283號,"22.619565,120.299391",1,"  125 ",新興分局
QJ0468," 前金區",復元里,高雄市前金區自強二路102之5號,"22.626031,120.29524",1,"  330 ",新興分局
QJ0469," 前金區",新生里,高雄市前金區七賢二路389號,"22.630407,120.288225",1,"  287 ",新興分局
XX1162," 新興區",蕉園里,高雄市新興區球庭路35號,"22.63014,120.30567",1,"  283 ",新興分局
XX1164," 新興區",蕉園里,高雄市新興區復橫一路240號,"22.629705,120.305295",1,"  253 ",新興分局
XX1165," 新興區",振成里,高雄市新興區文橫二路162之1號,"22.623332,120.303687",2,"  471 ",新興分局
QJ0477," 前金區",文西里,高雄市前金區新田路303號,"22.620115,120.297541",1,"  373 ",新興分局
QJ0478," 前金區",社西里,高雄市前金區市中一路109號,"22.623578,120.291895",1,"  147 ",新興分局
QJ0482," 前金區",後金里,高雄市前金區六合二路278號,"22.629882627003212, 120.29003981011144",1,"  1,684 ",新興分局
QJ0483," 前金區",民生里,高雄市前金區前金一街19號,"22.627754,120.294687",1,"  116 ",新興分局
XX1175," 新興區",南港里,高雄市新興區忠孝一路482號,"22.635228,120.306518",1,"  290 ",新興分局
XX1176," 新興區",中東里,高雄市新興區中正三路34號,"22.631027,120.310097",1,"  1,437 ",新興分局
QJ0485," 前金區",青山里,高雄市前金區瑞源路35號,"22.629204,120.298091",1,"  248 ",新興分局
QJ0487," 前金區",民生里,高雄市前金區自強二路182號,"22.628015,120.294444",1,"  448 ",新興分局
XX1182," 前金區",振華里,高雄市新興區新田路71號,"22.62303989,120.306310796182",2,"  1,692 ",新興分局
XX1184," 新興區",秋山里,高雄市新興區六合二路52號,"22.632628,120.300233",2,"  169 ",新興分局
QJ0488," 前金區",榮復里,高雄市前金區成功一路308號,"22.620812,120.295413",1,"  130 ",新興分局
QJ0490," 前金區",長城里,高雄市前金區河南二路109號,"22.634786,120.294284",1,"  202 ",新興分局
XX1189," 新興區",光耀里,高雄市新興區復橫一路31號,"22.628976,120.311919",1,"  612 ",新興分局
XX1193," 新興區",黎明里,高雄市新興區南華橫一路43號,"22.633535,120.303529",1,"  407 ",新興分局
XX1199," 新興區",德生里,高雄市新興區德順街11號,"22.626726,120.309775",2,"  235 ",新興分局
XX1205," 新興區",漢民里,高雄市新興區民生一路348號,"22.627711,120.303726",1,"  54 ",新興分局
XX1206," 新興區",振華里,高雄市新興區民享街67號,"22.622178,120.306375",1,"  374 ",新興分局
XX1210," 新興區",玉衡里,高雄市新興區玉竹二街14號,"22.624573,120.302578",1,"  637 ",新興分局
QJ0492," 前金區",文東里,高雄市前金區中華四路314號,"22.620425,120.299656",1,"  168 ",新興分局
XX1211," 新興區",順昌里,高雄市新興區七賢一路18號,"22.63389740785929, 120.31580722088735",2,"  318 ",新興分局
XX1212," 新興區",順昌里,高雄市新興區七賢一路18號,"22.63389740785929, 120.31580722088735",2,"  1,056 ",新興分局
XX1213," 新興區",振華里,高雄市新興區民享街102號,"22.621873,120.304773",1,"  333 ",新興分局
XX1214," 新興區",大明里,高雄市新興區自立二路8號,"22.629076,120.299901",1,"  228 ",新興分局
XX1215," 新興區",愛平里,高雄市新興區林森一路187號,"22.631888,120.304525",2,"  223 ",新興分局
QJ0493," 前金區",博孝里,高雄市前金區河東路8號,"22.621661,120.291167",3,"  1,331 ",新興分局
QJ0494," 前金區",文東里,高雄市前金區中華四路282號,"22.619693,120.299899",2,"  381 ",新興分局
XX1218," 新興區",文昌里,高雄市新興區信守街104號,"22.631578,120.314488",1,"  288 ",新興分局
XX1226," 新興區",秋山里,高雄市新興區七賢二路11號,"22.634447,120.301419",3,"  916 ",新興分局
XX1227," 新興區",興昌里,高雄市新興區民族二路97號,"22.632484,120.313018",2,"  559 ",新興分局
XX1236," 新興區",長驛里,高雄市新興區六合二路86號,"22.632249,120.298875",2,"  346 ",新興分局
QJ0504," 前金區",新生里,高雄市前金區七賢二路396號,"22.630821,120.287985",2,"  1,873 ",新興分局
XX1237," 新興區",成功里,高雄市新興區仁愛一街167號,"22.632148,120.307306",1,"  94 ",新興分局
XX1245," 新興區",德生里,高雄市新興區民生一路77號,"22.627803,120.312171",2,"  293 ",新興分局
XX1246," 新興區",永寧里,高雄市新興區五福二路116號,"22.625516,120.307501",2,"  368 ",新興分局
XX1247," 新興區",黎明里,高雄市新興區六合一路158號,"22.633129,120.303209",2,"  507 ",新興分局
QJ0510," 前金區",林投里,高雄市前金區中正四路235號,"22.628062,120.292762",4,"  2,835 ",新興分局
XX1248," 新興區",順昌里,高雄市新興區七賢一路20號,"22.634039,120.315528",2,"  1,804 ",新興分局
QJ0511," 前金區",草江里,高雄市前金區瑞源路140號,"22.632966,120.296983",2,"  901 ",新興分局
QJ0512," 前金區",新生里,高雄市前金區七賢二路249號,"22.631761,120.292227",1,"  92 ",新興分局
XX1249," 新興區",成功里,高雄市新興區仁愛一街134號,"22.631549,120.307548",2,"  407 ",新興分局
QJ0513," 前金區",民生里,高雄市前金區文武二街163號,"22.628208,120.295308",2,"  257 ",新興分局
QJ0519," 前金區",新生里,高雄市前金區新生里旺盛街162號,"22.630275,120.288937",1,"  150 ",新興分局
XX1255," 新興區",黎明里,高雄市新興區南華路136號,"22.633272,120.302944",1,"  239 ",新興分局
XX1256," 新興區",浩然里,高雄市新興區五福二路49號,"22.624886,120.306952",2,"  747 ",新興分局
QJ0521," 前金區",長城里,高雄市前金區中正四路148號,"22.629994,120.296797",2,"  462 ",新興分局
XX1258," 新興區",興昌里,高雄市新興區興昌里中東街221號,"22.632915,120.312353",1,"  119 ",新興分局
QJ0522," 前金區",社東里,高雄市前金區光復二街48號,"22.623747,120.295306",1,"  1,096 ",新興分局
XX1259," 新興區",振華里,高雄市新興區民享街127號,"22.621382,120.303852",1,"  105 ",新興分局
XX1260," 新興區",文昌里,高雄市新興區和平一路199號,"22.631057,120.317385",2,"  718 ",新興分局
XX1262," 新興區",浩然里,高雄市新興區仁愛二街75號,"22.624324,120.307733",1,"  141 ",新興分局
QJ0523," 新興區",民生里,高雄市前金區文武二街168號,"22.627569,120.2958",1,"  222 ",新興分局
XX1264," 新興區",興昌里,高雄市新興區中正三路32號,"22.63171012716711, 120.31122185873706",1,"  438 ",新興分局
QJ0524," 前金區",國民里,高雄市前金區市中一路167號,"22.625364,120.291236",1,"  206 ",新興分局
XX1265," 新興區",光耀里,高雄市新興區光耀里民族二路13號,"22.628961,120.312744",1,"  73 ",新興分局
XX1267," 新興區",新江里,高雄市新興區八德一路332號,"22.63604,120.304137",1,"  388 ",新興分局
XX1268," 新興區",浩然里,高雄市新興區五福二路3號,"22.62452374939731, 120.30921621328498",1,"  287 ",新興分局
QJ0530," 前金區",東金里,高雄市前金區文武一街52號,"22.631157,120.294411",1,"  147 ",新興分局
XX1269," 新興區",永寧里,高雄市新興區仁愛二街218號,"22.626895,120.307204",1,"  162 ",新興分局
XX1270," 新興區",浩然里,高雄市新興區復興二路157號,"22.624644,120.308436",1,"  132 ",新興分局
QJ0531," 前金區",復元里,高雄市前金區中華三路68號,"22.626989,120.297205",2,"  5,052 ",新興分局
XX1271," 新興區",南港里,高雄市新興區仁愛一街311號,"22.636037,120.307614",1,"  141 ",新興分局
XX1273," 新興區",文昌里,高雄市新興區六合路183號,"22.63193,120.314196",2,"  457 ",新興分局
QJ0532," 前金區",新生里,高雄市前金區市中一路236號,"22.630738,120.289563",1,"  138 ",新興分局
QJ0533," 前金區",林投里,高雄市前金區河東路188號,"22.626196,120.289519",2,"  7,412 ",新興分局
XX1274," 新興區",建華里,高雄市新興區同愛街28號,"22.635456,120.300648",5,"  684 ",新興分局
XX1275," 新興區",浩然里,高雄市新興區復興二路260號,"22.622781,120.309588",2,"  1,419 ",新興分局
XX1276," 新興區",榮治里,高雄市新興區大同一路205號,"22.628529,120.30021",1,"  274 ",新興分局
QJ0534," 前金區",文東里,高雄市前金區中山二路505號,"22.620253,120.30174",2,"  883 ",新興分局
QJ0535," 前金區",復元里,高雄市前金區大同二路11號,"22.627137,120.29599",1,"  203 ",新興分局
QJ0536," 前金區",榮復里,高雄市前金區五福三路79號,"22.621176,120.296235",2,"  723 ",新興分局
QJ0537," 前金區",長城里,高雄市前金區河南二路106號,"22.634806,120.294432",1,"  785 ",新興分局
XX1279," 新興區",光耀里,高雄市新興區民族二路35號,"22.62980119,120.312920396182",2,"  536 ",新興分局
XX1284," 新興區",德生里,高雄市新興區德生里五福二路28號,"22.626303,120.309904",1,"  169 ",新興分局
XX1285," 新興區",興昌里,高雄市新興區中東街227號,"22.632923,120.312274",1,"  136 ",新興分局
XX1300," 新興區",中東里,高雄市新興區中正三路38號,"22.631115,120.309496",3,"  945 ",新興分局
XX1302," 新興區",南港里,高雄市新興區八德一路193號,"22.635408,120.308252",1,"  152 ",新興分局
XX1303," 新興區",明莊里,高雄市新興區六合二路1號,"22.632742,120.301593",2,"  1,394 ",新興分局
XX1304," 新興區",德生里,高雄市新興區民生一路111號,"22.627455,120.311206",2,"  784 ",新興分局
XX1305," 新興區",德生里,高雄市新興區五福一路106號,"22.627445,120.313174",3,"  594 ",新興分局
XX1306," 新興區",開平里,高雄市新興區同心路34號,"22.634789,120.311432",1,"  153 ",新興分局
XX1308," 新興區",秋山里,高雄市新興區六合二路10號,"22.633087,120.301469",2,"  486 ",新興分局
QJ0543," 前金區",北金里,高雄市前金區文武一街141號,"22.63406,120.29307",1,"  158 ",新興分局
QJ0544," 前金區",文西里,高雄市前金區中華四路293號,"22.619862,120.299289",1,"  523 ",新興分局
XX1309," 新興區",長驛里,高雄市新興區七賢二路95之1號,"22.633894,120.298561",1,"  89 ",新興分局
XX1310," 新興區",長驛里,高雄市新興區南台路89號,"22.632697,120.299558",1,"  253 ",新興分局
XX1311," 新興區",黎明里,高雄市新興區七賢一路469號,"22.634252,120.304049",3,"  1,010 ",新興分局
XX1312," 新興區",華聲里,高雄市新興區新興路26號,"22.628208,120.305696",1,"  129 ",新興分局
XX1313," 新興區",德望里,高雄市新興區民生一路206號,"22.627866,120.308245",4,"  553 ",新興分局
QJ0545," 前金區",新生里,高雄市前金區旺盛街186之1號,"22.629982,120.288111",1,"  465 ",新興分局
QJ0546," 前金區",民生里,高雄市前金區自強二路168號,"22.62769,120.29454",1,"  210 ",新興分局
XX1315," 新興區",大明里,高雄市新興區大同一路188號,"22.629027,120.300687",3,"  1,546 ",新興分局
XX1316," 新興區",興昌里,高雄市新興區信守街123號,"22.631371,120.31265",1,"  107 ",新興分局
XX1317," 新興區",浩然里,高雄市新興區文化路5號,"22.624251,120.307512",1,"  377 ",新興分局
XX1318," 新興區",德生里,高雄市新興區五福二路26號,"22.626376,120.309976",1,"  100 ",新興分局
QJ0547," 前金區",東金里,高雄市前金區榮安街35號,"22.630993,120.293953",1,"  155 ",新興分局
QJ0548," 前金區",文西里,高雄市前金區新田路234號,"22.620754,120.298623",1,"  158 ",新興分局
QJ0549," 前金區",復元里,高雄市前金區中華三路77之1號,"22.627085,120.296477",2,"  500 ",新興分局
XX1319," 新興區",建華里,高雄市新興區南台橫路32號,"22.63546,120.29962",1,"  355 ",新興分局
XX1320," 新興區",浩然里,高雄市新興區忠孝一路74號,"22.623653,120.306826",2,"  138 ",新興分局
QJ0550," 前金區",長生里,高雄市前金區中華三路15號,"22.623334,120.297922",2,"  230 ",新興分局
QJ0551," 前金區",長城里,高雄市前金區河南二路97之2號,"22.635016,120.29494",1,"  441 ",新興分局
QJ0552," 前金區",東金里,高雄市前金區東金里七賢二路207號,"22.632275,120.293769",2,"  390 ",新興分局
XX1321," 新興區",光耀里,高雄市新興區錦田路20號,"22.628561,120.310306",2,"  680 ",新興分局
XX1322," 新興區",順昌里,高雄市新興區民族二路166號,"22.635777,120.314299",1,"  358 ",新興分局
XX1323," 新興區",文昌里,高雄市新興區六合路138號,"22.632339,120.315098",1,"  169 ",新興分局
QJ0553," 前金區",青山里,高雄市前金區中正四路139號,"22.629335,120.296786",3,"  413 ",新興分局
QJ0554," 前金區",東金里,高雄市前金區六合二路160號,"22.630779,120.294652",2,"  584 ",新興分局
XX1324," 新興區",成功里,高雄市新興區林森一路196號,"22.632169,120.304916",2,"  415 ",新興分局
XX1325," 新興區",秋山里,高雄市新興區民主路26號,"22.633268,120.299938",2,"  444 ",新興分局
XX1326," 新興區",德生里,高雄市新興區民生一路247號,"22.627099,120.308115",3,"  910 ",新興分局
QJ0555," 前金區",社東里,高雄市前金區五福三路80號,"22.621763,120.296165",2,"  1,080 ",新興分局
QJ0556," 前金區",復元里,高雄市前金區復元里自強二路102之6號,"22.625986,120.295277",1,"  101 ",新興分局
XX1327," 新興區",玉衡里,高雄市新興區中山一路4號,"22.624351,120.30144",3,"  1,172 ",新興分局
QJ0557," 前金區",長城里,高雄市前金區中山橫路98號,"22.631238,120.298428",1,"  149 ",新興分局
QJ0558," 前金區",新生里,高雄市前金區河南二路174號,"22.633305,120.289807",1,"  800 ",新興分局
XX1328," 新興區",開平里,高雄市新興區八德一路59號,"22.635159,120.311547",1,"  328 ",新興分局
QJ0559," 前金區",後金里,高雄市前金區中正四路260號,"22.627922,120.290643",1,"  663 ",新興分局
QJ0562," 前金區",新生里,高雄市前金區市中一路290號,"22.632587,120.288762",1,"  164 ",新興分局
XX1329," 新興區",德望里,高雄市新興區黃海街183號,"22.629624,120.309291",1,"  450 ",新興分局
QJ0563," 前金區",東金里,高雄市前金區中華三路185號,"22.631989,120.294619",1,"  89 ",新興分局
QJ0564," 前金區",新生里,高雄市前金區成功一路553號,"22.633081,120.290228",1,"  126 ",新興分局
QJ0565," 前金區",復元里,高雄市前金區福音街28號,"22.626402682530156, 120.29591052525129",2,"  545 ",新興分局
QJ0566," 前金區",新生里,高雄市前金區成功一路549號,"22.632928,120.290294",1,"  413 ",新興分局
QJ0567," 前金區",社東里,高雄市前金區民生二路139號,"22.624647,120.294663",2,"  1,666 ",新興分局
XX1330," 新興區",玉衡里,高雄市新興區五福二路218號,"22.624607356392044, 120.30359671567332",1,"  1,961 ",新興分局
QJ0568," 前金區",東金里,高雄市前金區中華三路149號,"22.630502,120.295165",1,"  1,060 ",新興分局
QJ0569," 前金區",長城里,高雄市前金區六合二路107之1號,"22.631488,120.297861",3,"  779 ",新興分局
XX1331," 新興區",德望里,高雄市新興區南海街195號,"22.628195,120.30918",1,"  228 ",新興分局
QJ0570," 前金區",北金里,高雄市前金區河南二路123號,"22.634426,120.293051",1,"  720 ",新興分局
XX1332," 新興區",建華里,高雄市新興區八德二路98號,"22.635677,120.297507",1,"  206 ",新興分局
XX1333," 新興區",玉衡里,高雄市新興區竹圍路2號,"22.626738,120.303988",1,"  151 ",新興分局
QJ0571," 前金區",青山里,高雄市前金區中華三路108號,"22.628926,120.296336",2,"  754 ",新興分局
XX1334," 新興區",光耀里,高雄市新興區民生一路54號,"22.628094,120.310603",3,"  2,017 ",新興分局
XX1336," 新興區",德政里,高雄市新興區忠孝一路233號,"22.630403,120.305819",2,"  413 ",新興分局
QJ0572," 前金區",草江里,高雄市前金區七賢二路191號,"22.632923,120.295734",1,"  490 ",新興分局
XX1337," 新興區",建華里,高雄市新興區七賢二路58號,"22.634816,120.299861",1,"  1,016 ",新興分局
XX1338," 新興區",開平里,高雄市新興區河南一路19號,"22.636583,120.310226",1,"  601 ",新興分局
XX1339," 新興區",順昌里,高雄市新興區七賢一路18號,"22.63389740785929, 120.31580722088735",2,"  708 ",新興分局
XX1340," 新興區",玉衡里,高雄市新興區文橫一路68號,"22.626398,120.302899",2,"  135 ",新興分局
XX1341," 新興區",德望里,高雄市新興區東海街206號,"22.628964,120.309147",1,"  371 ",新興分局
XX1342," 新興區",華聲里,高雄市新興區民生一路328號,"22.627708,120.304546",2,"  191 ",新興分局
XX1343," 新興區",德生里,高雄市新興區民權一路251號地下室,"22.627063,120.310169",4,"  1,460 ",新興分局
XX1344," 新興區",蕉園里,高雄市新興區球庭路47號,"22.630167,120.305331",1,"  56 ",新興分局
QJ0573," 前金區",國民里,高雄市前金區大同二路61號,"22.626351,120.293921",1,"  259 ",新興分局
XX1345," 新興區",黎明里,高雄市新興區中山一路200號,"22.633261,120.302454",2,"  257 ",新興分局
QJ0574," 前金區",國民里,高雄市前金區大同二路61號,"22.626351,120.293921",1,"  2,407 ",新興分局
QJ0575," 前金區",博孝里,高雄市前金區光復二街167號,"22.621963,120.291756",3,"  1,361 ",新興分局
XX1346," 新興區",浩然里,高雄市新興區民權街8之4號,"22.623573,120.310541",1,"  102 ",新興分局
QJ0576," 前金區",草江里,高雄市前金區六合二路128號,"22.631301,120.296257",2,"  215 ",新興分局
XX1347," 新興區",興昌里,高雄市新興區中正三路32號,"22.631232,120.310909",1,"  1,314 ",新興分局
XX1348," 新興區",文昌里,高雄市新興區尚義街156號,"22.632549,120.315556",1,"  58 ",新興分局
XX1349," 新興區",秋山里,高雄市新興區七賢二路69號,"22.634242,120.299618",1,"  117 ",新興分局
XX1350," 新興區",浩然里,高雄市新興區林森一路60號,"22.626633879459717, 120.30502366758098",1,"  1,381 ",新興分局
XX1351," 新興區",華聲里,高雄市新興區大同一路67號,"22.628737,120.30498",1,"  90 ",新興分局
QJ0577," 前金區",青山里,高雄市前金區自立橫路75號,"22.62909,120.298714",1,"  552 ",新興分局
XX1352," 新興區",德政里,高雄市新興區復橫一路221號,"22.629376,120.306188",1,"  168 ",新興分局
XX1353," 新興區",德望里,高雄市新興區渤海街163號,"22.63004,120.309749",1,"  80 ",新興分局
XX1354," 新興區",文昌里,高雄市新興區信守街12號,"22.631335,120.316641",2,"  818 ",新興分局
XX1355," 新興區",中東里,高雄市新興區中正三路68之5號,"22.631191,120.30834",1,"  167 ",新興分局
XX1356," 新興區",振華里,高雄市新興區新田路145號,"22.622094,120.303538",2,"  457 ",新興分局
XX1357," 新興區",德望里,高雄市新興區民生一路208號,"22.627849,120.308083",2,"  249 ",新興分局
XX1358," 新興區",浩然里,高雄市新興區民權街8之15號,"22.623747,120.311046",1,"  197 ",新興分局
QJ0578," 前金區",北金里,高雄市前金區文武一街89號,"22.632978,120.293471",1,"  53 ",新興分局
QJ0579," 前金區",青山里,高雄市前金區瑞源路33號,"22.629106,120.298137",1,"  44 ",新興分局
XX1359," 新興區",浩然里,高雄市新興區民權街8之9號,"22.623662,120.310801",1,"  129 ",新興分局
XX1360," 新興區",文昌里,高雄市新興區尚義街159號地下層,"22.63304779,120.315389725019",2,"  406 ",新興分局
XX1361," 新興區",德政里,高雄市新興區復橫一路209號,"22.629366,120.306297",1,"  482 ",新興分局
XX1362," 新興區",振華里,高雄市新興區新田路161號,"22.621956,120.303135",1,"  78 ",新興分局
QJ0581," 前金區",北金里,高雄市前金區八德二路212號,"22.634174,120.292593",1,"  683 ",新興分局
XX1363," 新興區",文昌里,高雄市新興區尚義街157號,"22.632719,120.315326",1,"  47 ",新興分局
QJ0582," 前金區",社西里,高雄市前金區社西里民生二路203號,"22.623677,120.29168",1,"  243 ",新興分局
QJ0583," 前金區",博孝里,高雄市前金區五福三路148號,"22.620894,120.291427",1,"  489 ",新興分局
QJ0584," 前金區",新生里,高雄市前金區七賢二路295號,"22.631322,120.290835",1,"  412 ",新興分局
XX1364," 新興區",德望里,高雄市新興區復橫一路143號,"22.629203,120.308965",1,"  244 ",新興分局
XX1365," 新興區",開平里,高雄市新興區七賢一路216號,"22.634253,120.310772",3,"  747 ",新興分局
QJ0585," 前金區",青山里,高雄市前金區瑞源路46號,"22.629486,120.298354",1,"  122 ",新興分局
QJ0586," 前金區",青山里,高雄市前金區中正四路151號,"22.629169,120.296396",3,"  655 ",新興分局
XX1366," 新興區",興昌里,高雄市新興區開封路114號,"22.631703,120.311807",1,"  142 ",新興分局
XX1367," 新興區",仁聲里,高雄市新興區復興一路63號B,"22.630413,120.307907",3,"  892 ",新興分局
XX1368," 新興區",振華里,高雄市新興區新田路7號,"22.623705,120.308425",1,"  182 ",新興分局
XX1369," 新興區",明莊里,高雄市新興區六合二路37號,"22.632361,120.300653",2,"  435 ",新興分局
XX1370," 新興區",黎明里,高雄市新興區南華橫一路11號,"22.633565,120.304242",1,"  707 ",新興分局
QJ0588," 前金區",東金里,高雄市前金區六合二路173號,"22.630262,120.29418",1,"  86 ",新興分局
XX1371," 新興區",秋山里,高雄市新興區南台路124號,"22.633835,120.299394",1,"  194 ",新興分局
QJ0589," 前金區",青山里,高雄市前金區自立橫路52號,"22.629498,120.299212",1,"  160 ",新興分局
XX1372," 新興區",浩然里,高雄市新興區復興二路171號,"22.625022,120.308287",2,"  754 ",新興分局
