電腦編號,建築物名稱,里別,緯度,經度,避難樓層,轄管分局,可容納人數,備註
C0112,和瑞文華新站社區,北華里,"24.942879 ","121.220925 ",B01B02B03,平鎮分局,1337.0,
C0113,竑門御天下社區,北安里,"24.950209 ","121.214408 ",B01B02B03,平鎮分局,841.0,
C0114,揚明護理之家,北興里,"24.937303 ","121.224292 ",B01B02B03,平鎮分局,390.0,
C0115,德育御品社區,新富里,"24.945395 ","121.219081 ",B01B02B03B04,平鎮分局,270.0,
C0116,河美御景社區,新英里,"24.939331 ","121.212689 ",B01,平鎮分局,2352.0,
C0117,1號公館社區,北華里,"24.942747 ","121.219489 ",B01,平鎮分局,988.0,
C0118,葡萄王生技(股)公司,北興里,"24.934014 ","121.225307 ",B01B02B03,平鎮分局,3144.0,
C0119,永春豐社區,新勢里,"24.873549 ","121.213927 ",B01B02B03,平鎮分局,667.0,
C0120,豐湛第三期社區,金陵里,"24.940302 ","121.220697 ",B01B02,平鎮分局,627.0,
C0121,鼎藏帝景社區,新勢里,"24.947480 ","121.217302 ",B01B02,平鎮分局,1240.0,
C0122,悠遊郡社區,新榮里,"24.943681 ","121.213660 ",B01B02,平鎮分局,1237.0,
C0123,鴻灃JIA社區,北華里,"24.942583 ","121.219589 ",B01B02B03,平鎮分局,552.0,
C0124,平鎮新富市場綜合大樓,新英里,"24.939640 ","121.213660 ",B01B02B03,平鎮分局,1787.0,
C0125,鴻灃RICH社區-鄭博文,新富里,"24.943666 ","121.217897 ",B01B02B03,平鎮分局,955.0,
C0126,樸澍藏社區-鄧甦章,北安里,"24.952532 ","121.220541 ",B01B02,平鎮分局,1078.0,
C0127,百川達硯,北勢里,"24.947397 ","121.221681 ",B01B02B03,平鎮分局,920.0,
C0128,私人住宅,北貴里,"24.932145 ","121.214342 ",B01B02B03B04,平鎮分局,238.0,
C0129,站前馥樂社區,新富里,"24.941472 ","121.215593 ",B01B02B03,平鎮分局,589.0,
D0003,桃和液化氣製廠,東勢里,24.8972077,121.2496987,B01B02B03,平鎮分局,193.0,
D0006,青技精密工業(股)公司,東勢里,"24.904563 ","121.243446 ",B01,平鎮分局,143.0,
D0007,龍國工業事務所,新安里,"24.908361 ","121.251797 ",B01,平鎮分局,262.0,
D0009,嘉泰企業公司,東勢里,"24.891371 ","121.237865 ",B01,平鎮分局,217.0,
D0010,東安國小,東安里,"24.917520 ","121.250291 ",B01,平鎮分局,1052.0,
D0020,龍門福星社區-,華安里,"24.915549 ","121.249632 ",B01,平鎮分局,1027.0,
D0021,東勢活動中心,東勢里,24.9105655,121.2313402,B01,平鎮分局,241.0,
D0023,東方名園社區,華安里,"24.912592 ","121.249420 ",B01B02,平鎮分局,900.0,
D0024,亞碩企業公司,建安里,"24.910189 ","121.241244 ",B01,平鎮分局,887.0,
D0025,睿磊企業公司,建安里,"24.911767 ","121.239896 ",B01,平鎮分局,716.0,
D0026,慶紅有限公司,新安里,"24.908696 ","121.251790 ",B01,平鎮分局,147.0,
D0027,東安國中,東安里,"24.916586 ","121.249811 ",B01,平鎮分局,5173.0,
D0028,上楓紙業公司,東勢里,24.9057728,121.2440364,B01,平鎮分局,567.0,
D0030,綠大地社區,新安里,"24.917492 ","121.254290 ",B01,平鎮分局,2520.0,
D0031,東方貴族社區,華安里,"24.915067 ","121.249520 ",B01,平鎮分局,349.0,
D0032,國宏老人長期照顧中心,北貴里,"24.929263 ","121.221084 ",B01B02,平鎮分局,563.0,
D0033,中華電信,東勢里,,,B01B02,平鎮分局,653.0,
D0035,力特光電2廠,建安里,"24.910193 ","121.241108 ",B01,平鎮分局,811.0,
D0036,力特光電3廠,建安里,"24.910054 ","121.241294 ",B01,平鎮分局,2273.0,
D0037,力特光電5廠-仁寶電腦,建安里,"24.908296 ","121.241857 ",B01,平鎮分局,874.0,
D0038,揚弘實業(股)公司,建安里,"24.910887 ","121.241481 ",B01,平鎮分局,6332.0,
D0039,中華電信,建安里,,,B01,平鎮分局,40.0,
D0040,東安國小,東安里,"24.917520 ","121.250291 ",B01,平鎮分局,557.0,
D0041,義美食品公司3廠,東勢里,"24.878455 ","121.247643 ",B01,平鎮分局,47.0,
D0042,九豪精密股份公司,建安里,"24.911792 ","121.232883 ",B01,平鎮分局,1354.0,
D0043,豐達科技公司,新安里,"24.904100 ","121.250410 ",B01,平鎮分局,1406.0,
D0044,國立北商業技術學院,東勢里,"24.902888 ","121.230344 ",B01B02,平鎮分局,2584.0,
D0045,大清誠品社區,東勢里,"24.896514 ","121.230718 ",B01,平鎮分局,2509.0,
D0046,北商之星,東勢里,"24.904285 ","121.230686 ",B01B02,平鎮分局,88.0,
D0047,雅居樂6社區,新安里,"24.908946 ","121.248060 ",B01B02,平鎮分局,819.0,
D0048,騰元逸境社區,東勢里,"24.908626 ","121.223694 ",B01,平鎮分局,317.0,
D0049,築樂社區,新安里,"24.917095 ","121.253815 ",B01B02,平鎮分局,1058.0,
D0050,龍昌兄弟股份有限公司,東勢里,"24.902321 ","121.250476 ",B01,平鎮分局,1427.0,
D0052,亞碩企業股份有限公司,東勢里,"24.901543 ","121.250615 ",B01B02B03,平鎮分局,829.0,
D0053,雅居樂NO7,北富里,"24.925380 ","121.222797 ",B01,平鎮分局,262.0,
D0054,卓悅首富社區,東勢里,"24.899818 ","121.236886 ",B01,平鎮分局,861.0,
D0055,義美食品股份有限公司,東勢里,"24.878054 ","121.246912 ",B01,平鎮分局,2961.0,
D0056,慶賀天樂大樓,東勢里,24.8950625,121.2381714,B01,平鎮分局,1357.0,
D0057,豐僑君薈,北貴里,"24.929956 ","121.221805 ",B01,平鎮分局,1161.0,
D0058,金陵樹里,建安里,"24.921094 ","121.226966 ",B01,平鎮分局,1047.0,
E0002,御花園管委會,東社里,"24.923875 ","121.243335 ",B01B02,平鎮分局,1860.0,
E0003,私人住宅,龍興里,"24.923387 ","121.248819 ",B01,平鎮分局,21.0,
E0005,透天,龍興里,"24.923405 ","121.248769 ",B01,平鎮分局,26.0,
E0006,名翔大樓,東社里,"24.922540 ","121.248180 ",B01,平鎮分局,970.0,
E0008,中正社區,中正里,"24.927254 ","121.255610 ",B01,平鎮分局,1311.0,
E0012,香榭社區,貿易里,"24.927831 ","121.252208 ",B01,平鎮分局,1664.0,
E0013,遠雄龍岡Ⅰ社區,忠貞里,"24.928673 ","121.254165 ",B01B02,平鎮分局,2000.0,
E0014,遠雄龍岡Ⅱ社區,忠貞里,"24.928561 ","121.254550 ",B01B02B03B04,平鎮分局,2052.0,
