類別,建築物名稱,電腦編號,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
,,EPA01314,"8鄰中山路一三八號 ",24.956131,121.224872,4,736.0,中壢分局,,中壢所
,,EPA01326,8鄰復興路76號,24.956609,121.224505,3,531.0,中壢分局,,中壢所
,,EPA01327,21鄰中北路二段208巷41號,24.952212,121.228177,1,921.0,中壢分局,,中壢所
,,EPA01353,3鄰中山路185號,24.956436,121.2233,1,279.0,中壢分局,,中壢所
,,EPA01354,5鄰元化路268號1樓之1,24.962146,121.225188,2,1258.0,中壢分局,,中壢所
,,EPA01359,1鄰延平路176號,24.963002,121.228583,1,1327.0,中壢分局,,中壢所
,,EPA01387,8鄰元化路260號,24.962073,121.225547,2,353.0,中壢分局,,中壢所
,,EPA01398,18鄰九和一街1號22樓之1,24.961997,121.223522,3,1883.0,中壢分局,,中壢所
,,EPA01407,3鄰新興路194巷18號,24.95301,121.22736,1,174.0,中壢分局,,中壢所
,,EPA01408,2鄰中北路二段231號,24.953352,121.228974,3,1542.0,中壢分局,,中壢所
,,EPA01435,2鄰健行路218號,24.949701,121.22711,1,352.0,中壢分局,,中壢所
,,EPA01439,2鄰新興路230巷42號12樓,24.953768,121.228273,3,1151.0,中壢分局,,中壢所
,,EPA01440,7鄰延平路157號,24.962347,121.217623,2,341.0,中壢分局,,中壢所
,,EPA01467,8鄰中央東路48號,24.956704,121.225045,1,77.0,中壢分局,,中壢所
,,EPA01495,25鄰九和一街35號,24.962544,121.230043,3,2060.0,中壢分局,,中壢所
,,EPA01506,4鄰博愛三路38號3樓,24.954689,121.218983,1,120.0,中壢分局,,中壢所
,,EPA01510,12鄰中北路二段79號,24.95126,121.224862,2,195.0,中壢分局,,中壢所
,,EPA01552,6鄰延平路廟前10號,24.963959,121.233451,1,195.0,中壢分局,,中壢所
,,EPA01603,2鄰新興路236號,24.953768,121.228381,4,1251.0,中壢分局,,中壢所
,,EPA01624,9鄰永嘉街55號,24.959429,121.221363,3,607.0,中壢分局,,中壢所
,,EPA01661,13鄰德育路36號,24.952647,121.220031,1,1007.0,中壢分局,,中壢所
,,EPA01670,4鄰元化路236號,24.961884,121.22626,3,1598.0,中壢分局,,中壢所
,,EPA01695,9鄰永嘉街43號,24.95937,121.221352,1,306.0,中壢分局,,中壢所
,,EPA01703,15鄰七和一街99號十樓之5,24.964149,121.226325,3,3071.0,中壢分局,,中壢所
,,EPA01737,9鄰中山路255號,24.956916,121.221495,2,225.0,中壢分局,,中壢所
,,EPA01738,8鄰慈惠三街72號2樓,24.961505,121.225581,1,187.0,中壢分局,,中壢所
,,EPA01754,1鄰新興路286號二樓,24.954475,121.229431,2,253.0,中壢分局,,中壢所
,,EPA01764,11鄰中正路146號,24.955599,121.222039,2,519.0,中壢分局,,中壢所
,,EPA01774,5鄰博愛二路16號,24.953972,121.21921,2,101.0,中壢分局,,中壢所
,,EPA01775,2鄰中北路二段203號,24.953256,121.228243,1,841.0,中壢分局,,中壢所
,,EPA01789,5鄰延平路267號,24.961314,121.226487,4,815.0,中壢分局,,中壢所
,,EPA01812,2鄰新興路260號,24.953739,121.228284,3,405.0,中壢分局,,中壢所
,,EPA01835,中正路170號,24.955909,121.221427,4,1013.0,中壢分局,,中壢所
,,EPA01848,長江一街7號,,,2,356.0,中壢分局,,中壢所
,湖映左岸,EPA00417,25鄰仁福五街13號(4386037),24.941079,121.255339,1,490.0,中壢分局,,仁愛所
,,EPA00822,24鄰同慶路72號(4666296),24.940632,121.255738,1,277.0,中壢分局,,仁愛所
,我家社區,EPA00824,4鄰仁美二街88巷1號(4663278),24.943776,121.251611,1,4704.0,中壢分局,,仁愛所
,,EPA00830,3鄰仁慈路4號,24.945547,121.252269,1,35.0,中壢分局,,仁愛所
,,EPA00831,3鄰仁慈路16號(0939886636),24.944499,121.249692,1,35.0,中壢分局,,仁愛所
,,EPA00836,3鄰仁慈路26號(4362396),24.944485,121.249411,1,35.0,中壢分局,,仁愛所
,,EPA00838,33鄰仁慈路122號(4371354),24.945122,121.25158,2,833.0,中壢分局,,仁愛所
,,EPA00840,3鄰中山東路三段133號,24.944585,121.248683,1,36.0,中壢分局,,仁愛所
,,EPA00841,3鄰中山東路三段135號(4662066),24.94511,121.248521,1,27.0,中壢分局,,仁愛所
,,EPA00843,8鄰功學社新村204號之1(4651180),24.95482,121.25544,1,592.0,中壢分局,,仁愛所
,華勛國小,EPA00845,22鄰榮民南路205號,24.954065,121.257713,1,4493.0,中壢分局,,仁愛所
,,EPA00846,1鄰晉元路289巷65號,24.953482,121.263801,1,2015.0,中壢分局,,仁愛所
,星球幼兒園,EPA00847,16鄰榮民南路196號,24.953321,121.256739,1,297.0,中壢分局,,仁愛所
,高閣社區,EPA01164,18鄰中山東路四段39巷20號(2830951),24.936946,121.255786,2,1205.0,中壢分局,,仁愛所
,布查花園,EPA01176,10鄰仁德四街100號(4388103),24.95299,121.261654,2,3353.0,中壢分局,,仁愛所
