類別,編號,村里別,地址,地下層數,可容納人數,定位點,備考
工廠行號,233.0,明華里,嘉義縣大林鎮明華里中正路209號,地下1層,64,"23.60040, 120.44870",
醫院,234.0,平林里,嘉義縣大林鎮平林里七鄰民生路2號,地下2層,24808,"23.59610, 120.45710",
醫院,235.0,平林里,嘉義縣大林鎮平林里七鄰下潭底70號,地下1層,10104,"23.59464, 120.45710",
學校,236.0,平林里,嘉義縣大林鎮平林里民權路80號,地下1層,2260,"23.59966, 120.46155",
大樓,237.0,西林里,嘉義縣大林鎮西林里忠孝路613號,地下1層,562,"23.60621, 120.45398",
工廠行號,238.0,中坑里,嘉義縣大林鎮中坑里沙崙200號,地下1層,182,"23.59079, 120.49434",
工廠行號,239.0,三和里,嘉義縣大林鎮三和里林子頭20號,地下1層,597,"23.60222, 120.49076",
工廠行號,240.0,三和里,嘉義縣大林鎮三和里林子頭20號,地下1層,130,"23.60207, 120.49065",
工廠行號,241.0,過溪里,嘉義縣大林鎮過溪里10鄰531號,地下1層,195,"23.60438, 120.51132",
學校,242.0,中坑里,嘉義縣大林鎮中坑里10鄰中坑32號,地下1層,2272,"23.57043, 120.49350",
學校,243.0,中坑里,嘉義縣大林鎮中坑里10鄰中坑32號,地下1層,614,"23.56925, 120.48838",
學校,244.0,中坑里,嘉義縣大林鎮中坑里10鄰中坑32號,地下1層,4255,"23.56996, 120.49445",
大樓,245.0,三和里,嘉義縣大林鎮三和里12鄰中興路二段163號,地下1層,3348,"23.60371, 120.46916",
學校,246.0,三和里,嘉義縣大林鎮三和里中興路二段303號,地下1層,314,"23.60474, 120.47273",
工廠行號,247.0,三和里,嘉義縣大林鎮三和里林子頭20號,地下1層,384,"23.60228, 120.49064",
學校,248.0,福德村,嘉義縣新港鄉福德村登雲路105號,地下1層,30,"23.55575, 120.34490",
金融機構,249.0,福德村,嘉義縣新港鄉福德村登雲路111巷2號,地下1層,682,"23.55572, 120.34387",不對外開放
工廠行號,250.0,福德村,嘉義縣新港鄉福德村福德路121巷10號,地下1層,49,"23.55738, 120.34265",
大樓,251.0,大興村,嘉義縣新港鄉大興村新中路305號,地下1層,166,"23.559923, 120.3437275",
大樓,252.0,大興村,嘉義縣新港鄉大興村6鄰大興路3號,地下2層,1538,"23.55780, 120.34701",
公寓,253.0,宮前村,嘉義縣新港鄉宮前村19鄰中山路85之3號,地下1層,,"23.55437, 120.34750",
公寓,254.0,宮前村,嘉義縣新港鄉宮前村新民路49號,地下1層,47,"23.55657, 120.34764",
工廠行號,255.0,月潭村,嘉義縣新港鄉月潭村17鄰月眉潭230-20號,地下1層,384,"23.53100, 120.35121",
工廠行號,256.0,月潭村,嘉義縣新港鄉月潭村17鄰月眉潭230-20號,地下1層,242,"23.53147, 120.35143",
工廠行號,257.0,菜公村,嘉義縣新港鄉菜公村咬仔竹84號,地下1層,217,"23.54862, 120.34878",
工廠行號,258.0,中洋村,嘉義縣新港鄉中洋村工業區3號,地下1層,2881,"23.5214537, 120.3824013",
工廠行號,259.0,中洋村,嘉義縣新港鄉中洋村中洋工業區3號,地下1層,112,"23.5148889, 120.3713766",
工廠行號,260.0,中洋村,嘉義縣新港鄉中洋村中洋工業區3號,地下1層,634,,
工廠行號,261.0,中洋村,嘉義縣新港鄉中洋村中洋工業區3號,地下1層,634,,
工廠行號,262.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,798,,
工廠行號,263.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,85,,
工廠行號,264.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,1456,,
工廠行號,265.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,325,"23.5154005, 120.3752391",
工廠行號,266.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,197,"23.5130787, 120.3706042",
工廠行號,267.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,4544,,
工廠行號,268.0,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,地下1層,404,,
工廠行號,269.0,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,地下1層,696,,
工廠行號,270.0,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,地下1層,696,,
工廠行號,271.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2-1號,地下1層,1362,"23.51220, 120.36995",
工廠行號,272.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,593,,
工廠行號,273.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,1773,,
工廠行號,274.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,525,"23.5193519, 120.3820218",
工廠行號,275.0,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,地下1層,652,"23.5175812, 120.3843821",
工廠行號,276.0,中洋村,嘉義縣新港鄉中洋村中洋工業區3號,地下1層,200,,
工廠行號,277.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,980,"23.5129771, 120.3723659",
工廠行號,278.0,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,地下1層,480,,
工廠行號,279.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,2243,"23.5169909, 120.3790607",
工廠行號,280.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,597,,
工廠行號,281.0,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,地下1層,260,"23.5144332, 120.3709926",
工廠行號,282.0,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,地下1層,260,"23.5141577, 120.372323",
工廠行號,283.0,三間村,嘉義縣新港鄉三間村三間厝600至642號,地下1層,12751,"23.5155882, 120.3926519",
工廠行號,284.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,57696,"23.5206506, 120.3770007",
工廠行號,285.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,1548,"23.5170697, 120.3810348",
工廠行號,286.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,2863,"23.5106947, 120.3698767",
工廠行號,287.0,中洋村,嘉義縣新港鄉中洋村二鄰中洋工業區2-1號,地下1層,4565,,
工廠行號,288.0,中洋村,嘉義縣新港鄉中洋村1鄰中洋工業區1號,地下1層,7840,,
工廠行號,289.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,220,"23.5178173, 120.382966",
工廠行號,290.0,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,地下1層,1755,,
工廠行號,291.0,菜公村,嘉義縣新港鄉菜公村咬仔竹86號,地下1層,174,"23.54713, 120.34929",
電力公司,293.0,坪頂村,嘉義縣溪口鄉坪頂村中正東路102號,地下1層,176,"23.60545, 120.40209",不對外開放
工廠行號,294.0,本厝村,嘉義縣溪口鄉本厝村本廳1之6號,地下1層,,"23.57798, 120.39765",
工廠行號,295.0,妙崙村,嘉義縣溪口鄉妙崙村1-19號,地下1層,66,"23.58683, 120.40740",
電信公司,296.0,坪頂村,嘉義縣溪口鄉坪頂村中正東路39號,地下1層,320,"23.60480, 120.40141",不對外開放
電信公司,297.0,潭大村,嘉義縣新港鄉潭大村潭子墘26號,地下1層,626,"23.54966, 120.34457",不對外開放
學校,299.0,福樂村,嘉義縣民雄鄉福樂村光明一街261-1號,地下1樓,,"23.52920, 120.45320",
學校,300.0,北斗村,嘉義縣民雄鄉北斗村北勢子17號,地下1樓,,"23.53389, 120.45617",
大樓,301.0,北斗村,嘉義縣民雄鄉北斗村11鄰北勢子598號,地下1樓,,"23.53164, 120.45161",
工廠行號,302.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街30號,地下1樓,,"23.52413, 120.45614",
工廠行號,303.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街31號,地下1樓,,"23.52503, 120.45816",
工廠行號,304.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功二街32號,地下1樓,,"23.52418, 120.45646",
電信公司,305.0,水頭村,嘉義縣水上鄉水頭村中正路49號,地下1樓,578,"23.42803, 120.40268",不對外開放
工廠行號,306.0,水頭村,嘉義縣水上鄉水頭村中正路41號,地下1樓,136,"23.42813, 120.40311",
工廠行號,307.0,水頭村,嘉義縣水上鄉水頭村中正路67號,地下1樓,129,"23.42800, 120.40188",
金融機構,308.0,水頭村,嘉義縣水上鄉水頭村中興路356號,地下1樓,183,"23.43087, 120.40129",不對外開放
水上分局,309.0,水頭村,嘉義縣水上鄉水頭村中興路528號,地下1樓,269,"23.43246, 120.39916",不對外開放
農會,310.0,水上村,嘉義縣水上鄉水上村中興路560號,地下1樓,1403,"23.43297, 120.39838",
農會,311.0,水上村,嘉義縣水上鄉水上村中興路415號,地下1樓,509,"23.43191, 120.39869",
學校,312.0,水上村,嘉義縣水上鄉水上村正義路182號,地下1樓,965,"23.42826, 120.39726",
學校,313.0,水上村,嘉義縣水上鄉水上村正義路182號,地下1樓,591,"23.42834, 120.39677",
市場,314.0,水上村,嘉義縣水上鄉水上村正義路131號,地下1樓,424,"23.42894, 120.39837",
大樓,315.0,水上村,嘉義縣水上鄉水上村正義路219號,地下1樓,1237,"23.42656, 120.39479",
工廠行號,316.0,水上村,嘉義縣水上鄉水上村中華路199巷23號,地下1樓,196,"23.42591, 120.40185",
工廠行號,317.0,水上村,嘉義縣水上鄉水上村中華路199巷25號,地下1樓,1646,"23.42593, 120.40232",
工廠行號,318.0,水上村,嘉義縣水上鄉水上村中華路199巷25號,地下1樓,697,"23.42593, 120.40232",
工廠行號,319.0,水上村,嘉義縣水上鄉水上村中華路199巷33號,地下1樓,34,"23.42615, 120.40316",
工廠行號,320.0,水上村,嘉義縣水上鄉水上村中華路199巷39號,地下1樓,50,"23.42599, 120.40379",
電力公司,321.0,水上村,嘉義縣水上鄉水上村中山路2段23號,地下1樓,102,"23.42766, 120.39398",不對外開放
工廠行號,322.0,粗溪村,嘉義縣水上鄉粗溪村中山路2段423號,地下1樓,32,"23.43557, 120.39965",
工廠行號,323.0,粗溪村,嘉義縣水上鄉粗溪村中山路2段453號,地下1樓,437,"23.436356, 120.40034",
工廠行號,324.0,下寮村,嘉義縣水上鄉下寮村中山路3段576巷20號,地下1樓,120,"23.45968, 120.42151",
工廠行號,325.0,下寮村,嘉義縣水上鄉下寮村中山路3段576巷52號,地下1樓,36,"23.46008, 120.42296",
工廠行號,326.0,下寮村,嘉義縣水上鄉下寮村中山路3段622號,地下1樓,81,"23.46067, 120.42231",
工廠行號,327.0,下寮村,嘉義縣水上鄉下寮村鴿溪寮20-121號,地下1樓,45,"23.45502, 120.42055",
工廠行號,328.0,下寮村,嘉義縣水上鄉下寮村鴿溪寮20-122號,地下1樓,117,"23.45530, 120.42055",
工廠行號,329.0,三和村,嘉義縣水上鄉三和村新厝仔1-53號,地下1樓,151,"23.45713, 120.41717",
工廠行號,330.0,大堀村,嘉義縣水上鄉大崛村江竹仔腳3-4號,地下1樓,65,"23.44384, 120.37152",
工廠行號,331.0,大堀村,嘉義縣水上鄉大崛村江竹仔腳3-6號,地下1樓,164,"23.44074, 120.37800",
工廠行號,332.0,大崙村,嘉義縣水上鄉大崙村大崙162-1號,地下1樓,193,"23.44831, 120.35371",
工廠行號,333.0,大崙村,嘉義縣水上鄉大崙村大崙162號,地下1樓,204,"23.44791, 120.35441",
工廠行號,334.0,大崙村,嘉義縣水上鄉大崙村大崙160號,地下1樓,210,"23.44886, 120.35724",
工廠行號,335.0,回歸村,嘉義縣水上鄉回歸村北回60號,地下1樓,154,"23.44836, 120.41433",
大樓,336.0,粗溪村,嘉義縣水上鄉粗溪村粗溪20-206號,地下1樓,2541,"23.43544, 120.39453",
學校,337.0,三和村,嘉義縣水上鄉三和村新厝仔1-1號,地下1樓,777,"23.45422, 120.40972",
學校,338.0,水上村,嘉義縣水上鄉水上村進學街45號,地下1樓,875,"23.42470, 120.39496",
政府機關,339.0,太保里,嘉義縣太保市太保里33號,地下1樓,266,"23.45896, 120.33224",
農會,340.0,太保里,嘉義縣太保市太保里2鄰58號,地下1樓,190,"23.45812, 120.33231",
學校,341.0,太保里,嘉義縣太保市太保里31號,地下1樓,425,"23.45461, 120.33125",
學校,342.0,太保里,嘉義縣太保市太保里31號,地下1樓,1201,"23.45495, 120.33089",
金融機構,343.0,後潭里,嘉義縣太保市後潭里後潭374-7號,地下1樓,114,"23.45217, 120.34141",不對外開放
大樓,344.0,前潭里,嘉義縣太保市前潭里13鄰後潭188-1~188-26號,地下1樓,2303,"23.45251, 120.34483",
政府機關,345.0,太保里,嘉義縣太保市太保里祥和一路東段1號,地下1樓,3696,"23.45885, 120.29286",
金融機構,346.0,太保里,嘉義縣太保市太保里祥和一路東段2號,地下1樓,978,"23.45889, 120.29380",不對外開放
嘉義縣警察局,347.0,太保里,嘉義縣太保市太保里祥和一路3號,地下1樓,1148,"23.45871, 120.29403",不對外開放
嘉義縣警察局,348.0,太保里,嘉義縣太保市太保里祥和一路3號,地下1樓,1464,"23.45865, 120.29470",不對外開放
公寓,349.0,太保里,嘉義縣太保市太保里175-176號,地下1樓,102,"23.46338, 120.33198",
公寓,350.0,太保里,嘉義縣太保市太保里170號,地下1樓,36,"23.46333, 120.33222",
公寓,351.0,太保里,嘉義縣太保市太保里171號,地下1樓,31,"23.46335, 120.33217",
學校,352.0,太保里,嘉義縣太保市太保里36號,地下1樓,925,"23.45570, 120.32998",
大樓,353.0,太保里,嘉義縣太保市太保里祥和一路東段25巷32號,地下1樓,2411,"23.45836, 120.29577",
大樓,354.0,太保里,嘉義縣太保市太保里太保二路83號,地下1樓,3298,"23.45721, 120.29575",
政府機關,355.0,太保里,嘉義縣太保市太保里祥和二路東段5號,地下1樓,6125,"23.45766, 120.29387",
政府機關,356.0,太保里,嘉義縣太保市太保里祥和二路東段6號,地下1樓,1440,"23.45691, 120.29355",
政府機關,357.0,太保里,嘉義縣太保市太保里祥和二路東段8號,地下1樓,14308,"23.45676, 120.29425",
學校,358.0,太保里,嘉義縣太保市太保里學府路30號,地下1樓,2167,"23.45222, 120.29151",
學校,359.0,太保里,嘉義縣太保市太保里學府路30號,地下1樓,1142,"23.45151, 120.29165",
學校,360.0,太保里,嘉義縣太保市太保里學府路30號,地下1樓,2142,"23.45045, 120.29033",
電信公司,361.0,後潭里,嘉義縣太保市後潭里後潭376號,地下1樓,791,"23.45244, 120.33993",不對外開放
工廠行號,362.0,太保里,嘉義縣太保市太保里11號,地下1樓,256,"23.45425, 120.33577",
學校,363.0,崙頂里,嘉義縣太保市崙頂里1號,地下1樓,410,"23.45875, 120.30801",
大樓,364.0,春珠里,嘉義縣太保市春珠里保鐵一路二段91號,地下1樓,9919,"23.45404, 120.32554",
大樓,365.0,東勢里,嘉義縣太保市東勢里故宮大道777號,地下1樓,10895,"23.46861, 120.29517",
圖書館,366.0,太保里,嘉義縣太保市太保里31號,地下1樓,88,"23.45517, 120.33151",
大樓,367.0,太保里,嘉義縣太保市太保里1鄰太保36之50號,地下1樓,388,"23.45675, 120.33000",
大樓,368.0,安仁里,嘉義縣太保市安仁里祥和二路東段88號,地下1樓,2664,"23.45614, 120.29827",
工廠行號,369.0,春珠里,嘉義縣太保市春珠里春珠166號,地下1樓,531,"23.45311, 120.33574",
政府機關,370.0,安仁里,嘉義縣太保市安仁里11鄰太保二路113號,地下1樓,2649,"23.45604, 120.29537",
電力公司,371.0,西井村,嘉義縣鹿草鄉西井村鹿草路362號,地下1樓,180,"23.40927, 120.30693",不對外開放
政府機關,372.0,西井村,嘉義縣鹿草鄉西井村鹿草路287號,地下1樓,266,"23.41146, 120.30828",
工廠行號,373.0,鹿草村,嘉義縣鹿草鄉鹿草村鹿草路121號,地下1樓,133,"23.40922, 120.31239",
電信公司,374.0,鹿草村,嘉義縣鹿草鄉鹿草村鹿草路65號,地下1樓,672,"23.40888, 120.31424",不對外開放
政府機關,375.0,豐稠村,嘉義縣鹿草鄉豐稠村維新新村1號,地下1樓,1095,"23.43022, 120.28648",
教會,376.0,三鎮村,嘉義縣水上鄉三鎮村8鄰三鎮路65-2號,地下1樓,42,"23.41568, 120.38679",
電力公司,377.0,三鎮村,嘉義縣水上鄉三鎮村8鄰三鎮路77號,地下1樓,30,"23.41606, 120.38704",不對外開放
學校,378.0,龍德村,嘉義縣水上鄉龍德村2鄰萬能路1號,地下1樓,785,"23.43104, 120.39095",
學校,379.0,龍德村,嘉義縣水上鄉龍德村2鄰萬能路1號,地下1樓,830,"23.43104, 120.39019",
工廠行號,380.0,柳鄉村,嘉義縣水上鄉柳鄉村柳子林199號,地下1樓,326,"23.44683, 120.41743",
工廠行號,381.0,柳鄉村,嘉義縣水上鄉柳鄉村柳子林190-1號,地下1樓,70,"23.44054, 120.41760",
圖書館,382.0,柳林村,嘉義縣水上鄉柳林村80-1號,地下1樓,135,"23.434941, 120.41548",
工廠行號,383.0,寬士村,嘉義縣水上鄉寬士村34-4號,地下1樓,149,,
工廠行號,384.0,柳鄉村,嘉義縣水上鄉柳鄉村柳子林193-1號,地下1樓,149,"23.44662, 120.41952",
工廠行號,385.0,內溪村,嘉義縣水上鄉內溪村30-8號,地下1樓,135,"23.43302, 120.42089",
工廠行號,386.0,寬士村,嘉義縣水上鄉寬士村1-9號,地下1樓,718,"23.4495179, 120.42728",
學校,387.0,民生村,嘉義縣水上鄉民生村立業街3巷2-17號,地下1樓,75,,
大樓,388.0,柳鄉村,嘉義縣水上鄉柳鄉村柳子林175之36-41號,地下1樓,2164,"23.43625, 120.41829",
學校,389.0,柳林村,嘉義縣水上鄉柳林村92號,地下1樓,1087,"23.43503, 120.41529",
工廠行號,390.0,內溪村,嘉義縣水上鄉內溪村6鄰溪仔底7之10號,地下1樓,,"23.44186, 120.42783",
工廠行號,391.0,忠和村,嘉義縣水上鄉忠和村18鄰2-2號,地下1樓,146,"23.41548, 120.43046",
納骨塔,392.0,南鄉村,嘉義縣水上鄉南鄉村1鄰牛稠埔112之3號,地下1樓,1410,"23.42099, 120.45054",
工廠行號,393.0,舊埤里,嘉義縣太保市舊埤里新埤1-1號,地下1樓,221,"23.49425, 120.33356",
工廠行號,394.0,舊埤里,嘉義縣太保市舊埤里35-1號,地下1樓,162,"23.48904, 120.33154",
工廠行號,395.0,舊埤里,嘉義縣太保市舊埤里新埤7-28號,地下1樓,666,"23.49277, 120.33995",
學校,396.0,新埤里,嘉義縣太保市新埤里5鄰新埤214號,地下1樓,542,"23.48546, 120.33447",
工廠行號,397.0,南新里,嘉義縣太保市南新里北港路2段201號,地下1樓,262,"23.4962258, 120.375351",
工廠行號,398.0,南新里,嘉義縣太保市南新里北港路2段201號,地下1樓,2316,"23.4939498, 120.3783243",
工廠行號,399.0,南新里,嘉義縣太保市南新里北港路2段201號,地下1樓,222,"23.4942923, 120.3756512",
工廠行號,400.0,南新里,嘉義縣太保市南新里北港路2段201號,地下1樓,277,"23.4962593, 120.37356",
工廠行號,401.0,南新里,嘉義縣太保市南新里北港路2段201號,地下1樓,3896,"23.4963888, 120.3781367",
工廠行號,402.0,南新里,嘉義縣太保市南新里北港路2段201號,地下1樓,3850,"23.4951038, 120.3785447",
電力公司,403.0,過溝里,嘉義縣太保市過溝里北港路2段599號,地下1樓,40,"23.51036, 120.36165",不對外開放
醫院,404.0,南新里,嘉義縣太保市南新里北港路2段601巷66號,地下1樓,4361,"23.50139, 120.36514",
工廠行號,405.0,南新里,嘉義縣太保市南新里北港路2段85號,地下1樓,121,"23.49649, 120.38179",
工廠行號,406.0,南新里,嘉義縣太保市南新里北港路2段105巷87號,地下1樓,174,"23.49280, 120.37976",
工廠行號,407.0,南新里,嘉義縣太保市南新里北港路2段105巷56號,地下1樓,201,"23.49354, 120.37940",
工廠行號,408.0,南新里,嘉義縣太保市南新里北港路2段105巷52號,地下1樓,45,"23.49402, 120.37962",
工廠行號,409.0,南新里,嘉義縣太保市南新里北港路2段105巷50號,地下1樓,229,"23.49417424649868, 120.37958",
工廠行號,410.0,南新里,嘉義縣太保市南新里北港路2段105巷45號,地下1樓,79,"23.49381, 120.38001",
工廠行號,411.0,南新里,嘉義縣太保市南新里北港路2段105巷37號,地下1樓,697,"23.49457, 120.38014",
工廠行號,412.0,南新里,嘉義縣太保市南新里北港路2段105巷33號,地下1樓,45,"23.49559, 120.38015",
工廠行號,413.0,南新里,嘉義縣太保市南新里南埤路90號,地下1樓,133,"23.49307, 120.38500",
工廠行號,414.0,南新里,嘉義縣太保市南新里南埤路48-1號,地下1樓,24,"23.49429, 120.38454",
工廠行號,415.0,南新里,嘉義縣太保市南新里南埤路48號,地下1樓,61,"23.49499, 120.38416",
工廠行號,416.0,南新里,嘉義縣太保市南新里中興路2段3巷37號,地下1樓,65,"23.49252, 120.38337",
工廠行號,417.0,南新里,嘉義縣太保市南新里中興路2段3巷32號,地下1樓,182,"23.49398, 120.38333",
學校,418.0,南新里,嘉義縣太保市南新里中山路1段140號,地下1樓,287,"23.49772, 120.38404",
學校,419.0,南新里,嘉義縣太保市南新里中山路1段140號,地下1樓,1159,"23.49711, 120.38359",
大樓,420.0,北新里,嘉義縣太保市北新里中山路1段228巷19弄11號,地下1樓,3258,"23.49995, 120.38093",
大樓,421.0,麻寮里,嘉義縣太保市麻寮里民生路90巷60號,地下1樓,1489,"23.50123, 120.37005",
工廠行號,422.0,過溝里,嘉義縣太保市過溝里中興路2號,地下1樓,252,"23.50824, 120.36307",
工廠行號,423.0,過溝里,嘉義縣太保市過溝里中興路5號,地下1樓,94,"23.50865, 120.36116",
工廠行號,424.0,過溝里,嘉義縣太保市過溝里中興路8號,地下1樓,,"23.50762, 120.35963",
工廠行號,425.0,過溝里,嘉義縣太保市過溝里中興路9號,地下1樓,110,"23.50867, 120.36021",
工廠行號,426.0,過溝里,嘉義縣太保市過溝里中興路13號,地下1樓,66,"23.50867, 120.35844",
工廠行號,427.0,過溝里,嘉義縣太保市過溝里中興路14號,地下1樓,257,"23.50794, 120.35791",
工廠行號,428.0,過溝里,嘉義縣太保市過溝里中興路15號,地下1樓,141,"23.50870, 120.35812",
工廠行號,429.0,過溝里,嘉義縣太保市過溝里中興路16號,地下1樓,484,"23.50822, 120.35688",
工廠行號,430.0,過溝里,嘉義縣太保市過溝里中興路17號,地下1樓,162,"23.50867, 120.35743",
工廠行號,431.0,過溝里,嘉義縣太保市過溝里中興路20號,地下1樓,79,"23.50816, 120.35574",
污水處理廠,432.0,過溝里,嘉義縣太保市過溝里中興路21號,地下1樓,498,"23.50898, 120.35588",不對外開放
工廠行號,433.0,過溝里,嘉義縣太保市過溝里光復路2號,地下1樓,122,"23.50566, 120.36444",
工廠行號,434.0,過溝里,嘉義縣太保市過溝里光復路3號,地下1樓,68,"23.50628, 120.36390",
工廠行號,435.0,過溝里,嘉義縣太保市過溝里光復路4號,地下1樓,86,"23.50590, 120.36389",
工廠行號,436.0,過溝里,嘉義縣太保市過溝里光復路5號,地下1樓,,"23.50629, 120.36337",
工廠行號,437.0,過溝里,嘉義縣太保市過溝里光復路6號,地下1樓,172,"23.50597, 120.36301",
工廠行號,438.0,過溝里,嘉義縣太保市過溝里光復路9號,地下1樓,253,"23.50640, 120.36097",
工廠行號,439.0,過溝里,嘉義縣太保市過溝里光復路10號,地下1樓,115,"23.50595, 120.36175",
工廠行號,440.0,過溝里,嘉義縣太保市過溝里光復路10號,地下1樓,220,"23.50598, 120.36274",
工廠行號,441.0,過溝里,嘉義縣太保市過溝里光復路11號,地下1樓,84,"23.50635, 120.36007",
工廠行號,442.0,過溝里,嘉義縣太保市過溝里光復路12號,地下1樓,82,"23.50600, 120.36117",
工廠行號,443.0,過溝里,嘉義縣太保市過溝里光復路13號,地下1樓,72,"23.50647, 120.35963",
工廠行號,444.0,過溝里,嘉義縣太保市過溝里光復路14號,地下1樓,87,"23.50600, 120.36092",
工廠行號,445.0,過溝里,嘉義縣太保市過溝里光復路19號,地下1樓,,"23.50643, 120.35815",
工廠行號,446.0,過溝里,嘉義縣太保市過溝里光復路21號,地下1樓,,"23.50635, 120.35763",
工廠行號,447.0,過溝里,嘉義縣太保市過溝里光復路22號,地下1樓,200,"23.50595, 120.35868",
工廠行號,448.0,過溝里,嘉義縣太保市過溝里光復路23號,地下1樓,97,"23.50634, 120.35712",
工廠行號,449.0,過溝里,嘉義縣太保市過溝里光復路25號,地下1樓,81,"23.50633, 120.35696",
工廠行號,450.0,過溝里,嘉義縣太保市過溝里光復路26號,地下1樓,135,"23.50600, 120.35759",
工廠行號,451.0,過溝里,嘉義縣太保市過溝里光復路27號,地下1樓,14,"23.50668, 120.35650",
工廠行號,452.0,過溝里,嘉義縣太保市過溝里光復路28號,地下1樓,156,"23.50597, 120.35730",
工廠行號,453.0,過溝里,嘉義縣太保市過溝里光復路28-1號,地下1樓,82,"23.50600, 120.35679",
工廠行號,454.0,過溝里,嘉義縣太保市過溝里光復路29號,地下1樓,26,"23.50634, 120.35571",
工廠行號,455.0,過溝里,嘉義縣太保市過溝里光復路29號,地下1樓,56,"23.50634, 120.35571",
工廠行號,456.0,過溝里,嘉義縣太保市過溝里光復路31號,地下1樓,58,"23.50633, 120.35524",
工廠行號,457.0,過溝里,嘉義縣太保市過溝里光復路33號,地下1樓,100,"23.50635, 120.35487",
工廠行號,458.0,過溝里,嘉義縣太保市過溝里光復路34號,地下1樓,91,"23.50568, 120.35536",
工廠行號,459.0,過溝里,嘉義縣太保市過溝里光復路34號,地下1樓,206,"23.50589, 120.35538",
工廠行號,460.0,過溝里,嘉義縣太保市過溝里光復路34號,地下1樓,36,"23.50562, 120.35505",
工廠行號,461.0,過溝里,嘉義縣太保市過溝里光復路35號,地下1樓,24,"23.50631, 120.35429",
工廠行號,462.0,過溝里,嘉義縣太保市過溝里光復路42號,地下1樓,213,"23.50592, 120.35306",
工廠行號,463.0,過溝里,嘉義縣太保市過溝里光復路37號,地下1樓,82,"23.50643, 120.35389",
工廠行號,464.0,過溝里,嘉義縣太保市過溝里嘉太路1號,地下1樓,81,"23.50675, 120.36210",
工廠行號,465.0,過溝里,嘉義縣太保市過溝里嘉太路2號,地下1樓,189,"23.50628, 120.36279",
工廠行號,466.0,過溝里,嘉義縣太保市過溝里嘉太路3號,地下1樓,26,"23.50711, 120.36178",
工廠行號,467.0,過溝里,嘉義縣太保市過溝里嘉太路4號,地下1樓,66,"23.50710, 120.36242",
工廠行號,468.0,過溝里,嘉義縣太保市過溝里嘉太路5號,地下1樓,40,"23.50723, 120.36211",
工廠行號,469.0,過溝里,嘉義縣太保市過溝里嘉太路7號,地下1樓,318,"23.50810, 120.36199",
工廠行號,470.0,過溝里,嘉義縣太保市過溝里嘉太路8號,地下1樓,85,"23.50806, 120.36250",
工廠行號,471.0,過溝里,嘉義縣太保市過溝里建工路1號,地下1樓,125,"23.50938, 120.36020",
工廠行號,472.0,過溝里,嘉義縣太保市過溝里建工路2號,地下1樓,194,"23.50982, 120.36064",
工廠行號,473.0,過溝里,嘉義縣太保市過溝里建工路4號,地下1樓,57,"23.51022, 120.36064",
工廠行號,474.0,過溝里,嘉義縣太保市過溝里建工路6號,地下1樓,63,"23.51041, 120.36065",
工廠行號,475.0,過溝里,嘉義縣太保市過溝里建工路7號,地下1樓,360,"23.51050, 120.35999",
工廠行號,476.0,過溝里,嘉義縣太保市過溝里和順路1號,地下1樓,85,"23.50690, 120.35528",
工廠行號,477.0,過溝里,嘉義縣太保市過溝里和順路2號,地下1樓,80,"23.50715, 120.35560",
工廠行號,478.0,過溝里,嘉義縣太保市過溝里和順路4號,地下1樓,73,"23.50730, 120.35561",
工廠行號,479.0,過溝里,嘉義縣太保市過溝里和順路5號,地下1樓,69,"23.50807, 120.35526",
工廠行號,480.0,過溝里,嘉義縣太保市過溝里和順路6號,地下1樓,33,"23.50770, 120.35561",
