電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備駐
QMA00291,光榮里,屏東縣屏東市光榮里09鄰桂林街102號,1,36.0,屏東分局,
QMA00414,光榮里,屏東縣屏東市光榮里01鄰媽祖巷2號,1,26.0,屏東分局,
QMA00124,大同里,屏東縣屏東市大同里04鄰中山路2號之1,1,26.0,屏東分局,
QMA00,大同里,屏東縣屏東市大同里01鄰中山路40號,1,10.0,屏東分局,
QMA00150,大同里,屏東縣屏東市大同里02鄰中山路44號,1,26.0,屏東分局,
QMA00166,大同里,屏東縣屏東市大同里01鄰中正路30號,1,106.0,屏東分局,
QMA00167,大同里,屏東縣屏東市大同里01鄰中正路40號,1,40.0,屏東分局,
QMA00168,大同里,屏東縣屏東市大同里01鄰中正路42號,1,186.0,屏東分局,
QMA00157,大同里,屏東縣屏東市大同里04鄰中正路64號,1,26.0,屏東分局,
QMA02616,大同里,屏東縣屏東市大同里02鄰中正路72號,1.2.3,3573.0,屏東分局,
QMA00169,大同里,屏東縣屏東市大同里01鄰中正路83號,1,40.0,屏東分局,
QMA02615,大同里,屏東縣屏東市大同里05鄰中正路89號,1,320.0,屏東分局,
QMA00170,大同里,屏東縣屏東市大同里02鄰中正路95號,1,53.0,屏東分局,
QMA00171,大同里,屏東縣屏東市大同里02鄰中正路101號,1,80.0,屏東分局,
QMA00155,大同里,屏東縣屏東市大同里06鄰中正路109號,1,66.0,屏東分局,
QMA00156,大同里,屏東縣屏東市大同里06鄰中正路115之3號,1,40.0,屏東分局,
QMA01989,大同里,屏東縣屏東市大同里02鄰中正路117-2號,1,456.0,屏東分局,
QMA00375,大同里,屏東縣屏東市大同里02鄰中正路119號,1,1082.0,屏東分局,共有2處、總計可容納人數1403人
QMA00376,大同里,屏東縣屏東市大同里02鄰中正路119號,1,321.0,屏東分局,共有2處、總計可容納人數1403人
QMA01990,大同里,屏東縣屏東市大同里02鄰中正路123號,1.2,5205.0,屏東分局,
QMA00164,大同里,屏東縣屏東市大同里01鄰中華路15號,1,160.0,屏東分局,
QMA00163,大同里,屏東縣屏東市大同里01鄰中華路33號,1,53.0,屏東分局,
QMA00159,大同里,屏東縣屏東市大同里04鄰中華路45號,1,26.0,屏東分局,
QMA00160,大同里,屏東縣屏東市大同里04鄰中華路49號,1,26.0,屏東分局,
QMA00158,大同里,屏東縣屏東市大同里04鄰中華路75號,1,26.0,屏東分局,
QMA02067,大同里,屏東縣屏東市大同里04鄰中華路91號,1,2046.0,屏東分局,
QMA00049,大同里,屏東縣屏東市大同里03鄰民族路42巷25號,1,9.0,屏東分局,
QMA00011,大同里,屏東縣屏東市大同里01鄰民族路44號,1,26.0,屏東分局,
QMA00010,大同里,屏東縣屏東市大同里01鄰民族路46號,1,26.0,屏東分局,
QMA00013,大同里,屏東縣屏東市大同里02鄰民族路50號,1,17.0,屏東分局,
QMA00043,大同里,屏東縣屏東市大同里02鄰民族路60號,1,133.0,屏東分局,
QMA00012,大同里,屏東縣屏東市大同里02鄰民族路68號,1,11.0,屏東分局,
