電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層,可容納人數,轄管分局,備註
ZN2560,楠梓區,惠豐里,高雄市楠梓區高楠公路1837號,"22.729188,120.320677",1,402.0,楠梓分局,
ZN2561,楠梓區,享平里,高雄市楠梓區楠梓西巷66號之1,"22.72985378,120.328014267349",1,614.0,楠梓分局,
ZN2562,楠梓區,裕昌里,高雄市楠梓區盛昌街296號,"22.715284,120.289012",2,1251.0,楠梓分局,
ZN2565,楠梓區,藍田里,高雄市楠梓區藍田里大學十七街380號,"22.728912,120.282577",2,402.0,楠梓分局,
ZN2567,楠梓區,瑞屏里,高雄市楠梓區德富街28號,"22.72604,120.297366",1,2553.0,楠梓分局,
ZN2568,楠梓區,東寧里,高雄市楠梓區旗楠路93號,"22.73287128,120.330427679688",2,2685.0,楠梓分局,
ZN2570,楠梓區,五常里,高雄市楠梓區興西路128號,"22.727592,120.333218",2,611.0,楠梓分局,
ZN2572,楠梓區,翠屏里,高雄市楠梓區翠屏里德祥路37號,"22.728373,120.312099",2,285.0,楠梓分局,
ZN2574,楠梓區,藍田里,高雄市楠梓區大學二十街36號,"22.729372,120.283322",3,1254.0,楠梓分局,
ZN2577,楠梓區,中陽里,高雄市楠梓區朝新路170號,"22.72481,120.325107",4,684.0,楠梓分局,
ZN2581,楠梓區,藍田里,高雄市楠梓區大學五十街50號,"22.734532,120.291524",2,1405.0,楠梓分局,
ZN2583,楠梓區,翠屏里,高雄市楠梓區德賢路88號,"22.727941,120.309078",1,2716.0,楠梓分局,
ZN2584,楠梓區,中和里,高雄市楠梓區大學南路1213號,"22.727912,120.275591",3,881.0,楠梓分局,
ZN2587,楠梓區,中陽里,高雄市楠梓區朝明路116巷51號,"22.724336,120.329077",3,1855.0,楠梓分局,
ZN2590,楠梓區,清豐里,高雄市楠梓區寶溪北街6號,"22.746523,120.333326",2,1832.0,楠梓分局,
ZN2591,楠梓區,清豐里,高雄市楠梓區清豐路211號,"22.739409,120.32781",3,847.0,楠梓分局,
ZN2594,楠梓區,翠屏里,高雄市楠梓區德富街282號,"22.729168,120.297766",2,1658.0,楠梓分局,
ZN2596,楠梓區,中和里,高雄市楠梓區大學二十六街1152號,"22.727605,120.277975",2,1316.0,楠梓分局,
ZN2598,楠梓區,藍田里,高雄市楠梓區援中路100號,"22.727229,120.296193",3,758.0,楠梓分局,
ZN2601,楠梓區,中和里,高雄市楠梓區大學二十九路321號,"22.728797,120.275613",1,748.0,楠梓分局,
ZN2602,楠梓區,中和里,高雄市楠梓區大學六十二街56號,"22.730802,120.272986",2,1857.0,楠梓分局,
ZN2604,楠梓區,宏昌里,高雄市楠梓區藍昌路250號,"22.71955,120.290806",2,744.0,楠梓分局,
ZN2611,楠梓區,興昌里,高雄市楠梓區右昌街751巷23號,"22.718468,120.283096",3,1542.0,楠梓分局,
ZN2612,楠梓區,中和里,高雄市楠梓區大學十八街108號,"22.724803,120.276966",3,504.0,楠梓分局,
ZN2613,楠梓區,藍田里,高雄市楠梓區大學二十五路276號,"22.72813,120.280233",2,585.0,楠梓分局,
ZN2614,楠梓區,藍田里,高雄市楠梓區大學路377號,"22.72872918,120.284446825022",2,533.0,楠梓分局,
ZN2615,楠梓區,金田里,高雄市楠梓區金和街168巷62號,"22.724074,120.31859",3,1051.0,楠梓分局,
ZN2616,楠梓區,金田里,高雄市楠梓區高峰街63號,"22.720403,120.315644",2,1300.0,楠梓分局,
ZN2617,楠梓區,五常里,高雄市楠梓區興西路132號,"22.728092,120.333294",4,1807.0,楠梓分局,
ZN2618,楠梓區,中和里,高雄市楠梓區中和里大學五十六街36號,"22.730048,120.276979",2,203.0,楠梓分局,
ZN2619,楠梓區,中和里,高雄市楠梓區中和里大學西路55號,"22.722753,120.281826",2,578.0,楠梓分局,
ZN2620,楠梓區,藍田里,高雄市楠梓區藍田里大學路636號,"22.73189589,120.284824881813",1,766.0,楠梓分局,
ZN2621,楠梓區,藍田里,高雄市楠梓區藍田里大學十街330巷1號,"22.726331,120.286409",2,309.0,楠梓分局,
ZN2622,楠梓區,清豐里,高雄市楠梓區清豐里創新路753號,"22.750117,120.331359",2,415.0,楠梓分局,
ZN2623,楠梓區,東寧里,高雄市楠梓區東寧里楠梓路269巷75號,"22.733101,120.326134",1,2933.0,楠梓分局,
ZN2624,楠梓區,五常里,高雄市楠梓區五常里鳳楠路82號,"22.722673,120.331528",2,2605.0,楠梓分局,
ZN2625,楠梓區,翠屏里,高雄市楠梓區翠屏里德富街286巷1號,"22.729175,120.297978",3,2818.0,楠梓分局,
ZN2626,楠梓區,金田里,高雄市楠梓區金田里金富街113號,"22.725534,120.319541",4,832.0,楠梓分局,
ZN2627,楠梓區,享平里,高雄市楠梓區楠盛街131巷1號,"22.730643,120.332376",1,185.0,楠梓分局,
ZN2628,楠梓區,翠屏里,高雄市楠梓區德民路72號,"22.727841,120.311814",4,2919.0,楠梓分局,
ZN2629,楠梓區,中和里,高雄市楠梓區中和里藍田路1166號,"22.72507105873468, 120.27594623005885",3,428.0,楠梓分局,
ZN2630,楠梓區,中和里,高雄市楠梓區中和里大學三十三街62號,"22.72111107186134, 120.27775230991266",2,600.0,楠梓分局,
ZN2631,楠梓區,藍田里,高雄市楠梓區藍田里大學路298號,"22.728160706074263, 120.28515599590423",3,683.0,楠梓分局,
ZN2632,楠梓區,仁昌里,高雄市楠梓區惠民路271號,"22.723726425104456, 120.29301136598512",4,602.0,楠梓分局,
ZN2633,楠梓區,藍田里,高雄市楠梓區大學東路698號,"22.735293507102153, 120.2908897983406",2,654.0,楠梓分局,
ZN2634,楠梓區,清豐里,高雄市楠梓區芎蕉二街88號,"22.750921656225486, 120.33023076575749",3,662.0,楠梓分局,
ZN2635,楠梓區,中興里,高雄市楠梓區大學二街3號,"22.72312260926614, 120.28368399642514",3,4279.0,楠梓分局,
ZN2636,楠梓區,藍田里,高雄市楠梓區藍田路1129號,"22.72531703029517, 120.2766990036196",5,11270.0,楠梓分局,
ZN2637,楠梓區,中興里,高雄市楠梓區援中路970號,"22.722373777396502, 120.2838362688938",2,2110.0,楠梓分局,
ZN2638,楠梓區,惠民里,高雄市楠梓區惠義街2號（地下1~2層）,"22.731126671636357, 120.32431194005866",2,5011.0,楠梓分局,
ZN2639,楠梓區,中和里,高雄市楠梓區大學二十一路92號（地下1~2層）,"22.72126787378101, 120.27712841122326",2,4126.0,楠梓分局,
ZN2640,楠梓區,藍田里,高雄市楠梓區大學十七街382號（地下1~3層）,"22.729068372084267, 120.2823620400587",3,2108.0,楠梓分局,
ZN2641,楠梓區,中和里,高雄市楠梓區大學二十七街45號（地下1~3層）,"22.7230608890182, 120.2808873688938",3,1511.0,楠梓分局,
ZN2642,楠梓區,中和里,高雄市楠梓區二十七街116號,"22.72290748900714, 120.2809812688938",3,4276.0,楠梓分局,
ZN2643,楠梓區,翠屏里,高雄市楠梓區德富街286巷22號（地下1層）,"22.72902777643036, 120.29788389772901",1,1942.0,楠梓分局,
ZN2644,楠梓區,清豐里,高雄市楠梓區創新路８８８號,"22.749922,120.331819",1,439.0,楠梓分局,
ZN2645,楠梓區,清豐里,高雄市楠梓區卓越路251號,"22.751469,120.32861",1,455.0,楠梓分局,
ZN2646,楠梓區,中興里,高雄市楠梓區大學二十七街180號(1-4層),"22.72291038121406, 120.28093119772892",4,3214.0,楠梓分局,
ZN2647,楠梓區,金田里,高雄市楠梓區金和街199號(1-3層),"22.725854776891133, 120.31906219772917",3,4342.0,楠梓分局,
ZN2648,楠梓區,金田里,高雄市楠梓區金富街1號(地下1層),"22.724002277160093, 120.31918976889386",1,1817.0,楠梓分局,
ZN2649,楠梓區,中陽里,高雄市楠梓區朝明路20巷15號(地下1-3層),"22.72534088103714, 120.32508899772888",3,2614.0,楠梓分局,
ZN2650,楠梓區,金田里,高雄市楠梓區金和街89號,"22.72509698510451, 120.31825184013317",1.2.3,4303.0,楠梓分局,
GS0001,岡山區,岡山里,高雄市岡山區岡山路172號,"22.790139,120.296601",1,1576.0,岡山分局,
GS0002,岡山區,平安里,高雄市岡山區柳橋東路36號,"22.79112486,120.293796425023",1,35.0,岡山分局,
GS0003,岡山區,竹圍里,高雄市岡山區大仁北路1號,"22.802975,120.30283",1,1915.0,岡山分局,
GS0004,岡山區,壽天里,高雄市岡山區公園路50號,"22.796115,120.291073",1,484.0,岡山分局,
GS0006,岡山區,岡山里,高雄市岡山區民有路68號,"22.792150076163267, 120.29638716889457",1,1855.0,岡山分局,
GS0007,岡山區,岡山里,高雄市岡山區岡山路339號,"22.796244,120.295451",1,272.0,岡山分局,
GS0008,岡山區,台上里,高雄市岡山區大寶街27號,"22.805367,120.289702",1,81.0,岡山分局,
GS0009,岡山區,岡山里,高雄市岡山區岡山路341號,"22.79691767581495, 120.29522386889468",1,225.0,岡山分局,
GS0010,岡山區,岡山里,高雄市岡山區岡山路372號,"22.794059,120.295974",1,240.0,岡山分局,
GS0011,岡山區,岡山里,高雄市岡山區岡山路428號,"22.795756,120.295867",1,255.0,岡山分局,
GS0012,岡山區,竹圍里,高雄市岡山區竹圍東街199號,"22.79821,120.304008",1,1111.0,岡山分局,
GS0013,岡山區,竹圍里,高雄市岡山區竹圍東街152巷26號,"22.799367175636092, 120.30294156889488",1,313.0,岡山分局,
GS0014,岡山區,後紅里,高雄市岡山區大德二路187號,"22.789417,120.303562",1,78.0,岡山分局,
GS0016,岡山區,後紅里,高雄市岡山區大德三路9號,"22.789256,120.302082",1,579.0,岡山分局,
GS0017,岡山區,壽天里,高雄市岡山區壽天路10號,"22.796592,120.29518",1,361.0,岡山分局,
GS0018,岡山區,後紅里,高雄市岡山區大仁南路148號,"22.787989,120.302432",1,568.0,岡山分局,
GS0019,岡山區,壽天里,高雄市岡山區岡山路533號,"22.802568,120.289468",1,227.0,岡山分局,
GS0020,岡山區,後紅里,高雄市岡山區大仁南路137巷10號,"22.788792,120.303162",1,1463.0,岡山分局,
GS0021,岡山區,竹圍里,高雄市岡山區竹圍東街85號,"22.80224565,120.303613009515",1,1058.0,岡山分局,
GS0022,岡山區,竹圍里,"高雄市岡山區竹圍東街 180號","22.798878,120.303693",1,585.0,岡山分局,
GS0024,岡山區,竹圍里,高雄市岡山區竹圍南街71號,"22.799988762227176, 120.30266015302715",1,407.0,岡山分局,
GS0025,岡山區,竹圍里,"高雄市岡山區竹圍西街 48號","22.801268504218967, 120.30030006889453",1,890.0,岡山分局,
GS0026,岡山區,竹圍里,高雄市岡山區竹圍西街276號,"22.79791365708468, 120.3003134112244",1,819.0,岡山分局,
GS0034,岡山區,岡山里,高雄市岡山區岡山路434號,"22.796053,120.295899",1,1984.0,岡山分局,
GS0094,岡山區,壽天里,高雄市岡山區壽天里公園路52號,"22.797418,120.290167",1,639.0,岡山分局,
GS0114,岡山區,維仁里,高雄市岡山區維仁里壽天路88號,"22.795461,120.29109",1,447.0,岡山分局,
GS0166,岡山區,後紅里,高雄市岡山區後紅里岡燕路238號,"22.791083,120.30327",1,100.0,岡山分局,
GS0195,岡山區,灣裡里,高雄市岡山區灣裡里前峰路262巷5號,"22.804649,120.280424",1,51.0,岡山分局,
GS0203,岡山區,為隨里,高雄市岡山區為隨東路50號,"22.81836247424741, 120.2902909112247",1,57.0,岡山分局,
GS0232,岡山區,碧紅里,高雄市岡山區岡燕路2巷88號,"22.792904,120.303439",1,66.0,岡山分局,
GS0237,岡山區,台上里,高雄市岡山區台上里嘉新東路100號,"22.808119,120.302618",1,134.0,岡山分局,
GS0276,岡山區,程香里,高雄市岡山區岡燕路387號,"22.792453,120.308691",1,1167.0,岡山分局,
GS0279,岡山區,碧紅里,高雄市岡山區碧紅里中山北路28號,"22.793918344302632, 120.29913983825348",1,551.0,岡山分局,
GS0287,岡山區,大遼里,高雄市岡山區大遼里岡山南路46號,"22.783512,120.29816",1,1704.0,岡山分局,
GS0289,岡山區,岡山里,高雄市岡山區岡山路92號,"22.787987,120.296788",1,1071.0,岡山分局,
GS0294,岡山區,程香里,高雄市岡山區程香里華園路111號,"22.789103,120.305381",1,644.0,岡山分局,
GS0307,岡山區,碧紅里,高雄市岡山區岡燕路115號,"22.791481,120.300168",1,145.0,岡山分局,
GS0316,岡山區,壽天里,高雄市岡山區壽天里公園東路131號,"22.798645,120.290451",1,1082.0,岡山分局,
GS0340,岡山區,岡山里,高雄市岡山區岡山路533號,"22.802568,120.289468",1,2381.0,岡山分局,
GS0346,岡山區,岡山里,高雄市岡山區岡山路533號,"22.802568,120.289468",1,868.0,岡山分局,
GS0352,岡山區,台上里,高雄市岡山區忠誠街219號,"22.802579,120.296634",1,947.0,岡山分局,
GS0353,岡山區,台上里,高雄市岡山區大新街168號,"22.80540587,120.303419125024",1,1947.0,岡山分局,
GS0354,岡山區,台上里,高雄市岡山區忠誠街209號,"22.802245428749842, 120.29675297038636",1,1555.0,岡山分局,
GS0355,岡山區,和平里,高雄市岡山區和平二街9號,"22.78369946961829, 120.30519685495321",1,2494.0,岡山分局,
GS0356,岡山區,大遼里,高雄市岡山區捷安路1巷2號,"22.782330672199528, 120.30027258378855",1,5464.0,岡山分局,
GS0015,岡山區,信義里,高雄市岡山區介壽路60號,"22.785034,120.28671",1,533.0,岡山分局,
GS0029,岡山區,信義里,高雄市岡山區介壽路76號,"22.78464,120.292304",1,222.0,岡山分局,
GS0030,岡山區,協和里,高雄市岡山區後育英路168之1號,"22.794146,120.280546",1,150.0,岡山分局,
GS0032,岡山區,前峰里,"高雄市岡山區公園西路3段8 4巷27號","22.794569100089763, 120.28315215198415",1,33.0,岡山分局,
GS0045,岡山區,壽峰里,高雄市岡山區前峰路154巷10號,"22.79838,120.284715",1,200.0,岡山分局,
GS0112,岡山區,信義里,高雄市岡山區信義里介壽路27號,"22.78443918507882, 120.29662049772958",1,64.0,岡山分局,
GS0169,岡山區,協榮里,高雄市岡山區介壽西路25號,"22.783944,120.283764",1,331.0,岡山分局,
GS0216,岡山區,本洲里,高雄市岡山區本洲里10鄰岡山北路120號,"22.812495,120.277024",1,991.0,岡山分局,
GS0236,岡山區,本洲里,高雄市岡山區育才路88號,"22.805732775170807, 120.27783996889472",1,241.0,岡山分局,
GS0262,岡山區,前峰里,高雄市岡山區前峰里民族路88號,"22.793392,120.287188",1,517.0,岡山分局,
GS0269,岡山區,仁壽里,高雄市岡山區仁壽里中華路68之5號,"22.793005,120.28849",1,157.0,岡山分局,
GS0311,岡山區,後協里,高雄市岡山區後協里22鄰大義二路92號,"22.788308,120.285031",1,915.0,岡山分局,
GS0312,岡山區,後協里,高雄市岡山區後協里7鄰協德街2號,"22.787626,120.282976",1,1166.0,岡山分局,
GS0314,岡山區,仁壽里,高雄市岡山區仁壽里公園西路3段163號,"22.792287,120.284837",1,1665.0,岡山分局,
GS0319,岡山區,前峰里,高雄市岡山區前峰里公園西路3段100號一樓,"22.793873,120.284268",1,399.0,岡山分局,
GS0327,岡山區,協榮里,高雄市岡山區久和路28號,"22.783625,120.28147",1,522.0,岡山分局,
GS0341,岡山區,仁壽里,高雄市岡山區仁壽里仁壽路53號,"22.791381,120.289145",1,674.0,岡山分局,
GS0347,岡山區,壽峰里,高雄市岡山區壽峰里前峰路102號,"22.796147,120.28682",1,236.0,岡山分局,
GS0348,岡山區,信義里,高雄市岡山區信義里11鄰樹人路1號,"22.789449,120.28842",1,544.0,岡山分局,
GS0349,岡山區,仁壽里,高雄市岡山區仁壽里中華路116號,"22.79427466,120.288232996187",1,986.0,岡山分局,
GS0023,岡山區,嘉興里,高雄市岡山區嘉興里嘉華路47號,"22.823118,120.31428",1,107.0,岡山分局,
GS0128,岡山區,嘉興里,高雄市岡山區嘉興里嘉興路641號,"22.826315,120.307401",1,799.0,岡山分局,
GS0204,岡山區,潭底里,高雄市岡山區潭底路301號,"22.83431553104374, 120.3097303401718",1,570.0,岡山分局,
GS0299,岡山區,嘉興里,高雄市岡山區嘉興里興隆街600號,"22.834002,120.297385",1,2092.0,岡山分局,
GS0318,岡山區,嘉興里,高雄市岡山區嘉興里信中街486號,"22.816175,120.31191",1,784.0,岡山分局,
GS0323,岡山區,嘉興里,高雄市岡山區嘉興里興隆街576號,"22.825949,120.299674",1,74.0,岡山分局,
GS0329,岡山區,嘉興里,高雄市岡山區嘉興路322號,"22.821597,120.305291",1,342.0,岡山分局,
GS0339,岡山區,大莊里,高雄市岡山區大莊里5鄰聖得路1號,"22.802143,120.313613",1,582.0,岡山分局,
QT0002,岡山區,芋寮里,橋頭區芋寮路301號,"22.762405,120.27535",1,60.0,岡山分局,
QT0007,岡山區,橋頭里,橋頭區成功路235號,"22.756038,120.310573",1,557.0,岡山分局,
QT0008,岡山區,芋寮里,橋頭區芋寮路301號,"22.762405,120.27535",1,91.0,岡山分局,
QT0022,岡山區,芋寮里,橋頭區芋寮路296號,"22.763771058382854, 120.27678952735553",1,205.0,岡山分局,
QT0023,岡山區,東林里,高雄市橋頭區東林里芋寮路1號,"22.758063,120.291943",1,1250.0,岡山分局,
QT0024,岡山區,西林里,橋頭區芋林路311號,"22.764823,120.28462",1,103.0,岡山分局,
QT0029,岡山區,筆秀里,橋頭區筆秀路88號,"22.76818987,120.30839492145",1,61.0,岡山分局,
QT0030,岡山區,芋寮里,橋頭區芋寮路317號,"22.763549,120.275104",1,488.0,岡山分局,
QT0032,岡山區,橋頭里,橋頭區隆豐路1號,"22.75832888,120.305035396186",1,619.0,岡山分局,
QT0033,岡山區,橋南里,橋頭區橋南路90號,"22.755089,120.312307",1,416.0,岡山分局,
QT0034,岡山區,中崎里,橋頭區中崎路36號,"22.762871,120.32196",1,68.0,岡山分局,
QT0035,岡山區,西林里,橋頭區芋林路301號,"22.76464916,120.283485561869",1,598.0,岡山分局,
QT0036,岡山區,橋頭里,橋頭區成功路57號,"22.759967,120.309262",1,206.0,岡山分局,
QT0037,岡山區,西林里,橋頭區西林路149號,"22.764413,120.285706",1,72.0,岡山分局,
QT0038,岡山區,芋寮里,橋頭區芋寮路297號,"22.763722,120.27562",1,706.0,岡山分局,
QT0039,岡山區,芋寮里,橋頭區芋寮路296之2號,"22.763771058382854, 120.27678952735553",1,1717.0,岡山分局,
QT0041,岡山區,仕豐里,橋頭區仕豐路146之30號,"22.748140679375176, 120.30676899772922",1,2127.0,岡山分局,
QT0043,岡山區,德松里,橋頭區德松路18之1號,"22.764299,120.305497",1,384.0,岡山分局,
QT0044,岡山區,白樹里,橋頭區美德街119號,"22.762050601720016, 120.30245091094054",1,1621.0,岡山分局,
QT0046,岡山區,仕豐里,橋頭區仕豐南路100號,"22.748339,120.309119",1,1200.0,岡山分局,
QT0047,岡山區,仕和里,橋頭區南溝路金福二巷39號,"22.752113,120.306603",1,1609.0,岡山分局,
QT0049,岡山區,白樹里,橋頭區樹德路24號,"22.759108,120.305065",1,666.0,岡山分局,
QT0051,岡山區,橋頭里,橋頭區樹德路200號,"22.761734,120.305353",1,1924.0,岡山分局,
QT0052,岡山區,橋頭里,橋頭區新興路70號,"22.75947,120.307141",1,678.0,岡山分局,
QT0058,岡山區,仕隆里,橋頭區隆豐路121號,"22.755523,120.306056",1,609.0,岡山分局,
QT0054,岡山區,新莊里,高雄市橋頭區新莊里橋新環路207號,"22.740079,120.313754",1,3506.0,岡山分局,
QT0055,岡山區,新莊里,高雄市橋頭區新莊里經武路868號,"22.739314,120.304533",1,3650.0,岡山分局,
QT0056,岡山區,新莊里,高雄市橋頭區經武路911號,"22.73851,120.304377",1,6813.0,岡山分局,
QT0057,岡山區,新莊里,高雄市橋頭區新中五街23號,"22.737183,120.303304",1,979.0,岡山分局,
QT0058,岡山區,新莊里,高雄市橋頭區經武路1130巷111號,"22.738228774705963, 120.2991177143875",1,2989.0,岡山分局,
QT0059,岡山區,新莊里,高雄市橋頭區橋新七路5號,"22.738126,120.31647",1,2724.0,岡山分局,
YC0002,岡山區,西燕里,高雄市燕巢區中民路592號,"22.793386,120.364287",1,172.0,岡山分局,
YC0005,岡山區,安招里,高雄市燕巢區安南路1號,"22.786235,120.340908",1,75.0,岡山分局,
YC0009,岡山區,安招里,高雄市燕巢區安招里安招路643號,"22.788467,120.327287",1,14.0,岡山分局,
YC0010,岡山區,安招里,高雄市燕巢區中安路130號,"22.78712,120.353802",1,374.0,岡山分局,
YC0012,岡山區,南燕里,高雄市燕巢區中民路655號,"22.79331953463875, 120.36011391977745",1,17.0,岡山分局,
YC0014,岡山區,南燕里,高雄市燕巢區南燕里中民路577號,"22.793101,120.362539",1,683.0,岡山分局,
YC0016,岡山區,瓊林里,高雄市燕巢區瓊林里瓊林路1005號,"22.789936,120.315432",1,95.0,岡山分局,
YC0023,岡山區,西燕里,高雄市燕巢區西燕里中華路106號,"22.795047,120.362312",1,150.0,岡山分局,
YC0025,岡山區,西燕里,高雄市燕巢區中西路199號,"22.794651,120.358352",1,493.0,岡山分局,
YC0031,岡山區,南燕里,高雄市燕巢區南燕里中興路431號,"22.782198,120.362007",1,184.0,岡山分局,
YC0039,岡山區,瓊林里,高雄市燕巢區瓊林里安招路1068號,"22.788983,120.316419",1,99.0,岡山分局,
YC0044,岡山區,安招里,高雄市燕巢區安招里安招路639號,"22.785855,120.328489",1,486.0,岡山分局,
YC0047,岡山區,南燕里,高雄市燕巢區南燕里中民路707巷7號,"22.792619,120.358783",1,532.0,岡山分局,
YC0057,岡山區,東燕里,高雄市燕巢區中華路177號,"22.699767688033752, 120.35017415281504",1,684.0,岡山分局,
YC0001,岡山區,鳳雄里,高雄市燕巢區鳳旗路300號,"22.75319,120.352708",1,155.0,岡山分局,
YC0015,岡山區,角宿里,高雄市燕巢區四林路122號,"22.776232,120.345853",1,369.0,岡山分局,
YC0019,岡山區,角宿里,高雄市燕巢區安新路360號,"22.782342,120.334412",1,334.0,岡山分局,
YC0026,岡山區,角宿里,高雄市燕巢區四林路123號,"22.776398,120.346577",1,97.0,岡山分局,
YC0027,岡山區,角宿里,高雄市燕巢區四林路124號,"22.77605,120.345982",1,49.0,岡山分局,
YC0028,岡山區,角宿里,高雄市燕巢區四林路134號,"22.777152,120.344813",1,202.0,岡山分局,
YC0029,岡山區,角宿里,高雄市燕巢區四林路106號,"22.778721,120.348177",1,86.0,岡山分局,
YC0032,岡山區,角宿里,高雄市燕巢區中安路600號,"22.782784,120.340952",1,117.0,岡山分局,
YC0033,岡山區,角宿里,高雄市燕巢區四林路116號,"22.774063,120.345443",1,66.0,岡山分局,
YC0035,岡山區,角宿里,高雄市燕巢區四林路121巷26號,"22.776050985083174, 120.34712066889432",1,121.0,岡山分局,
YC0042,岡山區,鳳雄里,高雄市燕巢區鳳雄里角宿路488號,"22.759828403609365, 120.3595642718001",1,231.0,岡山分局,
YC0051,岡山區,鳳雄里,高雄市燕巢區大學路1號,"22.758409,120.338027",1,848.0,岡山分局,
YC0052,岡山區,鳳雄里,高雄市燕巢區大學路1號,"22.758409,120.338027",1,1244.0,岡山分局,
YC0064,岡山區,角宿里,高雄市燕巢區角宿里四林路108號,"22.778603,120.349236",1,124.0,岡山分局,
YC0020,岡山區,橫山里,高雄市燕巢區橫山里正德新村1號,"22.759419,120.371591",1,445.0,岡山分局,
YC0024,岡山區,深水里,高雄市燕巢區深水路1號,"22.780995,120.418893",1,199.0,岡山分局,
YC0034,岡山區,深水里,高雄市燕巢區深水里臥牛巷5號,"22.77488915,120.383304701416",1,240.0,岡山分局,
YC0036,岡山區,橫山里,高雄市燕巢區橫山里橫山路75號,"22.763,120.372378",1,778.0,岡山分局,
YC0048,岡山區,橫山里,高雄市燕巢區橫山里正德新村6號,"22.760221,120.37223",1,1200.0,岡山分局,
YC0049,岡山區,橫山里,高雄市燕巢區橫山里正德新村12號,"22.761019,120.373712",1,178.0,岡山分局,
YC0050,岡山區,橫山里,高雄市燕巢區橫山里正德新村4號,"22.761167,120.369596",1,272.0,岡山分局,
YC0054,岡山區,深水里,高雄市燕巢區深水里深中路62號,"22.781783,120.404405",1,1492.0,岡山分局,
YC0055,岡山區,橫山里,高雄市燕巢區橫山里橫山路59號,"22.764627,120.374968",1,1583.0,岡山分局,
YC0061,岡山區,深水里,高雄市燕巢區深水里深水路3之20號,"22.781645,120.416714",1,2688.0,岡山分局,
YC0065,岡山區,深水里,高雄市燕巢區深水村9鄰深中路58號,"22.79259,120.405463",1,998.0,岡山分局,
ZG0001,岡山區,梓義里,高雄市梓官區梓信里梓官路258號,"22.760644926609366, 120.2673158567562",1,113.0,岡山分局,
ZG0004,岡山區,同安里,高雄市梓官區大舍東路293號,"22.753339,120.266397",1,130.0,岡山分局,
ZG0005,岡山區,梓義里,高雄市梓官區安厝里中崙路260號,"22.761236,120.268745",1,125.0,岡山分局,
ZG0007,岡山區,梓信里,高雄市梓官區梓信里公館路45號,"22.764651,120.267641",1,89.0,岡山分局,
ZG0009,岡山區,梓義里,高雄市梓官區梓義里14鄰進學路80號,"22.760732,120.264532",1,88.0,岡山分局,
ZG0010,岡山區,梓和里,高雄市梓官區梓和里和平路220巷40號,"22.757432,120.264405",1,74.0,岡山分局,
ZG0011,岡山區,梓信里,高雄市梓官區梓信里信德街6號,"22.765577,120.255163",1,81.0,岡山分局,
ZG0014,岡山區,梓信里,高雄市梓官區梓信里信德路12號,"22.765042,120.255474",1,67.0,岡山分局,
ZG0015,岡山區,梓和里,高雄市梓官區進學路61號,"22.759594,120.264663",1,535.0,岡山分局,
ZG0016,岡山區,梓信里,高雄市梓官區梓信里信德街17號,"22.765166,120.255949",1,168.0,岡山分局,
ZG0017,岡山區,梓義里,高雄市梓官區中崙路316號,"22.761002,120.267469",1,363.0,岡山分局,
ZG0002,岡山區,典寶里,高雄市梓官區典寶里嘉展路152號,"22.737829,120.26069",1,61.0,岡山分局,
ZG0003,岡山區,禮蚵里,高雄市梓官區禮蚵里光明路152號,"22.73311659,120.250380925022",1,88.0,岡山分局,
ZG0006,岡山區,茄苳里,高雄市梓官區茄苳里嘉展路467之1號,"22.734643,120.253488",1,115.0,岡山分局,
ZG0008,岡山區,赤崁里,高雄市梓官區赤崁里赤崁北路336號,"22.74502,120.24651",1,118.0,岡山分局,
ZG0012,岡山區,信蚵里,高雄市梓官區信蚵里漁港二路32號,"22.726437,120.255958",1,288.0,岡山分局,
ZG0013,岡山區,信蚵里,高雄市梓官區信蚵里中正路77號,"22.727672,120.257195",1,904.0,岡山分局,
MT0003,岡山區,彌仁里,高雄市彌陀區中華路4號,"22.781655,120.250639",1,223.0,岡山分局,
MT0004,岡山區,彌陀里,高雄市彌陀區中華路55號,"22.781008,120.249436",1,840.0,岡山分局,
MT0005,岡山區,彌仁里,高雄市彌陀區中華路2號,"22.781721,120.250927",1,155.0,岡山分局,
MT0006,岡山區,彌陀里,高雄市彌陀區中正路7號,"22.77929,120.249657",1,174.0,岡山分局,
MT0007,岡山區,鹽埕里,高雄市彌陀區鹽埕大路231號,"22.793835,120.243675",1,82.0,岡山分局,
MT0008,岡山區,漯底里,高雄市彌陀區四維路1之1號,"22.763302,120.244399",1,141.0,岡山分局,
MT0009,岡山區,南寮里,高雄市彌陀區新莊路107號,"22.75886773,120.244438048175",1,120.0,岡山分局,
MT0014,岡山區,鹽埕里,高雄市彌陀區產業路172號,"22.793348245866113, 120.24221039642042",1,184.0,岡山分局,
MT0002,岡山區,文安里,高雄市彌陀區文安里文安路154號,"22.794889,120.234667",1,40.0,岡山分局,
YA0001,岡山區,維新里,高雄市永安區維新里永工二路19號,"22.815657,120.251833",1,40.0,岡山分局,
YA0002,岡山區,維新里,高雄市永安區維新里永工一路15號,"22.814879,120.25357",1,54.0,岡山分局,
YA0003,岡山區,維新里,高雄市永安區維新里永工二路21號,"22.816265,120.251818",1,60.0,岡山分局,
YA0004,岡山區,維新里,高雄市永安區維新村永工三路18號,"22.81359087,120.249945825024",1,68.0,岡山分局,
