電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
SNA00098,私人透天,勝安村,花蓮縣吉安鄉自強路300巷30號,1.0,46人,,花蓮縣吉安鄉自強路300巷30號
SNA00099,私人透天,勝安村,花蓮縣吉安鄉民治路267號,1.0,17人,,花蓮縣吉安鄉民治路267號
SNA00100,私人透天,勝安村,花蓮縣吉安鄉民治路290號,1.0,41人,,花蓮縣吉安鄉民治路290號
SNA00101,私人透天,北昌村,花蓮縣吉安鄉建國路一段60號,1.0,352人,,花蓮縣吉安鄉建國路一段60號
SNA00102,公寓,勝安村,花蓮縣吉安鄉慈惠二街122號,1.0,586人,,花蓮縣吉安鄉慈惠二街122號
SNA00103,弘羿消防公司,勝安村,花蓮縣吉安鄉中央路三段308號,1.0,40人,,花蓮縣吉安鄉中央路三段308號
SNA00104,華廈,北昌村,花蓮縣吉安鄉中央路三段609號,1.0,86人,,花蓮縣吉安鄉中央路三段609號
SNA00105,華廈,北昌村,花蓮縣吉安鄉北昌五街52號,1.0,568人,,花蓮縣吉安鄉北昌五街52號
SNA00106,自立華廈,北昌村,花蓮縣吉安鄉自立路34巷8號,1.0,21人,,花蓮縣吉安鄉自立路34巷8號
SNA00107,公寓,北昌村,花蓮縣吉安鄉北昌三街54巷10號,1.0,926人,,花蓮縣吉安鄉北昌三街54巷10號
SNA00108,太昌郵局,永安村,花蓮縣吉安鄉吉安路一段35號,1.0,225人,,花蓮縣吉安鄉吉安路一段35號
SNA00109,慈濟科技大學,太昌村,花蓮縣吉安鄉建國路二段880號,1.0,2293人,,花蓮縣吉安鄉建國路二段880號
SNA00110,慈濟科技大學,太昌村,花蓮縣吉安鄉建國路二段882號,1.0,1272人,,花蓮縣吉安鄉建國路二段882號
SNA00111,慈濟醫學暨人文社會學院,國興里,花蓮市介仁街67號,1.0,1968人,,花蓮市介仁街67號
SNA00112,慈濟科技大學,太昌村,花蓮縣吉安鄉建國路二段880號,1.0,2150人,,花蓮縣吉安鄉建國路二段880號
SNA00113,慈濟大學附屬高中,國興里,花蓮市介仁街178號,1.0,4752人,,花蓮市介仁街178號
SNA00114,吉安中興路加油站,吉安村,花蓮縣吉安鄉中興路121號,1.0,36人,,花蓮縣吉安鄉中興路121號
SNA00115,吉安鄉農會,吉安村,花蓮縣吉安鄉吉安路二段90號,1.0,818人,,花蓮縣吉安鄉吉安路二段90號
SNA00116,上騰職業學校,吉安村,花蓮縣吉安鄉吉興四街101號,1.0,338人,,花蓮縣吉安鄉吉興四街101號
SNA00117,捷盟行銷有限公司,稻香村,花蓮縣吉安鄉香源路65號,1.0,128人,,花蓮縣吉安鄉香源路65號
SNA00118,台灣石業有限公司,永興村,花蓮縣吉安鄉吉豐路三段495號,1.0,46人,,花蓮縣吉安鄉吉豐路三段495號
SNA00119,台灣石業有限公司,永興村,花蓮縣吉安鄉吉豐路三段495號,1.0,125人,,花蓮縣吉安鄉吉豐路三段495號
SNA00120,台灣石業有限公司,永興村,花蓮縣吉安鄉吉豐路三段495號,1.0,125人,,花蓮縣吉安鄉吉豐路三段495號
SNA00121,台灣石業有限公司,永興村,花蓮縣吉安鄉吉豐路三段495號,1.0,125人,,花蓮縣吉安鄉吉豐路三段495號
SNA00122,固道瀝青混凝土股份有限公司,稻香村,花蓮縣吉安鄉香源路20號,1.0,316人,,花蓮縣吉安鄉香源路20號
SNA00123,金東里汽車修理廠,稻香村,花蓮縣吉安鄉吉興路一段231號,1.0,92人,,花蓮縣吉安鄉吉興路一段231號
SNA00124,志學分支郵局,志學村,花蓮縣壽豐鄉中山路二段202號,1.0,169人,,花蓮縣壽豐鄉中山路二段202號
SNA00125,志學新邨社區,志學村,花蓮縣壽豐鄉志學新邨68號,1.0,2548人,,花蓮縣壽豐鄉志學新邨68號
SNA00126,華廈,平和村,花蓮縣壽豐鄉吳全129號,1.0,1064人,,花蓮縣壽豐鄉吳全129號
SNA00127,華廈,平和村,花蓮縣壽豐鄉吳全129之1號,1.0,1633人,,花蓮縣壽豐鄉吳全129之1號
SNA00128,公寓,平和村,花蓮縣壽豐鄉吳全131號,1.0,1326人,,花蓮縣壽豐鄉吳全131號
