類別,電腦編號,村里別,經度緯度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
公寓,D0108008,南上里,"25.041799,121.301922",1,650人,龜山分局,,
公寓,D0109009,南上里,"25.042192,121.298575",1,24人,龜山分局,,
公寓,D0110010,南上里,"25.043669,121.297673",1,34人,龜山分局,,
公寓,D0111011,南上里,"25.043877,121.298068",1,7673人,龜山分局,O,
公寓,D0201013,南上里,"25.033739,121.305071",1,88人,龜山分局,,
公寓,D0203015,南上里,"25.033629,121.302651",1,18人,龜山分局,,
公寓,D0204016,南上里,"25.032343,121.305362",1,11153人,龜山分局,O,
公務機關,D0205017,南上里,",",1,1618人,龜山分局,O,機敏單位
公寓,D0206018,南上里,"25.031915,121.305451",1,944人,龜山分局,,
金融機構,D0210022,南上里,",",1,424人,龜山分局,,機敏單位
公寓,D0211023,南上里,"25.033996,121.303377",1,262人,龜山分局,,
公寓,D0212024,南上里,"25.036252,121.301941",1,1120人,龜山分局,,
公寓,D0213025,南上里,"25.035706,121.301818",1,118人,龜山分局,,
公寓,D0214026,南上里,"25.036058,121.303629",1,70人,龜山分局,,
公寓,D0216028,南上里,"25.033899,121.302562",1,32人,龜山分局,,
公寓,D0217029,南上里,"25.034859,121.302152",1,4人,龜山分局,,
公務機關,D0218030,南上里,",",1,1104人,龜山分局,,機敏單位
公寓,D0219031,南上里,"25.031262,121.304001",1,1053人,龜山分局,,
公寓,D0301032,大坑里,"25.044474,121.306676",1,21人,龜山分局,,
公寓,D0302033,大坑里,"25.044940,121.304547",1,102人,龜山分局,,
公寓,D0303034,大坑里,"25.044654,121.307039",1,21人,龜山分局,,
公寓,D0309042,大坑里,"25.043914,121.307100",1,2000人,龜山分局,O,
公寓,D0311044,大坑里,"25.044654,121.307039",1,284人,龜山分局,,
公寓,D0313046,大坑里,"25.044112,121.308663",1,149人,龜山分局,,
公寓,D0314047,大坑里,"25.044342,121.305980",1,344人,龜山分局,,
公寓,D0315048,大坑里,"25.044954,121.307576",1,69人,龜山分局,,
公寓,D0316049,大坑里,"25.045591,121.304671",1,44人,龜山分局,,
公寓,D0318051,大坑里,"25.044957,121.306685",1,40人,龜山分局,,
公寓,D0319052,大坑里,"25.044649,121.305756",1,480人,龜山分局,,
公寓,D0601058,南上里,"25.047739,121.296189",1,428人,龜山分局,,
金融機構,D0317060,大坑里,",",1,44人,龜山分局,,機敏單位
公務機關,D0220061,南上里,",",1,392人,龜山分局,,機敏單位
大樓,D0113062,南上里,"25.043718,121.298392",2,3482人,龜山分局,O,
公寓,D0317063,大坑里,"25.043913,121.303544",1,1508人,龜山分局,O,
公寓,D0221063,南上里,"25.033996,121.303377",1,873人,龜山分局,,
公寓,D0221065,大坑里,"25.044649,121.305756",1,629人,龜山分局,,
公寓,D0322064,南上里,"25.033611,121.305122",1,930人,龜山分局,,
公務機關,A0103003,龜山里,",",1,582,龜山分局,,機敏單位
龜山國小,A0105005,龜山里,"24.994070,121.339314",1,653人,龜山分局,,
桃園縣政府,A1404087,大同里,"24.992180,121.341078",1,2861人,龜山分局,O,
桃園市政府,A1406089,大同里,"24.992180,121.341078",1,260人,龜山分局,,
銘傳大學,A1407090,大同里,"24.984739,121.344382",1,2210人,龜山分局,O,
銘傳大學,A1408091,大同里,"24.984739,121.344382",1,1588人,龜山分局,O,
自強國小,A2704122,大同里,"24.997650,121.345680",1,1634人,龜山分局,O,
新路國小,A2001126,新路里,"24.995201,121.336513",1,1200人,龜山分局,O,
銘傳大學,A1419127,大同里,"24.984739,121.344382",1,2708人,龜山分局,O,
龜山區公所,A1201129,新路里,"24.992533,121.337821",1,1008人,龜山分局,O,
壽山高中,A2703154,大同里,"24.994246,121.342153",1,781人,龜山分局,,
龜山區公所,F1430042,山頂里,"24.987331,121.329474",1,829人,龜山分局,,
龜山區公所,F1604048,新興里,"24.992011,121.338483",1,2009人,龜山分局,O,
成功工商,F1701050,新興里,"24.988945,121.340943",1,968人,龜山分局,,
幸福國中,F0301058,幸福里,"24.987998,121.332102",1,916人,龜山分局,,
幸福國中,F0302059,幸福里,"24.987998,121.332102",1,754人,龜山分局,,
法務部矯正署台北監獄,F1440069,山頂里,"24.980008,121.331534",1,2539人,龜山分局,O,
文華國小,G1601129,大華里,"25.051131,121.365071",1,1320人,龜山分局,O,
大埔國小,E0201005,舊路里,"25.030304,121.375164",1,594人,龜山分局,,
長庚醫學院,E0301006,舊路里,"25.033395,121.385344",1,1745人,龜山分局,O,
國立體育學院,E0302007,舊路里,"25.031391,121.385469",1,366人,龜山分局,,
國立體育學院,E0305009,舊路里,"25.031391,121.385469",1,1812人,龜山分局,O,
長庚大學,E0306010,舊路里,"25.033395,121.385344",1,3451人,龜山分局,O,
長庚大學,E0307011,舊路里,"25.033395,121.385344",1,9998人,龜山分局,O,
台灣省環保處,E0505016,樂善里,"25.056155,121.378581",1,626人,龜山分局,,
國立體育大學,E0512042,樂善里,"25.038229,121.384970",1,263人,龜山分局,,
長庚國小,E1701047,長庚里,"25.061760,121.387054",1,1088人,龜山分局,O,
樂善國民小學,E1701057,樂善里,"25.052381,121.382634",1,1603人,龜山分局,O,
中央警察大學,C0401002,大崗里,"25.045840,121.353087",1,3017人,龜山分局,O,
中央警察大學,C0401002,大崗里,"25.045957,121.353862",2,5083人,龜山分局,O,
龍華科技大學,B0802032,龍華里,"25.018691,121.401527",1,574人,龜山分局,,
龍華科技大學,B0804034,龍華里,"25.018691,121.401527",1,1340人,龜山分局,O,
龍華科技大學,B0805035,龍華里,"25.018691,121.401527",1,1340人,龜山分局,O,
龍華科技大學,B0806036,龍華里,"25.018691,121.401527",1,1310人,龜山分局,O,
迴龍國中小學,B1303053,迴龍里,"25.019425,121.405103",1,3036人,龜山分局,O,
公務機關,B0102061,迴龍里,",",1,440人,龜山分局,,機敏單位
大坑國民小學,D0320053,大坑里,"25.044998,121.314590",1,926人,龜山分局,,
大樓,G1908176,大華里,"25.050035,121.360872",1,964人,龜山分局,,
大樓,G1908175,文化里,"25.054017,121.374019",1,406人,龜山分局,,
大樓,E1801062,樂善里,"25.048732,121.381634",4,3381人,龜山分局,O,
大樓,E1801063,樂善里,"25.050111,121.388786",5,7822人,龜山分局,O,
大樓,E1801064,樂善里,"25.051078,121.386045",4,2463人,龜山分局,O,
大樓,E1801065,樂善里,"25.052101,121.383345",3,5338人,龜山分局,O,
大樓,E1801066,樂善里,"25.046617,121.385166",6,5628人,龜山分局,O,
大樓,G1908177,公西里,"25.058676,121.365922",3,1327人,龜山分局,O,
工廠,A0505018,楓樹里,"25.000803,121.345237",1,410,龜山分局,,
公寓,A3702156,楓樹里,"25.010223,121.341406",1,249,龜山分局,,
工廠,B0110110,龍華里,"25.016529,121.398750",2,782,龜山分局,,
工廠,F131475,山頂里,"24.985378,121.329466",1,329,龜山分局,,
大樓,G1908178,文化里,"25.049949,121.373369",2,8156,龜山分局,,
公寓,A0104004,龜山里,"24.994731,121.337691",1,362,龜山分局,,
大樓,A1103077,新路里,"24.991316,121.333933",1,2404,龜山分局,,
公寓,G2102001,文化里,"25.056208,121.373217",2,1224人,龜山分局,O,
大樓,E1701067,文青里,"25.041257,121.386197",5,9863人,龜山分局,O,
工廠,D0502041,南美里,"25.043029,121.303636",1,1130人,龜山分局,,
大樓,D0503054,南美里,"25.045310,121.301036",1,1780人,龜山分局,,
工廠,D0504055,南美里,"25.046192,121.302155",1,85人,龜山分局,,
大樓,D0505056,南美里,"25.047758,121.299989",1,445人,龜山分局,,
大樓,D0506057,南美里,"25.047948,121.299375",2,752人,龜山分局,,
大樓,D0507059,南美里,"25.047408,121.299166",3,1468人,,,
大樓,A2101157,楓福里,"25.005158,121.345983",2,2383人,龜山分局,O,
大樓,A2201158,楓福里,"25.003709,121.347894",2,1914人,龜山分局,O,
大樓,G2103001,文化里,"25.046133,121.378359",4,3921人,龜山分局,O,
公寓,B0310055,龍華里,"25.017337,121.399689",1,463人,龜山分局,,
公寓,D2106066,南上里,"25.046858,121.296220",1,368人,龜山分局,,
大樓,C1010039,大崗里,"25.054324,121.354902",2,5201人,龜山分局,O,
大樓,E1801068,文青里,"25.040005,121.387579",2,1208人,龜山分局,O,
大樓,E1701069,樂善里,"25.048981,121.382321",5,3896人,龜山分局,O,
大樓,E1801070,長庚里,"25.053757,121.384269",4,2719人,龜山分局,O,
大樓,E2201071,樂善里,"25.051172,121.385039",8,3858人,龜山分局,O,
大樓,E2201072,長庚里,"25.053028,121.383636",5,2892人,龜山分局,O,
大樓,E2201073,樂善里,"25.048511,121.384719",4,15287人,龜山分局,O,
大樓,E2201074,樂善里,"25.048511,121.384719",1,608人,龜山分局,,
大樓,E2201075,樂善里,"25.048193,121.382634",8,4205人,龜山分局,O,
大樓,F1101076,山頂里,"24.984013,121.333140",1,1639人,龜山分局,O,
大樓,F111277,新興里,"24.989191,121.332815",1,1559人,龜山分局,O,
大樓,D2203067,南美里,"25.044540,121.303220",1,1302人,龜山分局,O,
大樓,G2201001,大華里,"25.054040,121.363090",2,741人,龜山分局,,
大樓,G2201002,文化里,"25.048460,121.376360",4,3888人,龜山分局,O,
大樓,E2201076,長庚里,"25.054180,121.383402",4,2799人,龜山分局,O,
大樓,E2201077,樂善里,"25.046050,121.389440",4,2812人,龜山分局,O,
大樓,E2201078,樂善里,"25.046380,121.386070",4,4747人,龜山分局,O,
大樓,E2201079,樂善里,"25.055930,121.379480",1,552人,龜山分局,,
公務機關,F131478,新興里,,1,1281人,龜山分局,,機敏單位
大樓,G2201003,文化里,"25.058214,121.369440",1,1403人,龜山分局,,
大樓,G2201005,文化里,"25.056734,121.366594",2,595人,龜山分局,O,
公寓,G2201006,文化里,"25.058645,121.366890",1,517人,龜山分局,,
大樓,E2202080,樂善里,"25.046310,121.384466",4,6032人,龜山分局,O,
大樓,E2202081,樂善里,"25.044192,121.386039",4,1825人,龜山分局,O,
公寓,E2202082,樂善里,"25.051575,121.395354",1,710人,龜山分局,,
大樓,E2202083,文青里,"25.038624,121.388260",4,1833人,龜山分局,O,
大樓,E2202084,樂善里,"25.050891,121.383903",4,3621人,龜山分局,O,
