類別,電腦編號,里別,座落,緯度,經度,新計算容量,轄管分局
一般住宅,FOA00269,南市里,新竹市東區南市里勝利路202號B1,24.8007085,120.9659018,28.0,第三分局
一般住宅,FOA00270,南市里,新竹市東區南市里勝利路204號,24.8007258,120.96588,17.0,第三分局
一般住宅,FOA00271,南市里,新竹市東區南市里勝利路214巷11號B1,24.8007769,120.965674,70.0,第三分局
一般住宅,FOA00272,南市里,新竹市東區南市里林森路125號B1,24.8000683,120.9661887,45.0,第三分局
一般住宅,FOA00273,南市里,新竹市東區南市里勝利路202巷10號B1,24.8007085,120.9659018,24.0,第三分局
一般住宅,FOA00274,南市里,新竹市東區南市里勝利路202巷14號B1,24.8007085,120.9659018,44.0,第三分局
一般住宅,FOA00275,南市里,新竹市東區南市里西大路315巷8號B1,24.8014915,120.9658668,74.0,第三分局
一般住宅,FOA00276,南市里,新竹市東區南市里勝利路236號B1,24.8010877,120.9653174,18.0,第三分局
一般住宅,FOA00277,南市里,新竹市東區南市里勝利路234號B1,24.8010679,120.9653481,18.0,第三分局
一般住宅,FOA00278,南市里,"新竹市東區南市里林森路145號 B2",24.7997535,120.9656685,461.0,第三分局
一般住宅,FOA00279,新興里,新竹市東區新興里西大路37號,24.7949489,120.971997,18.0,第三分局
一般住宅,FOA00280,新興里,新竹市東區新興里西大路139號,24.796675,120.969575,21.0,第三分局
一般住宅,FOA00281,新興里,新竹市東區新興里西大路141號,24.7967041,120.969533,53.0,第三分局
一般住宅,FOA00282,新興里,新竹市東區新興里西大路143號,24.796733,120.969491,20.0,第三分局
一般住宅,FOA00283,新興里,新竹市東區新興里南大路371號,24.7966831,120.968761,55.0,第三分局
一般住宅,FOA00284,新興里,新竹市東區新興里明湖路28巷27號,24.7958293,120.9678444,34.0,第三分局
一般住宅,FOA00285,新興里,新竹市東區新興里明湖路27號,24.795915,120.969818,26.0,第三分局
一般住宅,FOA00286,新興里,新竹市東區新興里明湖路26號,24.7959141,120.969453,46.0,第三分局
一般住宅,FOA00287,振興里,新竹市東區振興里南大路636號,24.7930535,120.962726,184.0,第三分局
一般住宅,FOA00289,振興里,新竹市東區振興里南大路640號,24.7930139,120.9626547,86.0,第三分局
一般住宅,FOA00290,振興里,新竹市東區振興里南大路660號,24.7925352,120.9626297,20.0,第三分局
一般住宅,FOA00291,振興里,新竹市東區振興里南大路656號,24.7926423,120.9626155,166.0,第三分局
一般住宅,FOA00292,振興里,新竹市東區振興里南大路654號,24.7927039,120.9626127,176.0,第三分局
一般住宅,FOA00293,振興里,"新竹市東區振興里振興一街26號 B1",24.7943989,120.9623224,513.0,第三分局
一般住宅,FOA00294,振興里,"新竹市東區振興里25鄰振興路85巷20號 B1",24.7948139,120.9610638,1562.0,第三分局
一般住宅,FOA00295,振興里,新竹市東區振興里振興路81號,24.7948364,120.9613542,14.0,第三分局
一般住宅,FOA00296,振興里,"新竹市東區振興里振興路99巷12號 B1",24.7950739,120.960552,675.0,第三分局
一般住宅,FOA00298,振興里,"新竹市東區振興里振興路137號 B1",24.7960316,120.9604359,348.0,第三分局
一般住宅,FOA00299,南市里,新竹市東區南市里中華路二段595號B1,24.7993202,120.9674237,55.0,第三分局
一般住宅,FOA00300,南市里,新竹市東區南市里中華路二段639號B1,24.7987181,120.9666282,26.0,第三分局
一般住宅,FOA00301,南市里,"新竹市東區南市里中華路二段615號 B1",24.7990151,120.9671102,446.0,第三分局
一般住宅,FOA00302,南市里,新竹市東區南市里中華路二段604號B1,24.7991982,120.9668652,37.0,第三分局
一般住宅,FOA00303,南市里,新竹市東區南市里南城街55號B1,24.7993503,120.9661618,20.0,第三分局
一般住宅,FOA00304,南市里,新竹市東區南市里德高街25號B1,24.799939,120.965275,11.0,第三分局
一般住宅,FOA00305,南市里,新竹市東區南市里德高街21號,24.8000629,120.9652862,20.0,第三分局
一般住宅,FOA00306,南市里,新竹市東區南市里林森路130.136號,24.8023174,120.9696944,88.0,第三分局
一般住宅,FOA00307,南市里,新竹市東區南市里勝利路101號B1,24.8002947,120.9665198,38.0,第三分局
一般住宅,FOA00308,南市里,新竹市東區南市里勝利路125號B1,24.800401,120.9658985,12.0,第三分局
一般住宅,FOA00309,南市里,新竹市東區南市里勝利路232號B1,24.8010414,120.9653799,54.0,第三分局
一般住宅,FOA00310,南市里,新竹市東區南市里勝利路238號B1,24.8011082,120.9652868,17.0,第三分局
一般住宅,FOA00311,南市里,新竹市東區南市里勝利路230號B1,24.8010177,120.9654083,17.0,第三分局
一般住宅,FOA00312,南市里,新竹市東區南市里勝利路240號,24.801138,120.965274,14.0,第三分局
一般住宅,FOA00313,南市里,新竹市東區南市里西大路313號B1,24.8014112,120.9659062,27.0,第三分局
一般住宅,FOA00314,南市里,新竹市東區南市里勝利路11號B1,24.8013006,120.9694733,55.0,第三分局
一般住宅,FOA00315,新興里,新竹市東區新興里食品路322號B1,24.7940669,120.9705861,41.0,第三分局
一般住宅,FOA00316,新興里,新竹市東區新興里食品路272號B1,24.7943507,120.9716035,204.0,第三分局
一般住宅,FOA00317,新興里,新竹市東區新興里食品路326巷30-32號B1,24.79526,120.9703227,125.0,第三分局
一般住宅,FOA00318,新興里,新竹市東區新興里食品路358號B1,24.794065,120.9696231,17.0,第三分局
一般住宅,FOA00322,新興里,新竹市東區新興里食品路360號B1,24.794061,120.969574,27.0,第三分局
一般住宅,FOA00323,新興里,新竹市東區新興里食品路354號B1,24.7940114,120.9697782,20.0,第三分局
一般住宅,FOA00324,新興里,新竹市東區新興里食品路374-376號B1,24.7939683,120.9692223,128.0,第三分局
一般住宅,FOA00325,新興里,新竹市東區新興里食品路370號B1,24.7940741,120.969311,44.0,第三分局
一般住宅,FOA00326,新興里,新竹市東區新興里食品路378巷23號,24.7944639,120.9689477,83.0,第三分局
一般住宅,FOA00327,新興里,新竹市東區新興里食品路366巷14-16號,24.7944361,120.9695768,76.0,第三分局
一般住宅,FOA00328,新興里,"新竹市東區新興里食品路366巷1、3號 B1",24.7942909,120.9693863,77.0,第三分局
一般住宅,FOA00329,新興里,新竹市東區新興里西大路119號,24.796451,120.970019,274.0,第三分局
一般住宅,FOA00330,新興里,新竹市東區新興里西大路99-107號B1,24.796017,120.970474,176.0,第三分局
一般住宅,FOA00331,新興里,新竹市東區新興里南大路473巷7弄21號B1,24.7956839,120.9671041,91.0,第三分局
一般住宅,FOA00332,新興里,新竹市東區新興里南大路475號B1,24.795494,120.9664052,31.0,第三分局
一般住宅,FOA00333,新興里,新竹市東區新興里南大路473巷5號B1,24.795316,120.9666247,24.0,第三分局
一般住宅,FOA00334,高峰里,新竹市東區高峰里28鄰寶山路200巷3號,24.7899193,120.9760527,198.0,第三分局
一般住宅,FOA00335,高峰里,新竹市東區高峰里9鄰寶山路136-138號,24.7923016,120.9752919,36.0,第三分局
一般住宅,FOA00336,高峰里,新竹市東區高峰里27鄰寶山路150巷2-20號,24.7916788,120.9753705,247.0,第三分局
一般住宅,FOA00337,高峰里,新竹市東區高峰里9鄰寶山路88-90號,24.7930085,120.974432,77.0,第三分局
一般住宅,FOA00338,高峰里,新竹市東區高峰里8鄰寶山路174號,24.7910787,120.9760523,115.0,第三分局
一般住宅,FOA00339,高峰里,新竹市東區高峰里8鄰寶山路178號,24.7909362,120.9761053,41.0,第三分局
一般住宅,FOA00340,高峰里,新竹市東區高峰里10鄰寶山路26-28號,24.7938638,120.9733838,35.0,第三分局
公有建築物,FOA00341,新光里,"新竹市東區新光里1鄰食品路331號 B2",24.7934621,120.97083,1492.0,第三分局
一般住宅,FOA00342,新光里,新竹市東區新光里13鄰明湖路112巷7號,24.7933383,120.9676956,120.0,第三分局
一般住宅,FOA00343,新光里,新竹市東區新光里13鄰明湖路106號,24.7935275,120.9682343,26.0,第三分局
一般住宅,FOA00344,新光里,新竹市東區新光里13鄰明湖路108號,24.7934776,120.9682275,26.0,第三分局
公有建築物,FOA00345,新光里,新竹市東區新光里4鄰高峰路56號,24.7926484,120.973314,138.0,第三分局
一般住宅,FOA00346,新光里,新竹市東區新光里13鄰明湖路110號,24.793428,120.9682147,26.0,第三分局
一般住宅,FOA00347,新光里,新竹市東區新光里1鄰食品路361號,24.793664,120.969862,41.0,第三分局
一般住宅,FOA00348,新光里,新竹市東區新光里20鄰高峰路120-122號,24.793746,120.972738,294.0,第三分局
一般住宅,FOA00349,新光里,新竹市東區新光里1鄰食品路409號,24.7823753,120.9671472,23.0,第三分局
一般住宅,FOA00350,新光里,新竹市東區新光里13鄰食品路432號,24.793941,120.967643,37.0,第三分局
一般住宅,FOA00351,新光里,新竹市東區新光里13鄰明湖路112巷6號,24.7933383,120.9676956,120.0,第三分局
公有建築物,FOA00352,新光里,"新竹市東區新光里4鄰高峰路56號 B1",24.7926484,120.973314,1147.0,第三分局
公有建築物,FOA00353,新光里,新竹市東區新光里1鄰食品路331號,24.7934621,120.97083,84.0,第三分局
公有建築物,FOA00354,新光里,新竹市東區新光里1鄰食品路331號,24.7945884,120.9722759,484.0,第三分局
一般住宅,FOA00355,新光里,新竹市東區新光里食品路365-369號,24.793717,120.9697045,66.0,第三分局
一般住宅,FOA00356,新光里,新竹市東區新光里1鄰明湖路131巷3號,24.7935382,120.9685655,142.0,第三分局
供公眾使用建築物,FOA00357,明湖里,新竹市東區明湖里明湖路1006巷2號,24.768815,120.977371,513.0,第三分局
一般住宅,FOA00358,柴橋里,新竹市東區柴橋里13鄰柴橋路138號,24.7699901,120.9660536,253.0,第三分局
一般住宅,FOA00359,柴橋里,"新竹市東區柴橋里19鄰柴橋路59巷70號 B1",24.7704848,120.9665086,867.0,第三分局
一般住宅,FOA00360,柴橋里,"新竹市東區柴橋里19鄰柴橋路59巷70號 B1",24.7713461,120.9659386,1791.0,第三分局
一般住宅,FOA00361,明湖里,"新竹市東區明湖里8鄰明湖路1050巷55號 B1",24.7656199,120.9782469,421.0,第三分局
一般住宅,FOA00362,湖濱里,"新竹市東區湖濱里1鄰明湖路446-1號 B1",24.7841092,120.9674687,526.0,第三分局
一般住宅,FOA00363,湖濱里,新竹市東區湖濱里1鄰明湖路410號,24.7851611,120.9674422,97.0,第三分局
一般住宅,FOA00364,湖濱里,新竹市東區湖濱里1鄰明湖路442號,24.7842506,120.9674139,16.0,第三分局
一般住宅,FOA00365,湖濱里,新竹市東區湖濱里1鄰明湖路422號,24.7848286,120.9674322,91.0,第三分局
一般住宅,FOA00366,湖濱里,新竹市東區湖濱里7鄰明湖路442巷28-30號,24.7842506,120.9674139,86.0,第三分局
一般住宅,FOA00367,湖濱里,新竹市東區湖濱里1鄰明湖路416號,24.7849697,120.9675163,44.0,第三分局
一般住宅,FOA00368,高峰里,新竹市東區高峰里11鄰高峰路1號,24.7941605,120.9728639,101.0,第三分局
一般住宅,FOA00369,高峰里,"新竹市東區高峰里11鄰高峰路35號 B1",24.7934222,120.9732066,396.0,第三分局
供公眾使用建築物,FOA00371,高峰里,新竹市東區高峰里12鄰高峰路111號,24.7918771,120.9738732,27.0,第三分局
供公眾使用建築物,FOA00372,高峰里,新竹市東區高峰里12鄰高峰路111號,24.7918771,120.9738732,83.0,第三分局
一般住宅,FOA00373,高峰里,新竹市東區高峰里11鄰高峰路55巷4號,24.7929218,120.9737954,45.0,第三分局
一般住宅,FOA00374,光鎮里,新竹市東區光鎮里3鄰南大路573-1號,24.7891158,120.9665176,72.0,第三分局
一般住宅,FOA00375,光鎮里,"新竹市東區光鎮里15鄰南大路523號 B1",24.7915909,120.9640712,472.0,第三分局
一般住宅,FOA00376,光鎮里,"新竹市東區光鎮里14鄰南大路545號 B1",24.7910868,120.9646186,1156.0,第三分局
一般住宅,FOA00378,光鎮里,"新竹市東區光鎮里13鄰南大路537巷18號 B1",24.7913791,120.9658684,477.0,第三分局
一般住宅,FOA00379,光鎮里,新竹市東區光鎮里18鄰南大路537巷30-32號,24.7912084,120.9658599,81.0,第三分局
一般住宅,FOA00380,光鎮里,新竹市東區光鎮里3鄰南大路573號,24.7892453,120.9664665,26.0,第三分局
公有建築物,FOA00381,光鎮里,新竹市東區光鎮里南大路569號,24.7901418,120.9656076,102.0,第三分局
公有建築物,FOA00382,光鎮里,新竹市東區光鎮里南大路569號,24.7901418,120.9656076,56.0,第三分局
一般住宅,FOA00383,光鎮里,新竹市東區光鎮里12鄰南大路778號,24.78946,120.965568,14.0,第三分局
一般住宅,FOA00384,光鎮里,新竹市東區光鎮里12鄰南大路810-816號,24.788918,120.966299,43.0,第三分局
一般住宅,FOA00385,光鎮里,新竹市東區光鎮里12鄰南大路798-806號,24.7892445,120.9661304,67.0,第三分局
一般住宅,FOA00386,光鎮里,新竹市東區光鎮里6鄰南大路878巷29號,24.7874135,120.9643818,23.0,第三分局
一般住宅,FOA00387,光鎮里,新竹市東區光鎮里6鄰南大路878巷33號,24.7874135,120.9643818,21.0,第三分局
一般住宅,FOA00388,光鎮里,"新竹市東區光鎮里南大路714-720號 B1",24.791466,120.9640529,302.0,第三分局
一般住宅,FOA00389,光鎮里,新竹市東區光鎮里6鄰南大路878巷31號,24.7874135,120.9643818,23.0,第三分局
一般住宅,FOA00390,光鎮里,新竹市東區光鎮里6鄰南大路878巷35號,24.7877237,120.9642795,21.0,第三分局
一般住宅,FOA00391,光鎮里,新竹市東區光鎮里6鄰南大路878巷25號,24.7874586,120.9644119,43.0,第三分局
一般住宅,FOA00392,光鎮里,新竹市東區光鎮里6鄰南大路878巷27號,24.7874135,120.9643818,47.0,第三分局
一般住宅,FOA00393,光鎮里,新竹市東區光鎮里6鄰南大路878巷23號,24.7874457,120.9644699,42.0,第三分局
一般住宅,FOA00394,新光里,新竹市東區新光里19鄰明湖路198巷3-5號,24.7917875,120.9681761,56.0,第三分局
一般住宅,FOA00397,湖濱里,新竹市東區湖濱里14鄰明湖路441巷6號,24.7811782,120.9668071,175.0,第三分局
一般住宅,FOA00398,新光里,新竹市東區新光里12鄰明湖路175巷7-13號,24.7926472,120.9691373,150.0,第三分局
一般住宅,FOA00399,新光里,新竹市東區新光里8鄰明湖路315-329號,24.787431,120.9679168,150.0,第三分局
一般住宅,FOA00400,湖濱里,"新竹市東區湖濱里9鄰明湖路393巷25弄21號 B1",24.7790978,120.9706921,1393.0,第三分局
一般住宅,FOA00401,湖濱里,新竹市東區湖濱里10鄰明湖路476號,24.7819778,120.9668107,151.0,第三分局
一般住宅,FOA00402,柴橋里,"新竹市東區柴橋里8鄰明湖路648巷79號 B1-B2",24.7721735,120.9635698,702.0,第三分局
一般住宅,FOA00403,樹下里,新竹市香山區樹下里樹下街1巷7號B1,24.7961334,120.9323491,66.0,第三分局
一般住宅,FOA00405,樹下里,新竹市香山區樹下里牛埔南路448號B1,24.7916908,120.9311637,56.0,第三分局
一般住宅,FOA00406,樹下里,新竹市香山區樹下里牛埔南路348號,24.7953911,120.932787,51.0,第三分局
一般住宅,FOA00407,樹下里,新竹市香山區樹下里牛埔南路518號B1,24.7901391,120.930308,106.0,第三分局
一般住宅,FOA00408,樹下里,新竹市香山區樹下里牛埔南路496巷26號B1,24.7913787,120.9300141,143.0,第三分局
一般住宅,FOA00409,樹下里,新竹市香山區樹下里牛埔南路450號B1,24.791661,120.931058,98.0,第三分局
一般住宅,FOA00410,樹下里,新竹市香山區樹下里牛埔南路376巷9號B1,24.7934852,120.9318066,33.0,第三分局
一般住宅,FOA00411,樹下里,新竹市香山區樹下里牛埔南路376巷15號B1,24.7933168,120.931576,34.0,第三分局
一般住宅,FOA00413,樹下里,新竹市香山區樹下里樹下街1巷6號B1,24.7958039,120.9321248,28.0,第三分局
一般住宅,FOA00414,樹下里,新竹市香山區樹下里牛埔南路496巷51號,24.7905992,120.9308525,35.0,第三分局
一般住宅,FOA00415,樹下里,新竹市香山區樹下里中華路4段606巷23號B1,24.7892373,120.9296085,92.0,第三分局
一般住宅,FOA00416,樹下里,新竹市香山區樹下里牛埔南路366號B1,24.7946462,120.9323478,115.0,第三分局
一般住宅,FOA00417,樹下里,新竹市香山區樹下里牛埔南路458號B1,24.79154,120.93131,31.0,第三分局
一般住宅,FOA00418,樹下里,新竹市香山區樹下里牛埔南路528號B1,24.7896567,120.9301973,18.0,第三分局
一般住宅,FOA00419,樹下里,新竹市香山區樹下里牛埔南路374巷5號B1,24.7938473,120.9324665,150.0,第三分局
一般住宅,FOA00420,樹下里,新竹市香山區樹下里樹下街9號B1,24.7958892,120.9331691,30.0,第三分局
公有建築物,FOA00421,埔前里,新竹市香山區埔前里牛埔路432號B1,24.7976284,120.9426109,137.0,第三分局
一般住宅,FOA00422,埔前里,新竹市香山區埔前里牛埔北路38巷28號,24.7988821,120.9423906,195.0,第三分局
一般住宅,FOA00423,埔前里,新竹市香山區埔前里牛埔北路37巷19號,24.7978165,120.9412494,222.0,第三分局
供公眾使用建築物,FOA00424,埔前里,新竹市香山區埔前里牛埔北路66號B1,24.7986618,120.9415713,31.0,第三分局
一般住宅,FOA00425,牛埔里,"新竹市香山區牛埔里15鄰牛埔東路247號 B2",24.7960257,120.9440171,2401.0,第三分局
公有建築物,FOA00426,牛埔里,新竹市香山區牛埔里牛埔路387號B1,24.7974574,120.9430906,613.0,第三分局
一般住宅,FOA00427,牛埔里,新竹市香山區牛埔里牛埔東路307號,24.7954727,120.9423504,171.0,第三分局
一般住宅,FOA00428,牛埔里,新竹市香山區牛埔里牛埔東路270號,24.795973,120.9430768,273.0,第三分局
供公眾使用建築物,FOA00429,牛埔里,新竹市香山區牛埔里中華路4段561號,24.789742,120.934183,137.0,第三分局
一般住宅,FOA00430,牛埔里,新竹市香山區牛埔里5鄰中華路4段314號B1,24.7935796,120.9445687,354.0,第三分局
供公眾使用建築物,FOA00431,牛埔里,新竹市香山區牛埔里中華路4段569號,24.7900685,120.9338321,51.0,第三分局
一般住宅,FOA00432,牛埔里,新竹市香山區牛埔里中華路4段617號,24.7894768,120.9319451,103.0,第三分局
供公眾使用建築物,FOA00433,牛埔里,新竹市香山區牛埔里中華路4段511號,24.790525,120.936789,18.0,第三分局
供公眾使用建築物,FOA00434,埔前里,"新竹市香山區埔前里7鄰中華路4段470號 B1",24.7911338,120.9373215,1497.0,第三分局
一般住宅,FOA00435,牛埔里,新竹市香山區牛埔里中華路4段553號,24.790312,120.935262,62.0,第三分局
一般住宅,FOA00436,牛埔里,新竹市香山區牛埔里牛埔東路320-326號,24.7955212,120.9419064,67.0,第三分局
一般住宅,FOA00437,牛埔里,新竹市香山區牛埔里牛埔路413巷11-3號,24.7964568,120.94201,183.0,第三分局
一般住宅,FOA00438,牛埔里,新竹市香山區牛埔里牛埔路413巷26號B1,24.7956912,120.9419632,65.0,第三分局
一般住宅,FOA00439,牛埔里,新竹市香山區牛埔里牛埔東路286號,24.7958499,120.9427968,136.0,第三分局
一般住宅,FOA00440,牛埔里,新竹市香山區牛埔里牛埔東路328號,24.7954472,120.9417242,20.0,第三分局
一般住宅,FOA00441,牛埔里,新竹市香山區牛埔里牛埔東路217號B1,24.7962846,120.9447179,71.0,第三分局
公有建築物,FOA00442,牛埔里,新竹市香山區牛埔里牛埔路387號,24.7974574,120.9430906,281.0,第三分局
一般住宅,FOA00443,牛埔里,新竹市香山區牛埔里牛埔東路330號,24.7954472,120.9417242,25.0,第三分局
供公眾使用建築物,FOA00444,埔前里,新竹市香山區埔前里中華路4段516號,24.7895989,120.9319504,31.0,第三分局
供公眾使用建築物,FOA00445,牛埔里,新竹市香山區牛埔里中華路4段593號,24.7896219,120.9327309,264.0,第三分局
一般住宅,FOA00447,埔前里,新竹市香山區埔前里中華路4段434巷33號,24.792859,120.9402408,93.0,第三分局
供公眾使用建築物,FOA00449,埔前里,新竹市香山區埔前里牛埔南路105號,24.7964074,120.9374488,216.0,第三分局
一般住宅,FOA00450,埔前里,新竹市香山區埔前里牛埔南路207巷1號,24.7919602,120.9326124,24.0,第三分局
一般住宅,FOA00451,埔前里,新竹市香山區埔前里中華路4段394號,24.7924985,120.9418521,36.0,第三分局
一般住宅,FOA00452,埔前里,新竹市香山區埔前里牛埔南路13號,24.7935108,120.9418131,58.0,第三分局
一般住宅,FOA00453,埔前里,新竹市香山區埔前里樹下街18號B1,24.7970391,120.934001,27.0,第三分局
供公眾使用建築物,FOA00454,牛埔里,新竹市香山區牛埔里牛埔南路16號,24.7931713,120.9425529,168.0,第三分局
供公眾使用建築物,FOA00456,埔前里,新竹市香山區埔前里牛埔南路246巷2號,24.7964142,120.935144,48.0,第三分局
一般住宅,FOA00458,埔前里,新竹市香山區埔前里牛埔南路246巷8號,24.796764,120.935148,22.0,第三分局
一般住宅,FOA00459,埔前里,新竹市香山區埔前里牛埔南路336號,24.795617,120.9334028,47.0,第三分局
一般住宅,FOA00460,埔前里,新竹市香山區埔前里中華路4段434巷51號,24.7933696,120.94057,97.0,第三分局
供公眾使用建築物,FOA00461,埔前里,新竹市香山區埔前里浸水街7號,24.7964544,120.9377667,34.0,第三分局
供公眾使用建築物,FOA00462,埔前里,新竹市香山區埔前里中華路4段436號,24.7916686,120.9391962,84.0,第三分局
供公眾使用建築物,FOA00463,埔前里,新竹市香山區埔前里中華路4段434巷25號,24.7926139,120.9397529,121.0,第三分局
供公眾使用建築物,FOA00464,埔前里,新竹市香山區埔前里中華路4段434巷14號,24.791788,120.939592,18.0,第三分局
供公眾使用建築物,FOA00465,埔前里,新竹市香山區埔前里中華路4段434巷29號,24.7927937,120.9399277,40.0,第三分局
一般住宅,FOA00466,埔前里,新竹市香山區埔前里牛埔南路127號,24.7962,120.936445,61.0,第三分局
一般住宅,FOA00467,埔前里,新竹市香山區埔前里浸水街34巷53號B1,24.7979993,120.9367944,425.0,第三分局
供公眾使用建築物,FOA00469,埔前里,新竹市香山區埔前里牛埔南路123號,24.796485,120.936693,193.0,第三分局
供公眾使用建築物,FOA00470,埔前里,新竹市香山區埔前里牛埔南路135號,24.795969,120.935742,153.0,第三分局
一般住宅,FOA00473,埔前里,新竹市香山區埔前里中華路4段402號,24.7923247,120.9412087,20.0,第三分局
供公眾使用建築物,FOA00474,埔前里,新竹市香山區埔前里浸水街30號B1,24.797762,120.9372,40.0,第三分局
供公眾使用建築物,FOA00475,埔前里,新竹市香山區埔前里牛埔南路161號,24.795839,120.934602,206.0,第三分局
一般住宅,FOA00478,埔前里,新竹市香山區埔前里牛埔南路214號,24.796568,120.936475,20.0,第三分局
供公眾使用建築物,FOA00479,埔前里,新竹市香山區埔前里浸水街3號,24.7969857,120.9371083,54.0,第三分局
一般住宅,FOA00481,頂福里,新竹市香山區頂福里3鄰中山路666號B1,24.795056,120.953808,720.0,第三分局
一般住宅,FOA00482,頂福里,新竹市香山區頂福里中山路640巷160號B1,24.795544,120.9521627,519.0,第三分局
一般住宅,FOA00483,頂埔里,新竹市香山區頂埔里中山路538號,24.798154,120.9562608,69.0,第三分局
一般住宅,FOA00484,頂福里,"新竹市香山區頂福里12鄰中山路642號 B1",24.79567,120.954268,2203.0,第三分局
一般住宅,FOA00485,頂福里,新竹市香山區頂福里中山路640巷84號B1,24.7960359,120.953605,326.0,第三分局
一般住宅,FOA00489,中埔里,新竹市香山區中埔里牛埔東路168號,24.7976624,120.9473316,35.0,第三分局
一般住宅,FOA00490,中埔里,新竹市香山區中埔里牛埔東路186號,24.7974835,120.9470301,28.0,第三分局
一般住宅,FOA00491,中埔里,新竹市香山區中埔里牛埔東路105號,24.7974761,120.948003,86.0,第三分局
一般住宅,FOA00492,中埔里,新竹市香山區中埔里牛埔路270號,24.8002701,120.947576,40.0,第三分局
一般住宅,FOA00493,中埔里,新竹市香山區中埔里牛埔路244號,24.800307,120.948213,115.0,第三分局
一般住宅,FOA00495,中埔里,新竹市香山區中埔里牛埔東路103號,24.7977095,120.9481409,26.0,第三分局
供公眾使用建築物,FOA00496,中埔里,新竹市香山區中埔里牛埔路247巷8號B1,24.7991293,120.9466252,482.0,第三分局
供公眾使用建築物,FOA00497,中埔里,新竹市香山區中埔里牛埔路308號,24.7999782,120.9459991,177.0,第三分局
一般住宅,FOA00498,中埔里,新竹市香山區中埔里華北路71號,24.7969761,120.9471535,246.0,第三分局
一般住宅,FOA00499,中埔里,新竹市香山區中埔里牛埔東路107號,24.7975642,120.9478473,94.0,第三分局
一般住宅,FOA00500,中埔里,新竹市香山區中埔里華北路107號,24.7961014,120.9476925,84.0,第三分局
一般住宅,FOA00501,頂埔里,新竹市香山區頂埔里經國路3段95號,24.797995,120.953243,103.0,第三分局
一般住宅,FOA00502,頂埔里,新竹市香山區頂埔里經國路3段93號,24.7980451,120.953263,24.0,第三分局
一般住宅,FOA00503,頂埔里,新竹市香山區頂埔里經國路3段97號,24.797946,120.953223,22.0,第三分局
一般住宅,FOA00504,頂埔里,"新竹市香山區頂埔里經國路3段73巷20弄1號 B1",24.7979849,120.9541872,1698.0,第三分局
公有建築物,FOA00505,頂福里,"新竹市香山區頂福里10鄰頂埔路23號 B1",24.7979136,120.9502543,2625.0,第三分局
一般住宅,FOA00506,頂福里,新竹市香山區頂福里10鄰頂埔路26號B1,24.7971289,120.9512118,679.0,第三分局
一般住宅,FOA00507,頂埔里,新竹市香山區頂埔里牛埔路80-90號,24.7991271,120.954256,123.0,第三分局
一般住宅,FOA00508,頂埔里,新竹市香山區頂埔里牛埔路154號,24.7996836,120.9520852,218.0,第三分局
一般住宅,FOA00509,頂埔里,新竹市香山區頂埔里23鄰牛埔路158號B1,24.7997667,120.951946,628.0,第三分局
一般住宅,FOA00510,頂埔里,"新竹市香山區頂埔里20鄰牛埔路160巷1號 B1",24.7999615,120.9519621,481.0,第三分局
一般住宅,FOA00511,頂福里,"新竹市香山區頂福里頂埔路19巷1號 B1",24.7967933,120.9508621,751.0,第三分局
一般住宅,FOA00512,頂福里,新竹市香山區頂福里頂埔路1-17號,24.7965599,120.9512551,207.0,第三分局
公有建築物,FOA00513,頂埔里,新竹市香山區頂埔里經國路3段126號,24.7970804,120.9522219,232.0,第三分局
公有建築物,FOA00514,頂埔里,新竹市香山區頂埔里牛埔路188號,24.8001621,120.9503288,432.0,第三分局
一般住宅,FOA00515,頂埔里,新竹市香山區頂埔里21鄰牛埔路165號B1,24.7998175,120.9506288,259.0,第三分局
一般住宅,FOA00516,頂埔里,新竹市香山區頂埔里中山路530號,24.7983337,120.9563706,30.0,第三分局
一般住宅,FOA00517,頂福里,新竹市香山區頂福里14鄰中山路640巷9號B1,24.795692,120.953862,436.0,第三分局
一般住宅,FOA00518,頂埔里,新竹市香山區頂埔里7鄰中華路4段62號B1,24.7967894,120.9537847,738.0,第三分局
一般住宅,FOA00519,頂埔里,新竹市香山區頂埔里中山路518號,24.7985095,120.9565244,28.0,第三分局
一般住宅,FOA00520,頂埔里,新竹市香山區頂埔里中山路570號,24.7974836,120.9557137,108.0,第三分局
一般住宅,FOA00521,頂埔里,新竹市香山區頂埔里中山路510號,24.7986385,120.9565791,28.0,第三分局
一般住宅,FOA00522,頂福里,新竹市香山區頂福里中山路640巷8號,24.796105,120.954314,256.0,第三分局
一般住宅,FOA00524,頂埔里,新竹市香山區頂埔里中華路4段250號,24.7947823,120.9476419,186.0,第三分局
一般住宅,FOA00526,頂埔里,新竹市香山區頂埔里牛埔路177號,24.799536,120.950085,148.0,第三分局
一般住宅,FOA00527,中埔里,新竹市香山區中埔里牛埔東路187號,24.796684,120.9456065,86.0,第三分局
一般住宅,FOA00530,虎山里,新竹市香山區虎山里牛埔北路185號,24.8028938,120.9395646,275.0,第三分局
一般住宅,FOA00531,虎林里,"新竹市香山區虎林里延平路2段95-1號 B1",24.8048647,120.9411541,795.0,第三分局
一般住宅,FOA00532,頂竹里,新竹市東區頂竹里竹蓮街26巷28號,24.7980101,120.9724904,35.0,第三分局
一般住宅,FOA00533,頂竹里,新竹市東區頂竹里15鄰東南街76號,24.798594,120.9732838,53.0,第三分局
