類別,電腦編號,村里別,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,placemark_address
工廠,EVW10005,新興里,1,"52 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹路119巷6號
工廠,EVW10006,新興里,1,"34 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹路111巷9號
工廠,EVW10007,新興里,1,"37 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹路111巷7號
工廠,EVW10008,新興里,1,"34 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹路119巷9號
工廠,EVW10009,新興里,1,"36 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹路111巷5號
工廠,EVW10011,上竹里,1,"26 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹路234號
工廠,EVW10012,上竹里,1,"93 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹路261號
工廠,EVW10015,上竹里,1,"94 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹路263號
工廠,EVW10016,上竹里,1,"68 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹路258號
大樓,EVW10019,上興里,1,"4,593 ",蘆竹分局,大竹所,O,桃園市蘆竹區大竹路483號
工廠,EVW10020,新興里,1,"276 ",蘆竹分局,大竹所,
工廠,EVW10022,新莊里,1,"480 ",蘆竹分局,大竹所,,桃園市蘆竹區大新路814巷91號
工廠,EVW10023,新莊里,1,"300 ",蘆竹分局,大竹所,,桃園市蘆竹區大新路814巷91號
工廠,EVW10024,新莊里,1,"1,118 ",蘆竹分局,大竹所,,桃園市蘆竹區大新路938巷110號
工廠,EVW10025,新莊里,1,"53 ",蘆竹分局,大竹所,,桃園市蘆竹區大新路814巷66號
工廠,EVW10026,新莊里,1,"66 ",蘆竹分局,大竹所,,桃園市蘆竹區大新路812號
大樓,EVW10027,大竹里,1,"1,025 ",蘆竹分局,大竹所,O,桃園市蘆竹區大新三街71號
工廠,EVW10033,中福里,1,"49 ",蘆竹分局,大竹所,
工廠,EVW10036,中福里,1,"72 ",蘆竹分局,大竹所,,桃園市蘆竹區龍壽街一段8號
工廠,EVW10050,新興里,1,"41 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹路285號
工廠,EVW10053,新莊里,1,"1,717 ",蘆竹分局,大竹所,,桃園市蘆竹區大新路938巷110號
學校,EVW10055,新興里,1,"6,084 ",蘆竹分局,大竹所,O,桃園市蘆竹區開南路1號
大樓,EVW10056,上竹里,1,"1,141 ",蘆竹分局,大竹所,O,桃園市蘆竹區愛國一路90號
工廠,EVW10057,新興里,1,"116 ",蘆竹分局,大竹所,,桃園市蘆竹區新興街127號
工廠,EVW10059,新莊里,1,"941 ",蘆竹分局,大竹所,,桃園市蘆竹區大新路938巷110號
工廠,EVW10060,新興里,1,"777 ",蘆竹分局,大竹所,,桃園市蘆竹區中興一街150號
工廠,EVW10062,新莊里,1,"3,506 ",蘆竹分局,大竹所,O,桃園市蘆竹區大新路814巷91號
大樓,EVW10063,上竹里,1,"2,633 ",蘆竹分局,大竹所,O,桃園市蘆竹區上竹二街1號
工廠,EVW10064,新莊里,1,"172 ",蘆竹分局,大竹所,,桃園市蘆竹區大興路20巷21弄11號
工廠,EVW10065,新莊里,1,"1,498 ",蘆竹分局,大竹所,,桃園市蘆竹區大興路20巷21弄9號
學校,EVW10066,大竹里,1,"796 ",蘆竹分局,大竹所,O,桃園市蘆竹區大竹路556號
公寓,EVW10067,大竹里,1,"236 ",蘆竹分局,大竹所,,桃園市蘆竹區新福街28號
學校,EVW10068,新興里,1,"3,146 ",蘆竹分局,大竹所,O,桃園市蘆竹區開南路1號
學校,EVW10069,新興里,1,"1,849 ",蘆竹分局,大竹所,O,桃園市蘆竹區開南路1號
工廠,EVW10070,中福里,1,"980 ",蘆竹分局,大竹所,,桃園市蘆竹區文中路一段168號
公寓,EVW10071,大竹里,1,"238 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹路533號
學校,EVW10072,大竹里,1,"1,168 ",蘆竹分局,大竹所,O,桃園市蘆竹區大竹路國中巷35號
大樓,EVW10073,中興里,1,"2,069 ",蘆竹分局,大竹所,O,桃園市蘆竹區上興路371號
大樓,EVW10074,中興里,1,"2,965 ",蘆竹分局,大竹所,O,桃園市蘆竹區興中街100巷1號
學校,EVW10075,新興里,1,"2,424 ",蘆竹分局,大竹所,O,桃園市蘆竹區文中路一段35號
大樓,EVW10076,中興里,1,"5,312 ",蘆竹分局,大竹所,O,桃園市蘆竹區興中街51號
學校,EVW10077,宏竹里,1,"617 ",蘆竹分局,大竹所,O,桃園市蘆竹區大華街98號
學校,EVW10078,新興里,1,"2,425 ",蘆竹分局,大竹所,O,桃園市蘆竹區文中路一段35號
大樓,EVW10079,上竹里,1,"1,841 ",蘆竹分局,大竹所,O,桃園市蘆竹區大竹路288巷1號
大樓,EVW10080,上興里,1,"5,269 ",蘆竹分局,大竹所,O,桃園市蘆竹區上興路261號
學校,EVW10081,新興里,1,"3,257 ",蘆竹分局,大竹所,O,桃園市蘆竹區開南路1號
大樓,EVW10082,新興里,1,"771 ",蘆竹分局,大竹所,O,桃園市蘆竹區新興街138號
大樓,EVW10083,上興里,1,"5,388 ",蘆竹分局,大竹所,O,桃園市蘆竹區大興四街112號
大樓,EVW10084,上興里,1,"1,834 ",蘆竹分局,大竹所,O,桃園市蘆竹區中興五街41號
大樓,EVW10085,上興里,1,"3,284 ",蘆竹分局,大竹所,O,桃園市蘆竹區中興四街222號
大樓,EVW10086,新莊里,1,"1,733 ",蘆竹分局,大竹所,O,桃園市蘆竹區大興十街105號
大樓,EVW10087,大竹里,1,"1,350 ",蘆竹分局,大竹所,O,桃園市蘆竹區大福路155號
大樓,EVW10088,中福里,1,"1,272 ",蘆竹分局,大竹所,O,桃園市蘆竹區中興路553巷15-8號
大樓,EVW10089,大竹里,1,"1,676 ",蘆竹分局,大竹所,O,桃園市蘆竹區大興十四街31號
大樓,EVW10090,中興里,1,"670 ",蘆竹分局,大竹所,O,桃園市蘆竹區大興九街26號
大樓,EVW10091,大竹里,1,"1,784 ",蘆竹分局,大竹所,O,桃園市蘆竹區大新路197號
大樓,EVW10092,新莊里,1,"3,271 ",蘆竹分局,大竹所,O,桃園市蘆竹區大福路121號
大樓,EVW10093,中興里,1,"2,085 ",蘆竹分局,大竹所,O,桃園市蘆竹區大新一街351號
大樓,EVW10094,上竹里,1,"775 ",蘆竹分局,大竹所,O,桃園市蘆竹區上竹七街26號
大樓,EVW10095,中興里,1,"999 ",蘆竹分局,大竹所,O,桃園市蘆竹區大興七街18巷6號
大樓,EVW10096,中興里,1,"4,238 ",蘆竹分局,大竹所,O,桃園市蘆竹區大興路371號
大樓,EVW10097,大竹里,1,"1,400 ",蘆竹分局,大竹所,O,桃園市蘆竹區大新三街202號
大樓,EVW10098,大竹里,1,"4,576 ",蘆竹分局,大竹所,O,桃園市蘆竹區大新一街118巷9號
大樓,EVW10099,大竹里,1,"1,299 ",蘆竹分局,大竹所,O,桃園市蘆竹區大新四街66號
大樓,EVW10100,中福里,1,"3,745 ",蘆竹分局,大竹所,O,桃園市蘆竹區龍安街二段806號
公寓,EVW10101,上竹里,1,"251 ",蘆竹分局,大竹所,,桃園市蘆竹區大同街30號
大樓,EVW10102,中興里,1,"2,577 ",蘆竹分局,大竹所,O,桃園市蘆竹區大福路226號
大樓,EVW10103,大竹里,1,"3,029 ",蘆竹分局,大竹所,O,桃園市蘆竹區大新路169號
大樓,EVW10104,上竹里,1,"781 ",蘆竹分局,大竹所,O
大樓,EVW10105,中興里,1,"532 ",蘆竹分局,大竹所,O,桃園市蘆竹區興中街156號
工廠,EVW10106,宏竹里,1,"3,114 ",蘆竹分局,大竹所,,桃園市蘆竹區大竹北路90-66號
大樓,EVW10107,新興里,1,"1,796 ",蘆竹分局,大竹所,O
大樓,EVW10108,中福里,1,"2,123 ",蘆竹分局,大竹所,O,桃園市蘆竹區福林街33巷5號
大樓,EVW10109,新興里,1,"2,061 ",蘆竹分局,大竹所,O,桃園市蘆竹區國豐十街239巷20號
工廠,EVW10110,新莊里,1,"781 ",蘆竹分局,大竹所,,桃園市蘆竹區大新路812號
工廠,EVW10111,中福里,1,"4,264 ",蘆竹分局,大竹所,O,桃園市蘆竹區文中路一段133號
大樓,EVW10112,新莊里,1,"722 ",蘆竹分局,大竹所,O,桃園市蘆竹區大興十街9號
市民活動中心,EVW10113,中興里,1,"1,710 ",蘆竹分局,大竹所,O,桃園市蘆竹區興仁路330號
大樓,EVW10114,中興里,3,"1,653 ",蘆竹分局,大竹所,O,桃園市蘆竹區大興路271號
工廠,EVW10115,新興里,2,"1,370",蘆竹分局,大竹所,O,桃園市蘆竹區文新街7號
大樓,EVZ10001,福昌里,1,"260 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路266號
大樓,EVZ10002,南興里,1,"5,244 ",蘆竹分局,南竹所,O,桃園市蘆竹區南福街17號
大樓,EVZ10003,福昌里,1,"292 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路278號
大樓,EVZ10004,福昌里　,1,"3,391 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路270號
大樓,EVZ10005,正興里,1、2,"6,635 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路106號
大樓,EVZ10006,順興里,3,"4,804 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路2號
大樓,EVZ10007,福昌里,1,"452 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路282巷1號
公寓,EVZ10008,南興里,1,"540 ",蘆竹分局,南竹所,,桃園市蘆竹區南福街102號
大樓,EVZ10009,南興里,2,"1,735 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路259號
大樓,EVZ10010,順興里,2,"1,823 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路20巷1號
大樓,EVZ10011,正興里,2,"13,167 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路88號
大樓,EVZ10012,福昌里,1,"13,040 ",蘆竹分局,南竹所,O,桃園市蘆竹區忠孝西路169巷32號
公寓,EVZ10019,蘆竹里,1,"435 ",蘆竹分局,南竹所,,桃園市蘆竹區蘆興街65號
工廠,EVZ10024,蘆竹里,1,"610 ",蘆竹分局,南竹所,,桃園市蘆竹區南崁路2段和美巷19號
大樓,EVZ10025,正興里,1,"4,153 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路56號
大樓,EVZ10026,福昌里,1,"9,471 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路242號
大樓,EVZ10027,福昌里,2,"5,206 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路185號
大樓,EVZ10028,南興里,1,"2,647 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路135號
大樓,EVZ10029,南興里,2,"11,510 ",蘆竹分局,南竹所,O,桃園市蘆竹區南福街51號
大樓,EVZ10030,順興里,1,"5,326 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路130號
大樓,EVZ10031,正興里,1,"1,304 ",蘆竹分局,南竹所,O,桃園市蘆竹區南順一街2巷2號
大樓,EVZ10032,福興里,1,"9,522 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路182號
大樓,EVZ10033,福昌里,1,"2,359 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路183-1號
大樓,EVZ10034,正興里,3,"8,046 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路36號
大樓,EVZ10035,福昌里,1,"4,467 ",蘆竹分局,南竹所,O,桃園市蘆竹區南順六街20號
大樓,EVZ10036,正興里　,1、2,"10,159 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路66號
大樓,EVZ10037,正興里,1,"1,388 ",蘆竹分局,南竹所,O,桃園市蘆竹區南順一街2巷16號
大樓,EVZ10038,正興里,1,"4,239 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路40號
大樓,EVZ10039,南興里,1,"2,522 ",蘆竹分局,南竹所,O,桃園市蘆竹區忠孝西路60號
大樓,EVZ10040,福昌里,2,"2,051 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路187號
大樓,EVZ10041,福昌里,2,"1,390 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路191號
工廠,EVZ10042,蘆竹里,1,"2,828 ",蘆竹分局,南竹所,,桃園市蘆竹區富國路三段1200號
大樓,EVZ10043,福興里,1,"5,669 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路142號
大樓,EVZ10044,福興里,1,"9,813 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路156號
大樓,EVZ10045,順興里,1,"5,608 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路17號
大樓,EVZ10046,福昌里,1,"1,575 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路229號
大樓,EVZ10047,福昌里,1,"749 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路145號
大樓,EVZ10048,南興里,1,"6,515 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路47號
大樓,EVZ10049,福昌里,1,"221 ",蘆竹分局,南竹所,O,桃園市蘆竹區南順七街32巷5號
大樓,EVZ10050,福昌里,1,"3,776 ",蘆竹分局,南竹所,O,桃園市蘆竹區南福街186巷9號1樓
工廠,EVZ10051,蘆竹里,1,"276 ",蘆竹分局,南竹所,,桃園市蘆竹區富國路三段1086號
大樓,EVZ10052,南興里,1,"5,872 ",蘆竹分局,南竹所,O,桃園市蘆竹區南昌路51號
大樓,EVZ10054,正興里,1,"2,230 ",蘆竹分局,南竹所,O,桃園市蘆竹區南順四街1巷1號
大樓,EVZ10055,南興里,3,"3,295 ",蘆竹分局,南竹所,O,桃園市蘆竹區榮興路26號
大樓,EVZ10056,福昌里,3,"2,968 ",蘆竹分局,南竹所,O,桃園市蘆竹區南福街186巷15號
大樓,EVZ10057,福興里,1,"8,343 ",蘆竹分局,南竹所,O,桃園市蘆竹區奉化路232號
大樓,EVZ10058,福興里,1,"4,161 ",蘆竹分局,南竹所,O,桃園市蘆竹區南順七街2巷2號
大樓,EVZ10059,蘆竹里,1,"5,003 ",蘆竹分局,南竹所,O,桃園市蘆竹區南工路136號
大樓,EVZ10060,南興里,1,"15,167 ",蘆竹分局,南竹所,O,桃園市蘆竹區忠孝西路78號
大樓,EVZ10061,南興里,1,"3,748 ",蘆竹分局,南竹所,O,桃園市蘆竹區南福街223號
工廠,EVZ10062,蘆竹里,1,"2,766 ",蘆竹分局,南竹所,,桃園市蘆竹區富國路三段1228號
工廠,EVZ10063,蘆竹里,1,"11,998 ",蘆竹分局,南竹所,,桃園市蘆竹區南青路1188號
大樓,EVZ10064,順興里,1,"4,683 ",蘆竹分局,南竹所,O,桃園市蘆竹區南順一街85號
龍德宮,EVZ10065,富竹里,1,"1,367 ",蘆竹分局,南竹所,O,桃園市蘆竹區富國路一段10號
龍德宮,EVZ10066,富竹里,1,"936 ",蘆竹分局,南竹所,O,桃園市蘆竹區富國路一段10號
工廠,EVZ10067,蘆竹里,1,"2,113 ",蘆竹分局,南竹所,O,桃園市蘆竹區南青路1156巷5號
工廠,EVX10001,坑口里,1,"724 ",蘆竹分局,外社所,,桃園市蘆竹區大有街33號
工廠,EVX10003,坑口里,1,"490 ",蘆竹分局,外社所,,桃園市蘆竹區山菓路76號
工廠,EVX10004,坑口里,1,"185 ",蘆竹分局,外社所,,桃園市蘆竹區海山路446號
工廠,EVX10007,坑口里,1,"674 ",蘆竹分局,外社所,,桃園市蘆竹區海山路638號
工廠,EVX10010,山腳里,1,"42 ",蘆竹分局,外社所,
工廠,EVX10011,坑口里,1,"80 ",蘆竹分局,外社所,,桃園市蘆竹區三德街54巷3號
工廠,EVX10012,坑口里,1,"460 ",蘆竹分局,外社所,
工廠,EVX10013,坑口里,1,"186 ",蘆竹分局,外社所,,桃園市蘆竹區大坑街25號
工廠,EVX10014,坑口里,1,"801 ",蘆竹分局,外社所,,桃園市蘆竹區三德街56號
工廠,EVX10015,濱海里,1,"65 ",蘆竹分局,外社所,,桃園市蘆竹區濱海路一段433號
工廠,EVX10018,海湖里,1,"104 ",蘆竹分局,外社所,,桃園市蘆竹區海山路二段211號
工廠,EVX10019,濱海里,1,"480 ",蘆竹分局,外社所,,桃園市蘆竹區中圳街180號
工廠,EVX10020,海湖里,1,"333 ",蘆竹分局,外社所,,桃園市蘆竹區海湖51-6號
工廠,EVX10021,外社里,1,"240 ",蘆竹分局,外社所,,桃園市蘆竹區山林路二段146號
工廠,EVX10022,外社里,1,"221 ",蘆竹分局,外社所,,桃園市蘆竹區山林路二段6號
工廠,EVX10025,坑口里,1,"237 ",蘆竹分局,外社所,,桃園市蘆竹區大有街36號
工廠,EVX10026,濱海里,1,"828 ",蘆竹分局,外社所,,桃園市蘆竹區濱海路一段238號
工廠,EVX10027,海湖里,1,"5,530 ",蘆竹分局,外社所,O,桃園市蘆竹區海山中街9號
工廠,EVX10029,濱湖里,1,"996 ",蘆竹分局,外社所,,桃園市蘆竹區中圳街180號
工廠,EVX10030,坑口里,1,"318 ",蘆竹分局,外社所,,桃園市蘆竹區大有街29號
工廠,EVX10032,坑口里,1,"434 ",蘆竹分局,外社所,,桃園市蘆竹區後壁厝102號之15
工廠,EVX10033,海湖里,1,"2,240 ",蘆竹分局,外社所,O,桃園市蘆竹區海山中街55號
工廠,EVX10034,坑口里,1,"1,725 ",蘆竹分局,外社所,O,桃園市蘆竹區後壁厝92號
工廠,EVX10035,坑口里,1,"508 ",蘆竹分局,外社所,,桃園市蘆竹區大坑街32號
工廠,EVX10036,坑口里,1,"20 ",蘆竹分局,外社所,,桃園市蘆竹區大有街1號
工廠,EVX10037,山腳里,1,"1,110 ",蘆竹分局,外社所,
工廠,EVX10038,海湖里,1,"2,869 ",蘆竹分局,外社所,O,桃園市蘆竹區海山中街51號
工廠,EVX10039,海湖里,1,"840 ",蘆竹分局,外社所,
工廠,EVX10040,海湖里,1,"522 ",蘆竹分局,外社所,,桃園市蘆竹區海湖北路309巷61號
工廠,EVX10041,坑口里,1,"250 ",蘆竹分局,外社所,,桃園市蘆竹區和平街36號
工廠,EVX10042,坑口里,1,"1,850 ",蘆竹分局,外社所,,桃園市蘆竹區大有街33號
工廠,EVX10043,海湖里,1,"1,874 ",蘆竹分局,外社所,,桃園市蘆竹區海山中街51號
工廠,EVX10044,外社里,1,"108 ",蘆竹分局,外社所,,桃園市蘆竹區山林路二段685號
大樓,EVX10045,坑口里,1,"1,425 ",蘆竹分局,外社所,O,桃園市蘆竹區海山路一段79號
工廠,EVX10046,山腳里,1,"7,601 ",蘆竹分局,外社所,O,桃園市蘆竹區南山北路一段72號
工廠,EVX10047,坑口里,1,"489 ",蘆竹分局,外社所,,桃園市蘆竹區和平街36號
工廠,EVX10048,坑口里,1,"738 ",蘆竹分局,外社所,,桃園市蘆竹區大有街11號
工廠,EVX10049,坑口里,1,"253 ",蘆竹分局,外社所,,桃園市蘆竹區和平街36號
工廠,EVX10050,濱湖里,1,"822 ",蘆竹分局,外社所,,桃園市蘆竹區海湖北路309巷61號
大樓,EVY10365,山鼻里,1,2435,蘆竹分局,南崁所,O,桃園市蘆竹區機捷路二段768巷28號
工廠,EVY10364,長興里,2,4454,蘆竹分局 ,南崁所,,桃園市蘆竹區南崁路二段12號
大樓,EVW10116,大竹里,1,7122,蘆竹分局,大竹所,O,桃園市蘆竹區大新路36號
學校,EVZ10068,南興里,1,2888,蘆竹分局,南竹所,O,桃園市蘆竹區南昌路255號
大樓,EVZ10069,南興里,1,1938,蘆竹分局,南竹所,O,桃園市蘆竹區忠孝西路86號
工廠,EVY10366,瓦窯里,1,1622,蘆竹分局,南崁所,O
