類別,電腦編號,村里別,緯經度,可容納人數,轄管分局,備註,停車場坡道,建築物名稱,地下樓層數
大樓,ETA00153,福興里,"24.933671,121.285606",4002.0,八德分局,,,陽光麗庭社區,2
大樓,ETA00154,茄明里,"24.982289,121.276508",606.0,八德分局,,O,極品國宅B區社區,1
大樓,ETA00155,茄明里,"24.982289,121.276508",1282.0,八德分局,,O,極品國宅B區社區,1
學校,ETA00156,大千里,"24.958403,121.3051",1461.0,八德分局,,,大成國中,1
學校,ETA00157,大成里,"24.958632,121.29849",671.0,八德分局,,,大成國小,1
工廠,ETA00158,竹園里,"24.932791,121.268285",848.0,八德分局,,O,昇銳電子股份有限公司,1
大樓,ETA00159,大正里,"24.971803,121.301627",393.0,八德分局,,,華夏,1
大樓,ETA00160,高明里,"24.977944,121.273891",1268.0,八德分局,,O,大利市社區,2
大樓,ETA00161,大福里,"24.976043,121.302353",1268.0,八德分局,,O,長堤維也納社區,2
大樓,ETA00162,瑞德里,"24.924522,121.294815",3320.0,八德分局,,,雅典桂冠社區,2
大樓,ETA00163,高城里,"24.97821,121.2741",5453.0,八德分局,,O,京站/巨星生活家社區,3
大樓,ETA00164,大勇里,"24.969245,121.305004",1819.0,八德分局,,,校園森活社區,1
大樓,ETA00165,大宏里,"24.969086,121.295062",6048.0,八德分局,,O,明日城社區,1
學校,ETA00166,大信里,"24.93457,121.30307",23310.0,八德分局,,O,國防大學,1
大樓,ETA00167,大漢里,"24.964102,121.306194",465.0,八德分局,,O,歐洲臻品社區,1
大樓,ETA00168,大勇里,"24.96669,121.305359",1938.0,八德分局,,O,臻旺社區,1
大樓,ETA00169,大正里,"24.971852,121.298381",1906.0,八德分局,,O,幸福有約社區,3
大樓,ETA00170,高城里,"24.97822,121.27309",502.0,八德分局,,O,異國風華社區,2
大樓,ETA00171,大仁里,"24.96927,121.32666",3939.0,八德分局,,,新天地社區,2
大樓,ETA00172,大正里,"24.971636,121.298837",1625.0,八德分局,,O,慕夏社區,3
大樓,ETA00173,大正里,"24.971775,121.298224",682.0,八德分局,,O,英橋典傳社區,2
大樓,ETA00174,大和里,"24.953911,121.2953",2123.0,八德分局,,O,海德皇家社區,2
大樓,ETA00175,大和里,"24.954785,121.29633",4512.0,八德分局,,O,歐洲學苑社區,2
學校,ETA00176,大忠里,"24.959893,121.300782",1421.0,八德分局,,O,大忠國小,1
大樓,ETA00177,大忠里,"24.958252,121.299848",817.0,八德分局,,O,春虹精品社區,1
大樓,ETA00178,瑞泰里,"24.936803,121.297163",1734.0,八德分局,,,三本峰鼎社區,2
大樓,ETA00179,大湳里,"24.959406,121.307078",1922.0,八德分局,,O,真鑽社區,1
大樓,ETA00180,茄明里,"24.986204,121.281577",1825.0,八德分局,,O,輝煌世紀社區,5
大樓,ETA00181,大福里,"24.97368,121.300026",779.0,八德分局,,O,三合樸真社區,1
大樓,ETA00182,大湳里,"24.960507,121.307384",1807.0,八德分局,,O,百川十方社區,2
大樓,ETA00183,大漢里,"24.963868,121.305615",2194.0,八德分局,,O,寶格麗環遊世界社區,1
大樓,ETA00184,大湳里,"24.959116,121.307382",1674.0,八德分局,,O,爵士尊邸社區,1
大樓,ETA00185,大義里,"24.963709,121.302584",829.0,八德分局,,O,桃大悅園社區,2
大樓,ETA00186,大湳里,"24.959088,121.307886",1497.0,八德分局,,O,湖光盛景社區,1
大樓,ETA00187,興仁里,"24.929169,121.28837",1645.0,八德分局,,O,英僑領袖社區,2
大樓,ETA00188,大勇里,"24.964677,121.304812",4722.0,八德分局,,O,君臨天下社區,3
學校,ETA00189,永豐里,"24.965178,121.267533",2023.0,八德分局,,O,元智大學,1
大樓,ETA00190,茄明里,"24.9842,121.281388",1311.0,八德分局,,,富域社區,2
工廠,ETA00191,竹園里,"24.939802,121.271973",1161.0,八德分局,,O,明台化工公司,1
大樓,ETA00192,大正里,"24.971636,121.299136",943.0,八德分局,,O,元皇寬社區,2
大樓,ETA00193,大正里,"24.972176,121.296713",220.0,八德分局,,,瑞恩帝兒桃德幼兒園,1
大樓,ETA00194,大仁里,"24.970817,121.323445",802.0,八德分局,,O,樂活市社區,2
大樓,ETA00195,大湳里,"24.95944,121.308066",2023.0,八德分局,,O,明水硯社區,2
大樓,ETA00196,大智里,"24.965298,121.295708",3226.0,八德分局,,O,竹城六本木社區,3
大樓,ETA00197,福元里,"24.93029,121.28322",2466.0,八德分局,,O,貝森朵芙社區,3
大樓,ETA00198,廣隆里,"24.961193,121.292567",1478.0,八德分局,,O,榮耀之光社區,3
警察機關,ETA00199,白鷺里,,154.0,八德分局,,O,八德分局高明派出所,1
大樓,ETA00200,廣隆里,"24.960937,121.293313",1591.0,八德分局,,O,天琴社區,3
大樓,ETA00201,大興里,"24.951453,121.30582",2410.0,八德分局,,O,三本阿曼社區,2
大樓,ETA00202,大湳里,"24.959461,121.307413",807.0,八德分局,,O,湖水裔社區,2
大樓,ETA00203,大智里,"24.964534,121.29594",1030.0,八德分局,,O,竹城六本木之丘社區,3
公家機關,ETA00204,興仁里,"24.929016,121.284595",28.0,八德分局,,O,八德區公所,1
公家機關,ETA00205,興仁里,"24.929016,121.284595",28.0,八德分局,,O,八德區公所,1
大樓,ETA00206,大信里,"24.939411,121.304203",443.0,八德分局,,,雅居樂NO1社區,1
大樓,ETA00207,大發里,"24.958047,121.322488",543.0,八德分局,,O,簡單的幸福社區,1
大樓,ETA00208,瑞豐里,"24.932205,121.292393",1200.0,八德分局,,,芝普企業股份有限公司,1
大樓,ETA00209,大華里,"24.956766,121.299824",1614.0,八德分局,,O,都心悅社區,3
大樓,ETA00210,興仁里,"24.925909,121.286578",4034.0,八德分局,,O,遠雄艾菲爾社區,2
大樓,ETA00211,大愛里,"24.957556,121.302175",2611.0,八德分局,,O,香榭儷舍社區,3
工廠,ETA00212,茄苳里,"24.969854,121.276747",369.0,八德分局,,,四貝企業社,1
公家機關,ETA00213,大愛里,"24.956894,121.301911",693.0,八德分局,,,中正堂八德區公所,地上1層
大樓,ETA00214,福元里,"24.936032,121.288764",1422.0,八德分局,,O,成家美地社區,3
大樓,ETA00215,高明里,"24.976641,121.27543",2716.0,八德分局,,O,澄品硯1期社區,3
大樓,ETA00216,瑞豐里,"24.926601,121.289514",4572.0,八德分局,,O,美樹館社區,3
大樓,ETA00217,高明里,"24.976865,121.275159",2622.0,八德分局,,O,澄品硯2期社區,3
大樓,ETA00218,瑞豐里,"24.926869,121.289081",797.0,八德分局,,O,高誠首耀社區,2
大樓,ETA00219,大智里,"24.965641,121.295783",2595.0,八德分局,,O,昭揚君品社區,2
大樓,ETA00220,福興里,"24.935939,121.284357",5615.0,八德分局,,O,源美學社區,3
大樓,ETA00221,福元里,"24.935828,121.287346",1478.0,八德分局,,O,逸極天地/逸極NO2社區,3
大樓,ETA00222,福元里,"24.93103,121.28895",671.0,八德分局,,O,逸極朗闊社區,3
大樓,ETA00223,興仁里,"24.926528,121.285126",635.0,八德分局,,O,雲鼎社區,2
大樓,ETA00224,興仁里,"24.927357,121.284869",1841.0,八德分局,,O,雲觀社區,2
大樓,ETA00225,大勇里,"24.967227,121.303793",391.0,八德分局,,O,宏總優show社區,3
大樓,ETA00226,大信里,"24.939565,121.304424",444.0,八德分局,,,雅居樂NO2社區,1
大樓,ETA00227,福興里,"24.931453,121.284114",1050.0,八德分局,,O,莫札特社區,3
大樓,ETA00228,瑞豐里,"24.92783,121.287646",347.0,八德分局,,O,悅佳涵悅社區,1
大樓,ETA00229,福興里,"24.93304,121.28404",1365.0,八德分局,,O,時代園邸社區,3
大樓,ETA00230,瑞泰里,"24.936368,121.295914",2300.0,八德分局,,,易家悅園社區,2
大樓,ETA00231,福興里,"24.933598,121.284086",411.0,八德分局,,,八德仁愛社區,1
大樓,ETA00232,瑞豐里,"24.931425,121.289699",315.0,八德分局,,O,隱玥湖美/旭升隱玥NO5社區,1
大樓,ETA00233,茄明里,"24.985462,121.282691",1752.0,八德分局,,O,明日耀社區,3
大樓,ETA00234,福元里,"24.935773,121.287835",237.0,八德分局,,,禾洋匯社區,1
大樓,ETA00235,福興里,"24.9356,121.28123",2235.0,八德分局,,O,竹風鳳凰社區,2
大樓,ETA00236,興仁里,"24.926476,121.286987",1006.0,八德分局,,O,慶賀社區,2
大樓,ETA00237,興仁里,"24.925801,121.285037",1363.0,八德分局,,O,麗寶大藝術家社區,2
大樓,ETA00238,興中里,"24.928836,121.28245",3838.0,八德分局,,O,高陞社區,3
大樓,ETA00239,瑞豐里,"24.926548,121.288642",4572.0,八德分局,,O,閱美館社區,2
大樓,ETA00240,大智里,"24.966217,121.297102",1675.0,八德分局,,O,廣豐公園NO1社區,2
大樓,ETA00241,瑞興里,"24.936198,121.289995",1486.0,八德分局,,O,竹風鳳凰NO2社區,2
大樓,ETA00242,瑞德里,"24.924326,121.295756",1131.0,八德分局,,,龍騰御璽社區,2
大樓,ETA00243,瑞泰里,"24.935749,121.295509",3680.0,八德分局,,,易家謙悅社區,2
大樓,ETA00244,福德里,"24.931774,121.280599",1223.0,八德分局,,O,皇翔百老匯社區,3
大樓,ETA00245,福興里,"24.930817,121.282679",418.0,八德分局,,O,佐公園社區,2
大樓,ETA00246,霄裡里,"24.92623,121.26003",382.0,八德分局,,O,雅居樂NO5社區,1
大樓,ETA00247,瑞豐里,"24.926321,121.290722",2943.0,八德分局,,O,深耕九-森悅家社區,2
大樓,ETA00248,瑞豐里,"24.92601,121.290631",4133.0,八德分局,,O,佳陞墨爾本社區,2
大樓,ETA00249,瑞豐里,"24.928146,121.287981",3401.0,八德分局,,O,豐田大郡社區,3
大樓,ETA00250,興中里,"24.927636,121.282081",1653.0,八德分局,,O,佳展高陞NO2社區,3
大樓,ETA00251,大福里,"24.974012,121.300326",613.0,八德分局,,O,輝煌騰達社區,2
大樓,ETA00252,大安里,"24.951822,121.322523",1421.0,八德分局,,O,公園里社區,2
大樓,ETA00253,福興里,"24.932217,121.284232",1410.0,八德分局,,,鵬程V1社區,3
大樓,ETA00254,興仁里,"24.926836,121.28463",398.0,八德分局,,O,雲觀二期社區,1
大樓,ETA00255,福興里,"24.933603,121.279167",1983.0,八德分局,,O,公園大道社區,3
大樓,ETA00256,福德里,"24.93351,121.279908",2372.0,八德分局,,O,法樂琦社區,1
大樓,ETA00257,福德里,"24.932998,121.280367",344.0,八德分局,,O,夏沐寬社區,2
大樓,ETA00258,福德里,"24.932144,121.280666",876.0,八德分局,,O,峰景苑社區,3
大樓,ETA00259,興中里,"24.93017,121.2821",2867.0,八德分局,,O,宏普之星社區社區,3
大樓,ETA00260,大宏里,"24.967224,121.298182",7238.0,八德分局,,O,合雄帝景社區,3
大樓,ETA00261,福元里,"24.936627,121.286688",2277.0,八德分局,,O,泓瑞群英社區,2
大樓,ETA00262,大興里,"24.954046,121.305327",2966.0,八德分局,,O,三本千晴社區,3
大樓,ETA00263,福興里,"24.936235,121.28384",841.0,八德分局,,O,時尚BOBO,3
大樓,ETA00264,福德里,"24.93312,121.27976",3201.0,八德分局,,O,麗寶大藝術家B區社區,2
大樓,ETA00265,廣隆里,"24.961265,121.291234",2741.0,八德分局,,O,振翔新天地社區,2
大樓,ETA00266,興仁里,"24.926247,121.287391",983.0,八德分局,,O,興聚皇苑社區,3
大樓,ETA00267,福元里,"24.93516,121.28702",780.0,八德分局,,O,樸心苑社區,2
大樓,ETA00268,福興里,"24.935126,121.282398",639.0,八德分局,,O,上築社區,2
大樓,ETA00269,大智里,"24.965485,121.297321",2316.0,八德分局,,O,廣豐公園NO2社區,2
大樓,ETA00270,茄明里,"24.985272,121.28259",860.0,八德分局,,O,明日耀社區,3
大樓,ETA00271,興仁里,"24.92688,121.28572",551.0,八德分局,,O,中央公園社區,3
大樓,ETA00272,福德里,"24.930786,121.280063",2433.0,八德分局,,O,皇翔百老匯NO2,3
大樓,ETA00273,大和里,"24.955425,121.296869",965.0,八德分局,,O,桃大極1區社區,4
大樓,ETA00274,瑞豐里,"24.92661,121.28757",1273.0,八德分局,,O,悅天下社區,3
大樓,ETA00275,大安里,"24.956792,121.315037",1645.0,八德分局,,O,夢時代社區,2
大樓,ETA00276,興仁里,"24.928139,121.286085",2416.0,八德分局,,O,涵悅社區,3
大樓,ETA00277,福元里,"24.935607,121.287771",543.0,八德分局,,O,富鼎家青靜社區,2
大樓,ETA00278,福興里,"24.93154,121.282768",462.0,八德分局,,O,逸極上城社區,3
大樓,ETA00279,大智里,"24.965038,121.29907",13961.0,八德分局,,O,置地生活廣場,4
工廠,ETA00280,大安里,"24.95075,121.3174",1288.0,八德分局,,O,大訊科技,2
大樓,ETA00281,大和里,"24.955577,121.297985",4444.0,八德分局,,O,桃大極2區社區,5
大樓,ETA00282,福元里,"24.93588,121.286291",3337.0,八德分局,,O,御藏社區,3
大樓,ETA00283,瑞興里,"24.932155,121.290375",240.0,八德分局,,O,圓德園社區,1
大樓,ETA00284,大宏里,"24.967096,121.297353",2650.0,八德分局,,O,廣豐公園NO3社區,2
大樓,ETA00285,興中里,"24.92663,121.28098",2096.0,八德分局,,O,新潤御丰莊園社區,2
大樓,ETA00286,興中里,"24.92477,121.28147",3526.0,八德分局,,O,深耕10社區,2
大樓,ETA00287,大忠里,"24.957754,121.300098",300.0,八德分局,,O,小資有約社區,3
工廠,ETA00288,瑞豐里,"24.93184,121.29324",97.0,八德分局,,,泓瑞公司 ,1
大樓,ETA00289,瑞豐里,"24.927904,121.289293",750.0,八德分局,,O,悅榕莊社區,2
大樓,ETA00290,瑞德里,"24.92768,121.29467",432.0,八德分局,,O,喬崴微笑/御福樂社區,2
大樓,ETA00291,瑞豐里,"24.926964,121.292457",935.0,八德分局,,O,陽光大境社區,2
大樓,ETA00292,福元里,"24.936343,121.2854",2372.0,八德分局,,O,佳瑞遊city社區,2
工廠,ETA00293,大華里,"24.957024,121.300259",103.0,八德分局,,O,元臺建設有限公司,1
工廠,ETA00294,大安里,"24.9505,121.31734",4051.0,八德分局,,O,大訊科技,2
大樓,ETA00295,福興里,"24.93556,121.28123",839.0,八德分局,,O,昇捷天沐社區,2
大樓,ETA00296,瑞豐里,"24.927558,121.292531",104.0,八德分局,,O,陽光大境-向陽區社區,1
大樓,ETA00297,霄裡里,"24.934149,121.263775",795.0,八德分局,,O,微笑莊園社區,3
大樓,ETA00298,興仁里,"24.927779,121.285737",678.0,八德分局,,O,昱凱皇苑社區,2
大樓,ETA00299,福元里,"24.934208,121.288785",647.0,八德分局,,O,雲景景森社區,2
學校,ETA00300,茄苳里,"24.964362,121.277265",755.0,八德分局,,O,茄苳國小,1
大樓,ETA00301,茄明里,"24.982809,121.278854",673.0,八德分局,,,武陵綠大地社區,3
大樓,ETA00302,興仁里,"24.927572,121.285315",1413.0,八德分局,,O,城又青社區,3
大樓,ETA00303,福興里,"24.933713,121.283783",272.0,八德分局,,O,鴻聖社區,1
大樓,ETA00304,福興里,"24.932058,121.28267",1254.0,八德分局,,O,合雄御璟社區,3
大樓,ETA00305,瑞豐里,"24.925761,121.28796",7562.0,八德分局,,O,麗寶青年時代社區,3
工廠,ETA00306,永豐里,"24.972507,121.274074",760.0,八德分局,,O,旭立科技,2
大樓,ETA00307,大勇里,"24.964691,121.306616",1072.0,八德分局,,O,詠綠藝社區,3
大樓,ETA00308,福興里,"24.93299,121.28367",2359.0,八德分局,,O,合雄M社區,3
工廠,ETA00309,永豐里,"24.973766,121.273382",1614.0,八德分局,,,旭聲科技,2
工廠,ETA00310,大湳里,"24.963974,121.321881",8798.0,八德分局,,O,四零四科技股份有限公司,2
大樓,ETA00311,興中里,"24.92422,121.28119",4017.0,八德分局,,O,麗寶豐洲社區,3
學校,ETA00312,大安里,"24.95409,121.316363",1443.0,八德分局,,O,基督教華神學校財團法人,1
大樓,ETA00313,福興里,"24.931752,121.283728",1221.0,八德分局,,O,和毅品森活社區,3
工廠,ETA00314,大湳里,"24.965456,121.320255",812.0,八德分局,,O,音圓國際股份有限公司-邱瀚聲,1
大樓,ETA00315,大信里,"24.936468,121.304547",4157.0,八德分局,,O,財團法人中華民國佛教慈濟慈善事業基金會,1
大樓,ETA00316,瑞興里,"24.935879,121.289831",1461.0,八德分局,,O,漢鼎雲詠社區,3
工廠,ETA00317,大湳里,"24.964175,121.320661",2406.0,八德分局,,O,茂豐精密工業股份有限公司,1
