電腦編號(強制),建築物名稱(強制),類別(強制),村里別(強制),地址(強制),經緯度(強制),地下層樓數(強制),通知列管文號(非強制),建築執照文號(非強制),使用執照文號(非強制),建築層數(強制),基層面積(非強制),附建面積(非強制),容量(強制),自用(強制),活動人口(強制),兼作停車場(強制),分局別(強制),所別(強制)
HQA00134,公寓,公寓,,苗栗縣頭份市東庄里15鄰中央路91號,"24.68889698973412, 120.90532790340629",1.0,86年7月31日苗份警防字第0003號,,,3.0,35.0,34.0,45.0,31.0,14.0,無,頭份分局,頭份派出所
HQA00136,公寓,公寓,,苗栗縣頭份市蟠桃里3鄰蟠桃63號,查無地址,1.0,82年9月10日建管字第100015號,,,6.0,210.0,202.0,269.0,188.0,81.0,無,頭份分局,頭份派出所
HQA00137,公寓,公寓,,苗栗縣頭份市蟠桃里9鄰德義路15巷10號,"24.69089299519801, 120.8978611518896",1.0,72年12月19日建都字第104357號,,,3.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,頭份派出所
HQA00138,公寓,公寓,,苗栗縣頭份市蟠桃里8鄰擁翠庭13號,"24.690525243735937, 120.90016091141263",1.0,82年2月17日建管字第15461號,,,3.0,300.0,300.0,400.0,280.0,120.0,無,頭份分局,頭份派出所
HQA00139,公寓,公寓,,苗栗縣頭份市中興里12鄰中央路426號,"24.692584779674995, 120.90370689421792",1.0,70年10月15日建都字第93335號,,,3.0,25.0,25.0,33.0,23.0,10.0,無,頭份分局,頭份派出所
HQA00140,公寓,公寓,,苗栗縣頭份市建國里10鄰信義路345號之3,查無地址,1.0,71年5月25日建都字第42996號,,,2.0,40.0,40.0,53.0,37.0,16.0,無,頭份分局,頭份派出所
HQA00142,公寓,公寓,,苗栗縣頭份市建國里10鄰信義路343號,查無地址,1.0,71年5月25日建都字第42996號,,,2.0,40.0,40.0,53.0,37.0,16.0,無,頭份分局,頭份派出所
HQA00143,公寓,公寓,,苗栗縣頭份市田寮里18鄰蘆竹路430號,"24.680834, 120.881078",1.0,70年5月6日建都字第34851號,,,2.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,尖山派出所
HQA00144,公寓,公寓,,苗栗縣頭份市田寮里18鄰蘆竹路434號,"24.68119213369115, 120.88115074736113",1.0,70年5月6日建都字第34850號,,,2.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,尖山派出所
HQA00145,公寓,公寓,,苗栗縣頭份市田寮里18鄰蘆竹路436號,"24.680961, 120.881062",1.0,70年5月6日建都字第34853號,,,2.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,尖山派出所
HQA00146,公寓,公寓,,苗栗縣頭份市田寮里18鄰蘆竹路432號,"24.680869, 120.881113",1.0,70年5月6日建都字第34848號,,,2.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,尖山派出所
HQA00147,公寓,公寓,,苗栗縣頭份市田寮里19鄰自強路531號,"24.682366705214196, 120.885549099165",1.0,71年1月20日建都字第4350號,,,2.0,70.0,70.0,93.0,65.0,28.0,無,頭份分局,尖山派出所
HQA00148,公寓,公寓,,苗栗縣頭份市田寮里20鄰華夏路48號,"24.683589, 120.884398",1.0,72年9月9日建都字第77244號,,,2.0,30.0,29.0,38.0,26.0,12.0,無,頭份分局,尖山派出所
HQA00149,公寓,公寓,,苗栗縣頭份市田寮里18鄰蘆竹路340號,"24.679522509885775, 120.88282345499007",1.0,72年12月19日建都字第104357號,,,2.0,27.0,27.0,36.0,25.0,11.0,無,頭份分局,尖山派出所
HQA00150,公寓,公寓,,苗栗縣頭份市田寮里21鄰蘆竹路453號,"24.681185796960282, 120.88099836848514",1.0,71年11月24日建都字第92225號,,,2.0,150.0,150.0,200.0,140.0,60.0,無,頭份分局,尖山派出所
HQA00151,公寓,公寓,,苗栗縣頭份市田寮里18鄰蘆竹路353號,"24.679109454999217, 120.88266099732003",1.0,72年2月23日建都字第15101號,,,2.0,31.0,30.0,40.0,28.0,12.0,無,頭份分局,尖山派出所
HQA00152,公寓,公寓,,苗栗縣頭份市田寮里18鄰蘆竹路355號,"24.679173514944654, 120.88275639732014",1.0,72年2月23日建都字第15102號,,,3.0,45.0,45.0,60.0,42.0,18.0,無,頭份分局,尖山派出所
HQA00153,公寓,公寓,,苗栗縣頭份市田寮里18鄰蘆竹路359號,"24.679131459411728, 120.88260145498994",1.0,72年2月23日建都字第15101號,,,2.0,35.0,32.0,42.0,29.0,13.0,無,頭份分局,尖山派出所
HQA00154,公寓,公寓,,苗栗縣頭份市田寮里18鄰蘆竹路338號,"24.67959170516778, 120.88295264149505",1.0,72年12月23日建都字第104357號,,,2.0,30.0,27.0,36.0,25.0,11.0,無,頭份分局,尖山派出所
HQA00155,公寓,公寓,,苗栗縣頭份市田寮里21鄰蘆竹路339巷15號,"24.679004070974866, 120.8812842141552",1.0,74年5月15日建都字第42511號,,,2.0,45.0,43.0,57.0,39.0,18.0,無,頭份分局,尖山派出所
HQA00156,公寓,公寓,,苗栗縣頭份市田寮里南田街175號,"24.68140845032442, 120.88602818382526",1.0,75年7月17日建都字第61607號,,,2.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,尖山派出所
HQA00157,公寓,公寓,,苗栗縣頭份市田寮里21鄰蘆竹路453號,"24.68115655083666, 120.88096618198016",1.0,76年11月6日建管字第101732號,,,2.0,25.0,25.0,33.0,23.0,10.0,無,頭份分局,尖山派出所
HQA00158,公寓,公寓,,苗栗縣頭份市田寮里18鄰蘆竹路438號,"24.681124, 120.881094",1.0,74年5月21日建都字第36551號,,,2.0,30.0,28.0,37.0,25.0,12.0,無,頭份分局,尖山派出所
HQA00159,永貞國小,學校,,苗栗縣頭份市田寮里永貞路一段335號,"24.680391967728735, 120.88465901306202",1.0,76年7月4日建管字第58713號,,,2.0,70.0,68.0,90.0,63.0,27.0,無,頭份分局,尖山派出所
HQA00160,公寓,公寓,,苗栗縣頭份市田寮里10鄰維新街20號,查無地址,1.0,77年4月22日建管字第28213號,,,2.0,50.0,49.0,65.0,45.0,20.0,無,頭份分局,尖山派出所
HQA00161,公寓,公寓,,苗栗縣頭份市田寮里21鄰蘆竹路295號,查無地址,1.0,78年3月27日建管字第21551號,,,2.0,135.0,135.0,180.0,126.0,54.0,無,頭份分局,尖山派出所
HQA00163,公寓,公寓,,苗栗縣頭份市民權里3鄰中華路720號,"24.68036246884274, 120.90176540468453",1.0,77年11月7日建管字第101201號,,,3.0,55.0,55.0,73.0,51.0,22.0,無,頭份分局,頭份派出所
HQA00166,公寓,公寓,,苗栗縣頭份市民權里3鄰中華路756號,"24.680856361163073, 120.90244010817648",1.0,70年4月24日建都字第25401號,,,3.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,頭份派出所
HQA00167,公寓,公寓,,苗栗縣頭份市民權里3鄰中華路784號,"24.68160455640832, 120.9033853363796",1.0,74年6月8日建都字第47585號,,,2.0,12.0,12.0,16.0,11.0,5.0,無,頭份分局,頭份派出所
HQA00168,公寓,公寓,,苗栗縣頭份市民權里3鄰中華路764號,"24.68152934220721, 120.90288955188934",1.0,79年6月22日建都字第55266號,,,4.0,12.0,12.0,16.0,11.0,5.0,有,頭份分局,頭份派出所
HQA00169,公寓,公寓,,苗栗縣頭份市民權里3鄰中華路788號,"24.6818755439879, 120.90361436908422",1.0,74年10月5日建都字第81677號,,,4.0,12.0,12.0,16.0,11.0,5.0,有,頭份分局,頭份派出所
HQA00170,公寓,公寓,,苗栗縣頭份市民權里3鄰中華路790號,"24.68184200599272, 120.90354943839692",1.0,70年4月21日建都字第35323號,,,4.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,頭份派出所
HQA00171,公寓,公寓,,苗栗縣頭份市民權里3鄰中華路794號,"24.682000000375698, 120.90359383839704",1.0,70年2月3日建都字第1035號,,,4.0,35.0,35.0,46.0,32.0,14.0,無,頭份分局,頭份派出所
HQA00172,公寓,公寓,,苗栗縣頭份市民權里4鄰中華路734巷27號,"24.68034321087876, 120.90270235188925",1.0,70年2月3日建都字第1035號,,,3.0,15.0,17.0,22.0,15.0,7.0,無,頭份分局,頭份派出所
HQA00173,公寓,公寓,,苗栗縣頭份市民權里3鄰中華路734巷46號,"24.68002505779095, 120.90242289421754",1.0,72年3月23日建都字第15101號,,,3.0,20.0,19.0,25.0,17.0,8.0,無,頭份分局,頭份派出所
HQA00174,公寓,公寓,,苗栗縣頭份市民權里4鄰中華路734巷48號,"24.680040808951208, 120.90308886299688",1.0,71年9月15日建都字第77928號,,,3.0,20.0,19.0,25.0,17.0,8.0,無,頭份分局,頭份派出所
HQA00175,公寓,公寓,,苗栗縣頭份市民生里10鄰中華路533號,"24.677200411686176, 120.89613292490452",1.0,74年10月24日建都字第89022號,,,1.0,191.0,253.0,337.0,235.0,102.0,有,頭份分局,頭份派出所
HQA00176,公寓,公寓,,苗栗縣頭份市民生里9鄰中華路641號,"24.679273454582326, 120.89900764024827",1.0,84年12月21日建管字第13944號,,,4.0,100.0,100.0,133.0,93.0,40.0,無,頭份分局,頭份派出所
HQA00177,公寓,公寓,,苗栗縣頭份市民生里10鄰中華路521巷12號,"24.677441462236068, 120.89539780956103",1.0,84年4月10日建管字第29129號,,,1.0,40.0,41.0,54.0,37.0,17.0,有,頭份分局,頭份派出所
HQA00178,公寓,公寓,,苗栗縣頭份市民權里3鄰中華路736號,"24.6809299537225, 120.9021436402483",1.0,71年3月17日建都字第17361號,,,3.0,40.0,38.0,50.0,35.0,15.0,有,頭份分局,頭份派出所
HQA00180,公寓,公寓,,苗栗縣頭份市民權里3鄰中華路718號,"24.680669746816875, 120.9017351267559",1.0,77年6月25日建管字第48185號,,,3.0,30.0,30.0,40.0,28.0,12.0,有,頭份分局,頭份派出所
HQA00181,晟新醫院,醫院,,苗栗縣頭份市仁愛里10鄰銀河路118號,"24.682188203276848, 120.90723513285434",1.0,72年2月23日建都字第13101號,,,5.0,200.0,200.0,266.0,186.0,80.0,無,頭份分局,頭份派出所
HQA00184,公寓,公寓,,苗栗縣頭份市仁愛里4鄰銀河路50號,"24.68414854466895, 120.90985664024834",1.0,70年2月19日建都字第9236號,,,2.0,25.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00185,公寓,公寓,,苗栗縣頭份市仁愛里6鄰信義路3號,"24.683793954268108, 120.90942400956118",1.0,70年5月5日建都字第25777號,,,2.0,45.0,43.0,57.0,39.0,18.0,無,頭份分局,頭份派出所
HQA00186,公寓,公寓,,苗栗縣頭份市仁愛里5鄰信義路12號,"24.684080453819902, 120.90961599792014",1.0,70年2月3日建都字第1180號,,,2.0,35.0,35.0,46.0,32.0,14.0,無,頭份分局,頭份派出所
HQA00187,公寓,公寓,,苗栗縣頭份市仁愛里9鄰和平路19號,"24.683702297047088, 120.90801479421762",1.0,70年7月9日建都字第519號,,,3.0,35.0,35.0,46.0,32.0,14.0,無,頭份分局,頭份派出所
HQA00188,頭份市公所體育館,頭份市公所,,苗栗縣頭份市仁愛里1鄰中山路234號,"24.686906835619087, 120.91327550956132",1.0,71年5月25日建都字第42996號,,,1.0,200.0,195.0,260.0,182.0,78.0,無,頭份分局,頭份派出所
HQA00189,公寓,公寓,,苗栗縣頭份市仁愛里11鄰中興巷32號之16,"24.68337429768844, 120.90774630956119",1.0,71年3月13日建都字第17361號,,,3.0,20.0,21.0,28.0,19.0,9.0,無,頭份分局,頭份派出所
HQA00190,公寓,公寓,,苗栗縣頭份市仁愛里11鄰中興巷32號之14,"24.683403543291856, 120.90779995374064",1.0,72年2月23日建都字第15101號,,,3.0,20.0,21.0,28.0,19.0,9.0,無,頭份分局,頭份派出所
HQA00191,公寓,公寓,,苗栗縣頭份市仁愛里10鄰民族路1號,"24.682647296334572, 120.90730289421758",1.0,71年9月15日建都字第77928號,,,3.0,80.0,72.0,96.0,67.0,29.0,無,頭份分局,頭份派出所
HQA00192,公寓,公寓,,苗栗縣頭份市仁愛里9鄰和平路13號,"24.683570654617423, 120.9082291114124",1.0,71年5月25日建都字第42996號,,,5.0,80.0,80.0,106.0,74.0,32.0,無,頭份分局,頭份派出所
HQA00193,公寓,公寓,,苗栗縣頭份市仁愛里3鄰仁愛路8號,"24.684627643694594, 120.91064084024843",1.0,70年10月15日建都字第93335號,,,2.0,45.0,45.0,60.0,42.0,18.0,無,頭份分局,頭份派出所
HQA00194,公寓,公寓,,苗栗縣頭份市仁愛里11鄰中興巷32號之6,"24.683345052078185, 120.9077248518894",1.0,71年3月13日建都字第17361號,,,3.0,35.0,33.0,44.0,30.0,14.0,無,頭份分局,頭份派出所
HQA00195,公寓,公寓,,苗栗縣頭份市仁愛里11鄰中興巷32號之12,"24.68335480061571, 120.90858315876083",1.0,72年2月23日建都字第15101號,,,2.0,20.0,22.0,29.0,20.0,9.0,無,頭份分局,頭份派出所
HQA00196,公寓,公寓,,苗栗縣頭份市仁愛里12鄰銀河路30號,"24.68455034692645, 120.91088368257665",1.0,71年11月24日建都字第92225號,,,2.0,60.0,60.0,80.0,56.0,24.0,無,頭份分局,頭份派出所
HQA00197,公寓,公寓,,苗栗縣頭份市仁愛里12鄰日新街11號,"24.685371280995803, 120.91129635188942",1.0,73年3月21日建都字第13876號,,,3.0,40.0,38.0,50.0,35.0,15.0,無,頭份分局,頭份派出所
HQA00198,公寓,公寓,,苗栗縣頭份市仁愛里中山路64號,"24.683737748451854, 120.90787535188937",1.0,74年12月28日建都字第107699號,,,3.0,15.0,14.0,18.0,12.0,6.0,無,頭份分局,頭份派出所
HQA00199,公寓,公寓,,苗栗縣頭份市仁愛里9鄰中山路66號,"24.683728051419063, 120.90787663654584",1.0,75年1月27日建都字第5726號,,,2.0,30.0,28.0,37.0,25.0,12.0,無,頭份分局,頭份派出所
HQA00200,公寓,公寓,,苗栗縣頭份市仁愛里3鄰仁愛路11號,"24.684580595329567, 120.91026430956127",1.0,75年11月3日建都字第96645號,,,3.0,65.0,64.0,85.0,59.0,26.0,無,頭份分局,頭份派出所
HQA00201,公寓,公寓,,苗栗縣頭份市仁愛里1鄰中山路218號,"24.68649382978182, 120.9122953230536",1.0,74年10月24日建都字第91877號,,,2.0,15.0,16.0,21.0,14.0,7.0,無,頭份分局,頭份派出所
HQA00202,公寓,公寓,,苗栗縣頭份市仁愛里8鄰和平路14號,"24.683551300262213, 120.90850014024838",1.0,75年5月19日建管字第41416號,,,3.0,20.0,21.0,28.0,19.0,9.0,無,頭份分局,頭份派出所
HQA00203,頭份市公所,,,苗栗縣頭份市仁愛里8鄰中山路234號,"24.686848346049256, 120.91336134024844",1.0,75年5月2日建管字第31276號,,,2.0,300.0,301.0,401.0,280.0,121.0,無,頭份分局,頭份派出所
HQA00204,公寓,公寓,,苗栗縣頭份市仁愛里11鄰銀河路106號,"24.682811350190864, 120.90780640956119",1.0,77年2月12日建管字第9475號,,,3.0,50.0,47.0,62.0,43.0,19.0,無,頭份分局,頭份派出所
HQA00205,公寓,公寓,,苗栗縣頭份市仁愛里14鄰中山路187號,"24.686741691103418, 120.91222643839718",1.0,78年10月16日建管字第98204號,,,4.0,40.0,38.0,50.0,35.0,15.0,無,頭份分局,頭份派出所
HQA00206,公寓,公寓,,苗栗縣頭份市中山路175號,"24.686317301999935, 120.91170019606895",1.0,78年10月24日建管字第102636號,,,4.0,25.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00207,公寓,公寓,,苗栗縣頭份市仁愛里2鄰信東路31號,"24.686415750166177, 120.9116605942177",1.0,78年11月15日建管字第109024號,,,2.0,40.0,38.0,50.0,35.0,15.0,無,頭份分局,頭份派出所
HQA00208,公寓,公寓,,苗栗縣頭份市中山路175號,"24.686346546912887, 120.91170019606895",1.0,78年10月26日建管字第102636號,,,3.0,40.0,39.0,52.0,36.0,16.0,無,頭份分局,頭份派出所
HQA00209,公寓,公寓,,苗栗縣頭份市仁愛里2鄰信東路33號,"24.686469836576233, 120.91172063839717",1.0,78年11月15日建管字第109024號,,,2.0,30.0,31.0,41.0,28.0,13.0,無,頭份分局,頭份派出所
HQA00210,公寓,公寓,,苗栗縣頭份市仁愛里12鄰銀河路33號,"24.683519948860717, 120.90941212305354",1.0,84年7月10日建管字第65347號,,,7.0,300.0,266.0,354.0,247.0,107.0,無,頭份分局,頭份派出所
HQA00211,公寓,公寓,,苗栗縣頭份市仁愛里13鄰中山路212號,"24.686177747203295, 120.91174102305358",1.0,78年10月17日建管字第98219號,,,2.0,50.0,51.0,68.0,47.0,21.0,無,頭份分局,頭份派出所
HQA00212,漢唐天廈,大樓,,苗栗縣頭份市仁愛里11鄰銀河路92號,"24.68316050096527, 120.90839700956118",1.0,82年10月22日建管字第11281號,,,10.0,500.0,513.0,684.0,478.0,206.0,無,頭份分局,頭份派出所
HQA00213,公寓,公寓,,苗栗縣頭份市成功里10鄰建國路183號,"24.696686014195826, 120.90862234024874",1.0,75年11月3日建都字第96645號,,,3.0,25.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00214,公寓,公寓,,苗栗縣頭份市成功里10鄰建國路185號,"24.69661540939455, 120.9085258960693",1.0,70年11月26日建都字第10326號,,,4.0,25.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00219,公寓,公寓,,苗栗縣頭份市成功里7鄰信東路316號,"24.694341233151786, 120.9060818383974",1.0,77年11月9日建管字第106076號,,,4.0,25.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00220,公寓,公寓,,苗栗縣頭份市成功里7鄰山下街69號,"24.695439536045086, 120.90738343839745",1.0,70年1月16日建都字第621號,,,3.0,130.0,127.0,169.0,118.0,51.0,無,頭份分局,頭份派出所
HQA00221,公寓,公寓,,苗栗縣頭份市成功里蟠桃47之20號,查無地址,1.0,70年1月16日建都字第621號,,,3.0,20.0,20.0,26.0,18.0,8.0,無,頭份分局,頭份派出所
HQA00222,公寓,公寓,,苗栗縣頭份市成功里3鄰節約街34號,"24.69492502744615, 120.9081790095615",1.0,71年3月25日建都字第42996號,,,3.0,20.0,18.0,24.0,16.0,8.0,無,頭份分局,頭份派出所
HQA00223,公寓,公寓,,苗栗縣頭份市成功里3鄰節約街29號,"24.695153274650526, 120.90839548072569",1.0,71年7月27日建都字第63469號,,,3.0,15.0,17.0,22.0,15.0,7.0,無,頭份分局,頭份派出所
HQA00224,公寓,公寓,,苗栗縣頭份市成功里中興路60號,"24.69513333178812, 120.90787930956152",1.0,71年5月25日建都字第42996號,,,4.0,15.0,15.0,20.0,14.0,6.0,無,頭份分局,頭份派出所
HQA00225,建國國中,,,苗栗縣頭份市成功里2鄰建國路119號,"24.695232271557686, 120.90962190976794",1.0,85年8月20日建管字第086367號,,,4.0,2000.0,2028.0,2704.0,1892.0,812.0,無,頭份分局,頭份派出所
HQA00226,公寓,公寓,,苗栗縣頭份市成功里2鄰成功路111號,"24.695509540733678, 120.91034916723335",1.0,74年4月17日建都字第24745號,,,3.0,25.0,25.0,33.0,23.0,10.0,無,頭份分局,頭份派出所
HQA00227,公寓,公寓,,苗栗縣頭份市成功里1鄰忠孝一路290號,"24.693751772879786, 120.91004010956155",1.0,71年11月24日建都字第92225號,,,4.0,25.0,26.0,34.0,23.0,11.0,無,頭份分局,頭份派出所
HQA00229,公寓,公寓,,苗栗縣頭份市成功里4鄰成功路41號,"24.693847524940765, 120.90835520956145",1.0,79年3月9日建管字第15683號,,,4.0,25.0,26.0,34.0,23.0,11.0,無,頭份分局,頭份派出所
HQA00230,公寓,公寓,,苗栗縣頭份市成功里4鄰成功路53號,"24.69392843386244, 120.90852181141277",1.0,77年1月11日建都字第117979號,,,4.0,30.0,32.0,42.0,29.0,13.0,無,頭份分局,頭份派出所
HQA00231,公寓,公寓,,苗栗縣頭份市成功里4鄰成功路39號,"24.6938385430874, 120.90819299421788",1.0,76年5月5日建都字第40476號,,,3.0,30.0,27.0,36.0,25.0,11.0,無,頭份分局,頭份派出所
HQA00232,公寓,公寓,,苗栗縣頭份市成功里4鄰山下街32號,"24.693892120317216, 120.90757155003854",1.0,76年1月5日建都字第722號,,,5.0,40.0,41.0,54.0,37.0,17.0,無,頭份分局,頭份派出所
HQA00233,公寓,公寓,,苗栗縣頭份市成功里4鄰山下街35號,"24.694160324304445, 120.90734332490507",1.0,82年12月22日建管字第121437號,,,9.0,300.0,291.0,388.0,271.0,117.0,無,頭份分局,頭份派出所
HQA00234,公寓,公寓,,苗栗縣頭份市蟠桃里2鄰建國路13號,"24.693469973475086, 120.91397655188966",1.0,78年3月21日建管字第662688號,,,3.0,25.0,26.0,34.0,23.0,11.0,無,頭份分局,頭份派出所
HQA00235,公寓,公寓,,苗栗縣頭份市蟠桃里6鄰節約街28巷11號,"24.694479142185138, 120.90843099606921",1.0,72年2月23日建都字第15101號,,,3.0,15.0,15.0,20.0,14.0,6.0,無,頭份分局,頭份派出所
HQA00236,公寓,公寓,,苗栗縣頭份市成功里3鄰節約街28巷15號,"24.694490223633284, 120.90850479606914",1.0,72年2月23日建都字第15101號,,,4.0,20.0,17.0,22.0,15.0,7.0,無,頭份分局,頭份派出所
HQA00237,公寓,公寓,,苗栗縣頭份市成功里3鄰節約街28巷13號,"24.694529423553483, 120.908486953741",1.0,72年2月23日建都字第15101號,,,4.0,15.0,15.0,20.0,14.0,6.0,無,頭份分局,頭份派出所
HQA00238,公寓,公寓,,苗栗縣頭份市蟠桃里5鄰建國路193號,"24.696667339102618, 120.90836965374098",1.0,74年10月24日建都字第91877號,,,4.0,18.0,18.0,24.0,16.0,8.0,無,頭份分局,頭份派出所
HQA00239,公寓,公寓,,苗栗縣頭份市忠孝里2鄰建國路15號,"24.693432639186074, 120.91393042305388",1.0,78年3月20日建管字第18495號,,,4.0,25.0,26.0,34.0,23.0,11.0,無,頭份分局,頭份派出所
HQA00240,公寓,公寓,,苗栗縣頭份市忠孝里2鄰建國路17號,"24.693535021099596, 120.91392300956151",1.0,78年3月21日建管字第18634號,,,2.0,25.0,26.0,34.0,23.0,11.0,無,頭份分局,頭份派出所
HQA00241,公寓,公寓,,苗栗縣頭份市忠孝里2鄰建國路79號,"24.694421762238928, 120.9125781249051",1.0,77年8月23日建管字第75491號,,,3.0,30.0,30.0,40.0,28.0,12.0,無,頭份分局,頭份派出所
HQA00242,公寓,公寓,,苗栗縣頭份市忠孝里2鄰建國路77號,"24.69427018097471, 120.91259599606919",1.0,77年8月23日建管字第75492號,,,4.0,30.0,30.0,40.0,28.0,12.0,無,頭份分局,頭份派出所
HQA00243,公寓,公寓,,苗栗縣頭份市忠孝里2鄰建國路51號,"24.693804638603872, 120.91326382675634",1.0,77年10月4日建管字第92661號,,,5.0,125.0,123.0,164.0,114.0,50.0,無,頭份分局,頭份派出所
HQA00244,公寓,公寓,,苗栗縣頭份市忠孝里2鄰光大街46號,"24.69326663500169, 120.91240422305381",1.0,81年7月3日建管字第61610號,,,5.0,270.0,263.0,350.0,245.0,105.0,無,頭份分局,頭份派出所
HQA00245,公寓,公寓,,苗栗縣頭份市忠孝里2鄰建國路101號,"24.694846079938145, 120.91169878257688",1.0,77年12月13日建管字第112478號,,,11.0,300.0,287.0,382.0,267.0,115.0,無,頭份分局,頭份派出所
HQA00246,建國大樓第一期,大樓,,苗栗縣頭份市成功里2鄰忠孝一路314號,"24.693983038324706, 120.90961183839745",1.0,82年9月23日建管字第92870號,,,10.0,1200.0,1191.0,1588.0,1111.0,477.0,有,頭份分局,頭份派出所
HQA00247,建國大樓第二期,大樓,,苗栗縣頭份市成功里1鄰忠孝一路306號,"24.693760195461188, 120.9098503518897",1.0,83年10月5日建管字第102588號,,,11.0,600.0,602.0,802.0,561.0,241.0,有,頭份分局,頭份派出所
HQA00248,幸福大地,大樓,,苗栗縣頭份市成功里2鄰節約街92巷1號之5,"24.694618328022187, 120.91008198257686",1.0,85年2月15日建管字第21914號,,,11.0,1020.0,1022.0,1362.0,953.0,409.0,有,頭份分局,頭份派出所
HQA00255,公寓,公寓,,苗栗縣頭份市後庄里8鄰文化街115號,"24.69848421550696, 120.89898294024879",1.0,70年8月4日建都字第12082號,,,3.0,20.0,18.0,24.0,16.0,8.0,無,頭份分局,頭份派出所
HQA00257,公寓,公寓,,苗栗縣頭份市後庄里8鄰文化街118號,"24.69970592391538, 120.89991978442829",1.0,70年3月13日建都字第16703號,,,3.0,25.0,25.0,33.0,23.0,10.0,無,頭份分局,頭份派出所
HQA00258,公寓,公寓,,苗栗縣頭份市合興里後庄212號之2,查無地址,1.0,79年3月28日建管字第20248號,,,3.0,35.0,33.0,44.0,30.0,14.0,無,頭份分局,頭份派出所
HQA00259,公寓,公寓,,苗栗縣頭份市合興里文化街29號,"24.696464219617074, 120.89788049606929",1.0,69年3月18日建管字第16210號,,,3.0,15.0,15.0,20.0,14.0,6.0,無,頭份分局,頭份派出所
HQA00260,公寓,公寓,,苗栗縣頭份市後庄里12鄰後庄120號,查無地址,1.0,70年1月6日建都字第105132號,,,3.0,20.0,21.0,28.0,19.0,9.0,無,頭份分局,頭份派出所
HQA00261,公寓,公寓,,苗栗縣頭份市後庄里永吉街48號,查無地址,1.0,79年1月10日建管字第131732號,,,3.0,15.0,15.0,20.0,14.0,6.0,無,頭份分局,頭份派出所
HQA00262,大樓,大樓,,苗栗縣頭份市合興里17鄰翠亨路22巷30號,"24.697975192033418, 120.89629858090804",1.0,82年10月18日建管字第108028號,,,5.0,500.0,515.0,686.0,480.0,206.0,無,頭份分局,頭份派出所
HQA00263,公寓,公寓,,苗栗縣頭份市合興里信義路504弄41號,查無地址,1.0,82年10月2日建管字第107522號,,,4.0,380.0,378.0,504.0,352.0,152.0,無,頭份分局,頭份派出所
HQA00264,公寓,公寓,,苗栗縣頭份市後庄里20鄰文化街9號,"24.56149152912688, 120.82226865452962",1.0,73年3月21日建都字第13876號,,,3.0,25.0,23.0,30.0,21.0,9.0,無,頭份分局,頭份派出所
HQA00265,公寓,公寓,,苗栗縣頭份市合興里24鄰文化街32巷17號之1,"24.697270660470025, 120.89907456617247",1.0,77年10月3日建管字第92639號,,,3.0,50.0,50.0,66.0,46.0,20.0,無,頭份分局,頭份派出所
HQA00266,公寓,公寓,,苗栗縣頭份市田寮里14鄰民族路409號,查無地址,1.0,70年5月26日建都字第41912號,,,2.0,20.0,19.0,25.0,17.0,8.0,無,頭份分局,尖山派出所
HQA00267,公寓,公寓,,苗栗縣頭份市田寮里15鄰田寮路49號,查無地址,1.0,70年5月15日建都字第34772號,,,2.0,35.0,33.0,44.0,30.0,14.0,無,頭份分局,尖山派出所
HQA00268,公寓,公寓,,苗栗縣頭份市田寮里15鄰田寮路49-51號,查無地址,1.0,70年5月15日建都字第34772號,,,2.0,22.0,22.0,29.0,20.0,9.0,無,頭份分局,尖山派出所
HQA00270,華夏塑膠公司,公司,,苗栗縣頭份市田寮里15鄰民族路571號,"24.685243303054634, 120.88953714824979",1.0,80年10月24日建都字第71419號,,,2.0,40.0,40.0,53.0,37.0,16.0,無,頭份分局,尖山派出所
HQA00271,華夏塑膠公司,公司,,苗栗縣頭份市田寮里15鄰民族路571號,"24.685243303054634, 120.88953714824979",1.0,74年5月10日建都字第36587號,,,2.0,600.0,588.0,784.0,548.0,236.0,無,頭份分局,尖山派出所
HQA00272,華夏塑膠公司,公司,,苗栗縣頭份市田寮里15鄰民族路571號,"24.685243303054634, 120.88953714824979",1.0,78年6月21日建都字第63305號,,,2.0,150.0,136.0,181.0,126.0,55.0,無,頭份分局,尖山派出所
HQA00273,華夏塑膠公司,公司,,苗栗縣頭份市田寮里15鄰民族路571號,"24.685243303054634, 120.88953714824979",1.0,77年9月29日建都字第89201號,,,2.0,80.0,80.0,106.0,74.0,32.0,無,頭份分局,尖山派出所
