類別,編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數,placemark_address
公寓,155.0,中正里,臺東市中正里14鄰寶桑路233號,1.0,392.0,臺東市中正里14鄰寶桑路233號
公寓,156.0,中正里,臺東縣臺東市中正里5鄰大同路128號,1.0,1347.0,臺東縣臺東市中正里5鄰大同路128號
公寓,157.0,中正里,臺東縣臺東市中正里9鄰中華路一段237號,1.0,496.0,臺東縣臺東市中正里9鄰中華路一段237號
公寓,158.0,中正里,臺東縣臺東市中正里18鄰大同路236號,1.0,180.0,臺東縣臺東市中正里18鄰大同路236號
公寓,159.0,中正里,臺東縣臺東市中正里5鄰福建路121號,1.0,506.0,臺東縣臺東市中正里5鄰福建路121號
公寓,160.0,中華里,"臺東市中華里2鄰中華路1段 137號",1.0,226.0,"臺東市中華里2鄰中華路1段 137號"
公寓,161.0,中華里,"臺東市中華里2鄰四維路1段 502號",1.0,28.0,"臺東市中華里2鄰四維路1段 502號"
公寓,162.0,中華里,臺東市中華里2鄰中華路1段137號,1.0,226.0,臺東市中華里2鄰中華路1段137號
公寓,163.0,中華里,"臺東市中華里3鄰四維路1段 522號",1.0,34.0,"臺東市中華里3鄰四維路1段 522號"
公寓,164.0,中華里,"臺東市中華里11鄰強國街 136號",1.0,22.0,"臺東市中華里11鄰強國街 136號"
公寓,165.0,成功里,臺東市成功里5鄰復興路108號,1.0,148.0,臺東市成功里5鄰復興路108號
公寓,166.0,成功里,臺東市成功里9鄰廣東路261號,1.0,88.0,臺東市成功里9鄰廣東路261號
公寓,167.0,成功里,臺東市成功里9鄰正氣路96號,1.0,40.0,臺東市成功里9鄰正氣路96號
公寓,168.0,成功里,臺東市成功里9鄰正氣路78號,1.0,40.0,臺東市成功里9鄰正氣路78號
公寓,169.0,建國里,臺東市建國里6鄰寶桑路136號,1.0,62.0,臺東市建國里6鄰寶桑路136號
公寓,170.0,建國里,臺東市建國里10鄰精誠路142號,1.0,26.0,臺東市建國里10鄰精誠路142號
公寓,171.0,建國里,臺東市建國里6鄰同樂街13號,1.0,21.0,臺東市建國里6鄰同樂街13號
公寓,172.0,建國里,臺東市建國里14鄰四維路一段342號,1.0,22.0,臺東市建國里14鄰四維路一段342號
公寓,173.0,建國里,臺東市建國里14鄰四維路一段344號,1.0,22.0,臺東市建國里14鄰四維路一段344號
公寓,174.0,建國里,臺東市建國里12鄰仁愛街53號,1.0,160.0,臺東市建國里12鄰仁愛街53號
公寓,175.0,建國里,臺東市建國里15鄰精誠路57號,1.0,85.0,臺東市建國里15鄰精誠路57號
公寓,176.0,建國里,"臺東市建國里14鄰四維路1段 340號",1.0,25.0,"臺東市建國里14鄰四維路1段 340號"
公寓,177.0,建國里,"臺東市建國里14鄰四維路1段 322號",1.0,45.0,"臺東市建國里14鄰四維路1段 322號"
公寓,178.0,建國里,"臺東市建國里光復路159巷 15弄 20號",1.0,57.0,"臺東市建國里光復路159巷 15弄 20號"
公寓,179.0,寶桑里,臺東縣臺東市寶桑里10鄰勝利街150號,1.0,1280.0,臺東縣臺東市寶桑里10鄰勝利街150號
公寓,180.0,中福里,臺東縣關山鎮中福里中山路56號,1.0,21.0,臺東縣關山鎮中福里中山路56號
公寓,181.0,中福里,臺東縣關山鎮中福里中山路38號,1.0,26.0,臺東縣關山鎮中福里中山路38號
公寓,182.0,霧鹿村,臺東縣海端鄉霧鹿村霧鹿路1號,1.0,422.0,臺東縣海端鄉霧鹿村霧鹿路1號
公寓,183.0,福原村,臺東縣池上鄉福原村里信義路41號,1.0,1351.0,臺東縣池上鄉福原村里信義路41號
公寓,184.0,泰和村,臺東縣太麻里鄉泰和村太麻里街4鄰282號,1.0,60.0,臺東縣太麻里鄉泰和村太麻里街4鄰282號
大樓,185.0,永樂里,臺東市永樂里10鄰綏遠路2段119號,1.0,1504.0,臺東市永樂里10鄰綏遠路2段119號
大樓,186.0,光明里,臺東市光明里16鄰新展街23巷3弄1號,1.0,3298.0,臺東市光明里16鄰新展街23巷3弄1號
大樓,187.0,光明里,臺東市光明里11鄰中興路2段450巷26號,1.0,12909.0,臺東市光明里11鄰中興路2段450巷26號
大樓,188.0,光明里,臺東市光明里14鄰新展街23巷2弄2-1號,1.0,5853.0,臺東市光明里14鄰新展街23巷2弄2-1號
大樓,189.0,豐安里,"臺東市豐安里5鄰仁昌街 113號",1.0,500.0,"臺東市豐安里5鄰仁昌街 113號"
大樓,190.0,豐安里,臺東市豐安里10鄰豐榮路199號,1.0,1000.0,臺東市豐安里10鄰豐榮路199號
大樓,191.0,豐安里,臺東市豐安里9鄰豐榮路201號,1.0,1385.0,臺東市豐安里9鄰豐榮路201號
大樓,192.0,豐安里,臺東市豐安里18鄰大業路67號,1.0,684.0,臺東市豐安里18鄰大業路67號
大樓,193.0,豐安里,臺東縣臺東市豐安里5鄰仁昌街99號,1.0,1858.0,臺東縣臺東市豐安里5鄰仁昌街99號
大樓,194.0,仁和里,臺東市仁和里7鄰仁五街43號,1.0,800.0,臺東市仁和里7鄰仁五街43號
大樓,195.0,仁和里,臺東市仁和里13鄰仁七街91號,1.0,1533.0,臺東市仁和里13鄰仁七街91號
大樓,196.0,仁和里,臺東市仁和里12鄰仁六街113號,1.0,795.0,臺東市仁和里12鄰仁六街113號
大樓,197.0,民生里,臺東市民生里16鄰開封街301號,1.0,264.0,臺東市民生里16鄰開封街301號
大樓,198.0,民生里,臺東市民生里22鄰開封街369號,1.0,272.0,臺東市民生里22鄰開封街369號
大樓,199.0,民生里,臺東市民生里26鄰開封街433號,1.0,527.0,臺東市民生里26鄰開封街433號
大樓,200.0,民生里,臺東市民生里9鄰杭州街118號,1.0,557.0,臺東市民生里9鄰杭州街118號
大樓,201.0,自強里,臺東縣台東市自強里漢中街65號,,1841.0,臺東縣台東市自強里漢中街65號
大樓,202.0,新生里,臺東市新生里19鄰四維路3段59巷8號,1.0,533.0,臺東市新生里19鄰四維路3段59巷8號
大樓,203.0,新生里,臺東市新生里傳廣路388巷106號,1.0,53.0,臺東市新生里傳廣路388巷106號
大樓,204.0,新生里,臺東市新生里8鄰四維路3段11號,1.0,1868.0,臺東市新生里8鄰四維路3段11號
