電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局
162,鼓山區,龍子里,高雄市鼓山區龍子里明誠三路693號,"22.660767,120.294596",3,4133.0,鼓山分局
163,鼓山區,龍子里,高雄市鼓山區龍子里龍勝路30號,"22.655166,120.296161",1.2,1692.0,鼓山分局
164,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路468號,"22.663112,120.288809",4,4217.0,鼓山分局
165,鼓山區,龍子里,高雄市鼓山區龍子里裕國街17號,"22.654112,120.292965",1.2.3,1492.0,鼓山分局
166,鼓山區,龍子里,高雄市鼓山區龍子里龍德路378號,"22.657129,120.297192",1,4071.0,鼓山分局
167,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路530號,"22.663872,120.288798",1,4116.0,鼓山分局
168,鼓山區,龍子里,高雄市鼓山區龍子里大順一路863號,"22.654957,120.298824",1,2437.0,鼓山分局
169,鼓山區,龍子里,高雄市鼓山區龍子里大順一路620號,"22.655781,120.300748",4,1249.0,鼓山分局
170,鼓山區,龍子里,高雄市鼓山區龍子里富農路80號,"22.656773,120.298976",3.4,1996.0,鼓山分局
171,鼓山區,龍子里,高雄市鼓山區龍子里龍勝路136號,"22.656815,120.296036",1,1378.0,鼓山分局
172,鼓山區,龍子里,高雄市鼓山區龍子里龍德路295號,"22.655615,120.296841",1,3728.0,鼓山分局
173,鼓山區,龍子里,高雄市鼓山區龍子里龍勝路287號,"22.659409,120.295558",1,6452.0,鼓山分局
174,鼓山區,龍子里,高雄市鼓山區龍子里龍勝路279號,"22.659002,120.29568",1.2.3.4.5,3354.0,鼓山分局
175,鼓山區,龍子里,高雄市鼓山區龍子里龍德路37號,"22.654086,120.302199",1.2.3,2727.0,鼓山分局
176,鼓山區,龍子里,高雄市鼓山區龍子里美術東二路128號,"22.65407,120.288391",1.2.3,1055.0,鼓山分局
177,鼓山區,龍子里,高雄市鼓山區龍子里博愛二路99號,"22.660056,120.302826",1,4522.0,鼓山分局
178,鼓山區,龍子里,高雄市鼓山區龍子里富農路328號,"22.656873,120.294336",5,2316.0,鼓山分局
179,鼓山區,龍水里,高雄市鼓山區龍水里中華一路95號,"22.666186,120.291801",1,307.0,鼓山分局
180,鼓山區,龍水里,高雄市鼓山區龍水里中華一路976號,"22.654924,120.291698",2,7085.0,鼓山分局
181,鼓山區,龍水里,高雄市鼓山區龍水里中華一路310號之底層,"22.665633,120.291402",1,98.0,鼓山分局
182,鼓山區,龍水里,高雄市鼓山區龍水里中華一路140號,"22.666844,120.289429",2,1833.0,鼓山分局
183,鼓山區,龍水里,高雄市鼓山區龍水里中華一路336號,"22.662277,120.292203",2,853.0,鼓山分局
184,鼓山區,龍水里,高雄市鼓山區龍水里中華一路314之3號,"22.665141,120.291743",1,736.0,鼓山分局
185,鼓山區,龍水里,高雄市鼓山區龍水里中華一路2222號,"22.652902,120.291741",1,1139.0,鼓山分局
186,鼓山區,龍水里,高雄市鼓山區龍水里中華一路2302號,"22.651019,120.291667",1,497.0,鼓山分局
187,鼓山區,龍水里,高雄市鼓山區龍水里美術南五街89號,"22.652242,120.285208",2,873.0,鼓山分局
188,鼓山區,龍水里,高雄市鼓山區龍水里美術南一街2號,"22.654205,120.287626",2,1832.0,鼓山分局
