類別,電腦編號,村里別,緯經度,地下層數位址,可容納人數,轄管分局,備註
工廠,ENA08100,樹林里,"25.05989, 121.11846",1.0,577,大園分局,
工廠,ENA08101,樹林里,"25.06176, 121.12366",1.0,30,大園分局,
工廠,ENA08179,樹林里,"25.06196, 121.12387",1.0,341,大園分局,
工廠,ENA08177,樹林里,"25.05888, 121.1165",1.0,726,大園分局,
工廠,ENA08104,樹林里,"25.063, 121.1253",1.0,46,大園分局,
工廠,ENA08105,樹林里,"25.06342, 121.12579",1.0,596,大園分局,
工廠,ENA08107,樹林里,"25.06216, 121.12376",1.0,134,大園分局,
工廠,ENA08108,樹林里,"25.06216, 121.12376",1.0,18,大園分局,
工廠,ENA08109,樹林里,"25.06407, 121.12622",1.0,526,大園分局,
工廠,ENA08178,樹林里,"25.05938, 121.11782",1.0,1262,大園分局,
工廠,ENA08096,樹林里,"25.05943, 121.11614",2.0,33,大園分局,
工廠,ENA08097,樹林里,"25.05963, 121.11646",1.0,73,大園分局,
工廠,ENA08193,樹林里,"25.05097, 121.11789",1.0,501,大園分局,
大樓,ENA08214,草漯里,"25.04721, 121.14297",2.0,1610,大園分局,
大樓,ENA08215,樹林里,"25.05176, 121.12387",1.0,924,大園分局,
大樓,ENA06055,廣興里,"25.03439, 121.0993",1.0,451,大園分局,
大樓,ENA03029,五權里,"25.01471, 121.23749",2.0,1986,大園分局,
大樓,ENA07055,上大里,"24.97791, 121.15652",1.0,3558,大園分局,
大樓 ,ENA07008 ,富源里,"25.01261, 121.13628 ",1.0,1588,大園分局,
