類別,電腦編號,里別,地址,地下樓層數,分配容量
"龍翔茶行(林民政)                       ",KSA00047,廣興村,南投縣鹿谷鄉廣興村中正一路148號,1,213.0
鹿谷村活動中心,KSA00048,鹿谷村,南投縣鹿谷鄉鹿谷村興農巷50-6號,1,72.0
鹿谷鄉凍頂茶直銷中心-林民政（鹿谷消防隊）,KSA00050,彰雅村,南投縣鹿谷鄉彰雅村中正路一段92號,1,208.0
"久林建設公司(林丕耀) （新溪頭龍之嶺飯店）",KSA00053,初鄉村,南投縣鹿谷鄉初鄉村中正路三段558（576）號,1,3228.0
陳宗潭,KSA00055,永隆村,南投縣鹿谷鄉永隆村堀邊巷4-1號,1,62.0
邱如平,KSA00056,永隆村,南投縣鹿谷鄉永隆村仁義路80-32號,1,404.0
"陳樵雄                                ",KSA00057,永隆村,南投縣鹿谷鄉永隆村堀邊巷3-5號,1,128.0
鳳凰農會辦事處（黃建一）,KSA00058,鳯凰村,南投縣鹿谷鄉鳳凰村新進路1-5號,1,168.0
"蘇文壬（蘇萬甲）                      ",KSA00059,永隆村,南投縣鹿谷鄉永隆村鳳園路293號,1,118.0
溪頭自然教育園區（蔡明哲）,KSA00061,內湖村,南投縣鹿谷鄉內湖村森林巷9號,1,328.0
救國團青年活動中心（柯經一）,KSA00062,內湖村,南投縣鹿谷鄉內湖村森林巷15號,1,536.0
員林客運溪頭站（楊炳煜）,KSA00063,內湖村,南投縣鹿谷鄉內湖村興產路1-21號,1,42.0
"明山別館（林碧蘭）                    ",KSA00064,內湖村,南投縣鹿谷鄉內湖村興產路2-3號,1,454.0
明山別館（林碧蘭）,KSA00066,內湖村,南投縣鹿谷鄉內湖村興產路2-3號,1,751.0
米堤大飯店（陳明哲）,KSA00067,內湖村,南投縣鹿谷鄉內湖村米堤街1號,,5317.0
行政院特有生物保育中心,KTA0001,永昌里,南投縣集集鎮永昌里民生東1號,1,2030.0
中華電信公司南投營運處,KTA0002,玉映里,南投縣集集鎮玉映里民生路110號之2,1,64.0
石世濱,KTA0007,魚池村,南投縣魚池鄉魚池村19鄰魚池街555號,1,63.0
基督教安息會台灣區會,KTA0009,魚池村,南投縣魚池鄉魚池村9鄰瓊文巷39號之2,1,1127.0
魚池郵局,KTA0012,魚池村,南投縣魚池鄉魚池村16鄰魚池街364號,1,53.0
劉國堂,KTA0013,農富村,南投縣水里鄉農富村中正路26號,1,77.0
鐘賜任,KTA0014,農富村,南投縣水里鄉農富村中正路25號,1,77.0
趙張繡英,KTA0015,農富村,南投縣水里鄉農富村民生路340號,1,100.0
黃華森,KTA0017,農富村,南投縣水里鄉農富村中正路27號,1,77.0
林文禮,KTA0018,農富村,南投縣水里鄉農富村民生路320號,1,58.0
廖祈安,KTA0020,農富村,南投縣水里鄉農富村民生路298號,1,20.0
蕭輔傑,KTA0020,農富村,南投縣水里鄉農富村民生路300號,1,20.0
張景堯,KTA0022,農富村,南投縣水里鄉農富村民生路302號,1,20.0
邱月卿,KTA0023,農富村,南投縣水里鄉農富村民生路306號,1,20.0
吳詹寸杆,KTA0024,農富村,南投縣水里鄉農富村民生路308號,1,20.0
陳明智,KTA0025,農富村,南投縣水里鄉農富村民生路310號,1,20.0
蕭能閣,KTA0026,農富村,南投縣水里鄉農富村民生路318號,1,53.0
陳錦麟,KTA0027,農富村,南投縣水里鄉農富村民生路326號,1,20.0
水里鄉農會,KTA0029,農富村,南投縣水里鄉農富村民生路358號,1,53.0
林芳子,KTA0030,中央村,南投縣水里鄉中央村民生路383號,,26.0
袁柏耀,KTA0031,農富村,南投縣水里鄉農富村民生路370號,1,66.0
天聖宮,KTA0032,城中街,南投縣水里鄉城中村市場街102號,1,113.0
中華電信公司水里服務中心,KTA0033,北埔村,南投縣水里鄉北埔村博愛路35號,1,800.0
鉅工保線斑,KTA0034,鉅工村,南投縣水里鄉鉅工村二坪路2號,1,83.0
水里鄉農會,KTA0035,農富村,南投縣水里鄉農富村民生路362號,1,162.0
抽蓄工程處,KTA0036,鉅工村,南投縣水里鄉鉅工村民生路290號,1,666.0
國泰保險公司水里展業處,KTA0037,北埔村,南投縣水里鄉北埔村民族路277號,1,435.0
水里鄉公所,KTA0038,中央村,南投縣水里鄉中央村民生路363號,1,3662.0
水里鄉公所,KTA0039,中央村,南投縣水里鄉中央村民生路361號,1,2113.0
玉山國家公園管理處,KTA0040,北埔村,南投縣水里鄉北埔村中山路515號,1,2468.0
玉山國家公園管理處,KTA0041,北埔村,南投縣水里鄉北埔村中山路517號,1,964.0
頭社郵局,KTA0043,武登村,南投縣魚池鄉武登村集里路4號,1,62.0
台電水社服務所,KTA0044,水社村,南投縣魚池鄉水社村中山路281號,1,248.0
台灣銀行休閒中心,KTA0045,水社村,南投縣魚池鄉水社村名勝街24號,1,110.0
涵碧樓飯店,KTA0046,水社村,南投縣魚池鄉水社村中興路142號,1,1235.0
鴻賓大飯店,KTA0047,水社村,南投縣魚池鄉水社村名勝街3號,3,104.0
日月潭電信局,KTA0052,水社村,南投縣魚池鄉水社村中興路120號,1,153.0
水沙蓮大飯店,KTA0053,水社村,南投縣魚池鄉水社村名勝街5號,2,25.0
名勝大飯店,KTA0054,水社村,南投縣魚池鄉水社村名勝街4號,1,74.0
教師會館,KTA0055,水社村,南投縣魚池鄉水社村中興路136號,3,306.0
國立水里高職,KTA0057,永豐村,南投縣水里鄉永豐村南湖1號,1,3518.0
基督教復臨日安息會,KTA0058,魚池村,南投縣魚池鄉魚池村瓊文巷39號,1,1022.0
國立仁愛高農,KOA000001,大同村,南投縣仁愛鄉大同村山農巷28號,1,42.0
台電服務所,KOA000002,大同村,南投縣仁愛鄉大同村仁和路50號,1,318.0
中華電信,KOA000003,大同村,南投縣仁愛鄉大同村仁和路12號,1,192.0
霧櫻大飯店,KOA000004,大同村,南投縣仁愛鄉大同村仁和路69號,1,152.0
天廬大飯店,KOA000005,精英村,南投縣仁愛鄉精英村榮華巷24號,2,388.0
太魯閣國家公園管理處,KOA000006,榮興村,南投縣仁愛鄉榮興村公園巷11號,1,616.0
信義分局,KPA0003,明德村,南投縣信義鄉明德村玉山路49號,1,930.0
東埔山莊,KPA0001,東埔村,南投縣信義鄉東埔村開高巷70號之2,1,1262.0
勝華大飯店,KPA0002,東埔村,南投縣信義鄉東埔村開高巷60號,1,628.0
玉山氣象站,KPA0004,東埔村,南投縣信義鄉東埔村玉山北峰1號,1,13.0
曾漢棋醫院,KRA00148,炎峰里,南投縣草屯鎮炎峰里虎山路915號,1,182.0
一般住宅,KRA00158,炎峰里,南投縣草屯鎮炎峰里虎山路792號,,36.0
草屯國中,KRA00241,炎峰里,南投縣草屯鎮炎峰里虎山路808號,1,225.0
草屯國中,KRA00248,炎峰里,南投縣草屯鎮炎峰里虎山路808號,1,91.0
草屯國中,KRA00324,炎峰里,南投縣草屯鎮炎峰里虎山路808號,1,597.0
台灣土地銀行,KRA00299,炎峰里,南投縣草屯鎮炎峰里中正路601-7號,1,2714.0
皇家特區,KRA00305,炎峰里,南投縣草屯鎮炎峰里碧山路14號,1,1398.0
高明世家,KRA00310,炎峰里,南投縣草屯鎮炎峰里明賢街1段52弄15號,1,3163.0
國泰人壽,KRA00138,炎峰里,南投縣草屯鎮炎峰里中正路613號,1,438.0
草屯鎮立游泳池,KRA00040,炎峰里,南投縣草屯鎮炎峰里中正路571-1號,,91.0
國立手工藝研究所,KRA00057,炎峰里,南投縣草屯鎮炎峰里虎山路572號,1,1050.0
南開科技大學,KRA00137,富寮里,南投縣草屯鎮富寮里中正路568號,1,224.0
南開科技大學,KRA00144,富寮里,南投縣草屯鎮富寮里中正路568號,1,1388.0
南開科技大學,KRA00330,富寮里,南投縣草屯鎮富寮里中正路568號,1,1699.0
南開科技大學,KRA00258,富寮里,南投縣草屯鎮富寮里中正路568號,1,409.0
南開科技大學,KRA00331,富寮里,南投縣草屯鎮富寮里中正路569號,1,224.0
南開科技大學,KRA00137,富寮里,南投縣草屯鎮富寮里中正路568號,1,1191.0
草屯鎮立青少年活動中心,KRA00196,富寮里,南投縣草屯鎮富寮里中正路571-1號,,1248.0
富功國小,KRA00217,富寮里,南投縣草屯鎮富寮里中正路567號,,89.0
一般住宅,KRA00332,富寮里,南投縣草屯鎮富寮里中正路559巷1號,1,4886.0
總統官邸,KRA00333,富寮里,南投縣草屯鎮富寮里中正路567-5號,1,1657.0
寬心成家,KRA00334,富寮里,南投縣草屯鎮富寮里富春路48巷26號,1,1734.0
僑光國小,KRA00335,新豐里,南投縣草屯鎮新豐里稻香路20-2號,1,1125.0
日新國中,KRA00336,新豐里,南投縣草屯鎮新豐里稻香路45號,1,768.0
金福華食品公司,KRA00337,新豐里,南投縣草屯鎮新豐里新豐路96巷100號,1,607.0
工藝研究中心,KRA00338,富寮里,南投縣草屯鎮富寮里中正路574號,1,49.0
工藝研究中心生活館,KRA00339,富寮里,南投縣草屯鎮富寮里中正路574號,1,211.0
草屯地政事務所,KRA00340,富寮里,南投縣草屯鎮富寮里中正路579-1號,1,1210.0
南開會館,KRA00341,富寮里,南投縣草屯鎮富寮里富中路71號,1,3018.0
崧源濾材,KRA00342,御史里,南投縣草屯鎮御史里中正路權郎巷9號,1,2764.0
寶旺萊6號花園酒店,KRA00343,御史里,南投縣草屯鎮御史里中正路1747號,2,1590.0
中國醫藥學院草屯院區,KRA00195,明正里,南投縣草屯鎮明正里平等街140號,1,592.0
華麗大樓,KRA00198,明正里,南投縣草屯鎮明正里博愛路451號,1,276.0
一般住宅,KRA00154,明正里,南投縣草屯鎮明正里中正路889號,,27.0
一般住宅,KRA00153,明正里,南投縣草屯鎮明正里中正路891號,,27.0
一般住宅,KRA00152,明正里,南投縣草屯鎮明正里中正路893號,,27.0
一般住宅,KRA00155,明正里,"南投縣草屯鎮明正里中正路887號 ",,56.0
一般住宅,KRA00154,明正里,南投縣草屯鎮明正里中正路893-1號,,41.0
中正龍庭,KRA00268,御史里,南投縣草屯鎮御史里中正路1182-1194號,1,1359.0
中正家園,KRA00306,明正里,南投縣草屯鎮明正里中正路1130-1號,1,1065.0
東美大樓,KRA00047,玉峰里,南投縣草屯鎮玉峰里東美街1-4號,,640.0
草屯國小,KRA00124,玉峰里,南投縣草屯鎮玉峰里玉屏路210號,,762.0
廣大天下,KRA00304,玉峰里,南投縣草屯鎮玉峰里自由街55號,,1473.0
豐田汽車,KRA00182,新豐里,"南投縣草屯鎮新豐里中正路1203號 ",,117.0
上毅天下,KRA00243,明正里,"南投縣草屯鎮明正里成功路1段459號 ",1,226.0
大園道,KRA00291,明正里,"南投縣草屯鎮明正里成功路1段265號 ",1,1486.0
一般住宅,KRA00123,明正里,南投縣草屯鎮明正里中山街322號,,228.0
草屯療養院,KRA00052,御史里,南投縣草屯鎮御史里玉屏路161號,1,3124.0
草屯療養院,KRA00053,御史里,"南投縣草屯鎮御史里玉屏路161號 ",1,1477.0
草屯療養院,KRA00054,御史里,南投縣草屯鎮御史里玉屏路161號,1,417.0
草屯療養院,KRA00055,御史里,南投縣草屯鎮御史里玉屏路161號,1,198.0
總慶建設公司,KRA00264,炎峰里,"南投縣草屯鎮炎峰里和興街94號 ",1,1606.0
一般住宅,KRA00297,炎峰里,南投縣草屯鎮炎峰里中正路602號,,1418.0
草屯郵局,KRA00297,炎峰里,南投縣草屯鎮炎峰里中正路606號,,201.0
新光人壽,KRA00036,炎峰里,"南投縣草屯鎮炎峰里中正路610號 ",1,318.0
"中華電信草屯服務處 ",KRA00147,炎峰里,南投縣草屯鎮炎峰里中正路629號,,124.0
欣林瓦斯公司,KRA00165,玉峰里,"南投縣草屯鎮玉峰里博愛路684號 ",,578.0
合作金庫,KRA00240,玉峰里,"南投縣草屯鎮炎峰里中正路864-868號 ",1,647.0
鼎山建設公司天下王朝,KRA00253,玉峰里,南投縣草屯鎮玉峰里儒林街112-122號,1,824.0
惠慶建設,KRA00277,敦和里,"南投縣草屯鎮敦和里忠孝街287巷1號 ",1,2334.0
上廣建設公司,KRA00237,敦和里,南投縣草屯鎮敦和里碧山路342號,1,2312.0
千葉茶行,KRA00056,敦和里,南投縣草屯鎮敦和里碧山路122號,1,36.0
豐閣建設,KRA00237,敦和里,南投縣草屯鎮敦和里仁愛街59號,1,338.0
一般住宅,KRA00237,敦和里,南投縣草屯鎮敦和里碧山南路112號,1,21.0
敦和國小,KRA00125,敦和里,"南投縣草屯鎮敦和里敦和路72號-6號 ",,119.0
敦和國小,KRA00235,敦和里,南投縣草屯鎮敦和里敦和路72號-6號,1,94.0
敦和國小,KRA00300,敦和里,南投縣草屯鎮敦和里敦和路72號-6號,,50.0
一般住宅,KRA00121,敦和里,南投縣草屯鎮敦和里仁愛街267號,,183.0
美慶建設,KRA00308,山腳里,"南投縣草屯鎮山腳里虎山路332巷23號 ",1,3200.0
一般住宅,KRA00238,山腳里,南投縣草屯鎮山腳里虎山路438號,1,953.0
"漢鯨建設 ",KRA00257,山腳里,南投縣草屯鎮山腳里虎山路256-358號,1,423.0
鴻銘建設,KRA00322,山腳里,南投縣草屯鎮山腳里虎山路437號,1,743.0
一般住宅,KRA00215,山腳里,"南投縣草屯鎮山腳里虎山路494號 ",1,76.0
"水稻之歌  ",KRA00251,山腳里,"南投縣草屯鎮山腳里富林路1段658號 ",1,1091.0
和康6期,KRA00298,山腳里,"南投縣草屯鎮山腳里嘉興街51-53號 ",1,266.0
甜蜜家庭,KRA00293,山腳里,南投縣草屯鎮山腳里正氣街78號,1,433.0
佑民醫院,KRA00094,山腳里,南投縣草屯鎮山腳里太平路1段200號,1,845.0
佑民醫院,KRA00246,山腳里,"南投縣草屯鎮山腳里太平路1段200號 ",1,272.0
佑民醫院,KRA00249,山腳里,南投縣草屯鎮山腳里太平路1段202號,1,504.0
"台電公司 ",KRA00096,山腳里,南投縣草屯鎮山腳里太平路1段42號,1,2102.0
台電公司,KRA00108,山腳里,南投縣草屯鎮山腳里太平路1段42號,1,495.0
台電公司,KRA00116,山腳里,南投縣草屯鎮山腳里太平路1段42號,1,852.0
台電公司,KRA00117,山腳里,南投縣草屯鎮山腳里太平路1段42號,1,1752.0
一般住宅,KRA00239,山腳里,南投縣草屯鎮山腳里正興街245號,1,1091.0
宏柱建設,KRA00286,山腳里,南投縣草屯鎮山腳里正興街187號,1,540.0
孟慎建設（陽光大地）,KRA00278,山腳里,"南投縣草屯鎮山腳里民生二街43號 ",1,2414.0
"水稻之歌 ",KRA00289,山腳里,南投縣草屯鎮山腳里虎山路153號,1,996.0
一般住宅,KRA00292,新厝里,南投縣草屯鎮新厝里中興路210號,1,295.0
一般住宅,KRA00260,新厝里,"南投縣草屯鎮新厝里中興路212號 ",1,441.0
洋洋大觀管委會-李金水,KRA00283,新厝里,南投縣草屯鎮新厝里中興路230號,1,441.0
一般住宅,KRA00272,新厝里,南投縣草屯鎮新厝里中興路178號,1,92.0
華南銀行,KRA00020,和平里,南投縣草屯鎮和平里太平路二段331號,1,33.0
惠德宮,KRA00015,和平里,南投縣草屯鎮和平里太平路二段287號,1,80.0
一般住宅,KRA00213,和平里,南投縣草屯鎮和平里太平路二段339號,1,142.0
第一銀行,KRA00005,和平里,南投縣草屯鎮和平里太平路二段256號,1,60.0
王外科,KRA00006,和平里,南投縣草屯鎮和平里太平路二段231號,1,13.0
一般住宅,KRA00114,中山里,南投縣草屯鎮中山里草溪路1052號,1,28.0
一般住宅,KRA00118,中山里,南投縣草屯鎮中山里草溪路1048號,1,42.0
台灣聖教會,KRA00126,中山里,南投縣草屯鎮中山里中山街2號,1,143.0
一般住宅,KRA00180,中山里,南投縣草屯鎮中山里中山街25號,1,21.0
一般住宅,KRA00181,中山里,南投縣草屯鎮中山里中山街21號,1,21.0
一般住宅,KRA00313,中山里,南投縣草屯鎮中山里太平路2段97號,,80.0
一般住宅,KRA00183,中山里,南投縣草屯鎮中山里太平路67號,,36.0
一般住宅,KRA00184,中山里,南投縣草屯鎮中山里太平路2段69號,,48.0
草屯菸葉廠配銷處,KRA00192,中山里,南投縣草屯鎮中山里成功路1段194號,,321.0
京王飯店,KRA00194,中山里,南投縣草屯鎮中山里草溪路1003號,,111.0
一般住宅,KRA00362,新厝里,南投縣草屯鎮新厝里新富二街50號,1,389.0
一般住宅,KRA00361,中山里,南投縣草屯鎮中山里明賢街112號,2,834.0
一般住宅,KRA00360,中山里,南投縣草屯鎮中山里草溪路1070號1樓之1,2,450.0
愛丁堡大樓,KRA00344,敦和里,南投縣草屯鎮敦和里仁愛街76巷8號,1,322.0
養慧樓,KRA00345,山腳里,南投縣草屯鎮山腳里民權東街106號,1,1537.0
草屯公有市場,KRA00346,和平里,南投縣草屯鎮和平里碧山路80號,2,3705.0
一般住宅,KRA00347,中山里,南投縣草屯鎮中山里草鞋墩一街8號,2,4049.0
草屯公有立體停車場,KRA00348,和平里,南投縣草屯鎮和平里虎山路819號,2,3969.0
草屯鎮公所,KRA00349,中山里,南投縣草屯鎮中山里草鞋墩一街8號,1,4049.0
水稻之歌,KRA00350,敦和里,南投縣草屯鎮敦和里信義街139號,1,557.0
敦和國小,KRA00351,敦和里,南投縣草屯鎮敦和里敦和路72-6號,1,956.0
璞仁建設,KRA00352,敦和里,南投縣草屯鎮敦和里敦和路133號,1,819.0
台電公司,KRA00353,山腳里,南投縣草屯鎮山腳里太平路一段42號,2,2662.0
一般住宅,KRA00354,新庄里,南投縣草屯鎮新庄里芬草路二段417號,2,534.0
一般住宅,KRA00355,北投里,南投縣草屯鎮北投里北投路文教巷43號,1,200.0
一般住宅,KRA00363,新庄里,南投縣草屯鎮新庄里芬草路二段417號1樓之1,2,534.0
研習中心,KRA00110,南埔里,南投縣草屯鎮南埔里南平路528號,1,328.0
中原國小,KRA00356,中原里,南投縣草屯鎮中原里坪腳巷20號,1,1440.0
環隆電子公司,KRA00281,上林里,南投縣草屯鎮上林里太平路1段351巷141號,1,1508.0
環隆電子公司,KRA00381,上林里,南投縣草屯鎮上林里太平路1段351巷153號,1,1221.0
舜邦建設,KRA00294,上林里,南投縣草屯鎮上林里太平路1段537號,1,660.0
上毅建設,KRA00230,上林里,南投縣草屯鎮上林里太平路1段307號,1,1073.0
環隆電子公司,KRA00318,上林里,南投縣草屯鎮上林里太平路1段351巷153號,1,6389.0
將軍廟文教中心,KRA00287,南埔里,南投縣草屯鎮南埔里中正路344-44號,1,1168.0
一般住宅,KRA00357,上林里,南投縣草屯鎮上林里太平路1段443巷53號,1,206.0
一般住宅,KRA00358,碧峰里,南投縣草屯鎮碧峰里碧山路1126-2號,1,547.0
雙冬國小,KRA00359,雙冬里,南投縣草屯鎮雙冬里中正路34號,1,200.0
龍安郵局,KRA00170,龍安里,南投縣中寮鄉龍安村龍南路45-12號,1,111.0
中寮開閉所,KRA00109,復興里,南投縣中寮鄉復興村復興巷10號,1,866.0
中寮國中,KRA00034,永平里,南投縣中寮鄉永平村初中巷16號,1,124.0
大乘寶塔納骨塔,KRA00364,御史里,"南投縣草屯鎮御史里18鄰大覺路976 號",1,453.0
大樓,KRA00365,御史里,南投縣草屯鎮御史里28鄰中正路權郎巷7號,1,1168.0
光慧文教,KRA00366,山腳里,南投縣草屯鎮山腳里05鄰民權東街102巷6號2樓,1,755.0
