編號,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,村里別,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)","unnamed (7)","unnamed (8)","unnamed (9)","unnamed (10)","unnamed (11)"
183.0,臺中市大雅區中清路3段1132巷12號,1,759.0,大雅分局,"120.647060 ","24.219640 ",大雅里,,,,,,,,,,,
184.0,臺中市大雅區秀山路387號,1,775.0,大雅分局,"120.631237 ","24.220286 ",秀山里,,,,,,,,,,,
185.0,臺中市大雅區學府路467巷9號,2,373.0,大雅分局,"120.647148 ","24.228145 ",上雅里,,,,,,,,,,,
186.0,臺中市大雅區學府路280號,1,275.0,大雅分局,"120.650447 ","24.224083 ",大雅里,,,,,,,,,,,
187.0,臺中市大雅區學府路457號,1,1025.0,大雅分局,"120.647395 ","24.228465 ",上雅里,,,,,,,,,,,
188.0,臺中市大雅區永和路110號之31,2,447.0,大雅分局,"120.635040 ","24.214380 ",橫山里,,,,,,,,,,,
189.0,臺中市大雅區雅環路二段26巷39號,2,897.0,大雅分局,"120.654725 ","24.224943 ",上雅里,,,,,,,,,,,
190.0,臺中市大雅區秀山路365號,1,177.0,大雅分局,"120.631951 ","24.221330 ",秀山里,,,,,,,,,,,
191.0,臺中市大雅區平和一路15號,1,228.0,大雅分局,"120.633250 ","24.228871 ",秀山里,,,,,,,,,,,
192.0,臺中市大雅區雅環路3段2巷8號,2,680.0,大雅分局,"120.648480 ","24.229190 ",上雅里,,,,,,,,,,,
193.0,臺中市大雅區永和路145號,1,688.0,大雅分局,"120.645686 ","24.222265 ",文雅里,,,,,,,,,,,
194.0,臺中市大雅區學府路280號,1,502.0,大雅分局,"120.650447 ","24.224083 ",大雅里,,,,,,,,,,,
195.0,臺中市大雅區中清東路226號,2,1002.0,大雅分局,"120.647150 ","24.224737 ",大雅里,,,,,,,,,,,
196.0,臺中市大雅區學府路467巷8號,1,286.0,大雅分局,"120.646989 ","24.228860 ",上雅里,,,,,,,,,,,
197.0,臺中市大雅區永和路145-6號,1,239.0,大雅分局,"120.645968 ","24.222479 ",文雅里,,,,,,,,,,,
198.0,臺中市大雅區永和路149巷1號,1,113.0,大雅分局,"120.646064 ","24.222757 ",文雅里,,,,,,,,,,,
199.0,臺中市大雅區大林路140巷23號,1,961.0,大雅分局,"120.646399 ","24.235740 ",員林里,,,,,,,,,,,
200.0,臺中市大雅區學府路280號,1,1546.0,大雅分局,"120.650447 ","24.224083 ",大雅里,,,,,,,,,,,
201.0,臺中市大雅區神林路一段234巷40號,1,258.0,大雅分局,"120.657738 ","24.236758 ",員林里,,,,,,,,,,,
202.0,臺中市大雅區東大路二段999號,1,390.0,大雅分局,"120.613440 ","24.227610 ",忠義里,,,,,,,,,,,
203.0,臺中市大雅區中清東路232號,1,143.0,大雅分局,"120.646880 ","24.224960 ",大雅里,,,,,,,,,,,
204.0,臺中市大雅區雅環路二段299號,1,1000.0,大雅分局,"120.648480 ","24.229190 ",上雅里,,,,,,,,,,,
205.0,臺中市大雅區雅環路二段301號,1,886.0,大雅分局,"120.647640 ","24.228800 ",上雅里,,,,,,,,,,,
206.0,臺中市大雅區雅潭路四段837號,1,518.0,大雅分局,"120.647890 ","24.220830 ",大雅里,,,,,,,,,,,
207.0,臺中市大雅區中山北路235號,1,1085.0,大雅分局,"120.646118 ","24.220349 ",文雅里,,,,,,,,,,,
208.0,臺中市大雅區民生路一段100號,1,948.0,大雅分局,"120.648077 ","24.226491 ",大雅里,,,,,,,,,,,
209.0,臺中市大雅區永和路149巷12號,1,23.0,大雅分局,"120.646064 ","24.222757 ",文雅里,,,,,,,,,,,
210.0,臺中市大雅區永和路149巷14號,1,24.0,大雅分局,"120.646064 ","24.222757 ",文雅里,,,,,,,,,,,
211.0,臺中市大雅區永和路149巷22號,1,24.0,大雅分局,"120.646064 ","24.222757 ",文雅里,,,,,,,,,,,
212.0,臺中市大雅區永和路149巷24號,1,24.0,大雅分局,"120.646064 ","24.222757 ",文雅里,,,,,,,,,,,
213.0,臺中市大雅區大林路319號,1,508.0,大雅分局,"120.651353 ","24.246366 ",員林里,,,,,,,,,,,
214.0,臺中市大雅區15鄰中清路三段1200號,2,845.0,大雅分局,"120.645862 ","24.225152 ",大雅里,,,,,,,,,,,
286.0,臺中市大雅區中清路三段997巷27號,1,3984.0,大雅分局,120.6478,24.21966,文雅里,,,,,,,,,,,
287.0,臺中市大雅區中清路三段1132巷12號,1,759.0,大雅分局,120.64726,24.22314,大雅里,,,,,,,,,,,
288.0,臺中市大雅區中清路三段1195號,1,574.0,大雅分局,120.6455,24.22469,文雅里,,,,,,,,,,,
289.0,臺中市大雅區雅潭路四段908號,1,825.0,大雅分局,120.64782,24.22133,大雅里,,,,,,,,,,,
290.0,臺中市大雅區雅環路297巷2號,1,1610.0,大雅分局,120.65346,24.22286,上雅里,,,,,,,,,,,
291.0,臺中市大雅區學府路250巷82弄82號,1,665.0,大雅分局,120.65224,24.22347,大雅里,,,,,,,,,,,
303.0,臺中市大雅區上雅里雅環路二段120巷33之6號,2,1044.14,大雅分局,120.6532885,24.22779403,上雅里,,,,,,,,,,,
215.0,臺中市潭子區福潭路313巷10號,1,5401.0,大雅分局,"120.709960 ","24.209300 ",潭陽里,,,,,,,,,,,
216.0,臺中市潭子區潭子街1段31巷2號,1,229.0,大雅分局,"120.706220 ","24.210390 ",潭陽里,,,,,,,,,,,
217.0,臺中市潭子區中山路二段237巷9號,1,164.0,大雅分局,"120.704170 ","24.209490 ",潭陽里,,,,,,,,,,,
218.0,臺中市潭子區復興路2段130號,1,642.0,大雅分局,"120.706990 ","24.210050 ",潭陽里,,,,,,,,,,,
219.0,臺中市潭子區中山路二段345號,1,323.0,大雅分局,"120.705167 ","24.212185 ",潭陽里,,,,,,,,,,,
220.0,臺中市潭子區潭子街一段31巷64號,1,762.0,大雅分局,"120.706450 ","24.211990 ",潭陽里,,,,,,,,,,,
221.0,臺中市潭子區潭興路2段36巷79號,1,2038.0,大雅分局,"120.714410 ","24.207200 ",潭陽里,,,,,,,,,,,
222.0,臺中市潭子區潭興路二段332巷7號,1,1953.0,大雅分局,"120.710790 ","24.210140 ",潭陽里,,,,,,,,,,,
223.0,臺中市潭子區興華一路326號,1,231.0,大雅分局,"120.703690 ","24.212370 ",甘蔗里,,,,,,,,,,,
224.0,臺中市潭子區興華一路141巷83號,1,483.0,大雅分局,"120.700940 ","24.206580 ",甘蔗里,,,,,,,,,,,
225.0,臺中市潭子區興華一路141巷70號,1,519.0,大雅分局,"120.701380 ","24.206730 ",甘蔗里,,,,,,,,,,,
226.0,臺中市潭子區勝利12街87巷18號,1,641.0,大雅分局,"120.699870 ","24.212990 ",甘蔗里,,,,,,,,,,,
227.0,臺中市潭子區勝利5街23號,1,123.0,大雅分局,"120.700410 ","24.208910 ",甘蔗里,,,,,,,,,,,
228.0,臺中市潭子區勝利3街35號,1,490.0,大雅分局,"120.702480 ","24.208340 ",甘蔗里,,,,,,,,,,,
229.0,臺中市潭子區大豐路2段1號,1,259.0,大雅分局,"120.691770 ","24.218720 ",東寶里,,,,,,,,,,,
230.0,臺中市潭子區勝利9街30號,1,529.0,大雅分局,"120.699500 ","24.212650 ",甘蔗里,,,,,,,,,,,
231.0,臺中市潭子區勝利10街2號,1,772.0,大雅分局,"120.700951 ","24.212703 ",甘蔗里,,,,,,,,,,,
232.0,臺中市潭子區潭興路二段36巷89號,1,2040.0,大雅分局,"120.713910 ","24.208136 ",潭陽里,,,,,,,,,,,
233.0,臺中市潭子區興華一路475號,1,397.0,大雅分局,"120.702014 ","24.213953 ",甘蔗里,,,,,,,,,,,
234.0,臺中市潭子區興華一路332號,1,174.0,大雅分局,"120.703650 ","24.212510 ",潭陽里,,,,,,,,,,,
235.0,臺中市潭子區興華一路198號,1,1019.0,大雅分局,"120.703342 ","24.207695 ",潭陽里,,,,,,,,,,,
236.0,臺中市潭子區雅潭路三段2號,1,389.0,大雅分局,"120.684273 ","24.216801 ",東寶里,,,,,,,,,,,
237.0,臺中市潭子區勝利七街12號,1,126.0,大雅分局,"120.700365 ","24.210376 ",甘蔗里,,,,,,,,,,,
238.0,臺中市潭子區中山路2段391巷5號,2,227.0,大雅分局,"120.704110 ","24.212810 ",潭陽里,,,,,,,,,,,
239.0,臺中市潭子區潭興路3段111巷1號,2,484.0,大雅分局,"120.700710 ","24.211880 ",甘蔗里,,,,,,,,,,,
240.0,臺中市潭子區勝利路140號,2,2325.0,大雅分局,"120.700470 ","24.213480 ",甘蔗里,,,,,,,,,,,
241.0,臺中市潭子區大富路1段7號之1,3,744.0,大雅分局,"120.679070 ","24.206620 ",東寶里,,,,,,,,,,,
242.0,臺中市潭子區雅潭路3段2號,1,84.0,大雅分局,"120.684330 ","24.216480 ",東寶里,,,,,,,,,,,
243.0,臺中市潭子區雅潭路3段2號,1,291.0,大雅分局,"120.699520 ","24.216170 ",東寶里,,,,,,,,,,,
244.0,臺中市潭子區雅潭路一段175號,1,586.0,大雅分局,"120.699520 ","24.216170 ",甘蔗里,,,,,,,,,,,
245.0,臺中市潭子區雅潭路一段175號,1,459.0,大雅分局,"120.703870 ","24.209840 ",甘蔗里,,,,,,,,,,,
246.0,臺中市潭子區中山路二段241巷7號,1,772.0,大雅分局,"120.703870 ","24.209840 ",甘蔗里,,,,,,,,,,,
247.0,臺中市潭子區勝利路310號,1,751.0,大雅分局,"120.700710 ","24.213630 ",甘蔗里,,,,,,,,,,,
248.0,臺中市潭子區雅潭路一段175號,1,442.0,大雅分局,"120.703870 ","24.209840 ",甘蔗里,,,,,,,,,,,
249.0,臺中市潭子區潭陽路19號,1,589.0,大雅分局,"120.710120 ","24.213040 ",潭陽里,,,,,,,,,,,
250.0,臺中市潭子區潭陽路19號,1,1603.0,大雅分局,"120.710120 ","24.213040 ",潭陽里,,,,,,,,,,,
251.0,臺中市潭子區潭興路三段40號,1,1010.0,大雅分局,"120.704110 ","24.211750 ",潭陽里,,,,,,,,,,,
252.0,臺中市潭子區潭興路2段419巷1號,1,228.0,大雅分局,"120.708390 ","24.210110 ",潭陽里,,,,,,,,,,,
253.0,臺中市潭子區潭興路2段419巷1號,1,199.0,大雅分局,"120.708390 ","24.210110 ",潭陽里,,,,,,,,,,,
292.0,臺中市潭子區大智街15巷12號,1,467.0,大雅分局,120.70934,24.20752,潭陽里,,,,,,,,,,,
293.0,臺中市潭子區大智街15巷2弄5號,1,578.0,大雅分局,120.70906,24.20774,潭陽里,,,,,,,,,,,
294.0,臺中市潭子區圓通南路72巷22號,1,602.0,大雅分局,120.70887,24.20735,潭陽里,,,,,,,,,,,
295.0,臺中市潭子區潭興路二段388號,1,16.0,大雅分局,120.70926,24.21072,潭陽里,,,,,,,,,,,
296.0,臺中市潭子區潭興路二段390號,2,16.0,大雅分局,120.70921,24.21066,潭陽里,,,,,,,,,,,
297.0,臺中市潭子區潭興路二段394號,2,32.0,大雅分局,120.70914,24.21072,潭陽里,,,,,,,,,,,
298.0,臺中市潭子區圓通南路278號,1,1025.0,大雅分局,120.70251,24.20735,潭陽里,,,,,,,,,,,
299.0,臺中市潭子區大富路一段2巷22弄36號,2,189.0,大雅分局,120.68023,24.20402,東寶里,,,,,,,,,,,
300.0,臺中市潭子區雅豐街76巷29弄8號,2,1076.0,大雅分局,120.69466,24.21825,東寶里,,,,,,,,,,,
301.0,臺中市潭子區雅潭路二段56號,1,202.0,大雅分局,120.69613,24.2164,東寶里,,,,,,,,,,,
304.0,臺中市潭子區潭陽里潭興路三段25號,1,1796.02,大雅分局,120.7042408,24.21153994,潭陽里,,,,,,,,,,,
305.0,臺中市潭子區福仁里18鄰橋興一街三樓之6,1,2702.97,大雅分局,120.701406,24.204564,福仁里,,,,,,,,,,,
306.0,臺中市潭子區大豐里14鄰大豐路三段196之9號,1,1781.49,大雅分局,120.6930105,24.22466707,大豐里,,,,,,,,,,,
307.0,臺中市潭子區栗林里10鄰弘智一街91號,1,1914.83,大雅分局,120.703671,24.22468685,栗林里,,,,,,,,,,,
308.0,臺中市大雅區二和里20鄰神林南路620號,1,2461.48,大雅分局,120.6510423,24.21924732,二和里,,,,,,,,,,,馬岡派出所
309.0,臺中市大雅區忠義里17鄰月祥路86號,1,3591.15,大雅分局,120.619761,24.222972,忠義里,,,,,,,,,,,
