電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,建築物名稱
B047,中山里,桃園市龍潭區中山里五福街68號,"24.865131903843096, 121.21900162109088",1,3029,龍潭分局,,O,清水大街
B048,中山里,桃園市龍潭區中山里華南路一段63巷12弄1號,"24.869930017945613, 121.21676798166327",1,887,龍潭分局,,O,肇景建設
B049,中正里,(機敏單位)桃園市龍潭區中正里東龍路100號,,1,535,龍潭分局,,,龍潭農會
B050,龍潭里,桃園市龍潭區龍潭里龍華路64號,"24.865026521185314, 121.21511924303147",1,289,龍潭分局,,O,陳杏蘭
B051,龍星里,桃園市龍潭區龍星里大同路213巷15號,"24.86240746108227, 121.21928881234992",3,1800,龍潭分局,,O,廣春成建設
B052,上林里,桃園市龍潭區上林里金龍路476巷66號,"24.847915477177278, 121.2154042833541",1,282,龍潭分局,,O,黃富康
B053,中正里,桃園市龍潭區中正里中正路398號,"24.859389784054446, 121.2183586835116",1,549,龍潭分局,,,廖勝權
B054,中山里,桃園市龍潭區中山里大昌路一段78號,"24.870608782525782, 121.21599521234747",1,2481,龍潭分局,,O,宜城歐香
B055,龍星里,桃園市龍潭區龍星里中正路261巷85弄16號,"24.863668702557383, 121.21862112653874",2,1211,龍潭分局,,O,御松園社區
B056,中正里,桃園市龍潭區中正里神龍路379號,"24.8572389491609, 121.21590841049849",1,623,龍潭分局,,O,新希臘社區
B057,中正里,桃園市龍潭區中正里神龍路415號,"24.85732408405543, 121.21682371049845",1,1450,龍潭分局,,O,廣春成建設
B058,中山里,桃園市龍潭區中山里中正路6號,"24.86926255010186, 121.21395916816978",1,292,龍潭分局,,,陳秀蘭
B059,中正里,桃園市龍潭區中正里龍華路347巷38號,"24.85806041439594, 121.21852208351153",1,2736,龍潭分局,,O,克德建設公司
B060,中山里,桃園市龍潭區中山里公園路58巷30號,"24.867001284050737, 121.21827601234733",1,313,龍潭分局,,O,中台山佛教基金會
