類別,電腦編號,里別,防空疏散避難設施地址,緯經度,可容納人數,轄管分局,備註
一般住宅,FNA00378,東山里,新竹市東區東山里3鄰東山街2號,"24.7955739,120.9805442",85.0,第二分局,
一般住宅,FNA00379,東山里,新竹市東區東山里6鄰東山街25之11號,"24.7961838,120.979801",89.0,第二分局,
一般住宅,FNA00380,綠水里,新竹市東區綠水里20鄰東光路4號,"24.8011262,120.9870903",29.0,第二分局,
一般住宅,FNA00381,綠水里,新竹市東區綠水里5鄰食品路1-7號,"24.801847,120.9833197",662.0,第二分局,
一般住宅,FNA00382,東山里,新竹市東區東山里17鄰食品路138-140號,"24.7977267,120.9769912",162.0,第二分局,
一般住宅,FNA00383,東園里,新竹市東區東園里13鄰公園路111號,"24.7995461,120.9757007",33.0,第二分局,
一般住宅,FNA00385,東園里,新竹市東區東園里13鄰公園路89號,"24.7995532,120.9757023",33.0,第二分局,
一般住宅,FNA00386,光復里,新竹市東區光復里11鄰光復路二段726號,"24.8004824,120.989311",36.0,第二分局,
一般住宅,FNA00387,前溪里,新竹市東區前溪里9鄰中華路一段176之12號,"24.8146978,120.991888",17.0,第二分局,
一般住宅,FNA00388,建華里,新竹市東區建華里1鄰學府路16號,"24.7944585,120.9787676",85.0,第二分局,
一般住宅,FNA00389,東山里,新竹市東區東山里6鄰東山街7號,"24.7956915,120.980126",46.0,第二分局,
一般住宅,FNA00390,綠水里,新竹市東區綠水里11鄰博愛街2之16號,"24.7986884,120.9824452",84.0,第二分局,
一般住宅,FNA00391,綠水里,新竹市東區綠水里6鄰學府路391號,"24.8000142,120.9864814",616.0,第二分局,
一般住宅,FNA00392,光復里,新竹市東區光復里2鄰東明街101號之4,"24.8045168,120.9880726",44.0,第二分局,
一般住宅,FNA00393,東園里,新竹市東區東園里15鄰鐵道路一段28巷15號,"24.8122461,120.9842476",22366.0,第二分局,
一般住宅,FNA00394,綠水里,新竹市東區綠水里11鄰博愛街23號,"24.7973103,120.9860473",618.0,第二分局,
一般住宅,FNA00395,東園里,新竹市東區東園里13鄰公園路71號,"24.7995591,120.9757036",21.0,第二分局,
一般住宅,FNA00396,東山里,新竹市東區東山里2鄰學府路119號,"24.7951143,120.9793394",48.0,第二分局,
一般住宅,FNA00397,東山里,新竹市東區東山里17鄰食品路146號,"24.7976671,120.9767649",328.0,第二分局,
一般住宅,FNA00398,東山里,新竹市東區東山里6鄰東山街210號,"24.7988153,120.9777114",86.0,第二分局,
一般住宅,FNA00399,水源里,新竹市東區水源里17鄰中華路一段187號,"24.8142202,120.9919899",26.0,第二分局,
一般住宅,FNA00400,東勢里,新竹市東區東勢里8鄰公園路20號,"24.8068468,120.9850132",518.0,第二分局,
一般住宅,FNA00401,東山里,新竹市東區東山里9鄰東山街95號,"24.7978341,120.9784334",52.0,第二分局,
一般住宅,FNA00402,綠水里,新竹市東區綠水里1鄰學府路375號,"24.7990906,120.9861418",54.0,第二分局,
一般住宅,FNA00403,榮光里,新竹市東區榮光里8鄰中華路二段384巷3號,"24.8030606,120.9728349",168.0,第二分局,
一般住宅,FNA00404,綠水里,新竹市東區綠水里3鄰食品路67號,"24.7986435,120.9790505",200.0,第二分局,
一般住宅,FNA00405,光復里,新竹市東區光復里2鄰東明街105巷4號,"24.8044183,120.9881194",34.0,第二分局,
一般住宅,FNA00406,光復里,新竹市東區光復里7鄰東勢街16號,"24.805648,120.9940371",49.0,第二分局,
一般住宅,FNA00407,東山里,新竹市東區東山里9鄰東山街58-60號,"24.7967826,120.9796351",182.0,第二分局,
一般住宅,FNA00408,東山里,新竹市東區東山里21鄰東山街81號,"24.797601,120.9786413",36.0,第二分局,
一般住宅,FNA00409,綠水里,新竹市東區綠水里20鄰東光路1號,"24.8011262,120.9870903",50.0,第二分局,
一般住宅,FNA00410,東山里,新竹市東區東山里9鄰東山街91號,"24.7977253,120.9785347",58.0,第二分局,
一般住宅,FNA00411,東山里,新竹市東區東山里6鄰東山街17號之20,"24.7959222,120.9798907",18.0,第二分局,
一般住宅,FNA00412,綠水里,新竹市東區綠水里12鄰學府路329巷1弄9號,"24.7969527,120.9844345",73.0,第二分局,
一般住宅,FNA00413,水源里,新竹市東區水源里17鄰中華路一段175之1號,"24.8144961,120.992585",41.0,第二分局,
公有建築物,FNA00414,東山里,新竹市東區東山里1鄰學府路26號,"24.7948292,120.9793037",405.0,第二分局,
一般住宅,FNA00415,綠水里,新竹市東區綠水里12鄰學府路329巷2、4號,"24.796593,120.986665",74.0,第二分局,
一般住宅,FNA00416,東園里,新竹市東區東園里公園路95號,"24.7995513,120.9757019",29.0,第二分局,
一般住宅,FNA00417,前溪里,新竹市東區前溪里8鄰中華路一段214號,"24.8138289,120.9905735",60.0,第二分局,
一般住宅,FNA00418,東山里,新竹市東區東山里21鄰東山街73號,"24.7974038,120.9787684",56.0,第二分局,
一般住宅,FNA00419,東山里,新竹市東區東山里9鄰東山街101號,"24.797941,120.978305",32.0,第二分局,
一般住宅,FNA00421,東山里,新竹市東區東山里4鄰東山街26號,"24.7960831,120.980188",56.0,第二分局,
一般住宅,FNA00422,東山里,新竹市東區東山里21鄰東山街75號,"24.7974218,120.9787531",81.0,第二分局,
一般住宅,FNA00423,東勢里,新竹市東區東勢里7鄰東光路55號,"24.8029417,120.9867629",1109.0,第二分局,
一般住宅,FNA00424,綠水里,新竹市東區綠水里10鄰光復路二段289號,"24.7998455,120.9896942",170.0,第二分局,
一般住宅,FNA00425,綠水里,新竹市東區綠水里1鄰學府路371-373號,"24.7988358,120.9860475",68.0,第二分局,
一般住宅,FNA00426,綠水里,新竹市東區綠水里2鄰博愛街67號,"24.7979701,120.9842101",125.0,第二分局,
一般住宅,FNA00427,東山里,新竹市東區東山里2鄰學府路73號,"24.7947709,120.9781473",60.0,第二分局,
公有建築物,FNA00428,綠水里,新竹市東區綠水里2鄰博愛街43號,"24.7978736,120.9898865",260.0,第二分局,
公有建築物,FNA00429,綠水里,新竹市東區綠水里2鄰博愛街45號,"24.7978736,120.9898865",260.0,第二分局,
公有建築物,FNA00430,綠水里,新竹市東區綠水里2鄰博愛街45號,"24.7978736,120.9898865",86.0,第二分局,
一般住宅,FNA00431,綠水里,新竹市東區綠水里10鄰光復路二段293號,"24.8001617,120.9892207",4869.0,第二分局,
一般住宅,FNA00432,綠水里,新竹市東區綠水里6鄰園後街4號之21,"24.8004159,120.9864665",204.0,第二分局,
供公眾使用建築物,FNA00433,綠水里,新竹市東區綠水里11鄰博愛街4號,"24.7972477,120.9885639",266.0,第二分局,
供公眾使用建築物,FNA00434,綠水里,新竹市東區綠水里11鄰博愛街4號,"24.7972477,120.9885639",133.0,第二分局,
供公眾使用建築物,FNA00435,綠水里,新竹市東區綠水里11鄰博愛街4號,"24.7972477,120.9885639",66.0,第二分局,
一般住宅,FNA00436,綠水里,新竹市東區綠水里10鄰光復路二段307號,"24.8003007,120.9886849",576.0,第二分局,
一般住宅,FNA00437,綠水里,新竹市東區綠水里19鄰園後街28-34號,"24.8003036,120.9854625",182.0,第二分局,
一般住宅,FNA00438,綠水里,新竹市東區綠水里19鄰園後街12巷18-24號,"24.8002275,120.9859145",185.0,第二分局,
一般住宅,FNA00439,綠水里,新竹市東區綠水里10鄰光復路二段307號,"24.8003007,120.9886849",425.0,第二分局,
公有建築物,FNA00440,綠水里,新竹市東區綠水里13鄰園後街25號,"24.8000634,120.9851876",289.0,第二分局,
一般住宅,FNA00441,東勢里,新竹市東區東勢里8鄰公園路22號,"24.8068299,120.9849861",45.0,第二分局,
一般住宅,FNA00442,綠水里,新竹市東區綠水里11鄰博愛街21號,"24.7973214,120.9864407",142.0,第二分局,
一般住宅,FNA00443,東勢里,新竹市東區東勢里8鄰公園路20號,"24.8068468,120.9850132",792.0,第二分局,
公有建築物,FNA00444,綠水里,新竹市東區綠水里1鄰博愛街12號,"24.7972311,120.9869263",57.0,第二分局,
一般住宅,FNA00445,綠水里,新竹市東區綠水里7鄰光復路二段389-391號,"24.8012471,120.985615",25.0,第二分局,
一般住宅,FNA00446,綠水里,新竹市東區綠水里14鄰園後街51號,"24.7999784,120.9840612",37.0,第二分局,
公有建築物,FNA00447,綠水里,新竹市東區綠水里13鄰園後街1號,"24.8003547,120.9854503",508.0,第二分局,
一般住宅,FNA00448,東園里,新竹市東區東園里5鄰忠孝路440號,"24.802698,120.9831363",422.0,第二分局,
一般住宅,FNA00449,東勢里,新竹市東區東勢里8鄰公園路2號,"24.8069713,120.9852347",220.0,第二分局,
一般住宅,FNA00450,建華里,新竹市東區建華里4鄰寶山路63號,"24.7933165,120.9743961",597.0,第二分局,
公有建築物,FNA00451,綠水里,新竹市東區綠水里2鄰博愛街45號,"24.7978736,120.9898865",440.0,第二分局,
一般住宅,FNA00452,綠水里,新竹市東區綠水里11鄰博愛街6號,"24.798924,120.981829",82.0,第二分局,
一般住宅,FNA00453,光明里,新竹市東區光明里15鄰光復路二段2號,"24.7926731,121.002747",392.0,第二分局,
一般住宅,FNA00454,東園里,新竹市東區東園里13鄰公園路38號,"24.8066949,120.9847698",22.0,第二分局,
一般住宅,FNA00455,綠水里,新竹市東區綠水里20鄰東光路15號,"24.8017138,120.9868732",74.0,第二分局,
一般住宅,FNA00456,綠水里,新竹市東區綠水里14鄰博愛街74-86號,"24.7984299,120.9836294",268.0,第二分局,
一般住宅,FNA00457,綠水里,新竹市東區綠水里11鄰博愛街1號,"24.7971594,120.9875375",360.0,第二分局,
一般住宅,FNA00458,東園里,新竹市東區東園里13鄰公園路78號,"24.8063574,120.984229",121.0,第二分局,
一般住宅,FNA00459,綠水里,新竹市東區綠水里6鄰園後街8號,"24.8003664,120.986442",238.0,第二分局,
一般住宅,FNA00460,綠水里,新竹市東區綠水里13鄰園後街1巷4號,"24.7998625,120.9859893",396.0,第二分局,
一般住宅,FNA00461,東園里,新竹市東區東園里13鄰公園路85號,"24.7995545,120.9757026",310.0,第二分局,
公有建築物,FNA00462,綠水里,新竹市東區綠水里20鄰光復路二段798號,"24.8014732,120.9864216",644.0,第二分局,
一般住宅,FNA00463,光復里,新竹市東區光復里11鄰光復路二段738號,"24.8006921,120.9889771",288.0,第二分局,
一般住宅,FNA00464,綠水里,新竹市東區綠水里20鄰東光路21號之1,"24.8017958,120.9867854",50.0,第二分局,
一般住宅,FNA00465,綠水里,新竹市東區綠水里14鄰園後街49號,"24.7999896,120.984143",26.0,第二分局,
一般住宅,FNA00466,綠水里,新竹市東區綠水里17鄰博愛街81號,"24.799094,120.981739",1081.0,第二分局,
一般住宅,FNA00467,綠水里,新竹市東區綠水里1鄰博愛街30號之8,"24.798034,120.9847269",49.0,第二分局,
一般住宅,FNA00468,綠水里,新竹市東區綠水里22鄰園後街76號,"24.8000426,120.9831285",1552.0,第二分局,
一般住宅,FNA00469,綠水里,新竹市東區綠水里1鄰博愛街30巷2號,"24.798034,120.9847269",57.0,第二分局,
公有建築物,FNA00470,綠水里,新竹市東區綠水里10鄰光復路二段297號,"24.8003082,120.9891494",525.0,第二分局,
一般住宅,FNA00471,水源里,新竹市東區水源里17鄰中華路一段135號之1,"24.8154026,120.9931369",41.0,第二分局,
一般住宅,FNA00472,綠水里,新竹市東區綠水里21鄰園後街43號之20,"24.7998228,120.9843562",32.0,第二分局,
一般住宅,FNA00473,綠水里,新竹市東區綠水里21鄰園後街49號,"24.7999896,120.984143",82.0,第二分局,
一般住宅,FNA00474,綠水里,新竹市東區綠水里11鄰博愛街1號,"24.7971594,120.9875375",562.0,第二分局,
一般住宅,FNA00475,東勢里,新竹市東區東勢里5鄰東明街10弄2號,"24.807143,120.9878944",28.0,第二分局,
一般住宅,FNA00476,綠水里,新竹市東區綠水里11鄰博愛街17號之11,"24.7972823,120.9866509",246.0,第二分局,
一般住宅,FNA00477,建華里,新竹市東區建華里14鄰學府路61巷20號,"24.7949103,120.9767463",101.0,第二分局,
供公眾使用建築物,FNA00478,東勢里,新竹市東區東勢里7鄰忠孝路300號,"24.8044796,120.9846409",938.0,第二分局,
一般住宅,FNA00479,東勢里,新竹市東區東勢里6鄰東明街13號,"24.809038,120.987293",28.0,第二分局,
一般住宅,FNA00480,東園里,新竹市東區東園里12鄰自由路22號,"24.8108969,120.9828148",61.0,第二分局,
一般住宅,FNA00481,東山里,新竹市東區東山里2鄰學府路149號,"24.7954072,120.979958",58.0,第二分局,
公有建築物,FNA00482,東山里,新竹市東區東山里1鄰學府路40號,"24.7957682,120.9822096",336.0,第二分局,
一般住宅,FNA00483,綠水里,新竹市東區綠水里12鄰學府路66號,"24.7962252,120.982939",169.0,第二分局,
一般住宅,FNA00484,軍功里,新竹市東區軍功里2鄰光復路二段418號,"24.7973404,120.9964329",164.0,第二分局,
一般住宅,FNA00485,水源里,新竹市東區水源里17鄰中華路一段125號,"24.8154338,120.9931644",52.0,第二分局,
一般住宅,FNA00486,東園里,新竹市東區東園里13鄰公園路99號,"24.79955,120.9757016",244.0,第二分局,
一般住宅,FNA00487,建華里,新竹市東區建華里1鄰學府路6號,"24.7945394,120.9780721",65.0,第二分局,
公有建築物,FNA00488,綠水里,新竹市東區綠水里3鄰食品路55號,"24.7995155,120.9804855",288.0,第二分局,
供公眾使用建築物,FNA00489,東山里,新竹市東區東山里9鄰食品路105號,"24.7978071,120.9776711",328.0,第二分局,
一般住宅,FNA00490,東園里,新竹市東區東園里9鄰公園路264號,"24.8036512,120.9801361",298.0,第二分局,
一般住宅,FNA00491,東勢里,新竹市東區東勢里8鄰公園路6號,"24.8069649,120.9852024",410.0,第二分局,
一般住宅,FNA00492,東山里,新竹市東區東山里9鄰培英街14號,"24.7976328,120.9780534",232.0,第二分局,
一般住宅,FNA00493,光復里,新竹市東區光復里1鄰忠孝路169號,"24.8049489,120.9893637",122.0,第二分局,
一般住宅,FNA00494,東園里,新竹市東區東園里14鄰中華路二段1號,"24.8093195,120.9833905",1265.0,第二分局,
一般住宅,FNA00495,綠水里,新竹市東區綠水里11鄰博愛街2號之4,"24.7977788,120.9885713",546.0,第二分局,
一般住宅,FNA00496,光復里,新竹市東區光復里7鄰東勢街46號,"24.8051305,120.9921057",1286.0,第二分局,
一般住宅,FNA00497,光復里,新竹市東區光復里14鄰東勢街175號之2,"24.8037001,120.9885891",410.0,第二分局,
一般住宅,FNA00498,東園里,新竹市東區東園里6鄰光復路二段912號,"24.8030446,120.9814307",378.0,第二分局,
一般住宅,FNA00499,東山里,新竹市東區東山里12鄰培英街43巷18號,"24.795704,120.978927",852.0,第二分局,
一般住宅,FNA00500,東園里,新竹市東區東園里3鄰光復路二段882號,"24.802916,120.982224",690.0,第二分局,
一般住宅,FNA00501,東山里,新竹市東區東山里21鄰東山街85號,"24.7976864,120.9785676",134.0,第二分局,
一般住宅,FNA00502,東山里,新竹市東區東山里10鄰培英街25巷4號,"24.7969827,120.9783839",293.0,第二分局,
一般住宅,FNA00503,東山里,新竹市東區東山里10鄰培英街27巷11號,"24.7968813,120.978199",617.0,第二分局,
一般住宅,FNA00504,東山里,新竹市東區東山里12鄰培英街55號,"24.7954482,120.9781539",362.0,第二分局,
一般住宅,FNA00505,綠水里,新竹市東區綠水里16鄰博愛街116號,"24.7993251,120.9819613",273.0,第二分局,
公有建築物,FNA00506,東山里,新竹市東區東山里1鄰學府路36號,"24.794116,120.9819186",704.0,第二分局,
一般住宅,FNA00507,建華里,新竹市東區建華里14鄰學府路61巷35號,"24.7946892,120.977593",265.0,第二分局,
一般住宅,FNA00508,光復里,新竹市東區光復里16鄰新光路73號,"24.8034748,120.989185",1612.0,第二分局,
一般住宅,FNA00509,建華里,新竹市東區建華里15鄰寶山路145巷15號,"24.7924261,120.9768794",1257.0,第二分局,
一般住宅,FNA00510,東園里,新竹市東區東園里9鄰光復路二段962號,"24.8036139,120.9800742",317.0,第二分局,
一般住宅,FNA00511,光復里,新竹市東區光復里2鄰東明街101號,"24.8045168,120.9880726",868.0,第二分局,
公有建築物,FNA00512,綠水里,新竹市東區綠水里9鄰學府路128號,"24.7967589,120.9845625",674.0,第二分局,
一般住宅,FNA00513,東山里,新竹市東區東山里12鄰培英街45號,"24.7958982,120.978156",612.0,第二分局,
一般住宅,FNA00514,綠水里,新竹市東區綠水里3鄰食品路53號,"24.7995294,120.9805602",249.0,第二分局,
一般住宅,FNA00515,光復里,新竹市東區光復里18鄰忠孝路165巷23號,"24.8043998,120.9886937",453.0,第二分局,
一般住宅,FNA00516,東山里,新竹市東區東山里21鄰東山街79巷3號,"24.7974617,120.9785687",196.0,第二分局,
一般住宅,FNA00517,東山里,新竹市東區東山里9鄰培英街11號,"24.7974512,120.9782102",110.0,第二分局,
一般住宅,FNA00518,光復里,新竹市東區光復里11鄰光復路二段760號,"24.8009146,120.988175",645.0,第二分局,
一般住宅,FNA00519,東園里,新竹市東區東園里11鄰中華路1段324號,"24.8109968,120.9870725",534.0,第二分局,
一般住宅,FNA00520,綠水里,新竹市東區綠水里11鄰博愛街1號,"24.7971594,120.9875375",224.0,第二分局,
一般住宅,FNA00521,綠水里,新竹市東區綠水里6鄰學府路391號,"24.8000142,120.9864814",616.0,第二分局,
一般住宅,FNA00522,東山里,新竹市東區東山里9鄰培英街10號,"24.7978107,120.9780746",125.0,第二分局,
一般住宅,FNA00523,金山里,新竹市東區金山里光復路1段11巷19號,"24.7809327,121.0260446",274.0,第二分局,
一般住宅,FNA00524,新莊里,新竹市東區新莊里12鄰光復路一段378號,"24.7843313,121.0152829",1001.0,第二分局,
一般住宅,FNA00525,關東里,新竹市東區關東里光復路1段292號,"24.7825468,121.0198326",36.0,第二分局,
公有建築物,FNA00526,仙水里,新竹市東區仙水里介壽路200號,"24.7788586,121.0189334",796.0,第二分局,
一般住宅,FNA00527,新莊里,新竹市東區新莊里光復路1段168巷356弄41號,"24.78178,121.022696",449.0,第二分局,
一般住宅,FNA00528,關東里,新竹市東區關東里光復路1段89巷2弄01號,"24.7786521,121.02441",20.0,第二分局,
一般住宅,FNA00529,關東里,新竹市東區關東里光復路1段238巷17號,"24.782017,121.021061",437.0,第二分局,
一般住宅,FNA00530,新莊里,新竹市東區新莊里光復路1段332號,"24.7829036,121.0187424",1317.0,第二分局,
一般住宅,FNA00531,仙水里,新竹市東區仙水里光復路1段457巷2號,"24.7838651,121.015193",37.0,第二分局,
供公眾使用建築物,FNA00532,關東里,新竹市東區關東里光復路1段238號,"24.781823,121.020696",661.0,第二分局,
一般住宅,FNA00533,新莊里,新竹市東區新莊里光復路576號,"24.7892503,121.0072441",41.0,第二分局,
一般住宅,FNA00534,仙水里,新竹市東區仙水里光復路1段358號,"24.783363,121.0179661",409.0,第二分局,
一般住宅,FNA00535,新莊里,新竹市東區新莊里光復路1段47-63號,"24.7836404,121.0164562",409.0,第二分局,
一般住宅,FNA00536,新莊里,新竹市東區新莊里光復路1段352號,"24.7831621,121.0184209",130.0,第二分局,
一般住宅,FNA00537,新莊里,新竹市東區新莊里光復路一段378號,"24.7843313,121.0152829",20.0,第二分局,
一般住宅,FNA00538,新莊里,新竹市東區新莊里光復路1段65-89號,"24.7810831,121.024676",1470.0,第二分局,
一般住宅,FNA00539,關東里,新竹市東區關東里3鄰光復路一段20號,"24.7807752,121.0264831",268.0,第二分局,
一般住宅,FNA00540,關東里,新竹市東區關東里3鄰光復路一段20號,"24.7807752,121.0264831",94.0,第二分局,
一般住宅,FNA00541,新莊里,新竹市東區新莊里光復路1段376巷45弄1~14號,"24.7841786,121.0152976",1526.0,第二分局,
一般住宅,FNA00542,金山里,新竹市東區金山里光復路1段110-118號,"24.7808773,121.0263253",190.0,第二分局,
一般住宅,FNA00543,金山里,新竹市東區金山里光復路1段108巷78弄2-10號,"24.7815303,121.0239138",337.0,第二分局,
一般住宅,FNA00544,金山里,新竹市東區金山里光復路1段108巷78弄2-7號,"24.7815303,121.0239138",377.0,第二分局,
一般住宅,FNA00545,金山里,新竹市東區金山里光復路1段123號,"24.781193,121.023277",224.0,第二分局,
一般住宅,FNA00546,金山里,新竹市東區金山里00鄰光復路1段313號,"24.7825469,121.0188226",226.0,第二分局,
一般住宅,FNA00547,金山里,新竹市東區金山里光復路1段84號,"24.7814226,121.024475",133.0,第二分局,
公有建築物,FNA00548,仙水里,新竹市東區仙水里6鄰光復路一段257號,"24.7807187,121.0197785",1434.0,第二分局,
一般住宅,FNA00549,金山里,新竹市東區金山里光復路1段16號,"24.7813126,121.0261737",373.0,第二分局,
一般住宅,FNA00550,金山里,新竹市東區金山里光復路1段531巷76號,"24.7830221,121.0130315",265.0,第二分局,
一般住宅,FNA00551,金山里,新竹市東區金山里光復路1段376巷69號,"24.7841786,121.0152976",549.0,第二分局,
供公眾使用建築物,FNA00552,仙水里,新竹市東區仙水里光復路1段227號,"24.7817484,121.0205401",1174.0,第二分局,
一般住宅,FNA00553,金山里,新竹市東區金山里光復路1段273號,"24.7822745,121.019521",20.0,第二分局,
一般住宅,FNA00554,金山里,新竹市東區金山里光復路1段89巷125號,"24.778604,121.025163",573.0,第二分局,
一般住宅,FNA00555,金山里,新竹市東區金山里光復路1段38號,"24.7813231,121.025626",2290.0,第二分局,
一般住宅,FNA00556,金山里,新竹市東區金山里光復路一段376巷22號,"24.7841786,121.0152976",378.0,第二分局,
一般住宅,FNA00557,金山里,新竹市東區金山里光復路1段30巷01弄02號,"24.7817384,121.0255527",238.0,第二分局,
一般住宅,FNA00558,金山里,新竹市東區金山里光復路1段230號,"24.7819434,121.021402",22.0,第二分局,
一般住宅,FNA00559,金山里,新竹市東區金山里光復路1段376巷156弄1-12號,"24.7841786,121.0152976",1866.0,第二分局,
一般住宅,FNA00560,新莊里,新竹市東區新莊里光復路1段302巷50號,"24.7836404,121.0164562",201.0,第二分局,
一般住宅,FNA00561,新莊里,新竹市東區新莊里光復路1段302巷120.122號,"24.7826871,121.019295",53.0,第二分局,
一般住宅,FNA00562,關東里,新竹市東區關東里關東路45號,"24.7833821,121.0225037",29.0,第二分局,
一般住宅,FNA00563,關東里,新竹市東區關東里關東路31號,"24.7828091,121.0226255",124.0,第二分局,
一般住宅,FNA00564,仙水里,新竹市東區仙水里光復路1段163號,"24.781501,121.022314",38.0,第二分局,
一般住宅,FNA00565,金山里,新竹市東區金山里光復路一段339號,"24.782852,121.017802",30.0,第二分局,
一般住宅,FNA00566,新莊里,新竹市東區新莊里光復路1段376巷32.34號,"24.7841786,121.0152976",244.0,第二分局,
一般住宅,FNA00567,綠水里,新竹市東區綠水里13鄰綠水路36號,"24.8000196,120.9854139",170.0,第二分局,
一般住宅,FNA00568,金山里,新竹市東區金山里光復路1段108巷126弄128號,"24.7815021,121.0240104",655.0,第二分局,
一般住宅,FNA00569,關東里,新竹市東區關東里光復路1段30巷1弄7-9號,"24.781299,121.025749",298.0,第二分局,
公有建築物,FNA00570,關東里,新竹市東區關東里光復路一段108巷55號,"24.7827646,121.022964",585.0,第二分局,
一般住宅,FNA00571,新莊里,新竹市東區新莊里光復路1段376巷190弄29號,"24.7836404,121.0164562",384.0,第二分局,
一般住宅,FNA00572,新莊里,新竹市東區新莊里光復路1段75號,"24.7811551,121.024425",1966.0,第二分局,
一般住宅,FNA00573,仙水里,新竹市東區仙水里光復路1段341號,"24.782866,121.017754",1481.0,第二分局,
一般住宅,FNA00574,關東里,新竹市東區關東里光復路1段30巷19號,"24.7821475,121.0254383",345.0,第二分局,
一般住宅,FNA00575,新莊里,新竹市東區新莊里光復路1段376巷77號,"24.7841786,121.0152976",1474.0,第二分局,
一般住宅,FNA00576,東園里,新竹市東區東園里14鄰中華路二段41號,"24.808678,120.982444",438.0,第二分局,
供公眾使用建築物,FNA00577,關東里,新竹市東區關東里光復路1段271號,"24.7822416,121.0196309",469.0,第二分局,
一般住宅,FNA00578,關東里,新竹市東區關東里光復路1段108巷2弄25號,"24.7817928,121.0239434",288.0,第二分局,
一般住宅,FNA00579,關東里,新竹市東區關東里光復路1段354巷16弄14號,"24.7832082,121.018866",1545.0,第二分局,
一般住宅,FNA00580,新莊里,新竹市東區新莊里光復路1段376巷175號,"24.7836404,121.0164562",926.0,第二分局,
一般住宅,FNA00581,仙水里,新竹市東區仙水里光復路一段331號,"24.7829205,121.018258",802.0,第二分局,
一般住宅,FNA00582,仙水里,新竹市東區仙水里光復路1段531巷60號,"24.7834661,121.0126559",718.0,第二分局,
一般住宅,FNA00583,仙水里,新竹市東區仙水里光復路1段376巷92號,"24.7841786,121.0152976",721.0,第二分局,
一般住宅,FNA00584,仙水里,新竹市東區仙水里光復路1段247號,"24.781877,121.020162",1204.0,第二分局,
公有建築物,FNA00586,中正里,新竹市東區中正里3鄰中央路112號,"24.806278,120.969909",2567.0,第二分局,
一般住宅,FNA00587,仙水里,新竹市東區仙水里光復路1段108巷14號,"24.7818853,121.0237587",528.0,第二分局,
一般住宅,FNA00588,仙水里,新竹市東區仙水里光復路1段354巷16弄6號,"24.7833905,121.0187539",1592.0,第二分局,
一般住宅,FNA00589,仙水里,新竹市東區仙水里光復路1段531巷72號,"24.782769,121.0126326",2212.0,第二分局,
一般住宅,FNA00590,仙水里,新竹市東區仙水里光復路1段270號,"24.782259,121.0201742",1980.0,第二分局,
一般住宅,FNA00591,三民里,新竹市東區三民里民族路242號,"24.8101994,120.9810881",66.0,第二分局,
一般住宅,FNA00592,成功里,新竹市東區成功里復興路22號,"24.8029282,120.9690991",328.0,第二分局,
一般住宅,FNA00593,成功里,新竹市東區成功里大同路5號,"24.8025386,120.9710644",169.0,第二分局,
一般住宅,FNA00594,成功里,新竹市東區成功里勝利路88號,"24.801279,120.969006",25.0,第二分局,
一般住宅,FNA00595,成功里,新竹市東區成功里大同路15號,"24.8029551,120.969671",165.0,第二分局,
一般住宅,FNA00596,東門里,新竹市東區東門里東門街14號,"24.8044067,120.9744637",20.0,第二分局,
一般住宅,FNA00597,東門里,新竹市東區東門里東前街38號,"24.8043189,120.9677301",25.0,第二分局,
一般住宅,FNA00598,東門里,新竹市東區東門里東前街51號,"24.803727,120.96749",50.0,第二分局,
一般住宅,FNA00599,東門里,新竹市東區東門里東前街54號,"24.8041281,120.967162",25.0,第二分局,
一般住宅,FNA00600,東門里,新竹市東區東門里東前街56號,"24.8040996,120.9671379",38.0,第二分局,
一般住宅,FNA00601,東門里,新竹市東區東門里東前街58號,"24.8040706,120.9671129",45.0,第二分局,
一般住宅,FNA00602,三民里,新竹市東區三民里民族路240號,"24.8101733,120.9810486",122.0,第二分局,
一般住宅,FNA00603,東門里,新竹市東區東門里東前街69號,"24.803456,120.96701",29.0,第二分局,
一般住宅,FNA00604,三民里,新竹市東區三民里民族路87號,"24.8073806,120.976169",90.0,第二分局,
供公眾使用建築物,FNA00605,東門里,新竹市東區東門里東門街131號,"24.803911,120.968371",318.0,第二分局,
一般住宅,FNA00606,東門里,新竹市東區東門里中央路46號,"24.804683,120.967732",29.0,第二分局,
一般住宅,FNA00607,東門里,新竹市東區東門里東門街164號,"24.8043755,120.9682284",29.0,第二分局,
一般住宅,FNA00608,榮光里,新竹市東區榮光里中正路20號,"24.8030871,120.9715119",218.0,第二分局,
一般住宅,FNA00609,東門里,新竹市東區東門里東門街166號,"24.8043636,120.9681963",30.0,第二分局,
一般住宅,FNA00610,東門里,新竹市東區東門里大同路73號,"24.8049987,120.9683043",38.0,第二分局,
供公眾使用建築物,FNA00611,榮光里,新竹市東區榮光里中正路23號,"24.8032168,120.9709777",337.0,第二分局,
一般住宅,FNA00612,榮光里,新竹市東區榮光里中正路29號,"24.8033814,120.9710343",41.0,第二分局,
公有建築物,FNA00613,三民里,新竹市東區三民里12鄰中華路二段2號,"24.809448,120.9830404",230.0,第二分局,
一般住宅,FNA00614,榮光里,新竹市東區榮光里中正路41號,"24.803573,120.970815",56.0,第二分局,
一般住宅,FNA00615,榮光里,新竹市東區榮光里中正路43號,"24.803619,120.9708053",56.0,第二分局,
