類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
一般住宅,OMA00145,嘉芳里,臺南市新營區嘉芳里10鄰復興路863號,"23.30865,120.285714",1.0,48.0,
美東菱公司,OMA00146,太北里,臺南市新營區太北里9鄰新太路41號,"23.30151,120.273512",1.0,251.0,
花蓮汽車公司,OMA00148,嘉芳里,臺南市新營區嘉芳里6鄰新工路5號,"23.30884,120.281899",1.0,35.0,
春園大樓,OMA00149,南紙里,臺南市新營區南紙里16鄰南紙街117巷16號,"23.298110,120.294691",1.0,343.0,
心德教養院,OMA00150,五興里,臺南市新營區五興里14鄰五間厝156號,"23.26924,120.270193",1.0,440.0,
鹽水區公所,OMA00151,月港里,臺南市鹽水區月港里7鄰中山路47號,"23.319996,120.266129",1.0,131.0,
鹽水區民眾服務站,OMA00153,月港里,臺南市鹽水區月港里7鄰中山路26號,"23.319914,120.266724",1.0,513.0,
鹽水區地政事務所,OMA00154,月港里,臺南市鹽水區月港里9鄰武廟路1之7號,"23.320215,120.265114",1.0,513.0,
錫和醫院,OMA00155,津城里,臺南市鹽水區津城里9鄰武廟路31號之1,"23.321749,120.265240",1.0,340.0,
金玉滿堂大樓,OMA00157,津城里,臺南市鹽水區津城里8鄰武廟路80號,"23.322882,120.265899",1.0,708.0,
鹽水公有市場,OMA00158,津城里,臺南市鹽水區津城里6鄰三福路14號,"23.321192,120.267424",1.0,3779.0,
大學城,OMA00159,水秀里,臺南市鹽水區水秀里6鄰土庫83號,"23.322386,120.27645",1.0,472.0,
麗園,OMA00160,水秀里,臺南市鹽水區水秀里2鄰土庫2之37號,"23.327938,120.283645",1.0,3523.0,
仲群維公司,OMA00162,橋南里,臺南市鹽水區橋南里14鄰五福路152號,"23.306117,120.273251",1.0,116.0,
旭鋐金屬公司,OMA00163,橋南里,臺南市鹽水區橋南里14鄰自強街2號,"23.307668,120.274489",1.0,184.0,
杜漢企業公司,OMA00164,橋南里,臺南市鹽水區橋南里14鄰自立街6號,"23.30714,120.274311",1.0,104.0,
優達樹脂公司,OMA00165,橋南里,臺南市鹽水區橋南里14鄰自立街1號,"23.307728,120.274815",1.0,333.0,
欣和大樓,OMA00167,義中里,臺南市鹽水區義中里4鄰義稠110之25號,"23.326013,120.254636",1.0,1408.0,
勇健公司,OMA00168,汫水里,臺南市鹽水區汫水里7鄰溪州寮3號之8,"23.340482,120.294245",1.0,199.0,
一般住宅,OMA00169,汫水里,臺南市鹽水區汫水里7鄰溪州寮4號之3,"23.329141,120.281239",1.0,96.0,
華新麗華,OMA00170,汫水里,臺南市鹽水區汫水里7鄰溪州寮4號之3,"23.329141,120.281239",1.0,343.0,
利億建設公司,OMA00171,東昇里,臺南市柳營區東昇里4鄰康樂街246號,"23.280601,120.316184",1.0,106.0,
新營副產加工廠,OMA00172,人和里,臺南市柳營區人和里7鄰義士路五段690號,"23.292017,120.314418",1.0,228.0,
新營副產加工廠,OMA00173,人和里,臺南市柳營區人和里7鄰義士路五段690號,"23.292017,120.314418",1.0,156.0,
私立鳳和中學,OMA00174,東昇里,臺南市柳營區東昇里18鄰中山東路二段1330號,"23.279603,120.326008",1.0,200.0,
私立鳳和中學,OMA00175,東昇里,臺南市柳營區東昇里18鄰中山東路二段1330號,"23.279603,120.326008",1.0,226.0,
私立鳳和中學,OMA00176,東昇里,臺南市柳營區東昇里18鄰中山東路二段1330號,"23.279603,120.326008",1.0,200.0,
私立敏惠護專,OMA00177,東昇里,臺南市柳營區東昇里18鄰中山東路二段1116號,"23.279881,120.329702",1.0,188.0,
私立敏惠護專,OMA00178,東昇里,臺南市柳營區東昇里18鄰中山東路二段1116號,"23.279881,120.329702",1.0,135.0,
佛山觀音巖,OMA00179,旭山里,臺南市柳營區旭山里4鄰麻埔20號,"23.247610,120.387733",1.0,1116.0,
松戶企業有限公司,OMA00180,新南里,臺南市新營區新南里20鄰民治路336號,"23.306068,120.303279",1.0,683.0,
中台山佛教基金會,OMA00181,王公里,臺南市新營區王公里11鄰長榮路一段459號,"23.319648,120.320699",1.0,1435.0,
臺南市立新東國民中學,OMA00182,新東里,臺南市新營區新東里3鄰民治東路30號,"23.311388,120.323871",1.0,1335.0,
帝寶工業公司,OMA00183,嘉芳里,臺南市新營區嘉芳里3鄰復興路756號,"23.308789,120.286584",1.0,5333.0,
