類別,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)"
大樓,T103309,永興里,"24.9968458,121.309564",1、2、3、4,2293.0,桃園分局,,,,,
大樓,T103310,中信里,"24.992614,121.2845106",1、2、3,2350.0,桃園分局,,,,,
公寓,T103311,大豐里,"24.9820755,121.3143935",1,232.0,桃園分局,,,,,
大樓,T103312,春日里,"25.016049,121.3096801",1、2、3,2476.0,桃園分局,,,,,
公寓,T103401,大豐里,"24.9820755,121.3143935",1,232.0,桃園分局,,,,,
大樓,T103402,北埔里,"25.0223689,121.2920109",1、2、3,2565.0,桃園分局,,,,,
大樓,T103403,東山里,"24.991503,121.316549",1、2,434.0,桃園分局,,,,,
大樓,T103404,青溪里,"24.9990458,121.3140481",1、2,362.0,桃園分局,,,,,
大樓,T103405,南埔里,"25.008979,121.2967279",1、2、3,1880.0,桃園分局,,,,,
大樓,T103406,中正里,"24.9913436,121.2938538",1、2,753.0,桃園分局,,,,,
公寓,T103407,大林里,"24.9756917,121.3220261",1,158.0,桃園分局,,,,,
大樓,T103408,北門里,"25.002659,121.309446",1、2、3,1626.0,桃園分局,,,,,
大樓,T103409,大林里,"24.9746523,121.3221267",1、2,1710.0,桃園分局,,,,,
公寓,T103410,自強里,"25.0213093,121.3036426",1,171.0,桃園分局,,,,,
公寓,T103411,武陵里,"24.990321,121.313636",1,181.0,桃園分局,,,,,
大樓,T103412,南埔里,"25.0086168,121.2963112",1、2、3,2056.0,桃園分局,,,,,
大樓,T103413,龍安里,"24.9923342,121.2761395",1、2、3,875.0,桃園分局,,,,,
大樓,T103414,龍壽里,"24.983917,121.272703",1、2、3,4074.0,桃園分局,,,,,
大樓,T103415,寶慶里,"25.0124171,121.2955917",1、2,2418.0,桃園分局,,,,,
大樓,T103416,大有里,"25.0119826,121.3189856",1、2、3,4646.0,桃園分局,,,,,
公寓,T103417,文中里,"24.9957855,121.2897381",1,265.0,桃園分局,,,,,
公寓,T103418,中和里,"24.9963999,121.311146",1,75.0,桃園分局,,,,,
大樓,T102101,永興里,"24.9957042,121.3089634",1、2,462.0,桃園分局,,,,,
公寓,T102102,瑞慶里,"25.0218187,121.2914425",1,159.0,桃園分局,,,,,
大樓,T102103,同安里,"25.0154393,121.2990783",1、2、3、4,12960.0,桃園分局,,,,,
大樓,T102104,中德里,"24.9635067,121.2909749",1、2、3,1590.0,桃園分局,,,,,
大樓,T102201,會稽里,"25.0164732,121.3156198",1、2、3,1319.0,桃園分局,,,,,
大樓,T102202,龍安里,"24.993588,121.2791089",1、2、3,2993.0,桃園分局,,,,,
公寓,T102203,大樹里,"24.979521,121.323031",1,340.0,桃園分局,,,,,
大樓,T102204,大樹里,"24.9793785,121.3203222",1、2,2731.0,桃園分局,,,,,
大樓,T102205,寶慶里,"25.0115459,121.2957459",1、2、3,961.0,桃園分局,,,,,
大樓,T102301,中寧里,"25.0104545,121.3004251",1、2、3、4,5178.0,桃園分局,,,,,
大樓,T102302,寶山里,"25.012179,121.3140573",1、2,5184.0,桃園分局,,,,,
公寓,T102303,三民里,"24.9980009,121.318343",1,199.0,桃園分局,,,,,
大樓,T102304,大林里,"24.9786633,121.3266666",1、2、3、4,16369.0,桃園分局,,,,,
公寓,T102305,中原里,"24.9855241,121.2946246",1,470.0,桃園分局,,,,,
大樓,T102306,龍壽里,"24.9791075,121.2707549",1、2、3,5326.0,桃園分局,,,,,
大樓,T102307,大林里,"24.9736529,121.3227513",1、2、3,2031.0,桃園分局,,,,,
大樓,T102308,信光里,"25.0075091,121.306482",1、2、3,6387.0,桃園分局,,,,,
大樓,T102401,泰山里,"24.9891382,121.2994814",1、2,3479.0,桃園分局,,,,,
大樓,T102402,中聖里,"24.9886737,121.2864806",1、2、3,1193.0,桃園分局,,,,,
大樓,T102403,光興里,"24.9922339,121.304107",1、2、3,577.0,桃園分局,,,,,
大樓,T102404,雲林里,"24.9839577,121.3192934",1、2,1064.0,桃園分局,,,,,
大樓,T102405,龍壽里,"24.9834868,121.2691283",1、2、3,3031.0,桃園分局,,,,,
大樓,T102406,中德里,"24.9646543,121.2947109",1、2,2046.0,桃園分局,,,,,
大樓,T102407,莊敬里,"25.0199429,121.2988777",1、2、3,10662.0,桃園分局,,,,,
大樓,T102408,大業里,"25.0090184,121.3146206",1、2,627.0,桃園分局,,,,,
大樓,T102409,同安里,"25.0110577,121.3050319",1、2,4401.0,桃園分局,,,,,
大樓,T102410,中正里,"24.994863,121.300044",1、2、3,1705.0,桃園分局,,,,,
公寓,T102411,大有里,"25.0128588,121.3199724",1,617.0,桃園分局,,,,,
大樓,T102412,中信里,"24.992458,121.2844683",1、2,1361.0,桃園分局,,,,,
大樓,T102413,同安里,"25.0133485,121.301526",1、2、3、4,5051.0,桃園分局,,,,,
大樓,T102414,大業里,"25.0107896,121.3143655",1、2,1048.0,桃園分局,,,,,
大樓,T102415,寶安里,"25.0155533,121.2918933",1、2,3514.0,桃園分局,,,,,
大樓,T101101,南埔里,"25.0077299,121.2967708",1、2、3,3123.0,桃園分局,,,,,
公寓,T101102,大樹里,"24.9795457,121.3180839",1,1299.0,桃園分局,,,,,
大樓,T101103,永安里,"24.9997506,121.3047532",1、2,2525.0,桃園分局,,,,,
大樓,T101104,長德里,"25.0027155,121.3014684",1、2、3,1926.0,桃園分局,,,,,
大樓,T101105,南埔里,"25.0063063,121.294051",1、2,4241.0,桃園分局,,,,,
大樓,T101106,中路里,"24.9930166,121.2917633",1、2,810.0,桃園分局,,,,,
大樓,T101201,大林里,"24.9786633,121.3266666",1、2、3、4,16396.0,桃園分局,,,,,
大樓,T101202,北埔里,"25.0231471,121.2913134",1、2,1063.0,桃園分局,,,,,
大樓,T101203,經國里,"25.0127223,121.3056851",1、2,3249.0,桃園分局,,,,,
大樓,T101204,大林里,"24.9747301,121.323401",1、2、3,1411.0,桃園分局,,,,,
大樓,T101205,武陵里,"24.9931969,121.3131352",1、2、3,1154.0,桃園分局,,,,,
大樓,T101206,大林里,"24.9786633,121.3266666",1、2、3、4,16406.0,桃園分局,,,,,
大樓,T101207,中信里,"24.994116,121.2831964",1、2、3,2150.0,桃園分局,,,,,
大樓,T101301,同安里,"25.013693,121.3026995",1、2、3,1183.0,桃園分局,,,,,
大樓,T101302,中德里,"24.9617247,121.2935518",1、2,7917.0,桃園分局,,,,,
大樓,T101303,青溪里,"25.0009632,121.3175811",1、2,607.0,桃園分局,,,,,
大樓,T101304,龍壽里,"24.9795699,121.2712236",1、2、3,5326.0,桃園分局,,,,,
大樓,T101305,大林里,"24.9745674,121.3227495",1、2、3,5168.0,桃園分局,,,,,
大樓,T101306,長德里,"25.0026124,121.2992063",1、2、3,3301.0,桃園分局,,,,,
大樓,T101401,大林里,"24.9736951,121.3202477",1、2,4890.0,桃園分局,,,,,
大樓,T101402,莊敬里,"25.0245207,121.2948346",1、2、3,6958.0,桃園分局,,,,,
大樓,T101403,大有里,"25.0126903,121.3199897",1、2,1485.0,桃園分局,,,,,
大樓,T101404,中德里,"24.9647757,121.2948258",1、2、3,5229.0,桃園分局,,,,,
公寓,T101405,忠義里,"25.0044475,121.3163154",1,1415.0,桃園分局,,,,,
大樓,T100101,玉山里,"24.987955,121.3019843",1、2,1003.0,桃園分局,,,,,
大樓,T100102,同德里,"25.0151304,121.2967523",1、2、3,8720.0,桃園分局,,,,,
大樓,T100103,瑞慶里,"25.0225671,121.2951621",1、2、3、4,2624.0,桃園分局,,,,,
大樓,T100104,永安里,"24.9988269,121.304376",1、2、3,1433.0,桃園分局,,,,,
公寓,T100105,建國里,"24.9884881,121.3164975",1,699.0,桃園分局,,,,,
大樓,T100201,中寧里,"25.0104225,121.2988641",1、2、3,7705.0,桃園分局,,,,,
公寓,T100202,中德里,"24.965169,121.2924775",1,506.0,桃園分局,,,,,
大樓,T100203,經國里,"25.011287,121.307676",1、2、3,2948.0,桃園分局,,,,,
大樓,T100204,春日里,"25.0203015,121.3105596",1、2、3,3894.0,桃園分局,,,,,
公寓,T100205,龍鳳里,"24.9895064,121.2794396",1,1642.0,桃園分局,,,,,
公寓,T100206,龍安里,"24.9917874,121.2748881",1,99.0,桃園分局,,,,,
大樓,T100207,大有里,"25.0146157,121.3195154",1、2、3,531.0,桃園分局,,,,,
公寓,T100301,大樹里,"24.9790955,121.3218665",1,6650.0,桃園分局,,,,,#REF!
大樓,T100302,西埔里,"25.0105908,121.2802921",1、2,2406.0,桃園分局,,,,,
大樓,T100303,龍岡里,"24.9926146,121.2836905",1、2,1155.0,桃園分局,,,,,
大樓,T100304,大林里,"24.9738563,121.3209439",1、2,1210.0,桃園分局,,,,,
公寓,T100305,慈文里,"25.0054345,121.297839",1,195.0,桃園分局,,,,,
公寓,T100306,大樹里,"24.9843211,121.3212152",1,8876.0,桃園分局,,,,,
公寓,T100401,大樹里,"24.9843211,121.3212152",1,8876.0,桃園分局,,,,,
公寓,T100402,福林里,"24.9778872,121.3043626",1,181.0,桃園分局,,,,,
大樓,T100403,瑞慶里,"25.0199506,121.2905982",1、2,1616.0,桃園分局,,,,,
大樓,T100404,福元里,"25.0058778,121.3161799",1、2,4269.0,桃園分局,,,,,
大樓,T100405,大林里,"24.9741936,121.3223302",1、2,1190.0,桃園分局,,,,,
公寓,T100406,大有里,"25.0151719,121.3191591",1,1308.0,桃園分局,,,,,
公寓,T100407,永興里,"24.9960497,121.3086018",1,489.0,桃園分局,,,,,
大樓,T100408,玉山里,"24.9828036,121.3008153",1、2,7362.0,桃園分局,,,,,
大樓,T100409,福元里,"25.0055236,121.3163576",1、2,9026.0,桃園分局,,,,,
大樓,T100410,大林里,"24.9772988,121.3225508",1、2、3,7404.0,桃園分局,,,,,
公寓,T100411,泰山里,"24.9908503,121.3004132",1,147.0,桃園分局,,,,,
公寓,T100412,同德里,"25.017118,121.296276",1,1001.0,桃園分局,,,,,
公寓,EMA00001,永興里,"24.995137,121.3091688",1,45.0,桃園分局,,,,,
公寓,EMA00002,永興里,"24.9971299,121.3077531",1,256.0,桃園分局,,,,,
公寓,EMA00003,永興里,"24.994838,121.309",1,37.0,桃園分局,,,,,
公寓,EMA00004,永興里,"24.9969997,121.3075723",1,650.0,桃園分局,,,,,
公寓,EMA00005,永興里,"24.9968951,121.307186",1,89.0,桃園分局,,,,,
公寓,EMA00006,永興里,"24.997009,121.307395",1,68.0,桃園分局,,,,,
公寓,EMA00007,永興里,"24.9958196,121.3087718",1,81.0,桃園分局,,,,,
公寓,EMA00008,永興里,"24.9959124,121.3086965",1,68.0,桃園分局,,,,,
公寓,EMA00009,永興里,"24.9958147,121.3087622",1,109.0,桃園分局,,,,,
公寓,EMA00010,永興里,"24.9954908,121.3082631",1,69.0,桃園分局,,,,,
公寓,EMA00011,永興里,"24.9956465,121.3095491",1,189.0,桃園分局,,,,,
公寓,EMA00012,永興里,"24.9959108,121.3093607",1,28.0,桃園分局,,,,,
公寓,EMA00013,永興里,"24.998062,121.306726",1,114.0,桃園分局,,,,,
公寓,EMA00014,永興里,"24.9959108,121.3093607",1,33.0,桃園分局,,,,,
公寓,EMA00015,文昌里,"24.993364,121.3099088",1,52.0,桃園分局,,,,,
公寓,EMA00016,文昌里,"24.993287,121.3092571",1,120.0,桃園分局,,,,,
大樓,EMA00017,文昌里,"24.9929221,121.3082385",1、2,388.0,桃園分局,,,,,
公寓,EMA00018,文昌里,"24.993311,121.3092966",1,97.0,桃園分局,,,,,
公寓,EMA00019,文昌里,"24.9936486,121.3102062",1,68.0,桃園分局,,,,,
公寓,EMA00020,文昌里,"24.9932993,121.3098527",1,53.0,桃園分局,,,,,
公寓,EMA00021,西湖里,"24.9936641,121.3052896",1,46.0,桃園分局,,,,,
公寓,EMA00023,中和里,"24.9961424,121.3103033",1,21.0,桃園分局,,,,,
公寓,EMA00025,中和里,"24.9966116,121.3106942",1,21.0,桃園分局,,,,,
公寓,EMA00026,中和里,"24.9951379,121.311198",1,32.0,桃園分局,,,,,
公寓,EMA00027,中和里,"24.9961743,121.3114418",1,32.0,桃園分局,,,,,
公寓,EMA00028,中和里,"24.9963019,121.3112019",1,21.0,桃園分局,,,,,
公寓,EMA00029,中和里,"24.9960986,121.3107612",1,30.0,桃園分局,,,,,
公寓,EMA00030,中和里,"24.99528,121.3122219",1,30.0,桃園分局,,,,,
公寓,EMA00031,中和里,"24.996908,121.310742",1,26.0,桃園分局,,,,,
公寓,EMA00032,中和里,"24.9967283,121.3105933",1,29.0,桃園分局,,,,,
公寓,EMA00033,中和里,"24.9956926,121.3105429",1,30.0,桃園分局,,,,,
公寓,EMA00034,中和里,"24.9964047,121.3117203",1,33.0,桃園分局,,,,,
公寓,EMA00035,中和里,"24.9951183,121.3117622",1,21.0,桃園分局,,,,,
公寓,EMA00036,中和里,"24.9953929,121.3102308",1,30.0,桃園分局,,,,,
公寓,EMA00037,中和里,"24.9956666,121.3110963",1,30.0,桃園分局,,,,,
公寓,EMA00038,中和里,"24.9956874,121.3122576",1,29.0,桃園分局,,,,,
公寓,EMA00039,中和里,"24.9961042,121.3114065",1,40.0,桃園分局,,,,,
公寓,EMA00040,中和里,"24.9964051,121.3112591",1,70.0,桃園分局,,,,,
公寓,EMA00041,中和里,"24.9989246,121.3089997",1,45.0,桃園分局,,,,,
公寓,EMA00042,中和里,"24.9972014,121.310129",1,34.0,桃園分局,,,,,
公寓,EMA00043,中和里,"24.9971486,121.3102317",1,30.0,桃園分局,,,,,
公寓,EMA00044,中和里,"24.9976405,121.310788",1,38.0,桃園分局,,,,,
大樓,EMA00045,民生里,"24.9940998,121.3130861",1、2,154.0,桃園分局,,,,,
公寓,EMA00046,民生里,"24.9948317,121.31289",1,16.0,桃園分局,,,,,
公寓,EMA00047,民生里,"24.9950251,121.3128431",1,28.0,桃園分局,,,,,
公寓,EMA00048,民生里,"24.9946927,121.3129349",1,44.0,桃園分局,,,,,
公寓,EMA00049,文昌里,"24.993645,121.311213",1,21.0,桃園分局,,,,,
公寓,EMA00050,文昌里,"24.9938826,121.3110297",1,57.0,桃園分局,,,,,
公寓,EMA00052,西門里,"24.9972674,121.3067326",1,60.0,桃園分局,,,,,
公寓,EMA00053,北門里,"24.9985633,121.3110722",1,200.0,桃園分局,,,,,
公寓,EMA00054,北門里,"24.9975859,121.3114423",1,80.0,桃園分局,,,,,
公寓,EMA00055,北門里,"24.9983747,121.3111504",1,20.0,桃園分局,,,,,
公寓,EMA00056,北門里,"24.9982089,121.310365",1,40.0,桃園分局,,,,,
公寓,EMA00057,北門里,"24.996594,121.311743",1,22.0,桃園分局,,,,,
公寓,EMA00058,北門里,"24.9966991,121.3117507",1,25.0,桃園分局,,,,,
公寓,EMA00059,北門里,"24.9978343,121.3110006",1,66.0,桃園分局,,,,,
公寓,EMA00060,北門里,"24.9975035,121.3114775",1,48.0,桃園分局,,,,,
公寓,EMA00061,北門里,"24.9972709,121.311463",1,112.0,桃園分局,,,,,
公寓,EMA00062,北門里,"24.9966025,121.3116935",1,20.0,桃園分局,,,,,
公寓,EMA00064,北門里,"24.996639,121.3114641",1,48.0,桃園分局,,,,,
公寓,EMA00065,北門里,"24.9991051,121.3103041",1,433.0,桃園分局,,,,,
公寓,EMA00066,北門里,"25.00051,121.309958",1,54.0,桃園分局,,,,,
公寓,EMA00067,北門里,"24.9996616,121.3103971",1,333.0,桃園分局,,,,,
公寓,EMA00068,北門里,"24.9993147,121.30981",1,181.0,桃園分局,,,,,
公寓,EMA00069,北門里,"25.0004662,121.3101976",1,77.0,桃園分局,,,,,
公寓,EMA00071,北門里,"25.0008896,121.3099039",1,84.0,桃園分局,,,,,
公寓,EMA00072,北門里,"25.0005324,121.3102166",1,1073.0,桃園分局,,,,,
公寓,EMA00074,北門里,"25.0004727,121.309725",1,88.0,桃園分局,,,,,
公寓,EMA00075,北門里,"25.0001907,121.3103192",1,222.0,桃園分局,,,,,
公寓,EMA00076,西門里,"24.9950601,121.3080504",1,84.0,桃園分局,,,,,
公寓,EMA00077,西門里,"24.9953625,121.3082361",1,64.0,桃園分局,,,,,
大樓,EMA00078,西門里,"24.9961184,121.3077767",1、2,545.0,桃園分局,,,,,
公寓,EMA00079,西門里,"24.9971012,121.3067037",1,80.0,桃園分局,,,,,
公寓,EMA00080,西門里,"24.99544,121.308144",1,48.0,桃園分局,,,,,
公寓,EMA00081,西門里,"24.9945242,121.3077413",1,1133.0,桃園分局,,,,,
公寓,EMA00082,西門里,"24.9952231,121.3072527",1,66.0,桃園分局,,,,,
大樓,EMA00083,西門里,"24.9945439,121.307253",1、2,600.0,桃園分局,,,,,
公寓,EMA00084,西門里,"24.9952213,121.3075287",1,120.0,桃園分局,,,,,
公寓,EMA00085,西門里,"24.9953107,121.3078146",1,106.0,桃園分局,,,,,
大樓,EMA01076,西湖里,"24.994411,121.306269",1、2,1046.0,桃園分局,,,,,
大樓,EMA01077,民生里,"24.9944434,121.3133339",1、2,660.0,桃園分局,,,,,
公寓,EMA01168,西湖里,"24.9941249,121.306771",1,202.0,桃園分局,,,,,
大樓,EMA01169,西湖里,"24.9930435,121.3063196",1、2,857.0,桃園分局,,,,,
公寓,EMA01286,永興里,"24.9973375,121.308635",1,402.0,桃園分局,,,,,
大樓,EMA01457,民生里,"24.9964403,121.3122727",1、2、3,1441.0,桃園分局,,,,,
大樓,EMA01459,永興里,"24.9974465,121.307001",1、2,1157.0,桃園分局,,,,,
公寓,T97327,西門里,"24.9960252,121.3070926",1,196.0,桃園分局,,,,,
大樓,T97329,西門里,"24.9946488,121.306328",1、2,3629.0,桃園分局,,,,,
大樓,T98028,中和里,"24.9959314,121.3122273",1、2,1001.0,桃園分局,,,,,
公寓,EMA11177,南門里,"24.983881,121.304124",1,374.0,桃園分局,,,,,
公寓,EMA00158,南門里,"24.9890905,121.3063168",1,550.0,桃園分局,,,,,
公寓,EMA01078,南門里,"24.9891598,121.3057278",1,13.0,桃園分局,,,,,
公寓,EMA01144,文化里,"24.9896953,121.3107984",1,16.0,桃園分局,,,,,
公寓,EMA00098,文化里,"24.9894779,121.3118153",1,13.0,桃園分局,,,,,
公寓,EMA00099,文化里,"24.9894779,121.3118153",1,89.0,桃園分局,,,,,
公寓,EMA01111,南門里,"24.9914339,121.304108",1,29.0,桃園分局,,,,,
公寓,EMA00110,武陵里,"24.9913908,121.314859",1,872.0,桃園分局,,,,,
公寓,EMA01021,文化里,"24.9898457,121.311348",1,69.0,桃園分局,,,,,
公寓,EMA00134,東門里,"24.9973161,121.3152239",1,60.0,桃園分局,,,,,
公寓,EMA00135,東門里,"24.997389,121.3152342",1,66.0,桃園分局,,,,,
公寓,EMA00131,東門里,"24.9974325,121.3152356",1,92.0,桃園分局,,,,,
公寓,EMA01050,東門里,"24.9940509,121.313821",1,25.0,桃園分局,,,,,
公寓,EMA00136,文明里,"24.9883604,121.3078745",1,20.0,桃園分局,,,,,
公寓,EMA00138,文明里,"24.988976,121.3102131",1,693.0,桃園分局,,,,,
公寓,EMA00114,武陵里,"24.9884654,121.3094243",1,442.0,桃園分局,,,,,
公寓,EMA00139,南華里,"24.9913277,121.3073362",1,260.0,桃園分局,,,,,
公寓,EMA00140,南華里,"24.9913277,121.3073362",1,256.0,桃園分局,,,,,
公寓,EMA00149,南華里,"24.990511,121.308133",1,38.0,桃園分局,,,,,
公寓,EMA00148,文明里,"24.990563,121.308543",1,412.0,桃園分局,,,,,
大樓,EMA00146,南華里,"24.9906869,121.308443",1、2,1265.0,桃園分局,,,,,
公寓,EMA00142,南華里,"24.9908203,121.3081023",1,42.0,桃園分局,,,,,
大樓,EMA00144,南華里,"24.9910262,121.3080149",1、2,796.0,桃園分局,,,,,
公寓,EMA001178,南華里,"24.991088,121.308367",1,28.0,桃園分局,,,,,
公寓,EMA00147,南華里,"24.9911032,121.3083527",1,182.0,桃園分局,,,,,
公寓,EMA00143,南華里,"24.9910147,121.3086271",1,28.0,桃園分局,,,,,
公寓,EMA00141,南華里,"24.990411,121.307711",1,44.0,桃園分局,,,,,
公寓,EMA00145,南華里,"24.990417,121.307265",1,249.0,桃園分局,,,,,
公寓,EMA00152,南門里,"24.9882051,121.3060228",1,126.0,桃園分局,,,,,
公寓,EMA01241,南門里,"24.990868,121.306416",1,42.0,桃園分局,,,,,
公寓,EMA00154,南門里,"24.9891301,121.3055056",1,620.0,桃園分局,,,,,
公寓,EMA00155,南門里,"24.9891948,121.3052657",1,641.0,桃園分局,,,,,
公寓,EMA00153,南門里,"24.9893335,121.3062581",1,28.0,桃園分局,,,,,
大樓,EMA01001,文化里,"24.9912266,121.3111792",1、2,1272.0,桃園分局,,,,,
公寓,EMA00157,南門里,"24.9898542,121.3040094",1,36.0,桃園分局,,,,,
公寓,EMA00156,南門里,"24.989327,121.3043907",1,245.0,桃園分局,,,,,
大樓,EMA01049,萬壽里,"24.9907814,121.3177307",1、2,64.0,桃園分局,,,,,
公寓,EMA00161,萬壽里,"24.9908574,121.3166827",1,52.0,桃園分局,,,,,
公寓,EMA01246,武陵里,"24.9908728,121.3161919",1,324.0,桃園分局,,,,,
大樓,EMA00115,武陵里,"24.9908728,121.3161919",1、2,677.0,桃園分局,,,,,
公寓,EMA00159,萬壽里,"24.9932508,121.3201555",1,1052.0,桃園分局,,,,,
公寓,EMA00160,萬壽里,"24.9932508,121.3201555",1,720.0,桃園分局,,,,,
大樓,EMA00515,文明里,"24.9886999,121.307459",1、2,250.0,桃園分局,,,,,
公寓,EMA01107,東門里,"24.9935034,121.3143111",1,16.0,桃園分局,,,,,
公寓,EMA01108,東門里,"24.99368,121.314244",1,14.0,桃園分局,,,,,
大樓,EMA00517,西湖里,"24.9929866,121.3061311",1、2、3,573.0,桃園分局,,,,,
大樓,EMA00516,西湖里,"24.9929001,121.3061351",1、2,516.0,桃園分局,,,,,
大樓,EMA00164,東門里,"24.994577,121.3139083",1、2,778.0,桃園分局,,,,,
公寓,EMA00165,東門里,"24.9941629,121.31469",1,30.0,桃園分局,,,,,
公寓,EMA00166,東門里,"24.9945382,121.314732",1,50.0,桃園分局,,,,,
公寓,EMA00169,南門里,"24.9920687,121.304489",1,624.0,桃園分局,,,,,
公寓,EMA00170,南門里,"24.9908959,121.3047585",1,26.0,桃園分局,,,,,
大樓,EMA00518,南門里,"24.9823539,121.3051809",1、2,1101.0,桃園分局,,,,,
公寓,EMA00553,南華里,"24.99207,121.306337",1,209.0,桃園分局,,,,,
大樓,EMA00687,南華里,"24.99207,121.306337",1、2、3,828.0,桃園分局,,,,,
公寓,EMA00174,東門里,"24.9950896,121.3172849",1,122.0,桃園分局,,,,,
公寓,EMA00177,東門里,"24.9945589,121.3174",1,4840.0,桃園分局,,,,,
公寓,EMA00173,東門里,"24.9945024,121.3175536",1,114.0,桃園分局,,,,,
公寓,EMA00175,東門里,"24.9944936,121.3152904",1,106.0,桃園分局,,,,,
大樓,EMA00100,文化里,"24.9894779,121.3118153",1、2,1272.0,桃園分局,,,,,
公寓,EMA01112,文化里,"24.9909652,121.3113023",1,32.0,桃園分局,,,,,
公寓,EMA00108,文化里,"24.9908859,121.3110474",1,106.0,桃園分局,,,,,
大樓,EMA00103,文化里,"24.9910545,121.3124309",1、2、3、4,4336.0,桃園分局,,,,,
公寓,EMA00094,文化里,"24.9929189,121.3119747",1,566.0,桃園分局,,,,,
公寓,EMA00092,文化里,"24.9928788,121.31199",1,846.0,桃園分局,,,,,
大樓,EMA00101,文化里,"24.9926433,121.3111349",1、2,1278.0,桃園分局,,,,,
公寓,EMA00093,文化里,"24.9897422,121.3120033",1,190.0,桃園分局,,,,,
大樓,EMA00095,文化里,"24.9920468,121.310755",1、2,977.0,桃園分局,,,,,
公寓,EMA00096,文化里,"24.9920468,121.310755",1,88.0,桃園分局,,,,,
大樓,EMA00111,武陵里,"24.9914881,121.3147414",1、2,518.0,桃園分局,,,,,
公寓,EMA00116,武陵里,"24.9892038,121.3118462",1,22.0,桃園分局,,,,,
大樓,EMA11151,南華里,"24.9910727,121.3067817",1、2、3、4,3497.0,桃園分局,,,,,
公寓,EMA01051,南華里,"24.9894198,121.3124086",1,21.0,桃園分局,,,,,
公寓,EMA01192,武陵里,"24.9890467,121.3115148",1,80.0,桃園分局,,,,,
公寓,EMA00119,武陵里,"24.9890798,121.3112179",1,70.0,桃園分局,,,,,
公寓,EMA00118,武陵里,"24.9890798,121.3112179",1,70.0,桃園分局,,,,,
公寓,EMA00117,武陵里,"24.9890798,121.3112179",1,70.0,桃園分局,,,,,
大樓,EMA00568,南門里,"24.9803451,121.3045712",1、2、3,2202.0,桃園分局,,,,,
大樓,EMA00573,南門里,"24.9802976,121.3045101",1、2、3,481.0,桃園分局,,,,,
大樓,EMA00587,南門里,"24.9799534,121.3044223",1、2、3,981.0,桃園分局,,,,,
公寓,EMA01145,武陵里,"24.9900198,121.3132231",1,21.0,桃園分局,,,,,
公寓,EMA00163,萬壽里,"24.9907811,121.318087",1,162.0,桃園分局,,,,,
公寓,EMA00122,東山里,"24.993373,121.3165156",1,56.0,桃園分局,,,,,
公寓,EMA00120,東山里,"24.9910539,121.316903",1,20.0,桃園分局,,,,,
公寓,EMA00123,東山里,"24.9911036,121.3171201",1,1441.0,桃園分局,,,,,
大樓,EMA00121,東山里,"24.9911173,121.3163309",1、2,485.0,桃園分局,,,,,
大樓,EMA00162,萬壽里,"24.9903795,121.316944",1、2,609.0,桃園分局,,,,,
公寓,EMA00124,東門里,"24.9960653,121.3154078",1,218.0,桃園分局,,,,,
公寓,EMA01022,南門里,"24.9787633,121.303434",1,388.0,桃園分局,,,,,
公寓,EMA01178,文明里,"24.9886619,121.307457",1,641.0,桃園分局,,,,,
大樓,EMA00658,南門里,"24.9854433,121.3060402",1、2,2398.0,桃園分局,,,,,
大樓,EMA00639,南門里,"24.9836445,121.3055373",1、2、3,3777.0,桃園分局,,,,,
大樓,EMA00602,南門里,"24.981179,121.304775",1、2,2261.0,桃園分局,,,,,
大樓,EMA00613,南門里,"24.981281,121.3043703",1、2、3,2653.0,桃園分局,,,,,
公寓,EMA00654,南門里,"24.982385,121.3052019",1,1692.0,桃園分局,,,,,
公寓,EMA06997,南門里,"24.9841089,121.3047775",1,346.0,桃園分局,,,,,
公寓,EMA00597,南門里,"24.98285,121.3032693",1,629.0,桃園分局,,,,,
公寓,EMA00607,南門里,"24.9818823,121.3051315",1,254.0,桃園分局,,,,,
公寓,EMA00168,南門里,"24.9808575,121.3040144",1,2000.0,桃園分局,,,,,
公寓,EMA00167,南門里,"24.9834922,121.3038266",1,66.0,桃園分局,,,,,
公寓,EMA01177,南門里,"24.9847029,121.305004",1,32.0,桃園分局,,,,,
大樓,EMA00595,南門里,"24.9804438,121.3044648",1、2、3,978.0,桃園分局,,,,,
大樓,EMA11160,東山里,"24.9935313,121.3155343",1、2,26.0,桃園分局,,,,,
大樓,EMA01018,東門里,"24.9961392,121.313468",1、2、3,4353.0,桃園分局,,,,,
大樓,EMA00176,東門里,"24.9949687,121.3164589",1、2,1252.0,桃園分局,,,,,
大樓,EMA00178,東門里,"24.994964,121.3164416",1、2,1668.0,桃園分局,,,,,
公寓,EMA01106,東門里,"24.9942879,121.316374",1,9.0,桃園分局,,,,,
大樓,EMA01020,文化里,"24.9911358,121.3119534",1、2,788.0,桃園分局,,,,,
大樓,EMA00104,文化里,"24.9907663,121.3105851",1、2,426.0,桃園分局,,,,,
公寓,EMA00107,文化里,"24.9900639,121.3128379",1,117.0,桃園分局,,,,,
公寓,EMA00106,文化里,"24.9901939,121.31292",1,126.0,桃園分局,,,,,
公寓,EMA00105,文化里,"24.9902399,121.312903",1,106.0,桃園分局,,,,,
大樓,EMA00109,武陵里,"24.9910697,121.3129895",1、2,1820.0,桃園分局,,,,,
