類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備考
工廠行號,天璣工業,1-03-127,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街6之1號,"23.52285, 120.44966",地下1層,16.0,
工廠行號,緯昶工業公司,1-03-128,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街7號,"23.52291, 120.44930",地下1層,63.0,
工廠行號,前瞻傳動科技公司,1-03-129,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街8號,"23.52322, 120.45047",地下1層,63.0,
工廠行號,漁人生技公司,1-03-130,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街9號,"23.52310, 120.44961",地下1層,37.0,
工廠行號,台灣波島公司,1-03-131,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街11號,"23.52341, 120.45004",地下1層,42.0,
電信公司,交通部電信局,1-03-132,福樂村,嘉義縣民雄鄉福樂村民雄工業區成功五街13號,"23.52383, 120.45004",地下1層,125.0,不對外開放
中油公司,中油公司,1-03-133,大崎村,嘉義縣民雄鄉大崎村4鄰大崎腳20號,"23.52602, 120.47615",地下1層,213.0,不對外開放
工廠行號,義大製罐工廠,1-03-134,大崎村,嘉義縣民雄鄉大崎村7鄰十四甲3之2號,"23.51462, 120.47215",地下1層,139.0,
大樓,王翔建設公司,1-03-135,松山村,嘉義縣民雄鄉松山村四鄰松子腳33之45號,"23.53791, 120.47476",地下1層,764.0,
工廠行號,連賢機械,1-03-136,松山村,嘉義縣民雄鄉松山村五鄰48之8號,"23.54649, 120.47618",地下1層,24.0,
大樓,京亞建設(大學城),1-03-137,福樂村,嘉義縣民雄鄉福樂村一鄰2之186-2之221號,"23.52866, 120.44836",地下1層,3832.0,
學校,福樂國小,1-03-138,福樂村,嘉義縣民雄鄉福樂村31鄰光明二街191號,"23.52907, 120.45196",地下1層,3770.0,
學校,天心幼稚園,1-03-109,福樂村,嘉義縣民雄鄉福樂村光明一街261-1號,"23.52918, 120.45314",地下1層,57.0,
大樓,金陵大樓(信建建設),1-03-113,北斗村,嘉義縣民雄鄉北斗村11鄰北勢子608號,"23.53164, 120.45161",地下1層,1378.0,
工廠行號,谷王食品公司（原嘉義製罐廠）,1-04-001,豐收村,嘉義縣民雄鄉豐收村16鄰好收73號,"23.55722, 120.44004",地下1層,79.0,
工廠行號,谷王食品公司,1-04-002,豐收村,嘉義縣民雄鄉豐收村16鄰好收73-7號,"23.55743, 120.4401",地下1層,119.0,
學校,中正大學(學生活動中心),1-04-003,三興村,嘉義縣民雄鄉三興村陳厝寮160號,"23.56068, 120.47243",地下1層,710.0,
學校,中正大學(學生宿舍A.B棟),1-04-004,三興村,嘉義縣民雄鄉三興村陳厝寮160號,"23.56179, 120.4707",地下1層,1225.0,
學校,中正大學(圖書館),1-04-005,三興村,嘉義縣民雄鄉三興村陳厝寮160號,"23.5635, 120.47378",地下1層,6092.0,
學校,中正大學(行政大樓),1-04-006,三興村,嘉義縣民雄鄉三興村陳厝寮160號,"23.5618, 120.4752",地下1層,2894.0,
工廠行號,素味食品公司(劉祺恩),1-04-007,鎮北村,嘉義縣民雄鄉鎮北村建國路一段1024號,"23.57850, 120.43989",地下1層,131.0,
學校,中正大學(人文社會科學院),1-04-008,三興村,嘉義縣民雄鄉三興村陳厝寮160號,"23.56054, 120.47455",地下1層,3193.0,
學校,中正大學(體育館),1-04-009,三興村,嘉義縣民雄鄉三興村陳厝寮160號,"23.56551, 120.47297",地下1層,1993.0,
學校,中正大學(學人宿舍),1-04-010,三興村,嘉義縣民雄鄉三興村陳厝寮160號,"23.56059, 120.46868",地下1層,1627.0,
學校,三興國小1,1-04-011,三興村,嘉義縣民雄鄉三興村陳厝寮55號,"23.55793, 120.48185",地下1層,660.0,
學校,三興國小2,1-04-012,三興村,嘉義縣民雄鄉三興村陳厝寮55號,"23.55821, 120.48192",地下1層,1794.0,
工廠行號,永鉉公司,1-05-001,菁埔村,嘉義縣民雄鄉菁埔村7鄰菁埔140-29號,"23.56083, 120.39295",地下1層,75.0,
市場,民育零售市場,1-06-001,吉林里,嘉義縣大林鎮吉林里中山路12號,"23.60250, 120.45484",地下1層,1349.0,
郵局,大林郵局,1-06-002,吉林里,嘉義縣大林鎮吉林里平和街28-1號,"23.60232, 120.45661",地下1層,191.0,不對外開放
金融機構,大林鎮農會,1-06-003,東林里,嘉義縣大林鎮東林里中山路130號,"23.60416, 120.45549",地下1層,16.0,不對外開放
電力公司,大林電力公司,1-06-004,平林里,嘉義縣大林鎮平林里中興路274號,"23.60248, 120.46201",地下1層,92.0,不對外開放
政府機關,大林地政事務所(暨平林村辦公室),1-06-005,平林里,嘉義縣大林鎮平林里新興街96、98號,"23.60058, 120.45827",地下1層,300.0,
圖書館,大林圖書館,1-06-006,平林里,嘉義縣大林鎮平林里中正路467巷1-1號,"23.60344, 120.45382",地下1層,82.0,
市場,公有新林市場,1-06-007,平林里,嘉義縣大林鎮平林里信義街11號,"23.60168, 120.45953",地下1層,384.0,
大樓,新光人壽公司,1-06-008,平林里,嘉義縣大林鎮平林里中正路673號,"23.60671, 120.45706",地下1層,162.0,
電信公司,大林電信局,1-06-009,平林里,嘉義縣大林鎮平林里中正路621號,"23.60657, 120.45594",地下1層,632.0,不對外開放
工廠行號,達洋公司1,1-06-010,明華里,嘉義縣大林鎮明華里明華路177-8號,"23.59974, 120.44783",地下1層,81.0,
工廠行號,塗托食品廠,1-06-011,明華里,嘉義縣大林鎮明華里中正路209號,"23.60040, 120.44870",地下1層,53.0,
醫院,慈濟醫院(一),1-06-012,平林里,嘉義縣大林鎮平林里七鄰民生路2號,"23.59610, 120.45710",地下1、2層,28177.0,
醫院,慈濟醫院(二),1-06-013,平林里,嘉義縣大林鎮平林里七鄰下潭底70號,"23.59464, 120.45710",地下1層,5262.0,
學校,平林國小,1-06-014,平林里,嘉義縣大林鎮平林里民權路80號,"23.59966, 120.46155",地下1層,2467.0,
大樓,國泰人壽,1-06-015,西林里,嘉義縣大林鎮西林里忠孝路613號,"23.60621, 120.45398",地下1層,292.0,
工廠行號,大林糖廠,1-06-016,大糖里,嘉義縣大林鎮大糖里399號,"23.61323, 120.45578",地下1層,203.0,
工廠行號,山鈦煙火工廠,1-07-001,中坑里,嘉義縣大林鎮中坑里沙崙200號,"23.59079, 120.49434",地下1層,152.0,
工廠行號,正隆公司(二),1-07-002,三和里,嘉義縣大林鎮三和里林子頭20號,"23.60222, 120.49076",地下1層,497.0,
工廠行號,正隆公司(三),1-07-003,三和里,嘉義縣大林鎮三和里林子頭20號,"23.60207, 120.49065",地下1層,108.0,
工廠行號,寶來工業股份有限公司,1-07-004,過溪里,嘉義縣大林鎮過溪里10鄰531號,"23.60438, 120.51132",地下1層,162.0,
學校,私立南華大學(成昀館),1-07-005,中坑里,嘉義縣大林鎮中坑里10鄰中坑32號,"23.56933, 120.49431",地下1層,1893.0,
學校,私立南華大學(麗澤樓),1-07-006,中坑里,嘉義縣大林鎮中坑里10鄰中坑32號,"23.57039, 120.49357",地下1層,512.0,
學校,私立南華大學(無盡臧),1-07-007,中坑里,嘉義縣大林鎮中坑里10鄰中坑32號,"23.56992, 120.49447",地下1層,2216.0,
大樓,佛光山南華館,1-07-008,三和里,嘉義縣大林鎮三和里12鄰中興路二段163號,"23.60371, 120.46916",地下1層,1744.0,
學校,私立同濟中學,1-07-009,三和里,嘉義縣大林鎮三和里中興路二段303號,"23.60482, 120.47342",地下1層,261.0,
工廠行號,正隆公司(一),1-07-010,三和里,嘉義縣大林鎮三和里林子頭20號,"23.60228, 120.49064",地下1層,320.0,
大樓,奉天宮1（香客大樓）,1-08-001,宮前村,嘉義縣新港鄉宮前村中山路1-17號,"23.55478, 120.34724",地下1層,764.0,
金融機構,新港郵局,1-08-002,宮前村,嘉義縣新港鄉宮前村中正路8號,"23.55511, 120.34626",地下1層,153.0,不對外開放
旅社,新中旅社,1-08-003,宮前村,嘉義縣新港鄉宮前村中山路50號,"23.55532, 120.34750",地下1層,42.0,
旅社,新晃旅社,1-08-004,宮前村,嘉義縣新港鄉宮前村登雲路74-2號,"23.55582, 120.34701",地下1層,61.0,
政府機關,嘉義縣消防局新港消防分隊,1-08-005,宮前村,嘉義縣新港鄉宮前村2鄰公園路28號,"23.55327, 120.34561",地下1層,114.0,
旅社,南北旅社,1-08-006,宮前村,嘉義縣新港鄉宮前村新民路68號,"23.55629, 120.34820",地下1層,50.0,
學校,育新幼稚園,1-08-007,宮前村,嘉義縣新港鄉宮前村中山路115-10號,"23.55315, 120.34775",地下1層,371.0,
圖書館,新港鄉公所圖書館,1-08-008,宮前村,嘉義縣新港鄉宮前村中山路156號,"23.55186, 120.34706",地下1層,137.0,
寺廟,奉天宮2,1-08-009,宮前村,嘉義縣新港鄉宮前村新民路53號,"23.55691, 120.34796",地下1層,349.0,
學校,新港國小,1-08-010,福德村,嘉義縣新港鄉福德村登雲路105號,"23.55465, 120.34438",地下1層,761.0,
金融機構,新港農會,1-08-012,福德村,嘉義縣新港鄉福德村登雲路111巷2號,"23.55572, 120.34387",地下1層,569.0,不對外開放
工廠行號,晨達企業社,1-08-013,福德村,嘉義縣新港鄉福德村福德路121巷10號,"23.55640, 120.33997",地下1層,40.0,
大樓,新港文教基金會,1-08-014,大興村,嘉義縣新港鄉大興村新中路305號,"23.55988, 120.34382",地下1層,138.0,
大樓,台灣基督長老教會,1-08-015,大興村,嘉義縣新港鄉大興村6鄰大興路3號,"23.55780, 120.34701",地下1、2層,1282.0,
公寓,賴眼科,1-08-011,宮前村,嘉義縣新港鄉宮前村19鄰中山路85之3號,"23.55437, 120.34750",地下1層,166.0,
公寓,照相館(李文攸),1-08-016,宮前村,嘉義縣新港鄉宮前村新民路49號,"23.55657, 120.34764",地下1層,39.0,
工廠行號,南洋紡織廠（一）,1-09-001,月潭村,嘉義縣新港鄉月潭村17鄰月眉潭230-20號,"23.53100, 120.35121",地下1層,319.0,
工廠行號,南洋紡織廠(二),1-09-002,月潭村,嘉義縣新港鄉月潭村17鄰月眉潭230-20號,"23.53147, 120.35143",地下1層,202.0,
工廠行號,啄木鳥國際,1-09-003,菜公村,嘉義縣新港鄉菜公村咬仔竹84號,"23.54862, 120.34878",地下1層,181.0,
工廠行號,中洋工業區管理課,1-09-004,中洋村,嘉義縣新港鄉中洋村工業區3號,"23.52261, 120.38230",地下1層,2400.0,
工廠行號,台塑(台灣營德-機電廠房),1-09-005,中洋村,嘉義縣新港鄉中洋村中洋工業區3號,"23.51703, 120.38920",地下1層,93.0,
工廠行號,台塑(台灣營德A),1-09-006,中洋村,嘉義縣新港鄉中洋村中洋工業區3號,"23.51817, 120.38752",地下1層,528.0,
工廠行號,台塑(台灣營德B),1-09-007,中洋村,嘉義縣新港鄉中洋村中洋工業區3號,"23.51750, 120.38870",地下1層,528.0,
工廠行號,南亞塑膠(玻纖布一廠1),1-09-008,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51223, 120.37147",地下1層,665.0,
工廠行號,南亞塑膠(工程塑膠廠),1-09-009,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51442, 120.37094",地下1層,71.0,
工廠行號,南亞門窗一廠,1-09-010,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51575, 120.37374",地下1層,1213.0,
工廠行號,南亞塑膠(玻纖布一廠2),1-09-011,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51251, 120.37022",地下1層,271.0,
工廠行號,南亞塑膠(銅箔一廠),1-09-012,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51331, 120.37185",地下1層,164.0,
工廠行號,南亞資材倉庫,1-09-013,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51627, 120.37925",地下1層,3786.0,
工廠行號,台化紡紗廠(11廠),1-09-015,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,"23.5190499, 120.3796656",地下1層,580.0,
工廠行號,台化(PABS織布二廠複材處),1-09-016,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,"23.5186346, 120.3773655",地下1層,580.0,
工廠行號,台灣必成有限公司(一),1-09-017,中洋村,嘉義縣新港鄉中洋村中洋工業區2-1號,"23.51120, 120.37002",地下1層,1136.0,
工廠行號,南亞塑膠公司(硬布一廠1),1-09-018,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51754, 120.37407",地下1層,494.0,
工廠行號,台塑公司(管理處單身宿舍),1-09-019,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.52103, 120.38218",地下1層,1477.0,
工廠行號,南亞塑膠公司(硬布一廠2),1-09-020,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51555, 120.37527",地下1層,437.0,
工廠行號,台化(織絲二廠儲運課),1-09-021,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,"23.5219666, 120.3793682",地下1層,543.0,
工廠行號,台塑公司(SAP廠),1-09-022,中洋村,嘉義縣新港鄉中洋村中洋工業區3號,"23.51933, 120.38324",地下1層,166.0,
工廠行號,南亞塑膠公司(CCL一廠),1-09-023,中洋村,嘉義縣新港鄉中洋村二鄰中洋工業區2號,"23.51520, 120.37691",地下1層,816.0,
工廠行號,台化(PABS廠),1-09-024,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,"23.5212843, 120.3760714",地下1層,400.0,
工廠行號,南亞塑膠公司(玻織布二廠),1-09-025,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51178, 120.37334",地下1層,6050.0,
工廠行號,南亞塑膠公司(硬布一廠3),1-09-026,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51694, 120.37631",地下1層,497.0,
工廠行號,南亞塑膠(銅箔二廠),1-09-027,中洋村,嘉義縣新港鄉中洋村中洋工業區1號,"23.51322, 120.37345",地下1層,217.0,
工廠行號,台塑員工宿舍,1-09-029,三間村,嘉義縣新港鄉三間村三間厝600至642號,"23.51600, 120.39221",地下1層,6641.0,
工廠行號,南亞塑膠(玻纖布三廠),1-09-030,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51387, 120.37581",地下1層,19137.0,
工廠行號,南亞塑膠公司(CCL二廠),1-09-031,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51735, 120.38140",地下1層,1290.0,
工廠行號,南亞塑膠公司(CCL三廠),1-09-032,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51777, 120.38392",地下1層,2385.0,
工廠行號,台灣必成公司(二),1-09-033,中洋村,嘉義縣新港鄉中洋村二鄰中洋工業區2-1號,"23.50975, 120.37211",地下1層,3804.0,
工廠行號,台塑公司(POM廠),1-09-034,中洋村,嘉義縣新港鄉中洋村1鄰中洋工業區1號,"23.51957, 120.38171",地下1層,166.0,
工廠行號,南亞塑膠公司(銅箔三廠),1-09-035,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51410, 120.37389",地下1層,183.0,
工廠行號,南亞塑膠公司(玻織布四廠),1-09-036,中洋村,嘉義縣新港鄉中洋村中洋工業區2號,"23.51796, 120.38634",地下1層,1463.0,
工廠行號,嘉宏塑膠公司,1-09-037,菜公村,嘉義縣新港鄉菜公村咬仔竹86號,"23.54713, 120.34929",地下1層,145.0,
電力公司,電力公司溪口服務站,1-10-001,坪頂村,嘉義縣溪口鄉坪頂村中正東路102號,"23.60545, 120.40209",地下1層,147.0,不對外開放
工廠行號,彰誠發企業,1-10-002,本厝村,嘉義縣溪口鄉本厝村本廳1之6號,"23.57798, 120.39765",地下1層,42.0,
工廠行號,兆佑企業,1-11-001,妙崙村,嘉義縣溪口鄉妙崙村1-19號,"23.58683, 120.40740",地下1層,56.0,
電信公司,溪口中華電信,1-11-002,坪頂村,嘉義縣溪口鄉坪頂村中正東路39號,"23.60480, 120.40141",地下1層,266.0,不對外開放
電信公司,新港電信局自動機房,1-12-001,潭大村,嘉義縣新港鄉潭大村潭子墘26號,"23.54966, 120.34457",地下1層,521.0,不對外開放
