類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,placemark_address
萬隆建設-萬隆青青NO.2,堵南里,基隆市七堵區堵南街181號,"25.08385, 121.69245",1.0,130,第三分局,"萬隆建設-萬隆青青NO.2 堵南020 堵南里 基隆市七堵區堵南街181號 130 第三分局"
民宅,富民里,基隆市七堵區明德一路34之11號,"25.09864, 121.71618",1.0,75,第三分局,"民宅 富民001 富民里 基隆市七堵區明德一路34之11號 75 第三分局"
民宅,富民里,基隆市七堵區崇禮街135號,"25.09822, 121.71628",1.0,157,第三分局,"民宅 富民002 富民里 基隆市七堵區崇禮街135號 157 第三分局"
民宅,富民里,基隆市七堵區明德一路128號,"25.09837, 121.71527",1.0,63,第三分局,"民宅 富民003 富民里 基隆市七堵區明德一路128號 63 第三分局"
民宅,富民里,基隆市七堵區明德一路124號,"25.09837, 121.71527",1.0,70,第三分局,"民宅 富民004 富民里 基隆市七堵區明德一路124號 70 第三分局"
民宅,富民里,基隆市七堵區崇禮街34號,"25.09861, 121.71509",1.0,136,第三分局,"民宅 富民005 富民里 基隆市七堵區崇禮街34號 136 第三分局"
民宅,富民里,基隆市七堵區明德一路20號,"25.09837, 121.71527",1.0,408,第三分局,"民宅 富民006 富民里 基隆市七堵區明德一路20號 408 第三分局"
民宅,富民里,基隆市七堵區崇廉街10巷12號,"25.0993, 121.71681",1.0,177,第三分局,"民宅 富民007 富民里 基隆市七堵區崇廉街10巷12號 177 第三分局"
民宅,富民里,基隆市七堵區崇義街46之1號,"25.09907, 121.71534",1.0,232,第三分局,"民宅 富民008 富民里 基隆市七堵區崇義街46之1號 232 第三分局"
民宅,富民里,基隆市七堵區崇義街37號,"25.09925, 121.71515",1.0,604,第三分局,"民宅 富民009 富民里 基隆市七堵區崇義街37號 604 第三分局"
民宅,富民里,基隆市七堵區明德一路6號,"25.09978, 121.71826",1.0,50,第三分局,"民宅 富民010 富民里 基隆市七堵區明德一路6號 50 第三分局"
民宅,富民里,基隆市七堵區永富路8號,"25.09954, 121.71763",1.0,573,第三分局,"民宅 富民011 富民里 基隆市七堵區永富路8號 573 第三分局"
民宅,富民里,基隆市七堵區明德一路158號,"25.09837, 121.71527",1.0,142,第三分局,"民宅 富民013 富民里 基隆市七堵區明德一路158號 142 第三分局"
民宅,富民里,基隆市七堵區永富路78之1號,"25.09979, 121.71555",1.0,164,第三分局,"民宅 富民014 富民里 基隆市七堵區永富路78之1號 164 第三分局"
民宅,富民里,基隆市七堵區明德一路134之3號,"25.09851, 121.71564",1.0,64,第三分局,"民宅 富民015 富民里 基隆市七堵區明德一路134之3號 64 第三分局"
民宅,暖同里,基隆市暖暖區暖暖街246巷101號,"25.10152, 121.73729",1.0,162,第三分局,"民宅 暖同001 暖同里 基隆市暖暖區暖暖街246巷101號 162 第三分局"
民宅,暖同里,基隆市暖暖區暖暖街182號,"25.09947, 121.73575",1.0,67,第三分局,"民宅 暖同002 暖同里 基隆市暖暖區暖暖街182號 67 第三分局"
民宅,暖同里,基隆市暖暖區暖暖街108之6號,"25.10152, 121.73729",1.0,167,第三分局,"民宅 暖同003 暖同里 基隆市暖暖區暖暖街108之6號 167 第三分局"
民宅,暖同里,基隆市暖暖區暖暖街246巷161號,"25.10026, 121.7355",1.0,402,第三分局,"民宅 暖同004 暖同里 基隆市暖暖區暖暖街246巷161號 402 第三分局"
民宅(青青河畔社區),暖同里,基隆市暖暖區東勢街1之21號,"25.1001, 121.73633",1.0,1109,第三分局,"民宅(青青河畔社區) 暖同005 暖同里 基隆市暖暖區東勢街1之21號 1109 第三分局"
民宅,暖同里,基隆市暖暖區暖暖街248號,"25.09755, 121.73449",1.0,900,第三分局,"民宅 暖同006 暖同里 基隆市暖暖區暖暖街248號 900 第三分局"
民宅(嘉年華社區),暖同里,基隆市暖暖區暖暖街246巷2號,"25.09809, 121.73421",1.0,1135,第三分局,"民宅(嘉年華社區) 暖同007 暖同里 基隆市暖暖區暖暖街246巷2號 1135 第三分局"
民宅,暖同里,基隆市暖暖區東勢街1之16號,"25.1001, 121.73633",1.0,369,第三分局,"民宅 暖同008 暖同里 基隆市暖暖區東勢街1之16號 369 第三分局"
民宅(河園藝術家社區),暖同里,基隆市暖暖區暖暖街246巷156號,"25.10104, 121.73774",1.0,640,第三分局,"民宅(河園藝術家社區) 暖同009 暖同里 基隆市暖暖區暖暖街246巷156號 640 第三分局"
民宅,暖同里,基隆市暖暖區暖暖街16巷30之1號,"25.10152, 121.73729",1.0,110,第三分局,"民宅 暖同010 暖同里 基隆市暖暖區暖暖街16巷30之1號 110 第三分局"
民宅,暖西里,基隆市暖暖區暖暖街489號,"25.09293, 121.73552",1.0,179,第三分局,"民宅 暖西001 暖西里 基隆市暖暖區暖暖街489號 179 第三分局"
民宅,暖西里,基隆市暖暖區暖暖街530巷116號,"25.09293, 121.73552",1.0,116,第三分局,"民宅 暖西002 暖西里 基隆市暖暖區暖暖街530巷116號 116 第三分局"
民宅(寫意山水社區),暖西里,基隆市暖暖區暖暖街604號,"25.09293, 121.73552",1.0,1786,第三分局,"民宅(寫意山水社區) 暖西003 暖西里 基隆市暖暖區暖暖街604號 1786 第三分局"
民宅(碧嵐山水社區),暖西里,基隆市暖暖區東勢街26巷101號,"25.09293, 121.73552",1.0,383,第三分局,"民宅(碧嵐山水社區) 暖西004 暖西里 基隆市暖暖區東勢街26巷101號 383 第三分局"
民宅(翡翠芳鄰I),暖西里,基隆市暖暖區暖暖街530巷110號,"25.09293, 121.73552",1.0,431,第三分局,"民宅(翡翠芳鄰I) 暖西005 暖西里 基隆市暖暖區暖暖街530巷110號 431 第三分局"
民宅,暖西里,基隆市暖暖區暖暖街355號,"25.09293, 121.73552",1.0,257,第三分局,"民宅 暖西006 暖西里 基隆市暖暖區暖暖街355號 257 第三分局"
民宅(鳳翔山水),暖西里,基隆市暖暖區暖暖街530巷95號,"25.09172, 121.73892",1.0,1049,第三分局,"民宅(鳳翔山水) 暖西007 暖西里 基隆市暖暖區暖暖街530巷95號 1049 第三分局"
民宅,暖西里,基隆市暖暖區暖暖街335巷18號,"25.10104, 121.73774",1.0,347,第三分局,"民宅 暖西008 暖西里 基隆市暖暖區暖暖街335巷18號 347 第三分局"
民宅(翡翠芳鄰II),暖西里,基隆市暖暖區暖暖街530巷104號,"25.09293, 121.73552",1.0,187,第三分局,"民宅(翡翠芳鄰II) 暖西009 暖西里 基隆市暖暖區暖暖街530巷104號 187 第三分局"
民宅,暖西里,基隆市暖暖區暖暖街550號,"25.10104, 121.73774",1.0,273,第三分局,"民宅 暖西010 暖西里 基隆市暖暖區暖暖街550號 273 第三分局"
民宅(名揚天下社區),暖西里,基隆市暖暖區暖暖街530巷43號,"25.09293, 121.73552",1.0,324,第三分局,"民宅(名揚天下社區) 暖西011 暖西里 基隆市暖暖區暖暖街530巷43號 324 第三分局"
民宅(碧嵐天下社區),暖西里,基隆市暖暖區東勢街26巷117號,"25.09293, 121.73552",1.0,408,第三分局,"民宅(碧嵐天下社區) 暖西012 暖西里 基隆市暖暖區東勢街26巷117號 408 第三分局"
民宅(翡翠皇家社區),暖西里,基隆市暖暖區暖暖街570巷7號,"25.09293, 121.73552",1.0,429,第三分局,"民宅(翡翠皇家社區) 暖西013 暖西里 基隆市暖暖區暖暖街570巷7號 429 第三分局"
民宅,暖西里,基隆市暖暖區暖暖街610巷29號,"25.10104, 121.73774",1.0,251,第三分局,"民宅 暖西014 暖西里 基隆市暖暖區暖暖街610巷29號 251 第三分局"
民宅(碧嵐高第社區),暖西里,基隆市暖暖區東勢街26巷125號,"25.09293, 121.73552",1.0,247,第三分局,"民宅(碧嵐高第社區) 暖西015 暖西里 基隆市暖暖區東勢街26巷125號 247 第三分局"
民宅,暖西里,基隆市暖暖區暖暖街570巷81號,"25.09147, 121.73764",1.0,276,第三分局,"民宅 暖西016 暖西里 基隆市暖暖區暖暖街570巷81號 276 第三分局"
"暖暖教師會館 ",暖西里,基隆市暖暖區暖暖街350號,"25.10104, 121.73774",1.0,132,第三分局
暖西國小,暖西里,基隆市暖暖區暖暖街350號,"25.10104, 121.73774",1.0,883,第三分局
民宅,暖西里,基隆市暖暖區暖暖街459號,"25.10104, 121.73774",1.0,261,第三分局,"民宅 暖西019 暖西里 基隆市暖暖區暖暖街459號 261 第三分局"
民宅(竹間社區),暖西里,基隆市暖暖區東勢街6之50號,"25.09293, 121.73552",1.0,347,第三分局,"民宅(竹間社區) 暖西020 暖西里 基隆市暖暖區東勢街6之50號 347 第三分局"
民宅(松泉社區),暖西里,基隆市暖暖區暖暖街570巷88號,"25.09293, 121.73552",1.0,1174,第三分局,"民宅(松泉社區) 暖西021 暖西里 基隆市暖暖區暖暖街570巷88號 1174 第三分局"
民宅(涵仰社區),暖西里,基隆市暖暖區暖暖街570巷65號,"25.09293, 121.73552",1.0,1350,第三分局,"民宅(涵仰社區) 暖西022 暖西里 基隆市暖暖區暖暖街570巷65號 1350 第三分局"
"基隆市立暖暖羽球館 ",暖西里,基隆市暖暖區暖暖街350號,"25.09293, 121.73552",1.0,693,第三分局
民宅(十勝川社區),暖西里,基隆市暖暖區暖暖街327號,"25.09244, 121.73758",1.0,1042,第三分局,"民宅(十勝川社區) 暖西024 暖西里 基隆市暖暖區暖暖街327號 1042 第三分局"
民宅(松妍苑社區),暖西里,基隆市暖暖區暖暖街572號,"25.09256, 121.73716",1.0,273,第三分局,"民宅(松妍苑社區) 暖西025 暖西里 基隆市暖暖區暖暖街572號 273 第三分局"
民宅(十勝苑社區),暖西里,基隆市暖暖區暖暖街337號,"25.09572, 121.73811",1.0,430,第三分局,"民宅(十勝苑社區) 暖西026 暖西里 基隆市暖暖區暖暖街337號 430 第三分局"
民宅(十勝禮社區),暖西里,基隆市暖暖區暖暖街530巷57號,"25.09293, 121.73552",1.0,222,第三分局,"民宅(十勝禮社區) 暖西027 暖西里 基隆市暖暖區暖暖街530巷57號 222 第三分局"
民宅(十勝謙社區),暖西里,基隆市暖暖區暖暖街530巷86號,"25.09293, 121.73552",1.0,564,第三分局,"民宅(十勝謙社區) 暖西028 暖西里 基隆市暖暖區暖暖街530巷86號 564 第三分局"
民宅(十勝璽社區),暖西里,基隆市暖暖區暖暖街379巷98號,"25.09344, 121.73748",1.0,361,第三分局,"民宅(十勝璽社區) 暖西029 暖西里 基隆市暖暖區暖暖街379巷98號 361 第三分局"
民宅(暖悅居社區),暖西里,基隆市暖暖區暖暖街530巷23號,"25.09293, 121.73552",1.0,512,第三分局,"民宅(暖悅居社區) 暖西030 暖西里 基隆市暖暖區暖暖街530巷23號 512 第三分局"
台灣自來水公司第一區管理處,暖西里,基隆市暖暖區水源路38之1號,"25.0956, 121.73352",1.0,1183,第三分局,"台灣自來水公司第一區管理處 暖西031 暖西里 基隆市暖暖區水源路38之1號 1183 第三分局"
民宅(上品苑社區),暖西里,基隆市暖暖區東勢街6之80號,"25.09617, 121.73874",1.0,673,第三分局,"民宅(上品苑社區) 暖西032 暖西里 基隆市暖暖區東勢街6之80號 673 第三分局"
民宅(樹里院社區),暖西里,基隆市暖暖區暖暖街570巷11號,"25.09244, 121.73758",1.0,773,第三分局,"民宅(樹里院社區) 暖西033 暖西里 基隆市暖暖區暖暖街570巷11號 773 第三分局"
民宅,暖西里,基隆市暖暖區東勢街6之52號,"25.09293, 121.73552",1.0,205,第三分局,"民宅 暖西034 暖西里 基隆市暖暖區東勢街6之52號 205 第三分局"
民宅(暖暖十勝社區),暖西里,基隆市暖暖區東勢街26巷80號,"25.09572, 121.73811",1.0,468,第三分局,"民宅(暖暖十勝社區) 暖西035 暖西里 基隆市暖暖區東勢街26巷80號 468 第三分局"
民宅(青森悅社區),暖西里,基隆市暖暖街530巷2號,"25.09219, 121.73695",1.0,155,第三分局,"民宅(青森悅社區) 暖西036 暖西里 基隆市暖暖街530巷2號 155 第三分局"
民宅,暖西里,基隆市暖暖區東勢街6-55號,"25.10104, 121.73773",1.0,166,第三分局,"民宅 暖西037 暖西里 基隆市暖暖區東勢街6-55號 166 第三分局"
民宅(山水天廈社區),暖東里,基隆市暖暖區東勢街56之5號,"25.08295, 121.74799",1.0,723,第三分局,"民宅(山水天廈社區) 暖東001 暖東里 基隆市暖暖區東勢街56之5號 723 第三分局"
民宅,暖暖里,基隆市暖暖區暖暖街281巷119號,"25.10104, 121.73774",1.0,232,第三分局,"民宅 暖暖001 暖暖里 基隆市暖暖區暖暖街281巷119號 232 第三分局"
民宅,暖暖里,基隆市暖暖區暖暖街281巷60號,"25.09774, 121.73572",1.0,151,第三分局,"民宅 暖暖002 暖暖里 基隆市暖暖區暖暖街281巷60號 151 第三分局"
寵物城市,暖暖里,基隆市暖暖區暖暖街251號,"25.10104, 121.73774",1.0,147,第三分局,"寵物城市 暖暖003 暖暖里 基隆市暖暖區暖暖街251號 147 第三分局"
民宅,暖暖里,基隆市暖暖區暖暖街197巷1號,"25.10018, 121.73593",1.0,77,第三分局,"民宅 暖暖004 暖暖里 基隆市暖暖區暖暖街197巷1號 77 第三分局"
暖暖區公所,暖暖里,基隆市暖暖區東勢街2號,"25.10018, 121.73593",1.0,395,第三分局,"暖暖區公所 暖暖005 暖暖里 基隆市暖暖區東勢街2號 395 第三分局"
暖暖國小,暖暖里,基隆市暖暖區暖暖街121號,"25.10104, 121.73774",1.0,69,第三分局,"暖暖國小 暖暖009 暖暖里 基隆市暖暖區暖暖街121號 69 第三分局"
暖暖國小,暖暖里,基隆市暖暖區暖暖街121號,"25.10104, 121.73774",1.0,23,第三分局,"暖暖國小 暖暖010 暖暖里 基隆市暖暖區暖暖街121號 23 第三分局"
民宅,暖暖里,基隆市暖暖區東勢街6之24號,"25.10018, 121.73593",1.0,748,第三分局,"民宅 暖暖011 暖暖里 基隆市暖暖區東勢街6之24號 748 第三分局"
民宅,暖暖里,基隆市暖暖區暖暖街283號,"25.09721, 121.73539",1.0,92,第三分局,"民宅 暖暖012 暖暖里 基隆市暖暖區暖暖街283號 92 第三分局"
民宅,暖暖里,基隆市暖暖區暖暖街269號,"25.0968, 121.73449",1.0,366,第三分局,"民宅 暖暖013 暖暖里 基隆市暖暖區暖暖街269號 366 第三分局"
民宅,暖暖里,基隆市暖暖區暖暖街145號,"25.09721, 121.73539",1.0,269,第三分局,"民宅 暖暖014 暖暖里 基隆市暖暖區暖暖街145號 269 第三分局"
暖暖國小,暖暖里,基隆市暖暖區暖暖街121號,"25.10104, 121.73774",1.0,547,第三分局,"暖暖國小 暖暖015 暖暖里 基隆市暖暖區暖暖街121號 547 第三分局"
民宅,暖暖里,基隆市暖暖區暖暖街281巷83號,"25.10104, 121.73774",1.0,247,第三分局,"民宅 暖暖016 暖暖里 基隆市暖暖區暖暖街281巷83號 247 第三分局"
民宅(雲舞社區),暖暖里,基隆市暖暖區東勢街6之41號,"25.0985, 121.73786",1.0,230,第三分局,"民宅(雲舞社區) 暖暖017 暖暖里 基隆市暖暖區東勢街6之41號 230 第三分局"
民宅綠意皇琚社區,暖暖里,基隆市暖暖區暖暖街281巷22號,"25.09633, 121.73518",1.0,941,第三分局,"民宅綠意皇琚社區 暖暖018 暖暖里 基隆市暖暖區暖暖街281巷22號 941 第三分局"
民宅皇琚社區,暖暖里,基隆市暖暖區暖暖街281巷17號,"25.10018, 121.73593",1.0,1329,第三分局,"民宅皇琚社區 暖暖019 暖暖里 基隆市暖暖區暖暖街281巷17號 1329 第三分局"
民宅花見川社區,暖暖里,基隆市暖暖區暖暖街281巷81號,"25.09728, 121.73537",1.0,137,第三分局,"民宅花見川社區 暖暖020 暖暖里 基隆市暖暖區暖暖街281巷81號 137 第三分局"
碇內國小,碇內里,基隆市暖暖區源遠路258號,"25.09956, 121.75519",1.0,55,第三分局,"碇內國小 碇內001 碇內里 基隆市暖暖區源遠路258號 55 第三分局"
源遠市場,碇內里,基隆市暖暖區暖碇路36之1號,"25.09706, 121.75176",1.0,593,第三分局,"源遠市場 碇內002 碇內里 基隆市暖暖區暖碇路36之1號 593 第三分局"
博愛仁愛之家,碇內里,基隆市暖暖區源遠路254號,"25.09832, 121.7517",1.0,1190,第三分局,"博愛仁愛之家 碇內003 碇內里 基隆市暖暖區源遠路254號 1190 第三分局"
碇內國小,碇內里,基隆市暖暖區源遠路258號,"25.09956, 121.75519",1.0,128,第三分局,"碇內國小 碇內004 碇內里 基隆市暖暖區源遠路258號 128 第三分局"
民宅,碇內里,基隆市暖暖區源遠路260巷36弄23號,"25.09956, 121.75519",1.0,72,第三分局,"民宅 碇內005 碇內里 基隆市暖暖區源遠路260巷36弄23號 72 第三分局"
民宅台北藍天,碇內里,基隆市暖暖區源遠路249巷195號,"25.09956, 121.75519",1.0,879,第三分局,"民宅台北藍天 碇內006 碇內里 基隆市暖暖區源遠路249巷195號 879 第三分局"
民宅,碇內里,基隆市暖暖區暖碇路15巷78號,"25.0946, 121.75447",1.0,95,第三分局,"民宅 碇內007 碇內里 基隆市暖暖區暖碇路15巷78號 95 第三分局"
民宅雅歌大樓,碇內里,基隆市暖暖區源遠路249巷183之1號,"25.09956, 121.75519",1.0,297,第三分局,"民宅雅歌大樓 碇內008 碇內里 基隆市暖暖區源遠路249巷183之1號 297 第三分局"
博愛仁愛之家,碇內里,基隆市暖暖區源遠路254號,"25.09832, 121.7517",1.0,1430,第三分局,"博愛仁愛之家 碇內009 碇內里 基隆市暖暖區源遠路254號 1430 第三分局"
民宅山水尊園社區,碇內里,基隆市暖暖區遠路249巷185號,"25.09833, 121.7546",1.0,2397,第三分局,"民宅山水尊園社區 碇內010 碇內里 基隆市暖暖區遠路249巷185號 2397 第三分局"
碇內國小,碇內里,基隆市暖暖區源遠路258號,"25.09956, 121.75519",1.0,527,第三分局,"碇內國小 碇內011 碇內里 基隆市暖暖區源遠路258號 527 第三分局"
民宅綠堤大廈,碇內里,基隆市暖暖區源遠路193巷5之5號,"25.09956, 121.75519",1.0,640,第三分局,"民宅綠堤大廈 碇內012 碇內里 基隆市暖暖區源遠路193巷5之5號 640 第三分局"
基隆一信,碇內里,基隆市暖暖區源遠路226巷33號,"25.09956, 121.75519",1.0,218,第三分局,"基隆一信 碇內013 碇內里 基隆市暖暖區源遠路226巷33號 218 第三分局"
碇內國小,碇內里,基隆市暖暖區源遠路258號,"25.10007, 121.75574",1.0,352,第三分局,"碇內國小 碇內014 碇內里 基隆市暖暖區源遠路258號 352 第三分局"
民宅豐禾社區,碇內里,基隆市暖暖區源遠路226巷66號,"25.09455, 121.75484",1.0,2915,第三分局,"民宅豐禾社區 碇內015 碇內里 基隆市暖暖區源遠路226巷66號 2915 第三分局"
民宅鴻勝首席,碇內里,基隆市暖暖區源遠路226巷90號,"25.09774, 121.7516",1.0,394,第三分局,"民宅鴻勝首席 碇內016 碇內里 基隆市暖暖區源遠路226巷90號 394 第三分局"
民宅寶祥吉祥,碇安里,基隆市暖暖區源遠路341號,"25.09823, 121.75043",1.0,2402,第三分局,"民宅寶祥吉祥 碇安002 碇安里 基隆市暖暖區源遠路341號 2402 第三分局"
民宅山水天地,碇安里,基隆市暖暖區源遠路297巷87號,"25.09956, 121.75519",1.0,376,第三分局,"民宅山水天地 碇安003 碇安里 基隆市暖暖區源遠路297巷87號 376 第三分局"
民宅羅傑亞瑟王社區,碇安里,基隆市暖暖區源遠路279之3號,"25.09823, 121.75043",1.0,717,第三分局,"民宅羅傑亞瑟王社區 碇安004 碇安里 基隆市暖暖區源遠路279之3號 717 第三分局"
財團法人基督門徒訓練中心,碇安里,基隆市暖暖區源遠路297巷100號,"25.10078, 121.75581",1.0,470,第三分局,"財團法人基督門徒訓練中心 碇安005 碇安里 基隆市暖暖區源遠路297巷100號 470 第三分局"
民宅,碇安里,基隆市暖暖區源遠路290之4號,"25.09823, 121.75043",1.0,232,第三分局,"民宅 碇安006 碇安里 基隆市暖暖區源遠路290之4號 232 第三分局"
民宅藝觀天廈社區,碇安里,基隆市暖暖區暖碇路199號,"25.09956, 121.75519",1.0,4085,第三分局,"民宅藝觀天廈社區 碇安007 碇安里 基隆市暖暖區暖碇路199號 4085 第三分局"
民宅白天鵝花園廣場,碇安里,基隆市暖暖區源遠路297巷91號,"25.09823, 121.75043",1.0,1685,第三分局,"民宅白天鵝花園廣場 碇安008 碇安里 基隆市暖暖區源遠路297巷91號 1685 第三分局"
民宅芳堤名邸社區,碇安里,基隆市暖暖區源遠路292巷133號,"25.09823, 121.75043",1.0,2170,第三分局,"民宅芳堤名邸社區 碇安009 碇安里 基隆市暖暖區源遠路292巷133號 2170 第三分局"
民宅台北Online社區,碇安里,基隆市暖暖區源遠路277巷72號,"25.10007, 121.75574",1.0,1722,第三分局,"民宅台北Online社區 碇安010 碇安里 基隆市暖暖區源遠路277巷72號 1722 第三分局"
民宅暖暖達麗,碇安里,基隆市暖暖區源遠路378號,"25.09823, 121.75043",1.0,1758,第三分局,"民宅暖暖達麗 碇安011 碇安里 基隆市暖暖區源遠路378號 1758 第三分局"
鎮海宮,碇安里,基隆市暖暖區暖碇路251號,"25.09956, 121.75519",1.0,190,第三分局,"鎮海宮 碇安012 碇安里 基隆市暖暖區暖碇路251號 190 第三分局"
民宅橙品富鼎,碇安里,基隆市暖暖區暖碇路300號,"25.09823, 121.75043",1.0,246,第三分局,"民宅橙品富鼎 碇安013 碇安里 基隆市暖暖區暖碇路300號 246 第三分局"
世界貨櫃,碇和里,基隆市暖暖區源遠路124號,"25.09861, 121.74723",1.0,181,第三分局,"世界貨櫃 碇和001 碇和里 基隆市暖暖區源遠路124號 181 第三分局"
三禾倉儲,碇和里,基隆市暖暖區源遠路102巷2號,"25.09812, 121.74483",1.0,128,第三分局,"三禾倉儲 碇和002 碇和里 基隆市暖暖區源遠路102巷2號 128 第三分局"
民宅碧嵐大地二代社區,碇和里,基隆市暖暖區源遠路152巷3號,"25.09738, 121.74906",1.0,2129,第三分局,"民宅碧嵐大地二代社區 碇和003 碇和里 基隆市暖暖區源遠路152巷3號 2129 第三分局"
民宅皇家極品華廈,碇和里,基隆市暖暖區源遠路152巷23至57號,"25.09956, 121.75519",1.0,617,第三分局,"民宅皇家極品華廈 碇和004 碇和里 基隆市暖暖區源遠路152巷23至57號 617 第三分局"
民宅,碇和里,基隆市暖暖區源遠路152巷59弄1號,"25.09746, 121.74944",1.0,420,第三分局,"民宅 碇和005 碇和里 基隆市暖暖區源遠路152巷59弄1號 420 第三分局"
民宅國產江山社區,碇和里,基隆市暖暖區源遠路165號,"25.0984, 121.74984",1.0,2842,第三分局,"民宅國產江山社區 碇和006 碇和里 基隆市暖暖區源遠路165號 2842 第三分局"
基隆市立碇內國民中學,碇和里,基隆市暖暖區源遠路152巷75號,"25.09738, 121.74906",1.0,386,第三分局,"基隆市立碇內國民中學 碇和007 碇和里 基隆市暖暖區源遠路152巷75號 386 第三分局"
基隆市立碇內國民中學,碇和里,基隆市暖暖區源遠路152巷75號,"25.09884, 121.75158",1.0,160,第三分局,"基隆市立碇內國民中學 碇和008 碇和里 基隆市暖暖區源遠路152巷75號 160 第三分局"
民宅,碇和里,基隆市暖暖區源遠路192號,"25.09824, 121.75056",1.0,259,第三分局,"民宅 碇和009 碇和里 基隆市暖暖區源遠路192號 259 第三分局"
民宅琉璃園,碇和里,基隆市暖暖區東碇路503號,"25.0949, 121.74908",1.0,1106,第三分局,"民宅琉璃園 碇和010 碇和里 基隆市暖暖區東碇路503號 1106 第三分局"
民宅琉璃園,碇和里,基隆市暖暖區東碇路533號,"25.09548, 121.75062",1.0,69,第三分局,"民宅琉璃園 碇和011 碇和里 基隆市暖暖區東碇路533號 69 第三分局"
民宅琉璃園,碇和里,基隆市暖暖區東碇路535號,"25.09528, 121.75057",1.0,79,第三分局,"民宅琉璃園 碇和012 碇和里 基隆市暖暖區東碇路535號 79 第三分局"
民宅海光一村,碇和里,基隆市暖暖區暖碇路38巷95號,"25.09693, 121.75223",1.0,5849,第三分局,"民宅海光一村 碇和013 碇和里 基隆市暖暖區暖碇路38巷95號 5849 第三分局"
民宅海光一村,碇和里,基隆市暖暖區暖碇路38巷102號,"25.09693, 121.75223",1.0,1196,第三分局,"民宅海光一村 碇和014 碇和里 基隆市暖暖區暖碇路38巷102號 1196 第三分局"
民宅高門大心,碇和里,基隆市暖暖區源遠路179之9號,"25.09874, 121.75054",1.0,1618,第三分局,"民宅高門大心 碇和015 碇和里 基隆市暖暖區源遠路179之9號 1618 第三分局"
民宅綠第公寓大廈,碇祥里,基隆市暖暖區碇內街110號之14,"25.09458, 121.75455",1.0,1257,第三分局,"民宅綠第公寓大廈 碇祥001 碇祥里 基隆市暖暖區碇內街110號之14 1257 第三分局"
民宅幸福華城A棟,碇祥里,基隆市暖暖區碇內街314號之6,"25.09591, 121.75464",1.0,536,第三分局,"民宅幸福華城A棟 碇祥002 碇祥里 基隆市暖暖區碇內街314號之6 536 第三分局"
民宅幸福華城K棟,碇祥里,基隆市暖暖區碇內街287號,"25.08927, 121.75291",1.0,3187,第三分局,"民宅幸福華城K棟 碇祥003 碇祥里 基隆市暖暖區碇內街287號 3187 第三分局"
民宅碧嵐皇家香榭,碇祥里,基隆市暖暖區東碇路366號,"25.09512, 121.7494",1.0,350,第三分局,"民宅碧嵐皇家香榭 碇祥004 碇祥里 基隆市暖暖區東碇路366號 350 第三分局"
民宅幸福華城M棟,碇祥里,基隆市暖暖區碇內街257號之6,"25.09591, 121.75464",1.0,2976,第三分局,"民宅幸福華城M棟 碇祥005 碇祥里 基隆市暖暖區碇內街257號之6 2976 第三分局"
民宅幸福華城B棟,碇祥里,基隆市暖暖區碇內街342號,"25.09591, 121.75464",1.0,3398,第三分局,"民宅幸福華城B棟 碇祥006 碇祥里 基隆市暖暖區碇內街342號 3398 第三分局"
民宅碧嵐皇家桂冠座,碇祥里,基隆市暖暖區東碇路302號,"25.09513, 121.74892",1.0,279,第三分局,"民宅碧嵐皇家桂冠座 碇祥007 碇祥里 基隆市暖暖區東碇路302號 279 第三分局"
民宅幸福華城U棟,碇祥里,基隆市暖暖區碇內街222號之10,"25.09591, 121.75464",1.0,2528,第三分局,"民宅幸福華城U棟 碇祥008 碇祥里 基隆市暖暖區碇內街222號之10 2528 第三分局"
民宅幸福華城XY棟,碇祥里,基隆市暖暖區碇內街210號,"25.09829, 121.75053",1.0,481,第三分局,"民宅幸福華城XY棟 碇祥009 碇祥里 基隆市暖暖區碇內街210號 481 第三分局"
民宅羅傑天母,碇祥里,基隆市暖暖區東碇路358號之9,"25.09516, 121.7492",1.0,2143,第三分局,"民宅羅傑天母 碇祥010 碇祥里 基隆市暖暖區東碇路358號之9 2143 第三分局"
民宅皇族麗星,碇祥里,基隆市暖暖區碇內街31號,"25.09591, 121.75464",1.0,317,第三分局,"民宅皇族麗星 碇祥011 碇祥里 基隆市暖暖區碇內街31號 317 第三分局"
民宅台北大鎮,碇祥里,基隆市暖暖區碇內街105之2號,"25.09092, 121.75447",1.0,4445,第三分局,"民宅台北大鎮 碇祥012 碇祥里 基隆市暖暖區碇內街105之2號 4445 第三分局"
民宅好吉市,碇祥里,基隆市暖暖區碇內街188之8號,"25.09204, 121.75424",1.0,1032,第三分局,"民宅好吉市 碇祥013 碇祥里 基隆市暖暖區碇內街188之8號 1032 第三分局"
暖暖高中,過港里,基隆市暖暖區暖中路112號,"25.10759, 121.73771",1.0,132,第三分局
民宅,過港里,基隆市暖暖區暖中路35之5號,"25.10558, 121.73922",1.0,83,第三分局,"民宅 過港002 過港里 基隆市暖暖區暖中路35之5號 83 第三分局"
民宅,過港里,基隆市暖暖區過港路337號,"25.10811, 121.73495",1.0,181,第三分局,"民宅 過港003 過港里 基隆市暖暖區過港路337號 181 第三分局"
