類別,村里,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
公寓,水源里,苗栗縣苗栗市龜山橋31之1號,"24.539097721295956, 120.81491499768877",1.0,94,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市中正路1474號,"24.538924363610853, 120.81642322652397",1.0,78,苗栗分局,南苗所,
中華電信,水源里,苗栗縣苗栗市愛國路1號,"24.539605063451777, 120.81789919768876",2.0,1860,苗栗分局,南苗所,
公寓,水源里,苗栗縣苗栗市金鳳街42號,"24.540143024500825, 120.8189547111827",1.0,1436,苗栗分局,南苗所,
大樓,水源里,苗栗縣苗栗市金龍街92號,"24.54055894387939, 120.81859084001813",1.0,2332,苗栗分局,南苗所,
大樓,水源里,苗栗縣苗栗市金朝街47號,"24.53998364392441, 120.81932611118273",1.0,1760,苗栗分局,南苗所,
大樓,恭敬里,苗栗縣苗栗市恭敬路69號,"24.548547261360714, 120.8152276265242",1.0,436,苗栗分局,南苗所,
大樓,文山里,苗栗縣苗栗市自治路403號,"24.5695597, 120.8156076",2.0,1659,苗栗分局,文山所,
長春化學,福安里,苗栗縣苗栗市福安里246號,"24.593732, 120.820209",1.0,215,苗栗分局,北苗所,
,文山里,苗栗縣苗栗市自治路426巷1號,"24.570345, 120.816305",1.0,2155,苗栗分局,文山所,
福星國小,福星里,苗栗縣苗栗市中華東街62號,"24.578808831616012, 120.82544036992836",1.0,1448,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路110號,"24.561014468812004, 120.81837076992795",1.0,268,苗栗分局,北苗所,
苗栗衛生所,上苗里,苗栗縣苗栗市建民街28號,"24.56612779564597, 120.82506386992804",1.0,533,苗栗分局,北苗所,
苗栗縣農會,中苗里,苗栗縣苗栗市中山路538號,"24.559099281881657, 120.8200854275996",1.0,6420,苗栗分局,北苗所,
公寓,福星里,苗栗縣苗栗市中華東街396號,"24.586786274032466, 120.82584322389847",2.0,4982,苗栗分局,北苗所,
大樓,建功里,苗栗縣苗栗市縣府路106號,"24.565002413062118, 120.81947978156963",1.0,1644,苗栗分局,北苗所,
苗栗縣政府,建功里,苗栗縣苗栗市縣府路100號,"24.56509892845309, 120.82072826807709",2.0,8051,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市國華路582號,"24.575416537429966, 120.81804724109227",1.0,2008,苗栗分局,北苗所,
大樓,建功里,苗栗縣苗栗市民族路934號之1,"24.564077241140318, 120.81627129691303",2.0,1173,苗栗分局,北苗所,
郵政總局,中苗里,苗栗縣苗栗市中正路532號,"24.558609333088228, 120.82077472389781",2.0,2049,苗栗分局,北苗所,
苗栗醫院,嘉盛里,苗栗縣苗栗市為公路747號之30,"24.575734093838395, 120.84108534109234",1.0,1304,苗栗分局,北苗所,
苗栗醫院,嘉盛里,苗栗縣苗栗市為公路747號之30,"24.575782878506985, 120.841042425749",1.0,6654,苗栗分局,北苗所,
苗栗市公所,北苗里,苗栗縣苗栗市中華路45號,"24.571316244456415, 120.82425446622638",2.0,2973,苗栗分局,北苗所,
國光客運站,上苗里,苗栗縣苗栗市為公路8號,"24.569718074935704, 120.82289073924134",1.0,844,苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中正路433巷6號,"24.56022997266113, 120.82287881040538",1.0,726,苗栗分局,北苗所,
大樓,建功里,苗栗縣苗栗市自治路181巷26號,"24.566485310406254, 120.81752852574888",1.0,262,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路99號,"24.561415196905706, 120.81930219691286",1.0,53,苗栗分局,北苗所,
公寓,"嘉盛里 ",苗栗縣苗栗市嘉盛街34號,"24.572998155981903, 120.83173644209276",1.0,36,苗栗分局,北苗所,住為嘉盛街
公寓,建功里,苗栗縣苗栗市民族路66巷17弄7號,"24.563662052342693, 120.819339396913",1.0,18,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路8號,"24.565532407899553, 120.82177518342051",1.0,22,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街77巷17號,"24.56025244709634, 120.8198985122562",1.0,44,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市長春街26號,"24.561894570457692, 120.82106616622619",1.0,26,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市長春街30號,"24.561926718570117, 120.82115733924113",1.0,53,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市長春街26號,"24.561923844493663, 120.82113053924122",1.0,48,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市長春街24號,"24.5619561444434, 120.82102132389788",1.0,28,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市長春街22號,"24.562108524360752, 120.8209935815695",1.0,24,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市長春街12號,"24.56222717603714, 120.82078281225638",1.0,53,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市成功路6巷5號,"24.563171474272718, 120.82195894109226",1.0,53,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街6巷1號,"24.561867102612876, 120.81982601040544",1.0,38,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街8號,"24.56194656670759,120.81983443924132",1.0,40,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街10巷4號,"24.561815818768764, 120.81976368156973",1.0,60,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街10巷26號,"24.56144577749733, 120.81945415458465",1.0,17,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街10巷28號,"24.56141242598661, 120.81936402389795",1.0,34,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街19號,"24.56173781890845, 120.82033665273373",1.0,44,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街20號,"24.56170088679787, 120.82013098156946",1.0,177,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街10巷24號,"24.56151432574868, 120.81958041225633",1.0,17,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街29巷2號,"24.561573725609847, 120.82046271225632",1.0,22,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街33號,"24.56141609369148,120.82057475643542",1.0,45,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路137號,"24.560799962472426, 120.81860052574874",1.0,70,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街39號,"24.561216829434095, 120.82046699691283",1.0,354,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街48號,"24.56116890375451, 120.82005845458461",1.0,61,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街52號,"24.56106610392263, 120.82009541410712",1.0,276,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街56號,"24.560961445992284, 120.81991715458454",1.0,322,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街84號,"24.56047744674602, 120.81951656807699",1.0,128,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街88號,"24.560422470148474, 120.819242441092",1.0,128,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街95號,"24.560224412430927, 120.81932661225619",1.0,38,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街16號,"24.560785630038428, 120.81918172574883",1.0,86,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷2號,"24.56076756252779, 120.81885185273372",1.0,38,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街136號,"24.55966703902592, 120.81816008156953",1.0,210,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市莊敬街138號,"24.55968196438734, 120.81814575458473",1.0,45,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷34號,"24.56076544629749, 120.81906421040537",1.0,40,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷42號,"24.560123247297597, 120.81816606807705",1.0,34,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷26號,"24.560457053777835, 120.81846179691287",1.0,28,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷31號,"24.56002771285966, 120.81851918156958",1.0,56,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷33號,"24.55994332212176, 120.81843529506207",1.0,40,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷32號,"24.560328121432597, 120.81834303924123",1.0,32,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷12號,"24.56056131409321, 120.8186525104054",1.0,38,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷24號,"24.560475795594797, 120.81845871040551",1.0,64,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷25號,"24.560241170557774, 120.81870752759961",1.0,28,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷28號,"24.560313156254345, 120.81844222574874",1.0,28,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷14號,"24.560593862825367, 120.81867935458453",1.0,38,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷16號,"24.560594937219907, 120.81863922574873",1.0,38,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷18號,"24.560567095409976, 120.81866529876389",1.0,32,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷20號,"24.560554553572896, 120.81859768342048",1.0,32,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷23號,"24.560196763505598, 120.81850571040535",1.0,28,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷8號,"24.56067722080762, 120.81865989506205",1.0,38,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街10號,"24.56072755320932, 120.81977375034653",1.0,38,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷4號,"24.5607382369411, 120.81883614109215",1.0,38,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市精武街17巷6號,"24.560732395075327, 120.81882636992793",1.0,38,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路135號,"24.560798862474243, 120.81909545219722",1.0,166,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路143號,"24.560622104648548, 120.81843599876379",1.0,61,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路145號,"24.56063772087832, 120.81833288342045",1.0,184,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路149號,"24.560447263076423, 120.81838565273364",1.0,34,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路151號,"24.56057075353894, 120.8182747834205",1.0,38,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路165號,"24.560294663337864, 120.81799548342038",1.0,44,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市成功路1號,"24.563579157711928, 120.82198318342044",1.0,60,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市成功路6號,"24.56344718421442, 120.8219436527338",1.0,70,苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市成功路13號,"24.56355281565812, 120.82209292574875",1.0,221,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路82巷66號,"24.567768838406735, 120.81905428342053",1.0,58,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路82巷55號,"24.56751975096108, 120.81875099691298",1.0,32,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市義民街1巷26-1號,"24.57203765770213, 120.82403593924154",1.0,65,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市中華路76號,"24.572116328618733, 120.8247203257489",1.0,25,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市中華路143號,"24.573976725352892, 120.82465162574896",1.0,24,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市中華路60號,"24.571766557387814, 120.82488378342074",1.0,26,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市義民街1巷3號,"24.572027900478282, 120.8240573969132",1.0,42,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市中華路106號,"24.572909056073204, 120.82481671040567",1.0,26,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市中華路141號,"24.57389525456884, 120.8245947834208",1.0,26,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市中華路62號,"24.571842886298985, 120.82483672574895",1.0,26,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市三東巷18號,"24.571281516416487, 120.82278108342062",1.0,34,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市中華路52號,"24.571583143999028, 120.82475316807732",1.0,36,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市為公路91巷10號,"24.57254208515528, 120.82487118342057",1.0,26,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市義民街2巷75號,,1.0,60,苗栗分局,北苗所,查無地址
大樓,北苗里,苗栗縣苗栗市自治路567巷80之2號,"24.57133912391615, 120.81825937135",1.0,390,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市為公路91巷32號,"24.5724323993008, 120.8252429313016",1.0,28,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市義民街3巷29號,"24.573958011280144, 120.82426471140752",1.0,28,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市義民街3巷29號,"24.573958011280144, 120.82426471140752",1.0,28,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市義民街3巷28號,"24.5739245113454, 120.82422259606489",1.0,28,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市三東巷33號,"24.571181491958974, 120.82276958032014",1.0,78,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市義民街3巷27號,"24.573858668499426, 120.82432606807738",1.0,26,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市鐵路一村47號,,1.0,20,苗栗分局,北苗所,已拆除
大樓,北苗里,苗栗縣苗栗市中華路83號,"24.572757756355987, 120.82460181225662",1.0,704,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市中華路145號,"24.574026653983974, 120.82461683924151",1.0,37,苗栗分局,北苗所,
中油,北苗里,苗栗縣苗栗市中華路50號,"24.571290960290778, 120.82468242490046",1.0,716,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北苗26號,"24.57208671812902, 120.81958218128952",1.0,90,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市站後南路30號,"24.569109848236884, 120.82001971225645",1.0,26,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路2巷26號,"24.565911188651853, 120.82207632574881",1.0,25,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市英才路36號,"24.566878667344817, 120.82125366992815",1.0,66,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市英才路62號,"24.567257609022985, 120.82122995458467",1.0,24,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北苗124號,"24.572069930978454, 120.82531414768444",1.0,46,苗栗分局,北苗所,以荒廢
公寓,北苗里,苗栗縣苗栗市站後南路19巷6號,"24.568808493716528, 120.8200927834205",1.0,18,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北安街165號,"24.56521465491026, 120.81636291225635",1.0,38,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北安街29號,"24.56592466512276, 120.81459631225644",1.0,33,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北安街214號,"24.56600555355524, 120.81690393739052",1.0,57,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北安街211號,"24.566223910874434, 120.81674923924139",1.0,33,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北安街224號,"24.56617334940904, 120.8171978104055",1.0,22,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市華民路60號,"24.56481773998705, 120.81689963924129",1.0,29,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市英才路46號,"24.566950309573414, 120.82121645458467",1.0,40,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市英才路50號,"24.56692696379572, 120.82117859691303",1.0,24,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市英才路64號,"24.567228748176166, 120.82119213924148",1.0,25,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市英才路46號,"24.567008855277134, 120.82117353924131",1.0,24,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路181巷10號,"24.566145684116968, 120.81729799691294",1.0,36,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路181巷12號,"24.56645603743553, 120.81747488156972",1.0,30,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路181巷32號,"24.565771784873895, 120.81716388156957",1.0,42,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路181巷34號,"24.565667165463626, 120.8172401122564",1.0,40,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路181巷36號,"24.565683011843195, 120.81717256807715",1.0,40,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路181巷68號,"24.565032170795607, 120.8168982680773",1.0,25,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路181巷52號,"24.565345896924615, 120.8170413527339",1.0,30,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路181巷72號,"24.564998917609646, 120.81674535088297",1.0,18,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北安街161號,"24.564949455364555, 120.81650399876389",1.0,30,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北安街191巷5號,"24.565327785772883, 120.81588486807712",1.0,32,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北安街186號,"24.565449896754483, 120.81683268156968",1.0,22,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北安街216號,"24.565983649630553, 120.81719982574874",1.0,40,苗栗分局,北苗所,
大樓,北苗里,苗栗縣苗栗市站後南路33號35號,"24.568844748691053, 120.81970716807723",2.0,502,苗栗分局,北苗所,
大樓,北苗里,苗栗縣苗栗市北安街200號,"24.565485485453678, 120.8168484699281",1.0,198,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市五權街27號,"24.56619142632636, 120.82130159506211",1.0,25,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市五權街29號,"24.566103607187785, 120.82134451040544",1.0,16,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市五權街31號,"24.56619142632636, 120.82132305273377",1.0,13,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市五權街33號,"24.566171910967537, 120.82147325643552",1.0,22,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市五權街35號,"24.566240214710078, 120.82140888342046",1.0,37,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北安街188號,"24.5652601548323, 120.81676986992805",1.0,30,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市站後南路19巷4號,"24.5688208212074, 120.82008324109228",1.0,28,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市英才路212號,"24.57106371684064, 120.82085556622641",1.0,24,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市嘉慶103號,"24.570486543725657, 120.82106100074083",1.0,36,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路10號,"24.56529292807534, 120.82150001225634",1.0,16,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路2巷14號,"24.5655303276133, 120.82193759691297",1.0,32,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路48巷16號,,1.0,18,苗栗分局,北苗所,住址錯誤
公寓,北苗里,苗栗縣苗栗市自治路48巷18號,,1.0,18,苗栗分局,北苗所,住址錯誤
公寓,北苗里,苗栗縣苗栗市自治路6號,"24.565402796831613, 120.82180902574882",1.0,18,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市信泰3-1號,"24.566242808844276, 120.82132370549678",1.0,36,苗栗分局,北苗所,
大樓,上苗里,苗栗縣苗栗市站前1號,"24.57014523341002, 120.82325622574899",2.0,1997,苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市福星1-1號,,1.0,40,苗栗分局,北苗所,住址錯誤
公寓,嘉盛里,苗栗縣苗栗市嘉盛210號,"24.577305608192056, 120.83018665343532",1.0,33,苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市福星50號,"24.571553041872164, 120.82557766439706",1.0,16,苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市福星49號,"24.5812098713353, 120.82542002675027",1.0,16,苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市福星46號,"24.58119804815257, 120.82543612151494",1.0,18,苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市為公路1418號,"24.574754229968956, 120.84153601858945",1.0,40,苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市為公路420號,"24.572343971049797, 120.83273706807735",1.0,40,苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市嘉盛125-1號,"24.57531102008657, 120.83282482183505",1.0,21,苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市嘉盛126號,"24.57536033306673, 120.83281844243143",1.0,21,苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市嘉盛125號,"24.57531102008657, 120.83282482183505",1.0,21,苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市國華路2號,"24.573325455389252, 120.8339356061675",2.0,396,苗栗分局,北苗所,
大樓,清華里,苗栗縣苗栗市為公路296號,"24.571562071300953, 120.83062554055583",2.0,2122,苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市為公路4-1號,,1.0,26,苗栗分局,北苗所,已拆除
中油,福星里,苗栗縣苗栗市福星220號,"24.582611745356566, 120.82418033481808",1.0,37,苗栗分局,北苗所,
公寓,福星里,苗栗縣苗栗市福星239-5號,"24.59621172500238, 120.82178319082459",1.0,46,苗栗分局,北苗所,
公寓,福星里,苗栗縣苗栗市郵電街25號,"24.558853624148085, 120.82097105373589",1.0,120,苗栗分局,北苗所,
公寓,福星里,苗栗縣苗栗市中華路678號,"24.588763906129994, 120.8253022699286",1.0,82,苗栗分局,北苗所,
台肥公司,福星里,苗栗縣苗栗市福星210號,"24.58784669776244, 120.82255987265668",1.0,170,苗栗分局,北苗所,
台肥公司,福星里,苗栗縣苗栗市福星210號,"24.58784669776244, 120.82255987265668",1.0,528,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街69號,"24.56896272093112, 120.82484273924129",1.0,25,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街65號,"24.569012463356625, 120.82489962574877",1.0,26,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街81號,"24.568575001590087, 120.82494336807719",1.0,45,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市長安街22號,"24.569562028632227, 120.82542346807733",1.0,32,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市長安街56號,"24.568811016389173, 120.825236825749",1.0,66,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街15號,"24.56977528593699, 120.82526226807725",1.0,53,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街20號,"24.56981235997535, 120.82492292574894",1.0,30,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街29號,"24.569526258349313, 120.82520135458478",1.0,29,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市建民街42號,"24.5657291727057, 120.82441133924144",1.0,26,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市長安街138號,"24.56687530278183, 120.82518779691308",1.0,70,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市長安街140號,"24.566640472350404, 120.82516716807727",1.0,53,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街185號,"24.566539330045693, 120.82476279691296",1.0,18,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街191號,"24.566588745328605, 120.82462355458476",1.0,26,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街189號,"24.566481845395252, 120.82471591040543",1.0,26,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街193號,"24.566375672453674, 120.82473189691305",1.0,26,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街187號,"24.566482714752627, 120.82485259691309",1.0,26,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市社寮街193-1號,"24.56641470310481, 120.82475335458474",1.0,26,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市健民街2巷2號,"24.565840203507538, 120.82554746807723",1.0,97,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市健民街2巷34號,"24.565840203507538, 120.82556892574887",1.0,30,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市健民街2巷27號,"24.565810930386153, 120.82556892574887",1.0,36,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市長安街89巷1號,"24.568054901954753, 120.82558359691303",1.0,32,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市長安街86號,"24.568218444312663, 120.82527581040549",1.0,22,苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市長安街98巷64號,"24.567461553061296, 120.82490990228739",1.0,1767,苗栗分局,北苗所,
啟文國小,福星里,苗栗縣苗栗市啟文巷35號,"24.573211991264863, 120.8273543490706",1.0,1492,苗栗分局,北苗所,
大樓,福星里,苗栗縣苗栗市國華路301號,"24.575355696834954, 120.82557595458496",1.0,5735,苗栗分局,北苗所,
公寓,福星里,苗栗縣苗栗市福星110巷8-1號,"24.573544702194752, 120.82612373760297",1.0,34,苗栗分局,北苗所,
公寓,福星里,苗栗縣苗栗市啟文巷15號,"24.57262280528353, 120.82786901663964",1.0,36,苗栗分局,北苗所,
啟文國小,福星里,苗栗縣苗栗市啟文巷35號,"24.572075284682352, 120.82724642574902",1.0,276,苗栗分局,北苗所,
公寓,福星里,苗栗縣苗栗市福星202號,"24.573514740659178, 120.82565119791445",1.0,46,苗栗分局,北苗所,
公寓,福星里,苗栗縣苗栗市福星街2號,"24.5711003214553, 120.82557775995784",1.0,74,苗栗分局,北苗所,
公寓,福星里,苗栗縣苗栗市豐年路170號,"24.574588982540234, 120.82583598342059",1.0,38,苗栗分局,北苗所,
公寓,福星里,苗栗縣苗栗市豐年路166號,"24.57462232626558, 120.82592549691319",1.0,38,苗栗分局,北苗所,
公寓,福星里,苗栗縣苗栗市豐年路102號,"24.57411786891151, 120.8279364545848",1.0,29,苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中正路537號,"24.558238292229152, 120.8210239392412",1.0,34,苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中正路474號,"24.559690915254375, 120.82127506848991",1.0,44,苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市郵電街6巷29號,"24.558799643539626, 120.82080383242973",1.0,80,苗栗分局,北苗所,
中華電信,中苗里,苗栗縣苗栗市中正路560號,"24.55808248397625, 120.82062985499915",1.0,1592,苗栗分局,北苗所,
苗栗郵局,中苗里,苗栗縣苗栗市中正路532號,"24.558550783538596, 120.82081763965348",3.0,800,苗栗分局,北苗所,
