類別,建築物名稱,電腦編號,村里別,緯、經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註,"unnamed (1)"
公寓,,EPA00579,普義里,"24.960471,121.23175",1.0,338,中壢分局,V,普仁所,
大樓,,EPA00582,信義里,"24.953319,121.232226",1.0,965,中壢分局,,普仁所,
公寓,耕心園,EPA00583,普強里,"24.950647,121.238552",1.0,76,中壢分局,V,普仁所,
公寓,吉長名園,EPA00584,明德里,"24.946369,121.230313",1.0,319,中壢分局,V,普仁所,
大樓,,EPA00589,普義里,"24.96079,121.231749",1.0,541,中壢分局,V,普仁所,
透天,,EPA00591,後寮里,"24.940499,121.242423",1.0,122,中壢分局,V,普仁所,
透天,中原豪景,EPA00594,仁義里,"24.959104,121.236206",1.0,27,中壢分局,V,普仁所,
透天,,EPA00596,仁義里,"24.959114,121.238689",1.0,68,中壢分局,V,普仁所,
大樓,中原天廈,EPA00599,普仁里,"24.955785,121.237963",1.0,1041,中壢分局,V,普仁所,
透天,中原豪景,EPA00601,仁義里,"24.959327,121.236247",1.0,52,中壢分局,V,普仁所,
透天,中原豪景,EPA00602,仁義里,"24.959011,121.236436",1.0,27,中壢分局,V,普仁所,
透天,中原豪景,EPA00603,仁義里,"24.95928,121.236242",1.0,62,中壢分局,V,普仁所,
透天,中原豪景,EPA00604,仁義里,"24.959221,121.235909",1.0,27,中壢分局,V,普仁所,
透天,中原豪景,EPA00607,仁義里,"24.959179,121.236095",1.0,52,中壢分局,V,普仁所,
透天,中原豪景,EPA00608,仁義里,"24.959335,121.235988",1.0,55,中壢分局,V,普仁所,
透天,中原豪景,EPA00610,仁義里,"24.95897,121.237289",1.0,102,中壢分局,V,普仁所,
透天,中原豪景,EPA00611,仁義里,"24.958941,121.237311",1.0,55,中壢分局,V,普仁所,
透天,中原豪景,EPA00612,仁義里,"24.959019,121.237139",1.0,56,中壢分局,V,普仁所,
透天,,EPA00614,普仁里,"24.955809,121.237102",1.0,66,中壢分局,,普仁所,
透天,,EPA00615,正義里,"24.955164,121.231215",1.0,22,中壢分局,,普仁所,
透天,,EPA00619,信義里,"24.950419,121.231637",1.0,265,中壢分局,,普仁所,
透天,,EPA00620,信義里,"24.950419,121.230738",1.0,185,中壢分局,V,普仁所,
公寓,,EPA00622,普強里,"24.954229,121.237248",1.0,414,中壢分局,V,普仁所,
透天,,EPA00623,普強里,"24.954665,121.237033",1.0,247,中壢分局,,普仁所,
公寓,,EPA00624,普忠里,"24.959609,121.243886",1.0,316,中壢分局,V,普仁所,
大樓,,EPA00625,信義里,"24.953019,121.23363",1.0,661,中壢分局,V,普仁所,
透天,,EPA00626,明德里,"24.948264,121.233544",1.0,28,中壢分局,,普仁所,
透天,,EPA00628,明德里,"24.94847,121.233942",1.0,72,中壢分局,,普仁所,
公寓,,EPA00629,正義里,"24.953403,121.23025",1.0,594,中壢分局,,普仁所,
透天,,EPA00630,信義里,"24.950544,121.234379",1.0,260,中壢分局,,普仁所,
公寓,,EPA00631,信義里,"24.954727,121.235622",1.0,350,中壢分局,,普仁所,
透天,,EPA00632,仁義里,"24.960000,121.232642",1.0,20,中壢分局,V,普仁所,
透天,,EPA00636,普強里,"24.952832,121.238321",1.0,325,中壢分局,,普仁所,
公寓,,EPA00637,普強里,"24.958657,121.243859",2.0,278,中壢分局,V,普仁所,
透天,,EPA00638,普忠里,"24.956623,121.241058",1.0,66,中壢分局,,普仁所,
透天,,EPA00640,正義里,"24.953791,121.232334",1.0,18,中壢分局,,普仁所,
透天,,EPA00641,正義里,"24.953712,121.232251",1.0,18,中壢分局,,普仁所,
透天,,EPA00642,正義里,"24.954944,121.230603",1.0,21,中壢分局,,普仁所,
透天,,EPA00643,正義里,"24.955056,121.230601",1.0,20,中壢分局,,普仁所,
透天,,EPA00645,普強里,"24.951827,121.237705",1.0,37,中壢分局,V,普仁所,
大樓,,EPA00650,德義里,"24.956877,121.232711",1.0,1063,中壢分局,,普仁所,
透天,,EPA00652,普仁里,"24.955298,121.237248",1.0,38,中壢分局,,普仁所,
透天,,EPA00653,普仁里,"24.95554,121.241422",1.0,38,中壢分局,,普仁所,
透天,,EPA00654,普仁里,"24.956232,121.236547",1.0,41,中壢分局,V,普仁所,
透天,,EPA00656,信義里,"24.950909,121.231066",1.0,48,中壢分局,,普仁所,
透天,,EPA00657,普仁里,"24.954544,121.238827",1.0,55,中壢分局,,普仁所,
透天,,EPA00662,普強里,"24.950381,121.236522",1.0,13,中壢分局,V,普仁所,
透天,,EPA00664,信義里,"24.950741,121.23423",1.0,36,中壢分局,,普仁所,
透天,,EPA00665,正義里,"24.953847,121.230697",1.0,17,中壢分局,,普仁所,
透天,,EPA00666,正義里,"24.953985,121.231139",1.0,17,中壢分局,,普仁所,
透天,曾宅,EPA00670,興平里,"24.960873,121.219638",1.0,16,中壢分局,,興國所,
透天,華泰大旅社,EPA00671,興國里,"24.960289,121.221352",1.0,41,中壢分局,,興國所,
透天,黃宅,EPA00672,興國里,"24.964339,121.22035",1.0,43,中壢分局,,興國所,
透天,吳宅,EPA00673,興平里,"24.960532,121.219605",1.0,46,中壢分局,,興國所,
透天,張宅,EPA00676,舊明里,"24.956264,121.217263",1.0,61,中壢分局,,興國所,
透天,陳宅,EPA00678,舊明里,"24.957975,121.207135",1.0,27,中壢分局,,興國所,
透天,劉宅,EPA00680,舊明里,"24.954104,121.216657",1.0,56,中壢分局,,興國所,
透天,陳宅,EPA00682,五福里,"24.95773,121.208135",1.0,73,中壢分局,,興國所,
透天,張宅,EPA00685,五福里,"24.956423,121.210947",1.0,157,中壢分局,V,興國所,
透天,彭羅宅,EPA00686,五福里,"24.957432,121.208842",1.0,95,中壢分局,,興國所,
透天,宋宅,EPA00689,五權里,"24.957621,121.204305",1.0,27,中壢分局,,興國所,
透天,范宅,EPA00690,五權里,"24.957704,121.204275",1.0,64,中壢分局,,興國所,
公寓,李宅,EPA00691,光明里,"24.964009,121.217344",1.0,393,中壢分局,,興國所,
公寓,黃宅,EPA00694,光明里,"24.961884,121.217241",1.0,614,中壢分局,,興國所,
透天,台灣聖教會,EPA00695,光明里,"24.958849,121.216933",1.0,54,中壢分局,,興國所,
公寓,高宅,EPA00698,光明里,"24.959344,121.217102",1.0,574,中壢分局,,興國所,
公寓,鍾華建設,EPA00701,光明里,"24.960417,121.215136",1.0,424,中壢分局,,興國所,
大樓,白馬大樓,EPA00702,光明里,"24.960954,121.217827",2.0,1120,中壢分局,,興國所,
透天,黃金妹,EPA00703,三民里,"24.963733,121.20845",1.0,68,中壢分局,,興國所,
透天,陳富豐,EPA00707,三民里,"24.955743,121.216315",1.0,83,中壢分局,,興國所,
透天,溫頑臣,EPA00708,三民里,"24.962264,121.207951",1.0,44,中壢分局,,興國所,
大樓,廖宅,EPA00711,永光里,"24.966514,121.218687",1.0,2090,中壢分局,V,興國所,
透天,劉宅,EPA00712,永光里,"24.9645,121.229314",1.0,33,中壢分局,,興國所,
透天,邱宅,EPA00716,三民里,"24.959938,121.210773",1.0,72,中壢分局,,興國所,
教育機構,中壢高中,EPA00718,三民里,"24.958607,121.218078",1.0,1615,中壢分局,,興國所,
教育機構,中壢高中,EPA00720,三民里,"24.958626,121.21825",1.0,2490,中壢分局,V,興國所,
教育機構,中壢高中,EPA00721,三民里,"24.958626,121.21825",1.0,641,中壢分局,,興國所,
教育機構,中壢高中,EPA00722,三民里,"24.958626,121.21825",1.0,577,中壢分局,,興國所,
透天,黎宅,EPA00724,三民里,"24.965315,121.212278",1.0,107,中壢分局,,興國所,
透天,林宅,EPA00726,興平里,"24.963745,121.220463",1.0,38,中壢分局,,興國所,
透天,張宅,EPA00727,興平里,"24.963082,121.220263",1.0,87,中壢分局,,興國所,
透天,詹宅,EPA00728,興平里,"24.966059,121.221088",1.0,115,中壢分局,,興國所,
透天,陳宅,EPA00729,興平里,"24.96286,121.220486",1.0,67,中壢分局,,興國所,
公寓,簡宅,EPA00732,興平里,"24.963231,121.220812",1.0,464,中壢分局,,興國所,
透天,古宅,EPA00737,新明里,"24.957726,121.216842",1.0,164,中壢分局,,興國所,
公寓,亞士都建設,EPA00738,新明里,"24.958859,121.21626",1.0,364,中壢分局,,興國所,
大樓,王宅,EPA00739,新明里,"24.957509,121.217398",1.0,862,中壢分局,,興國所,
透天,黃宅,EPA00740,新明里,"24.956964,121.216797",1.0,85,中壢分局,,興國所,
透天,劉范姜宅,EPA00741,新明里,"24.957727,121.21739",1.0,33,中壢分局,,興國所,
透天,古宅,EPA00742,新明里,"24.956268,121.226402",1.0,40,中壢分局,,興國所,
透天,黃宅,EPA00744,新明里,"24.958219,121.21775",1.0,36,中壢分局,,興國所,
透天,鍾宅,EPA00746,新明里,"24.958374,121.21863",1.0,48,中壢分局,,興國所,
透天,彭宅,EPA00749,新明里,"24.959793,121.212058",1.0,64,中壢分局,,興國所,
大樓,中央貴族,EPA00750,新明里,"24.959665,121.214107",2.0,749,中壢分局,V,興國所,
透天,姜宅,EPA00752,新明里,"24.960771,121.211327",1.0,81,中壢分局,V,興國所,
透天,邱宅,EPA00753,新明里,"24.959396,121.211687",1.0,137,中壢分局,,興國所,
透天,蔣宅,EPA00754,新明里,"24.961375,121.211084",1.0,305,中壢分局,,興國所,
透天,鍾宅,EPA00756,五福里,"24.960402,121.206381",1.0,123,中壢分局,,興國所,
大樓,廖宅,EPA00761,五權里,"24.958866,121.210545",1.0,1016,中壢分局,,興國所,
大樓,穎川園,EPA00762,五福里,"24.960703,121.207532",1.0,880,中壢分局,,興國所,
公寓,周宅,EPA00767,新明里,"24.956983,121.215849",1.0,454,中壢分局,V,興國所,
透天,邱宅,EPA00768,新明里,"24.957837,121.21347",1.0,23,中壢分局,,興國所,
透天,江宅,EPA00769,新明里,"24.95903,121.214225",1.0,37,中壢分局,,興國所,
透天,何卓宅,EPA00771,新明里,"24.962423,121.214465",1.0,18,中壢分局,,興國所,
透天,張宅,EPA00773,新明里,"24.958298,121.215979",1.0,66,中壢分局,,興國所,
透天,黃宅,EPA00775,新明里,"24.957577,121.214738",1.0,25,中壢分局,,興國所,
透天,江宅,EPA00776,新明里,"24.958385,121.214601",1.0,37,中壢分局,,興國所,
透天,莊宅,EPA00779,新明里,"24.956865,121.214258",2.0,171,中壢分局,,興國所,
華廈,榮民路253華廈,EPA00780,中正里,"24.964521,121.261714",1.0,223,中壢分局,,自強所,
大樓,忠孝精典,EPA00781,中原里,"24.97372,121.256298",1.0,174,中壢分局,,內壢所,
學校,自強國中,EPA00782,自強里,"24.968865,121.260648",1.0,265,中壢分局,,自強所,
公寓,詠舜華城,EPA00783,成功里,"24.981721,121.256811",1.0,521,中壢分局,,內壢所,
大樓,商辦大樓,EPA00785,自強里,"24.967739,121.260386",1.0,147,中壢分局,V,自強所,
大樓,萬代福,EPA00786,中山里,"24.961378,121.258629",1.0,2694,中壢分局,V,自強所,
大樓,漢唐天下,EPA00787,忠孝里,"24.976802,121.254966",2.0,356,中壢分局,V,內壢所,
華廈,榮民路210號華廈,EPA00788,中正里,"24.965684,121.260744",1.0,257,中壢分局,,自強所,
華廈,元智金套房,EPA00793,興仁里,"24.968457,121.262856",1.0,88,中壢分局,V,自強所,
公寓,,EPA00797,福德里,"24.979523,121.257853",1.0,130,中壢分局,V,內壢所,
公寓,民宅,EPA00799,興仁里,"24.967732,121.264246",1.0,50,中壢分局,,自強所,
公寓,民宅,EPA00800,興仁里,"24.967313,121.264578",1.0,618,中壢分局,V,自強所,
公寓,民宅,EPA00801,興仁里,"24.967689,121.263823",1.0,190,中壢分局,,自強所,
公寓,民宅,EPA00802,興仁里,"24.967248,121.264322",1.0,236,中壢分局,V,自強所,
公寓,民宅,EPA00803,興仁里,"24.967757,121.263579",1.0,135,中壢分局,V,自強所,
透天,民宅,EPA00804,興仁里,"24.965651,121.261327",1.0,34,中壢分局,,自強所,
透天,,EPA00808,成功里,"24.980288,121.257553",1.0,249,中壢分局,V,內壢所,
透天,,EPA00811,內壢里,"24.975723,121.260593",1.0,22,中壢分局,,內壢所,
透天,,EPA00812,忠孝里,"24.975635,121.260786",1.0,134,中壢分局,V,內壢所,
公寓,,EPA00822,仁福里,"24.940632,121.255738",1.0,277,中壢分局,V,仁愛所,
大樓,我家社區,EPA00824,仁福里,"24.943776,121.251611",1.0,4704,中壢分局,V,仁愛所,
透天,,EPA00830,仁美里,"24.945547,121.252269",1.0,35,中壢分局,,仁愛所,
,,EPA00831,仁美里,"24.944499,121.249692",1.0,35,中壢分局,,仁愛所,
,,EPA00836,仁美里,"24.944485,121.249411",1.0,35,中壢分局,,仁愛所,
,,EPA00838,仁美里,"24.945122,121.25158",2.0,833,中壢分局,V,仁愛所,
透天,,EPA00840,仁美里,"24.944585,121.248683",1.0,36,中壢分局,,仁愛所,
透天,,EPA00841,仁美里,"24.94511,121.248521",1.0,27,中壢分局,,仁愛所,
大樓,,EPA00843,仁愛里,"24.95482,121.25544",1.0,592,中壢分局,V,仁愛所,
教育機構,華勛國小,EPA00845,華愛里,"24.954065,121.257713",1.0,4493,中壢分局,,仁愛所,
大樓,,EPA00846,仁祥里,"24.953482,121.263801",1.0,2015,中壢分局,V,仁愛所,
透天,星球幼兒園,EPA00847,仁愛里,"24.953321,121.256739",1.0,297,中壢分局,,仁愛所,
工廠,翔貿公司,EPA00854,忠義里,"24.968461,121.240248",1.0,11,中壢分局,,文化所,
透天,,EPA00856,忠義里,"24.966672,121.236146",1.0,186,中壢分局,,文化所,
工廠,泉信公司,EPA00857,忠義里,"24.966117,121.240051",1.0,15,中壢分局,,文化所,
工廠,國產汽車公司,EPA00858,忠義里,"24.965958,121.23926",1.0,197,中壢分局,,文化所,
工廠,務群紡織公司,EPA00860,忠義里,"24.961949,121.240297",1.0,42,中壢分局,,文化所,
工廠,台灣製衣公司,EPA00861,忠義里,"24.966661,121.238238",1.0,214,中壢分局,,文化所,
公家機構,經濟部商店檢驗局,EPA00864,忠義里,"24.968492,121.240137",1.0,164,中壢分局,,文化所,
工廠,東陽汽車公司,EPA00869,忠義里,"24.967549,121.247272",1.0,128,中壢分局,,文化所,
透天,立昌工業社,EPA00871,忠義里,"24.967445,121.24503",1.0,54,中壢分局,,文化所,
大樓,摩托羅拉公司,EPA00873,復華里,"24.971173,121.252381",1.0,1503,中壢分局,,文化所,
大樓,,EPA00874,復華里,"24.970582,121.249638",1.0,1153,中壢分局,,文化所,
工廠,永兆電子,EPA00877,復華里,"24.972499,121.241544",1.0,304,中壢分局,,文化所,
大樓,上展建設,EPA00879,復興里,"24.976919,121.247744",1.0,1136,中壢分局,,文化所,
透天,東日工業公司,EPA00881,復華里,"24.972381,121.240177",1.0,277,中壢分局,,文化所,
大樓,林永聯,EPA00882,復華里,"24.971331,121.247081",1.0,916,中壢分局,,文化所,
透天,林石金,EPA00886,復華里,"24.971338,121.247344",1.0,171,中壢分局,,文化所,
透天,祥宏建設,EPA00889,興華里,"24.978687,121.249686",1.0,147,中壢分局,V,文化所,
透天,愛樂實業公司,EPA00890,復興里,"24.973437,121.242172",1.0,88,中壢分局,,文化所,
大樓,台德紙器公司,EPA00899,文化里,"24.979332,121.243468",1.0,33,中壢分局,,文化所,
透天,台灣熱處理公司,EPA00904,文化里,"24.979296,121.244058",1.0,222,中壢分局,,文化所,
工廠,上鋼公司,EPA00917,文化里,"24.980286,121.242698",1.0,44,中壢分局,,文化所,
工廠,普強公司,EPA00922,文化里,"24.981167,121.242619",1.0,222,中壢分局,,文化所,
工廠,正新鋁業,EPA00924,文化里,"24.986621,121.244391",1.0,888,中壢分局,,文化所,
工廠,起龍公司,EPA00925,文化里,"24.9849,121.242229",1.0,222,中壢分局,,文化所,
工廠,恆業電子,EPA00928,內定里,"24.989103,121.240124",1.0,442,中壢分局,,文化所,
工廠,佳茂化工二廠,EPA00929,內定里,"24.988027,121.244194",1.0,344,中壢分局,,文化所,
工廠,錦榮電工,EPA00930,內定里,"24.989703,121.249595",1.0,51,中壢分局,,文化所,
工廠,盛通公司,EPA00932,內定里,"24.990368,121.247392",1.0,178,中壢分局,,文化所,
工廠,華祺工業,EPA00936,內定里,"24.990381,121.248396",1.0,121,中壢分局,,文化所,
工廠,台北化工機械公司,EPA00937,內定里,"24.987574,121.24066",1.0,205,中壢分局,,文化所,
教育機構,內定國小,EPA00938,內定里,"24.99343,121.250116",1.0,1001,中壢分局,,文化所,
透天,輝力企業有限公司,EPA00943,月眉里,"25.005425,121.195164",1.0,65,中壢分局,,大崙所,
透天,黃宅,EPA00948,林森里,"24.946234,121.225988",1.0,66,中壢分局,V,龍興所,
大樓,,EPA00949,中央里,"24.957133,121.228381",1.0,929,中壢分局,V,中壢所,
大樓,林森大道,EPA00951,林森里,"24.945519,121.226455",1.0,551,中壢分局,V,龍興所,
公寓,鍾宅,EPA00953,林森里,"24.944784,121.228474",1.0,486,中壢分局,V,龍興所,
透天,新生活家,EPA00954,林森里,"24.944969,121.22892",1.0,332,中壢分局,,龍興所,
公寓,大英帝國,EPA00955,中榮里,"24.955381,121.221758",1.0,328,中壢分局,V,中壢所,
公寓,永豐商業大樓,EPA00956,中建里,"24.955161,121.226787",2.0,346,中壢分局,V,中壢所,
公寓,黃宅,EPA00957,東興里,"24.953965,121.229163",1.0,435,中壢分局,,中壢所,
透天,大中華電子遊藝,EPA00958,石頭里,"24.953803,121.223974",1.0,171,中壢分局,,中壢所,
透天,賓士旅館,EPA00959,東興里,"24.954177,121.228871",1.0,52,中壢分局,V,中壢所,
公寓,公寓大樓,EPA00960,新街里,"24.962467,121.227172",2.0,281,中壢分局,V,中壢所,
透天,金緯纖維公司,EPA00962,中建里,"24.957332,121.223421",2.0,187,中壢分局,V,中壢所,
大樓,中國信託j中壢分行,EPA00963,中建里,"24.957088,121.223306",2.0,622,中壢分局,V,中壢所,
透天,大學文具,EPA00964,中建里,"24.956815,121.223147",1.0,70,中壢分局,V,中壢所,
透天,大學眼科,EPA00967,中建里,"24.957081,121.222923",1.0,154,中壢分局,,中壢所,
透天,大學眼科,EPA00968,中建里,"24.956979,121.222806",1.0,157,中壢分局,,中壢所,
透天,張宅,EPA00970,中建里,"24.956962,121.222721",1.0,156,中壢分局,,中壢所,
透天,許宅,EPA00971,中建里,"24.956894,121.22275",1.0,157,中壢分局,,中壢所,
透天,華邑新象,EPA00976,中央里,"24.961776,121.22809",1.0,59,中壢分局,,中壢所,
透天,張徐宅,EPA00980,新街里,"24.960484,121.225917",1.0,40,中壢分局,,中壢所,
透天,鍾宅,EPA00982,新街里,"24.96391,121.233791",1.0,23,中壢分局,,中壢所,
透天,鼎藏帝苑,EPA00986,新街里,"24.960953,121.226376",1.0,42,中壢分局,,中壢所,
大樓,旅居文旅,EPA00988,新街里,"24.962445,121.227368",1.0,733,中壢分局,V,中壢所,
透天,荷蘭風花坊,EPA00989,新街里,"24.962483,121.227841",1.0,43,中壢分局,,中壢所,
公寓,名人大樓,EPA00991,新街里,"24.962876,121.22614",1.0,354,中壢分局,V,中壢所,
大樓,皇家宮庭,EPA00996,新街里,"24.964297,121.225848",2.0,1002,中壢分局,V,中壢所,
大樓,凱薩宮廷,EPA00997,新街里,"24.96305,121.225775",2.0,4725,中壢分局,V,中壢所,
大樓,國家宮庭,EPA00998,新街里,"24.962231,121.22591",2.0,970,中壢分局,V,中壢所,
大樓,TOKUYO,EPA00999,新街里,"24.961274,121.226636",2.0,1252,中壢分局,V,中壢所,
公寓,大英帝國,EPA01001,中榮里,"24.95541,121.221833",1.0,302,中壢分局,V,中壢所,
透天,范宅,EPA01002,中榮里,"24.954698,121.221993",1.0,74,中壢分局,,中壢所,
透天,翁宅,EPA01006,石頭里,"24.953879,121.224461",1.0,214,中壢分局,,中壢所,
透天,朱宅,EPA01013,石頭里,"24.955007,121.223691",1.0,84,中壢分局,V,中壢所,
大樓,中壢大飯店,EPA01016,石頭里,"24.953253,121.222317",2.0,1273,中壢分局,V,中壢所,
公寓,百韜一街21號華廈,EPA01020,林森里,"24.944989,121.228426",1.0,314,中壢分局,V,龍興所,
透天,郭宅,EPA01024,林森里,"24.94532,121.228536",1.0,44,中壢分局,,龍興所,
透天,陳宅,EPA01026,林森里,"24.943975,121.227843",1.0,163,中壢分局,V,龍興所,
透天,郭宅,EPA01028,林森里,"24.946074,121.228494",1.0,31,中壢分局,,龍興所,
公寓,執信二街32號華廈,EPA01030,新興里,"24.944664,121.225592",1.0,304,中壢分局,V,龍興所,
透天,古宅,EPA01031,林森里,"24.942777,121.225854",1.0,43,中壢分局,,龍興所,
透天,董宅,EPA01034,林森里,"24.945652,121.22921",1.0,17,中壢分局,,龍興所,
透天,莊宅,EPA01036,林森里,"24.943,121.226755",1.0,27,中壢分局,,龍興所,
大樓,薔薇廣場,EPA01039,新興里,"24.942384,121.225416",1.0,1007,中壢分局,V,龍興所,
透天,邱宅,EPA01041,中建里,"24.956009,121.221681",1.0,98,中壢分局,,中壢所,
大樓,林森大道,EPA01051,林森里,"24.945698,121.226512",2.0,738,中壢分局,V,龍興所,
公寓,陳宅,EPA01053,林森里,"24.947216,121.225964",1.0,76,中壢分局,,龍興所,
大樓,將像公園大廈,EPA01059,新街里,"24.959962,121.228716",2.0,695,中壢分局,V,中壢所,
大樓,將像公園大廈,EPA01061,新街里,"24.96019,121.228484",2.0,1127,中壢分局,V,中壢所,
透天,李宅,EPA01066,永興里,"24.957887,121.221881",2.0,83,中壢分局,V,中壢所,
大樓,世貿財星廣場,EPA01069,永興里,"24.95854,121.219944",5.0,2083,中壢分局,V,中壢所,
透天,POYA寶雅,EPA01072,永興里,"24.95953,121.222508",1.0,111,中壢分局,,中壢所,
公寓,景榮建設,EPA01079,永興里,"24.959273,121.221299",1.0,312,中壢分局,V,中壢所,
大樓,中壢興南福德祀,EPA01090,興南里,"24.960921,121.224313",2.0,621,中壢分局,V,中壢所,
大樓,賢明華園,EPA01091,興南里,"24.960226,121.225199",2.0,1731,中壢分局,V,中壢所,
公寓,林宅,EPA01093,興南里,"24.958705,121.224033",1.0,349,中壢分局,V,中壢所,
大樓,中美商業大樓,EPA01094,興南里,"24.959781,121.223924",2.0,1492,中壢分局,V,中壢所,
透天,SYM經銷店,EPA01100,興南里,"24.959132,121.224256",1.0,17,中壢分局,,中壢所,
透天,富康豆腐店,EPA01101,興南里,"24.958138,121.223136",1.0,45,中壢分局,,中壢所,
透天,鄭宅,EPA01103,石頭里,"24.955148,121.225785",1.0,28,中壢分局,,中壢所,
透天,徐宅,EPA01107,石頭里,"24.956311,121.22426",1.0,220,中壢分局,,中壢所,
透天,劉宅,EPA01109,石頭里,"24.955451,121.224495",1.0,154,中壢分局,,中壢所,
透天,謝宅,EPA01110,石頭里,"24.955639,121.223914",1.0,127,中壢分局,,中壢所,
公家機構,中壢區公所,EPA01122,金華里,"24.96504,121.22519",2.0,2285,中壢分局,V,中福所,
透天,幸葉電子股份有限公司,EPA01128,永福里,"24.971753,121.238906",1.0,68,中壢分局,,中福所,
透天,達洲實業有限公司,EPA01133,永福里,"24.975952,121.237997",1.0,132,中壢分局,,中福所,
大樓,台達電子中壢五廠東園路16號,EPA01138,永福里,"24.969936,121.239941",1.0,1120,中壢分局,,中福所,
透天,裕元興業,EPA01139,永福里,"24.979672,121.238905",1.0,196,中壢分局,,中福所,
大樓,恒青機電有限公司,EPA01141,永福里,"24.969278,121.238377",1.0,1330,中壢分局,,中福所,
教育機構,啟英高中,EPA01142,永福里,"24.975263,121.235783",1.0,500,中壢分局,,中福所,
公寓,YKK承租宿舍,EPA01148,幸福里,"24.965962,121.234143",1.0,605,中壢分局,,中福所,
大樓,儒林世家,EPA01149,幸福里,"24.966987,121.233715",1.0,3045,中壢分局,V,中福所,
公寓,儒林世家,EPA01150,幸福里,"24.9669,121.233618",1.0,520,中壢分局,V,中福所,
大樓,花與綠,EPA01152,幸福里,"24.967426,121.233153",1.0,1140,中壢分局,V,中福所,
公寓,宏致電子股份有限公司,EPA01154,永福里,"24.969738,121.240323",1.0,393,中壢分局,V,中福所,
大樓,雅典宮廷,EPA01155,金華里,"24.964208,121.223088",2.0,4588,中壢分局,V,中福所,
大樓,北帝國五期,EPA01156,林森里,"24.947417,121.225293",2.0,3114,中壢分局,V,龍興所,
透天,米諾漢堡,EPA01157,中央里,"24.957827,121.225622",1.0,220,中壢分局,,中壢所,
大樓,好機會社區,EPA01159,莊敬里,"24.969405,121.257305",1.0,3318,中壢分局,V,自強所,
大樓,開喜庭園,EPA01160,林森里,"24.944596,121.228457",1.0,654,中壢分局,,龍興所,
教育機構,內壢國小,EPA01161,福德里,"24.965403,121.231752",1.0,222,中壢分局,,內壢所,
大樓,彩頭市社區,EPA01162,莊敬里,"24.970259,121.257187",2.0,911,中壢分局,V,自強所,
大樓,統領大國,EPA01163,中正里,"24.96429,121.260069",2.0,1250,中壢分局,V,自強所,
大樓,高閣社區,EPA01164,中堅里,"24.936946,121.255786",2.0,1205,中壢分局,V,仁愛所,
大樓,廣涵社區,EPA01165,山東里,"24.993025,121.172538",1.0,1921,中壢分局,V,大崙所,
大樓,,EPA01167,明德里,"24.950912,121.230174",2.0,813,中壢分局,V,普仁所,
工廠,伍全公司,EPA01168,內定里,"24.9903887,121.241764",1.0,1038,中壢分局,,文化所,
大樓,慶豐麗園,EPA01170,光明里,"24.962536,121.214004",1.0,7911,中壢分局,,興國所,
教育機構,南亞工商專校,EPA01171,至善里,"24.93713,121.251818",1.0,397,中壢分局,V,龍興所,
透天,常裕工業股份有限公司,EPA01172,山東里,"25.0057423,121.165703",1.0,212,中壢分局,,大崙所,
大樓,亞智股份有限公司,EPA01173,忠義里,"24.96817,121.243516",1.0,1956,中壢分局,,文化所,
教育機構,私立健行工商專校,EPA01174,龍興里,"24.947123,121.228128",1.0,1630,中壢分局,,龍興所,
公寓,星光大道KTV,EPA01175,中央里,"24.958738,121.225448",2.0,672,中壢分局,,中壢所,
大樓,布查花園,EPA01176,仁和里,"24.95299,121.261654",2.0,3353,中壢分局,V,仁愛所,
大樓,精材科技股份有限公司中壢三廠,EPA01178,永福里,"24.982283,121.237995",1.0,6718,中壢分局,V,中福所,
大樓,金像電子,EPA01179,永福里,"24.985108,121.237188",1.0,1052,中壢分局,,中福所,
公寓,雅居小築,EPA01182,信義里,"24.952357,121.229995",2.0,301,中壢分局,V,普仁所,
透天,,EPA01183,信義里,"24.95284,121.233054",1.0,128,中壢分局,V,普仁所,
大樓,,EPA01184,明德里,"24.94879,121.235278",2.0,2545,中壢分局,V,普仁所,
大樓,科學家,EPA01186,仁福里,"24.940767,121.255651",3.0,2152,中壢分局,V,仁愛所,
大樓,,EPA01187,仁福里,"24.939307,121.256723",1.0,2943,中壢分局,V,仁愛所,
大樓,寶佳建設公司,EPA01188,文化里,"24.976727,121.245102",2.0,2513,中壢分局,V,文化所,
大樓,平鎮市農會,EPA01189,舊明里,"24.955658,121.215509",1.0,1315,中壢分局,V,興國所,
透天,厚茂股份有限公司,EPA01190,五福里,"24.956492,121.210462",1.0,188,中壢分局,V,興國所,
公寓,屈臣氏,EPA01192,中央里,"24.956657,121.225407",1.0,464,中壢分局,V,中壢所,
大樓,富麗前程,EPA01194,中堅里,"24.939981,121.257197",2.0,2344,中壢分局,V,仁愛所,
透天,,EPA01196,信義里,"24.951652,121.230875",2.0,286,中壢分局,,普仁所,
大樓,陸光國宅,EPA01197,自治里,"24.962721,121.255103",3.0,1058,中壢分局,V,自強所,
大樓,蜜之屋,EPA01198,自信里,"24.964013,121.254313",1.0,565,中壢分局,,自強所,
學校,興仁國小,EPA01199,興仁里,"24.968095,121.262789",1.0,622,中壢分局,V,自強所,
大樓,新光產物,EPA01201,五權里,"24.960684,121.207204",2.0,556,中壢分局,V,興國所,
大樓,麥瑟半導體公司,EPA01202,內定里,"24.991321,121.241292",2.0,1695,中壢分局,V,文化所,
