類別,電腦編號,村里別,經緯度,地下層數位址,可容納人數,轄管分局,備註
教育機構,EPA00720,三民里,"24.958626,121.218250",1,4782.0,中壢分局,
教育機構,EPA00721,三民里,"24.958626,121.218250",1,769.0,中壢分局,
教育機構,EPA00722,三民里,"24.958626,121.218250",1,693.0,中壢分局,
透天,EPA00724,三民里,"24.965315,121.212278",1,129.0,中壢分局,
透天,EPA00726,興平里,"24.963745,121.220463",1,46.0,中壢分局,
透天,EPA00727,興平里,"24.963082,121.220263",1,105.0,中壢分局,
透天,EPA00728,興平里,"24.966059,121.221088",1,138.0,中壢分局,
透天,EPA00729,興平里,"24.962860,121.220486",1,81.0,中壢分局,
公寓,EPA00732,興平里,"24.963231,121.220812",1,557.0,中壢分局,
透天,EPA00737,新明里,"24.957726,121.216842",1,197.0,中壢分局,
公寓,EPA00738,新明里,"24.958859,121.216260",1,437.0,中壢分局,
大樓,EPA00739,新明里,"24.957509,121.217398",1,1034.0,中壢分局,
透天,EPA00740,新明里,"24.956964,121.216797",1,102.0,中壢分局,
透天,EPA00741,新明里,"24.957727,121.217390",1,40.0,中壢分局,
透天,EPA00742,新明里,"24.956268,121.226402",1,48.0,中壢分局,
透天,EPA00744,新明里,"24.958219,121.217750",1,44.0,中壢分局,
透天,EPA00746,新明里,"24.958374,121.218630",1,58.0,中壢分局,
透天,EPA00749,新明里,"24.959793,121.212058",1、2,77.0,中壢分局,
大樓,EPA00750,新明里,"24.959665,121.214107",1,1438.0,中壢分局,
透天,EPA00752,新明里,"24.960771,121.211327",1,156.0,中壢分局,
透天,EPA00753,新明里,"24.959396,121.211687",1,165.0,中壢分局,
透天,EPA00754,新明里,"24.961375,121.211084",1,366.0,中壢分局,
透天,EPA00756,五福里,"24.960402,121.206381",1,148.0,中壢分局,
大樓,EPA00761,五權里,"24.958866,121.210545",1,1220.0,中壢分局,
大樓,EPA00762,五福里,"24.960703,121.207532",1,1056.0,中壢分局,
公寓,EPA00767,新明里,"24.956983,121.215849",1,872.0,中壢分局,
透天,EPA00768,新明里,"24.957837,121.213470",1,28.0,中壢分局,
透天,EPA00769,新明里,"24.959030,121.214225",1,45.0,中壢分局,
透天,EPA00771,新明里,"24.962423,121.214465",1,22.0,中壢分局,
透天,EPA00773,新明里,"24.958298,121.215979",1,80.0,中壢分局,
透天,EPA00775,新明里,"24.957577,121.214738",1,30.0,中壢分局,
透天,EPA00776,新明里,"24.958385,121.214601",1、2,45.0,中壢分局,
透天,EPA00779,新明里,"24.956865,121.214258",1,205.0,中壢分局,
透天,EPA00780,中正里,"24.964521,121.261714",1,268.0,中壢分局,
透天,EPA00781,中原里,"24.973720,121.256298",1,209.0,中壢分局,
教育機構,EPA00782,自強里,"24.968865,121.260648",1,318.0,中壢分局,
公寓,EPA00783,成功里,"24.981721,121.256811",1,625.0,中壢分局,
透天,EPA00785,自強里,"24.967739,121.260386",1,282.0,中壢分局,
大樓,EPA00786,中山里,"24.961378,121.258629",1、2,5173.0,中壢分局,
公寓,EPA00787,忠孝里,"24.976802,121.254966",1,685.0,中壢分局,
透天,EPA00788,中正里,"24.965684,121.260744",1,309.0,中壢分局,
透天,EPA00793,興仁里,"24.968457,121.262856",1,169.0,中壢分局,
透天,EPA00797,福德里,"24.979523,121.257853",1,250.0,中壢分局,
透天,EPA00799,興仁里,"24.967732,121.264246",1,60.0,中壢分局,
大樓,EPA00800,興仁里,"24.967313,121.264578",1,1186.0,中壢分局,
透天,EPA00801,興仁里,"24.967689,121.263823",1,228.0,中壢分局,
公寓,EPA00802,興仁里,"24.967248,121.264322",1,453.0,中壢分局,
透天,EPA00803,興仁里,"24.967757,121.263579",1,260.0,中壢分局,
透天,EPA00804,興仁里,"24.965651,121.261327",1,41.0,中壢分局,
透天,EPA00805,中原里,"24.975627,121.257634",1,20.0,中壢分局,
透天,EPA00806,中原里,"24.975556,121.257644",1,84.0,中壢分局,
公寓,EPA00808,成功里,"24.980288,121.257553",1,478.0,中壢分局,
大樓,EPA00809,內壢里,"24.977125,121.261105",1,2417.0,中壢分局,
透天,EPA00810,中原里,"24.975059,121.257378",1,148.0,中壢分局,
透天,EPA00811,內壢里,"24.975723,121.260593",1,26.0,中壢分局,
透天,EPA00812,忠孝里,"24.975635,121.260786",1,257.0,中壢分局,
透天,EPA00813,興仁里,"24.965681,121.262082",1,270.0,中壢分局,
透天,EPA00814,中原里,"24.972198,121.254860",1,44.0,中壢分局,
公寓,EPA00816,中原里,"24.974988,121.256560",1,758.0,中壢分局,
透天,EPA00817,中原里,"24.974125,121.258756",1,48.0,中壢分局,
透天,EPA00818,中原里,"24.973748,121.255627",1,52.0,中壢分局,
公寓,EPA00822,仁福里,"24.940632,121.255738",1,533.0,中壢分局,
大樓,EPA00824,仁福里,"24.943776,121.251611",1,9033.0,中壢分局,
透天,EPA00830,仁美里,"24.945547,121.252269",1,42.0,中壢分局,
透天,EPA00831,仁美里,"24.944499,121.249692",1,42.0,中壢分局,
透天,EPA00836,仁美里,"24.944485,121.249411",1、2,42.0,中壢分局,
大樓,EPA00838,仁美里,"24.945122,121.251580",1,1600.0,中壢分局,
透天,EPA00840,仁美里,"24.944585,121.248683",1,44.0,中壢分局,
透天,EPA00841,仁美里,"24.945110,121.248521",1,33.0,中壢分局,
大樓,EPA00843,仁愛里,"24.954820,121.255440",1,1137.0,中壢分局,
教育機構,EPA00845,華愛里,"24.954065,121.257713",1,5392.0,中壢分局,
大樓,EPA00846,仁祥里,"24.953482,121.263801",1,3869.0,中壢分局,
透天,EPA00847,仁愛里,"24.953321,121.256739",1,357.0,中壢分局,
透天,EPA00854,忠義里,"24.968461,121.240248",1,13.0,中壢分局,
透天,EPA00856,忠義里,"24.966672,121.236146",1,224.0,中壢分局,
透天,EPA00857,忠義里,"24.966117,121.240051",1,18.0,中壢分局,
透天,EPA00858,忠義里,"24.965958,121.239260",1,237.0,中壢分局,
透天,EPA00860,忠義里,"24.961949,121.240297",1,50.0,中壢分局,
透天,EPA00861,忠義里,"24.966661,121.238238",1,257.0,中壢分局,
公家機構,EPA00864,忠義里,"24.968492,121.240137",1,197.0,中壢分局,
透天,EPA00869,忠義里,"24.967549,121.247272",1,154.0,中壢分局,
透天,EPA00871,忠義里,"24.967445,121.245030",1,65.0,中壢分局,
大樓,EPA00873,復華里,"24.971173,121.252381",1,1804.0,中壢分局,
大樓,EPA00874,復華里,"24.970582,121.249638",1,1384.0,中壢分局,
透天,EPA00877,復華里,"24.972499,121.241544",1,365.0,中壢分局,
大樓,EPA00879,復興里,"24.976919,121.247744",1,1364.0,中壢分局,
透天,EPA00881,復華里,"24.972381,121.240177",1,333.0,中壢分局,
大樓,EPA00882,復華里,"24.971331,121.247081",1,1100.0,中壢分局,
透天,EPA00886,復華里,"24.971338,121.247344",1,205.0,中壢分局,
透天,EPA00889,興華里,"24.978687,121.249686",1,284.0,中壢分局,
透天,EPA00890,復興里,"24.973437,121.242172",1,106.0,中壢分局,
大樓,EPA00899,文化里,"24.979332,121.243468",1,40.0,中壢分局,
透天,EPA00904,文化里,"24.979296,121.244058",1,266.0,中壢分局,
透天,EPA00917,文化里,"24.980286,121.242698",1,53.0,中壢分局,
透天,EPA00922,文化里,"24.981167,121.242619",1,266.0,中壢分局,
透天,EPA00924,文化里,"24.986621,121.244391",1,1066.0,中壢分局,
大樓,EPA00925,文化里,"24.984900,121.242229",1,266.0,中壢分局,
透天,EPA00928,內定里,"24.988988,121.240404",1,530.0,中壢分局,
公寓,EPA00929,內定里,"24.988027,121.244194",1,413.0,中壢分局,
公寓,EPA00930,內定里,"24.989703,121.249595",1,61.0,中壢分局,
透天,EPA00932,內定里,"24.990358,121.247316",1,214.0,中壢分局,
透天,EPA00936,內定里,"24.990342,121.248951",1,145.0,中壢分局,
透天,EPA00937,內定里,"24.987574,121.240660",1,246.0,中壢分局,
教育機構,EPA00938,內定里,"24.993577,121.249151",1,1201.0,中壢分局,
透天,EPA00943,月眉里,"25.005425,121.195164",1,78.0,中壢分局,
透天,EPA00948,林森里,"24.946234,121.225988",1,128.0,中壢分局,
大樓,EPA00949,中央里,"24.957133,121.228381",1,1785.0,中壢分局,
大樓,EPA00951,林森里,"24.945519,121.226455",1,1058.0,中壢分局,
公寓,EPA00953,林森里,"24.944784,121.228474",1,934.0,中壢分局,
透天,EPA00954,林森里,"24.944969,121.228920",1,398.0,中壢分局,
公寓,EPA00955,中榮里,"24.955381,121.221758",1、2,630.0,中壢分局,
公寓,EPA00956,中建里,"24.955161,121.226787",1,665.0,中壢分局,
公寓,EPA00957,東興里,"24.953965,121.229163",1,522.0,中壢分局,
透天,EPA00958,石頭里,"24.953803,121.223974",1,205.0,中壢分局,
透天,EPA00959,東興里,"24.954177,121.228871",1、2,100.0,中壢分局,
公寓,EPA00960,新街里,"24.962467,121.227172",1、2,540.0,中壢分局,
透天,EPA00962,中建里,"24.962117,121.214626",1、2,360.0,中壢分局,
大樓,EPA00963,中建里,"24.957088,121.223306",1,1196.0,中壢分局,
透天,EPA00964,中建里,"24.956815,121.223147",1,134.0,中壢分局,
透天,EPA00967,中建里,"24.957081,121.222923",1,185.0,中壢分局,
透天,EPA00968,中建里,"24.956979,121.222806",1,189.0,中壢分局,
透天,EPA00970,中建里,"24.956962,121.222721",1,188.0,中壢分局,
透天,EPA00971,中建里,"24.956894,121.222750",1,189.0,中壢分局,
透天,EPA00976,中央里,"24.961776,121.228090",1,70.0,中壢分局,
透天,EPA00980,新街里,"24.960484,121.225917",1,48.0,中壢分局,
透天,EPA00982,新街里,"24.963910,121.233791",1,28.0,中壢分局,
透天,EPA00986,新街里,"24.960953,121.226376",1,50.0,中壢分局,
大樓,EPA00988,新街里,"24.962445,121.227368",1,1408.0,中壢分局,
透天,EPA00989,新街里,"24.962483,121.227841",1,52.0,中壢分局,
公寓,EPA00991,新街里,"24.962876,121.226140",1、2,681.0,中壢分局,
大樓,EPA00996,新街里,"24.964297,121.225848",1、2,1924.0,中壢分局,
大樓,EPA00997,新街里,"24.963050,121.225775",1、2,9073.0,中壢分局,
大樓,EPA00998,新街里,"24.962231,121.225910",1、2,1864.0,中壢分局,
大樓,EPA00999,新街里,"24.961274,121.226636",1,2404.0,中壢分局,
公寓,EPA01001,中榮里,"24.955410,121.221833",1,580.0,中壢分局,
透天,EPA01002,中榮里,"24.954698,121.221993",1,89.0,中壢分局,
透天,EPA01006,石頭里,"24.953879,121.224461",1,257.0,中壢分局,
透天,EPA01013,石頭里,"24.955007,121.223691",1、2,161.0,中壢分局,
大樓,EPA01016,石頭里,"24.953253,121.222317",1,2445.0,中壢分局,
公寓,EPA01020,林森里,"24.944989,121.228426",1,604.0,中壢分局,
透天,EPA01024,林森里,"24.945320,121.228536",1,53.0,中壢分局,
透天,EPA01026,林森里,"24.943975,121.227843",1,313.0,中壢分局,
透天,EPA01028,林森里,"24.946074,121.228494",1,37.0,中壢分局,
公寓,EPA01030,新興里,"24.944664,121.225592",1,584.0,中壢分局,
透天,EPA01031,林森里,"24.942777,121.225854",1,52.0,中壢分局,
透天,EPA01034,林森里,"24.945652,121.229210",1,21.0,中壢分局,
透天,EPA01036,林森里,"24.943000,121.226755",1,33.0,中壢分局,
大樓,EPA01039,新興里,"24.942384,121.225416",1,1934.0,中壢分局,
透天,EPA01041,中建里,"24.956009,121.221681",1、2,118.0,中壢分局,
大樓,EPA01051,林森里,"24.945698,121.226512",1,1418.0,中壢分局,
透天,EPA01053,林森里,"24.947216,121.225964",1、2,92.0,中壢分局,
大樓,EPA01059,新街里,"24.959962,121.228716",1、2,1336.0,中壢分局,
大樓,EPA01061,新街里,"24.960190,121.228484",1、2,2164.0,中壢分局,
透天,EPA01066,永興里,"24.957887,121.221881",1、2,160.0,中壢分局,
大樓,EPA01069,永興里,"24.958540,121.219944",1,4000.0,中壢分局,
透天,EPA01072,永興里,"24.959530,121.222508",1,133.0,中壢分局,
公寓,EPA01079,永興里,"24.959273,121.221299",1、2,600.0,中壢分局,
大樓,EPA01090,興南里,"24.960921,121.224313",1、2,1193.0,中壢分局,
大樓,EPA01091,興南里,"24.960226,121.225199",1,3324.0,中壢分局,
公寓,EPA01093,興南里,"24.958705,121.224033",1、2,670.0,中壢分局,
大樓,EPA01094,興南里,"24.959781,121.223924",1,2865.0,中壢分局,
透天,EPA01100,興南里,"24.959132,121.224256",1,21.0,中壢分局,
透天,EPA01101,興南里,"24.958138,121.223136",1,54.0,中壢分局,
透天,EPA01103,石頭里,"24.955148,121.225785",1,34.0,中壢分局,
透天,EPA01107,石頭里,"24.956311,121.224260",1,264.0,中壢分局,
透天,EPA01109,石頭里,"24.955451,121.224495",1,185.0,中壢分局,
透天,EPA01110,石頭里,"24.955639,121.223914",1、2,153.0,中壢分局,
公家機構,EPA01122,金華里,"24.965779,121.225173",1,1442.0,中壢分局,
透天,EPA01128,永福里,"24.971753,121.238906",1,82.0,中壢分局,
透天,EPA01133,永福里,"24.975952,121.237997",1,158.0,中壢分局,
大樓,EPA01138,永福里,"24.969936,121.239941",1,1344.0,中壢分局,
透天,EPA01139,永福里,"24.979672,121.238905",1,236.0,中壢分局,
大樓,EPA01141,永福里,"24.969278,121.238377",1,1596.0,中壢分局,
教育機構,EPA01142,永福里,"24.975263,121.235783",1,600.0,中壢分局,
公寓,EPA01148,幸福里,"24.965962,121.234143",1,726.0,中壢分局,
大樓,EPA01149,幸福里,"24.966987,121.233715",1,5846.0,中壢分局,
公寓,EPA01150,幸福里,"24.966900,121.233618",1,998.0,中壢分局,
大樓,EPA01152,幸福里,"24.967426,121.233153",1,2189.0,中壢分局,
公寓,EPA01154,永福里,"24.969738,121.240323",1、2,756.0,中壢分局,
大樓,EPA01155,金華里,"24.964208,121.223088",1、2,8809.0,中壢分局,
大樓,EPA01156,林森里,"24.947417,121.225293",1,5980.0,中壢分局,
透天,EPA01157,中央里,"24.957827,121.225622",1,264.0,中壢分局,
大樓,EPA01159,莊敬里,"24.969405,121.257305",1,6372.0,中壢分局,
公寓,EPA01160,林森里,"24.944596,121.228457",1,785.0,中壢分局,
透天,EPA01161,福德里,"24.965403,121.231752",1、2,266.0,中壢分局,
大樓,EPA01162,莊敬里,"24.970259,121.257187",1、2,1749.0,中壢分局,
大樓,EPA01163,中正里,"24.964290,121.260069",1,2400.0,中壢分局,
大樓,EPA01164,中堅里,"24.936946,121.255786",1,2314.0,中壢分局,
大樓,EPA01165,山東里,"24.992324,121.172962",1、2,3689.0,中壢分局,
大樓,EPA01167,明德里,"24.950912,121.230174",1,1561.0,中壢分局,
大樓,EPA01168,內定里,"24.990447,121.241817",1,1246.0,中壢分局,
大樓,EPA01170,光明里,"24.962536,121.214004",1,9493.0,中壢分局,
教育機構,EPA01171,至善里,"24.937130,121.251818",1,762.0,中壢分局,
透天,EPA01172,山東里,"25.005742,121.165703",1,254.0,中壢分局,
大樓,EPA01173,忠義里,"24.968170,121.243516",1,2348.0,中壢分局,
教育機構,EPA01174,龍興里,"24.947123,121.228128",1、2,1956.0,中壢分局,
公寓,EPA01175,中央里,"24.958738,121.225448",1、2,806.0,中壢分局,
大樓,EPA01176,仁和里,"24.952990,121.261654",1,6438.0,中壢分局,
大樓,EPA01178,永福里,"24.982283,121.237995",1,12898.0,中壢分局,
大樓,EPA01179,永福里,"24.985108,121.237188",1、2,1262.0,中壢分局,
公寓,EPA01182,信義里,"24.952357,121.229995",1,578.0,中壢分局,
透天,EPA01183,信義里,"24.952840,121.233054",1、2,246.0,中壢分局,
大樓,EPA01184,明德里,"24.948790,121.235278",1、2,4888.0,中壢分局,
大樓,EPA01186,仁福里,"24.940767,121.255651",1,4133.0,中壢分局,
大樓,EPA01187,仁福里,"24.939307,121.256723",1、2,5650.0,中壢分局,
大樓,EPA01188,文化里,"24.976727,121.245102",1,4825.0,中壢分局,
大樓,EPA01189,舊明里,"24.955658,121.215509",1,2525.0,中壢分局,
透天,EPA01190,五福里,"24.956492,121.210462",1,361.0,中壢分局,
公寓,EPA01192,中央里,"24.956657,121.225407",1、2,892.0,中壢分局,
大樓,EPA01194,中堅里,"24.939981,121.257197",1、2,4501.0,中壢分局,
透天,EPA01196,信義里,"24.951652,121.230875",1、2,344.0,中壢分局,
大樓,EPA01197,自治里,"24.962721,121.255103",1,2032.0,中壢分局,
公寓,EPA01198,自信里,"24.964013,121.254313",1,678.0,中壢分局,
大樓,EPA01199,興仁里,"24.968095,121.262789",1、2,1196.0,中壢分局,
大樓,EPA01201,五權里,"24.960974,121.207214",1、2,1069.0,中壢分局,
大樓,EPA01202,內定里,"24.991321,121.241292",1,3256.0,中壢分局,
大樓,EPA01203,龍昌里,"24.937374,121.249191",1、2,1941.0,中壢分局,
大樓,EPA01204,光明里,"24.964812,121.217685",1、2,2002.0,中壢分局,
大樓,EPA01205,後寮里,"24.942160,121.247844",1、2,7837.0,中壢分局,
大樓,EPA01206,幸福里,"24.956331,121.222025",1,1552.0,中壢分局,
大樓,EPA01207,永福里,"24.969805,121.236512",1、2,2153.0,中壢分局,
大樓,EPA01208,龍慈里,"24.940843,121.245204",1,8960.0,中壢分局,
教育機構,EPA01209,明德里,"24.947384,121.228305",1,3574.0,中壢分局,
教育機構,EPA01210,龍興里,"24.938155,121.236058",1、2,4074.0,中壢分局,
大樓,EPA01211,金華里,"24.964255,121.223291",1、2,7596.0,中壢分局,
大樓,EPA01212,金華里,"24.964213,121.223275",1、2,7637.0,中壢分局,
大樓,EPA01213,石頭里,"24.953933,121.223638",1,1170.0,中壢分局,
大樓,EPA01214,中正里,"24.964670,121.260744",1,6853.0,中壢分局,
透天,EPA01215,永福里,"24.969926,121.239887",1,117.0,中壢分局,
透天,EPA01216,東興里,"24.948036,121.225843",1、2,100.0,中壢分局,
大樓,EPA01217,文化里,"24.978726,121.248115",1,3033.0,中壢分局,
透天,EPA01218,內定里,"25.009112,121.247255",1,30.0,中壢分局,
透天,EPA01220,永福里,"24.970845,121.238511",1、2,46.0,中壢分局,
大樓,EPA01221,至善里,"24.938489,121.248245",1,5268.0,中壢分局,
公寓,EPA01222,龍慈里,"24.940377,121.245178",1,882.0,中壢分局,
教育機構,EPA01223,自立里,"24.968430,121.251411",1、2,637.0,中壢分局,
大樓,EPA01224,過嶺里,"24.966484,121.175463",1,26109.0,中壢分局,
公寓,EPA01225,新街里,"24.961695,121.227280",1、2,738.0,中壢分局,
大樓,EPA01226,興南里,"24.959911,121.224895",1、2,1818.0,中壢分局,
大樓,EPA01227,文化里,"24.977062,121.245234",1,2545.0,中壢分局,
大樓,EPA01228,文化里,"24.978187,121.247164",1、2,1480.0,中壢分局,
大樓,EPA01229,篤行里,"24.951195,121.260214",1,11957.0,中壢分局,
透天,EPA01230,中興里,"24.961889,121.259081",1,198.0,中壢分局,
透天,EPA01231,仁義里,"24.968779,121.234951",1,261.0,中壢分局,
教育機構,EPA01232,永福里,"24.976492,121.234878",1,5420.0,中壢分局,
大樓,EPA01233,忠義里,"24.971237,121.252436",1,9092.0,中壢分局,
公寓,EPA01234,興國里,"24.963457,121.220769",1,420.0,中壢分局,
透天,EPA01235,五權里,"24.957776,121.206370",1,338.0,中壢分局,
大樓,EPA01236,興南里,"24.959909,121.224314",1、2,1577.0,中壢分局,
大樓,EPA01237,石頭里,"24.954340,121.224015",1,2921.0,中壢分局,
大樓,EPA01239,中正里,"24.960808,121.261745",1,1264.0,中壢分局,
大樓,EPA01240,中興里,"24.962969,121.259665",1,3578.0,中壢分局,
透天,EPA01241,中原里,"24.973103,121.256296",1、2,254.0,中壢分局,
大樓,EPA01242,正義里,"24.952952,121.228462",1,7490.0,中壢分局,
透天,EPA01243,新明里,"24.959276,121.214393",1,245.0,中壢分局,
公寓,EPA01244,芝芭里,"24.991533,121.208504",1,642.0,中壢分局,
透天,EPA01245,新興里,"24.944594,121.225474",1,353.0,中壢分局,
公寓,EPA01246,復華里,"24.972951,121.240817",1,652.0,中壢分局,
大樓,EPA01247,內定里,"25.001717,121.228447",1,33469.0,中壢分局,
大樓,EPA01248,過嶺里,"24.963599,121.157071",1、2,3884.0,中壢分局,
大樓,EPA01249,自信里,"24.962838,121.255398",1、2,3952.0,中壢分局,
大樓,EPA01250,興福里,"24.968061,121.232239",1,3089.0,中壢分局,
公寓,EPA01251,林森里,"24.944871,121.228588",1、2,900.0,中壢分局,
大樓,EPA01252,新興里,"24.944070,121.223016",1,2564.0,中壢分局,
透天,EPA01253,新明里,"24.958528,121.216020",1,302.0,中壢分局,
大樓,EPA01254,正義里,"24.954541,121.234595",1,28634.0,中壢分局,
大樓,EPA01255,普仁里,"24.957740,121.239163",1,1749.0,中壢分局,
透天,EPA01256,石頭里,"24.953866,121.223001",1,313.0,中壢分局,
教育機構,EPA01257,明德里,"24.948156,121.230277",1、2,110942.0,中壢分局,
大樓,EPA01258,興南里,"24.985053,121.223965",1,40586.0,中壢分局,
大樓,EPA01259,普仁里,"24.956470,121.238251",1,89462.0,中壢分局,
大樓,EPA01260,明德里,"24.945512,121.230847",1、2,37496.0,中壢分局,
大樓,EPA01261,自治里,"24.964164,121.257897",1,25932.0,中壢分局,
大樓,EPA01262,林森里,"24.944530,121.228477",1,16344.0,中壢分局,
大樓,EPA01263,永福里,"24.981080,121.234510",1、2,5397.0,中壢分局,
大樓,EPA01264,永福里,"24.968887,121.238387",1、2,3338.0,中壢分局,
大樓,EPA01265,興南里,"24.962070,121.224391",1,4957.0,中壢分局,
大樓,EPA01266,石頭里,"24.955055,121.225112",1,27754.0,中壢分局,
大樓,EPA01267,中壢里,"24.955636,121.219777",1、2,3344.0,中壢分局,
大樓,EPA01268,石頭里,"24.954599,121.223491",1,1309.0,中壢分局,
大樓,EPA01270,新街里,"24.963010,121.225634",1,22309.0,中壢分局,
大樓,EPA01271,龍東里,"24.929685,121.252638",1,1990.0,中壢分局,
大樓,EPA01272,龍安里,"24.935939,121.256257",1,2578.0,中壢分局,
公寓,EPA01273,振興里,"24.947274,121.227768",1,866.0,中壢分局,
大樓,EPA01274,普仁里,"24.955094,121.236778",1,1032.0,中壢分局,
大樓,EPA01275,新興里,"24.944710,121.223812",1,34894.0,中壢分局,
大樓,EPA01276,至善里,"24.938539,121.248721",1,48740.0,中壢分局,
大樓,EPA01277,健行里,"24.952840,121.228223",1,58924.0,中壢分局,
大樓,EPA01279,自信里,"24.962186,121.254856",1,31689.0,中壢分局,
電信,EPA01280,興仁里,"24.969158,121.261687",1,92154.0,中壢分局,機敏單位
大樓,EPA01281,復華里,"24.970022,121.245489",1,3226.0,中壢分局,
公家機構,EPA01282,石頭里,"24.953898,121.225874",1,792.0,中壢分局,
教育機構,EPA01283,自強里,"24.968962,121.260519",1、2,1156.0,中壢分局,
教育機構,EPA01284,興仁里,"24.970433,121.263377",1,5893.0,中壢分局,
教育機構,EPA01285,福德里,"24.973974,121.259421",1,60986.0,中壢分局,
大樓,EPA01286,莊敬里,"24.970263,121.256224",1、2,11554.0,中壢分局,
大樓,EPA01287,莊敬里,"24.970293,121.256501",1,57160.0,中壢分局,
大樓,EPA01288,莊敬里,"24.970369,121.256564",1,16854.0,中壢分局,
大樓,EPA01289,莊敬里,"24.970254,121.256662",1,6384.0,中壢分局,
教育機構,EPA01291,普仁里,"24.956489,121.238809",1,19310.0,中壢分局,
大樓,EPA01292,普忠里,"24.955000,121.240656",1,22524.0,中壢分局,
大樓,EPA01293,仁義里,"24.963179,121.236409",1,10292.0,中壢分局,
公家機構,EPA01294,龍興里,"24.938647,121.235122",1、2,43233.0,中壢分局,
大樓,EPA01295,興南里,"24.961460,121.223135",1,14545.0,中壢分局,
大樓,EPA01296,自治里,"24.966510,121.258886",1,26014.0,中壢分局,
大樓,EPA01297,中山里,"24.962426,121.260651",1,2392.0,中壢分局,
大樓,EPA01298,自治里,"24.966084,121.257800",1,7104.0,中壢分局,
大樓,EPA01299,自治里,"24.966775,121.258414",1,58348.0,中壢分局,
大樓,EPA01300,自治里,"24.966404,121.258857",1,60705.0,中壢分局,
大樓,EPA01301,自治里,"24.967111,121.258026",1,66224.0,中壢分局,
大樓,EPA01302,至善里,"24.938377,121.249596",1,2653.0,中壢分局,
大樓,EPA01303,復華里,"24.974601,121.251593",1,3350.0,中壢分局,
大樓,EPA01304,內定里,"24.977631,121.242066",1,15133.0,中壢分局,
大樓,EPA01305,忠義里,"24.973261,121.253977",1,31112.0,中壢分局,
大樓,EPA01306,普義里,"24.962554,121.230117",1、2,1920.0,中壢分局,
大樓,EPA01307,仁義里,"24.962698,121.233010",1、2,15133.0,中壢分局,
大樓,EPA01308,光明里,"24.965240,121.217457",1,2049.0,中壢分局,
透天,EPA01309,普忠里,"24.957053,121.247330",1、2,260.0,中壢分局,
大樓,EPA01310,自立里,"24.966425,121.251279",1,9127.0,中壢分局,
大樓,EPA01311,自立里,"24.963721,121.258303",1,4885.0,中壢分局,
大樓,EPA01312,自立里,"24.965176,121.255590",1,5370.0,中壢分局,
教育機構,EPA01313,龍昌里,"24.937091,121.251796",1,2108.0,中壢分局,
大樓,EPA01314,中央里,"24.956131,121.224872",1,1413.0,中壢分局,
大樓,EPA01315,仁美里,"24.945909,121.248676",1,2531.0,中壢分局,
大樓,EPA01316,仁美里,"24.945919,121.248676",1,2254.0,中壢分局,
教育機構,EPA01317,普忠里,"24.957731,121.240753",1、2,1923.0,中壢分局,
大樓,EPA01318,自立里,"24.963266,121.253003",1,25452.0,中壢分局,
透天,EPA01319,新明里,"24.957453,121.223462",1,263.0,中壢分局,
教育機構,EPA01320,後寮里,"24.945355,121.232095",1,3272.0,中壢分局,
大樓,EPA01321,後寮里,"24.941590,121.247081",1,1282.0,中壢分局,
教育機構,EPA01322,普仁里,"24.956421,121.238198",1,2485.0,中壢分局,
大樓,EPA01323,中山里,"24.962484,121.260957",1,3797.0,中壢分局,
公寓,EPA01324,中原里,"24.975203,121.253470",1,488.0,中壢分局,
教育機構,EPA01325,普忠里,"24.957470,121.240744",1,6384.0,中壢分局,
電信,EPA01326,中央里,"24.956609,121.224505",1,1019.0,中壢分局,機敏單位
大樓,EPA01327,健行里,"24.952212,121.228177",1,1770.0,中壢分局,
警察,EPA01328,永福里,"24.972361,121.233262",1,728.0,中壢分局,機敏單位
教育機構,EPA01329,普忠里,"24.957538,121.240776",1,3968.0,中壢分局,
大樓,EPA01330,興國里,"24.959390,121.221245",1,2226.0,中壢分局,
大樓,EPA01331,復華里,"24.971644,121.243411",1,2455.0,中壢分局,
大樓,EPA01332,普仁里,"24.957771,121.239481",1、2,4972.0,中壢分局,
大樓,EPA01333,自信里,"24.963691,121.256582",1,6717.0,中壢分局,
大樓,EPA01334,興華里,"24.977053,121.251160",1,3627.0,中壢分局,
大樓,EPA01335,忠孝里,"24.980764,121.254951",1,7711.0,中壢分局,
公寓,EPA01336,內定里,"24.999446,121.230533",1,832.0,中壢分局,
大樓,EPA01337,興華里,"24.978167,121.250649",1,2299.0,中壢分局,
大樓,EPA01338,興華里,"24.977237,121.250229",1,1479.0,中壢分局,
大樓,EPA01339,仁美里,"24.945665,121.248636",1,2476.0,中壢分局,
透天,EPA01340,普忠里,"24.956176,121.240996",1,374.0,中壢分局,
大樓,EPA01341,福德里,"24.978414,121.258870",1,1590.0,中壢分局,
大樓,EPA01342,復華里,"24.969988,121.251456",1,1553.0,中壢分局,
教育機構,EPA01343,復華里,"24.971202,121.248974",1,592.0,中壢分局,
大樓,EPA01344,普義里,"24.962063,121.230834",1、2,8644.0,中壢分局,
大樓,EPA01345,復興里,"24.975837,121.244599",1,5844.0,中壢分局,
教育機構,EPA01346,自立里,"24.968478,121.251807",1,1390.0,中壢分局,
大樓,EPA01347,復華里,"24.974641,121.248579",1,1162.0,中壢分局,
大樓,EPA01348,仁福里,"24.941387,121.255087",1,4144.0,中壢分局,
