電腦編號,建築物名稱,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註一,備註二
EPA00467,鄭宅,桃園市中壢區永光里7鄰民權路二段17號,24.967474,121.216535,B01,107,中壢分局,,
EPA00468,劉宅,桃園市中壢區永光里7鄰環西路二段328號,24.965005,121.214233,B01,100,中壢分局,,
EPA00470,張宅,桃園市中壢區永光里18鄰三光路317號,24.964469,121.214237,B01,1562,中壢分局,,
EPA00472,黃宅,桃園市中壢區新明里11鄰中央西路二段270號,24.96117,121.211349,B01,515,中壢分局,,
EPA00473,新明國小,桃園市中壢區光明里20鄰中央西路二段97號,24.959419,121.215792,B01,397,中壢分局,,
EPA00475,李宅,桃園市中壢區光明里20鄰光輝二路17巷1號,24.964751,121.218469,B01,531,中壢分局,,
EPA00476,陳宅,桃園市中壢區永光里18鄰環北路39號,24.966428,121.217767,B01,56,中壢分局,,
EPA00477,許宅,桃園市中壢區光明里13鄰三光路126號,24.962582,121.212314,B01,41,中壢分局,,
EPA00479,中央大學,桃園市中壢區五權里3鄰中大路38號,24.96835,121.195226,B01,795,中壢分局,,
EPA00482,中央大學,桃園市中壢區五權里3鄰中大路38號,24.968213,121.187136,B01,1685,中壢分局,,
EPA00486,黃宅,桃園市中壢區五福里8鄰民族路310巷10號,24.957839,121.2083,B01,46,中壢分局,,
EPA00491,莊宅,桃園市中壢區五福里5鄰環西路28號,24.958493,121.20746,B01,44,中壢分局,,
EPA00492,陳宅,桃園市中壢區五福里5鄰環西路20號,24.958296,121.207135,B01,36,中壢分局,,
EPA00508,程王宅,桃園市中壢區五福里5鄰民族路310巷7號,24.958038,121.207971,B01,30,中壢分局,,
EPA00509,程王宅,桃園市中壢區五福里5鄰民族路310巷9號,24.95801,121.207887,B01,30,中壢分局,,
EPA00511,楊宅,桃園市中壢區五福里5鄰民族路310巷15號,24.958356,121.208082,B01,40,中壢分局,,
EPA00513,林宅,桃園市中壢區五權里21鄰環西路81號,24.959819,121.206599,B01,186,中壢分局,,
EPA00514,黃宅,桃園市中壢區五福里8鄰民族路310巷28號,24.958084,121.20844,B01,62,中壢分局,,
EPA00518,黃宅,桃園市中壢區光明里38鄰王子街52號,24.961535,121.214594,B01,65,中壢分局,,
EPA00519,喜林莊建設,桃園市中壢區光明里35鄰白馬莊120號,24.962008,121.213051,B01,2113,中壢分局,,
EPA00525,黃宅,桃園市中壢區光明里37鄰王子街74號,24.961683,121.214097,B01,617,中壢分局,,
EPA00526,陳宅,桃園市中壢區光明里36鄰王子街76號,24.961631,121.214142,B01,623,中壢分局,,
EPA00529,賴宅,桃園市中壢區光明里26鄰中央西路二段231號,24.962177,121.21463,B01,667,中壢分局,,
EPA00532,莊宅,桃園市中壢區光明里29鄰三光路128號,24.962705,121.211889,B01,44,中壢分局,,
EPA00533,游宅,桃園市中壢區興平里2鄰新生路273號,24.963682,121.223131,B01,30,中壢分局,,
EPA00534,劉宅,桃園市中壢區五權里正明街10號,24.95785,121.203992,B01,54,中壢分局,,
EPA00537,銘升建設,桃園市中壢區五權里16鄰正光街84號,24.958624,121.203045,B01,150,中壢分局,,
EPA00540,民宅,桃園市中壢區仁義里普義路176號,24.961056,121.231932,B01,55,中壢分局,,
EPA00541,民宅,桃園市中壢區正義里新興北路22號,24.954695,121.230328,B01,231,中壢分局,,
EPA00543,民宅,桃園市中壢區普仁里實踐路91巷11號,24.955031,121.241248,B01,466,中壢分局,,
EPA00545,民宅,桃園市中壢區普仁里日新路33號,24.954683,121.239089,B01,44,中壢分局,,
EPA00546,民宅,桃園市中壢區普仁里日新路35號,24.954602,121.23895,B01,44,中壢分局,,
EPA00548,民宅,桃園市中壢區普仁里弘揚路81號,24.9541,121.242015,B01,77,中壢分局,,
EPA00549,民宅,桃園市中壢區普仁里日新路74號,24.954903,121.239811,B01,133,中壢分局,,
EPA00551,民宅,桃園市中壢區信義里長沙路123號,24.950225,121.232166,B01,32,中壢分局,,
EPA00552,民宅,桃園市中壢區明德里龍岡路二段29號,24.947403,121.228262,B01,9,中壢分局,,
EPA00563,民宅,桃園市中壢區明德里龍岡路二段75號,24.946481,121.229575,B01,140,中壢分局,,
EPA00573,民宅,桃園市中壢區後寮里龍和二街360號,24.940134,121.245349,B01,406,中壢分局,,
EPA00574,翰林華城,桃園市中壢區後寮里龍興路590號,24.9442,121.244669,B01,2440,中壢分局,,
EPA00577,民宅,桃園市中壢區德義里永康三街37號,24.957443,121.231654,B01,645,中壢分局,,
EPA00579,民宅,桃園市中壢區普義里八德路59號,24.960471,121.23175,B01,338,中壢分局,,
EPA00582,民宅,桃園市中壢區信義里廈門路17號,24.953319,121.232226,B01,965,中壢分局,,
EPA00583,耕心園,桃園市中壢區普強里國泰街97號,24.950647,121.238552,B01,76,中壢分局,,
EPA00584,吉長名園,桃園市中壢區明德里吉長街51號,24.946369,121.230313,B01,319,中壢分局,,
EPA00589,民宅,桃園市中壢區普義里普義路171號,24.96079,121.231749,B01,541,中壢分局,,
EPA00591,民宅,桃園市中壢區後寮里龍興路403號,24.940499,121.242423,B01,122,中壢分局,,
EPA00594,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄43號,24.959104,121.236206,B01,27,中壢分局,,
EPA00596,民宅,桃園市中壢區仁義里中山東路一段223巷131號,24.959114,121.238689,B01,68,中壢分局,,
EPA00599,中原天廈,桃園市中壢區普仁里協同街112號,24.955785,121.237963,B01,1041,中壢分局,,
EPA00601,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄39號之2,24.959327,121.236247,B01,52,中壢分局,,
EPA00602,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄37號,24.959011,121.236436,B01,27,中壢分局,,
EPA00603,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄41號之4,24.95928,121.236242,B01,62,中壢分局,,
EPA00604,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄41號,24.959221,121.235909,B01,27,中壢分局,,
EPA00607,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄43號之4,24.959179,121.236095,B01,52,中壢分局,,
EPA00608,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄43號之2,24.959335,121.235988,B01,55,中壢分局,,
EPA00610,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄18號之8,24.95897,121.237289,B01,102,中壢分局,,
EPA00611,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄18號之6,24.958941,121.237311,B01,55,中壢分局,,
EPA00612,中原豪景,桃園市中壢區仁義里中山東路一段223巷129弄18號之4,24.959019,121.237139,B01,56,中壢分局,,
EPA00614,民宅,桃園市中壢區普仁里中北路34巷4號,24.955809,121.237102,B01,66,中壢分局,,
EPA00615,民宅,桃園市中壢區正義里新興北路31號,24.955164,121.231215,B01,22,中壢分局,,
EPA00619,民宅,桃園市中壢區信義里17鄰成都路56號,24.950419,121.231637,B01,265,中壢分局,,
EPA00620,民宅,桃園市中壢區信義里20鄰衡陽街30號,24.950419,121.230738,B01,185,中壢分局,,
EPA00622,民宅,桃園市中壢區普強里民享街5號,24.954229,121.237248,B01,414,中壢分局,,
EPA00623,民宅,桃園市中壢區普強里中山東路二段10號,24.954665,121.237033,B01,247,中壢分局,,
EPA00624,民宅,桃園市中壢區普忠里新中一街12號,24.959609,121.243886,B01,316,中壢分局,,
EPA00625,民宅,桃園市中壢區信義里廣州路222號,24.953019,121.23363,B01,661,中壢分局,,
EPA00626,民宅,桃園市中壢區明德里南雄街25號,24.948264,121.233544,B01,28,中壢分局,,
EPA00628,民宅,桃園市中壢區明德里南雄街21號,24.94847,121.233942,B01,72,中壢分局,,
EPA00629,民宅,桃園市中壢區正義里中北路二段316號,24.953403,121.23025,B01,594,中壢分局,,
EPA00630,民宅,桃園市中壢區信義里福州路179號,24.950544,121.234379,B01,260,中壢分局,,
EPA00631,民宅,桃園市中壢區信義里甘肅二街30號,24.954727,121.235622,B01,350,中壢分局,,
EPA00632,民宅,桃園市中壢區仁義里普義路124號,24.96,121.232642,B01,20,中壢分局,,
EPA00636,民宅,桃園市中壢區普強里莒光路48號,24.952832,121.238321,B01,325,中壢分局,,
EPA00637,民宅,桃園市中壢區普強里新中北路404號,24.958657,121.243859,B01B02,278,中壢分局,,
EPA00638,民宅,桃園市中壢區普忠里大仁街35巷31號,24.956623,121.241058,B01,66,中壢分局,,
EPA00640,民宅,桃園市中壢區正義里福州路24號,24.953791,121.232334,B01,18,中壢分局,,
EPA00641,民宅,桃園市中壢區正義里福州路26號,24.953712,121.232251,B01,18,中壢分局,,
EPA00642,民宅,桃園市中壢區正義里新興北路19號,24.954944,121.230603,B01,21,中壢分局,,
EPA00643,民宅,桃園市中壢區正義里新興北路23號,24.955056,121.230601,B01,20,中壢分局,,
EPA00645,民宅,桃園市中壢區普強里和祥街6號,24.951827,121.237705,B01,37,中壢分局,,
EPA00650,民宅,桃園市中壢區德義里中山東路一段151號,24.956877,121.232711,B01,1063,中壢分局,,
EPA00652,民宅,桃園市中壢區普仁里幸福街37號,24.955298,121.237248,B01,38,中壢分局,,
EPA00653,民宅,桃園市中壢區普仁里日新路104號,24.95554,121.241422,B01,38,中壢分局,,
EPA00654,民宅,桃園市中壢區普仁里新中北路34巷4號,24.956232,121.236547,B01,41,中壢分局,,
EPA00656,民宅,桃園市中壢區信義里潮州街5號,24.950909,121.231066,B01,48,中壢分局,,
EPA00657,民宅,桃園市中壢區普仁里協同二路9巷1號,24.954544,121.238827,B01,55,中壢分局,,
EPA00662,民宅,桃園市中壢區普強里22鄰和祥街84號,24.950381,121.236522,B01,13,中壢分局,,
EPA00664,民宅,桃園市中壢區信義里福州路151號,24.950741,121.23423,B01,36,中壢分局,,
EPA00665,民宅,桃園市中壢區正義里中北路二段347號,24.953847,121.230697,B01,17,中壢分局,,
EPA00666,民宅,桃園市中壢區正義里中北路二段349號,24.953985,121.231139,B01,17,中壢分局,,
EPA00670,曾宅,桃園市中壢區興平里10鄰中豐路204號,24.960873,121.219638,B01,16,中壢分局,,
EPA00671,華泰大旅社,桃園市中壢區興國里3鄰中美路二段120號,24.960289,121.221352,B01,41,中壢分局,,
EPA00672,黃宅,桃園市中壢區興國里5鄰中豐路21號,24.964339,121.22035,B01,43,中壢分局,,
EPA00673,吳宅,桃園市中壢區興平里10鄰中豐路216號,24.960532,121.219605,B01,46,中壢分局,,
EPA00676,張宅,桃園市中壢區舊明里5鄰民權路52號,24.956264,121.217263,B01,61,中壢分局,,
EPA00678,陳宅,桃園市中壢區舊明里7鄰長安路11號,24.957975,121.207135,B01,27,中壢分局,,
EPA00680,劉宅,桃園市中壢區舊明里9鄰義民路40號,24.954104,121.216657,B01,56,中壢分局,,
EPA00682,陳宅,桃園市中壢區五福里4鄰民族路306號,24.95773,121.208135,B01,73,中壢分局,,
EPA00685,張宅,桃園市中壢區五福里4鄰民族路174號,24.956423,121.210947,B01,157,中壢分局,,
EPA00686,彭羅宅,桃園市中壢區五福里4鄰民族路268號,24.957432,121.208842,B01,95,中壢分局,,
EPA00689,宋宅,桃園市中壢區五權里19鄰民族路二段158號,24.957621,121.204305,B01,27,中壢分局,,
EPA00690,范宅,桃園市中壢區五權里19鄰民族路二段162號,24.957704,121.204275,B01,64,中壢分局,,
EPA00691,李宅,桃園市中壢區光明里4鄰民權路362號,24.964009,121.217344,B01,393,中壢分局,,
EPA00694,黃宅,桃園市中壢區光明里19鄰明德路280號,24.961884,121.217241,B01,614,中壢分局,,
EPA00695,台灣聖教會,桃園市中壢區光明里17鄰中央西路二段61號,24.958849,121.216933,B01,54,中壢分局,,
EPA00701,鍾華建設,桃園市中壢區光明里20鄰新明路117號,24.960417,121.215136,B01,424,中壢分局,,
EPA00702,白馬大樓,桃園市中壢區光明里13鄰民權路226號,24.960954,121.217827,B01B02,1120,中壢分局,,
EPA00703,黃金妹,桃園市中壢區三民里12鄰環西路二段71巷10號,24.963733,121.20845,B01,68,中壢分局,,
EPA00707,陳富豐,桃園市中壢區三民里15鄰中正路712號,24.955743,121.216315,B01,83,中壢分局,,
EPA00708,溫頑臣,桃園市中壢區三民里17鄰環西路二段15號,24.962264,121.207951,B01,44,中壢分局,,
EPA00711,廖宅,桃園市中壢區永光里18鄰環北路73號,24.966514,121.218687,B01,2090,中壢分局,,
EPA00712,劉宅,桃園市中壢區永光里6鄰環北路86號,24.9645,121.229314,B01,33,中壢分局,,
EPA00716,邱宅,桃園市中壢區三民里16鄰中正路624號,24.959938,121.210773,B01,72,中壢分局,,
EPA00718,中壢高中,桃園市中壢區三民里13鄰中央西路二段300號,24.9620211,121.2109326,B01,1615,中壢分局,,
EPA00720,中壢高中,桃園市中壢區三民里13鄰中央西路二段300號,24.9619331,121.2111368,B01,2490,中壢分局,,
EPA00721,_中壢高中,桃園市中壢區三民里13鄰中央西路二段300號,24.962109,121.211096,B01,641,中壢分局,,
EPA00722,中壢高中,桃園市中壢區三民里13鄰中央西路二段300號,24.962035,121.211239,B01,577,中壢分局,,
EPA00724,黎宅,桃園市中壢區三民里11鄰環西路二段247號,24.965315,121.212278,B01,107,中壢分局,,
EPA00726,林宅,桃園市中壢區興平里5鄰中豐路49巷11號,24.963745,121.220463,B01,38,中壢分局,,
EPA00727,張宅,桃園市中壢區興平里7鄰中豐路70號,24.963082,121.220263,B01,87,中壢分局,,
EPA00728,詹宅,桃園市中壢區興平里14鄰環北路168巷2弄11號,24.966059,121.221088,B01,115,中壢分局,,
EPA00729,陳宅,桃園市中壢區興平里7鄰中豐路72號,24.96286,121.220486,B01,67,中壢分局,,
EPA00737,古宅,桃園市中壢區新明里5鄰中明路16號,24.957726,121.216842,B01,164,中壢分局,,
EPA00738,亞士都建設,桃園市中壢區新明里6鄰中山路438號,24.958859,121.21626,B01,364,中壢分局,,
EPA00739,王宅,桃園市中壢區新明里4鄰中明東路9號,24.957509,121.217398,B01,862,中壢分局,,
EPA00740,黃宅,桃園市中壢區新明里6鄰中山路452號,24.956964,121.216797,B01,85,中壢分局,,
EPA00741,劉范姜宅,桃園市中壢區新明里4鄰民權路96號,24.957727,121.21739,B01,33,中壢分局,,
EPA00744,黃宅,桃園市中壢區新明里1鄰中央西路二段26號,24.958219,121.21775,B01,36,中壢分局,,
EPA00746,鍾宅,桃園市中壢區新明里1鄰中央西路二段2號,24.958374,121.21863,B01,48,中壢分局,,
EPA00749,彭宅,桃園市中壢區新明里17鄰新榮街28號,24.959793,121.212058,B01,64,中壢分局,,
EPA00750,中央貴族,桃園市中壢區新明里14鄰中央西路二段152號,24.959665,121.214107,B01B02,749,中壢分局,,
EPA00752,姜宅,桃園市中壢區新明里11鄰三樂二街28號,24.960771,121.211327,B01,81,中壢分局,,
EPA00753,邱宅,桃園市中壢區新明里15鄰中正路586號,24.959396,121.211687,B01,137,中壢分局,,
EPA00754,蔣宅,桃園市中壢區新明里11鄰中央西路二段282號,24.961375,121.211084,B01,305,中壢分局,,
EPA00756,鍾宅,桃園市中壢區五福里3鄰五族街197號,24.960402,121.206381,B01,123,中壢分局,,
EPA00761,廖宅,桃園市中壢區五權里12鄰五光三街53號,24.958866,121.210545,B01,1016,中壢分局,,
EPA00762,穎川園,桃園市中壢區五福里10鄰志廣路71號,24.960703,121.207532,B01,880,中壢分局,,
EPA00767,周宅,桃園市中壢區新明里13鄰中山路465號,24.956983,121.215849,B01,454,中壢分局,,
EPA00768,邱宅,桃園市中壢區新明里10鄰中山路580號,24.957837,121.21347,B01,23,中壢分局,,
EPA00769,江宅,桃園市中壢區新明里9鄰新明路39號,24.95903,121.214225,B01,37,中壢分局,,
EPA00771,何卓宅,桃園市中壢區新明里7鄰中央西路二段100號,24.962423,121.214465,B01,18,中壢分局,,
EPA00773,張宅,桃園市中壢區新明里7鄰中新路30號,24.958298,121.215979,B01,66,中壢分局,,
EPA00775,黃宅,桃園市中壢區新明里8鄰新明路18號,24.957577,121.214738,B01,25,中壢分局,,
EPA00776,江宅,桃園市中壢區新明里9鄰新明路37號,24.958385,121.214601,B01,37,中壢分局,,
EPA00779,莊宅,桃園市中壢區新明里13鄰新明路7號,24.956865,121.214258,B01B02,171,中壢分局,,
EPA00780,榮民路253華廈,桃園市中壢區中正里15鄰榮民路253號,24.964521,121.261714,B01,223,中壢分局,,
EPA00781,忠孝精典,桃園市中壢區中原里11鄰忠孝路43號,24.97372,121.256298,B01,174,中壢分局,,
EPA00782,自強國中,桃園市中壢區自強里9鄰榮民路80號,24.968865,121.260648,B01,265,中壢分局,,
EPA00783,詠舜華城,桃園市中壢區成功里7鄰成章三街136號,24.981721,121.256811,B01,521,中壢分局,,
EPA00785,商辦大樓,桃園市中壢區自強里17鄰榮民路128號,24.967739,121.260386,B01,147,中壢分局,,
EPA00786,萬代福,桃園市中壢區中山里11鄰榮安十五街28號,24.961378,121.258629,B01,2694,中壢分局,,
EPA00787,漢唐天下,桃園市中壢區忠孝里1鄰忠孝路157號,24.976802,121.254966,B01B02,356,中壢分局,,
EPA00788,榮民路210號華廈,桃園市中壢區中正里14鄰榮民路210號,24.965684,121.260744,B01,257,中壢分局,,
EPA00793,元智金套房,桃園市中壢區興仁里16鄰興仁路二段23號,24.968457,121.262856,B01,88,中壢分局,,
EPA00797,民宅,桃園市中壢區福德里16鄰成章二街98號,24.979523,121.257853,B01,130,中壢分局,,
EPA00799,民宅,桃園市中壢區興仁里21鄰興仁路二段67巷99弄11號,24.967732,121.264246,B01,50,中壢分局,,
EPA00800,民宅,桃園市中壢區興仁里21鄰興仁路二段67巷103弄1號,24.967313,121.264578,B01,618,中壢分局,,
EPA00801,民宅,桃園市中壢區興仁里21鄰興仁路二段67巷79弄6號之1,24.967689,121.263823,B01,190,中壢分局,,
EPA00802,民宅,桃園市中壢區興仁里21鄰興仁路二段67巷99弄1號,24.967248,121.264322,B01,236,中壢分局,,
EPA00803,民宅,桃園市中壢區興仁里21鄰興仁路二段67巷79弄7號,24.967757,121.263579,B01,135,中壢分局,,
EPA00804,民宅,桃園市中壢區興仁里26鄰榮光街37號,24.965651,121.261327,B01,34,中壢分局,,
EPA00808,民宅,桃園市中壢區成功里5鄰仁和街42巷1號,24.980288,121.257553,B01,249,中壢分局,,
EPA00811,民宅,桃園市中壢區內壢里14鄰成功路94巷16號,24.975723,121.260593,B01,22,中壢分局,,
EPA00812,民宅,桃園市中壢區忠孝里1鄰成章一街188號,24.975635,121.260786,B01,134,中壢分局,,
EPA00822,民宅,桃園市中壢區仁福里24鄰同慶路72號(4666296),24.940632,121.255738,B01,277,中壢分局,,
EPA00824,我家社區,桃園市中壢區仁福里4鄰仁美二街88巷1號(4663278),24.943776,121.251611,B01,4704,中壢分局,,
EPA00830,民宅,桃園市中壢區仁美里3鄰仁慈路4號,24.945547,121.252269,B01,35,中壢分局,,
EPA00831,民宅,桃園市中壢區仁美里3鄰仁慈路16號(0939886636),24.944499,121.249692,B01,35,中壢分局,,
EPA00836,民宅,桃園市中壢區仁美里3鄰仁慈路26號(4362396),24.944485,121.249411,B01,35,中壢分局,,
EPA00838,民宅,桃園市中壢區仁美里33鄰仁慈路122號(4371354),24.945122,121.25158,B01B02,833,中壢分局,,
EPA00840,民宅,桃園市中壢區仁美里3鄰中山東路三段133號,24.944585,121.248683,B01,36,中壢分局,,
EPA00841,民宅,桃園市中壢區仁美里3鄰中山東路三段135號(4662066),24.94511,121.248521,B01,27,中壢分局,,
EPA00843,民宅,桃園市中壢區仁愛里8鄰功學社新村204號之1(4651180),24.95482,121.25544,B01,592,中壢分局,,
EPA00845,華勛國小,桃園市中壢區華愛里22鄰榮民南路205號,24.954065,121.257713,B01,4493,中壢分局,,
EPA00846,民宅,桃園市中壢區仁祥里1鄰晉元路289巷65號,24.953482,121.263801,B01,2015,中壢分局,,
EPA00847,星球幼兒園,桃園市中壢區仁愛里16鄰榮民南路196號,24.953321,121.256739,B01,297,中壢分局,,
EPA00854,翔貿公司,桃園市中壢區忠義里5鄰南園路2號之5,24.968461,121.240248,B01,11,中壢分局,,
EPA00856,民宅,桃園市中壢區忠義里4鄰中園路87及89號,24.966672,121.236146,B01,186,中壢分局,,
EPA00857,泉信公司,桃園市中壢區忠義里5鄰中華路二段152號,24.966117,121.240051,B01,15,中壢分局,,
EPA00858,國產汽車公司,桃園市中壢區忠義里5鄰中華路二段188號,24.965958,121.23926,B01,197,中壢分局,,
EPA00860,務群紡織公司,桃園市中壢區忠義里5鄰中華路二段189巷185號,24.961949,121.240297,B01,42,中壢分局,,
EPA00861,台灣製衣公司,桃園市中壢區忠義里6鄰中華路二段239號,24.966661,121.238238,B01,214,中壢分局,,
EPA00864,經濟部商店檢驗局,桃園市中壢區忠義里5鄰南園路2號之3,24.968492,121.240137,B01,164,中壢分局,,
EPA00869,東陽汽車公司,桃園市中壢區忠義里4鄰中華路一段793號,24.967549,121.247272,B01,128,中壢分局,,
EPA00871,立昌工業社,桃園市中壢區忠義里4鄰中華路一段867號,24.967445,121.24503,B01,54,中壢分局,,
EPA00873,摩托羅拉公司,桃園市中壢區復華里2鄰中華路一段550號,24.971173,121.252381,B01,1503,中壢分局,,
EPA00874,民宅,桃園市中壢區復華里2鄰中華路一段644巷36弄5號,24.970582,121.249638,B01,1153,中壢分局,,
EPA00877,永兆電子,桃園市中壢區復華里25鄰自強四路9號,24.972499,121.241544,B01,304,中壢分局,,
EPA00879,上展建設,桃園市中壢區復興里20鄰復華街319號,24.976919,121.247744,B01,1136,中壢分局,,
EPA00881,東日工業公司,桃園市中壢區復華里20鄰自強四路11號,24.972381,121.240177,B01,277,中壢分局,,
EPA00882,林永聯,桃園市中壢區復華里20鄰復華街107巷17號,24.971331,121.247081,B01,916,中壢分局,,
EPA00886,林石金,桃園市中壢區復華里14鄰復華街107巷20弄8號,24.971338,121.247344,B01,171,中壢分局,,
EPA00889,祥宏建設,桃園市中壢區興華里長樂四街13號之7,24.978687,121.249686,B01,147,中壢分局,,
EPA00890,愛樂實業公司,桃園市中壢區復興里25鄰自強五路2號,24.973437,121.242172,B01,88,中壢分局,,
EPA00899,台德紙器公司,桃園市中壢區文化里20鄰吉林路20號,24.979332,121.243468,B01,33,中壢分局,,
EPA00904,台灣熱處理公司,桃園市中壢區文化里20鄰吉林路22號,24.979296,121.244058,B01,222,中壢分局,,
EPA00917,上鋼公司,桃園市中壢區文化里13鄰北園路22號之1,24.980286,121.242698,B01,44,中壢分局,,
EPA00922,普強公司,桃園市中壢區文化里10鄰北園路24號,24.981167,121.242619,B01,222,中壢分局,,
EPA00924,正新鋁業,桃園市中壢區文化里北園二路6號,24.986621,121.244391,B01,888,中壢分局,,
EPA00925,起龍公司,桃園市中壢區文化里合江路16號,24.9849,121.242229,B01,222,中壢分局,,
EPA00928,恆業電子,桃園市中壢區內定里高邊路1號,24.989103,121.240124,B01,442,中壢分局,,
EPA00929,佳茂化工二廠,桃園市中壢區內定里合定路26號之1,24.988027,121.244194,B01,344,中壢分局,,
EPA00930,錦榮電工,桃園市中壢區內定里合定路29號,24.989703,121.249595,B01,51,中壢分局,,
EPA00932,盛通公司,桃園市中壢區內定里定康路15號,24.990368,121.247392,B01,178,中壢分局,,
EPA00936,華祺工業,桃園市中壢區內定里松江北路29號,24.990381,121.248396,B01,121,中壢分局,,
EPA00937,台北化工機械公司,桃園市中壢區內定里合定路4號,24.987574,121.24066,B01,205,中壢分局,,
EPA00938,內定國小,桃園市中壢區內定里定寧路31號,24.99343,121.250116,B01,1001,中壢分局,,
EPA00943,輝力企業有限公司,桃園市中壢區月眉里11鄰月眉130號,25.005425,121.195164,B01,65,中壢分局,,
EPA00948,黃宅,桃園市中壢區林森里5鄰林森路75號,24.946234,121.225988,B01,66,中壢分局,,
EPA00949,民宅,桃園市中壢區中央里11鄰長江路73號,24.957133,121.228381,B01,929,中壢分局,,
EPA00951,林森大道,桃園市中壢區林森里6鄰林森路11號,24.945519,121.226455,B01,551,中壢分局,,
EPA00953,鍾宅,桃園市中壢區林森里20鄰百韜路21號,24.944784,121.228474,B01,486,中壢分局,,
EPA00954,新生活家,桃園市中壢區林森里20鄰星文二路29號,24.944969,121.22892,B01,332,中壢分局,,
EPA00955,_大英帝國(商業華廈),桃園市中壢區中榮里14鄰中正路145號,24.9551743,121.2217097,B01,328,中壢分局,,
EPA00956,_永豐商業大樓,桃園市中壢區中建里13鄰中山路63號,24.955083,121.226752,B01B02,346,中壢分局,老街溪站及燈廊,130.0
EPA00957,黃宅,桃園市中壢區東興里6鄰東明街18號,24.953965,121.229163,B01,435,中壢分局,,
EPA00958,大中華電子遊藝,桃園市中壢區石頭里14鄰興建街15號,24.953741,121.2238664,B01,171,中壢分局,,
EPA00959,賓士旅館,桃園市中壢區東興里8鄰新興路248號,24.954177,121.228871,B01,52,中壢分局,,
EPA00960,公寓大樓,桃園市中壢區新街里1鄰延平路228號,24.962467,121.227172,B01B02,281,中壢分局,,
EPA00962,金緯纖維公司,桃園市中壢區中建里3鄰中央西路一段1號,24.957332,121.223421,B01B02,187,中壢分局,,
EPA00963,中國信託j中壢分行,桃園市中壢區中建里3鄰延平路500號,24.956834,121.223242,B01B02,622,中壢分局,,
EPA00964,大學文具,桃園市中壢區中建里4鄰中山路206號,24.956669,121.222909,B01,70,中壢分局,,
EPA00967,大學眼科,桃園市中壢區中建里4鄰中山路212號,24.957081,121.222923,B01,154,中壢分局,,
EPA00968,大學眼科,桃園市中壢區中建里4鄰中山路214號,24.956979,121.222806,B01,157,中壢分局,,
EPA00970,張宅,桃園市中壢區中建里4鄰中山路218號,24.956962,121.222721,B01,156,中壢分局,,
EPA00971,許宅,桃園市中壢區中建里4鄰中山路220號,24.956894,121.22275,B01,157,中壢分局,,
EPA00976,華邑新象,桃園市中壢區中央里21鄰元化路215巷49號,24.961776,121.22809,B01,59,中壢分局,,
EPA00980,張徐宅,桃園市中壢區新街里5鄰延平路353巷45號,24.960484,121.225917,B01,40,中壢分局,,
EPA00982,鍾宅,桃園市中壢區新街里6鄰延平路205號,24.96391,121.233791,B01,23,中壢分局,,
EPA00986,鼎藏帝苑,桃園市中壢區新街里5鄰延平路285號,24.960953,121.226376,B01,42,中壢分局,,
EPA00988,旅居文旅,桃園市中壢區新街里1鄰延平路216號,24.962445,121.227368,B01,733,中壢分局,,
EPA00989,荷蘭風花坊,桃園市中壢區新街里1鄰延平路202號,24.962483,121.227841,B01,43,中壢分局,,
EPA00991,名人大樓,桃園市中壢區新街里11鄰元化路271巷26弄15號,24.962876,121.22614,B01,354,中壢分局,,
EPA00996,皇家宮庭,桃園市中壢區新街里12鄰慈惠三街126巷1號,24.964297,121.225848,B01B02,1002,中壢分局,,
EPA00997,凱薩宮廷,桃園市中壢區新街里12鄰慈惠三街158巷4號,24.96305,121.225775,B01B02,4725,中壢分局,,
EPA00998,國家宮庭,桃園市中壢區新街里8鄰元化路275號,24.962231,121.22591,B01B02,970,中壢分局,,
EPA00999,TOKUYO,桃園市中壢區新街里5鄰延平路261號,24.961274,121.226636,B01B02,1252,中壢分局,,
EPA01001,大英帝國(商業華廈),桃園市中壢區中榮里16鄰中正路145號,24.9552106,121.2217445,B01,302,中壢分局,,
EPA01002,范宅,桃園市中壢區中榮里17鄰延平路600巷30號,24.954698,121.221993,B01,74,中壢分局,,
EPA01006,翁宅,桃園市中壢區石頭里13鄰興建街8號,24.953879,121.224461,B01,214,中壢分局,,
EPA01013,朱宅,桃園市中壢區石頭里3鄰中正路92號,24.955007,121.223691,B01,84,中壢分局,,
EPA01016,中壢大飯店,桃園市中壢區石頭里11鄰延平路645號,24.953253,121.222317,B01B02,1273,中壢分局,,
EPA01020,百韜一街21號華廈,桃園市中壢區林森里19鄰百韜一街21號,24.944989,121.228426,B01,314,中壢分局,,
EPA01024,郭宅,桃園市中壢區林森里19鄰百韜一街43號,24.94532,121.228536,B01,44,中壢分局,,
