類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般建築,ZN2289,秀昌里,高雄市楠梓區秀昌里後昌路876巷2弄105號,"22.712558,120.297899",1,893.0,楠梓分局,
一般建築,ZN2470,五常里,高雄市楠梓區五常里興楠路355巷83號之1,"22.727637,120.332657",1,902.0,楠梓分局,
一般建築,ZN2464,藍田里,高雄市楠梓區藍田里大學東路399號,"22.730248,120.290231",1,910.0,楠梓分局,
一般建築,ZN2268,翠屏里,高雄市楠梓區翠屏里德賢路17號,"22.728673,120.310999",1,916.0,楠梓分局,
一般建築,ZN2362,清豐里,高雄市楠梓區清豐里清平街66號,"22.736874,120.339174",1,917.0,楠梓分局,
一般建築,ZN2405,慶昌里,高雄市楠梓區慶昌里新昌街49號,"22.709835,120.298766",1,963.0,楠梓分局,
一般建築,ZN2612,中和里,高雄市楠梓區中和里大學十八街108號,"22.724803,120.276966",1.2.3,969.0,楠梓分局,
一般建築,ZN2393,翠屏里,高雄市楠梓區翠屏里德賢路588號,"22.725838,120.300702",1.2,973.0,楠梓分局,
一般建築,ZN2360,五常里,高雄市楠梓區五常里常德路318號,"22.73707388,120.337305725022",1,978.0,楠梓分局,
一般建築,ZN2343,秀昌里,高雄市楠梓區秀昌里後昌路876巷2弄71號,"22.712212,120.297081",1,978.0,楠梓分局,
一般建築,ZN2298,清豐里,高雄市楠梓區清豐里清成街74號,"22.737086,120.335787",1,986.0,楠梓分局,
一般建築,ZN2451,加昌里,高雄市楠梓區加昌里秀群路457巷11號,"22.716218,120.298997",1,988.0,楠梓分局,
一般建築,ZN2421,惠豐里,高雄市楠梓區惠豐里惠豐街105號,"22.7282,120.318698",1,1000.0,楠梓分局,
一般建築,ZN2262,加昌里,高雄市楠梓區加昌里樂群路59號,"22.716215,120.297796",1,1016.0,楠梓分局,
一般建築,ZN2614,藍田里,高雄市楠梓區藍田里高雄大學路377號,"22.72872918,120.284446825022",1.2,1024.0,楠梓分局,
一般建築,ZN2275,翠屏里,高雄市楠梓區翠屏里德賢路175號,"22.72644,120.306383",1,1026.0,楠梓分局,
