類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
公寓,TPA00227,開明里,宜蘭縣羅東鎮開明里中正路74號,1.0,52.0,
公寓,TPA00248,南昌里,宜蘭縣羅東鎮南昌里站前南路157號,1.0,49.0,
公寓,TPA00164,漢民里,宜蘭縣羅東鎮漢民里中山路四段75號,1.0,48.0,
公寓,TPA00252,南豪里,宜蘭縣羅東鎮南豪里中正南路133號,1.0,48.0,
公寓,TPA00138,仁和里,宜蘭縣羅東鎮仁和里中山路三段145號,1.0,46.0,
公寓,TPA00139,仁和里,宜蘭縣羅東鎮仁和里中山路三段147號,1.0,46.0,
公寓,TPA00140,漢民里,宜蘭縣羅東鎮漢民里中山路三段367號,1.0,46.0,
公寓,TPA00148,漢民里,宜蘭縣羅東鎮漢民里忠孝37號,1.0,46.0,
公寓,TPA00061,公正里,宜蘭縣羅東鎮公正里興東路153號,1.0,46.0,
公寓,TPA00078,信義里,宜蘭縣羅東鎮信義里復興路一段93巷3號,1.0,46.0,
工廠,TPA00313,中山村,宜蘭縣冬山鄉中山村新寮路81號,1.0,45.0,
公寓,TPA00122,漢民里,宜蘭縣羅東鎮漢民里民意街77巷3號,1.0,45.0,
公寓,TPA00131,中山里,宜蘭縣羅東鎮中山里民權路109巷5號,1.0,45.0,
工廠,TPA00008,鎮安村,宜蘭縣五結鄉鎮安村西河二路108號,1.0,44.0,
公寓,TPA00036,公正里,宜蘭縣羅東鎮公正里公正路202號,1.0,41.0,
公寓,TPA00239,大新里,宜蘭縣羅東鎮大新里中正路210號,1.0,41.0,
工廠,TPA00007,中興村,宜蘭縣五結鄉中興村中里路20號,1.0,40.0,
公寓,TPA00141,漢民里,宜蘭縣羅東鎮漢民里中山路三段369號,1.0,38.0,
公寓,TPA00047,集祥里,宜蘭縣羅東鎮集祥里公正路89巷9號,1.0,38.0,
工廠,TPA00026,五結村,宜蘭縣五結鄉五結村五結路三段503號,1.0,37.0,
公寓,TPA00127,漢民里,宜蘭縣羅東鎮漢民里民意街63巷10號,1.0,37.0,
公寓,TPA00019,福興村,宜蘭縣五結鄉福興村五結路三段706號,1.0,36.0,
公寓,TPA00204,開明里,宜蘭縣羅東鎮開明里中正路26號,1.0,36.0,
公寓,TPA00220,開明里,宜蘭縣羅東鎮開明里中正路78號,1.0,36.0,
公寓,TPA00135,國華里,宜蘭縣羅東鎮國華里培英路84號,1.0,33.0,
公寓,TPA00167,漢民里,宜蘭縣羅東鎮漢民里中山路四段162號,1.0,33.0,
公寓,TPA00040,集祥里,宜蘭縣羅東鎮集祥里中正路163號,1.0,33.0,
公寓,TPA00048,信義里,宜蘭縣羅東鎮信義里興東路246號,1.0,30.0,
公寓,TPA00049,信義里,宜蘭縣羅東鎮信義里興東路248號,1.0,30.0,
公寓,TPA00208,東安里,宜蘭縣羅東鎮東安里中山路二段400號,1.0,30.0,
公寓,TPA00243,南豪里,宜蘭縣羅東鎮南豪里文化街78號,1.0,29.0,
公寓,TPA00043,樹林里,宜蘭縣羅東鎮樹林里樹人路52號,1.0,29.0,
公寓,TPA00123,開民里,宜蘭縣羅東鎮開民里中山路三段5號,1.0,28.0,
公寓,TPA00039,賢文里,宜蘭縣羅東鎮賢文里忠孝路90巷2之2號,1.0,28.0,
公寓,TPA00207,開明里,宜蘭縣羅東鎮中山里中山路三段59號,1.0,28.0,
公寓,TPA00238,東安里,宜蘭縣羅東鎮東安里光榮路230巷80號,1.0,26.0,
公寓,TPA00051,樹林里,宜蘭縣羅東鎮豐年路119巷4弄41號,1.0,25.0,
公寓,TPA00035,集祥里,宜蘭縣羅東鎮集祥里興東路14號,1.0,25.0,
工廠,TPA00295,大興村,宜蘭縣冬山鄉大興村龍祥十路2號,1.0,22.0,
公寓,TPA00053,賢文里,宜蘭縣羅東鎮賢文里忠孝路89號,1.0,22.0,
公寓,TPA00054,賢文里,宜蘭縣羅東鎮賢文里興東路91號,1.0,22.0,
公寓,TPA00121,中山里,宜蘭縣羅東鎮中山里中山路三段386號,1.0,22.0,
公寓,TPA00042,集祥里,宜蘭縣羅東鎮集祥里公正街70號,1.0,20.0,
公寓,TPA00203,南昌里,宜蘭縣羅東鎮南昌里中正南路154號,1.0,20.0,
公寓,TPA00213,開明里,宜蘭縣羅東鎮開明里開羅街13號,1.0,20.0,
公寓,TPA0401,柯林村,宜蘭縣冬山鄉柯林村光華一路318巷6號,1.0,782.0,
公寓,TPA0402,廣興村,宜蘭縣冬山鄉廣興村冬山鄉廣興路117號,1.0,1382.0,
公寓,TPA0405,二結村,宜蘭縣五結鄉二結村7鄰中正路三段186號,1.0,625.0,
公寓,TPA0412,上四村,宜蘭縣五結鄉上四村中正路二段9號,1.0,284.0,
公寓,TPA0406,孝威村,宜蘭縣五結鄉孝威村孝威南路19-8號,1.0,3506.0,
公寓,TPA0408,五結村,宜蘭縣五結鄉五結村五結中路23號,1.0,1328.0,
公寓,TPA0404,利澤村,宜蘭縣五結鄉利澤村利成路二段388號,1.0,263.0,
公寓,TPA0407,成興村,宜蘭縣五結鄉成興村利寶路99號,1.0,805.0,
公寓,TPA0410,成興村,宜蘭縣五結鄉成興村利功二路87號,1.0,178.0,
公寓,TPA0374,成功里,宜蘭縣羅東鎮成功里興東南路201號,1.0,20.0,
公寓,TPA0382,西安里,宜蘭縣羅東鎮西安里南盟路69巷60號,1.0,4346.0,
公寓,TPA0392,成功里,宜蘭縣羅東鎮成功里興東南路201號,1.0,1146.0,
公寓,TPA0393,成功里,宜蘭縣羅東鎮成功里興東南路201號,1.0,219.0,
公寓,TPA0397,北成里,宜蘭縣羅東鎮北成里北成路一段125號,1.0,3069.0,
公寓,TPA0381,羅莊里,宜蘭縣羅東鎮羅莊里羅莊街130巷1號,1.0,1432.0,
公寓,TPA0383,東安里,宜蘭縣羅東鎮東安里陽明路88號,1.0,484.0,
公寓,TPA0385,南豪里,宜蘭縣羅東鎮南豪里和平路100號,1.0,518.0,
公寓,TPA0387,大新里,宜蘭縣羅東鎮大新里安平路31號,1.0,755.0,
公寓,TPA0391,東安里,宜蘭縣羅東鎮東安里陽明路13號,1.0,157.0,
公寓,TPA0394,大新里,宜蘭縣羅東鎮大新里安平路30號,1.0,495.0,
公寓,TPA0398,南昌里,宜蘭縣羅東鎮南昌里民族路1號,1.0,1272.0,
公寓,TPA0399,大新里,宜蘭縣羅東鎮大新里安平路16號,1.0,1416.0,
公寓,TPA0413,集祥里,宜蘭縣羅東鎮集祥里天津路13號,1.0,382.0,
公寓,TPA0375,仁愛里,宜蘭縣羅東鎮仁愛里仁愛路三段325巷2號,1.0,684.0,
