類別,建築物名稱,電腦編號,地址,緯經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
公司,私人公司,E01-04-004,龜山區舊路里長青路2號(長庚養生村),"25.019720,121.370401",1.0,3384.0,龜山分局,O,
公司,大埔國小,E02-01-005,龜山區舊路里振興路1169號(大埔國小),"25.061926,121.362923",1.0,495.0,龜山分局,,
公司,長庚醫學院,E03-01-006,龜山區文青里文化一路259號(醫學大樓),"25.03459,121.38979",1.0,909.0,龜山分局,O,
公司,國立體育學院,E03-02-007,龜山區舊路里文化一路250號(國立體育學院),"25.03168,121.38769",1.0,190.0,龜山分局,O,
公司,私人公司,E03-04-008,龜山區文青里文化一路259-2號(聚德樓),"25.03454,121.39167",2.0,1299.0,龜山分局,O,
公司,國立體育學院,E03-05-009,龜山區舊路里文化一路250號(國立體育學院),"25.03487,121.38349",1.0,1510.0,龜山分局,,
公司,長庚大學,E03-06-010,龜山區文青里文化一路259號B棟(管理中心),"25.03486,121.38921",3.0,2876.0,龜山分局,,
公司,長庚大學,E03-07-011,龜山區文青里文化一路259號A棟(二醫),"25.035179,121.38796",3.0,5207.0,龜山分局,O,
公司,天田實業公司,E05-01-012,龜山區樂善里文明路21號(天田實業),"25.062732,121.375859",1.0,555.0,龜山分局,,
公司,鼎眾股份公司,E05-02-013,龜山區樂善里文化一路77號之1(鼎眾公司),"25.050709,121.381893",1.0,50.0,龜山分局,,
公司,私人公司,E05-03-014,龜山區樂善里文明路15號,"25.062865,121.374303",1.0,186.0,龜山分局,,
公司,台北酒廠,E05-04-015,龜山區樂善里文化一路55號,"25.056327,121.375197",1.0,343.0,龜山分局,O,
公司,南亞塑膠,E05-06-017,龜山區樂善里文明路6號(南亞塑膠),"25.061846,121.371706",1.0,352.0,龜山分局,O,
公司,台灣電力,E05-07-018,龜山區樂善里文化一路51號(台灣電力),,1.0,177.0,龜山分局,,機敏單位
公司,私人公司,E05-10-021,龜山區樂善里文化一路71號(秋雨實業),"25.052063,121.379700",1.0,1318.0,龜山分局,O,
大樓,私人公司,E05-11-022,龜山區文青里文青路339號(麗寶快樂家),"25.039547, 121.391439",3.0,610.0,龜山分局,O,
公司,私人公司,E06-02-023,龜山區舊路里振興路577號(中央造幣廠),"25.014026,121.359041",1.0,2852.0,龜山分局,,
大樓,私人公司,E08-01-024,龜山區長庚里長庚醫謢新村7號,"25.05901,121.382998",2.0,773.0,龜山分局,O,
大樓,長庚醫院,E08-02-025,龜山區長庚里長庚醫謢新村101號,"25.05966,121.38399",2.0,1776.0,龜山分局,O,
大樓,長庚醫院,E09-01-026,龜山區長庚里長庚醫謢新村60-80號,"25.058114,121.384647",2.0,218.0,龜山分局,O,
大樓,長庚醫院,E09-02-027,龜山區長庚里長庚醫謢新村62-64號,"25.059173,121.38495",2.0,294.0,龜山分局,O,
大樓,長庚醫院,E09-03-028,龜山區長庚里長庚醫謢新村82-84號,"25.05837,121.38507",2.0,577.0,龜山分局,O,
大樓,私人公司,E09-04-029,龜山區長庚里長庚醫謢新村141-147號,"25.05876,121.383395",2.0,795.0,龜山分局,O,
大樓,長庚醫院,E09-05-030,龜山區長庚里長庚醫謢新村102號之136,"25.057537,121.384339",2.0,236.0,龜山分局,O,
大樓,長庚醫院,E10-01-032,龜山區長庚里長庚醫謢新村86-90號,"25.05905,121.38510",2.0,250.0,龜山分局,O,
大樓,長庚醫院,E10-02-033,龜山區長庚里長庚醫謢新村329-331號,"25.058257,121.38799",2.0,493.0,龜山分局,O,
大樓,長庚醫院,E10-03-034,龜山區長庚里長庚醫謢新村2-12號,"25.06005,121.38675",2.0,500.0,龜山分局,O,
大樓,長庚小學,E10-04-035,龜山區長庚里長庚醫謢新村332-337號,"25.05784,121.38779",2.0,567.0,龜山分局,O,
公司,長庚大學,E11-01-036,龜山區長庚里長庚醫謢新村425號,"25.06092,121.38677",1.0,3470.0,龜山分局,O,
公司,長庚小學,E03-07-037,龜山區文青里文化一路259號,"25.036016,121.389773",3.0,567.0,龜山分局,O,
公司,長庚養生村,E11-02-038,龜山區長庚里長庚醫謢新村425號,"25.060950,121.387073",1.0,16686.0,龜山分局,O,
大樓,電子檢驗,E01-05-039,龜山區舊路里長青路7號(長庚養生村),"25.019169,121.370313",1.0,419.0,龜山分局,O,
公司,長庚養生村,E05-11-040,龜山區樂善里文明路29巷8號,"25.060364,121.381772",1.0,4997.0,龜山分局,O,
公司,國立體育大學,E01-06-041,龜山區舊路里長青路9號(長庚養生村),"25.020088,121.370261",3.0,136.0,龜山分局,O,
公司,芳彬建設有限公司,E05-12-042,龜山區舊路里文化一路250號,"25.031549,121.387711",0.0,330.0,龜山分局,O,
大樓,麗寶建設股份有限公司,E16-01-043,龜山區樂善里文德路80號,"25.057644,121.382318",2.0,9550.0,龜山分局,O,
公司,磐采股份有限公司,E16-10-045,龜山區樂善里文明路72-1號,"25.054628,121.379691",1.0,2277.0,龜山分局,,
公司,研華股份有限公司,E16-10-046,龜山區樂善里文德路27-3號,"25.057541,121.381854",3.0,2373.0,龜山分局,O,
公司,長庚國小,E17-01-047,龜山區長庚里長庚醫護新村425號,"25.06172,121.387121",0.0,567.0,龜山分局,O,
大樓,合康建設股份有限公司,E17-07-048,龜山區樂善里文康街107號,"25.053347,121.380854",3.0,724.0,龜山分局,O,
公司,長庚醫療財團法人,E17-01-049,龜山區樂善里文化一路15號,"25.062931,121.370316",2.0,3164.0,龜山分局,O,
公司,順達科技股份有限公司,E17-01-050,龜山區樂善里文禾路188號(順達科技),"25.051329,121.388397",3.0,2947.0,龜山分局,O,
大樓,仲城建設股份有限公司,E17-01-051,龜山區文青里文青路380號11樓(竹城宇治),"25.039407,121.392556",3.0,1025.0,龜山分局,O,
大樓,鴻築建設股份有限公司,E17-01-052,龜山區長庚里長慶三街28號十一樓之1(樂捷市),"25.055279,121.383567",3.0,2771.0,龜山分局,O,
公司,毅錩企業股份有限公司,E17-01-053,龜山區樂善里文工一路298巷13號,"25.050896,121.394128",1.0,337.0,龜山分局,O,
公司,私人公司,E17-01-054,龜山區樂善里文工一路298巷15號,"25.051261,121.394093",2.0,371.0,龜山分局,O,
公司,禾聯股份有限公司,E17-01-055,龜山區樂善里文信路289號(禾聯工地),"25.053420,121.390886",3.0,199.0,龜山分局,O,
大樓,竹城建設股份有限公司,E17-01-056,龜山區文青里文青路342號2樓(竹城明治),"25.039349,121.391255",3.0,1512.0,龜山分局,O,
公司,樂善國民小學,E17-01-057,龜山區樂善里樂安街71號(樂善國小),"25.052152,121.382765",1.0,835.0,龜山分局,O,
大樓,佳晟建設股份有限公司,E17-01-058,龜山區長庚里長慶二街105號(奇幻莊園),"25.055309,121.384345",4.0,1532.0,龜山分局,O,
大樓,和峻建設股份有限公司,E17-01-060,牛角坡路258號6樓之1(富御捷境),"25.044947,121.388338",4.0,1956.0,龜山分局,O,
大樓,鴻承建設股份有限公司,E17-01-061,龜山區樂善里樂善三路102號(根津苑),"25.047556,121.382592",4.0,1450.0,龜山分局,O,
大樓,寶國建築經理股份有限公司,E18-01-062,龜山區樂善里華亞三路39巷12號五樓之1(新潤鉑麗),"25.049001,121.381497",4.0,1761.0,龜山分局,O,
公司,致茂電子股份有限公司,E18-01-063,龜山區樂善里文茂路86號(致茂電子),"25.050355,121.389100",5.0,4074.0,龜山分局,O,
公司,和耀建設股份有限公司,E18-01-064,龜山區樂善里樂學路109號(耀台比),"25.051182,121.386036",4.0,1283.0,龜山分局,O,
大樓,僑馥建築經理股份有限公司,E18-01-065,龜山區樂善里樂學三路91號14樓之3(富宇敦峰),"25.051957,121.384130",3.0,2780.0,龜山分局,O,
大樓,鴻築建設股份有限公司,E18-01-066,龜山區樂善里樂善二路219號23樓(金捷市),"25.046658,121.383866",6.0,2931.0,龜山分局,O,
大樓,社區大樓,E17-01-067,龜山區文青里文化一路529號12樓之9(遠雄新未來),"25.041032,121.386024",5.0,5137.0,龜山分局,O,
大樓,隆陞建設有限公司,E18-01-068,龜山區文青里文青路198號(和煦隆陞),"25.040024,121.387718",2.0,629.0,龜山分局,O,
大樓,寶國建築經理股份有限公司,E17-01-069,龜山區樂善里華亞三路39巷37號5樓(新潤翡麗),"25.049228,121.381670",5.0,2029.0,龜山分局,O,
大樓,和發建設股份有限公司,E18-01-070,龜山區長庚里長慶一街45巷28號十一樓(台北國際村),"25.053705,121.384066",4.0,1416.0,龜山分局,O,
大樓,皇普建設股份有限公司,E22-01-071,龜山區樂善里文達路302號11樓(皇普MVP),"25.050764,121.385225",4.0,2009.0,龜山分局,O,
大樓,協勝建設股份有限公司,E22-01-072,龜山區長庚里樂學路476號七樓之2(玉子園),"25.053024,121.383254",3.0,1506.0,龜山分局,O,
大樓,竹城建設股份有限公司,E22-01-073,龜山區樂善里文化一路222號11樓(竹城甲子園),"25.047953,121.385041",4.0,7962.0,龜山分局,O,
公司,華辰企業股份有限公司,E22-01-074,龜山區樂善里文工一路220號5樓,"25.049139,121.393745",1.0,316.0,龜山分局,O,
大樓,鴻承建設股份有限公司,E22-01-075,龜山區樂善里華亞三路39巷68號七樓(水悅青青),"25.048458,121.382391",5.0,2190.0,龜山分局,O,
大樓,"佳晟建設股份有限公司
負責人：呂理國",E22-01-076,龜山區長庚里長慶二街123號六樓(樂田田),"25.055219,121.384904",4.0,1458.0,龜山分局,O,
大樓,僑馥建築經理股份有限公司,E22-01-077,龜山區樂善里牛角坡路117號6樓(頤昌豐岳),"25.044742,121.389121",4.0,1464.0,龜山分局,O,
大樓,鴻廣建設股份有限公司,E22-01-078,龜山區樂善里樂善二路538號十二樓(鴻廣A7),"25.046074,121.388345",4.0,2472.0,龜山分局,O,
公司,合眾建築經理股份有限公司,E22-01-079,龜山區樂善里文山街5號,"25.055924,121.379615",1.0,287.0,龜山分局,O,
大樓,遠雄建設事業股份有限公司,E22-02-080,龜山區樂善里樂善二路483號18樓(遠雄新未來2),"25.046262,121.391456",4.0,3141.0,龜山分局,O,
大樓,合謙建設股份有限公司,E22-02-081,龜山區樂善里牛角坡路171號二樓(合謙學),"25.044227,121.388250",4.0,950.0,龜山分局,O,
公司,長岡機電股份有限公司,E22-02-082,龜山區樂善里文工一路296號二樓,"25.050752,121.393872",1.0,370.0,龜山分局,O,
大樓,櫻花建設股份有限公司,E22-02-083,龜山區文青里文青二路98號(櫻花樹),"25.038535,121.388311",4.0,955.0,龜山分局,O,
大樓,和耀建設股份有限公司,E22-02-084,龜山區樂善里樂學路115號10樓(合耀恆美),"25.051755,121.386367",4.0,1886.0,龜山分局,O,
大樓,鴻築建設股份有限公司,E22-03-85,龜山區長庚里桃園市龜山區長庚里4鄰樂學路560號(鴻築鴻典),"25.054328,121.382906",4.0,1528.0,龜山分局,O,
公司,輝洋有限公司,E22-03-86,龜山區樂善里桃園市龜山區樂善里9鄰文工一路298巷25號2~5樓,"25.050990,121.393990",2.0,603.0,龜山分局,,
公司,中華郵政股份有限公司,E22-03-87,龜山區樂善里桃園市龜山區樂善里9鄰文信路288號,,1.0,22137.0,龜山分局,O,機敏單位
大樓,君悅建設有限公司,E22-03-88,龜山區樂善里桃園市龜山區樂善里4鄰文吉路146號(君邑-丘比特),"25.045143,121.393092",4.0,1417.0,龜山分局,O,
大樓,僑馥建築經理股份有限公司,E22-03-89,龜山區樂善里桃園市龜山區樂善里9鄰文桃路476巷18號(頤昌璞岳),"25.047676,121.392645",4.0,778.0,龜山分局,O,
大樓,和洲建設股份有限公司,E22-03-90,龜山區樂善里桃園市龜山區樂善里4鄰樂善二路818號(和州金剛),"25.045300,121.392764",4.0,1792.0,龜山分局,O,
大樓,興富發建設股份有限公司,E22-03-91,龜山區樂善里桃園市龜山區樂善里1鄰樂善三路97號13樓(興富發-華悅城),"25.047470,121.382835",4.0,4421.0,龜山分局,O,
公司,禾聯股份有限公司,E22-02-092,龜山區樂善里桃園市龜山區樂善里文禾路289號(禾聯總部),"25.052072,121.390301",3.0,4464.0,龜山分局,O,
民宅,私人公司,F06-01-003,桃園市龜山區頂興路62號,"24.989805,121.328358",1.0,41.0,龜山分局,O,
民宅,盛琦針織,F06-02-004,桃園市龜山區頂興路64巷2號,"24.988859,121.32863",1.0,18.0,龜山分局,O,
民宅,毅昌精密,F06-03-005,桃園市龜山區頂興路64巷9號,"24.988753, 121.329018",1.0,38.0,龜山分局,O,
民宅,台錦工業,F06-06-008,桃園市龜山區頂興路64巷7號,"24.989000, 121.328985",1.0,18.0,龜山分局,O,
大樓,私人公司,F08-01-009,桃園市龜山區明興街221巷30弄10號,"24.982690, 121.334259",1.0,2040.0,龜山分局,O,
大樓,許啟松,F08-02-010,桃園市龜山區明興街223號,"24.982767, 121.333523",1.0,416.0,龜山分局,O,
學校,幸福國小,F10-01-011,桃園市龜山區頂興路115巷20號,"24.989040, 121.330684",1.0,2095.0,龜山分局,O,
工廠,私人公司,F14-01-013,桃園市龜山區山鶯路340巷3號,"24.984071, 121.327797",1.0,31.0,龜山分局,O,
工廠,私人公司,F14-02-014,桃園市龜山區山鶯路338-1號,"24.984436, 121.328297",1.0,91.0,龜山分局,O,
工廠,私人公司,F14-05-017,桃園市龜山區山鶯路340巷1號,"24.984072, 121.327873",1.0,158.0,龜山分局,O,
工廠,私人公司,F14-06-018,桃園市龜山區山鶯路340巷5號,"24.984019, 121.327644",1.0,98.0,龜山分局,O,
住宅,私人公司,F14-07-019,桃園市龜山區華國新村1號,"24.981062, 121.330248",1.0,85.0,龜山分局,O,
工廠,私人公司,F14-08-020,桃園市龜山區山鶯路340巷8號,"24.984039, 121.327454",1.0,23.0,龜山分局,O,
工廠,私人公司,F14-09-021,桃園市龜山區山鶯路358號,"24.980771, 121.328953",1.0,45.0,龜山分局,O,
工廠,私人公司,F14-10-022,桃園市龜山區山鶯路中華巷2號,"24.984043, 121.330529",1.0,30.0,龜山分局,O,
工廠,私人公司,F14-13-025,桃園市龜山區興邦路29號,"24.985459, 121.322910",1.0,1759.0,龜山分局,O,
工廠,李洲企業股份有限公司龜山廠,F14-14-026,桃園市龜山區山鶯路348號,"24.983614, 121.328736",1.0,114.0,龜山分局,O,
工廠,九德電子,F14-16-028,桃園市龜山區山鶯路200-5號,"24.987000, 121.326174",1.0,5094.0,龜山分局,O,
工廠,私人公司,F14-17-029,桃園市龜山區興業路2號,"24.987173, 121.327269",1.0,1234.0,龜山分局,O,
工廠,承晉工業,F14-18-030,桃園市龜山區山鶯路中華巷1號,"24.984406, 121.330886",1.0,80.0,龜山分局,O,
工廠,定穎電子,F14-19-031,桃園市龜山區山鶯路356號,"24.981360, 121.329355",1.0,495.0,龜山分局,O,
工廠,私人公司,F14-20-032,桃園市龜山區山鶯路173號,"24.983669, 121.331366",1.0,43.0,龜山分局,O,
工廠,私人公司,F14-21-033,桃園市龜山區山鶯路179號,"24.981920, 121.330651",2.0,625.0,龜山分局,O,
工廠,私人公司,F14-22-034,桃園市龜山區山鶯路177號,"24.981967, 121.330428",2.0,4281.0,龜山分局,O,
工廠,私人公司,F14-23-035,桃園市龜山區山鶯路130巷5號,"24.988961, 121.323846",1.0,211.0,龜山分局,O,
工廠,私人公司,F14-24-036,桃園市龜山區山鶯路252號,"24.985507, 121.326508",3.0,4772.0,龜山分局,O,
工廠,私人公司,F14-25-037,桃園市龜山區興業街1號,"24.987777, 121.326843",3.0,5027.0,龜山分局,O,
大樓,私人公司,F14-26-038,桃園市龜山區中興路17巷11號,"24.987472, 121.329491",1.0,927.0,龜山分局,O,
工廠,私人公司,F14-27-039,桃園市龜山區興業街5號,"24.988167, 121.328656",2.0,961.0,龜山分局,O,
工廠,私人公司,F14-28-040,桃園市龜山區山鶯路252號,"24.985507, 121.326508",3.0,4772.0,龜山分局,O,
工廠,私人公司,F14-29-041,桃園市龜山區山鶯路175號,"24.982294,121.329949",2.0,3420.0,龜山分局,O,
大樓,社區大樓,F14-30-042,桃園市龜山區中興路17巷11號,"24.987472, 121.329491",1.0,431.0,龜山分局,O,
工廠,私人公司,F14-31-043,桃園市龜山區山鶯路252號,"24.985507, 121.326508",3.0,4772.0,龜山分局,O,
工廠,明基電通股份有限公司,F14-32-044,桃園市龜山區興業街1號,"24.987777, 121.326843",3.0,5832.0,龜山分局,O,
大樓,私人公司,F16-01-045,桃園市龜山區中興路168號,"24.989739, 121.332754",1.0,1047.0,龜山分局,O,
大樓,私人公司,F16-02-046,桃園市龜山區中興路186號,"24.990350, 121.333483",1.0,1406.0,龜山分局,O,
民宅,永億冷氣空調,F16-03-047,桃園市龜山區自強南路763號,"24.992741, 121.332563",1.0,38.0,龜山分局,O,
大樓,桃園市立圖書館龜山分館,F16-04-048,桃園市龜山區自強南路97號,"24.992299, 121.338714",1.0,1046.0,龜山分局,O,
大樓,私人公司,F16-05-049,桃園市龜山區中興路173號,"24.990023, 121.332885",1.0,1283.0,龜山分局,O,
大樓,成功工商,F17-01-050,桃園市龜山區明德路162巷100號,"24.989021, 121.341206",1.0,504.0,龜山分局,O,
大樓,寶佳建設(股)公司,F18-04-054,桃園市龜山區萬壽路2段1190號,"24.993772, 121.331606",2.0,532.0,龜山分局,O,
民宅,私人公司,F19-02-056,桃園市龜山區三民路10號,"24.993447, 121.325442",1.0,135.0,龜山分局,O,
學校,桃園縣立幸福國中,F03-01-058,桃園市龜山區中興路100巷20號,"24.988133, 121.331769",1.0,477.0,龜山分局,O,
學校,桃園縣立幸福國中,F03-02-059,桃園市龜山區中興路100巷20號,"24.988133, 121.331769",1.0,393.0,龜山分局,O,
大樓,嘉璟建設股份有限公司,F14-34-061,桃園市龜山區建國東路31號,"24.986191,121.318453",2.0,5307.0,龜山分局,O,
大樓,佳泰建設股份有限公司,F14-04-062,桃園市龜山區中興路35號,"24.987641, 121.330479",2.0,2283.0,龜山分局,O,
工廠,迪吉亞節能科技股份有限公司,F14-36-063,桃園市龜山區興業街6號,"24.987727, 121.328147",1.0,2472.0,龜山分局,O,
大樓,傅佳建設股份有限公司,F14-37-064,桃園市龜山區中興路52號,"24.987293, 121.331088",3.0,2295.0,龜山分局,O,
大樓,正鉅建設股份有限公司,F24-01-065,桃園市龜山區明德路152號,"24.992477, 121.340476",2.0,787.0,龜山分局,O,
工廠,僑馥建築經理股份有限公司,F19-04-066,桃園市龜山區民生街6號,"24.994492, 121.325402",3.0,1932.0,龜山分局,O,
工廠,穩懋半導體股份有限公司,F14-38-067,桃園市龜山區山鶯路200-5號,"24.987000, 121.326174",1.0,2127.0,龜山分局,O,
工廠,台達電子工業股份有限公司,F14-39-068,桃園市龜山區山鶯路268號6樓,"24.985980, 121.327383",2.0,4666.0,龜山分局,O,
大樓,法務部矯正署台北監獄,F14-40-069,桃園市龜山區宏德新村2號,"24.980409, 121.332342",1.0,1322.0,龜山分局,O,
大樓,合眾建築經理股份有限公司,F13-02-70,桃園市龜山區萬壽路二段1261號7樓,"24.993045, 121.328660",3.0,1656.0,龜山分局,O,
大樓,全國農業股份有公司,F13-02-71,桃園市龜山區幸福七街16-2號3樓,"24.987101, 121.335439",2.0,1142.0,龜山分局,O,
大樓,臺億建築經理股份有限公司,F22-14-72,桃園市龜山區萬壽路二段1202號,"24.994247, 121.331361",3.0,918.0,龜山分局,O,
大樓,全國農業金庫份有限公司,F12-56-73,桃園市龜山區幸福七街20號,"24.987101, 121.335439",2.0,864.0,龜山分局,O,
大樓,僑馥建築經理股份有限公司,F21-01-74,桃園市龜山區萬壽路二段1439號,"24.992232, 121.323998",2.0,1429.0,龜山分局,O,
工廠,欣興電子股份有限公司,F13-14-75,桃園市龜山區山鶯路169-2號,"24.985361, 121.3294908",1.0,171.0,龜山分局,O,
工廠,欣興電子股份有限公司,F11-01-76,桃園市龜山區山鶯路169號,"24.985361, 121.3294908",1.0,854.0,龜山分局,O,
大樓,昇捷建設股份有限公司,F11-12-77,桃園市龜山區中興路166-6號二樓,"24.989351, 121.333211",1.0,812.0,龜山分局,O,
公家機關,桃園市政府警察局龜山分局,F13-14-78,桃園市龜山區自強南路123號,,1.0,667.0,龜山分局,O,機敏單位
公寓,浴成建設,G04-01-001,桃園市龜山區復興二路17號,"25.053565,121.371870",2.0,978.0,龜山分局,,
大樓,台灣中小企業銀行,G08-01-002,桃園市龜山區科技三路88號,,3.0,3081.0,龜山分局,O,機敏單位
公寓,佳洋建設,G07-01-004,桃園市龜山區復興二路131巷72號,"25.055473,121.375109",1.0,165.0,龜山分局,,
公寓,德榮建設,G01-01-005,桃園市龜山區文化一路10巷20號,"25.059389,121.370566",1.0,1152.0,龜山分局,O,
公寓,鉅力建設,G05-01-006,桃園市龜山區復興二路75巷11號,"25.05524,121.373394",1.0,237.0,龜山分局,O,
公寓,鉅力建設,G01-02-007,桃園市龜山區復興北路52號,"25.058524,121.369830",1.0,355.0,龜山分局,O,
公寓,私人公司,G01-03-008,桃園市龜山區文昌五街130號,"25.057656,121.372669",1.0,252.0,龜山分局,,
公寓,私人公司,G02-01-010,桃園市龜山區文昌一街47巷7-9號,"25.058070,121.367845",1.0,356.0,龜山分局,,
公寓,九鼎建設,G03-02-011,桃園市龜山區文昌二街21巷15-21號,"25.056197,121.368415",1.0,145.0,龜山分局,O,
公寓,私人公司,G02-02-013,桃園市龜山區文昌一街3號,"25.057315,121.367417",1.0,1095.0,龜山分局,O,
公寓,私人公司,G04-04-014,桃園市龜山區文昌一街88號,"25.057797,121.369450",1.0,328.0,龜山分局,,
公寓,川弘建設,G07-01-015,桃園市龜山區復興南路106巷37號,"25.054706,121.374907",1.0,96.0,龜山分局,O,
大樓,私人公司,G08-02-016,桃園市龜山區文化二路215號,"25.048772,121.376454",1.0,4845.0,龜山分局,O,
大樓,神達電腦,G08-03-017,桃園市龜山區文化二路200號,"25.047891,121.375484",2.0,9304.0,龜山分局,O,
大樓,岳捷股份,G08-04-018,桃園市龜山區復興三路568號,"25.039685,121.372178",1.0,1643.0,龜山分局,O,
大樓,私人公司,G08-05-020,桃園市龜山區華亞二路358號,"25.041254,121.374655",1.0,3330.0,龜山分局,O,
大樓,神腦國際,G08-06-021,桃園市龜山區復興三路500號,"25.043029,121.369965",3.0,2349.0,龜山分局,O,
大樓,私人公司,G08-07-022,桃園市龜山區復興三路669號,"25.038138,121.373938",1.0,3261.0,龜山分局,O,
大樓,南亞科技,G08-08-023,桃園市龜山區復興三路669號,"25.038138,121.373938",1.0,1338.0,龜山分局,O,
大樓,私人公司,G08-09-024,桃園市龜山區復興三路558號,"25.040199,121.371990",2.0,1780.0,龜山分局,O,
公寓,私人公司,G07-02-025,桃園市龜山區復興南路106巷6號,"25.054127,121.374546",2.0,446.0,龜山分局,O,
公寓,耀揚建設,G06-01-026,桃園市龜山區復興二路9巷7弄22號,"25.053394,121.372616",2.0,367.0,龜山分局,O,
公寓,亞航建設,G01-04-027,桃園市龜山區復興二路78巷6號,"25.056681,121.371937",2.0,756.0,龜山分局,O,
大樓,大世紀塗料,G08-10-029,桃園市龜山區華亞一路40號,"25.043015,121.371991",1.0,2751.0,龜山分局,O,
大樓,私人公司,G08-11-030,桃園市龜山區華亞二路358號,"25.041254,121.374655",1.0,2081.0,龜山分局,O,
大樓,私人公司,G08-12-031,桃園市龜山區文化二路188號,"25.049126,121.374364",1.0,7842.0,龜山分局,O,
大樓,致茂電子,G08-13-032,桃園市龜山區華亞一路66號,"25.040761,121.373014",2.0,6432.0,龜山分局,O,
大樓,廣達電腦,G08-14-033,桃園市龜山區文化二路188號,"25.049126,121.374364",2.0,1595.0,龜山分局,O,
大樓,聯友電機,G08-15-034,桃園市龜山區科技七路39號,"25.042101,121.375090",1.0,339.0,龜山分局,O,
大樓,鈺德科技,G08-16-035,桃園市龜山區華亞二路222號,"25.046905,121.374818",1.0,7680.0,龜山分局,O,
大樓,神達電腦,G08-17-036,桃園市龜山區華亞二路268號,"25.044288,121.373819",1.0,18620.0,龜山分局,O,
大樓,私人公司,G08-18-037,桃園市龜山區文化二路202號,"25.048161,121.375803",2.0,347.0,龜山分局,O,
大樓,私人公司,G08-19-038,桃園市龜山區科技六路60號,"25.043909,121.375115",2.0,1610.0,龜山分局,O,
大樓,私人公司,G08-20-039,桃園市龜山區科技七路35號,"25.041409,121.374814",1.0,244.0,龜山分局,O,
大樓,元成機械,G08-21-040,桃園市龜山區華亞一路38號,"25.044002,121.371889",1.0,934.0,龜山分局,,
大樓,精碟科技,G08-22-041,桃園市龜山區華亞二路270號,"25.043017,121.373689",1.0,5007.0,龜山分局,O,
大樓,浩瀚數位,G08-23-042,桃園市龜山區科技三路80號,"25.051343,121.375442",1.0,4962.0,龜山分局,O,
大樓,致茂電子,G08-24-043,桃園市龜山區華亞一路66號,"25.040761,121.373014",2.0,1045.0,龜山分局,O,
公寓,私人公司,G01-05-046,桃園市龜山區文化一路10巷42弄20號,"25.059376,121.369918",1.0,279.0,龜山分局,,
公寓,德榮建設,G01-05-047,桃園市龜山區文化一路10巷41弄3號,"25.058865,121.370419",1.0,225.0,龜山分局,O,
公寓,私人公司,G06-02-048,桃園市龜山區復興二路35號,"25.054686,121.372649",1.0,2441.0,龜山分局,O,
公寓,長山林企業,G02-04-049,桃園市龜山區復興一路108巷1號,"25.059182,121.367897",2.0,377.0,龜山分局,,
公寓,私人公司,G07-03-050,桃園市龜山區復興二路75巷20弄3號,"25.055283,121.373895",1.0,195.0,龜山分局,O,
工廠,私人公司,G30-08-058,桃園市龜山區頂湖路20-2號,"25.044638,121.360410",2.0,444.0,龜山分局,,
工廠,私人公司,G30-09-059,桃園市龜山區頂湖路47號,"25.039943,121.364923",1.0,427.0,龜山分局,,
工廠,私人公司,G30-10-060,桃園市龜山區頂湖5街18號,"25.048565,121.364389",1.0,445.0,龜山分局,,
工廠,私人公司,G30-11-061,桃園市龜山區頂湖路29號,"25.042975,121.361942",1.0,333.0,龜山分局,,
工廠,私人公司,G30-14-064,桃園市龜山區頂湖路50-3號,"25.041641,121.362865",1.0,426.0,龜山分局,,
工廠,私人公司,G30-17-067,桃園市龜山區頂湖路9號,"25.046742,121.360417",1.0,383.0,龜山分局,,
大樓,聲寶公司,G30-22-072,桃園市龜山區頂湖路26號,"25.045002,121.361409",2.0,1061.0,龜山分局,,
工廠,私人公司,G30-24-074,桃園市龜山區頂湖一街24號,"25.045425,121.364464",1.0,336.0,龜山分局,,
工廠,私人公司,G30-29-079,桃園市龜山區頂湖一街6號,"25.048609,121.362067",1.0,113.0,龜山分局,,
工廠,大興鍍金,G30-33-083,"桃園市龜山區頂湖路30號
(頂湖二街66巷2號)","25.042236,121.362214",1.0,211.0,龜山分局,,
工廠,大興鍍金,G30-34-084,"桃園市龜山區頂湖路50-6號
(頂湖二街66巷2號)","25.041641,121.362865",1.0,50.0,龜山分局,,
工廠,私人公司,G30-42-092,桃園市龜山區頂湖路64-7號,"25.036664,121.365148",1.0,80.0,龜山分局,,
工廠,私人公司,G30-43-093,桃園市龜山區頂湖9街11號,"25.048056,121.360213",1.0,211.0,龜山分局,,
工廠,私人公司,G30-45-095,桃園市龜山區頂湖路62號,"25.038600,121.364323",1.0,82.0,龜山分局,,
工廠,私人公司,G30-49-099,桃園市龜山區頂湖路50號,"25.041641,121.362865",1.0,75.0,龜山分局,,
工廠,私人公司,G30-50-100,桃園市龜山區頂湖路16號,"25.044209,121.360604",1.0,2803.0,龜山分局,,
工廠,私人公司,G30-55-105,桃園市龜山區頂湖五街12巷3號,"25.040917,121.365017",1.0,138.0,龜山分局,,
工廠,私人公司,G30-59-109,桃園市龜山區頂湖一街49號,"25.048118,121.365455",1.0,475.0,龜山分局,,
工廠,私人公司,G30-61-111,桃園市龜山區頂湖路58號,"25.040000,121.363667",1.0,4858.0,龜山分局,,
公寓,三廣建設公司,G18-01-112,桃園市龜山區文化七路182巷29號,"25.050121,121.368602",1.0,347.0,龜山分局,,
