類別,電腦編號,里別,地址,地下樓層數,可容納人數,備註
"東展興業 ",ORA00083,明和里,臺南市山上區明和里16鄰北勢洲98號,1.0,125人,"23.110887,120.339056"
"東展興業 ",ORA00084,明和里,臺南市山上區明和里16鄰北勢洲98號,1.0,92人,"23.110887,120.339056"
"東展興業 ",ORA00085,明和里,臺南市山上區明和里16鄰北勢洲98號,1.0,73人,"23.110887,120.339056"
左鎮圖書館,ORA00087,中正里,臺南市左鎮區中正里5鄰中正176號之19,1.0,48人,"23.056394,120.408727"
歸仁市場,OPA00001,許厝里,臺南市歸仁區許厝里7鄰和平南街9號,1.0,4916人,"22.966145,120.296446"
"新豐高中 ",OPA00002,歸仁里,臺南市歸仁區歸仁里1鄰中正北路一段148號,1.0,212人,"22.971993,120.295527"
"歸仁區圖書館 ",OPA00003,歸仁里,臺南市歸仁區歸仁里1鄰大德路127號,1.0,252人,"22.971948,120.297439"
"歸仁國中 ",OPA00004,文化里,臺南市歸仁區文化里1鄰文化街二段2號,1.0,92人,"22.969901,120.293892"
"歸南國小 ",OPA00006,辜厝里,臺南市歸仁區辜厝里10鄰民權南路171號,1.0,312人,"22.964456,120.288178"
"歸仁區公所 ",OPA00007,後市里,臺南市歸仁區後市里6鄰中山路二段2號,1.0,864人,"22.967227,120.293961"
正光大樓(公寓),OPA00010,後市里,臺南市歸仁區後市里10鄰民族北街51號,1.0,696人,"22.968298,120.292134"
歸仁地政事務所(舊),OPA00011,後市里,臺南市歸仁區辜厝里1鄰中山路二段1號,1.0,64人,"22.966477,120.293906"
達仁外骨科,OPA00013,後市里,臺南市歸仁區後市里6鄰中山路二段24號,1.0,164人,"22.966971,120.293263"
自來水服務所,OPA00014,後市里,臺南市歸仁區後市里6鄰中山路二段6號,1.0,76人,"22.966929,120.293651"
美國大樓(公寓),OPA00015,文化里,臺南市歸仁區文化里13鄰大德路253號,2.0,3092人,"22.973468,120.289094"
狀元第(公寓),OPA00016,歸仁里,臺南市歸仁區歸仁里7鄰信義北路90號,1.0,1872人,"22.969104,120.297811"
藝墅(公寓),OPA00017,後市里,臺南市歸仁區後市里11鄰文化街二段53巷3號,1.0,252人,"22.969355,120.292041"
歸仁文化中心,OPA00018,許厝里,臺南市歸仁區許厝里4鄰信義南路78號,1.0,3856人,"22.964003,120.298029"
三星科技公司,OPA00019,南興里,臺南市歸仁區南興里16鄰中山路三段355號,1.0,144人,"22.967251,120.278981"
遠大塑膠公司,OPA00020,南興里,臺南市歸仁區南興里16鄰中山路三段365號,1.0,116人,"22.968088,120.278229"
臺南企業,OPA00021,南興里,臺南市歸仁區南興里15鄰中山路三段320號,1.0,208人,"22.968665,120.28018"
