類別,電腦編號,村里別,地址,緯經度,避難樓層,可容納人數,轄管分局,備註
一般住宅,COA00106,溪心里,臺南市安南區溪心里19鄰安中路三段246號,"23.048379,120.178957",B01,51.0,第三分局,
一般住宅,COA00107,溪心里,臺南市安南區溪心里19鄰安中路三段242號,"23.048344,120.179039",B01,50.0,第三分局,
一般住宅,COA00108,溪心里,臺南市安南區溪心里19鄰安中路三段244號,"23.048344,120.179039",B01,51.0,第三分局,
一般住宅,COA00109,溪心里,臺南市安南區溪心里19鄰安中路三段240號,"23.048338,120.179086",B01,51.0,第三分局,
一般住宅,COA00115,淵中里,臺南市安南區淵中里17鄰安中路三段281號,"23.048376,120.177484",B01,61.0,第三分局,
公有,COA00116,淵中里,臺南市安南區淵中里1鄰安中路三段381號,"23.049022,120.174806",B01,334.0,第三分局,
一般住宅,COA00120,州南里,臺南市安南區州南里2鄰安和路四段533巷85弄11號,"23.060596,120.217198",B01,43.0,第三分局,
供公眾使用,COA00122,州南里,臺南市安南區州南里20鄰安和路四段538巷81號,"23.060879,120.220147",B01,156.0,第三分局,
公有,COA00126,州南里,臺南市安南區州南里13鄰長和路二段74號,"23.064129,120.222343",B01,415.0,第三分局,
公有,COA00127,州南里,臺南市安南區州南里13鄰長和路二段74號,"23.064129,120.222343",B01,486.0,第三分局,
公有,COA00128,州南里,臺南市安南區州南里13鄰長和路二段74號,"23.064129,120.222343",B01,515.0,第三分局,
供公眾使用,COA00129,州南里,臺南市安南區州南里13鄰長和路二段12巷28號,"23.064558,120.224774",B01,193.0,第三分局,
公有,COA00130,州南里,臺南市安南區州南里13鄰長和路二段74號,"23.064129,120.222343",B01,417.0,第三分局,
一般住宅,COA00131,州南里,臺南市安南區州南里16鄰安和路四段516號,"23.06128,120.218858",B01,44.0,第三分局,
一般住宅,COA00133,州南里,臺南市安南區州南里16鄰安和路四段518號,"23.061322,120.218855",B01,30.0,第三分局,
一般住宅,COA00134,州南里,臺南市安南區州南里1鄰安和路四段316號,"23.057459,120.218791",B01,56.0,第三分局,
一般住宅,COA00135,州南里,臺南市安南區州南里11鄰安和路四段544號,"23.06173,120.218858",B01,47.0,第三分局,
一般住宅,COA00136,州南里,臺南市安南區州南里11鄰安和路四段544之1號,"23.06173,120.218858",B01,51.0,第三分局,
一般住宅,COA00137,州南里,臺南市安南區州南里11鄰安和路四段542號,"23.061686,120.218849",B01,44.0,第三分局,
一般住宅,COA00138,州南里,臺南市安南區州南里10鄰安和路五段84巷16弄10號,"23.064699,120.21898",B01,216.0,第三分局,
公有,COA00142,安順里,臺南市安南區安順里12鄰安和路三段193號,"23.048596,120.217427",B01,222.0,第三分局,
公有,COA00143,安順里,臺南市安南區安順里12鄰安和路三段227號,"23.049557,120.218222",B01,274.0,第三分局,
公有,COA00144,安順里,臺南市安南區安順里12鄰安和路三段227號,"23.049557,120.218222",B01,135.0,第三分局,
一般住宅,COA00150,安順里,臺南市安南區安順里12鄰安和路四段36巷59號,"23.051428,120.220828",B01,127.0,第三分局,
供公眾使用,COA00151,安順里,臺南市安南區安順里17鄰開安三街34號,"23.047695,120.225235",B01,266.0,第三分局,
公有,COA00152,安順里,臺南市安南區安順里12鄰安和路三段193號,"23.048596,120.217427",B01,157.0,第三分局,
公有,COA00153,安順里,臺南市安南區安順里12鄰安和路三段227號,"23.049557,120.218222",B01,5717.0,第三分局,
一般住宅,COA00154,安順里,臺南市安南區安順里12鄰安和路四段36巷112號,"23.050823,120.222021",B01,38.0,第三分局,
供公眾使用,COA00155,安順里,臺南市安南區安順里12鄰安和路四段36巷110號,"23.050739,120.221767",B01,88.0,第三分局,
公有,COA00160,安順里,臺南市安南區安順里12鄰安和路三段227號,"23.049557,120.218222",B01,140.0,第三分局,
公有,COA00168,安順里,臺南市安南區安順里12鄰安和路三段227號,"23.049557,120.218222",B01,166.0,第三分局,
公有,COA00169,安順里,臺南市安南區安順里12鄰安和路三段193號,"23.048596,120.217427",B01,84.0,第三分局,
一般住宅,COA00170,州北里,臺南市安南區州北里20鄰安和路五段254號,"23.067709,120.217134",B01,50.0,第三分局,
一般住宅,COA00171,州北里,臺南市安南區州北里20鄰安和路五段262號,"23.067851,120.217065",B01,50.0,第三分局,
一般住宅,COA00172,州北里,臺南市安南區州北里13鄰安和路五段159號,"23.066095,120.217786",B01,28.0,第三分局,
一般住宅,COA00173,州北里,臺南市安南區州北里7鄰安和路五段336巷5弄46號,"23.070767,120.216403",B01,26.0,第三分局,
公有,COA00174,州北里,臺南市安南區州北里14鄰安和路五段178巷5號,"23.066628,120.21839",B01,604.0,第三分局,
一般住宅,COA00175,州北里,臺南市安南區州北里22鄰安和路五段315號,"23.06884,120.216122",B01,42.0,第三分局,
