類別,電腦編號,地址,緯經度,地下樓層數,分配容量,轄管分局,備註,placemark_address
一般住宅,KNA00041,南投市營北里中學西路55號,"23.946669, 120.692191",1,346.0,中興分局,,南投市營北里中學西路55號
福龍宮,KNA00042,南投市營北里向上路217號,"23.952391, 120.683485",1,312.0,中興分局,,南投市營北里向上路217號
營北國中,KNA00043,南投市營北里向上路2號,"23.952363, 120.687481",1,266.0,中興分局,,南投市營北里向上路2號
營北國中,KNA00044,南投市營北里向上路2號,"23.952363, 120.687481",1,692.0,中興分局,,南投市營北里向上路2號
中科管理局,KNA00002,南投市內興里中興路201號,"23.934987, 120.694677",1,238.0,中興分局,,南投市內興里中興路201號
交通部公路總局中部訓練中心,KNA00003,南投市內興里光明一路300號,"23.935354, 120.700917",1,1336.0,中興分局,,南投市內興里光明一路300號
主計處中部辦公室,KNA00004,南投市光明里光明路25號,"23.938742, 120.698746",1,365.0,中興分局,,南投市光明里光明路25號
中科管理局,KNA00007,南投市光明里光榮東路二街4號,"23.944812, 120.698539",1,1948.0,中興分局,,南投市光明里光榮東路二街4號
光明派出所,KNA00008,南投市光明里光明路35號,"23.939069, 120.697656",1,113.0,中興分局,,南投市光明里光明路35號
光明郵局,KNA00011,南投市光明里中正路648號,"23.939674, 120.697441",1,108.0,中興分局,,南投市光明里中正路648號
國家發展委員會,KNA00016,南投市光明里光榮東路二街10號之1,"23.944811, 120.698963",1,674.0,中興分局,,南投市光明里光榮東路二街10號之1
國家發展委員會,KNA00020,南投市光明里光榮東路二街18號,"23.946131, 120.699581",1,553.0,中興分局,,南投市光明里光榮東路二街18號
社區管理委員會,KNA00021,南投市內興里南新路159巷1號,"23.931874, 120.699445",1,726.0,中興分局,,南投市內興里南新路159巷1號
中科管理局,KNA00022,南投市光明里光明路27號,"23.938899, 120.698508",1,954.0,中興分局,,南投市光明里光明路27號
文獻委員會,KNA00024,南投市內興里光明一路256號,"23.936205, 120.700907",1,284.0,中興分局,,南投市內興里光明一路256號
德興國小,KNA00030,南投市內興里中興路200號,"23.932289, 120.693930",1,284.0,中興分局,,南投市內興里中興路200號
中興國中,KNA00035,南投市內興里中興路309號,"23.919845, 120.696214",1,833.0,中興分局,,南投市內興里中興路309號
集合式住宅,KNA00036,南投市內興里中興路182巷32號,"23.937710, 120.693586",1,936.0,中興分局,,南投市內興里中興路182巷32號
集合式住宅,KNA00037,南投市內興里中興路182巷26號2樓之11,"23.937456, 120.693608",1,655.0,中興分局,,南投市內興里中興路182巷26號2樓之11
集合式住宅,KNA00027,南投市內興里南新路360號一樓之2,"23.928484, 120.699312",1,224.0,中興分局,,南投市內興里南新路360號一樓之2
光復國小,KNA00038,南投市內興里光明一路67號,"23.941974, 120.702511",1,396.0,中興分局,,南投市內興里光明一路67號
國家發展委員會,KNA00039,南投市光明里光榮東路二街4巷1號,"23.944472, 120.701936",1,269.0,中興分局,,南投市光明里光榮東路二街4巷1號
公務人力發展學院,KNA00040,南投市光明里光明路1號,"23.937508, 120.703507",2,3485.0,中興分局,,南投市光明里光明路1號
營盤國小,KNA00034,南投市營南里營盤路136號,"23.944850, 120.675271",1,428.0,中興分局,,南投市營南里營盤路136號
一般住宅,KQA00056,南投縣埔里鎮北門里中山路2段289號,"23.965693, 120.968894",1,2893.0,埔里分局,,南投縣埔里鎮北門里中山路2段289號
一般住宅,KQA00070,南投縣埔里鎮北門里北環路2段90號,"23.965798, 120.973549",1,136.0,埔里分局,,南投縣埔里鎮北門里北環路2段90號
一般住宅,KQA00020,南投縣埔里鎮北門里中山路2段294號,"23.965878, 120.968124",1,132.0,埔里分局,,南投縣埔里鎮北門里中山路2段294號
飯店,KQA00037,南投縣埔里鎮南門里中山路2段399號,"23.964233, 120.965463",1,3762.0,埔里分局,,南投縣埔里鎮南門里中山路2段399號
飯店,KQA00045,南投縣埔里鎮南門里西安路1段89號,"23.965478, 120.965601",2,905.0,埔里分局,,南投縣埔里鎮南門里西安路1段89號
一般住宅,KQA00053,南投縣埔里鎮薰化里南興街415號,"23.966683, 120.960981",1,33.0,埔里分局,,南投縣埔里鎮薰化里南興街415號
一般住宅,KQA00052,南投縣埔里鎮薰化里中山一路50號之1,"23.966478, 120.960886",1,58.0,埔里分局,,南投縣埔里鎮薰化里中山一路50號之1
一般住宅,KQA00054,南投縣埔里鎮薰化里南興街417號,"23.966753, 120.961059",1,33.0,埔里分局,,南投縣埔里鎮薰化里南興街417號
一般住宅,KQA00055,南投縣埔里鎮薰化里南興街419號,"23.966727, 120.960999",1,33.0,埔里分局,,南投縣埔里鎮薰化里南興街419號
一般住宅,KQA00058,南投縣埔里鎮薰化里南興街2段413號,"23.965696, 120.962373",1,58.0,埔里分局,,南投縣埔里鎮薰化里南興街2段413號
金鶯山建設,KQA00089,南投縣埔里鎮杷城里東興二街36號,"23.957468, 120.971036",1,497.0,埔里分局,,南投縣埔里鎮杷城里東興二街36號
一般住宅,KQA00079,南投縣埔里鎮東門里中正路399號,"23.964915, 120.967919",1,138.0,埔里分局,,南投縣埔里鎮東門里中正路399號
一般住宅,KQA00084,南投縣埔里鎮東門里中正路369號,"23.964184, 120.968615",1,1130.0,埔里分局,,南投縣埔里鎮東門里中正路369號
郵政總局,KQA00087,南投縣埔里鎮西門里南昌街284號,"23.967943, 120.962290",1,1478.0,埔里分局,,南投縣埔里鎮西門里南昌街284號
一般住宅,KQA00017,南投縣埔里鎮枇杷里東興三街266號,"23.957763, 120.976510",1,87.0,埔里分局,,南投縣埔里鎮枇杷里東興三街266號
中華電信線路中心,KQA00033,南投縣埔里鎮北安里六合路177號,"23.970373, 120.971531",1,568.0,埔里分局,,南投縣埔里鎮北安里六合路177號
中興保全,KQA00023,南投縣埔里鎮北安里中華路211號,"23.970485, 120.972594",1,1289.0,埔里分局,,南投縣埔里鎮北安里中華路211號
一般住宅,KQA00073,南投縣埔里鎮北安里北安路70號,"23.969950, 120.971814",1,613.0,埔里分局,,南投縣埔里鎮北安里北安路70號
公賣局埔里配銷所,KQA00030,南投縣埔里鎮北安里北安路61號,"23.969546, 120.971700",1,655.0,埔里分局,,南投縣埔里鎮北安里北安路61號
一般住宅,KQA00097,南投縣埔里鎮北梅里中華路261巷11號,"23.971952, 120.971357",1,2392.0,埔里分局,,南投縣埔里鎮北梅里中華路261巷11號
日茂證劵,KQA00061,南投縣埔里鎮北梅里西安路1段299號,"23.972713, 120.969950",1,587.0,埔里分局,,南投縣埔里鎮北梅里西安路1段299號
郵局,KQA00032,南投縣埔里鎮北安里和平東路490號,"23.971861, 120.976853",1,106.0,埔里分局,,南投縣埔里鎮北安里和平東路490號
埔里高工,KQA00022,南投縣埔里鎮枇杷里中山路1段435號,"23.972174, 120.977725",1,667.0,埔里分局,,南投縣埔里鎮枇杷里中山路1段435號
埔里高工,KQA00096,南投縣埔里鎮枇杷里中山路1段435號,"23.972174, 120.977725",1,501.0,埔里分局,,南投縣埔里鎮枇杷里中山路1段435號
埔里高工,KQA00107,南投縣埔里鎮枇杷里中山路1段435號,"23.972174, 120.977725",1,1424.0,埔里分局,,南投縣埔里鎮枇杷里中山路1段435號
埔里高工,KQA00019,南投縣埔里鎮枇杷里中山路1段436號,"23.972922, 120.978048",1,1358.0,埔里分局,,南投縣埔里鎮枇杷里中山路1段436號
殘障大樓,KQA00106,南投縣埔里鎮北梅里八德路179號,"23.971586, 120.967423",1,2852.0,埔里分局,,南投縣埔里鎮北梅里八德路179號
一般住宅,KQA00111,南投縣埔里鎮枇杷里樹人三街137巷6號,"23.963083, 120.977020",2,3331.0,埔里分局,,南投縣埔里鎮枇杷里樹人三街137巷6號
農田水利會福興站,KQA00025,南投縣埔里鎮北安里六合路141號,"23.970859, 120.973090",1,65.0,埔里分局,,南投縣埔里鎮北安里六合路141號
一般住宅,KQA00092,南投縣埔里鎮蜈蚣里鯉魚路37號,"23.958414, 120.999718",1,1302.0,埔里分局,,南投縣埔里鎮蜈蚣里鯉魚路37號
藝文中心,KQA00057,南投縣埔里鎮北安里中華路239號,"23.971438, 120.972260",1,973.0,埔里分局,,南投縣埔里鎮北安里中華路239號
中華電信愛蘭機房,KQA00065,南投縣埔里鎮鐵山里鐵山路23號,"23.974920, 120.942691",1,2675.0,埔里分局,,南投縣埔里鎮鐵山里鐵山路23號
一般住宅,KQA00063,南投縣埔里鎮大城里安四街163號,"23.969258, 120.953382",1,895.0,埔里分局,,南投縣埔里鎮大城里安四街163號
埔里酒廠,KQA00001,南投縣埔里鎮大城里中山路3段219號,"23.967948, 120.960597",1,200.0,埔里分局,,南投縣埔里鎮大城里中山路3段219號
埔里基督教醫院,KQA00100,南投縣埔里鎮鐵山里鐵山路1號,"23.971642, 120.947022",1.2.3,2500.0,埔里分局,,南投縣埔里鎮鐵山里鐵山路1號
一般住宅,KQA00086,南投縣埔里鎮大城里中山路246號,"23.968737, 120.958645",1,2503.0,埔里分局,,南投縣埔里鎮大城里中山路246號
暨大附中,KQA00029,南投縣埔里鎮鐵山里鐵山路1-6號,"23.971846, 120.946007",1,467.0,埔里分局,,南投縣埔里鎮鐵山里鐵山路1-6號
暨大附中,KQA00074,南投縣埔里鎮鐵山里鐵山路1-6號,"23.971846, 120.946007",1,467.0,埔里分局,,南投縣埔里鎮鐵山里鐵山路1-6號
地藏寶塔,KQA00102,南投縣埔里鎮溪南里溪南巷10號,"23.959146, 120.951717",1,3141.0,埔里分局,,南投縣埔里鎮溪南里溪南巷10號
台灣佳美工公司,KQA00014,南投縣埔里鎮水頭里隆生路87-1號,"23.959688, 120.967757",1,73.0,埔里分局,,南投縣埔里鎮水頭里隆生路87-1號
一般住宅,KQA00060,南投縣埔里鎮水頭里東潤路67-4號,"23.940658, 120.986797",1,39.0,埔里分局,,南投縣埔里鎮水頭里東潤路67-4號
中華電信,KQA00021,南投縣國姓鄉國姓村國姓路462號,"24.036866, 120.853277",1,336.0,埔里分局,,南投縣國姓鄉國姓村國姓路462號
水利會,KQA00042,南投縣國姓鄉國姓村國姓路460之1號,"24.034823, 120.855168",1,87.0,埔里分局,,南投縣國姓鄉國姓村國姓路460之1號
"國姓國小 ",KQA00104,南投縣國姓鄉國姓村國姓路211號,"24.043618, 120.860903",1,342.0,埔里分局,,南投縣國姓鄉國姓村國姓路211號
中山里老人活動中心,KSA00002,南投縣竹山鎮中山里新生路346號,"23.750804, 120.676756",1,300.0,竹山分局,,南投縣竹山鎮中山里新生路346號
永和旅社,KSA00003,南投縣竹山鎮中正里橫街38號,"23.754773, 120.684367",,20.0,竹山分局,,南投縣竹山鎮中正里橫街38號
阿生旅社,KSA00004,南投縣竹山鎮中正里橫街8號,"23.754773, 120.684367",,13.0,竹山分局,,南投縣竹山鎮中正里橫街8號
竹山郵局,KSA00005,南投縣竹山鎮竹山里前山路一段2號,"23.757119, 120.682342",1,1056.0,竹山分局,,南投縣竹山鎮竹山里前山路一段2號
仁濟診所,KSA00006,南投縣竹山鎮中山里竹山路179號,"23.754215, 120.682943",,20.0,竹山分局,,南投縣竹山鎮中山里竹山路179號
陳婦產科,KSA00007,南投縣竹山鎮中山里竹山路187號,"23.754291, 120.682637",1,20.0,竹山分局,,南投縣竹山鎮中山里竹山路187號
一般住宅,KSA00008,南投縣竹山鎮硘磘里鯉南路116-72及116-84號,"23.747711, 120.675631",,1082.0,竹山分局,,南投縣竹山鎮硘磘里鯉南路116-72及116-84號
一般住宅,KSA00010,南投縣竹山鎮中山里頂林路51號,"23.751683, 120.681858",1,13.0,竹山分局,,南投縣竹山鎮中山里頂林路51號
一般住宅,KSA00011,南投縣竹山鎮中山里頂林路49號,"23.751633, 120.681650",1,13.0,竹山分局,,南投縣竹山鎮中山里頂林路49號
一般住宅,KSA00012,南投縣竹山鎮中山里頂林路53號,"23.751637, 120.681320",1,13.0,竹山分局,,南投縣竹山鎮中山里頂林路53號
一般住宅,KSA00013,南投縣竹山鎮中山里頂林路55號,"23.751482, 120.681535",1,13.0,竹山分局,,南投縣竹山鎮中山里頂林路55號
一般住宅,KSA00014,南投縣竹山鎮中山里頂林路57號,"23.751374, 120.681148",1,13.0,竹山分局,,南投縣竹山鎮中山里頂林路57號
台灣中小企業銀行,KSA00015,南投縣竹山鎮雲林里集山路三段919號,"23.756749, 120.682789",1,13.0,竹山分局,,南投縣竹山鎮雲林里集山路三段919號
一般住宅,KSA00018,南投縣竹山鎮雲林里集山路三段1112號,"23.754810, 120.680294",1,20.0,竹山分局,,南投縣竹山鎮雲林里集山路三段1112號
秀山園旅社,KSA00019,南投縣竹山鎮雲林里埔頭街86號,"23.755689, 120.679203",1,100.0,竹山分局,,南投縣竹山鎮雲林里埔頭街86號
一般住宅,KSA00020,南投縣竹山鎮中山里頂林路59號,"23.755689, 120.679203",1,13.0,竹山分局,,南投縣竹山鎮中山里頂林路59號
一般住宅,KSA00021,南投縣竹山鎮中正里橫街28號,"23.754708, 120.684223",1,49.0,竹山分局,,南投縣竹山鎮中正里橫街28號
中華電信竹山服務處,KSA00022,南投縣竹山鎮中山里竹山路138號,"23.754706, 120.682493",,326.0,竹山分局,,南投縣竹山鎮中山里竹山路138號
竹山高中禮堂,KSA00023,南投縣竹山鎮竹圍里下橫街253-1號,"23.761104, 120.681985",1,636.0,竹山分局,,南投縣竹山鎮竹圍里下橫街253-1號
一般住宅,KSA00024,南投縣竹山鎮竹山里集山路三段885號,"23.757307, 120.683450",1,40.0,竹山分局,,南投縣竹山鎮竹山里集山路三段885號
一般住宅,KSA00025,南投縣竹山鎮竹山里集山路三段883號,"23.757222, 120.683629",1,40.0,竹山分局,,南投縣竹山鎮竹山里集山路三段883號
台西客運竹山站,KSA00026,南投縣竹山鎮中山里菜園路27號,"23.753990, 120.683984",1,113.0,竹山分局,,南投縣竹山鎮中山里菜園路27號
竹山高中,KSA00027,南投縣竹山鎮竹圍里枋坪巷1-3號,"23.761075, 120.682527",1,409.0,竹山分局,,南投縣竹山鎮竹圍里枋坪巷1-3號
"盈婚事業有限公司 ",KSA00028,南投縣竹山鎮竹山里前山路一段橫巷24號,"23.762657, 120.674317",1,1942.0,竹山分局,,南投縣竹山鎮竹山里前山路一段橫巷24號
國泰人壽保險公司,KSA00029,南投縣竹山鎮雲林里集山路三段1146號,"23.754335, 120.679247",,312.0,竹山分局,,南投縣竹山鎮雲林里集山路三段1146號
竹山鎮公所零售市場,KSA00030,南投縣竹山鎮竹山里橫街90號,"23.756258, 120.683226",1,1034.0,竹山分局,,南投縣竹山鎮竹山里橫街90號
展頌公司,KSA00031,南投縣竹山鎮延平里延平三路20號,"23.767754, 120.701739",1,160.0,竹山分局,,南投縣竹山鎮延平里延平三路20號
竹山分局,KSA00032,南投縣竹山鎮竹山里集山路三段968號,"23.757197, 120.683048",1,316.0,竹山分局,,南投縣竹山鎮竹山里集山路三段968號
一般住宅,KSA00033,南投縣竹山鎮中崎里沉潭巷1-5號,"23.756989, 120.669805",1,60.0,竹山分局,,南投縣竹山鎮中崎里沉潭巷1-5號
郵局延平支局,KSA00034,南投縣竹山鎮延祥里集山路三段99號,"23.765193, 120.705046",,101.0,竹山分局,,南投縣竹山鎮延祥里集山路三段99號
台灣增格公司,KSA00035,南投縣竹山鎮延平里延平五路8號,"23.768007, 120.699896",,57.0,竹山分局,,南投縣竹山鎮延平里延平五路8號
"俊東建設公司            ",KSA00036,南投縣竹山鎮延平里東鄉路12-19巷1號,"23.768017, 120.708172",1,1223.0,竹山分局,,南投縣竹山鎮延平里東鄉路12-19巷1號
丞基建設公司,KSA00037,南投縣竹山鎮延祥里瑞竹巷25弄1號,"23.763666, 120.703240",1,1832.0,竹山分局,,南投縣竹山鎮延祥里瑞竹巷25弄1號
慈山醫院,KSA00038,南投縣竹山鎮延祥里集山路三段272巷16號,"23.764485, 120.700206",1,1855.0,竹山分局,,南投縣竹山鎮延祥里集山路三段272巷16號
賢山企業公司,KSA00039,南投縣竹山鎮延平里延平五路23號,"23.768077, 120.699410",1,60.0,竹山分局,,南投縣竹山鎮延平里延平五路23號
翔偉公司,KSA00040,南投縣竹山鎮延平里延平二路9號,"23.768969, 120.703245",1,122.0,竹山分局,,南投縣竹山鎮延平里延平二路9號
竹山秀傳醫院,KSA00041,南投縣竹山鎮山崇里集山路二段75號,"23.800299, 120.714156",1,2386.0,竹山分局,,南投縣竹山鎮山崇里集山路二段75號
杉原公司,KSA00043,南投縣竹山鎮延平里延平路20號,"23.768661, 120.702084",1,60.0,竹山分局,,南投縣竹山鎮延平里延平路20號
"竹山國中-禮堂 ",KSA00044,南投縣竹山鎮中山里竹山路217號,"23.752667, 120.682065",1,598.0,竹山分局,,南投縣竹山鎮中山里竹山路217號
鹿谷電信局,KSA00046,南投縣鹿谷鄉鹿谷村中正路二段164號,"23.748675, 120.752362",2,130.0,竹山分局,,南投縣鹿谷鄉鹿谷村中正路二段164號
衛民建設有限公司,KSA00047,南投縣竹山鎮下坪里枋坪巷2-36及2-37號,"23.761045, 120.685283",1,2806.0,竹山分局,,南投縣竹山鎮下坪里枋坪巷2-36及2-37號
"至德山產股份有限公司 ",KSA00048,南投縣竹山鎮桂林里中山路2-41號,"23.753515, 120.688851",1,1259.0,竹山分局,,南投縣竹山鎮桂林里中山路2-41號
鹿谷鄉農會門市部,KSA00049,南投縣鹿谷鄉彰雅村中正路一段231號,"23.741616, 120.757187",1,426.0,竹山分局,,南投縣鹿谷鄉彰雅村中正路一段231號
茶之鄉,KSA00050,南投縣鹿谷鄉初鄉村中正路三段2號,"23.756176, 120.744585",1,200.0,竹山分局,,南投縣鹿谷鄉初鄉村中正路三段2號
"龍翔茶行  ",KSA00051,南投縣鹿谷鄉廣興村中正一路148號,"23.735347, 120.762578",1,213.0,竹山分局,,南投縣鹿谷鄉廣興村中正一路148號
鹿谷村活動中心,KSA00052,南投縣鹿谷鄉鹿谷村興農巷50-6號,"23.747908, 120.754101",1,72.0,竹山分局,,南投縣鹿谷鄉鹿谷村興農巷50-6號
久林建設公司,KSA00053,南投縣鹿谷鄉初鄉村中正路三段558（576）號,"23.764513, 120.735644",1,3228.0,竹山分局,,南投縣鹿谷鄉初鄉村中正路三段558（576）號
一般住宅,KSA00055,南投縣鹿谷鄉永隆村堀邊巷4-1號,"23.751408, 120.772256",1,62.0,竹山分局,,南投縣鹿谷鄉永隆村堀邊巷4-1號
一般住宅,KSA00056,南投縣鹿谷鄉永隆村仁義路80-32號,"23.753358, 120.775923",1,404.0,竹山分局,,南投縣鹿谷鄉永隆村仁義路80-32號
一般住宅,KSA00057,南投縣鹿谷鄉永隆村堀邊巷3-5號,"23.752748, 120.770829",1,128.0,竹山分局,,南投縣鹿谷鄉永隆村堀邊巷3-5號
鳳凰農會辦事處,KSA00058,南投縣鹿谷鄉新進巷1號-5,"23.733281, 120.792674",1,168.0,竹山分局,,南投縣鹿谷鄉新進巷1號-5
溪頭自然教育園區,KSA00059,南投縣鹿谷鄉內湖村森林巷9號,"23.673096, 120.797138",1,328.0,竹山分局,,南投縣鹿谷鄉內湖村森林巷9號
救國團青年活動中心,KSA00060,南投縣鹿谷鄉內湖村森林巷15號,"23.670340, 120.788517",1,536.0,竹山分局,,南投縣鹿谷鄉內湖村森林巷15號
員林客運溪頭站,KSA00061,南投縣鹿谷鄉內湖村興產路1-21號,"23.672915, 120.795850",1,42.0,竹山分局,,南投縣鹿谷鄉內湖村興產路1-21號
"明山別館     ",KSA00062,南投縣鹿谷鄉內湖村興產路2-3號,"23.674263, 120.795922",1,454.0,竹山分局,,南投縣鹿谷鄉內湖村興產路2-3號
向強公司,KSA00063,南投縣竹山鎮延平里延平五路11號,"23.767930, 120.699972",1,64.0,竹山分局,,南投縣竹山鎮延平里延平五路11號
交通部電信總局,KSA00065,南投縣竹山鎮延和里安定巷61號,"23.761918, 120.688449",1,436.0,竹山分局,,南投縣竹山鎮延和里安定巷61號
明山別館,KSA00066,南投縣鹿谷鄉內湖村興產路2-3號,"23.674263, 120.795922",1,751.0,竹山分局,,南投縣鹿谷鄉內湖村興產路2-3號
米堤大飯店,KSA00067,南投縣鹿谷鄉內湖村米堤街1號,"23.683342, 120.795683",1,5317.0,竹山分局,,南投縣鹿谷鄉內湖村米堤街1號
鹿谷鄉凍頂茶直銷中心,KSA00068,南投縣鹿谷鄉彰雅村中正路一段92號,"23.739058, 120.760346",,208.0,竹山分局,,南投縣鹿谷鄉彰雅村中正路一段92號
一般住宅,KSA00069,南投縣鹿谷鄉永隆村鳳園路293號,"23.753593, 120.774875",1,118.0,竹山分局,,南投縣鹿谷鄉永隆村鳳園路293號
"日茂證卷股份有限公司 ",KSA00070,南投縣竹山鎮竹山里大明路292號,"23.760517, 120.684585",1,779.0,竹山分局,,南投縣竹山鎮竹山里大明路292號
"豪隆建設股份有限公司  ",KSA00071,南投縣竹山鎮竹圍里大禮路227號,"23.760980, 120.678095",1,3665.0,竹山分局,,南投縣竹山鎮竹圍里大禮路227號
"黃呈玉 ",KSA00072,南投縣竹山鎮延平里延平路23號,"23.769024, 120.701936",1,1849.0,竹山分局,,南投縣竹山鎮延平里延平路23號
一般住宅,KSA00073,南投縣竹山鎮竹山里昭德街66號,"23.759470, 120.685807",,352.0,,,南投縣竹山鎮竹山里昭德街66號
行政院特有生物保育中心,KTA0001,南投縣集集鎮永昌里民生東1號,"23.828186, 120.800727",1,2030.0,集集分局,,南投縣集集鎮永昌里民生東1號
中華電信公司南投營運處,KTA0002,南投縣集集鎮玉映里民生路110號之2,"23.828964, 120.786259",1,64.0,集集分局,,南投縣集集鎮玉映里民生路110號之2
"一般住宅 ",KTA0007,南投縣魚池鄉魚池村魚池街555號,"23.898870, 120.935020",1,63.0,集集分局,,南投縣魚池鄉魚池村魚池街555號
基督教安息會台灣區會,KTA0009,南投縣魚池鄉魚池村瓊文巷39號之2,"23.907311, 120.936247",1,1127.0,集集分局,,南投縣魚池鄉魚池村瓊文巷39號之2
魚池郵局,KTA0012,南投縣魚池鄉魚池村魚池街364號,"23.897221, 120.936752",1,53.0,集集分局,,南投縣魚池鄉魚池村魚池街364號
"一般住宅 ",KTA0013,南投縣水里鄉農富村中正路26號,"23.817581, 120.855534",1,77.0,集集分局,,南投縣水里鄉農富村中正路26號
"一般住宅 ",KTA0014,南投縣水里鄉農富村中正路25號,"23.817598, 120.855220",1,77.0,集集分局,,南投縣水里鄉農富村中正路25號
"一般住宅 ",KTA0015,南投縣水里鄉農富村民生路340號,"23.816966, 120.854832",1,100.0,集集分局,,南投縣水里鄉農富村民生路340號
"一般住宅 ",KTA0017,南投縣水里鄉農富村中正路27號,"23.817440, 120.855063",1,77.0,集集分局,,南投縣水里鄉農富村中正路27號
"一般住宅 ",KTA0018,南投縣水里鄉農富村民生路320號,"23.816699, 120.854668",1,58.0,集集分局,,南投縣水里鄉農富村民生路320號
"一般住宅 ",KTA0020,南投縣水里鄉農富村民生路298號,"23.816461, 120.854694",1,20.0,集集分局,,南投縣水里鄉農富村民生路298號
"一般住宅 ",KTA0020,南投縣水里鄉農富村民生路300號,"23.816621, 120.854522",1,20.0,集集分局,,南投縣水里鄉農富村民生路300號
"一般住宅 ",KTA0022,南投縣水里鄉農富村民生路302號,"23.816481, 120.854515",1,20.0,集集分局,,南投縣水里鄉農富村民生路302號
"一般住宅 ",KTA0023,南投縣水里鄉農富村民生路306號,"23.816656, 120.854441",1,20.0,集集分局,,南投縣水里鄉農富村民生路306號
"一般住宅 ",KTA0024,南投縣水里鄉農富村民生路308號,"23.816652, 120.854520",1,20.0,集集分局,,南投縣水里鄉農富村民生路308號
"一般住宅 ",KTA0025,南投縣水里鄉農富村民生路310號,"23.816571, 120.854515",1,20.0,集集分局,,南投縣水里鄉農富村民生路310號
"一般住宅 ",KTA0026,南投縣水里鄉農富村民生路318號,"23.816816, 120.854354",1,53.0,集集分局,,南投縣水里鄉農富村民生路318號
"一般住宅 ",KTA0027,南投縣水里鄉農富村民生路326號,"23.816816, 120.854462",1,20.0,集集分局,,南投縣水里鄉農富村民生路326號
水里鄉農會,KTA0029,南投縣水里鄉農富村民生路358號,"23.817721, 120.854560",1,53.0,集集分局,,南投縣水里鄉農富村民生路358號
"一般住宅 ",KTA0030,南投縣水里鄉中央村民生路383號,"23.816514, 120.854174",,26.0,集集分局,,南投縣水里鄉中央村民生路383號
"一般住宅 ",KTA0031,南投縣水里鄉農富村民生路370號,"23.817464, 120.854271",1,66.0,集集分局,,南投縣水里鄉農富村民生路370號
天聖宮,KTA0032,南投縣水里鄉城中村市場街102號,"23.816509, 120.851828",1,113.0,集集分局,,南投縣水里鄉城中村市場街102號
中華電信公司水里服務中心,KTA0033,南投縣水里鄉北埔村博愛路35號,"23.812534, 120.854287",1,800.0,集集分局,,南投縣水里鄉北埔村博愛路35號
鉅工保線斑,KTA0034,南投縣水里鄉鉅工村二坪路2號,"23.815127, 120.855831",1,83.0,集集分局,,南投縣水里鄉鉅工村二坪路2號
水里鄉農會,KTA0035,南投縣水里鄉農富村民生路362號,"23.817366, 120.854224",1,162.0,集集分局,,南投縣水里鄉農富村民生路362號
抽蓄工程處,KTA0036,南投縣水里鄉鉅工村民生路290號,"23.816362, 120.854675",1,666.0,集集分局,,南投縣水里鄉鉅工村民生路290號
國泰保險公司水里展業處,KTA0037,南投縣水里鄉北埔村民族路277號,"23.814093, 120.854867",1,435.0,集集分局,,南投縣水里鄉北埔村民族路277號
水里鄉公所,KTA0038,南投縣水里鄉中央村民生路363號,"23.817028, 120.854062",1,3662.0,集集分局,,南投縣水里鄉中央村民生路363號
水里鄉公所,KTA0039,南投縣水里鄉中央村民生路361號,"23.816961, 120.854334",1,2113.0,集集分局,,南投縣水里鄉中央村民生路361號
玉山國家公園管理處,KTA0040,南投縣水里鄉北埔村中山路515號,"23.812953, 120.850579",1,2468.0,集集分局,,南投縣水里鄉北埔村中山路515號
玉山國家公園管理處,KTA0041,南投縣水里鄉北埔村中山路517號,"23.812914, 120.850028",1,964.0,集集分局,,南投縣水里鄉北埔村中山路517號
頭社郵局,KTA0043,南投縣魚池鄉武登村集里路4號,"23.832609, 120.896047",1,62.0,集集分局,,南投縣魚池鄉武登村集里路4號
台電水社服務所,KTA0044,南投縣魚池鄉水社村中山路281號,"23.866832, 120.905185",1,248.0,集集分局,,南投縣魚池鄉水社村中山路281號
台灣銀行休閒中心,KTA0045,南投縣魚池鄉水社村名勝街24號,"23.865174, 120.911510",1,110.0,集集分局,,南投縣魚池鄉水社村名勝街24號
涵碧樓飯店,KTA0046,南投縣魚池鄉水社村中興路142號,"23.863270, 120.908861",1,1235.0,集集分局,,南投縣魚池鄉水社村中興路142號
鴻賓大飯店,KTA0047,南投縣魚池鄉水社村名勝街3號,"23.865349, 120.912351",3,104.0,集集分局,,南投縣魚池鄉水社村名勝街3號
日月潭電信局,KTA0052,南投縣魚池鄉水社村中興路120號,"23.864641, 120.910747",1,153.0,集集分局,,南投縣魚池鄉水社村中興路120號
水沙蓮大飯店,KTA0053,南投縣魚池鄉水社村名勝街5號,"23.865128, 120.912014",2,25.0,集集分局,,南投縣魚池鄉水社村名勝街5號
名勝大飯店,KTA0054,南投縣魚池鄉水社村名勝街4號,"23.865680, 120.911871",1,74.0,集集分局,,南投縣魚池鄉水社村名勝街4號
教師會館,KTA0055,南投縣魚池鄉水社村中興路136號,"23.864110, 120.907116",3,306.0,集集分局,,南投縣魚池鄉水社村中興路136號
國立水里高職,KTA0057,南投縣水里鄉永豐村南湖1號,"23.807963, 120.853718",1,3518.0,集集分局,,南投縣水里鄉永豐村南湖1號
基督教復臨日安息會,KTA0058,南投縣魚池鄉魚池村瓊文巷39號,"23.902819, 120.934392",1,1022.0,集集分局,,南投縣魚池鄉魚池村瓊文巷39號
國立仁愛高農,KOA000001,南投縣仁愛鄉大同村山農巷28號,"24.021069, 121.134262",1,42.0,仁愛分局,,南投縣仁愛鄉大同村山農巷28號
