類別,建築物名稱,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,"unnamed (1)","unnamed (2)","unnamed (3)",placemark_address
大樓,葛里法五世社區,T102407,莊敬里,"25.0199429,121.2988777",1、2、3,10662.0,桃園分局,,O,,,,桃園區新埔八街25號
大樓,培德,T102408,大業里,"25.0090184,121.3146206",1、2,627.0,桃園分局,,O,,,,桃園區大業路一段277號
大樓,合輝鼎苑社區,T102409,同安里,"25.0110577,121.3050319",1、2,4401.0,桃園分局,,O,,,,桃園區天祥一街81號
大樓,中正文華社區,T102410,中正里,"24.994863,121.300044",1、2、3,1705.0,桃園分局,,O,,,,桃園區廈門街75號
公寓,新晶晶,T102411,大有里,"25.0128588,121.3199724",1,617.0,桃園分局,,O,,,,桃園區民富十三街6號
大樓,誠豐社區,T102412,中信里,"24.992458,121.2844683",1、2,1361.0,桃園分局,,O,,,,桃園區國強一街168-1號
大樓,華爾道夫社區,T102413,同安里,"25.0133485,121.301526",1、2、3、4,5051.0,桃園分局,,O,,,,桃園區藝文二街80號
大樓,光合,T102414,大業里,"25.0107896,121.3143655",1、2,1048.0,桃園分局,,O,,,,桃園區民富十一街108號
大樓,群都三期社區,T102415,寶安里,"25.0155533,121.2918933",1、2,3514.0,桃園分局,,O,,,,桃園區南平路588號
大樓,力璞當代,T101101,南埔里,"25.0077299,121.2967708",1、2、3,3123.0,桃園分局,,O,,,,桃園區永順街88巷10號
公寓,御品苑社區,T101102,大樹里,"24.9795457,121.3180839",1,1299.0,桃園分局,,O,,,,桃園區大明街56巷1號
大樓,聚豐耘,T101103,永安里,"24.9997506,121.3047532",1、2,2525.0,桃園分局,,O,,,,桃園區永安里15鄰永光街97號
大樓,合遠首葳,T101104,長德里,"25.0027155,121.3014684",1、2、3,1926.0,桃園分局,,O,,,,桃園區長德里17鄰愛二街75號
大樓,百川大喆,T101105,南埔里,"25.0063063,121.294051",1、2,4241.0,桃園分局,,O,,,,桃園區永安路776號
大樓,鼎營和砌社區,T101106,中路里,"24.9930166,121.2917633",1、2,810.0,桃園分局,,O,,,,桃園區延壽街97巷2號
大樓,英業達股份有限公司,T101201,大林里,"24.9786633,121.3266666",1、2、3、4,16396.0,桃園分局,,O,,,,桃園區大智路88號
大樓,天群社區,T101202,北埔里,"25.0231471,121.2913134",1、2,1063.0,桃園分局,,O,,,,桃園區莊二街230號
大樓,昭揚大隱社區,T101203,經國里,"25.0127223,121.3056851",1、2,3249.0,桃園分局,,O,,,,桃園區經國路251巷88號
大樓,美力城邦藝美館社區,T101204,大林里,"24.9747301,121.323401",1、2、3,1411.0,桃園分局,,O,,,,桃園區樹仁三街15巷7號
大樓,私人住宅,T101205,武陵里,"24.9931969,121.3131352",1、2、3,1154.0,桃園分局,,O,,,,桃園區民生路137號
大樓,英業達股份有限公司,T101206,大林里,"24.9786633,121.3266666",1、2、3、4,16406.0,桃園分局,,O,,,,桃園區大智路88號
大樓,君悅社區,T101207,中信里,"24.994116,121.2831964",1、2、3,2150.0,桃園分局,,O,,,,桃園區福信街15號
大樓,RICH58商辦大樓,T101301,同安里,"25.013693,121.3026995",1、2、3,1183.0,桃園分局,,O,,,,桃園區大興西路一段208號
大樓,桃大富林苑社區,T101302,中德里,"24.9617247,121.2935518",1、2,7917.0,桃園分局,,O,,,,桃園區中路街11號
大樓,私人住宅,T101303,青溪里,"25.0009632,121.3175811",1、2,607.0,桃園分局,,O,,,
大樓,拉斐爾,T101304,龍壽里,"24.9795699,121.2712236",1、2、3,5326.0,桃園分局,,O,,,,桃園區龍泉一街1號
大樓,美力城邦國美館社區,T101305,大林里,"24.9745674,121.3227495",1、2、3,5168.0,桃園分局,,O,,,,桃園區樹仁三街67號
大樓,巴黎馥,T101306,長德里,"25.0026124,121.2992063",1、2、3,3301.0,桃園分局,,O,,,,桃園區中正三街389號
大樓,比佛利社區,T101401,大林里,"24.9736951,121.3202477",1、2,4890.0,桃園分局,,O,,,,桃園區樹仁三街131巷26弄12號
大樓,大吾疆社區,T101402,莊敬里,"25.0245207,121.2948346",1、2、3,6958.0,桃園分局,,O,,,,桃園區中正路1452號
大樓,新晶華,T101403,大有里,"25.0126903,121.3199897",1、2,1485.0,桃園分局,,O,,,,桃園區民富十三街28號
大樓,竹城新城社區,T101404,中德里,"24.9647757,121.2948258",1、2、3,5229.0,桃園分局,,O,,,,桃園區桃智路9號
公寓,青川,T101405,忠義里,"25.0044475,121.3163154",1,1415.0,桃園分局,,O,,,,桃園區大業路一段19巷70號
大樓,大秀南玉社區,T100101,玉山里,"24.987955,121.3019843",1、2,1003.0,桃園分局,,O,,,,桃園區大同西路75巷1號
大樓,竹成大和,T100102,同德里,"25.0151304,121.2967523",1、2、3,8720.0,桃園分局,,O,,,,桃園區同德六街169號
大樓,IF國際貿易中心大樓,T100103,瑞慶里,"25.0225671,121.2951621",1、2、3、4,2624.0,桃園分局,,O,,,,桃園區中正路1351號
大樓,中正美館,T100104,永安里,"24.9988269,121.304376",1、2、3,1433.0,桃園分局,,O,,,,桃園區中正三街153號
公寓,葳旺有限公司,T100105,建國里,"24.9884881,121.3164975",1,699.0,桃園分局,,O,,,,桃園區大林路20-2號
大樓,紐約大時代,T100201,中寧里,"25.0104225,121.2988641",1、2、3,7705.0,桃園分局,,,,,,桃園區大興西路二段69巷118號
公寓,私人住宅,T100202,中德里,"24.965169,121.2924775",1,506.0,桃園分局,,O,,,,桃園區國際路一段136號
大樓,經國亞緻社區,T100203,經國里,"25.011287,121.307676",1、2、3,2948.0,桃園分局,,O,,,,桃園區慈文路14號
大樓,竹城橫濱社區,T100204,春日里,"25.0203015,121.3105596",1、2、3,3894.0,桃園分局,,O,,,,桃園區大業路二段208號
公寓,豐達百邑社區,T100205,龍鳳里,"24.9895064,121.2794396",1,1642.0,桃園分局,,O,,,,桃園區國豐三街72號1樓
公寓,明勝兒童課後課後照顧服務中心,T100206,龍安里,"24.9917874,121.2748881",1,99.0,桃園分局,,,,,,桃園區國豐十街252號
大樓,家賀,T100207,大有里,"25.0146157,121.3195154",1、2、3,531.0,桃園分局,,O,,,,桃園區民有東路1巷1號
公寓,台灣表面黏著科技公司,T100301,大樹里,"24.9790955,121.3218665",1,6650.0,桃園分局,,O,,,#REF!,桃園區桃鶯路437號
大樓,私人住宅,T100302,西埔里,"25.0105908,121.2802921",1、2,2406.0,桃園分局,,O,,,,桃園區永安路1208號
大樓,宜誠富御,T100303,龍岡里,"24.9926146,121.2836905",1、2,1155.0,桃園分局,,O,,,,桃園區國強一街176號
大樓,豪椰大鎮社區,T100304,大林里,"24.9738563,121.3209439",1、2,1210.0,桃園分局,,O,,,,桃園區樹仁三街127號
公寓,私人住宅,T100305,慈文里,"25.0054345,121.297839",1,195.0,桃園分局,,,,,,桃園區蓮埔街13號
公寓,台達電子工業股份有限公司,T100306,大樹里,"24.9843211,121.3212152",1,8876.0,桃園分局,,O,,,,桃園市桃園區興隆路18號
公寓,台達電子工業股份有限公司,T100401,大樹里,"24.9843211,121.3212152",1,8876.0,桃園分局,,O,,,,桃園區興隆路18號
公寓,大陽明社區,T100402,福林里,"24.9778872,121.3043626",1,181.0,桃園分局,,,,,,桃園市桃園區介壽路459巷8弄29號
大樓,典藏藝樹社區,T100403,瑞慶里,"25.0199506,121.2905982",1、2,1616.0,桃園分局,,O,,,,桃園區敬三街1號
大樓,昭揚,T100404,福元里,"25.0058778,121.3161799",1、2,4269.0,桃園分局,,O,,,,桃園區大業路一段121巷8號
大樓,美力城邦新美館社區,T100405,大林里,"24.9741936,121.3223302",1、2,1190.0,桃園分局,,,,,,桃園區樹仁三街87巷16號
公寓,宜誠,T100406,大有里,"25.0151719,121.3191591",1,1308.0,桃園分局,,O,,,,桃園區民有東路1號
公寓,V1威秀社區,T100407,永興里,"24.9960497,121.3086018",1,489.0,桃園分局,,O,,,,桃園區民權路150號
大樓,桃大君匯社區,T100408,玉山里,"24.9828036,121.3008153",1、2,7362.0,桃園分局,,,,,,桃園區南豐二街132號
大樓,一品國硯,T100409,福元里,"25.0055236,121.3163576",1、2,9026.0,桃園分局,,O,,,,桃園區大業路一段113號
大樓,善美館社區,T100410,大林里,"24.9772988,121.3225508",1、2、3,7404.0,桃園分局,,O,,,,桃園區桃鶯路382-8號
公寓,私人住宅,T100411,泰山里,"24.9908503,121.3004132",1,147.0,桃園分局,,,,,,桃園區金山街37巷6號
公寓,NIKE萬岳桃園南平店,T100412,同德里,"25.017118,121.296276",1,1001.0,桃園分局,,O,,,,桃園區南平路419號
公寓,私人住宅,EMA00001,永興里,"24.995137,121.3091688",1,45.0,桃園分局,,,,,,桃園區民權路116號
公寓,私人住宅,EMA00002,永興里,"24.9971299,121.3077531",1,256.0,桃園分局,,,,,,桃園區民權路197號
公寓,私人住宅,EMA00003,永興里,"24.994838,121.309",1,37.0,桃園分局,,,,,,桃園區民權路117號
公寓,私人住宅,EMA00004,永興里,"24.9969997,121.3075723",1,650.0,桃園分局,,O,,,,桃園區新興街5號
公寓,私人住宅,EMA00005,永興里,"24.9968951,121.307186",1,89.0,桃園分局,,,,,,桃園區新興街25號
公寓,私人住宅,EMA00006,永興里,"24.997009,121.307395",1,68.0,桃園分局,,,,,,桃園區新興街15號
公寓,私人住宅,EMA00007,永興里,"24.9958196,121.3087718",1,81.0,桃園分局,,,,,,桃園區民權路144號
公寓,私人住宅,EMA00008,永興里,"24.9959124,121.3086965",1,68.0,桃園分局,,,,,,桃園區民權路146號
公寓,私人住宅,EMA00009,永興里,"24.9958147,121.3087622",1,109.0,桃園分局,,,,,,桃園區民權路142號
公寓,私人住宅,EMA00010,永興里,"24.9954908,121.3082631",1,69.0,桃園分局,,,,,,桃園區和平路124號
公寓,私人住宅,EMA00011,永興里,"24.9956465,121.3095491",1,189.0,桃園分局,,,,,,桃園區永安路37號
公寓,私人住宅,EMA00012,永興里,"24.9959108,121.3093607",1,28.0,桃園分局,,,,,,桃園區和平路104號之5
公寓,桃園市政府消防局三民分隊,EMA00013,永興里,"24.998062,121.306726",1,114.0,桃園分局,,,,,,桃園區三民路三段26號
公寓,私人住宅,EMA00014,永興里,"24.9959108,121.3093607",1,33.0,桃園分局,,,,,,桃園區和平路104號之6
公寓,私人住宅,EMA00015,文昌里,"24.993364,121.3099088",1,52.0,桃園分局,,,,,,桃園區民權路71巷16號
公寓,私人住宅,EMA00016,文昌里,"24.993287,121.3092571",1,120.0,桃園分局,,,,,,桃園區中山路165號
大樓,嘉仕特飯店,EMA00017,文昌里,"24.9929221,121.3082385",1、2,388.0,桃園分局,,,,,,桃園區中山路203號
公寓,私人住宅,EMA00018,文昌里,"24.993311,121.3092966",1,97.0,桃園分局,,,,,,桃園區中山路163號
公寓,私人住宅,EMA00019,文昌里,"24.9936486,121.3102062",1,68.0,桃園分局,,,,,,桃園區民權路75號
公寓,私人住宅,EMA00020,文昌里,"24.9932993,121.3098527",1,53.0,桃園分局,,,,,,桃園區民權路71巷20號
公寓,私人住宅,EMA00021,西湖里,"24.9936641,121.3052896",1,46.0,桃園分局,,,,,,桃園區四維街90號
公寓,私人住宅,EMA00023,中和里,"24.9961424,121.3103033",1,21.0,桃園分局,,,,,,桃園區中正路246號
公寓,私人住宅,EMA00025,中和里,"24.9966116,121.3106942",1,21.0,桃園分局,,,,,,桃園區和平路80號
公寓,私人住宅,EMA00026,中和里,"24.9951379,121.311198",1,32.0,桃園分局,,,,,,桃園區中山路70號
公寓,私人住宅,EMA00027,中和里,"24.9961743,121.3114418",1,32.0,桃園分局,,,,,,桃園區永樂街29號
公寓,私人住宅,EMA00028,中和里,"24.9963019,121.3112019",1,21.0,桃園分局,,,,,,桃園區永樂街33號
公寓,私人住宅,EMA00029,中和里,"24.9960986,121.3107612",1,30.0,桃園分局,,,,,,桃園區桃源街50號
公寓,私人住宅,EMA00030,中和里,"24.99528,121.3122219",1,30.0,桃園分局,,,,,,桃園區中山路32號
公寓,私人住宅,EMA00031,中和里,"24.996908,121.310742",1,26.0,桃園分局,,,,,,桃園區和平路66號
公寓,私人住宅,EMA00032,中和里,"24.9967283,121.3105933",1,29.0,桃園分局,,,,,,桃園區和平路82號
公寓,私人住宅,EMA00033,中和里,"24.9956926,121.3105429",1,30.0,桃園分局,,,,,,桃園區中正路224號
公寓,私人住宅,EMA00034,中和里,"24.9964047,121.3117203",1,33.0,桃園分局,,,,,,桃園區桃源街9號
公寓,私人住宅,EMA00035,中和里,"24.9951183,121.3117622",1,21.0,桃園分局,,,,,,桃園區中山路52號
公寓,私人住宅,EMA00036,中和里,"24.9953929,121.3102308",1,30.0,桃園分局,,,,,,桃園區永安路8號
公寓,私人住宅,EMA00037,中和里,"24.9956666,121.3110963",1,30.0,桃園分局,,,,,,桃園區博愛路52號
公寓,私人住宅,EMA00038,中和里,"24.9956874,121.3122576",1,29.0,桃園分局,,,,,,桃園區民生路219巷5號
公寓,私人住宅,EMA00039,中和里,"24.9961042,121.3114065",1,40.0,桃園分局,,,,,,桃園區永樂街31號
公寓,私人住宅,EMA00040,中和里,"24.9964051,121.3112591",1,70.0,桃園分局,,,,,,桃園區永樂街41號
公寓,私人住宅,EMA00041,中和里,"24.9989246,121.3089997",1,45.0,桃園分局,,,,,,桃園區三民路二段255號
公寓,私人住宅,EMA00042,中和里,"24.9972014,121.310129",1,34.0,桃園分局,,,,,,桃園區和平路84巷36號
公寓,私人住宅,EMA00043,中和里,"24.9971486,121.3102317",1,30.0,桃園分局,,,,,,桃園區和平路84巷34號
公寓,私人住宅,EMA00044,中和里,"24.9976405,121.310788",1,38.0,桃園分局,,,,,,桃園區新生路33號
大樓,台灣基督長老教會桃園教會,EMA00045,民生里,"24.9940998,121.3130861",1、2,154.0,桃園分局,,,,,,桃園區民生路208號
公寓,私人住宅,EMA00046,民生里,"24.9948317,121.31289",1,16.0,桃園分局,,,,,,桃園區民生路232號
公寓,私人住宅,EMA00047,民生里,"24.9950251,121.3128431",1,28.0,桃園分局,,,,,,桃園區民生路242號
公寓,私人住宅,EMA00048,民生里,"24.9946927,121.3129349",1,44.0,桃園分局,,,,,,桃園區民生路226號
公寓,私人住宅,EMA00049,文昌里,"24.993645,121.311213",1,21.0,桃園分局,,,,,,桃園區新民街75號
公寓,私人住宅,EMA00050,文昌里,"24.9938826,121.3110297",1,57.0,桃園分局,,,,,,桃園區新民街78號
公寓,私人住宅,EMA00052,西門里,"24.9972674,121.3067326",1,60.0,桃園分局,,,,,,桃園區三民路三段67號
公寓,私人住宅,EMA00053,北門里,"24.9985633,121.3110722",1,200.0,桃園分局,,,,,,桃園區民生路349號
公寓,私人住宅,EMA00054,北門里,"24.9975859,121.3114423",1,80.0,桃園分局,,,,,,桃園區民生路303號
公寓,私人住宅,EMA00055,北門里,"24.9983747,121.3111504",1,20.0,桃園分局,,,,,,桃園區民生路339號
公寓,私人住宅,EMA00056,北門里,"24.9982089,121.310365",1,40.0,桃園分局,,,,,,桃園區永樂街112號
公寓,私人住宅,EMA00057,北門里,"24.996594,121.311743",1,22.0,桃園分局,,,,,,桃園區桃源街10號
公寓,私人住宅,EMA00058,北門里,"24.9966991,121.3117507",1,25.0,桃園分局,,,,,,桃園區桃源街8號
公寓,私人住宅,EMA00059,北門里,"24.9978343,121.3110006",1,66.0,桃園分局,,,,,,桃園區新生路15、17號
公寓,私人住宅,EMA00060,北門里,"24.9975035,121.3114775",1,48.0,桃園分局,,,,,,桃園區民生路299號
公寓,私人住宅,EMA00061,北門里,"24.9972709,121.311463",1,112.0,桃園分局,,,,,,桃園區民生路283號
公寓,私人住宅,EMA00062,北門里,"24.9966025,121.3116935",1,20.0,桃園分局,,,,,,桃園區桃源街12號
公寓,私人住宅,EMA00064,北門里,"24.996639,121.3114641",1,48.0,桃園分局,,,,,,桃園區桃源街22號
公寓,私人住宅,EMA00065,北門里,"24.9991051,121.3103041",1,433.0,桃園分局,,,,,,桃園區北興街18號
公寓,私人住宅,EMA00066,北門里,"25.00051,121.309958",1,54.0,桃園分局,,,,,,桃園區民生路411號
公寓,新巢派大廈,EMA00067,北門里,"24.9996616,121.3103971",1,333.0,桃園分局,,,,,,桃園區三民路二段195號
公寓,私人住宅,EMA00068,北門里,"24.9993147,121.30981",1,181.0,桃園分局,,,,,,桃園區三民路二段223號
公寓,私人住宅,EMA00069,北門里,"25.0004662,121.3101976",1,77.0,桃園分局,,,,,,桃園區民生路401號
公寓,私人住宅,EMA00071,北門里,"25.0008896,121.3099039",1,84.0,桃園分局,,,,,,桃園區民生路425號
公寓,民生凱悅社區,EMA00072,北門里,"25.0005324,121.3102166",1,1073.0,桃園分局,,,,,,桃園區民生路413號
公寓,私人住宅,EMA00074,北門里,"25.0004727,121.309725",1,88.0,桃園分局,,,,,,桃園區北華街20號
公寓,私人住宅,EMA00075,北門里,"25.0001907,121.3103192",1,222.0,桃園分局,,,,,,桃園區民生路391號
公寓,私人住宅,EMA00076,西門里,"24.9950601,121.3080504",1,84.0,桃園分局,,,,,,桃園區和平路169號
公寓,私人住宅,EMA00077,西門里,"24.9953625,121.3082361",1,64.0,桃園分局,,,,,,桃園區和平路126號
大樓,桃園區農會,EMA00078,西門里,"24.9961184,121.3077767",1、2,545.0,桃園分局,,,,,,桃園區新生路165號
公寓,私人住宅,EMA00079,西門里,"24.9971012,121.3067037",1,80.0,桃園分局,,,,,,桃園區三民路三段69號
公寓,私人住宅,EMA00080,西門里,"24.99544,121.308144",1,48.0,桃園分局,,,,,,桃園區和平路132號
公寓,濟弘皇璽社區,EMA00081,西門里,"24.9945242,121.3077413",1,1133.0,桃園分局,,O,,,,桃園區民族路199號
公寓,私人住宅,EMA00082,西門里,"24.9952231,121.3072527",1,66.0,桃園分局,," ",,,,桃園區民族路239號
大樓,私人住宅,EMA00083,西門里,"24.9945439,121.307253",1、2,600.0,桃園分局,,O,,,,桃園區金華街12號
公寓,私人住宅,EMA00084,西門里,"24.9952213,121.3075287",1,120.0,桃園分局,," ",,,,桃園市桃園區民族路212號
公寓,名岱町酒吧,EMA00085,西門里,"24.9953107,121.3078146",1,106.0,桃園分局,," ",,,,桃園區和平路148號
大樓,富邦產物保險股份有限公司分公司,EMA01076,西湖里,"24.994411,121.306269",1、2,1046.0,桃園分局,," ",,,,桃園區三民路三段245號
大樓,私人住宅,EMA01077,民生里,"24.9944434,121.3133339",1、2,660.0,桃園分局,," ",,,,桃園區福昌街8號
公寓,私人住宅,EMA01168,西湖里,"24.9941249,121.306771",1,202.0,桃園分局,," ",,,,桃園區博愛西路6號
大樓,私人住宅,EMA01169,西湖里,"24.9930435,121.3063196",1、2,857.0,桃園分局,,O,,,,桃園區三民路三段301號
公寓,協和大廈,EMA01286,永興里,"24.9973375,121.308635",1,402.0,桃園分局,," ",,,,桃園區北新街91號
大樓,寶佳利社區,EMA01457,民生里,"24.9964403,121.3122727",1、2、3,1441.0,桃園分局,,O,,,,桃園區民生路310-3號
大樓,蜜月世紀大飯店,EMA01459,永興里,"24.9974465,121.307001",1、2,1157.0,桃園分局,,O,,,,桃園區三民路三段55號
公寓,葛里法W社區,T97327,西門里,"24.9960252,121.3070926",1,196.0,桃園分局,," ",,,,桃園區民族路250號
大樓,私人住宅,T97329,西門里,"24.9946488,121.306328",1、2,3629.0,桃園分局,,O,,,,桃園區和興街27號
大樓,鴻福寺,T98028,中和里,"24.9959314,121.3122273",1、2,1001.0,桃園分局,," ",,,,桃園區民生路231號
公寓,私人住宅,EMA11177,南門里,"24.983881,121.304124",1,374.0,桃園分局,," ",,,,桃園區南豐一街40號
公寓,三本大樓,EMA00158,南門里,"24.9890905,121.3063168",1,550.0,桃園分局,," ",,,,桃園區復興路283號
公寓,私人住宅,EMA01078,南門里,"24.9891598,121.3057278",1,13.0,桃園分局,," ",,,,桃園區復興路299號
公寓,古鼎商業大樓,EMA01144,文化里,"24.9896953,121.3107984",1,16.0,桃園分局,," ",,,,桃園區復興路161號
公寓,私人住宅,EMA00098,文化里,"24.9894779,121.3118153",1,13.0,桃園分局,," ",,,,桃園區大同路60號之1
公寓,私人住宅,EMA00099,文化里,"24.9894779,121.3118153",1,89.0,桃園分局,," ",,,,桃園區大同路60號之1
公寓,私人住宅,EMA01111,南門里,"24.9914339,121.304108",1,29.0,桃園分局,," ",,,,桃園區育樂街18號
公寓,私人住宅,EMA00110,武陵里,"24.9913908,121.314859",1,872.0,桃園分局,," ",,,,桃園區民生路58號
公寓,桃花園飯店,EMA01021,文化里,"24.9898457,121.311348",1,69.0,桃園分局,,,,,,桃園區復興路151號
公寓,私人住宅,EMA00134,東門里,"24.9973161,121.3152239",1,60.0,桃園分局,,,,,,桃園區春日路229號
公寓,私人住宅,EMA00135,東門里,"24.997389,121.3152342",1,66.0,桃園分局,,,,,,桃園區春日路231號
公寓,私人住宅,EMA00131,東門里,"24.9974325,121.3152356",1,92.0,桃園分局,,,,,,桃園區春日路233號
公寓,私人住宅,EMA01050,東門里,"24.9940509,121.313821",1,25.0,桃園分局,,,,,,桃園區朝陽街一段75號
公寓,私人住宅,EMA00136,文明里,"24.9883604,121.3078745",1,20.0,桃園分局,,,,,,桃園區大同路157號
公寓,私人住宅,EMA00138,文明里,"24.988976,121.3102131",1,693.0,桃園分局,," ",,,,桃園區大同路112號之1
公寓,"行政院農業委員會 農糧署北區分署",EMA00114,武陵里,"24.9884654,121.3094243",1,442.0,桃園分局,," ",,,,桃園區大同路111號
公寓,私人住宅,EMA00139,南華里,"24.9913277,121.3073362",1,260.0,桃園分局,,,,,,桃園區南海街45號
公寓,私人住宅,EMA00140,南華里,"24.9913277,121.3073362",1,256.0,桃園分局,," ",,,,桃園區南海街54號
公寓,私人住宅,EMA00149,南華里,"24.990511,121.308133",1,38.0,桃園分局,," ",,,,桃園區南華街57號
公寓,私人住宅,EMA00148,文明里,"24.990563,121.308543",1,412.0,桃園分局,," ",,,,桃園區南華街60號
大樓,鎮南華廈,EMA00146,南華里,"24.9906869,121.308443",1、2,1265.0,桃園分局,," ",,,,桃園區南華街66號
公寓,運通大樓,EMA00142,南華里,"24.9908203,121.3081023",1,42.0,桃園分局,," ",,,,桃園區南華街67號
大樓,私人住宅,EMA00144,南華里,"24.9910262,121.3080149",1、2,796.0,桃園分局,,,,,,桃園區南華街77號
公寓,遠東國際商業銀行桃園分行,EMA001178,南華里,"24.991088,121.308367",1,28.0,桃園分局,,,,,,桃園區南華街78號
公寓,凱基銀行桃園分行,EMA00147,南華里,"24.9911032,121.3083527",1,182.0,桃園分局,,,,,,桃園區南華街80號
公寓,私人住宅,EMA00143,南華里,"24.9910147,121.3086271",1,28.0,桃園分局,,,,,,桃園區鎮南街26號
公寓,私人住宅,EMA00141,南華里,"24.990411,121.307711",1,44.0,桃園分局,,,,,,桃園區鎮南街59號
公寓,私人住宅,EMA00145,南華里,"24.990417,121.307265",1,249.0,桃園分局,,,,,,桃園區鎮南街77號
公寓,私人住宅,EMA00152,南門里,"24.9882051,121.3060228",1,126.0,桃園分局,,,,,,桃園市桃園區大同路219號
公寓,私人住宅,EMA01241,南門里,"24.990868,121.306416",1,42.0,桃園分局,,,,,,桃園區三民路三段278號
公寓,桃園市桃園區南門國民小學,EMA00154,南門里,"24.9891301,121.3055056",1,620.0,桃園分局,,,,,,桃園區復興路303號
公寓,私人住宅,EMA00155,南門里,"24.9891948,121.3052657",1,641.0,桃園分局,,,,,,桃園區復興路305號
公寓,私人住宅,EMA00153,南門里,"24.9893335,121.3062581",1,28.0,桃園分局,,,,,,桃園區復興路314號
大樓,中華路16號華廈,EMA01001,文化里,"24.9912266,121.3111792",1、2,1272.0,桃園分局,,,,,,桃園區中華路16號
公寓,私人住宅,EMA00157,南門里,"24.9898542,121.3040094",1,36.0,桃園分局,,,,,,桃園區南山街2號
公寓,私人住宅,EMA00156,南門里,"24.989327,121.3043907",1,245.0,桃園分局,,,,,,桃園市桃園區南山街3號
大樓,樂居華廈,EMA01049,萬壽里,"24.9907814,121.3177307",1、2,64.0,桃園分局,,,,,,桃園區復興路25號
公寓,私人住宅,EMA00161,萬壽里,"24.9908574,121.3166827",1,52.0,桃園分局,,,,,,桃園區復興路43號
公寓,私人住宅,EMA01246,武陵里,"24.9908728,121.3161919",1,324.0,桃園分局,,,,,,桃園市桃園區復興路51號
大樓,私人住宅,EMA00115,武陵里,"24.9908728,121.3161919",1、2,677.0,桃園分局,,,,,,桃園區復興路51號
公寓,"國立臺北科技大學 附屬桃園農工高級中等學校",EMA00159,萬壽里,"24.9932508,121.3201555",1,1052.0,桃園分局,,O,,,,桃園區成功路二段144號
公寓,"國立臺北科技大學 附屬桃園農工高級中等學校",EMA00160,萬壽里,"24.9932508,121.3201555",1,720.0,桃園分局,,O,,,,桃園區成功路二段144號
大樓,私人住宅,EMA00515,文明里,"24.9886999,121.307459",1、2,250.0,桃園分局,," ",,,,桃園區三民路三段413號
公寓,御康大樓,EMA01107,東門里,"24.9935034,121.3143111",1,16.0,桃園分局,,,,,,桃園區成功路二段7號
公寓,御康大樓,EMA01108,東門里,"24.99368,121.314244",1,14.0,桃園分局,,,,,,桃園區成功路二段9號
大樓,私人住宅,EMA00517,西湖里,"24.9929866,121.3061311",1、2、3,573.0,桃園分局,,,,,,桃園區三民路三段303號
大樓,私人住宅,EMA00516,西湖里,"24.9929001,121.3061351",1、2,516.0,桃園分局,,,,,,桃園區三民路三段305號
大樓,私人住宅,EMA00164,東門里,"24.994577,121.3139083",1、2,778.0,桃園分局,,,,,,桃園區朝陽街一段91號
公寓,私人住宅,EMA00165,東門里,"24.9941629,121.31469",1,30.0,桃園分局,,,,,,桃園區忠孝街4號
公寓,私人住宅,EMA00166,東門里,"24.9945382,121.314732",1,50.0,桃園分局,,,,,,桃園區東國街29號
公寓,"台灣自來水股份有限公司 (第二區管理處)",EMA00169,南門里,"24.9920687,121.304489",1,624.0,桃園分局,,,,,,桃園區中山路291號
公寓,私人住宅,EMA00170,南門里,"24.9908959,121.3047585",1,26.0,桃園分局,,,,,,桃園區復興路362巷32弄8號
大樓,私人住宅,EMA00518,南門里,"24.9823539,121.3051809",1、2,1101.0,桃園分局,," ",,,,桃園區南豐街234號
公寓,私人住宅,EMA00553,南華里,"24.99207,121.306337",1,209.0,桃園分局,,O,,,,桃園區三民路三段319號
大樓,私人住宅,EMA00687,南華里,"24.99207,121.306337",1、2、3,828.0,桃園分局,,O,,,,桃園區三民路三段319號
公寓,成功新象,EMA00174,東門里,"24.9950896,121.3172849",1,122.0,桃園分局,," ",,,,桃園區桃一街53號
公寓,成功官邸,EMA00177,東門里,"24.9945589,121.3174",1,4840.0,桃園分局,,O,,,,桃園區成功路二段99號
公寓,成功官邸,EMA00173,東門里,"24.9945024,121.3175536",1,114.0,桃園分局,," ",,,,桃園市桃園區成功路二段101號
公寓,桃園市桃園區東門國民小學,EMA00175,東門里,"24.9944936,121.3152904",1,106.0,桃園分局,," ",,,,桃園區東國街14號
大樓,私人住宅,EMA00100,文化里,"24.9894779,121.3118153",1、2,1272.0,桃園分局,,O,,,,桃園區大同路60號之1
公寓,私人住宅,EMA01112,文化里,"24.9909652,121.3113023",1,32.0,桃園分局,," ",,,,桃園區中華路5號
公寓,鑫華商業大樓,EMA00108,文化里,"24.9908859,121.3110474",1,106.0,桃園分局,,,,,,桃園區中華路33號
大樓,統領百貨,EMA00103,文化里,"24.9910545,121.3124309",1、2、3、4,4336.0,桃園分局,,O,,,,桃園區中正路61號
公寓,私人住宅,EMA00094,文化里,"24.9929189,121.3119747",1,566.0,桃園分局,,,,,,桃園區中正路109號
公寓,私人住宅,EMA00092,文化里,"24.9928788,121.31199",1,846.0,桃園分局,," ",,,,桃園區中正路107號
大樓,啟聖成功大樓,EMA00101,文化里,"24.9926433,121.3111349",1、2,1278.0,桃園分局,,O,,,,桃園區成功路一段32號
