類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
大樓,EVY10305,吉祥里,桃園市蘆竹區吉林路143號,"25.048983,121.300065",1,"1,096 ",蘆竹分局,O,南崁所
大樓,EVY10307,南榮里,桃園市蘆竹區新南路一段305巷10號,"25.039735,121.295595",1,"1,714 ",蘆竹分局,O,南崁所
工廠,EVY10308,長興里,桃園市蘆竹區厚生路51號,"25.054566,121.279034",1,"2,860 ",蘆竹分局,,南崁所
政府機關,EVY10309,內厝里,桃園市蘆竹區長安路二段236號,"25.063134,121.280592",1,"1,870 ",蘆竹分局,O,南崁所
大樓,EVY10310,南崁里,桃園市蘆竹區南華一街168號,"25.043303,121.294689",1,"637 ",蘆竹分局,O,南崁所
工廠,EVY10311,長興里,桃園市蘆竹區南崁路二段142巷35號,"25.062117,121.275553",1,"93 ",蘆竹分局,,南崁所
大樓,EVY10312,羊稠里,桃園市蘆竹區中山路50號,"25.053932,121.299851",1,"16,495 ",蘆竹分局,O,南崁所
民宅,EVY10313,興榮里,桃園市蘆竹區南平街38-3號,"25.045828,121.290316",1,"246 ",蘆竹分局,,南崁所
大樓,EVY10314,長興里,桃園市蘆竹區南崁路一段286號,"25.054455,121.284437",1,"3,265 ",蘆竹分局,O,南崁所
工廠,EVY10315,內厝里,桃園市蘆竹區南山路二段303號,"25.068622,121.285208",1,"1,956 ",蘆竹分局,,南崁所
工廠,EVY10316,錦興里,桃園市蘆竹區錦福路2號,"25.049002,121.285448",1,"66 ",蘆竹分局,,南崁所
大樓,EVY10317,錦中里,桃園市蘆竹區南崁路一段108號,"25.051831,121.288404",1,"5,231 ",蘆竹分局,O,南崁所
工廠,EVY10318,南榮里,桃園市蘆竹區新南路一段305巷38號,"25.03846, 121.29608",1,"1,287 ",蘆竹分局,,南崁所
民宅,EVY10319,羊稠里,桃園市蘆竹區中山路72號,"25.054774,121.299201",1,"164 ",蘆竹分局,,南崁所
工廠,EVY10320,內厝里,桃園市蘆竹區南山路二段205巷22弄11號,"25.066576,121.284272",1,"210 ",蘆竹分局,,南崁所
大樓,EVY10321,營盤里,桃園市蘆竹區歐楓街51號,"25.060572,121.295146",1,"2,829 ",蘆竹分局,O,南崁所
大樓,EVY10322,羊稠里,桃園市蘆竹區中山路22號,"25.051636,121.301141",1,"2,875 ",蘆竹分局,O,南崁所
大樓,EVY10323,羊稠里,桃園市蘆竹區愛山街1號,"25.053892,121.300843",1,"1,611 ",蘆竹分局,O,南崁所
大樓,EVY10324,營福里,桃園市蘆竹區六福路120號,"25.059269,121.296916",1,"4,018 ",蘆竹分局,O,南崁所
大樓,EVY10325,錦中里,桃園市蘆竹區南崁路一段138號,"25.053629,121.287003",1,"3,017 ",蘆竹分局,O,南崁所
大樓,EVY10326,瓦窯里,桃園市蘆竹區長榮路55號,"25.056591,121.287747",1,"2,449 ",蘆竹分局,O,南崁所
大樓,EVY10327,南崁里,桃園市蘆竹區經國路900號,"25.033557,121.300946",1,"2,615 ",蘆竹分局,O,南崁所
工廠,EVY10328,長興里,桃園市蘆竹區南崁路二段28號,"25.058138,121.280221",1,"2,080 ",蘆竹分局,O,南崁所
大樓,EVY10329,南崁里,桃園市蘆竹區新南路一段376號,"25.040175,121.297156",1,"1,530 ",蘆竹分局,O,南崁所
大樓,EVY10330,營盤里,桃園市蘆竹區六福一路5號,"25.06153,121.298764",1,"608 ",蘆竹分局,O,南崁所
大樓,EVY10331,長壽里,桃園市蘆竹區長春路51號,"25.051646,121.298321",1,"1,306 ",蘆竹分局,O,南崁所
大樓,EVY10332,瓦窯里,桃園市蘆竹區南山路一段125號,"25.055461,121.290009",1,"2,037 ",蘆竹分局,O,南崁所
學校,EVY10333,興榮里,桃園市蘆竹區南竹路一段100號,"25.046704,121.289697",1,"1,928 ",蘆竹分局,O,南崁所
大樓,EVY10334,南崁里,桃園市蘆竹區忠孝東路11-2號,"25.044909,121.295658",1,"1,738 ",蘆竹分局,O,南崁所
工廠,EVY10335,內厝里,桃園市蘆竹區南山路二段500號。,"25.072778,121.285631",1,"262 ",蘆竹分局,,南崁所
工廠,EVY10336,山鼻里,桃園市蘆竹區南山路三段17巷4號,"25.0772885, 121.2839301",1,"2,996 ",蘆竹分局,,南崁所
大樓,EVY10337,中山里,桃園市蘆竹區福祿一街76號,"25.056542,121.296806",1,"1,651 ",蘆竹分局,O,南崁所
大樓,EVY10338,錦興里,桃園市蘆竹區錦明街80號,"25.050447,121.288533",1,"1,528 ",蘆竹分局,O,南崁所
民宅,EVY10339,五福里,桃園市蘆竹區五福一路202號,"25.05433,121.294282",1,"259 ",蘆竹分局,,南崁所
工廠,EVY10340,內厝里,桃園市蘆竹區長安路二段220號,"25.063243,121.281276",1,"420 ",蘆竹分局,,南崁所
工廠,EVY10341,瓦窯里,桃園市蘆竹區六福路95號,"25.058582,121.293299",1,"422 ",蘆竹分局,,南崁所
民宅,EVY10342,中山里,桃園市蘆竹區中山路125巷21號,"25.0558,121.297216",1,"248 ",蘆竹分局,,南崁所
工廠,EVY10343,內厝里,桃園市蘆竹區長安路二段109號,"25.0636672, 121.2842245",1,"5,371 ",蘆竹分局,O,南崁所
工廠,EVY10344,內厝里,桃園市蘆竹區長興路三段3號,"25.072931,121.284558",1,"3,631 ",蘆竹分局,O,南崁所
工廠,EVY10345,福祿里,桃園市蘆竹區六福路36號,"25.057808,121.292271",1,"4,632 ",蘆竹分局,,南崁所
大樓,EVY10346,營盤里,桃園市蘆竹區長興路一段40號,"25.060279,121.294152",1,"2,010 ",蘆竹分局,O,南崁所
工廠,EVY10347,瓦窯里,桃園市蘆竹區南山路一段438號,"25.060009,121.289015",1,"289 ",蘆竹分局,,南崁所
工廠,EVY10348,長興里,桃園市蘆竹區西溪路231巷28號,"25.063866,121.274073",1,"2,934 ",蘆竹分局,O,南崁所
工廠,EVY10349,長興里,桃園市蘆竹區南崁路二段297巷32號,"25.059788,121.271294",1,"317 ",蘆竹分局,,南崁所
學校,EVY10350,五福里,桃園市蘆竹區五福六路1號,"25.054686,121.298579",1,"1,041 ",蘆竹分局,O,南崁所
民宅,EVY10351,長興里,桃園市蘆竹區南崁路二段402巷15號,"25.06331,121.268516",1,"208 ",蘆竹分局,,南崁所
大樓,EVY10352,錦興里,桃園市蘆竹區光明路二段56號,"25.046203,121.287949",1,"2,090 ",蘆竹分局,O,南崁所
工廠,EVY10353,錦中里,桃園市蘆竹區南崁路一段101號,"25.051628,121.287705",1,"3,191 ",蘆竹分局,,南崁所
工廠,EVY10354,山鼻里,桃園市蘆竹區長興路二段236號,"25.073364,121.285963",1,"253 ",蘆竹分局,,南崁所
大樓,EVY10355,南榮里,桃園市蘆竹區忠孝西路53號,"25.043934,121.292517",1,"3,081 ",蘆竹分局,O,南崁所
政府機構,EVY10356,錦中里,桃園市蘆竹區錦溪路125號,"25.055268,121.288773",1,"691 ",蘆竹分局,O,南崁所
大樓,EVY10357,羊稠里,桃園市蘆竹區中山北街101號,"25.052023,121.302313",1,"1,404 ",蘆竹分局,O,南崁所
運動中心,EVY10358,瓦窯里,桃園市蘆竹區仁愛路一段49號,"25.051006,121.29414",1,"2,732 ",蘆竹分局,O,南崁所
工廠,EVY10359,長興里,桃園市蘆竹區南工路一段8-8號,"25.058522,121.279005",1,"547 ",蘆竹分局,,南崁所
大樓,EVY10360,南榮里,桃園市蘆竹區榮興路22巷30號,"25.041429,121.294175",1,"462 ",蘆竹分局,O,南崁所
民宅,EVY10361,內厝里,桃園市蘆竹區內溪路7號,"25.070813,121.284588",1,"845 ",蘆竹分局,,南崁所
工廠,EVY10362,內厝里,桃園市蘆竹區南山路二段12巷58號,"25.060901,121.290595",1,"878 ",蘆竹分局,,南崁所
民宅,EVY10363,內厝里,桃園市蘆竹區南山路二段230號,"25.066528,121.286835",1,"132 ",蘆竹分局,,南崁所
工廠,EVY10364,長興里,桃園市蘆竹區南崁路二段12號,"25.05675, 121.27998",2,"2,320 ",蘆竹分局,,南崁所
大樓,EVY10365,山鼻里,桃園市蘆竹區機捷路二段768巷28號,"25.0816017, 121.2886234",1,"1,268 ",蘆竹分局,O,南崁所
工廠,EVY10366,瓦窯里,桃園市蘆竹區榮安路6巷100號,"25.0593, 121.28749",1,"844 ",蘆竹分局,O,南崁所
工廠,EVY10367,瓦窯里,桃園市蘆竹區榮安路6巷36號,"25.0593029,121.286012",1,"567 ",蘆竹分局,O,南崁所
大樓,EVY10368,山鼻里,桃園市蘆竹區機捷路二段816-1號,"25.0811704, 121.2875716",1,"1,233 ",蘆竹分局,O,南崁所
大樓,EVY10369,中山里,桃園市蘆竹區五福六路22-1號,"25.0549959,121.2976694",1,"1,407 ",蘆竹分局,O,南崁所
大樓,EVY10370,吉祥里,桃園市蘆竹區南祥路390號,"25.048906, 121.302451",1,"1,838 ",蘆竹分局,O,南崁所
大樓,EVY10371,內厝里,桃園市蘆竹區長興路一段205巷28號,"25.0639472,121.2910626",1,"3,051 ",蘆竹分局,O,南崁所
大樓,EVY10372,山鼻里,桃園市蘆竹區機捷路二段991號,"25.0806102, 121.2819605",1,"919 ",蘆竹分局,O,南崁所
幼兒園,EVY10373,中山里,中山路211號,"25.0586691,121.2962866",1,"981 ",蘆竹分局,O,南崁所
工廠,EVW10005,新興里,桃園市蘆竹區大竹路119巷6號,"25.014378,121.270542",1,"27 ",蘆竹分局,,大竹所
工廠,EVW10006,新興里,桃園市蘆竹區大竹路111巷9號,"25.013459,121.271287",1,"18 ",蘆竹分局,,大竹所
工廠,EVW10007,新興里,桃園市蘆竹區大竹路111巷7號,"25.01361,121.271379",1,"19 ",蘆竹分局,,大竹所
工廠,EVW10008,新興里,桃園市蘆竹區大竹路119巷9號,"25.014123,121.270669",1,"18 ",蘆竹分局,,大竹所
工廠,EVW10009,新興里,桃園市蘆竹區大竹路111巷5號,"25.013718,121.271501",1,"18 ",蘆竹分局,,大竹所
工廠,EVW10011,上竹里,桃園市蘆竹區大竹路234號,"25.015815,121.268584",1,"22 ",蘆竹分局,,大竹所
工廠,EVW10012,上竹里,桃園市蘆竹區大竹路261號,"25.016646,121.268625",1,"77 ",蘆竹分局,,大竹所
工廠,EVW10015,上竹里,桃園市蘆竹區大竹路263號,"25.016649,121.268548",1,"78 ",蘆竹分局,,大竹所
工廠,EVW10016,上竹里,桃園市蘆竹區大竹路258號,"25.01777, 121.26893",1,"56 ",蘆竹分局,,大竹所
大樓,EVW10019,上興里,桃園市蘆竹區大竹路483號,"25.022137,121.261762",1,"2,392 ",蘆竹分局,O,大竹所
工廠,EVW10020,新興里,桃園市蘆竹區新興街123號,"25.009063,121.271294",1,"230 ",蘆竹分局,,大竹所
工廠,EVW10022,新莊里,桃園市蘆竹區大新路814巷91號,"25.025779,121.241954",1,"400 ",蘆竹分局,,大竹所
工廠,EVW10023,新莊里,桃園市蘆竹區大新路814巷91號,"25.025779,121.241954",1,"250 ",蘆竹分局,,大竹所
工廠,EVW10024,新莊里,桃園市蘆竹區大新路938巷110號,"25.024588,121.240881",1,"932 ",蘆竹分局,,大竹所
工廠,EVW10025,新莊里,桃園市蘆竹區大新路814巷66號,"25.02417,121.243467",1,"44 ",蘆竹分局,,大竹所
民宅,EVW10026,新莊里,桃園市蘆竹區大新路812號,"25.023361,121.244746",1,"55 ",蘆竹分局,,大竹所
民宅,EVW10027,大竹里,桃園市蘆竹區大新三街71號,"25.023247,121.255208",1,"446 ",蘆竹分局,O,大竹所
工廠,EVW10033,中福里,桃園市蘆竹區龍壽街一段206號,"24.992956,121.266981",1,"41 ",蘆竹分局,,大竹所
工廠,EVW10036,中福里,桃園市蘆竹區龍壽街一段8號,"24.99022,121.267414",1,"60 ",蘆竹分局,,大竹所
工廠,EVW10050,新興里,桃園市蘆竹區大竹路285號,"25.01765, 121.26774",1,"35 ",蘆竹分局,,大竹所
工廠,EVW10053,新莊里,桃園市蘆竹區大新路938巷110號,"25.024588,121.240881",1,"1,431 ",蘆竹分局,,大竹所
學校,EVW10055,新興里,桃園市蘆竹區開南路1號,"25.0116269, 121.2705632",1,"5,070 ",蘆竹分局,O,大竹所
大樓,EVW10056,上竹里,桃園市蘆竹區愛國一路90號,"25.024675,121.263189",1,"594 ",蘆竹分局,O,大竹所
工廠,EVW10057,新興里,桃園市蘆竹區新興街127號,"25.009014,121.270965",1,"96 ",蘆竹分局,,大竹所
工廠,EVW10059,新莊里,桃園市蘆竹區大新路938巷110號,"25.024588,121.240881",1,"784 ",蘆竹分局,,大竹所
工廠,EVW10060,新興里,桃園市蘆竹區中興一街150號,"25.01549,121.265334",1,"647 ",蘆竹分局,,大竹所
工廠,EVW10062,新莊里,桃園市蘆竹區大新路814巷91號,"25.025779,121.241954",1,"1,826 ",蘆竹分局,O,大竹所
大樓,EVW10063,上竹里,桃園市蘆竹區上竹二街1號,"25.019949,121.266597",1,"1,371 ",蘆竹分局,O,大竹所
工廠,EVW10064,新莊里,桃園市蘆竹區大興路20巷21弄11號,"25.021988,121.25181",1,"143 ",蘆竹分局,,大竹所
工廠,EVW10065,新莊里,桃園市蘆竹區大興路20巷21弄9號,"25.022262,121.251848",1,"1,248 ",蘆竹分局,,大竹所
學校,EVW10066,大竹里,桃園市蘆竹區大竹路556號,"25.024664,121.258589",1,"414 ",蘆竹分局,O,大竹所
公寓,EVW10067,大竹里,桃園市蘆竹區新福街28號,"25.024455,121.253552",1,"123 ",蘆竹分局,,大竹所
學校,EVW10068,新興里,桃園市蘆竹區開南路1號,"25.0111456, 121.2686213",1,"1,638 ",蘆竹分局,O,大竹所
學校,EVW10069,新興里,桃園市蘆竹區開南路1號,"25.0125359, 121.2696405",1,"963 ",蘆竹分局,O,大竹所
工廠,EVW10070,中福里,桃園市蘆竹區文中路一段168號,"24.99114,121.265336",1,"510 ",蘆竹分局,,大竹所
民宅,EVW10071,大竹里,桃園市蘆竹區大竹路533號,"25.023828,121.259259",1,"124 ",蘆竹分局,,大竹所
學校,EVW10072,大竹里,桃園市蘆竹區大竹路國中巷35號,"25.023, 121.25838",1,"608 ",蘆竹分局,O,大竹所
大樓,EVW10073,中興里,桃園市蘆竹區上興路371號,"25.018595,121.257791",1,"1,077 ",蘆竹分局,O,大竹所
大樓,EVW10074,中興里,桃園市蘆竹區興中街100巷1號,"25.017761,121.259159",1,"1,544 ",蘆竹分局,O,大竹所
學校,EVW10075,新興里,桃園市蘆竹區文中路一段35號,"24.991085,121.273167",1,"1,262 ",蘆竹分局,O,大竹所
大樓,EVW10076,中興里,桃園市蘆竹區興中街51號,"25.017963,121.259876",1,"2,766 ",蘆竹分局,O,大竹所
學校,EVW10077,宏竹里,桃園市蘆竹區大華街98號,"25.039256,121.254247",1,"414 ",蘆竹分局,O,大竹所
學校,EVW10078,新興里,桃園市蘆竹區文中路一段35號,"24.991085,121.273167",1,"2,021 ",蘆竹分局,O,大竹所
大樓,EVW10079,上竹里,桃園市蘆竹區大竹路288巷1號,"25.018592,121.26815",1,"1,534 ",蘆竹分局,O,大竹所
大樓,EVW10080,上興里,桃園市蘆竹區上興路261號,"25.018663,121.259994",1,"4,391 ",蘆竹分局,O,大竹所
學校,EVW10081,新興里,桃園市蘆竹區開南路1號,"25.0118894, 121.2702682",1,"1,696 ",蘆竹分局,O,大竹所
大樓,EVW10082,新興里,桃園市蘆竹區新興街138號,"25.00916, 121.27047",1,"642 ",蘆竹分局,O,大竹所
大樓,EVW10083,上興里,桃園市蘆竹區大興四街112號,"25.018267,121.260312",1,"2,806 ",蘆竹分局,O,大竹所
大樓,EVW10084,上興里,桃園市蘆竹區中興五街41號,"25.020156,121.262808",1,"955 ",蘆竹分局,O,大竹所
大樓,EVW10085,上興里,桃園市蘆竹區中興四街222號,"25.0158292, 121.2636685",1,"1,710 ",蘆竹分局,O,大竹所
大樓,EVW10086,新莊里,桃園市蘆竹區大興十街105號,"25.0215735, 121.2551022",1,"1,276 ",蘆竹分局,O,大竹所
大樓,EVW10087,大竹里,桃園市蘆竹區大福路155號,"25.020731,121.256429",1,"703 ",蘆竹分局,O,大竹所
大樓,EVW10088,中福里,桃園市蘆竹區中興路553巷15-8號,"25.00909,121.255403",1,"662 ",蘆竹分局,O,大竹所
大樓,EVW10089,大竹里,桃園市蘆竹區大興十四街31號,"25.024107,121.253283",1,"873 ",蘆竹分局,O,大竹所
民宅,EVW10090,中興里,桃園市蘆竹區大興九街26號,"25.018335,121.257159",1,"349 ",蘆竹分局,O,大竹所
大樓,EVW10091,大竹里,桃園市蘆竹區大新路197號,"25.02478,121.25266",1,"929 ",蘆竹分局,O,大竹所
大樓,EVW10092,新莊里,桃園市蘆竹區大福路121號,"25.0206418, 121.2552253",1,"1,703 ",蘆竹分局,O,大竹所
大樓,EVW10093,中興里,桃園市蘆竹區大新一街351號,"25.017782,121.257695",1,"1,086 ",蘆竹分局,O,大竹所
大樓,EVW10094,上竹里,桃園市蘆竹區上竹七街26號,"25.022953,121.262749",1,"403 ",蘆竹分局,O,大竹所
大樓,EVW10095,中興里,桃園市蘆竹區大興七街18巷6號,"25.016652,121.258244",1,"520 ",蘆竹分局,O,大竹所
大樓,EVW10096,中興里,桃園市蘆竹區大興路371號,"25.014704,121.259832",1,"2,213 ",蘆竹分局,O,大竹所
大樓,EVW10097,大竹里,桃園市蘆竹區大新三街202號,"25.020727,121.256047",1,"729 ",蘆竹分局,O,大竹所
大樓,EVW10098,大竹里,桃園市蘆竹區大新一街118巷9號,"25.021521,121.25702",1,"1,721 ",蘆竹分局,O,大竹所
大樓,EVW10099,大竹里,桃園市蘆竹區大新四街66號,"25.02351,121.253861",1,"676 ",蘆竹分局,O,大竹所
大樓,EVW10100,中福里,桃園市蘆竹區龍安街二段806號,"25.002713,121.25806",1,"1,950 ",蘆竹分局,O,大竹所
公寓,EVW10101,上竹里,桃園市蘆竹區大同街30號,"25.023779,121.260769",1,"209 ",蘆竹分局,,大竹所
大樓,EVW10102,中興里,桃園市蘆竹區大福路226號,"25.020479,121.258812",1,"1,342 ",蘆竹分局,O,大竹所
大樓,EVW10103,大竹里,桃園市蘆竹區大新路169號,"25.024792,121.254108",1,"1,578 ",蘆竹分局,O,大竹所
大樓,EVW10104,上竹里,桃園市蘆竹區上興路2-2號,"25.020772,121.266329",1,"407 ",蘆竹分局,O,大竹所
民宅,EVW10105,中興里,桃園市蘆竹區興中街156號,"25.016957,121.259376",1,"277 ",蘆竹分局,O,大竹所
工廠,EVW10106,宏竹里,桃園市蘆竹區大竹北路90-66號,"25.031762,121.253417",1,"1,621 ",蘆竹分局,,大竹所
工廠,EVW10107,新興里,桃園市蘆竹區新興街125巷1號,"25.008671,121.271714",1,"935 ",蘆竹分局,O,大竹所
大樓,EVW10108,中福里,桃園市蘆竹區福林街33巷5號,"25.016003,121.25181",1,"1,106 ",蘆竹分局,O,大竹所
大樓,EVW10109,新興里,桃園市蘆竹區國豐十街239巷20號,"24.990615,121.274677",1,"1,073 ",蘆竹分局,O,大竹所
工廠,EVW10110,新莊里,桃園市蘆竹區大新路812號,"25.023361,121.244746",1,"407 ",蘆竹分局,,大竹所
工廠,EVW10111,中福里,桃園市蘆竹區文中路一段133號,"24.990898,121.266308",1,"2,221 ",蘆竹分局,O,大竹所
大樓,EVW10112,新莊里,桃園市蘆竹區大興十街9號,"25.0210525, 121.2549308",1,"376 ",蘆竹分局,O,大竹所
市民活動中心,EVW10113,中興里,桃園市蘆竹區興仁路330號,"25.014284,121.262019",1,"890 ",蘆竹分局,O,大竹所
大樓,EVW10114,中興里,桃園市蘆竹區大興路271號,"25.017112,121.257382",3,"861 ",蘆竹分局,O,大竹所
工廠,EVW10115,新興里,桃園市蘆竹區文新街7號,"24.993624,121.273775",2,"713 ",蘆竹分局,O,大竹所
大樓,EVW10116,大竹里,桃園市蘆竹區大新路36號,"25.02497, 121.25734",1,"3,709 ",蘆竹分局,O,大竹所
大樓,EVZ10001,福昌里,桃園市蘆竹區南昌路266號,"25.039718,121.292109",1,"135 ",蘆竹分局,O,南竹所
大樓,EVZ10002,南興里,桃園市蘆竹區南福街17號,"25.041937,121.291109",1,"2,731 ",蘆竹分局,O,南竹所
大樓,EVZ10003,福昌里,桃園市蘆竹區南昌路278號,"25.03947,121.29258",1,"152 ",蘆竹分局,O,南竹所
大樓,EVZ10004,福昌里　,桃園市蘆竹區南昌路270號,"25.039597,121.292277",1,"1,766 ",蘆竹分局,O,南竹所
大樓,EVZ10005,正興里,桃園市蘆竹區奉化路106號,"25.039657,121.288081",1、2,"3,455 ",蘆竹分局,O,南竹所
大樓,EVZ10006,順興里,桃園市蘆竹區南昌路2號,"25.042452,121.286893",3,"2,502 ",蘆竹分局,O,南竹所
大樓,EVZ10007,福昌里,桃園市蘆竹區南昌路282巷1號,"25.03923,121.292823",1,"235 ",蘆竹分局,O,南竹所
公寓,EVZ10008,南興里,桃園市蘆竹區南福街102號,"25.040068,121.292815",1,"450 ",蘆竹分局,,南竹所
大樓,EVZ10009,南興里,桃園市蘆竹區南昌路259號,"25.040236,121.291642",2,"903 ",蘆竹分局,O,南竹所
大樓,EVZ10010,順興里,桃園市蘆竹區南昌路20巷1號,"25.042092,121.287653",2,"949 ",蘆竹分局,O,南竹所
大樓,EVZ10011,正興里,桃園市蘆竹區奉化路88號,"25.039992,121.287415",2,"6,858 ",蘆竹分局,O,南竹所
大樓,EVZ10012,福昌里,桃園市蘆竹區忠孝西路169巷32號,"25.039925,121.290175",1,"6,791 ",蘆竹分局,O,南竹所
公寓,EVZ10019,蘆竹里,桃園市蘆竹區蘆竹177-8號,"25.048261,121.266318",1,"362 ",蘆竹分局,,南竹所
工廠,EVZ10024,蘆竹里,桃園市蘆竹區南崁路2段和美巷19號,"25.05584, 121.27221",1,"318 ",蘆竹分局,,南竹所
大樓,EVZ10025,正興里,桃園市蘆竹區奉化路56號,"25.040551,121.286456",1,"2,163 ",蘆竹分局,O,南竹所
大樓,EVZ10026,福昌里,桃園市蘆竹區南昌路242號,"25.040334,121.29079",1,"4,933 ",蘆竹分局,O,南竹所
大樓,EVZ10027,福昌里,桃園市蘆竹區奉化路185號,"25.038443,121.290954",2,"2,711 ",蘆竹分局,O,南竹所
大樓,EVZ10028,南興里,桃園市蘆竹區南昌路135號,"25.041736,121.288832",1,"1,378 ",蘆竹分局,O,南竹所
大樓,EVZ10029,南興里,桃園市蘆竹區南福街51號,"25.04145,121.291991",2,"5,995 ",蘆竹分局,O,南竹所
大樓,EVZ10030,順興里,桃園市蘆竹區南昌路130號,"25.041677,121.288462",1,"2,774 ",蘆竹分局,O,南竹所
大樓,EVZ10031,正興里,桃園市蘆竹區南順一街2巷2號,"25.040198,121.285349",1,"679 ",蘆竹分局,O,南竹所
大樓,EVZ10032,福興里,桃園市蘆竹區奉化路182號,"25.038363,121.290494",1,"4,959 ",蘆竹分局,O,南竹所
大樓,EVZ10033,福昌里,桃園市蘆竹區奉化路183-1號,"25.03883,121.290233",1,"1,228 ",蘆竹分局,O,南竹所
大樓,EVZ10034,正興里,桃園市蘆竹區奉化路36號,"25.041014,121.285645",3,"4,190 ",蘆竹分局,O,南竹所
大樓,EVZ10035,福昌里,桃園市蘆竹區南順六街20號,"25.039259,121.290038",1,"2,326 ",蘆竹分局,O,南竹所
大樓,EVZ10036,正興里　,桃園市蘆竹區奉化路66號,"25.040341,121.286799",1、2,"5,291 ",蘆竹分局,O,南竹所
大樓,EVZ10037,正興里,桃園市蘆竹區南順一街2巷16號,"25.040036,121.285624",1,"722 ",蘆竹分局,O,南竹所
大樓,EVZ10038,正興里,桃園市蘆竹區奉化路40號,"25.040873,121.28588",1,"2,208 ",蘆竹分局,O,南竹所
大樓,EVZ10039,南興里,桃園市蘆竹區忠孝西路60號,"25.042126,121.290509",1,"1,313 ",蘆竹分局,O,南竹所
大樓,EVZ10040,福昌里,桃園市蘆竹區奉化路187號,"25.038356,121.29107",2,"1,068 ",蘆竹分局,O,南竹所
大樓,EVZ10041,福昌里,桃園市蘆竹區奉化路191號,"25.038242,121.291331",2,"724 ",蘆竹分局,O,南竹所
工廠,EVZ10042,蘆竹里,桃園市蘆竹區富國路三段1200號,"25.058759,121.26823",1,"2,356 ",蘆竹分局,,南竹所
大樓,EVZ10043,福興里,桃園市蘆竹區奉化路142號,"25.039096,121.289069",1,"2,953 ",蘆竹分局,O,南竹所
大樓,EVZ10044,福興里,桃園市蘆竹區奉化路156號,"25.038753,121.289711",1,"5,111 ",蘆竹分局,O,南竹所
大樓,EVZ10045,順興里,桃園市蘆竹區奉化路17號,"25.041067,121.286004",1,"2,920 ",蘆竹分局,O,南竹所
大樓,EVZ10046,福昌里,桃園市蘆竹區奉化路229號,"25.037668,121.291923",1,"820 ",蘆竹分局,O,南竹所
大樓,EVZ10047,福昌里,桃園市蘆竹區奉化路145號,"25.039055,121.289924",1,"390 ",蘆竹分局,O,南竹所
大樓,EVZ10048,南興里,桃園市蘆竹區南昌路47號,"25.042401,121.287687",1,"3,393 ",蘆竹分局,O,南竹所
大樓,EVZ10049,福昌里,桃園市蘆竹區南順七街32巷5號,"25.039356,121.291169",1,"184 ",蘆竹分局,O,南竹所
大樓,EVZ10050,福昌里,桃園市蘆竹區南福街186巷9號1樓,"25.038108,121.292559",1,"1,966 ",蘆竹分局,O,南竹所
民宅,EVZ10051,蘆竹里,桃園市蘆竹區富國路三段1086號,"25.05519, 121.269566",1,"230 ",蘆竹分局,,南竹所
大樓,EVZ10052,南興里,桃園市蘆竹區南昌路51號,"25.042307,121.287859",1,"3,058 ",蘆竹分局,O,南竹所
大樓,EVZ10054,正興里,桃園市蘆竹區南順四街1巷1號,"25.039456,121.286724",1,"1,161 ",蘆竹分局,O,南竹所
大樓,EVZ10055,南興里,桃園市蘆竹區榮興路26號,"25.040358,121.293342",3,"1,716 ",蘆竹分局,O,南竹所
大樓,EVZ10056,福昌里,桃園市蘆竹區南福街186巷15號,"25.038461,121.292331",3,"1,546 ",蘆竹分局,O,南竹所
大樓,EVZ10057,福興里,桃園市蘆竹區奉化路232號,"25.037831,121.291392",1,"4,345 ",蘆竹分局,O,南竹所
大樓,EVZ10058,福興里,桃園市蘆竹區南順七街2巷2號,"25.037495,121.290434",1,"2,167 ",蘆竹分局,O,南竹所
工廠,EVZ10059,蘆竹里,桃園市蘆竹區南工路136號,"25.055081,121.2767",1,"2,606 ",蘆竹分局,O,南竹所
大樓,EVZ10060,南興里,桃園市蘆竹區忠孝西路78號,"25.041629,121.290217",1,"7,899 ",蘆竹分局,O,南竹所
大樓,EVZ10061,南興里,桃園市蘆竹區南福街223號,"25.037392,121.293372",1,"1,952 ",蘆竹分局,O,南竹所
工廠,EVZ10062,蘆竹里,桃園市蘆竹區富國路三段1228號,"25.058827,121.268619",1,"1,440 ",蘆竹分局,,南竹所
工廠,EVZ10063,蘆竹里,桃園市蘆竹區南青路1188號,"25.057669,121.274396",1,"6,248 ",蘆竹分局,,南竹所
大樓,EVZ10064,順興里,桃園市蘆竹區南順一街85號,"25.041884,121.286033",1,"2,439 ",蘆竹分局,O,南竹所
龍德宮,EVZ10065,富竹里,桃園市蘆竹區富國路一段10號,"25.0269498, 121.2775271",1,"712 ",蘆竹分局,O,南竹所
龍德宮,EVZ10066,富竹里,桃園市蘆竹區富國路一段10號,"25.0272317, 121.2773662",1,"487 ",蘆竹分局,O,南竹所
工廠,EVZ10067,蘆竹里,桃園市蘆竹區南青路1156巷5號,"25.05713,121.273838",1,"1,100 ",蘆竹分局,O,南竹所
學校,EVZ10068,南興里,桃園市蘆竹區南福街255號,"25.04059, 121.29111",1,"1,504 ",蘆竹分局,O,南竹所
大樓,EVZ10069,南興里,桃園市蘆竹區忠孝西路86號,"25.04156, 121.29014",1,"1,009 ",蘆竹分局,O,南竹所
