"unnamed (1)",類別,電腦編號,村里別,經緯度,地下層數位址,可容納人數,轄管分局,停車場坡道,備註,placemark_address
163.0,工廠,ENA06044,大潭里,"25.06393, 121.19727",1.0,"85 ",大園分局,,,"工廠 ENA06044 大潭里 328桃園市觀音區大潭里8鄰電廠路1號"
164.0,工廠,ENA06045,大潭里,"25.02506, 121.05798",1.0,"211 ",大園分局,,,"工廠 ENA06045 大潭里 328桃園市觀音區大潭里1鄰桃科二路288號"
165.0,工廠,ENA06046,大潭里,"25.03557, 121.05828",1.0,"2629 ",大園分局,,,"工廠 ENA06046 大潭里 328桃園市觀音區大潭里環科路218號"
166.0,大樓,ENA06047,白玉里,"25.04588, 121.09117",1.0,"207 ",大園分局,,,"大樓 ENA06047 白玉里 328桃園市觀音區白玉里玉林路一段521號"
167.0,大樓,ENA06048,觀音里,"25.03674, 121.07534",1.0,"468 ",大園分局,,,"大樓 ENA06048 觀音里 328桃園市觀音區觀音里信義路156巷68號"
168.0,大樓,ENA06049,坑尾里,"25.03204, 121.10015",1.0,"1252 ",大園分局,,,"大樓 ENA06049 坑尾里 328桃園市觀音區坑尾里14鄰中山路一段739巷5號"
169.0,大樓,ENA06050,白玉里,"25.04985, 121.08848",1.0,"624 ",大園分局,,,"大樓 ENA06050 白玉里 328桃園市觀音區白玉里桃科九路58號"
170.0,工廠,ENA06051,大潭里,"25.03647, 121.05903",1.0,"130 ",大園分局,,,"工廠 ENA06051 大潭里 328桃園市觀音區大潭里環科路259號"
171.0,大樓,ENA06052,大潭里,"25.03759, 121.06266",1.0,"2320 ",大園分局,,,"大樓 ENA06052 大潭里 328桃園市觀音區大潭里1鄰環科路331號"
172.0,大樓,ENA06054,大潭里,"25.03096, 121.05196",1.0,"6090 ",大園分局,,,"大樓 ENA06054 大潭里 328桃園市觀音區大潭里電廠路1號"
173.0,大樓,ENA06055,廣興里,"25.03439, 121.0993",1.0,"451 ",大園分局,,,"大樓 ENA06055 廣興里 桃園市觀音區廣興里大觀路四段115號2樓"
174.0,工廠,ENA06056,白玉里,"25.05076, 121.09177",1.0,"7615 ",大園分局,,,"工廠 ENA06056 白玉里 1鄰桃科十路100號"
175.0,大樓,ENA07001,金湖里,"25.02146, 121.11881",1.0,"2320 ",大園分局,○,,"大樓 ENA07001 金湖里 328桃園市觀音區金湖里中山路一段1568之1號"
176.0,大樓,ENA07002,富源里,"24.99314, 121.13101",1.0,"48 ",大園分局,,,"大樓 ENA07002 富源里 328桃園市觀音區富源里新富路606號"
177.0,工廠,ENA07003,新坡里,"25.01474, 121.13277",1.0,"101 ",大園分局,○,,"工廠 ENA07003 新坡里 328桃園市觀音區新坡里新生路110號"
178.0,大樓,ENA07004,金湖里,"25.02146, 121.11881",1.0,"790 ",大園分局,○,,"大樓 ENA07004 金湖里 328桃園市觀音區金湖里中山路一段1568之1號"
179.0,大樓,ENA07005,富源里,"24.97186, 121.14263",1.0,"288 ",大園分局,,,"大樓 ENA07005 富源里 328桃園市觀音區富源里新富路1786號"
180.0,工廠,ENA07006,富源里,"24.98523, 121.13007",1.0,"160 ",大園分局,,,"工廠 ENA07006 富源里 328桃園市觀音區富源里新富路161號"
181.0,大樓,ENA07007,富源里,"  24.97186,121.14263",1.0,"910 ",大園分局,,,"大樓 ENA07007 富源里 328桃園市觀音區富源里3鄰新富路855號"
182.0,大樓,ENA07008,富源里,"25.01261, 121.13628",1.0,"1588 ",大園分局,,,"大樓 ENA07008 富源里 328桃園市觀音區富源里富源三路66號"
183.0,工廠,ENA07010,富源里,"24.97369, 121.14017",1.0,"54 ",大園分局,,,"工廠 ENA07010 富源里 328桃園市觀音區富源里新富路606號"
184.0,工廠,ENA07013,上大里,"24.97406, 121.15967",1.0,"45 ",大園分局,,,"工廠 ENA07013 上大里 328桃園市觀音區上大里中觀路一段767號"
185.0,大樓,ENA07014,崙坪里,"24.99513, 121.16246",1.0,"1036 ",大園分局,,,"大樓 ENA07014 崙坪里 328桃園市觀音區崙坪里忠愛路123巷9弄2號"
186.0,工廠,ENA07015,崙坪里,"24.99513, 121.16246",1.0,"922 ",大園分局,,,"工廠 ENA07015 崙坪里 328桃園市觀音區崙坪里忠愛路123巷9弄7號"
187.0,工廠,ENA07016,崙坪里,"24.99439, 121.16279",1.0,"1114 ",大園分局,,,"工廠 ENA07016 崙坪里 328桃園市觀音區崙坪里忠愛路123巷9弄6號"
188.0,大樓,ENA07017,崙坪里,"24.99467, 121.16234",1.0,"877 ",大園分局,,,"大樓 ENA07017 崙坪里 328桃園市觀音區崙坪里忠愛路123巷10弄2號"
189.0,大樓,ENA07018,崙坪里,"24.99427, 121.16208",1.0,"986 ",大園分局,,,"大樓 ENA07018 崙坪里 328桃園市觀音區崙坪里忠愛路123巷9弄5號"
190.0,工廠,ENA07019,崙坪里,"24.99467, 121.16225",1.0,"1033 ",大園分局,,,"工廠 ENA07019 崙坪里 328桃園市觀音區崙坪里忠愛路123巷8弄2號"
191.0,工廠,ENA07020,崙坪里,"24.99439, 121.16219",1.0,"1030 ",大園分局,,,"工廠 ENA07020 崙坪里 328桃園市觀音區崙坪里忠愛路123巷8弄18號"
192.0,工廠,ENA07021,崙坪里,"24.9944, 121.16201",1.0,"1081 ",大園分局,,,"工廠 ENA07021 崙坪里 328桃園市觀音區崙坪里忠愛路123巷10弄1號"
193.0,工廠,ENA07022,崙坪里,"24.99513, 121.16246",1.0,"878 ",大園分局,,,"工廠 ENA07022 崙坪里 328桃園市觀音區崙坪里忠愛路123巷9弄18號"
194.0,大樓,ENA07023,崙坪里,"24.99404, 121.16215",1.0,"758 ",大園分局,,,"大樓 ENA07023 崙坪里 328桃園市觀音區崙坪里忠愛路123巷8弄28號"
195.0,工廠,ENA07025,大同里,"25.01138, 121.13907",1.0,"289 ",大園分局,,,"工廠 ENA07025 大同里 328桃園市觀音區大同里中山路二段805-1號"
196.0,大樓觀音農會,ENA07026,大同里,,1.0,"692 ",大園分局,,328桃園市觀音區大同里中山路二段833號
197.0,工廠,ENA07027,金湖里,"25.02969, 121.10569",1.0,"88 ",大園分局,,,"工廠 ENA07027 金湖里 328桃園市觀音區金湖里中山路一段968號"
198.0,大樓,ENA07028,金湖里,"25.0228, 121.11718",1.0,"58 ",大園分局,,,"大樓 ENA07028 金湖里 328桃園市觀音區金湖里中山路一段1471號"
199.0,大樓,ENA07030,金湖里,"25.017, 121.11871",1.0,"1269 ",大園分局,○,,"大樓 ENA07030 金湖里 328桃園市觀音區金湖里中山路一段1568號"
200.0,大樓,ENA07031,藍埔里,"24.99839, 121.12008",1.0,"1186 ",大園分局,,,"大樓 ENA07031 藍埔里 328桃園市觀音區藍埔里新華路一段855巷16號"
201.0,工廠,ENA07032,金湖里,"25.0213, 121.11972",1.0,"436 ",大園分局,,,"工廠 ENA07032 金湖里 328桃園市觀音區金湖里中山路一段1579巷20號"
202.0,工廠,ENA07034,金湖里,"25.02398, 121.11227",1.0,"68 ",大園分局,,,"工廠 ENA07034 金湖里 328桃園市觀音區金湖里2鄰金橋路育仁段905-1號"
203.0,工廠中華電信,ENA07036,崙坪里,,1.0,"362 ",大園分局,,328桃園市觀音區崙坪里學府路23號
204.0,工廠電信總局,ENA07037,崙坪里,,1.0,"605 ",大園分局,,328桃園市觀音區崙坪里忠愛路260巷60號,"工廠電信總局 ENA07037 崙坪里 (機敏單位)"
205.0,工廠,ENA07039,大堀里,"25.00587, 121.13038",1.0,"177 ",大園分局,○,,"工廠 ENA07039 大堀里 328桃園市觀音區大同里新華路二段225號"
206.0,大樓,ENA07040,新坡里,"25.01448, 121.13664",1.0,"1025 ",大園分局,,,"大樓 ENA07040 新坡里 328桃園市觀音區新坡里文中路32巷26號"
207.0,工廠,ENA07042,新坡里,"25.01448, 121.13664",1.0,"1074 ",大園分局,○,,"工廠 ENA07042 新坡里 328桃園市觀音區新坡里新生路76巷5弄2號"
208.0,工廠郵政總局,ENA07043,大同里,,1.0,"724 ",大園分局,○,328桃園市觀音區大同里新華路二段596號
209.0,大樓電信總局,ENA07044,大同里,,1.0,"1393 ",大園分局,,328桃園市觀音區大同里新華路二段586號
210.0,大樓,ENA07045,富源里,"24.97573, 121.13736",1.0,"1506 ",大園分局,○,,"大樓 ENA07045 富源里 328桃園市觀音區富源里富源七路125號"
211.0,大樓,ENA07046,金湖里,"25.02775, 121.10914",1.0,"409 ",大園分局,○,,"大樓 ENA07046 金湖里 328桃園市觀音區金湖里中山路一段1119號"
212.0,工廠觀音高中,ENA07047,新坡里,"25.01545, 121.13592",1.0,"101 ",大園分局,○,,"工廠觀音高中 ENA07047 新坡里 328桃園市觀音區新坡里中山路二段519號"
213.0,工廠觀音高中,ENA07048,新坡里,"25.01261, 121.13628",1.0,"2850 ",大園分局,○,,"工廠觀音高中 ENA07048 新坡里 328桃園市觀音區新坡里中山路二段519號"
214.0,工廠,ENA07049,上大里,"24.97802, 121.16162",1.0,"2923 ",大園分局,○,,"工廠 ENA07049 上大里 桃園市觀音區上大里中觀路二段185巷36號"
215.0,工廠,ENA07050,大同里,"25.00939, 121.14218",1.0,"1243 ",大園分局,○,,"工廠 ENA07050 大同里 桃園市觀音區大同里福新路1225巷11號"
216.0,大樓,ENA07051,富源里,"24.967, 121.14799",1.0,"673 ",大園分局,○,,"大樓 ENA07051 富源里 328桃園市觀音區富源里忠富路富源段361號"
217.0,大樓,ENA07052,崙坪里,"25.00045, 121.15962",1.0,"1620 ",大園分局,○,,"大樓 ENA07052 崙坪里 328桃園市觀音區崙坪里忠愛路二段198-196號"
218.0,大樓,ENA07053,崙坪里,"25.00045, 121.15962",1.0,"2699 ",大園分局,○,,"大樓 ENA07053 崙坪里 328桃園市觀音區崙坪里忠愛路二段198-116號"
219.0,大樓,ENA07054,藍埔里,"25.00585, 121.11966",2.0,"968 ",大園分局,○,,"大樓 ENA07054 藍埔里 328桃園市觀音區藍埔里石牌路665號"
220.0,大樓,ENA07055,上大里,"24.97791, 121.15652",1.0,"3558 ",大園分局,,,"大樓 ENA07055 上大里 桃園市觀音區上大里10鄰福恩路一段118巷51號"
221.0,,ENA07056,大堀里,"25.00392, 121.12729",1.0,"1651 ",大園分局,,,"ENA07056 大堀里 4鄰新華路二段110巷127號"
222.0,工廠,ENA08001,草漯里,"25.04718, 121.14298",1.0,"822 ",大園分局,,,"工廠 ENA08001 草漯里 328桃園市觀音區草漯里大同一路1號"
223.0,大樓,ENA08002,草漯里,"25.05764, 121.13031",1.0,"164 ",大園分局,,,"大樓 ENA08002 草漯里 328桃園市觀音區草漯里大同一路6號"
224.0,工廠,ENA08003,草漯里,"25.05228, 121.12681",1.0,"306 ",大園分局,,,"工廠 ENA08003 草漯里 桃園市觀音區草漯里大同ㄧ路8號"
225.0,大樓,ENA08004,草漯里,"25.05119, 121.12685",1.0,"448 ",大園分局,,,"大樓 ENA08004 草漯里 桃園市觀音區草漯里大同ㄧ路10號"
226.0,工廠,ENA08005,草漯里,"25.05024, 121.12748",1.0,"120 ",大園分局,,,"工廠 ENA08005 草漯里 桃園市觀音區草漯里大同ㄧ路15號"
227.0,大樓,ENA08007,草漯里,"25.04613, 121.13315",1.0,"132 ",大園分局,,,"大樓 ENA08007 草漯里 328桃園市觀音區草漯里大同一路23之1號"
228.0,工廠,ENA08009,草漯里,"25.04626, 121.13228",1.0,"495 ",大園分局,,,"工廠 ENA08009 草漯里 328桃園市觀音區草漯里大同一路28號"
229.0,大樓,ENA08010,草漯里,"25.0458, 121.13307",1.0,"44 ",大園分局,,,"大樓 ENA08010 草漯里 328桃園市觀音區草漯里榮工北路6號"
230.0,大樓,ENA08011,草漯里,"25.05881, 121.12896",1.0,"228 ",大園分局,,,"大樓 ENA08011 草漯里 328桃園市觀音區草漯里榮工北路10號"
231.0,大樓,ENA08012,草漯里,"25.05783, 121.12969",1.0,"408 ",大園分局,,,"大樓 ENA08012 草漯里 328桃園市觀音區草漯里榮工北路11號"
232.0,工廠,ENA08013,草漯里,"25.05839, 121.12983",1.0,"570 ",大園分局,,,"工廠 ENA08013 草漯里 328桃園市觀音區草漯里榮工北路12號"
233.0,工廠,ENA08014,草漯里,"25.05495, 121.13042",1.0,"265 ",大園分局,,,"工廠 ENA08014 草漯里 328桃園市觀音區草漯里榮工南路2號"
234.0,大樓,ENA08016,草漯里,"25.04639, 121.13548",1.0,"570 ",大園分局,,,"大樓 ENA08016 草漯里 328桃園市觀音區草漯里榮工南路6號"
235.0,大樓,ENA08017,草漯里,"25.04883, 121.13606",1.0,"229 ",大園分局,,,"大樓 ENA08017 草漯里 328桃園市觀音區草漯里榮工南路15號"
236.0,大樓,ENA08018,草漯里,"25.05563, 121.13052",1.0,"167 ",大園分局,,,"大樓 ENA08018 草漯里 328桃園市觀音區草漯里榮工南路17號"
237.0,工廠,ENA08019,草漯里,"25.05387, 121.13019",1.0,"120 ",大園分局,,,"工廠 ENA08019 草漯里 328桃園市觀音區草漯里大同二路1號"
238.0,大樓,ENA08020,草漯里,"25.04718, 121.14298",1.0,"526 ",大園分局,,,"大樓 ENA08020 草漯里 328桃園市觀音區草漯里大同二路5號"
239.0,工廠,ENA08023,草漯里,"25.04872, 121.13519",1.0,"108 ",大園分局,,,"工廠 ENA08023 草漯里 328桃園市觀音區草漯里大同二路18號"
240.0,工廠,ENA08024,草漯里,"25.05512, 121.12434",1.0,"37 ",大園分局,,,"工廠 ENA08024 草漯里 328桃園市觀音區草漯里大同二路19號"
241.0,工廠,ENA08025,草漯里,"25.04907, 121.13513",1.0,"776 ",大園分局,,,"工廠 ENA08025 草漯里 328桃園市觀音區草漯里大同二路20號"
242.0,工廠,ENA08026,草漯里,"25.05007, 121.13039",1.0,"128 ",大園分局,,,"工廠 ENA08026 草漯里 328桃園市觀音區草漯里大同二路21號"
243.0,工廠,ENA08027,草漯里,"25.04954, 121.13554",1.0,"85 ",大園分局,,,"工廠 ENA08027 草漯里 328桃園市觀音區草漯里大同二路24號"
244.0,大樓,ENA08028,草漯里,"25.04746, 121.13338",1.0,"145 ",大園分局,,,"大樓 ENA08028 草漯里 328桃園市觀音區草漯里大同二路36號"
245.0,工廠,ENA08029,草漯里,"25.04753, 121.13546",1.0,"53 ",大園分局,,,"工廠 ENA08029 草漯里 328桃園市觀音區草漯里大同二路39號"
246.0,大樓,ENA08030,草漯里,"25.05889, 121.13647",1.0,"253 ",大園分局,,,"大樓 ENA08030 草漯里 328桃園市觀音區草漯里忠孝路546號"
247.0,工廠,ENA08032,草漯里,"25.04718, 121.14298",1.0,"4158 ",大園分局,,,"工廠 ENA08032 草漯里 328桃園市觀音區草漯里大觀路二段189號"
248.0,大樓,ENA08033,草漯里,"25.05546, 121.13598",1.0,"138 ",大園分局,,,"大樓 ENA08033 草漯里 328桃園市觀音區草漯里13鄰成功路一段408號"
249.0,工廠,ENA08035,草漯里,"25.05075, 121.12821",1.0,"217 ",大園分局,,,"工廠 ENA08035 草漯里 328桃園市觀音區草漯里源遠街7號"
250.0,大樓,ENA08036,草漯里,"25.05542, 121.13162",1.0,"905 ",大園分局,,,"大樓 ENA08036 草漯里 328桃園市觀音區草漯里源遠街8號"
251.0,工廠,ENA08037,草漯里,"25.04987, 121.12878",1.0,"235 ",大園分局,,,"工廠 ENA08037 草漯里 328桃園市觀音區草漯里源遠街12號"
252.0,大樓,ENA08038,樹林里,"25.06491, 121.12908",1.0,"177 ",大園分局,,,"大樓 ENA08038 樹林里 328桃園市觀音區樹林里工業一路1號"
253.0,大樓,ENA08039,樹林里,"25.06588, 121.12812",1.0,"300 ",大園分局,,,"大樓 ENA08039 樹林里 328桃園市觀音區樹林里工業一路5號"
254.0,工廠,ENA08040,樹林里,"25.06198, 121.12837",1.0,"693 ",大園分局,,,"工廠 ENA08040 樹林里 328桃園市觀音區樹林里工業一路12號"
255.0,工廠,ENA08041,樹林里,"25.06839, 121.12765",1.0,"48 ",大園分局,,,"工廠 ENA08041 樹林里 328桃園市觀音區樹林里工業一路16號"
256.0,工廠,ENA08045,樹林里,"25.06576, 121.12627",1.0,"38 ",大園分局,,,"工廠 ENA08045 樹林里 328桃園市觀音區樹林里工業二路12號"
257.0,大樓,ENA08048,樹林里,"25.06697, 121.1259",1.0,"203 ",大園分局,,,"大樓 ENA08048 樹林里 328桃園市觀音區樹林里工業二路18號"
258.0,大樓,ENA08049,樹林里,"25.06713, 121.12478",1.0,"142 ",大園分局,,,"大樓 ENA08049 樹林里 328桃園市觀音區樹林里工業二路22號"
259.0,大樓,ENA08050,樹林里,"25.06674, 121.12371",1.0,"92 ",大園分局,,,"大樓 ENA08050 樹林里 328桃園市觀音區樹林里工業二路23號"
260.0,工廠,ENA08051,樹林里,"25.06706, 121.12335",1.0,"210 ",大園分局,,,"工廠 ENA08051 樹林里 328桃園市觀音區樹林里工業二路25號"
261.0,大樓,ENA08052,樹林里,"25.06198, 121.12837",1.0,"269 ",大園分局,,,"大樓 ENA08052 樹林里 328桃園市觀音區樹林里工業二路28號"
262.0,工廠,ENA08053,樹林里,"25.05764, 121.12566",1.0,"141 ",大園分局,,,"工廠 ENA08053 樹林里 328桃園市觀音區樹林里工業三路1號"
263.0,工廠,ENA08054,樹林里,"25.05973, 121.12403",1.0,"1241 ",大園分局,,,"工廠 ENA08054 樹林里 328桃園市觀音區樹林里工業三路9號"
264.0,大樓,ENA08055,樹林里,"25.05267, 121.12613",1.0,"96 ",大園分局,,,"大樓 ENA08055 樹林里 328桃園市觀音區樹林里建國路11號"
265.0,工廠,ENA08057,樹林里,"25.05619, 121.11996",1.0,"749 ",大園分局,,,"工廠 ENA08057 樹林里 328桃園市觀音區樹林里工業四路7號"
266.0,工廠,ENA08058,樹林里,"25.05708, 121.11948",1.0,"2197 ",大園分局,○,,"工廠 ENA08058 樹林里 328桃園市觀音區樹林里工業四路9號"
267.0,大樓,ENA08059,樹林里,"25.05841, 121.11892",1.0,"188 ",大園分局,,,"大樓 ENA08059 樹林里 328桃園市觀音區樹林里工業四路11號"
268.0,大樓,ENA08060,樹林里,"25.0588, 121.1189",1.0,"466 ",大園分局,,,"大樓 ENA08060 樹林里 328桃園市觀音區樹林里工業四路12號"
269.0,大樓,ENA08061,樹林里,"25.0601, 121.11843",1.0,"41 ",大園分局,,,"大樓 ENA08061 樹林里 328桃園市觀音區樹林里工業四路16號"
270.0,工廠,ENA08062,樹林里,"25.05622, 121.11595",1.0,"553 ",大園分局,,,"工廠 ENA08062 樹林里 328桃園市觀音區樹林里工業五路11號"
271.0,工廠,ENA08063,樹林里,"25.0618, 121.11322",1.0,"1157 ",大園分局,○,,"工廠 ENA08063 樹林里 328桃園市觀音區樹林里工業五路17號"
272.0,工廠,ENA08064,樹林里,"25.05545, 121.12172",1.0,"570 ",大園分局,,,"工廠 ENA08064 樹林里 328桃園市觀音區樹林里經建一路16號"
273.0,工廠,ENA08065,樹林里,"25.05663, 121.12436",1.0,"320 ",大園分局,,,"工廠 ENA08065 樹林里 328桃園市觀音區樹林里經建一路28號"
274.0,工廠,ENA08066,樹林里,"25.05715, 121.12247",1.0,"226 ",大園分局,,,"工廠 ENA08066 樹林里 328桃園市觀音區樹林里經建一路31號"
275.0,大樓,ENA08067,樹林里,"25.05741, 121.12333",1.0,"1138 ",大園分局,,,"大樓 ENA08067 樹林里 328桃園市觀音區樹林里經建一路33號"
276.0,工廠,ENA08068,樹林里,"25.05741, 121.12333",1.0,"2332 ",大園分局,,,"工廠 ENA08068 樹林里 328桃園市觀音區樹林里經建一路33號之1"
277.0,大樓,ENA08070,樹林里,"25.05888, 121.1266",1.0,"25 ",大園分局,,,"大樓 ENA08070 樹林里 328桃園市觀音區樹林里經建一路38號"
278.0,大樓,ENA08071,樹林里,"25.05917, 121.12736",1.0,"192 ",大園分局,,,"大樓 ENA08071 樹林里 328桃園市觀音區樹林里經建一路42號"
279.0,工廠,ENA08072,樹林里,"25.05844, 121.12552",1.0,"148 ",大園分局,,,"工廠 ENA08072 樹林里 328桃園市觀音區樹林里經建一路47號"
280.0,大樓,ENA08073,樹林里,"25.05842, 121.12598",1.0,"121 ",大園分局,,,"大樓 ENA08073 樹林里 328桃園市觀音區樹林里經建一路49號"
281.0,工廠,ENA08074,樹林里,"25.06198, 121.12837",1.0,"693 ",大園分局,,,"工廠 ENA08074 樹林里 328桃園市觀音區樹林里經建一路55號"
282.0,公寓,ENA08077,樹林里,"25.05534, 121.11666",1.0,"365 ",大園分局,,,"公寓 ENA08077 樹林里 328桃園市觀音區樹林里經建二路3號"
283.0,公寓,ENA08078,樹林里,"25.05783, 121.12024",1.0,"338 ",大園分局,,,"公寓 ENA08078 樹林里 328桃園市觀音區樹林里經建二路25號"
284.0,公寓,ENA08079,樹林里,"25.05737, 121.12208",1.0,"333 ",大園分局,,,"公寓 ENA08079 樹林里 328桃園市觀音區樹林里經建二路28號"
285.0,大樓,ENA08080,樹林里,"25.0675, 121.12635",1.0,"6063 ",大園分局,,,"大樓 ENA08080 樹林里 328桃園市觀音區樹林里工業一路31號"
286.0,工廠,ENA08081,樹林里,"25.05889, 121.12413",2.0,"713 ",大園分局,,,"工廠 ENA08081 樹林里 328桃園市觀音區樹林里經建二路33號"
287.0,大樓,ENA08083,樹林里,"25.06005, 121.12537",1.0,"436 ",大園分局,,,"大樓 ENA08083 樹林里 328桃園市觀音區樹林里經建二路45號"
288.0,工廠,ENA08084,樹林里,"25.05946, 121.12506",1.0,"101 ",大園分局,,,"工廠 ENA08084 樹林里 328桃園市觀音區樹林里經建二路46號"
289.0,工廠,ENA08085,樹林里,"25.06029, 121.12538",1.0,"1282 ",大園分局,,,"工廠 ENA08085 樹林里 328桃園市觀音區樹林里經建二路49號"
290.0,大樓,ENA08086,樹林里,"25.06033, 121.12585",1.0,"86 ",大園分局,,,"大樓 ENA08086 樹林里 328桃園市觀音區樹林里經建二路52號"
291.0,大樓,ENA08087,樹林里,"25.05766, 121.11799",1.0,"512 ",大園分局,,,"大樓 ENA08087 樹林里 328桃園市觀音區樹林里經建三路5號"
292.0,工廠,ENA08088,樹林里,"25.06073, 121.12447",2.0,"116 ",大園分局,,,"工廠 ENA08088 樹林里 328桃園市觀音區樹林里經建三路25、27號"
293.0,工廠,ENA08089,樹林里,"25.06122, 121.12437",1.0,"138 ",大園分局,,,"工廠 ENA08089 樹林里 328桃園市觀音區樹林里經建三路29號"
294.0,工廠,ENA08090,樹林里,"25.06179, 121.12478",1.0,"89 ",大園分局,,,"工廠 ENA08090 樹林里 328桃園市觀音區樹林里經建三路33號"
295.0,工廠,ENA08091,樹林里,"25.05999, 121.12411",1.0,"73 ",大園分局,,,"工廠 ENA08091 樹林里 328桃園市觀音區樹林里經建三路42號"
296.0,工廠,ENA08092,樹林里,"25.06131, 121.12513",1.0,"72 ",大園分局,,,"工廠 ENA08092 樹林里 328桃園市觀音區樹林里經建三路45號"
297.0,工廠,ENA08093,樹林里,"25.0605, 121.12512",1.0,"214 ",大園分局,,,"工廠 ENA08093 樹林里 328桃園市觀音區樹林里經建三路46號"
298.0,工廠,ENA08094,樹林里,"25.06137, 121.12532",1.0,"585 ",大園分局,,,"工廠 ENA08094 樹林里 328桃園市觀音區樹林里經建三路50號"
299.0,工廠,ENA08095,樹林里,"25.06211, 121.12608",1.0,"293 ",大園分局,,,"工廠 ENA08095 樹林里 328桃園市觀音區樹林里經建三路52號"
300.0,工廠,ENA08096,樹林里,"25.05943, 121.11614",2.0,"33 ",大園分局,,,"工廠 ENA08096 樹林里 328桃園市觀音區樹林里經建四路7號"
301.0,工廠,ENA08097,樹林里,"25.05963, 121.11646",1.0,"73 ",大園分局,,,"工廠 ENA08097 樹林里 328桃園市觀音區樹林里經建四路9號"
302.0,工廠,ENA08098,樹林里,"25.05963, 121.11784",1.0,"484 ",大園分局,,,"工廠 ENA08098 樹林里 328桃園市觀音區樹林里經建四路15號"
303.0,工廠,ENA08099,樹林里,"25.05962, 121.11806",1.0,"97 ",大園分局,,,"工廠 ENA08099 樹林里 328桃園市觀音區樹林里經建四路17號"
304.0,工廠,ENA08100,樹林里,"25.05989, 121.11846",1.0,"577 ",大園分局,,,"工廠 ENA08100 樹林里 328桃園市觀音區樹林里經建四路21號"
305.0,工廠,ENA08101,樹林里,"25.06176, 121.12366",1.0,"30 ",大園分局,,,"工廠 ENA08101 樹林里 328桃園市觀音區樹林里經建四路22號"
306.0,工廠,ENA08103,樹林里,"25.06273, 121.12506",1.0,"104 ",大園分局,,,"工廠 ENA08103 樹林里 328桃園市觀音區樹林里經建四路32號"
307.0,工廠,ENA08104,樹林里,"25.063, 121.1253",1.0,"46 ",大園分局,,,"工廠 ENA08104 樹林里 328桃園市觀音區樹林里經建四路34號"
308.0,工廠,ENA08105,樹林里,"25.06342, 121.12579",1.0,"596 ",大園分局,,,"工廠 ENA08105 樹林里 328桃園市觀音區樹林里經建四路36號"
309.0,工廠,ENA08106,樹林里,"25.06185, 121.12308",1.0,"76 ",大園分局,,,"工廠 ENA08106 樹林里 328桃園市觀音區樹林里經建四路42號"
310.0,工廠,ENA08107,樹林里,"25.06216, 121.12376",1.0,"134 ",大園分局,,,"工廠 ENA08107 樹林里 328桃園市觀音區樹林里經建四路43號"
311.0,工廠,ENA08108,樹林里,"25.06216, 121.12376",1.0,"18 ",大園分局,,,"工廠 ENA08108 樹林里 328桃園市觀音區樹林里經建四路45號"
312.0,工廠,ENA08109,樹林里,"25.06407, 121.12622",1.0,"526 ",大園分局,,,"工廠 ENA08109 樹林里 328桃園市觀音區樹林里經建四路47號"
313.0,工廠,ENA08110,樹林里,"25.0599, 121.11448",1.0,"560 ",大園分局,,,"工廠 ENA08110 樹林里 328桃園市觀音區樹林里經建五路1號"
314.0,工廠,ENA08111,樹林里,"25.05951, 121.11442",1.0,"560 ",大園分局,,,"工廠 ENA08111 樹林里 328桃園市觀音區樹林里經建五路2號"
315.0,工廠,ENA08112,樹林里,"25.05978, 121.11552",1.0,"102 ",大園分局,,,"工廠 ENA08112 樹林里 328桃園市觀音區樹林里經建五路6號"
316.0,工廠,ENA08113,樹林里,"25.06047, 121.11642",1.0,"61 ",大園分局,,,"工廠 ENA08113 樹林里 328桃園市觀音區樹林里經建五路12號"
317.0,工廠,ENA08114,樹林里,"25.06008, 121.11708",1.0,"262 ",大園分局,,,"工廠 ENA08114 樹林里 328桃園市觀音區樹林里經建五路14號"
318.0,工廠,ENA08115,樹林里,"25.06079, 121.11713",1.0,"44 ",大園分局,,,"工廠 ENA08115 樹林里 328桃園市觀音區樹林里經建五路18號"
319.0,工廠,ENA08116,樹林里,"25.06117, 121.11809",1.0,"104 ",大園分局,,,"工廠 ENA08116 樹林里 328桃園市觀音區樹林里經建五路20號"
320.0,工廠,ENA08117,樹林里,"25.0614, 121.11859",1.0,"93 ",大園分局,,,"工廠 ENA08117 樹林里 328桃園市觀音區樹林里經建五路22號"
321.0,工廠,ENA08118,樹林里,"25.06247, 121.12116",1.0,"197 ",大園分局,,,"工廠 ENA08118 樹林里 328桃園市觀音區樹林里經建五路30號"
322.0,工廠,ENA08119,樹林里,"25.06191, 121.12231",1.0,"8013 ",大園分局,,,"工廠 ENA08119 樹林里 328桃園市觀音區樹林里經建五路32號"
323.0,工廠,ENA08120,樹林里,"25.06287, 121.11665",1.0,"1014 ",大園分局,,,"工廠 ENA08120 樹林里 328桃園市觀音區樹林里經建六路3號"
324.0,工廠,ENA08121,樹林里,"25.06738, 121.12471",1.0,"45 ",大園分局,,,"工廠 ENA08121 樹林里 328桃園市觀音區樹林里經建六路29號"
325.0,工廠,ENA08123,草漯里,"25.04954, 121.13704",1.0,"94 ",大園分局,,,"工廠 ENA08123 草漯里 328桃園市觀音區草漯里成功路一段502號"
