類別,建築物名稱,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道
大樓,振豐電子企業股份有限公司,T104101,龍祥里,"24.980549,121.2734",1、2,1325.0,桃園分局,,v
大樓,漢東敦美社區,T104102,中平里,"24.989406,121.295267",1、2,664.0,桃園分局,,v
大樓,凡賽絲社區,T104103,瑞慶里,"25.0197982,121.2918004",1、2、3,2516.0,桃園分局,,v
公寓,府上社區,T104104,南埔里,"25.0063398,121.2971135",1、2、3,744.0,桃園分局,,v
大樓,宅美髮店,T104105,長安里,"25.0060587,121.3027069",1、2、3,769.0,桃園分局,," "
公寓,公寓,T104106,中正里,"24.994863,121.300044",1、2、3,1604.0,桃園分局,,v
大樓,達爾菲社區,T104107,寶慶里,"25.012498,121.2958205",1、2、3,822.0,桃園分局,," "
大樓,經國逸品社區,T104108,新埔里,"25.0175313,121.3053472",1、2、3,789.0,桃園分局,," "
公寓,經國逸品B區社區,T104109,新埔里,"25.0173408,121.3054626",1、2、3,938.0,桃園分局,," "
大樓,和瑞大安社區,T104110,中山里,"24.9854776,121.2924467",1、2,1372.0,桃園分局,,v
公寓,雋品社區,T104201,長德里,"25.0019497,121.3004217",1、2,861.0,桃園分局,," "
大樓,麗寶芙蓉匯社區,T104202,同安里,"25.0135062,121.3020779",1、2、3、4,1496.0,桃園分局,,v
大樓,陽明ONE社區,T104203,福林里,"24.9798962,121.311522",1、2,1604.0,桃園分局,,v
大樓,合輝國家美學館,T104204,三民里,"24.9956394,121.3209379",1、2、3,1053.0,桃園分局,,v
大樓,麗思卡登,T104205,南埔里,"25.0072567,121.2942778",1、2、3,1164.0,桃園分局,,v
公寓,銘大臻品苑社區,T104206,南門里,"24.9853199,121.3029772",1、2,967.0,桃園分局,," "
公寓,公寓,T104207,龍安里,"24.9925483,121.2773839",1,196.0,桃園分局,," "
大樓,市府双星社區,T104208,泰山里,"24.990278,121.297488",1、2,428.0,桃園分局,," "
大樓,豐達藝社區,T104301,中平里,"24.9899975,121.2942925",1、2、3,912.0,桃園分局,,v
大樓,中山都匯社區,T104302,中山里,"24.9902386,121.2897401",1、2、3,2077.0,桃園分局,,v
大樓,慕朵微風,T104303,慈文里,"25.0049314,121.2999077",1、2、3,1032.0,桃園分局,,v
大樓,公寓,T104304,青溪里,"25.000823,121.315149",1,164.0,桃園分局,," "
大樓,公寓,T104305,文化里,"24.990431,121.312353",1、2、3、4,854.0,桃園分局,,v
大樓,豐達ONE社區,T104306,春日里,"25.0156255,121.3097156",1、2、3,662.0,桃園分局,,v
大樓,康鈞賦NO.2社區,T104307,大林里,"24.9749352,121.3226895",1,603.0,桃園分局,," "
公寓,京澄晴朗,T104308,信光里,"25.0099066,121.3081905",1、2、3,694.0,桃園分局,," "
大樓,公寓,T104309,中德里,"24.9676217,121.2924685",1,79.0,桃園分局,," "
大樓,御景社區,T104310,龍岡里,"24.994424,121.2819274",1、2,753.0,桃園分局,," "
大樓,高層双星社區,T104311,大林里,"24.9723447,121.3220179",1、2,852.0,桃園分局,," "
大樓,大清旭日社區,T104312,經國里,"25.011287,121.307676",1、2、3,1623.0,桃園分局,,v
大樓,中路御品社區,T104401,龍鳳里,"24.9901635,121.2791723",1、2、3,1814.0,桃園分局,,v
大樓,昱京科技股份有限公司,T104402,大林里,"24.9721494,121.3203406",1,577.0,桃園分局,," "
大樓,謙玉苑,T104403,青溪里,"24.9991956,121.3141731",1、2,996.0,桃園分局,," "
大樓,中茂新天地,T104404,同安里,"25.0145768,121.30052",1、2、3、4,2089.0,桃園分局,,v
大樓,鴻竹新願社區,T104405,中信里,"24.9932064,121.2841192",1、2、3,1076.0,桃園分局,,v
大樓,捷寶君品社區,T104406,同安里,"25.0134368,121.3008266",1、2、3、4,932.0,桃園分局,,v
大樓,定泰翫寶社區,T104407,同安里,"25.0114848,121.3026388",1、2、3,2192.0,桃園分局,,v
大樓,經國City社區,T104408,新埔里,"25.0182479,121.306454",1、2、3,983.0,桃園分局,,v
大樓,藝集社區,T104409,檜樂里,"25.0186204,121.3159118",1、2、3,1008.0,桃園分局,,v
大樓,印象羅芙社區,T104410,同安里,"25.0126801,121.3006435",1、2、3、4,976.0,桃園分局,,v
大樓,安芯醫學美容藥妝,T104411,龍安里,"24.9917481,121.2791444",1,295.0,桃園分局,," "
大樓,京上澄社區,T104412,同安里,"25.0091182,121.3041213",1、2,690.0,桃園分局,,v
大樓,金莎堡汽車旅館,T104413,大林里,"24.9739328,121.3204912",1,987.0,桃園分局,," "
大樓,鴻築心天母社區,T103101,會稽里,"25.0164694,121.3154414",1、2、3,2798.0,桃園分局,,v
公寓,公寓,T103102,三民里,"24.9954838,121.3198788",1、2、3,1414.0,桃園分局,,v
大樓,新帝標社區,T103103,龍壽里,"24.980515,121.2706702",1、2、3、4,3100.0,桃園分局,,v
大樓,英堡,T103104,青溪里,"25.0000904,121.3139022",1,477.0,桃園分局,," "
大樓,君頂會,T103105,南埔里,"25.0072552,121.2930683",1、2、3,1263.0,桃園分局,,v
大樓,摩天芳鄰社區,T103106,莊敬里,"25.0229752,121.2955707",1、2、3,3789.0,桃園分局,,v
大樓,美力城邦極美館社區,T103201,大林里,"24.9737803,121.3223977",1、2、3,2296.0,桃園分局,,v
大樓,大陸澄品,T103202,信光里,"25.0085819,121.3074779",1、2、3,911.0,桃園分局,,v
公寓,新晶華,T103203,大有里,"25.0125711,121.3193073",1、2、3,2655.0,桃園分局,,v
公寓,昇陽商業大樓,T103204,同安里,"25.0136796,121.299962",1、2,1185.0,桃園分局,,v
大樓,尊聖首善社區,T103205,長美里,"24.9936214,121.3081028",1、2、3,831.0,桃園分局,,v
大樓,益展城心社區,T103206,東埔里,"25.0019105,121.3086833",1、2、3,1074.0,桃園分局,,v
公寓,朝揚大器社區,T103207,莊敬里,"25.0226021,121.2989508",1、2、3,1791.0,桃園分局,,v
大樓,杜拜美學,T103301,大有里,"25.0102029,121.3197641",1、2、3,4628.0,桃園分局,,v
公寓,合遠京王社區,T103302,自強里,"25.0252813,121.3013753",1、2、3,2702.0,桃園分局,,v
大樓,悅龍莊社區,T103303,同安里,"25.0098011,121.3032242",1、2、3,1762.0,桃園分局,,v
公寓,百川晶硯,T103304,大業里,"25.010036,121.3149456",1、2、3,1297.0,桃園分局,,v
大樓,四季水花園,T103305,大業里,"25.0107606,121.314094",1、2、3,1214.0,桃園分局,,v
大樓,御集社區,T103306,東山里,"24.991308,121.317503",1、2,223.0,桃園分局,," "
大樓,陽明綜合大樓,T103307,福林里,"24.979503,121.3070793",1,782.0,桃園分局,," "
大樓,朝陽銳商辦大樓,T103308,同安里,"25.0162078,121.299635",1、2、3,735.0,桃園分局,,v
大樓,將相琚社區,T103309,永興里,"24.9968458,121.309564",1、2、3、4,1194.0,桃園分局,,v
公寓,遇見鴻築社區,T103310,中信里,"24.992614,121.2845106",1、2、3,1224.0,桃園分局,,v
大樓,延平新站社區,T103311,大豐里,"24.9820755,121.3143935",1,193.0,桃園分局,," "
大樓,耀時代社區,T103312,春日里,"25.016049,121.3096801",1、2、3,1289.0,桃園分局,,v
大樓,延平新站社區,T103401,大豐里,"24.9820755,121.3143935",1,193.0,桃園分局,," "
大樓,大清椈月社區,T103402,北埔里,"25.0223689,121.2920109",1、2、3,1336.0,桃園分局,,v
大樓,站前IHOME社區,T103403,東山里,"24.991503,121.316549",1、2,362.0,桃園分局,," "
大樓,禮玉苑,T103404,青溪里,"24.9990458,121.3140481",1、2,301.0,桃園分局,," "
大樓,力璞悅月館,T103405,南埔里,"25.008979,121.2967279",1、2、3,979.0,桃園分局,,v
大樓,桃園市政府警察局,T103406,中正里,,1、2,628.0,桃園分局,(機敏單位)警察單位," "
大樓,公寓,T103407,大林里,"24.9756917,121.3220261",1,131.0,桃園分局,," "
公寓,鉑悅社區,T103408,北門里,"25.002659,121.309446",1、2、3,846.0,桃園分局,,v
大樓,康鈞賦NO.1社區,T103409,大林里,"24.9746523,121.3221267",1、2,890.0,桃園分局,,v
大樓,公寓,T103410,自強里,"25.0213093,121.3036426",1,142.0,桃園分局,," "
公寓,公寓,T103411,武陵里,"24.990321,121.313636",1,151.0,桃園分局,," "
大樓,力璞悅日館,T103412,南埔里,"25.0086168,121.2963112",1、2、3,1071.0,桃園分局,,v
大樓,永晟青澄社區,T103413,龍安里,"24.9923342,121.2761395",1、2、3,729.0,桃園分局,," "
大樓,歐風大郡NO.5,T103414,龍壽里,"24.983917,121.272703",1、2、3,2122.0,桃園分局,,v
大樓,陸昇威登,T103415,寶慶里,"25.0124171,121.2955917",1、2,1259.0,桃園分局,,v
公寓,麗悅,T103416,大有里,"25.0119826,121.3189856",1、2、3,2419.0,桃園分局,,v
大樓,公寓,T103417,文中里,"24.9957855,121.2897381",1,221.0,桃園分局,," "
大樓,公寓,T103418,中和里,"24.9963999,121.311146",1,62.0,桃園分局,," "
大樓,捷運金鑽社區,T102101,永興里,"24.9957042,121.3089634",1、2,385.0,桃園分局,," "
大樓,公寓,T102102,瑞慶里,"25.0218187,121.2914425",1,132.0,桃園分局,," "
大樓,中悅一品社區,T102103,同安里,"25.0154393,121.2990783",1、2、3、4,6750.0,桃園分局,,v
大樓,麗園道社區,T102104,中德里,"24.9635067,121.2909749",1、2、3,828.0,桃園分局,,v
大樓,鴻築由心社區,T102201,會稽里,"25.0164732,121.3156198",1、2、3,687.0,桃園分局,,v
大樓,豐達謙邑社區,T102202,龍安里,"24.993588,121.2791089",1、2、3,1559.0,桃園分局,,v
大樓,立凱電能科技股份有限公司,T102203,大樹里,"24.979521,121.323031",1,283.0,桃園分局,," "
大樓,重久馥邦,T102204,大樹里,"24.9793785,121.3203222",1、2,1422.0,桃園分局,,v
大樓,聖波得堡,T102205,寶慶里,"25.0115459,121.2957459",1、2、3,801.0,桃園分局,," "
大樓,帝璽,T102301,中寧里,"25.0104545,121.3004251",1、2、3、4,2696.0,桃園分局,,v
大樓,漢生Room18,T102302,寶山里,"25.012179,121.3140573",1、2,2700.0,桃園分局,,v
大樓,公寓,T102303,三民里,"24.9980009,121.318343",1,166.0,桃園分局,," "
大樓,英業達股份有限公司,T102304,大林里,"24.9786633,121.3266666",1、2、3、4,8525.0,桃園分局,,v
大樓,公寓,T102305,中原里,"24.9855241,121.2946246",1,391.0,桃園分局,," "
大樓,達文西社區,T102306,龍壽里,"24.9791075,121.2707549",1、2、3,2774.0,桃園分局,,v
公寓,美力城邦艾美館社區,T102307,大林里,"24.9736529,121.3227513",1、2、3,1058.0,桃園分局,,v
公寓,竹城早稻田,T102308,信光里,"25.0075091,121.306482",1、2、3,3326.0,桃園分局,,v
大樓,天空樹社區,T102401,泰山里,"24.9891382,121.2994814",1、2,1812.0,桃園分局,,v
大樓,京城清朗社區,T102402,中聖里,"24.9886737,121.2864806",1、2、3,994.0,桃園分局,," "
大樓,知安社區,T102403,光興里,"24.9922339,121.304107",1、2、3,481.0,桃園分局,," "
公寓,富萊悅社區,T102404,雲林里,"24.9839577,121.3192934",1、2,886.0,桃園分局,," "
大樓,閱讀萊茵哨驅,T102405,龍壽里,"24.9834868,121.2691283",1、2、3,1578.0,桃園分局,,v
大樓,桃大泰極社區,T102406,中德里,"24.9646543,121.2947109",1、2,1065.0,桃園分局,,v
公寓,葛里法五世社區,T102407,莊敬里,"25.0199429,121.2988777",1、2、3,5553.0,桃園分局,,v
大樓,培德,T102408,大業里,"25.0090184,121.3146206",1、2,523.0,桃園分局,," "
大樓,合輝鼎苑社區,T102409,同安里,"25.0110577,121.3050319",1、2,2292.0,桃園分局,,v
大樓,中正文華社區,T102410,中正里,"24.994863,121.300044",1、2、3,888.0,桃園分局,,v
大樓,新晶晶,T102411,大有里,"25.0128588,121.3199724",1,514.0,桃園分局,," "
大樓,誠豐社區,T102412,中信里,"24.992458,121.2844683",1、2,709.0,桃園分局,,v
大樓,華爾道夫社區,T102413,同安里,"25.0133485,121.301526",1、2、3、4,2630.0,桃園分局,,v
公寓,光合,T102414,大業里,"25.0107896,121.3143655",1、2,873.0,桃園分局,," "
公寓,群都三期社區,T102415,寶安里,"25.0155533,121.2918933",1、2,1830.0,桃園分局,,v
大樓,力璞當代,T101101,南埔里,"25.0077299,121.2967708",1、2、3,1626.0,桃園分局,,v
大樓,御品苑社區,T101102,大樹里,"24.9795457,121.3180839",1,676.0,桃園分局,,v
公寓,聚豐耘,T101103,永安里,"24.9997506,121.3047532",1、2,1315.0,桃園分局,,v
公寓,合遠首葳,T101104,長德里,"25.0027155,121.3014684",1、2、3,1003.0,桃園分局,,v
公寓,百川大喆,T101105,南埔里,"25.0063063,121.294051",1、2,2209.0,桃園分局,,v
公寓,鼎營和砌社區,T101106,中路里,"24.9930166,121.2917633",1、2,675.0,桃園分局,," "
大樓,英業達股份有限公司,T101201,大林里,"24.9786633,121.3266666",1、2、3、4,8525.0,桃園分局,,v
大樓,天群社區,T101202,北埔里,"25.0231471,121.2913134",1、2,886.0,桃園分局,," "
大樓,昭揚大隱社區,T101203,經國里,"25.0127223,121.3056851",1、2,1692.0,桃園分局,,v
大樓,美力城邦藝美館社區,T101204,大林里,"24.9747301,121.323401",1、2、3,735.0,桃園分局,,v
大樓,公寓,T101205,武陵里,"24.9931969,121.3131352",1、2、3,962.0,桃園分局,," "
公寓,英業達股份有限公司,T101206,大林里,"24.9786633,121.3266666",1、2、3、4,8544.0,桃園分局,,v
公寓,君悅社區,T101207,中信里,"24.994116,121.2831964",1、2、3,1119.0,桃園分局,,v
公寓,RICH58商辦大樓,T101301,同安里,"25.013693,121.3026995",1、2、3,986.0,桃園分局,," "
公寓,桃大富林苑社區,T101302,中德里,"24.9617247,121.2935518",1、2,4123.0,桃園分局,,v
大樓,公寓,T101303,青溪里,"25.0009632,121.3175811",1、2,505.0,桃園分局,," "
公寓,拉斐爾,T101304,龍壽里,"24.9795699,121.2712236",1、2、3,2774.0,桃園分局,,v
公寓,美力城邦國美館社區,T101305,大林里,"24.9745674,121.3227495",1、2、3,2692.0,桃園分局,,v
大樓,巴黎馥,T101306,長德里,"25.0026124,121.2992063",1、2、3,1719.0,桃園分局,,v
大樓,比佛利社區,T101401,大林里,"24.9736951,121.3202477",1、2,2547.0,桃園分局,,v
大樓,大吾疆社區,T101402,莊敬里,"25.0245207,121.2948346",1、2、3,3624.0,桃園分局,,v
大樓,新晶華,T101403,大有里,"25.0126903,121.3199897",1、2,773.0,桃園分局,,v
公寓,竹城新城社區,T101404,中德里,"24.9647757,121.2948258",1、2、3,2723.0,桃園分局,,v
大樓,青川,T101405,忠義里,"25.0044475,121.3163154",1,737.0,桃園分局,,v
大樓,大秀南玉社區,T100101,玉山里,"24.987955,121.3019843",1、2,836.0,桃園分局,," "
大樓,竹成大和,T100102,同德里,"25.0151304,121.2967523",1、2、3,4542.0,桃園分局,,v
大樓,IF國際貿易中心大樓,T100103,瑞慶里,"25.0225671,121.2951621",1、2、3、4,1367.0,桃園分局,,v
大樓,中正美館,T100104,永安里,"24.9988269,121.304376",1、2、3,746.0,桃園分局,,v
公寓,葳旺有限公司,T100105,建國里,"24.9884881,121.3164975",1,583.0,桃園分局,," "
公寓,紐約大時代,T100201,中寧里,"25.0104225,121.2988641",1、2、3,4013.0,桃園分局,,v
大樓,公寓,T100202,中德里,"24.965169,121.2924775",1,422.0,桃園分局,," "
公寓,經國亞緻社區,T100203,經國里,"25.011287,121.307676",1、2、3,1535.0,桃園分局,,v
大樓,竹城橫濱社區,T100204,春日里,"25.0203015,121.3105596",1、2、3,2027.0,桃園分局,,v
大樓,豐達百邑社區,T100205,龍鳳里,"24.9895064,121.2794396",1,855.0,桃園分局,,v
大樓,明勝兒童課後課後照顧服務中心,T100206,龍安里,"24.9917874,121.2748881",1,83.0,桃園分局,," "
大樓,家賀,T100207,大有里,"25.0146157,121.3195154",1、2、3,442.0,桃園分局,," "
大樓,台灣表面黏著科技公司,T100301,大樹里,"24.9790955,121.3218665",1,3463.0,桃園分局,,v
大樓,公寓,T100302,西埔里,"25.0105908,121.2802921",1、2,1253.0,桃園分局,,v
大樓,宜誠富御,T100303,龍岡里,"24.9926146,121.2836905",1、2,963.0,桃園分局,," "
大樓,豪椰大鎮社區,T100304,大林里,"24.9738563,121.3209439",1、2,630.0,桃園分局,,v
大樓,公寓,T100305,慈文里,"25.0054345,121.297839",1,162.0,桃園分局,," "
大樓,台達電子工業股份有限公司,T100306,大樹里,"24.9843211,121.3212152",1,4623.0,桃園分局,,v
大樓,台達電子工業股份有限公司,T100401,大樹里,"24.9843211,121.3212152",1,4623.0,桃園分局,,v
大樓,大陽明社區,T100402,福林里,"24.9778872,121.3043626",1,150.0,桃園分局,," "
大樓,典藏藝樹社區,T100403,瑞慶里,"25.0199506,121.2905982",1、2,841.0,桃園分局,,v
公寓,昭揚,T100404,福元里,"25.0058778,121.3161799",1、2,2223.0,桃園分局,,v
大樓,美力城邦新美館社區,T100405,大林里,"24.9741936,121.3223302",1、2,992.0,桃園分局,," "
大樓,宜誠,T100406,大有里,"25.0151719,121.3191591",1,681.0,桃園分局,,v
大樓,V1威秀社區,T100407,永興里,"24.9960497,121.3086018",1,407.0,桃園分局,," "
大樓,桃大君匯社區,T100408,玉山里,"24.9828036,121.3008153",1、2,3834.0,桃園分局,,v
大樓,一品國硯,T100409,福元里,"25.0055236,121.3163576",1、2,4701.0,桃園分局,,v
公寓,善美館社區,T100410,大林里,"24.9772988,121.3225508",1、2、3,3856.0,桃園分局,,v
大樓,公寓,T100411,泰山里,"24.9908503,121.3004132",1,122.0,桃園分局,," "
大樓,NIKE萬岳桃園南平店,T100412,同德里,"25.017118,121.296276",1,834.0,桃園分局,," "
大樓,公寓,EMA00001,永興里,"24.995137,121.3091688",1,37.0,桃園分局,," "
大樓,公寓,EMA00002,永興里,"24.9971299,121.3077531",1,213.0,桃園分局,," "
大樓,公寓,EMA00003,永興里,"24.994838,121.309",1,31.0,桃園分局,," "
大樓,公寓,EMA00004,永興里,"24.9969997,121.3075723",1,542.0,桃園分局,," "
大樓,公寓,EMA00005,永興里,"24.9968951,121.307186",1,74.0,桃園分局,," "
大樓,公寓,EMA00006,永興里,"24.997009,121.307395",1,56.0,桃園分局,," "
大樓,公寓,EMA00007,永興里,"24.9958196,121.3087718",1,67.0,桃園分局,," "
大樓,公寓,EMA00008,永興里,"24.9959124,121.3086965",1,56.0,桃園分局,," "
大樓,公寓,EMA00009,永興里,"24.9958147,121.3087622",1,91.0,桃園分局,," "
大樓,公寓,EMA00010,永興里,"24.9954908,121.3082631",1,57.0,桃園分局,," "
大樓,公寓,EMA00011,永興里,"24.9956465,121.3095491",1,157.0,桃園分局,," "
大樓,公寓,EMA00012,永興里,"24.9959108,121.3093607",1,23.0,桃園分局,," "
公務機關,桃園市政府消防局三民分隊,EMA00013,永興里,"24.998062,121.306726",1,95.0,桃園分局,," "
大樓,公寓,EMA00014,永興里,"24.9959108,121.3093607",1,27.0,桃園分局,," "
大樓,公寓,EMA00015,文昌里,"24.993364,121.3099088",1,43.0,桃園分局,," "
大樓,公寓,EMA00016,文昌里,"24.993287,121.3092571",1,100.0,桃園分局,," "
大樓,嘉仕特飯店,EMA00017,文昌里,"24.9929221,121.3082385",1、2,323.0,桃園分局,," "
大樓,公寓,EMA00018,文昌里,"24.993311,121.3092966",1,81.0,桃園分局,," "
大樓,公寓,EMA00019,文昌里,"24.9936486,121.3102062",1,56.0,桃園分局,," "
公寓,公寓,EMA00020,文昌里,"24.9932993,121.3098527",1,44.0,桃園分局,," "
大樓,公寓,EMA00021,西湖里,"24.9936641,121.3052896",1,38.0,桃園分局,," "
大樓,公寓,EMA00023,中和里,"24.9961424,121.3103033",1,17.0,桃園分局,," "
大樓,公寓,EMA00025,中和里,"24.9966116,121.3106942",1,17.0,桃園分局,," "
大樓,公寓,EMA00026,中和里,"24.9951379,121.311198",1,26.0,桃園分局,," "
公寓,公寓,EMA00027,中和里,"24.9961743,121.3114418",1,26.0,桃園分局,," "
大樓,公寓,EMA00028,中和里,"24.9963019,121.3112019",1,17.0,桃園分局,," "
大樓,公寓,EMA00029,中和里,"24.9960986,121.3107612",1,25.0,桃園分局,," "
公寓,公寓,EMA00030,中和里,"24.99528,121.3122219",1,25.0,桃園分局,," "
大樓,公寓,EMA00031,中和里,"24.996908,121.310742",1,22.0,桃園分局,," "
大樓,公寓,EMA00032,中和里,"24.9967283,121.3105933",1,24.0,桃園分局,," "
公寓,公寓,EMA00033,中和里,"24.9956926,121.3105429",1,25.0,桃園分局,," "
公寓,公寓,EMA00034,中和里,"24.9964047,121.3117203",1,27.0,桃園分局,," "
公寓,公寓,EMA00035,中和里,"24.9951183,121.3117622",1,17.0,桃園分局,," "
大樓,公寓,EMA00036,中和里,"24.9953929,121.3102308",1,25.0,桃園分局,," "
公寓,公寓,EMA00037,中和里,"24.9956666,121.3110963",1,25.0,桃園分局,," "
大樓,公寓,EMA00038,中和里,"24.9956874,121.3122576",1,24.0,桃園分局,," "
大樓,公寓,EMA00039,中和里,"24.9961042,121.3114065",1,33.0,桃園分局,," "
大樓,公寓,EMA00040,中和里,"24.9964051,121.3112591",1,58.0,桃園分局,," "
公寓,公寓,EMA00041,中和里,"24.9989246,121.3089997",1,37.0,桃園分局,," "
大樓,公寓,EMA00042,中和里,"24.9972014,121.310129",1,24.0,桃園分局,," "
公寓,公寓,EMA00043,中和里,"24.9971486,121.3102317",1,25.0,桃園分局,," "
公寓,公寓,EMA00044,中和里,"24.9976405,121.310788",1,32.0,桃園分局,," "
公寓,台灣基督長老教會桃園教會,EMA00045,民生里,"24.9940998,121.3130861",1、2,128.0,桃園分局,," "
公寓,公寓,EMA00046,民生里,"24.9948317,121.31289",1,13.0,桃園分局,," "
大樓,公寓,EMA00047,民生里,"24.9950251,121.3128431",1,23.0,桃園分局,," "
大樓,公寓,EMA00048,民生里,"24.9946927,121.3129349",1,36.0,桃園分局,," "
大樓,公寓,EMA00049,文昌里,"24.993645,121.311213",1,17.0,桃園分局,," "
大樓,公寓,EMA00050,文昌里,"24.9938826,121.3110297",1,47.0,桃園分局,," "
公寓,公寓,EMA00052,西門里,"24.9972674,121.3067326",1,50.0,桃園分局,," "
公寓,公寓,EMA00053,北門里,"24.9985633,121.3110722",1,166.0,桃園分局,," "
大樓,公寓,EMA00054,北門里,"24.9975859,121.3114423",1,66.0,桃園分局,," "
大樓,公寓,EMA00055,北門里,"24.9983747,121.3111504",1,16.0,桃園分局,," "
大樓,公寓,EMA00056,北門里,"24.9982089,121.310365",1,33.0,桃園分局,," "
大樓,公寓,EMA00057,北門里,"24.996594,121.311743",1,18.0,桃園分局,," "
公寓,公寓,EMA00058,北門里,"24.9966991,121.3117507",1,21.0,桃園分局,," "
公寓,公寓,EMA00059,北門里,"24.9978343,121.3110006",1,40.0,桃園分局,," "
公寓,公寓,EMA00060,北門里,"24.9975035,121.3114775",1,40.0,桃園分局,," "
公寓,公寓,EMA00061,北門里,"24.9972709,121.311463",1,93.0,桃園分局,," "
公寓,公寓,EMA00062,北門里,"24.9966025,121.3116935",1,16.0,桃園分局,," "
公寓,公寓,EMA00064,北門里,"24.996639,121.3114641",1,40.0,桃園分局,," "
公寓,公寓,EMA00065,北門里,"24.9991051,121.3103041",1,361.0,桃園分局,," "
公寓,公寓,EMA00066,北門里,"25.00051,121.309958",1,45.0,桃園分局,," "
公寓,新巢派大廈,EMA00067,北門里,"24.9996616,121.3103971",1,277.0,桃園分局,," "
公寓,公寓,EMA00068,北門里,"24.9993147,121.30981",1,151.0,桃園分局,," "
公寓,公寓,EMA00069,北門里,"25.0004662,121.3101976",1,64.0,桃園分局,," "
公寓,公寓,EMA00071,北門里,"25.0008896,121.3099039",1,70.0,桃園分局,," "
公寓,民生凱悅社區,EMA00072,北門里,"25.0005324,121.3102166",1,894.0,桃園分局,," "
公寓,公寓,EMA00074,北門里,"25.0004727,121.309725",1,73.0,桃園分局,," "
公寓,公寓,EMA00075,北門里,"25.0001907,121.3103192",1,185.0,桃園分局,," "
公寓,公寓,EMA00076,西門里,"24.9950601,121.3080504",1,70.0,桃園分局,," "
公寓,公寓,EMA00077,西門里,"24.9953625,121.3082361",1,53.0,桃園分局,," "
公寓,桃園區農會,EMA00078,西門里,"24.9961184,121.3077767",1、2,454.0,桃園分局,," "
公寓,公寓,EMA00079,西門里,"24.9971012,121.3067037",1,66.0,桃園分局,," "
公寓,公寓,EMA00080,西門里,"24.99544,121.308144",1,40.0,桃園分局,," "
公寓,濟弘皇璽社區,EMA00081,西門里,"24.9945242,121.3077413",1,944.0,桃園分局,," "
公寓,公寓,EMA00082,西門里,"24.9952231,121.3072527",1,55.0,桃園分局,," "
大樓,公寓,EMA00083,西門里,"24.9945439,121.307253",1、2,500.0,桃園分局,," "
公寓,公寓,EMA00084,西門里,"24.9952213,121.3075287",1,100.0,桃園分局,," "
公寓,名岱町酒吧,EMA00085,西門里,"24.9953107,121.3078146",1,88.0,桃園分局,," "
公寓,桃園市私立喬幼幼兒園,EMA01076,西湖里,"24.994411,121.306269",1、2,872.0,桃園分局,," "
公寓,富邦產物保險股份有限公司分公司,EMA01077,民生里,"24.9944434,121.3133339",1、2,550.0,桃園分局,," "
公寓,公寓,EMA01168,西湖里,"24.9941249,121.306771",1,168.0,桃園分局,," "
公寓,公寓,EMA01169,西湖里,"24.9930435,121.3063196",1、2,714.0,桃園分局,," "
公寓,協和大廈,EMA01286,永興里,"24.9973375,121.308635",1,335.0,桃園分局,," "
公寓,寶佳利社區,EMA01457,民生里,"24.9964403,121.3122727",1、2、3,750.0,桃園分局,,v
公寓,蜜月世紀大飯店,EMA01459,永興里,"24.9974465,121.307001",1、2,964.0,桃園分局,," "
公寓,葛里法W社區,T97327,西門里,"24.9960252,121.3070926",1,164.0,桃園分局,," "
公寓,公寓,T97329,西門里,"24.9946488,121.306328",1、2,1890.0,桃園分局,,v
公寓,鴻福寺,T98028,中和里,"24.9959314,121.3122273",1、2,834.0,桃園分局,," "
公寓,公寓,EMA11177,南門里,"24.983881,121.304124",1,312.0,桃園分局,," "
公寓,三本大樓,EMA00158,南門里,"24.9890905,121.3063168",1,458.0,桃園分局,," "
公寓,公寓,EMA01078,南門里,"24.9891598,121.3057278",1,11.0,桃園分局,," "
公寓,古鼎商業大樓,EMA01144,文化里,"24.9896953,121.3107984",1,13.0,桃園分局,," "
公寓,公寓,EMA00098,文化里,"24.9894779,121.3118153",1,11.0,桃園分局,," "
公寓,公寓,EMA00099,文化里,"24.9894779,121.3118153",1,74.0,桃園分局,," "
公寓,公寓,EMA01111,南門里,"24.9914339,121.304108",1,24.0,桃園分局,," "
公寓,公寓,EMA00110,武陵里,"24.9914005, 121.314859",1,726.0,桃園分局,," "
公寓,桃花園飯店,EMA01021,文化里,"24.9898457,121.311348",1,57.0,桃園分局,," "
公寓,公寓,EMA00134,東門里,"24.9973161,121.3152239",1,50.0,桃園分局,," "
公寓,公寓,EMA00135,東門里,"24.997389,121.3152342",1,55.0,桃園分局,," "
公寓,公寓,EMA00131,東門里,"24.9974325,121.3152356",1,76.0,桃園分局,," "
公寓,公寓,EMA01050,東門里,"24.9940509,121.313821",1,21.0,桃園分局,," "
大樓,公寓,EMA00136,文明里,"24.9883604,121.3078745",1,16.0,桃園分局,," "
公寓,公寓,EMA00138,文明里,"24.988976,121.3102131",1,577.0,桃園分局,," "
公寓,"行政院農業委員會             農糧署北區分署",EMA00114,武陵里,"24.9884654,121.3094243",1,368.0,桃園分局,," "
公寓,公寓,EMA00139,南華里,"24.9913277,121.3073362",1,216.0,桃園分局,," "
公寓,公寓,EMA00140,南華里,"24.9913277,121.3073362",1,213.0,桃園分局,," "
公寓,公寓,EMA00149,南華里,"24.990511,121.308133",1,32.0,桃園分局,," "
