類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
公寓,義昭里,基隆市信義區信二路234巷6號,"25.1301206,121.7518546",B01,816,第二分局,
公寓,義昭里,基隆市信義區義七路7號,"25.1289749,121.7526838",B01,228,第二分局,
交響樂2期,義昭里,基隆市信義區信二路234巷2之5號,"25.1300307,121.7518335",B01B02,295,第二分局,
信義區公所,義昭里,基隆市信義區信二路179號,"25.1293934,121.751286",B01,513,第二分局,
信義君悅,義昭里,基隆市信義區信二路236之10號,"25.1297316,121.7513969",B01B02,2560,第二分局,
柏悅府,義昭里,基隆市信義區義六路28號,"25.1307213,121.7513525",B01B02B03,2337,第二分局,
璽悅社區,義昭里,基隆市信義區信一路63號,"25.1285767,121.7525513",B01B02B03,1091,第二分局,
都會貴族,義重里,基隆市中正區信六路16號,"25.1347705,121.7485983",B01,164,第二分局,
昌釜建設,義重里,基隆市中正區義二路227號,"25.1360009,121.748544",B01,132,第二分局,
欣光印刷事業股份公司,義重里,基隆市中正區義二路266號,"25.1367083,121.7494401",B01,114,第二分局,
碧砂里里民活動中心,碧砂里,基隆市中正區環港街84號,"25.1410124,121.7927561",B01,313,第二分局,
基隆市八斗子漁會,碧砂里,基隆市中正區環港街5號,"25.141847,121.792314",B01,1541,第二分局,
公寓,碧砂里,基隆市中正區北寧路284號,"25.141954,121.790158",B01,486,第二分局,
公寓,碧砂里,基隆市中正區北寧路296號,"25.1418107,121.7906127",B01,422,第二分局,
蔚藍海景旅店,碧砂里,基隆市中正區北寧路250之6號,"25.1459813,121.7835715",B01,121,第二分局,
鴻聖雙璽,碧砂里,基隆市中正區北寧路308號,"25.1415508,121.7911031",B01,301,第二分局,
信四公寓,德義里,基隆市中正區信四路11號,"25.1333297,121.7464601",B01,226,第二分局,
基隆市進出口商業同業公會,德義里,基隆市中正區信三路8號,"25.132587,121.7458208",B01,130,第二分局,
信二路停車場,德義里,基隆市中正區信二路299號,"25.1308564,121.7462504",B01,1516,第二分局,
永泰興報關公司,德義里,基隆市中正區義二路72號,"25.1319709,121.7462601",B01B02,419,第二分局,
義二首席,德義里,基隆市中正區義二路106號,"25.1325852,121.746588",B01,116,第二分局,
海宴炭火燒肉,德義里,基隆市中正區義二路2巷10號,"25.1305482,121.7456801",B01,214,第二分局,
怡園(宿舍),禮東里,基隆市信義區東明路77巷7弄1號,"25.1268897,121.7619564",B01,903,第二分局,
公寓,禮東里,基隆市信義區東明路69號,"25.1276189,121.7623474",B01,1024,第二分局,
馥桂園,禮東里,基隆市信義區東明路77巷7弄14號,"25.1267471,121.7627301",B01B02,539,第二分局,
恩典延吉,禮東里,基隆市信義區東明路39巷33號,"25.1271672,121.7637118",B01,236,第二分局,
公寓,禮儀里,基隆市信義區東明路171號,"25.1277886,121.7594452",B01,113,第二分局,
公寓,禮儀里,基隆市信義區東明路97號,"25.1276286,121.7615007",B01B02,313,第二分局,
信義城堡,禮儀里,基隆市信義區東明路108號,"25.1278882,121.760308",B01B02,176,第二分局,
公寓,禮儀里,基隆市信義區東明路177號,"25.1275489,121.7593534",B01,370,第二分局,
公寓,孝忠里,基隆市信義區深美街161號,"25.1368008, 121.7782189",B01,239,第二分局,
御景硯,正砂里,基隆市中正區中正路406號,"25.1463785, 121.7615394",B02,625,第二分局,
