類別,電腦編號,村里別,地址,緯、經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註,"unnamed (1)"
公寓,EPA00525,光明里,37鄰王子街74號,"24.961683,121.214097",1,617,中壢分局,,興國所,
公寓,EPA00526,光明里,36鄰王子街76號,"24.961631,121.214142",1,623,中壢分局,,興國所,
透天,EPA00528,光明里,33鄰白馬莊92號,"24.962739,121.212788",1,43,中壢分局,,興國所,
公寓,EPA00529,光明里,26鄰中央西路二段231號,"24.962177,121.21463",1,667,中壢分局,,興國所,
透天,EPA00532,光明里,29鄰三光路128號,"24.962705,121.211889",1,44,中壢分局,,興國所,
透天,EPA00533,興平里,2鄰新生路273號,"24.963682,121.223131",1,30,中壢分局,,興國所,
透天,EPA00534,五權里,正明街10號,"24.95785,121.203992",1,54,中壢分局,,興國所,
透天,EPA00537,五權里,16鄰正光街84號,"24.958624,121.203045",1,150,中壢分局,,興國所,
透天,EPA00540,仁義里,普義路176號,"24.961056,121.231932",1,55,中壢分局,,普仁所,
透天,EPA00541,正義里,新興北路22號,"24.954695,121.230328",1,231,中壢分局,,普仁所,
公寓,EPA00543,普仁里,實踐路91巷11號,"24.955031,121.241248",1,466,中壢分局,,普仁所,
透天,EPA00545,普仁里,日新路33號,"24.954683,121.239089",1,44,中壢分局,,普仁所,
透天,EPA00546,普仁里,日新路35號,"24.954602,121.23895",1,44,中壢分局,,普仁所,
透天,EPA00548,普仁里,弘揚路81號,"24.9541,121.242015",1,77,中壢分局,,普仁所,
透天,EPA00549,普仁里,日新路74號,"24.954903,121.239811",1,133,中壢分局,,普仁所,
透天,EPA00551,信義里,長沙路123號,"24.950225,121.232166",1,32,中壢分局,,普仁所,
透天,EPA00552,明德里,龍岡路二段29號,"24.947403,121.228262",1,9,中壢分局,V,普仁所,
公寓,EPA00563,明德里,龍岡路二段75號,"24.946481,121.229575",1,140,中壢分局,,普仁所,
大樓,EPA00573,後寮里,龍和二街360號,"24.940134,121.245349",1,406,中壢分局,V,普仁所,
大樓,EPA00574,後寮里,龍興路590號,"24.9442,121.244669",1,2440,中壢分局,V,普仁所,
大樓,EPA00577,德義里,永康三街37號,"24.957443,121.231654",1,645,中壢分局,V,普仁所,
公寓,EPA00579,普義里,八德路59號,"24.960471,121.23175",1,338,中壢分局,V,普仁所,
大樓,EPA00582,信義里,廈門路17號,"24.953319,121.232226",1,965,中壢分局,,普仁所,
公寓,EPA00583,普強里,國泰街97號,"24.950647,121.238552",1,76,中壢分局,V,普仁所,
公寓,EPA00584,明德里,吉長街51號,"24.946369,121.230313",1,319,中壢分局,V,普仁所,
大樓,EPA00589,普義里,普義路171號,"24.96079,121.231749",1,541,中壢分局,V,普仁所,
透天,EPA00591,後寮里,龍興路403號,"24.940499,121.242423",1,122,中壢分局,V,普仁所,
透天,EPA00594,仁義里,中山東路一段223巷129弄43號,"24.959104,121.236206",1,27,中壢分局,V,普仁所,
透天,EPA00596,仁義里,中山東路一段223巷131號,"24.959114,121.238689",1,68,中壢分局,V,普仁所,
大樓,EPA00599,普仁里,協同街112號,"24.955785,121.237963",1,1041,中壢分局,V,普仁所,
透天,EPA00601,仁義里,中山東路一段223巷129弄39號之2,"24.959327,121.236247",1,52,中壢分局,V,普仁所,
透天,EPA00602,仁義里,中山東路一段223巷129弄37號,"24.959011,121.236436",1,27,中壢分局,V,普仁所,
透天,EPA00603,仁義里,中山東路一段223巷129弄41號之4,"24.95928,121.236242",1,62,中壢分局,V,普仁所,
透天,EPA00604,仁義里,中山東路一段223巷129弄41號,"24.959221,121.235909",1,27,中壢分局,V,普仁所,
透天,EPA00607,仁義里,中山東路一段223巷129弄43號之4,"24.959179,121.236095",1,52,中壢分局,V,普仁所,
透天,EPA00608,仁義里,中山東路一段223巷129弄43號之2,"24.959335,121.235988",1,55,中壢分局,V,普仁所,
透天,EPA00610,仁義里,中山東路一段223巷129弄18號之8,"24.95897,121.237289",1,102,中壢分局,V,普仁所,
透天,EPA00611,仁義里,中山東路一段223巷129弄18號之6,"24.958941,121.237311",1,55,中壢分局,V,普仁所,
透天,EPA00612,仁義里,中山東路一段223巷129弄18號之4,"24.959019,121.237139",1,56,中壢分局,V,普仁所,
透天,EPA00614,普仁里,中北路34巷4號,"24.955809,121.237102",1,66,中壢分局,,普仁所,
透天,EPA00615,正義里,新興北路31號,"24.955164,121.231215",1,22,中壢分局,,普仁所,
透天,EPA00619,信義里,17鄰成都路56號,"24.950419,121.231637",1,265,中壢分局,,普仁所,
透天,EPA00620,信義里,20鄰衡陽街30號,"24.950419,121.230738",1,185,中壢分局,V,普仁所,
公寓,EPA00622,普強里,民享街5號,"24.954229,121.237248",1,414,中壢分局,V,普仁所,
透天,EPA00623,普強里,中山東路二段10號,"24.954665,121.237033",1,247,中壢分局,,普仁所,
公寓,EPA00624,普忠里,新中一街12號,"24.959609,121.243886",1,316,中壢分局,V,普仁所,
大樓,EPA00625,信義里,廣州路222號,"24.953019,121.23363",1,661,中壢分局,V,普仁所,
透天,EPA00626,明德里,南雄街25號,"24.948264,121.233544",1,28,中壢分局,,普仁所,
透天,EPA00628,明德里,南雄街21號,"24.94847,121.233942",1,72,中壢分局,,普仁所,
公寓,EPA00629,正義里,中北路二段316號,"24.953403,121.23025",1,594,中壢分局,,普仁所,
透天,EPA00630,信義里,福州路179號,"24.950544,121.234379",1,260,中壢分局,,普仁所,
公寓,EPA00631,信義里,甘肅二街30號,"24.954727,121.235622",1,350,中壢分局,,普仁所,
透天,EPA00632,仁義里,普義路124號,"24.960000,121.232642",1,20,中壢分局,V,普仁所,
透天,EPA00636,普強里,莒光路48號,"24.952832,121.238321",1,325,中壢分局,,普仁所,
公寓,EPA00637,普強里,新中北路404號,"24.958657,121.243859",2,278,中壢分局,V,普仁所,
透天,EPA00638,普忠里,大仁街35巷31號,"24.956623,121.241058",1,66,中壢分局,,普仁所,
透天,EPA00640,正義里,福州路24號,"24.953791,121.232334",1,18,中壢分局,,普仁所,
透天,EPA00641,正義里,福州路26號,"24.953712,121.232251",1,18,中壢分局,,普仁所,
透天,EPA00642,正義里,新興北路19號,"24.954944,121.230603",1,21,中壢分局,,普仁所,
透天,EPA00643,正義里,新興北路23號,"24.955056,121.230601",1,20,中壢分局,,普仁所,
透天,EPA00645,普強里,和祥街6號,"24.951827,121.237705",1,37,中壢分局,V,普仁所,
大樓,EPA00650,德義里,中山東路一段151號,"24.956877,121.232711",1,1063,中壢分局,,普仁所,
透天,EPA00652,普仁里,幸福街37號,"24.955298,121.237248",1,38,中壢分局,,普仁所,
透天,EPA00653,普仁里,日新路104號,"24.95554,121.241422",1,38,中壢分局,,普仁所,
透天,EPA00654,普仁里,新中北路34巷4號,"24.956232,121.236547",1,41,中壢分局,V,普仁所,
透天,EPA00656,信義里,潮州街5號,"24.950909,121.231066",1,48,中壢分局,,普仁所,
透天,EPA00657,普仁里,協同二路9巷1號,"24.954544,121.238827",1,55,中壢分局,,普仁所,
透天,EPA00662,普強里,22鄰和祥街84號,"24.950381,121.236522",1,13,中壢分局,V,普仁所,
透天,EPA00664,信義里,福州路151號,"24.950741,121.23423",1,36,中壢分局,,普仁所,
透天,EPA00665,正義里,中北路二段347號,"24.953847,121.230697",1,17,中壢分局,,普仁所,
透天,EPA00666,正義里,中北路二段349號,"24.953985,121.231139",1,17,中壢分局,,普仁所,
透天,EPA00670,興平里,10鄰中豐路204號,"24.960873,121.219638",1,16,中壢分局,,興國所,
透天,EPA00671,興國里,3鄰中美路二段120號,"24.960289,121.221352",1,41,中壢分局,,興國所,
透天,EPA00672,興國里,5鄰中豐路21號,"24.964339,121.22035",1,43,中壢分局,,興國所,
透天,EPA00673,興平里,10鄰中豐路216號,"24.960532,121.219605",1,46,中壢分局,,興國所,
透天,EPA00676,舊明里,5鄰民權路52號,"24.956264,121.217263",1,61,中壢分局,,興國所,
透天,EPA00678,舊明里,7鄰長安路11號,"24.957975,121.207135",1,27,中壢分局,,興國所,
透天,EPA00680,舊明里,9鄰義民路40號,"24.954104,121.216657",1,56,中壢分局,,興國所,
透天,EPA00682,五福里,4鄰民族路306號,"24.95773,121.208135",1,73,中壢分局,,興國所,
透天,EPA00685,五福里,4鄰民族路174號,"24.956423,121.210947",1,157,中壢分局,V,興國所,
透天,EPA00686,五福里,4鄰民族路268號,"24.957432,121.208842",1,95,中壢分局,,興國所,
透天,EPA00689,五權里,19鄰民族路二段158號,"24.957621,121.204305",1,27,中壢分局,,興國所,
透天,EPA00690,五權里,19鄰民族路二段162號,"24.957704,121.204275",1,64,中壢分局,,興國所,
公寓,EPA00691,光明里,4鄰民權路362號,"24.964009,121.217344",1,393,中壢分局,,興國所,
公寓,EPA00694,光明里,19鄰明德路280號,"24.961884,121.217241",1,614,中壢分局,,興國所,
透天,EPA00695,光明里,17鄰中央西路二段61號,"24.958849,121.216933",1,54,中壢分局,,興國所,
公寓,EPA00698,光明里,17鄰民權路157號,"24.959344,121.217102",1,574,中壢分局,,興國所,
公寓,EPA00701,光明里,20鄰新明路117號,"24.960417,121.215136",1,424,中壢分局,,興國所,
大樓,EPA00702,光明里,13鄰民權路226號,"24.960954,121.217827",2,1120,中壢分局,,興國所,
透天,EPA00703,三民里,12鄰環西路二段71巷10號,"24.963733,121.20845",1,68,中壢分局,,興國所,
透天,EPA00707,三民里,15鄰中正路712號,"24.955743,121.216315",1,83,中壢分局,,興國所,
透天,EPA00708,三民里,17鄰環西路二段15號,"24.962264,121.207951",1,44,中壢分局,,興國所,
大樓,EPA00711,永光里,18鄰環北路73號,"24.966514,121.218687",1,2090,中壢分局,V,興國所,
透天,EPA00712,永光里,6鄰環北路86號,"24.9645,121.229314",1,33,中壢分局,,興國所,
透天,EPA00716,三民里,16鄰中正路624號,"24.959938,121.210773",1,72,中壢分局,,興國所,
教育機構,EPA00718,三民里,13鄰中央西路二段300號,"24.958607,121.218078",1,1615,中壢分局,,興國所,
教育機構,EPA00720,三民里,13鄰中央西路二段300號,"24.958626,121.21825",1,2490,中壢分局,V,興國所,
教育機構,EPA00721,三民里,13鄰中央西路二段300號,"24.958626,121.21825",1,641,中壢分局,,興國所,
教育機構,EPA00722,三民里,13鄰中央西路二段300號,"24.958626,121.21825",1,577,中壢分局,,興國所,
透天,EPA00724,三民里,11鄰環西路二段247號,"24.965315,121.212278",1,107,中壢分局,,興國所,
透天,EPA00726,興平里,5鄰中豐路49巷11號,"24.963745,121.220463",1,38,中壢分局,,興國所,
透天,EPA00727,興平里,7鄰中豐路70號,"24.963082,121.220263",1,87,中壢分局,,興國所,
透天,EPA00728,興平里,14鄰環北路168巷2弄11號,"24.966059,121.221088",1,115,中壢分局,,興國所,
透天,EPA00729,興平里,7鄰中豐路72號,"24.96286,121.220486",1,67,中壢分局,,興國所,
公寓,EPA00732,興平里,5鄰中豐路49巷17號,"24.963231,121.220812",1,464,中壢分局,,興國所,
透天,EPA00737,新明里,5鄰中明路16號,"24.957726,121.216842",1,164,中壢分局,,興國所,
公寓,EPA00738,新明里,6鄰中山路438號,"24.958859,121.21626",1,364,中壢分局,,興國所,
大樓,EPA00739,新明里,4鄰中明東路9號,"24.957509,121.217398",1,862,中壢分局,,興國所,
透天,EPA00740,新明里,6鄰中山路452號,"24.956964,121.216797",1,85,中壢分局,,興國所,
透天,EPA00741,新明里,4鄰民權路96號,"24.957727,121.21739",1,33,中壢分局,,興國所,
透天,EPA00742,新明里,2鄰中明東路17號,"24.956268,121.226402",1,40,中壢分局,,興國所,
透天,EPA00744,新明里,1鄰中央西路二段26號,"24.958219,121.21775",1,36,中壢分局,,興國所,
透天,EPA00746,新明里,1鄰中央西路二段2號,"24.958374,121.21863",1,48,中壢分局,,興國所,
透天,EPA00749,新明里,17鄰新榮街28號,"24.959793,121.212058",1,64,中壢分局,,興國所,
大樓,EPA00750,新明里,14鄰中央西路二段152號,"24.959665,121.214107",2,749,中壢分局,V,興國所,
透天,EPA00752,新明里,11鄰三樂二街28號,"24.960771,121.211327",1,81,中壢分局,V,興國所,
透天,EPA00753,新明里,15鄰中正路586號,"24.959396,121.211687",1,137,中壢分局,,興國所,
透天,EPA00754,新明里,11鄰中央西路二段282號,"24.961375,121.211084",1,305,中壢分局,,興國所,
透天,EPA00756,五福里,3鄰五族街197號,"24.960402,121.206381",1,123,中壢分局,,興國所,
大樓,EPA00761,五權里,12鄰五光三街53號,"24.958866,121.210545",1,1016,中壢分局,,興國所,
大樓,EPA00762,五福里,10鄰志廣路71號,"24.960703,121.207532",1,880,中壢分局,,興國所,
公寓,EPA00767,新明里,13鄰中山路465號,"24.956983,121.215849",1,454,中壢分局,V,興國所,
透天,EPA00768,新明里,10鄰中山路580號,"24.957837,121.21347",1,23,中壢分局,,興國所,
透天,EPA00769,新明里,9鄰新明路39號,"24.95903,121.214225",1,37,中壢分局,,興國所,
透天,EPA00771,新明里,7鄰中央西路二段100號,"24.962423,121.214465",1,18,中壢分局,,興國所,
透天,EPA00773,新明里,7鄰中新路30號,"24.958298,121.215979",1,66,中壢分局,,興國所,
透天,EPA00775,新明里,8鄰新明路18號,"24.957577,121.214738",1,25,中壢分局,,興國所,
透天,EPA00776,新明里,9鄰新明路37號,"24.958385,121.214601",1,37,中壢分局,,興國所,
透天,EPA00779,新明里,13鄰新明路7號,"24.956865,121.214258",2,171,中壢分局,,興國所,
華廈,EPA00780,中正里,15鄰榮民路253號,"24.964521,121.261714",1,223,中壢分局,,自強所,
大樓,EPA00781,中原里,11鄰忠孝路43號,"24.97372,121.256298",1,174,中壢分局,,內壢所,
學校,EPA00782,自強里,9鄰榮民路80號,"24.968865,121.260648",1,265,中壢分局,,自強所,
公寓,EPA00783,成功里,7鄰成章三街136號,"24.981721,121.256811",1,521,中壢分局,,內壢所,
大樓,EPA00785,自強里,17鄰榮民路128號,"24.967739,121.260386",1,147,中壢分局,V,自強所,
大樓,EPA00786,中山里,11鄰榮安十五街28號,"24.961378,121.258629",1,2694,中壢分局,V,自強所,
大樓,EPA00787,忠孝里,1鄰忠孝路157號,"24.976802,121.254966",2,356,中壢分局,V,內壢所,
華廈,EPA00788,中正里,14鄰榮民路210號,"24.965684,121.260744",1,257,中壢分局,,自強所,
華廈,EPA00793,興仁里,16鄰興仁路二段23號,"24.968457,121.262856",1,88,中壢分局,V,自強所,
公寓,EPA00797,福德里,16鄰成章二街98號,"24.979523,121.257853",1,130,中壢分局,V,內壢所,
公寓,EPA00799,興仁里,21鄰興仁路二段67巷99弄11號,"24.967732,121.264246",1,50,中壢分局,,自強所,
公寓,EPA00800,興仁里,21鄰興仁路二段67巷103弄1號,"24.967313,121.264578",1,618,中壢分局,V,自強所,
公寓,EPA00801,興仁里,21鄰興仁路二段67巷79弄6號之1,"24.967689,121.263823",1,190,中壢分局,,自強所,
公寓,EPA00802,興仁里,21鄰興仁路二段67巷99弄1號,"24.967248,121.264322",1,236,中壢分局,V,自強所,
公寓,EPA00803,興仁里,21鄰興仁路二段67巷79弄7號,"24.967757,121.263579",1,135,中壢分局,V,自強所,
透天,EPA00804,興仁里,26鄰榮光街37號,"24.965651,121.261327",1,34,中壢分局,,自強所,
透天,EPA00808,成功里,5鄰仁和街42巷1號,"24.980288,121.257553",1,249,中壢分局,V,內壢所,
透天,EPA00811,內壢里,14鄰成功路94巷16號,"24.975723,121.260593",1,22,中壢分局,,內壢所,
透天,EPA00812,忠孝里,1鄰成章一街188號,"24.975635,121.260786",1,134,中壢分局,V,內壢所,
公寓,EPA00822,仁福里,24鄰同慶路72號(4666296),"24.940632,121.255738",1,277,中壢分局,V,仁愛所,
大樓,EPA00824,仁福里,4鄰仁美二街88巷1號(4663278),"24.943776,121.251611",1,4704,中壢分局,V,仁愛所,
透天,EPA00830,仁美里,3鄰仁慈路4號,"24.945547,121.252269",1,35,中壢分局,,仁愛所,
,EPA00831,仁美里,3鄰仁慈路16號(0939886636),"24.944499,121.249692",1,35,中壢分局,,仁愛所,
,EPA00836,仁美里,3鄰仁慈路26號(4362396),"24.944485,121.249411",1,35,中壢分局,,仁愛所,
,EPA00838,仁美里,33鄰仁慈路122號(4371354),"24.945122,121.25158",2,833,中壢分局,V,仁愛所,
透天,EPA00840,仁美里,3鄰中山東路三段133號,"24.944585,121.248683",1,36,中壢分局,,仁愛所,
透天,EPA00841,仁美里,3鄰中山東路三段135號(4662066),"24.94511,121.248521",1,27,中壢分局,,仁愛所,
大樓,EPA00843,仁愛里,8鄰功學社新村204號之1(4651180),"24.95482,121.25544",1,592,中壢分局,V,仁愛所,
教育機構,EPA00845,華愛里,22鄰榮民南路205號,"24.954065,121.257713",1,4493,中壢分局,,仁愛所,
大樓,EPA00846,仁祥里,1鄰晉元路289巷65號,"24.953482,121.263801",1,2015,中壢分局,V,仁愛所,
透天,EPA00847,仁愛里,16鄰榮民南路196號,"24.953321,121.256739",1,297,中壢分局,,仁愛所,
工廠,EPA00854,忠義里,5鄰南園路2號之5,"24.968461,121.240248",1,11,中壢分局,,文化所,
透天,EPA00856,忠義里,4鄰中園路87及89號,"24.966672,121.236146",1,186,中壢分局,,文化所,
工廠,EPA00857,忠義里,5鄰中華路二段152號,"24.966117,121.240051",1,15,中壢分局,,文化所,
工廠,EPA00858,忠義里,5鄰中華路二段188號,"24.965958,121.23926",1,197,中壢分局,,文化所,
工廠,EPA00860,忠義里,5鄰中華路二段189巷185號,"24.961949,121.240297",1,42,中壢分局,,文化所,
工廠,EPA00861,忠義里,6鄰中華路二段239號,"24.966661,121.238238",1,214,中壢分局,,文化所,
公家機構,EPA00864,忠義里,5鄰南園路2號之3,"24.968492,121.240137",1,164,中壢分局,,文化所,
工廠,EPA00869,忠義里,4鄰中華路一段793號,"24.967549,121.247272",1,128,中壢分局,,文化所,
透天,EPA00871,忠義里,4鄰中華路一段867號,"24.967445,121.24503",1,54,中壢分局,,文化所,
大樓,EPA00873,復華里,2鄰中華路一段550號,"24.971173,121.252381",1,1503,中壢分局,,文化所,
大樓,EPA00874,復華里,2鄰中華路一段644巷36弄5號,"24.970582,121.249638",1,1153,中壢分局,,文化所,
工廠,EPA00877,復華里,25鄰自強四路9號,"24.972499,121.241544",1,304,中壢分局,,文化所,
大樓,EPA00879,復興里,20鄰復華街319號,"24.976919,121.247744",1,1136,中壢分局,,文化所,
透天,EPA00881,復華里,20鄰自強四路11號,"24.972381,121.240177",1,277,中壢分局,,文化所,
大樓,EPA00882,復華里,20鄰復華街107巷17號,"24.971331,121.247081",1,916,中壢分局,,文化所,
透天,EPA00886,復華里,14鄰復華街107巷20弄8號,"24.971338,121.247344",1,171,中壢分局,,文化所,
透天,EPA00889,興華里,長樂四街13號之7,"24.978687,121.249686",1,147,中壢分局,V,文化所,
透天,EPA00890,復興里,25鄰自強五路2號,"24.973437,121.242172",1,88,中壢分局,,文化所,
大樓,EPA00899,文化里,20鄰吉林路20號,"24.979332,121.243468",1,33,中壢分局,,文化所,
透天,EPA00904,文化里,20鄰吉林路22號,"24.979296,121.244058",1,222,中壢分局,,文化所,
工廠,EPA00917,文化里,13鄰北園路22號之1,"24.980286,121.242698",1,44,中壢分局,,文化所,
工廠,EPA00922,文化里,10鄰北園路24號,"24.981167,121.242619",1,222,中壢分局,,文化所,
工廠,EPA00924,文化里,北園二路6號,"24.986621,121.244391",1,888,中壢分局,,文化所,
工廠,EPA00925,文化里,合江路16號,"24.9849,121.242229",1,222,中壢分局,,文化所,
工廠,EPA00928,內定里,高邊路1號,"24.989103,121.240124",1,442,中壢分局,,文化所,
工廠,EPA00929,內定里,合定路26號之1,"24.988027,121.244194",1,344,中壢分局,,文化所,
工廠,EPA00930,內定里,合定路29號,"24.989703,121.249595",1,51,中壢分局,,文化所,
工廠,EPA00932,內定里,定康路15號,"24.990368,121.247392",1,178,中壢分局,,文化所,
工廠,EPA00936,內定里,松江北路29號,"24.990381,121.248396",1,121,中壢分局,,文化所,
工廠,EPA00937,內定里,合定路4號,"24.987574,121.24066",1,205,中壢分局,,文化所,
教育機構,EPA00938,內定里,定寧路31號,"24.99343,121.250116",1,1001,中壢分局,,文化所,
透天,EPA00943,月眉里,11鄰月眉130號,"25.005425,121.195164",1,65,中壢分局,,大崙所,
透天,EPA00948,林森里,5鄰林森路75號,"24.946234,121.225988",1,66,中壢分局,V,龍興所,
大樓,EPA00949,中央里,11鄰長江路73號,"24.957133,121.228381",1,929,中壢分局,V,中壢所,
大樓,EPA00951,林森里,6鄰林森路11號,"24.945519,121.226455",1,551,中壢分局,V,龍興所,
公寓,EPA00953,林森里,20鄰百韜路21號,"24.944784,121.228474",1,486,中壢分局,V,龍興所,
透天,EPA00954,林森里,20鄰星文二路29號,"24.944969,121.22892",1,332,中壢分局,,龍興所,
公寓,EPA00955,中榮里,14鄰中正路145號,"24.955381,121.221758",1,328,中壢分局,V,中壢所,
公寓,EPA00956,中建里,13鄰中山路63號,"24.955161,121.226787",2,346,中壢分局,V,中壢所,
公寓,EPA00957,東興里,6鄰東明街18號,"24.953965,121.229163",1,435,中壢分局,,中壢所,
透天,EPA00958,石頭里,14鄰興建街15號,"24.953803,121.223974",1,171,中壢分局,,中壢所,
透天,EPA00959,東興里,8鄰新興路248號,"24.954177,121.228871",1,52,中壢分局,V,中壢所,
公寓,EPA00960,新街里,1鄰延平路228號,"24.962467,121.227172",2,281,中壢分局,V,中壢所,
透天,EPA00962,中建里,3鄰中央西路一段1號,"24.957332,121.223421",2,187,中壢分局,V,中壢所,
大樓,EPA00963,中建里,3鄰延平路500號,"24.957088,121.223306",2,622,中壢分局,V,中壢所,
透天,EPA00964,中建里,4鄰中山路206號,"24.956815,121.223147",1,70,中壢分局,V,中壢所,
透天,EPA00967,中建里,4鄰中山路212號,"24.957081,121.222923",1,154,中壢分局,,中壢所,
透天,EPA00968,中建里,4鄰中山路214號,"24.956979,121.222806",1,157,中壢分局,,中壢所,
透天,EPA00970,中建里,4鄰中山路218號,"24.956962,121.222721",1,156,中壢分局,,中壢所,
透天,EPA00971,中建里,4鄰中山路220號,"24.956894,121.22275",1,157,中壢分局,,中壢所,
透天,EPA00976,中央里,21鄰元化路215巷49號,"24.961776,121.22809",1,59,中壢分局,,中壢所,
透天,EPA00980,新街里,5鄰延平路353巷45號,"24.960484,121.225917",1,40,中壢分局,,中壢所,
透天,EPA00982,新街里,6鄰延平路205號,"24.96391,121.233791",1,23,中壢分局,,中壢所,
透天,EPA00986,新街里,5鄰延平路285號,"24.960953,121.226376",1,42,中壢分局,,中壢所,
大樓,EPA00988,新街里,1鄰延平路216號,"24.962445,121.227368",1,733,中壢分局,V,中壢所,
透天,EPA00989,新街里,1鄰延平路202號,"24.962483,121.227841",1,43,中壢分局,,中壢所,
公寓,EPA00991,新街里,11鄰元化路271巷26弄15號,"24.962876,121.22614",1,354,中壢分局,V,中壢所,
大樓,EPA00996,新街里,12鄰慈惠三街126巷1號,"24.964297,121.225848",2,1002,中壢分局,V,中壢所,
大樓,EPA00997,新街里,12鄰慈惠三街158巷4號,"24.96305,121.225775",2,4725,中壢分局,V,中壢所,
大樓,EPA00998,新街里,8鄰元化路275號,"24.962231,121.22591",2,970,中壢分局,V,中壢所,
大樓,EPA00999,新街里,5鄰延平路261號,"24.961274,121.226636",2,1252,中壢分局,V,中壢所,
公寓,EPA01001,中榮里,16鄰中正路145號,"24.95541,121.221833",1,302,中壢分局,V,中壢所,
透天,EPA01002,中榮里,17鄰延平路600巷30號,"24.954698,121.221993",1,74,中壢分局,,中壢所,
透天,EPA01006,石頭里,13鄰興建街8號,"24.953879,121.224461",1,214,中壢分局,,中壢所,
透天,EPA01013,石頭里,3鄰中正路92號,"24.955007,121.223691",1,84,中壢分局,V,中壢所,
大樓,EPA01016,石頭里,11鄰延平路645號,"24.953253,121.222317",2,1273,中壢分局,V,中壢所,
公寓,EPA01020,林森里,19鄰百韜一街21號,"24.944989,121.228426",1,314,中壢分局,V,龍興所,
透天,EPA01024,林森里,19鄰百韜一街43號,"24.94532,121.228536",1,44,中壢分局,,龍興所,
透天,EPA01026,林森里,20鄰百韜二路47號,"24.943975,121.227843",1,163,中壢分局,V,龍興所,
透天,EPA01028,林森里,20鄰星文一街6號之1,"24.946074,121.228494",1,31,中壢分局,,龍興所,
公寓,EPA01030,新興里,27鄰執信二路32號,"24.944664,121.225592",1,304,中壢分局,V,龍興所,
透天,EPA01031,林森里,25鄰黃興街70號,"24.942777,121.225854",1,43,中壢分局,,龍興所,
透天,EPA01034,林森里,2鄰龍岡路二段82號,"24.945652,121.22921",1,17,中壢分局,,龍興所,
透天,EPA01036,林森里,32鄰環中東路二段786號,"24.943,121.226755",1,27,中壢分局,,龍興所,
大樓,EPA01039,新興里,19鄰自忠路21號,"24.942384,121.225416",1,1007,中壢分局,V,龍興所,
透天,EPA01041,中建里,9鄰中平路206號,"24.956009,121.221681",1,98,中壢分局,,中壢所,
大樓,EPA01051,林森里,5鄰林森路11號,"24.945698,121.226512",2,738,中壢分局,V,龍興所,
公寓,EPA01053,林森里,4鄰鄒容二街5號,"24.947216,121.225964",1,76,中壢分局,,龍興所,
大樓,EPA01059,新街里,1鄰元化路165巷52號,"24.959962,121.228716",2,695,中壢分局,V,中壢所,
大樓,EPA01061,新街里,1鄰元化路165巷50號,"24.96019,121.228484",2,1127,中壢分局,V,中壢所,
透天,EPA01066,永興里,5鄰中央西路一段65號,"24.957887,121.221881",2,83,中壢分局,V,中壢所,
大樓,EPA01069,永興里,6鄰中央西路一段120號,"24.95854,121.219944",5,2083,中壢分局,V,中壢所,
透天,EPA01072,永興里,9鄰新生路59號,"24.95953,121.222508",1,111,中壢分局,,中壢所,
公寓,EPA01079,永興里,10鄰永嘉街31巷12號,"24.959273,121.221299",1,312,中壢分局,V,中壢所,
大樓,EPA01090,興南里,17鄰慈惠二街45號,"24.960921,121.224313",2,621,中壢分局,V,中壢所,
大樓,EPA01091,興南里,13鄰延平路356號,"24.960226,121.225199",2,1731,中壢分局,V,中壢所,
公寓,EPA01093,興南里,1鄰大同路31號,"24.958705,121.224033",1,349,中壢分局,V,中壢所,
大樓,EPA01094,興南里,11鄰中美路一段12號,"24.959781,121.223924",2,1492,中壢分局,V,中壢所,
透天,EPA01100,興南里,1鄰大同路6號,"24.959132,121.224256",1,17,中壢分局,,中壢所,
透天,EPA01101,興南里,1鄰大同路66號,"24.958138,121.223136",1,45,中壢分局,,中壢所,
透天,EPA01103,石頭里,5鄰中平路24號,"24.955148,121.225785",1,28,中壢分局,,中壢所,
透天,EPA01107,石頭里,3鄰中平路80號,"24.956311,121.22426",1,220,中壢分局,,中壢所,
透天,EPA01109,石頭里,3鄰中平路52號,"24.955451,121.224495",1,154,中壢分局,,中壢所,
透天,EPA01110,石頭里,3鄰中平路88巷1號之1,"24.955639,121.223914",1,127,中壢分局,,中壢所,
公家機構,EPA01122,金華里,18鄰環北路380號,"24.96504,121.22519",2,2285,中壢分局,V,中福所,
透天,EPA01128,永福里,5鄰南園二路1號,"24.971753,121.238906",1,68,中壢分局,,中福所,
透天,EPA01133,永福里,16鄰東園二路15號,"24.975952,121.237997",1,132,中壢分局,,中福所,
大樓,EPA01138,永福里,14鄰東園路16號,"24.969936,121.239941",1,1120,中壢分局,,中福所,
透天,EPA01139,永福里,16鄰吉林路9號,"24.979672,121.238905",1,196,中壢分局,,中福所,
大樓,EPA01141,永福里,18鄰南園路6號,"24.969278,121.238377",1,1330,中壢分局,,中福所,
教育機構,EPA01142,永福里,9鄰中園路447號,"24.975263,121.235783",1,500,中壢分局,,中福所,
公寓,EPA01148,幸福里,31鄰延平路90巷229號,"24.965962,121.234143",1,605,中壢分局,,中福所,
大樓,EPA01149,幸福里,30鄰福壽九街7號,"24.966987,121.233715",1,3045,中壢分局,V,中福所,
公寓,EPA01150,幸福里,30鄰福壽九街7號,"24.9669,121.233618",1,520,中壢分局,V,中福所,
