編號,類別,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度
88.0,住宅,公館里,臺中市西區公館里11鄰三民西路71號,1.0,798.0,第一分局,"120.666334 "
89.0,住宅,公館里,臺中市西區公館里12鄰三民路一段23號,1.0,301.0,第一分局,"120.666695 "
90.0,住宅,公館里,臺中市西區公館里15鄰三民西路116巷7弄18號,1.0,746.0,第一分局,120.6640929
91.0,住宅,公館里,臺中市西區公館里15鄰永安街16號,1.0,137.0,第一分局,"120.664624 "
92.0,住宅,公館里,臺中市西區公館里18鄰民興街119巷17號,1.0,101.0,第一分局,"120.662527 "
93.0,住宅,公館里,臺中市西區公館里20鄰五權路1-139號,1.0,840.0,第一分局,"120.665302 "
94.0,住宅,公館里,臺中市西區公館里21鄰五權西三街125號,1.0,810.0,第一分局,"120.663100 "
95.0,住宅,公館里,臺中市西區公館里21鄰柳川西路二段23號,1.0,101.0,第一分局,"120.663473 "
96.0,住宅,公館里,臺中市西區公館里23鄰三民路一段18號,1.0,200.0,第一分局,"120.667148 "
97.0,住宅,公館里,臺中市西區公館里23鄰三民路一段26號,1.0,138.0,第一分局,"120.667123 "
98.0,住宅,公館里,臺中市西區公館里24鄰柳川東路二段78號,1.0,195.0,第一分局,"120.665578 "
99.0,住宅,公館里,臺中市西區公館里24鄰柳川東路二段81號,1.0,122.0,第一分局,"120.665768 "
100.0,住宅,公館里,臺中市西區公館里24鄰樂群街352號,1.0,189.0,第一分局,24.13340442
101.0,住宅,公館里,臺中市西區公館里25鄰南屯路一段69號,1.0,121.0,第一分局,"120.664122 "
102.0,住宅,公館里,臺中市西區公館里25鄰南屯路一段79號,1.0,133.0,第一分局,"120.663878 "
103.0,住宅,公館里,臺中市西區公館里25鄰南屯路一段81號,1.0,100.0,第一分局,"120.663628 "
104.0,住宅,公館里,臺中市西區公館里29鄰五權西一街111號,1.0,198.0,第一分局,"120.664306 "
105.0,住宅,公館里,臺中市西區公館里29鄰五權西一街116號,1.0,805.0,第一分局,"120.664261 "
106.0,住宅,公館里,臺中市西區公館里33鄰五權七街18號,1.0,134.0,第一分局,120.6653018
107.0,住宅,公館里,臺中市西區公館里33鄰五權路1-135號,1.0,104.0,第一分局,"120.665462 "
108.0,住宅,公館里,臺中市西區公館里33鄰五權路1-136號,1.0,160.0,第一分局,"120.665456 "
109.0,住宅,公館里,臺中市西區公館里33鄰五權路1-137號,1.0,109.0,第一分局,"120.665462 "
110.0,住宅,公館里,臺中市西區公館里35鄰五權路1-150號,1.0,3617.0,第一分局,120.6659889
111.0,住宅,公館里,臺中市西區公館里35鄰五權路1之146號,1.0,514.0,第一分局,"120.665926 "
112.0,住宅,公館里,臺中市西區公館里36鄰永安街83號,1.0,434.0,第一分局,"120.665595 "
113.0,住宅,公館里,臺中市西區公館里36鄰永安街87號,1.0,190.0,第一分局,"120.665668 "
114.0,住宅,平和里,臺中市西區平和里01鄰民權路177巷22號,1.0,214.0,第一分局,"120.673202 "
115.0,住宅,平和里,臺中市西區平和里03鄰中華路一段1號,1.0,1861.0,第一分局,120.6727521
116.0,全球影城,平和里,臺中市西區平和里03鄰中華路一段1號之1,1.0,546.0,第一分局,120.6726218
117.0,住宅,平和里,臺中市西區平和里03鄰中華路一段27號,1.0,118.0,第一分局,"120.673502 "
118.0,住宅,平和里,臺中市西區平和里03鄰中華路一段29號,1.0,125.0,第一分局,"120.673520 "
119.0,住宅,平和里,臺中市西區平和里03鄰中華路一段5號,1.0,197.0,第一分局,"120.673098 "
120.0,住宅,平和里,臺中市西區平和里03鄰中華路一段7號,1.0,260.0,第一分局,"120.673212 "
121.0,住宅,平和里,臺中市西區平和里06鄰民生路109號,1.0,391.0,第一分局,120.6730358
122.0,住宅,平和里,臺中市西區平和里06鄰民生路135號,1.0,13564.0,第一分局,"120.672223 "
123.0,住宅,平和里,臺中市西區平和里07鄰中華路一段35號,1.0,1258.0,第一分局,"120.673672 "
124.0,私立衛理幼稚園,平和里,臺中市西區平和里07鄰民生路137號,1.0,385.0,第一分局,120.6720683
125.0,台中教育大學,平和里,臺中市西區平和里07鄰民生路140號,1.0,970.0,第一分局,120.672125
126.0,台中教育大學,平和里,臺中市西區平和里07鄰民生路140號,1.0,4908.0,第一分局,"120.671791 "
127.0,住宅,平和里,臺中市西區平和里07鄰金山路5號,1.0,134.0,第一分局,"120.671467 "
128.0,住宅,平和里,臺中市西區平和里08鄰四維街117號,1.0,1517.0,第一分局,"120.671665 "
129.0,住宅,平和里,臺中市西區平和里08鄰自立街70號,1.0,973.0,第一分局,"120.670663 "
130.0,西區區公所,平和里,臺中市西區平和里08鄰金山路11號,1.0,1004.0,第一分局,"120.671164 "
131.0,住宅,平和里,臺中市西區平和里08鄰金山路15號,1.0,248.0,第一分局,"120.670948 "
132.0,住宅,平和里,臺中市西區平和里08鄰金山路25-5號,1.0,532.0,第一分局,"120.670931 "
133.0,住宅,平和里,臺中市西區平和里08鄰金山路27號,1.0,269.0,第一分局,120.6707358
134.0,住宅,平和里,臺中市西區平和里08鄰金山路29號,1.0,568.0,第一分局,120.670756
135.0,住宅,平和里,臺中市西區平和里10鄰自治街57號,1.0,116.0,第一分局,"120.670884 "
136.0,住宅,平和里,臺中市西區平和里11鄰林森路120號,1.0,160.0,第一分局,"120.670135 "
137.0,住宅,平和里,臺中市西區平和里12鄰自治街59號,1.0,118.0,第一分局,"120.670848 "
138.0,住宅,平和里,臺中市西區平和里12鄰自治街61號,1.0,122.0,第一分局,"120.670816 "
139.0,住宅,平和里,臺中市西區平和里12鄰自治街63號,1.0,112.0,第一分局,"120.670788 "
140.0,住宅,平和里,臺中市西區平和里13鄰林森路135號,1.0,109.0,第一分局,"120.670192 "
141.0,住宅,平和里,臺中市西區平和里16鄰民生路126巷29號,1.0,104.0,第一分局,120.6729512
142.0,住宅,平和里,臺中市西區平和里17鄰民生路126巷21號,1.0,117.0,第一分局,120.6728898
143.0,住宅,平和里,臺中市西區平和里20鄰自治街45號,1.0,134.0,第一分局,"120.671190 "
144.0,住宅,平和里,臺中市西區平和里21鄰林森路86號,1.0,2266.0,第一分局,"120.670666 "
145.0,住宅,平和里,臺中市西區平和里22鄰樂群街86號,1.0,110.0,第一分局,"120.671311 "
146.0,住宅,平和里,臺中市西區平和里22鄰樂群街88號,1.0,112.0,第一分局,"120.671274 "
147.0,住宅,平和里,臺中市西區平和里7鄰民生路140號,1.0,426.0,第一分局,"120.678970 "
148.0,住宅,民生里,臺中市西區民生里02鄰繼光街19號,1.0,150.0,第一分局,"120.680366 "
149.0,住宅,民生里,臺中市西區民生里03鄰民權路61號,1.0,108.0,第一分局,"120.680815 "
150.0,台灣銀行台中分行,民生里,臺中市西區民生里06鄰自由路一段140號,1.0,416.0,第一分局,120.678602
151.0,合作金庫新中分行,民生里,臺中市西區民生里07鄰民權路91號,1.0,880.0,第一分局,120.6794473
152.0,台銀人壽保險公司,民生里,臺中市西區民生里07鄰民權路95號,1.0,982.0,第一分局,"120.679177 "
153.0,101帝國大廈管委會,民生里,臺中市西區民生里07鄰自由路一段101號,2.0,1167.0,第一分局,"120.679288 "
154.0,住宅,民生里,臺中市西區民生里07鄰自由路一段105號,1.0,274.0,第一分局,"120.679621 "
155.0,住宅,民生里,臺中市西區民生里07鄰自由路一段144號,1.0,413.0,第一分局,"120.679410 "
156.0,國泰金融大樓,民生里,臺中市西區民生里07鄰自由路一段148號,1.0,449.0,第一分局,"120.679678 "
157.0,居仁國中,民生里,臺中市西區民生里07鄰自由路一段97號,1.0,358.0,第一分局,"120.678726 "
158.0,居仁國中,民生里,臺中市西區民生里07鄰自由路一段97號,1.0,1833.0,第一分局,"120.678726 "
159.0,住宅,民生里,臺中市西區民生里08鄰自由路一段150號,1.0,268.0,第一分局,"120.679753 "
160.0,住宅,民生里,臺中市西區民生里10鄰繼光街2號,1.0,250.0,第一分局,"120.679451 "
161.0,住宅,民生里,臺中市西區民生里12鄰建國路71號,1.0,170.0,第一分局,"120.681826 "
162.0,住宅,民生里,臺中市西區民生里13鄰建國路59號,1.0,102.0,第一分局,"120.681366 "
163.0,住宅,民生里,臺中市西區民生里13鄰建國路61號,1.0,106.0,第一分局,"120.681422 "
164.0,住宅,民生里,臺中市西區民生里13鄰建國路63號,1.0,137.0,第一分局,"120.681493 "
165.0,住宅,民生里,臺中市西區民生里14鄰居仁街10號,1.0,148.0,第一分局,"120.680695 "
166.0,住宅,民生里,臺中市西區民生里14鄰居仁街12號,1.0,161.0,第一分局,"120.680646 "
167.0,住宅,民生里,臺中市西區民生里15鄰建國路49號,1.0,319.0,第一分局,"120.675949 "
168.0,住宅,民生里,臺中市西區民生里17鄰自由路一段106號,1.0,377.0,第一分局,"120.676434 "
169.0,住宅,民生里,臺中市西區民生里17鄰自由路一段122號,1.0,208.0,第一分局,"120.676824 "
170.0,住宅,民生里,臺中市西區民生里17鄰自由路一段124號,1.0,153.0,第一分局,"120.676857 "
171.0,住宅,民生里,臺中市西區民生里17鄰自由路一段128號,1.0,113.0,第一分局,"120.676888 "
172.0,地方法院,民生里,臺中市西區民生里17鄰自由路一段91號,1.0,796.0,第一分局,"120.679329 "
173.0,地方法院,民生里,臺中市西區民生里17鄰自由路一段91號,1.0,5714.0,第一分局,"120.675582 "
174.0,台中育幼院兒童福利館,民生里,臺中市西區民生里17鄰自由路一段98-1號,1.0,173.0,第一分局,"120.676238 "
175.0,住宅,民生里,臺中市西區民生里19鄰建國路31巷6號,1.0,160.0,第一分局,"120.677293 "
176.0,住宅,民生里,臺中市西區民生里21鄰法院前街10號,1.0,152.0,第一分局,"120.676678 "
177.0,大同國小,民生里,臺中市西區民生里25鄰自由路一段138號,1.0,1686.0,第一分局,"120.678251 "
178.0,大同國小,民生里,臺中市西區民生里25鄰自由路一段138號,1.0,2306.0,第一分局,"120.678251 "
179.0,台中女中,民生里,臺中市西區民生里25鄰自由路一段95號,1.0,2257.0,第一分局,"120.679177 "
180.0,住宅,利民里,臺中市西區利民里01鄰四維街24號,1.0,736.0,第一分局,"120.676312 "
181.0,住宅,利民里,臺中市西區利民里01鄰四維街29號,1.0,168.0,第一分局,"120.675586 "
182.0,住宅,利民里,臺中市西區利民里02鄰市府路23號,1.0,213.0,第一分局,"120.676854 "
183.0,住宅,利民里,臺中市西區利民里02鄰市府路25號,1.0,534.0,第一分局,"120.676948 "
184.0,住宅,利民里,臺中市西區利民里02鄰市府路31號,1.0,1205.0,第一分局,"120.677109 "
185.0,住宅,利民里,臺中市西區利民里03鄰四維街31號,1.0,105.0,第一分局,"120.675455 "
186.0,住宅,利民里,臺中市西區利民里05鄰四維街3巷1號,1.0,228.0,第一分局,"120.676286 "
187.0,住宅,利民里,臺中市西區利民里05鄰四維街3巷2號,1.0,116.0,第一分局,"120.676192 "
188.0,住宅,利民里,臺中市西區利民里06鄰市府路13號,1.0,112.0,第一分局,"120.676409 "
189.0,住宅,利民里,臺中市西區利民里06鄰市府路19號,1.0,126.0,第一分局,"120.676519 "
190.0,住宅,利民里,臺中市西區利民里06鄰市府路1號,1.0,369.0,第一分局,120.6761225
191.0,住宅,利民里,臺中市西區利民里08鄰林森路24巷55號,1.0,274.0,第一分局,"120.675218 "
192.0,住宅,利民里,臺中市西區利民里08鄰林森路24巷57號,1.0,413.0,第一分局,"120.675149 "
193.0,住宅,利民里,臺中市西區利民里08鄰林森路24巷61號,1.0,1612.0,第一分局,"120.675248 "
194.0,住宅,利民里,臺中市西區利民里13鄰四維街2號之1,1.0,122.0,第一分局,"120.676775 "
195.0,住宅,利民里,臺中市西區利民里14鄰三民路一段168巷11號,1.0,118.0,第一分局,"120.675487 "
196.0,住宅,利民里,臺中市西區利民里14鄰三民路一段168巷7號,1.0,149.0,第一分局,"120.675363 "
197.0,住宅,利民里,臺中市西區利民里15鄰市府路37號,1.0,673.0,第一分局,"120.677876 "
198.0,住宅,利民里,臺中市西區利民里15鄰市府路39號,1.0,1082.0,第一分局,24.13812145
199.0,光明國中,利民里,臺中市西區利民里15鄰民權路99-1號,1.0,901.0,第一分局,"120.677734 "
200.0,中華電信,利民里,臺中市西區利民里15鄰民權路99號,1.0,594.0,第一分局,"120.677989 "
201.0,住宅,利民里,臺中市西區利民里24鄰府後街1-5號,1.0,1469.0,第一分局,"120.674200 "
202.0,住宅,利民里,臺中市西區利民里24鄰林森路26號,1.0,1239.0,第一分局,"120.673914 "
203.0,住宅,利民里,臺中市西區利民里7鄰自由路一段75號,1.0,1042.0,第一分局,"120.673212 "
204.0,住宅,東昇里,臺中市西區東昇里02鄰貴和街35號,1.0,260.0,第一分局,"120.670343 "
205.0,住宅,東昇里,臺中市西區東昇里02鄰貴和街59號,1.0,192.0,第一分局,"120.669656 "
206.0,住宅,東昇里,臺中市西區東昇里03鄰樂群街93號,1.0,112.0,第一分局,"120.670627 "
207.0,住宅,東昇里,臺中市西區東昇里04鄰貴和街32號,1.0,1333.0,第一分局,"120.670452 "
208.0,住宅,東昇里,臺中市西區東昇里04鄰貴和街40號,1.0,790.0,第一分局,"120.669799 "
209.0,住宅,東昇里,臺中市西區東昇里05鄰朝陽街92號,1.0,724.0,第一分局,"120.669207 "
210.0,住宅,東昇里,臺中市西區東昇里07鄰朝陽街79號,1.0,1937.0,第一分局,"120.669045 "
211.0,住宅,東昇里,臺中市西區東昇里08鄰樂群街200號,1.0,408.0,第一分局,"120.669130 "
212.0,住宅,東昇里,臺中市西區東昇里08鄰樂群街222號,1.0,113.0,第一分局,"120.668800 "
213.0,住宅,東昇里,臺中市西區東昇里11鄰樂群街216巷3號,1.0,161.0,第一分局,"120.668605 "
214.0,住宅,東昇里,臺中市西區東昇里11鄰樂群街216巷4號,1.0,148.0,第一分局,"120.668761 "
215.0,住宅,東昇里,臺中市西區東昇里11鄰樂群街236號,1.0,240.0,第一分局,"120.668589 "
216.0,住宅,東昇里,臺中市西區東昇里12鄰朝陽街71號,1.0,254.0,第一分局,"120.669403 "
217.0,住宅,東昇里,臺中市西區東昇里15鄰公館路162號,1.0,416.0,第一分局,"120.669127 "
218.0,住宅,東昇里,臺中市西區東昇里16鄰柳川東路二段110號,1.0,237.0,第一分局,"120.668192 "
219.0,住宅,東昇里,臺中市西區東昇里16鄰朝陽街123號,1.0,224.0,第一分局,"120.668322 "
220.0,住宅,東昇里,臺中市西區東昇里17鄰柳川東路二段103號,1.0,114.0,第一分局,"120.667907 "
221.0,台中醫院,廣民里,臺中市西區廣民里02鄰三民路一段199號,1.0,2996.0,第一分局,"120.675711 "
222.0,住宅,廣民里,臺中市西區廣民里02鄰民權路103號,1.0,1833.0,第一分局,"120.675748 "
223.0,住宅,廣民里,臺中市西區廣民里02鄰民權路105號,1.0,901.0,第一分局,"120.675929 "
224.0,"勞動部勞工保險局 臺中市辦事處",廣民里,臺中市西區廣民里02鄰民權路131號,1.0,165.0,第一分局,"120.675180 "
225.0,住宅,廣民里,臺中市西區廣民里02鄰民權路135號,1.0,664.0,第一分局,"120.674905 "
226.0,住宅,廣民里,臺中市西區廣民里08鄰樂群街56巷1號,1.0,226.0,第一分局,"120.671627 "
227.0,住宅,廣民里,臺中市西區廣民里10鄰自治街30號,1.0,156.0,第一分局,120.6712203
228.0,住宅,廣民里,臺中市西區廣民里10鄰樂群街61號之1,1.0,113.0,第一分局,"120.671901 "
229.0,住宅,廣民里,臺中市西區廣民里12鄰自立街1號,1.0,100.0,第一分局,"120.672732 "
230.0,住宅,廣民里,臺中市西區廣民里14鄰樂群街23號,1.0,148.0,第一分局,"120.673452 "
231.0,住宅,廣民里,臺中市西區廣民里14鄰樂群街27號1,1.0,120.0,第一分局,120.6734964
232.0,住宅,廣民里,臺中市西區廣民里17鄰大全街4號,1.0,134.0,第一分局,"120.673306 "
233.0,住宅,廣民里,臺中市西區廣民里18鄰大全街7號,1.0,146.0,第一分局,120.6724843
234.0,住宅,廣民里,臺中市西區廣民里18鄰自治街11號之1,1.0,134.0,第一分局,"120.672128 "
235.0,住宅,廣民里,臺中市西區廣民里18鄰自治街7號,1.0,205.0,第一分局,"120.672721 "
236.0,住宅,廣民里,臺中市西區廣民里19鄰大全街12號,1.0,324.0,第一分局,"120.671954 "
237.0,衛生福利部中區兒童之家,廣民里,臺中市西區廣民里20鄰大明街27號,1.0,176.0,第一分局,120.6741358
238.0,住宅,廣民里,臺中市西區廣民里20鄰自治街41號,1.0,686.0,第一分局,"120.672890 "
