電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註
C0041,私人住宅,新勢里,24.948099,121.215526,B1,548.0,平鎮分局,
C0043,私人住宅,北安里,24.951444,121.220652,B1,28.0,平鎮分局,
C0044,私人住宅,北安里,24.952158,121.221358,B1,58.0,平鎮分局,
C0045,商業大樓,新勢里,24.951527,121.21868,B1,70.0,平鎮分局,
C0046,私人住宅,新勢里,24.948316,121.215538,B1,600.0,平鎮分局,
C0049,私人住宅,北安里,24.95189,121.221569,B1,56.0,平鎮分局,
C0053,園訂三生社區,新榮里,24.945499,121.215368,B1,1971.0,平鎮分局,
C0057,私人住宅,北勢里,24.947184,121.220567,B1,51.0,平鎮分局,
C0061,私人住宅,北勢里,24.946596,121.220107,B1,27.0,平鎮分局,
C0062,北興里活動中心,金陵里,24.94121,121.222112,B1,33.0,平鎮分局,
C0063,環南家緣社區,新榮里,24.942701,121.213494,B1,488.0,平鎮分局,
C0064,雙橡園社區,新勢里,24.946543,121.211942,B1,22.0,平鎮分局,
C0065,私人住宅,新勢里,24.949537,121.215457,B1,46.0,平鎮分局,
C0066,麗園社區-,新榮里,24.943024,121.212138,B1,53.0,平鎮分局,
C0067,私人住宅,北勢里,24.948684,121.220953,B1,182.0,平鎮分局,
C0069,私人住宅,北安里,24.94904,121.220086,B1,123.0,平鎮分局,
C0070,私人住宅,新勢里,24.947885,121.216755,B1,212.0,平鎮分局,
C0071,寶成皇家社區,新英里,24.93912,121.213794,B1B2,1478.0,平鎮分局,
C0072,私人住宅,新勢里,24.94934,121.218122,B1,13.0,平鎮分局,
C0073,私人住宅,新榮里,24.943329,121.21264,B1,64.0,平鎮分局,
C0076,私人住宅,新富里,24.906418,121.213159,B1,117.0,平鎮分局,
C0077,私人住宅,新富里,24.941387,121.217887,B1,90.0,平鎮分局,
C0078,私人住宅,新富里,24.910396,121.211872,B1,90.0,平鎮分局,
C0081,錫城華廈,北安里,24.953529,121.220691,B1,600.0,平鎮分局,
C0082,私人住宅大樓,新富里,24.940725,121.216306,B1,131.0,平鎮分局,
C0083,私人住宅,新勢里,24.946581,121.213809,B1,193.0,平鎮分局,
C0085,私人住宅,新勢里,24.947556,121.217034,B1,212.0,平鎮分局,
C0086,私人住宅,新勢里,24.948178,121.217556,B1,20.0,平鎮分局,
C0088,私人住宅,新勢里,24.949429,121.218389,B1,22.0,平鎮分局,
C0089,柏彌蘭金屬化研究(股)公司-,新貴里,24.933663,121.21549,B1,37.0,平鎮分局,
C0091,北勢國小,北興里,24.93585,121.223844,B1,1328.0,平鎮分局,
C0092,當代米羅社區,北華里,24.940268,121.219814,B1,1755.0,平鎮分局,
