"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
屏東中學/電子大樓,QMA01836,勝利里,屏東縣屏東市勝利里19鄰忠孝路231號,"22.68563244938232, 120.48853871057088",1,361.0,屏東分局,共有6處、總計可容納人數4805人
屏東中學/行政大樓,QMA01837,勝利里,屏東縣屏東市勝利里19鄰忠孝路231號,"22.68563244938232, 120.48853871057088",1,539.0,屏東分局,共有6處、總計可容納人數4805人
—,QMA02315,勝利里,屏東縣屏東市勝利里26鄰忠孝路255-1號,"22.689169246029525, 120.4888520547478",1,26.0,屏東分局,
—,QMA02316,勝利里,屏東縣屏東市勝利里26鄰忠孝路257號,"22.68918675320306, 120.48879231057107",1,43.0,屏東分局,
—,QMA02317,勝利里,屏東縣屏東市勝利里26鄰忠孝路259號,"22.689292442895837, 120.48886235474778",1,26.0,屏東分局,
竹生診所,QMA00024,勝利里,屏東縣屏東市勝利里15鄰勝利路124-6號,"22.679765266651625, 120.48588305474766",1,47.0,屏東分局,
屏東縣政府/北棟大樓,QMA02608,勝利里,屏東縣屏東市勝利里13鄰自由路527號,"22.683023324061267, 120.48791195853994",1,7527.0,屏東分局,共有2處、總計可容納人數8858人
屏東縣政府/南棟大樓,QMA02007,勝利里,屏東縣屏東市勝利里13鄰自由路527號,"22.682100696284408, 120.48784469627091",1,1331.0,屏東分局,共有2處、總計可容納人數8858人
屏東市地政事務所,QMA02607,勝利里,屏東縣屏東市勝利里13鄰自由路529號,"22.68323385760623, 120.48694212406483",1,1984.0,屏東分局,
大樂公司,QMA02038,勝利里,屏東縣屏東市勝利里18鄰自由路550號,"22.68400946357195, 120.48695272591236",1,6547.0,屏東分局,
—,QMA02327,勝利里,屏東縣屏東市勝利里28鄰廣東路854號,"22.688174845237427, 120.48885105474776",1,34.0,屏東分局,
—,QMA02318,勝利里,屏東縣屏東市勝利里28鄰廣東路934號,"22.688152250744825, 120.48682853940637",1,28.0,屏東分局,
—,QMA02313,勝利里,屏東縣屏東市勝利里28鄰廣東路936號,"22.688146239850298, 120.48679895474758",1,52.0,屏東分局,
—,QMA02330,勝利里,屏東縣屏東市勝利里28鄰廣東路938號,"22.688148549385648, 120.48669363940631",1,31.0,屏東分局,
—,QMA02326,勝利里,屏東縣屏東市勝利里28鄰廣東路948號,"22.68813804804096, 120.48648041057095",1,34.0,屏東分局,
—,QMA02323,勝利里,屏東縣屏東市勝利里28鄰廣東路868號,"22.68819514656188, 120.48827351057095",1,42.0,屏東分局,
—,QMA02319,勝利里,屏東縣屏東市勝利里28鄰廣東路904號,"22.688059552272392, 120.48706782406492",1,66.0,屏東分局,
—,QMA02314,勝利里,屏東縣屏東市勝利里28鄰廣東路906號,"22.688099448116407, 120.48702483940633",1,67.0,屏東分局,
君臨天下大樓,QMA02054,勝利里,屏東縣屏東市勝利里40鄰廣東路990號,"22.687994553741298, 120.48536595474773",1,1531.0,屏東分局,
—,QMA02325,勝利里,屏東縣屏東市勝利里20鄰崇武路24-3號,"22.68516166190727, 120.48665639707693",1,40.0,屏東分局,
屏東縣選舉委員會,QMA02037,勝利里,屏東縣屏東市勝利里14鄰太原一路36號,"22.681654062480064, 120.48688171241847",1,323.0,屏東分局,
國泰府前大廈,QMA02039,勝利里,屏東縣屏東市勝利里21鄰太原一路84號,"22.684986158739992, 120.48643031241838",1,1708.0,屏東分局,
澄園大樓,QMA02040,勝利里,屏東縣屏東市勝利里23鄰公正四街93號,"22.684621954899068, 120.48895759522941",1,857.0,屏東分局,
中華電信工程處,QMA00022,勝利里,屏東縣屏東市勝利里15鄰蘭州街1號,"22.68038906557044, 120.48590702591235",1,386.0,屏東分局,
勝利國小/勵志樓,QMA00008,勝利里,屏東縣屏東市勝利里15鄰蘭州街2號,"22.680579263601587, 120.48603976824151",1,990.0,屏東分局,共有4處、總計可容納人數2016人
勝利國小/勝利樓,QMA00009,勝利里,屏東縣屏東市勝利里15鄰蘭州街2號,"22.680579263601587, 120.48603976824151",1,325.0,屏東分局,共有4處、總計可容納人數2016人
勝利國小/至善樓,QMA00010,勝利里,屏東縣屏東市勝利里15鄰蘭州街2號,"22.680579263601587, 120.48603976824151",1,568.0,屏東分局,共有4處、總計可容納人數2016人
勝利國小/勤學樓,QMA00011,勝利里,屏東縣屏東市勝利里15鄰蘭州街2號,"22.680579263601587, 120.48603976824151",1,133.0,屏東分局,共有4處、總計可容納人數2016人
國泰大樓/高雄銀行,QMA02133,公園里,屏東縣屏東市公園里22鄰中正路152號,"22.677431769511465, 120.49075956824157",1,500.0,屏東分局,
—,QMA02159,公園里,屏東縣屏東市公園里20鄰中正路165號,"22.67802737285304, 120.49045049707684",1,63.0,屏東分局,
屏東縣政府/財稅局,QMA02176,公園里,屏東縣屏東市公園里10鄰北平路24號,"22.675901974314115, 120.48944933940605",1,590.0,屏東分局,
民生派出所,QMA02247,公園里,屏東縣屏東市公園里10鄰北平路30號,"22.676249470215726, 120.4885122835829",1,294.0,屏東分局,
—,QMA02189,公園里,屏東縣屏東市公園里07鄰信義路118號,"22.676617673713306, 120.48856785474763",1,35.0,屏東分局,
—,QMA02178,公園里,屏東縣屏東市公園里07鄰信義路120號,"22.677276369803312, 120.48872481057077",1,38.0,屏東分局,
富有名店大廈,QMA02064,公園里,屏東縣屏東市公園里06鄰中華路139號,"22.676468771319524, 120.49107205474755",1.2,5333.0,屏東分局,
中山公園家大樓,QMA02063,公園里,屏東縣屏東市公園里19鄰中華路175號,"22.67743437187953, 120.4913662682415",1,904.0,屏東分局,
