電腦編號,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,備註
244.0,榴南里,雲林縣斗六市榴南里9鄰斗工六路36號,"23.71776, 120.59791",1.0,424.0,斗六分局,
245.0,榴南里,雲林縣斗六市榴南里9鄰斗工八路29號,"23.7161, 120.59743",1.0,234.0,斗六分局,
246.0,榴南里,雲林縣斗六市榴南里9鄰斗工十路156號,"23.71455, 120.59767",1.0,7894.0,斗六分局,
247.0,榴南里,雲林縣斗六市榴南里9鄰斗工十六路8號,"23.70989, 120.59659",1.0,1350.0,斗六分局,
248.0,榴南里,雲林縣斗六市榴南里斗工六路47號,"23.718, 120.59771",1.0,986.0,斗六分局,
249.0,榴南里,雲林縣斗六市榴南里斗工二路8號,"23.7189, 120.59052",1.0,431.0,斗六分局,
250.0,榴南里,雲林縣斗六市榴南里18鄰斗工八路1號,"23.71541, 120.59208",1.0,1424.0,斗六分局,
251.0,龍潭里,雲林縣斗六市龍潭里9鄰忠孝路155號,"23.69394, 120.52593",1.0,3041.0,斗六分局,
252.0,龍潭里,雲林縣斗六市龍潭里忠孝路125號,"23.69397, 120.52703",1.0,1856.0,斗六分局,
253.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,"23.69584, 120.53401",1.0,4034.0,斗六分局,
254.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,"23.69584, 120.53401",1.0,1358.0,斗六分局,
255.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,"23.69584, 120.53401",1.0,2865.0,斗六分局,
256.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,"23.69584, 120.53401",1.0,2865.0,斗六分局,
257.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,"23.69584, 120.53401",1.0,1358.0,斗六分局,
258.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,"23.69584, 120.53401",1.0,6072.0,斗六分局,
259.0,龍潭里,雲林縣斗六市龍潭里9鄰大學路3段123號,"23.69584, 120.53401",1.0,4034.0,斗六分局,
260.0,鎮北里,雲林縣斗六市鎮北里東興街168至170號,"23.71609, 120.54357",1.0,401.0,斗六分局,
261.0,鎮北里,雲林縣斗六市鎮北里育英北街117號,"23.7161, 120.55111",1.0,954.0,斗六分局,
262.0,鎮北里,雲林縣斗六市鎮北里鎮北路138號,"23.7151, 120.5431",1.0,200.0,斗六分局,
263.0,鎮北里,雲林縣斗六市鎮北里鎮北路68號,"23.71338, 120.54327",1.0,102.0,斗六分局,
264.0,鎮北里,雲林縣斗六市鎮北里育英北街111巷45號,"23.71563, 120.5497",1.0,354.0,斗六分局,
265.0,鎮北里,雲林縣斗六市鎮北里育英北街111巷45-49號,"23.7155, 120.54971",1.0,354.0,斗六分局,
266.0,鎮西里,雲林縣斗六市鎮西里建成路41至43號、同心街1至5號,"23.70493, 120.53531",1.0,845.0,斗六分局,
267.0,鎮西里,雲林縣斗六市鎮西里雲林路1段223至227號,"23.70537, 120.53446",1.0,153.0,斗六分局,
268.0,鎮西里,雲林縣斗六市鎮西里建成路105號,"23.70391, 120.53377",1.0,1593.0,斗六分局,
269.0,鎮西里,雲林縣斗六市鎮西里同德街15號,"23.70169, 120.5339",1.0,557.0,斗六分局,
270.0,鎮西里,雲林縣斗六市鎮西里建成路275至287號、安和街2號,"23.70296, 120.5325",1.0,876.0,斗六分局,
271.0,鎮西里,雲林縣斗六市鎮西里安和街73號,"23.70212, 120.53422",1.0,152.0,斗六分局,
272.0,鎮西里,雲林縣斗六市鎮西里建成路269至273號、安和街1號,"23.703, 120.53269",1.0,189.0,斗六分局,
273.0,鎮西里,雲林縣斗六市鎮西里雲林路2段203號,"23.70377, 120.53259",1.0,460.0,斗六分局,
274.0,鎮西里,雲林縣斗六市鎮西里雲林路2段221號,"23.70348, 120.53215",1.0,826.0,斗六分局,
275.0,鎮西里,雲林縣斗六市鎮西里11鄰樂利街53號,"23.70132, 120.53556",1.0,991.0,斗六分局,
276.0,鎮西里,雲林縣斗六市鎮西里雲林路2段6巷59號,"23.70755, 120.53535",1.0,584.0,斗六分局,
277.0,鎮西里,雲林縣斗六市鎮西里雲林路2段180巷11號,"23.70367, 120.53155",1.0,484.0,斗六分局,
278.0,鎮西里,雲林縣斗六市鎮西里雲林路2段445號,"23.70069, 120.52817",1.0,600.0,斗六分局,
279.0,鎮西里,雲林縣斗六市鎮西里府文路38號,"23.69712, 120.52711",1.0,1260.0,斗六分局,
280.0,鎮西里,雲林縣斗六市鎮西里雲林路2段367號,"23.7009, 120.52874",1.0,168.0,斗六分局,
281.0,鎮西里,雲林縣斗六市鎮西里雲林路2段411號,"23.70022, 120.52739",1.0,429.0,斗六分局,
282.0,鎮西里,雲林縣斗六市鎮西里府文路35號,"23.69761, 120.52798",1.0,5022.0,斗六分局,
283.0,鎮西里,雲林縣斗六市鎮西里明德路399號,"23.69877, 120.53574",1.0,1736.0,斗六分局,
284.0,鎮西里,雲林縣斗六市鎮西里公園路6號,"23.69865, 120.53057",1.0,1834.0,斗六分局,
285.0,鎮西里,雲林縣斗六市鎮西里建成路33號,"23.70557, 120.53676",1.0,294.0,斗六分局,
286.0,鎮西里,雲林縣斗六市鎮西里建成路45至47號,"23.70476, 120.5353",1.0,292.0,斗六分局,
287.0,鎮西里,雲林縣斗六市鎮西里雲林路2段579號,"23.69734, 120.52589",1.0,116.0,斗六分局,
288.0,鎮西里,雲林縣斗六市鎮西里雲林路2段243號,"23.70328, 120.53166",1.0,441.0,斗六分局,
289.0,鎮西里,雲林縣斗六市鎮西里雲林路2段579號,"23.69734, 120.52589",1.0,7176.0,斗六分局,
290.0,鎮西里,雲林縣斗六市鎮西里雲林路2段297號,"23.70138, 120.53027",1.0,14133.0,斗六分局,
291.0,鎮東里,雲林縣斗六市鎮東里文化路2號,"23.7142, 120.56016",1.0,150.0,斗六分局,
292.0,鎮東里,雲林縣斗六市鎮東里民生路238號,"23.71377, 120.54787",1.0,320.0,斗六分局,
293.0,鎮東里,雲林縣斗六市鎮東里民生路240號,"23.71381, 120.548",1.0,400.0,斗六分局,
294.0,鎮東里,雲林縣斗六市鎮東里民生路238號,"23.71377, 120.54787",1.0,330.0,斗六分局,
295.0,鎮東里,雲林縣斗六市鎮東里文化路35號,"23.71116, 120.54734",1.0,217.0,斗六分局,
296.0,鎮東里,雲林縣斗六市鎮東里文化路73巷20號,"23.71147, 120.54869",1.0,212.0,斗六分局,
297.0,鎮東里,雲林縣斗六市鎮東里民生路272號,"23.71369, 120.54882",1.0,1062.0,斗六分局,
298.0,鎮東里,雲林縣斗六市鎮東里民生路2846號,"23.71416, 120.5512",1.0,261.0,斗六分局,
299.0,鎮東里,雲林縣斗六市鎮東里民生路242號,"23.7139, 120.5483",1.0,873.0,斗六分局,
300.0,鎮東里,雲林縣斗六市鎮東里鎮東路10號,"23.71121, 120.55232",1.0,173.0,斗六分局,
301.0,鎮東里,雲林縣斗六市鎮東里文化路180號,"23.71098, 120.54996",1.0,3176.0,斗六分局,
302.0,鎮東里,雲林縣斗六市鎮東里警民街26號,"23.71305, 120.55309",1.0,265.0,斗六分局,
303.0,鎮東里,雲林縣斗六市鎮東里永樂街18號,"23.71188, 120.54692",1.0,3929.0,斗六分局,
304.0,鎮東里,雲林縣斗六市鎮東里永樂街35號,"23.71178, 120.54755",1.0,129.0,斗六分局,
305.0,鎮東里,雲林縣斗六市鎮東里文化路205號,"23.71174, 120.55231",1.0,172.0,斗六分局,
306.0,鎮東里,雲林縣斗六市鎮東里育英北街69號,"23.71309, 120.55122",1.0,2876.0,斗六分局,
307.0,鎮東里,雲林縣斗六市鎮東里文化路205號,"23.71174, 120.55231",1.0,397.0,斗六分局,
308.0,鎮東里,雲林縣斗六市鎮東里鎮東路117號,"23.70864, 120.55259",1.0,633.0,斗六分局,
309.0,鎮南里,雲林縣斗六市鎮南里5鄰中山路194號,"23.70466, 120.53912",1.0,517.0,斗六分局,
310.0,鎮南里,雲林縣斗六市鎮南里8鄰永昌西街2號之10,"23.70297, 120.53856",1.0,1918.0,斗六分局,
311.0,鎮南里,雲林縣斗六市鎮南里7鄰中山路234號,"23.69858, 120.53811",1.0,169.0,斗六分局,
312.0,鎮南里,雲林縣斗六市鎮南里7鄰中山路268號之3,"23.70306, 120.53866",1.0,1025.0,斗六分局,
313.0,鎮南里,雲林縣斗六市鎮南里7鄰永昌西街1號之5,"23.70273, 120.53855",1.0,560.0,斗六分局,
314.0,鎮南里,雲林縣斗六市鎮南里5鄰中山路258號,"23.70333, 120.53874",1.0,164.0,斗六分局,
315.0,鎮南里,雲林縣斗六市鎮南里7鄰南興街23號,"23.70375, 120.53826",1.0,429.0,斗六分局,
316.0,鎮南里,雲林縣斗六市鎮南里4鄰中山路198號,"23.70459, 120.53916",1.0,392.0,斗六分局,
317.0,鎮南里,雲林縣斗六市鎮南里13鄰南揚街120號,"23.69874, 120.53589",1.0,550.0,斗六分局,
318.0,鎮南里,雲林縣斗六市鎮南里12鄰明德路91號,"23.69822, 120.53789",1.0,576.0,斗六分局,
319.0,鎮南里,雲林縣斗六市鎮南里明德路463至481號,"23.69899, 120.53472",1.0,1390.0,斗六分局,
320.0,鎮南里,雲林縣斗六市鎮南里文安街59號,"23.70019, 120.53403",1.0,1296.0,斗六分局,
321.0,鎮南里,雲林縣斗六市鎮南里14鄰武陵街55-67號,"23.69931, 120.53513",1.0,1510.0,斗六分局,
322.0,鎮南里,雲林縣斗六市鎮南里14鄰武陵街49巷423號,"23.69913, 120.53566",1.0,2141.0,斗六分局,
323.0,鎮南里,雲林縣斗六市鎮南里14鄰武陵街46號,"23.69958, 120.53524",1.0,2640.0,斗六分局,
324.0,鎮南里,雲林縣斗六市鎮南里文安街60-62號,"23.70008, 120.53398",1.0,168.0,斗六分局,
325.0,鎮南里,雲林縣斗六市鎮南里明德路549號,"23.69935, 120.53365",1.0,813.0,斗六分局,
326.0,鎮南里,雲林縣斗六市鎮南里14鄰武陵街25-33號,"23.69989, 120.53576",1.0,449.0,斗六分局,
327.0,饒平村,雲林縣莿桐鄉饒平村饒平路16號之3,"23.77726, 120.52121",1.0,333.0,斗六分局,
328.0,長安里,斗六市長安里長安西路1-6號,"23.73327, 120.53361",1.0,2577.0,斗六分局,
