"unnamed (1)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)","unnamed (7)","unnamed (8)","unnamed (9)",placemark_address
SMA07008,國盛里,花蓮縣花蓮市國盛里國盛二街22號,23.991963,121.607044,B1,1212.0,花蓮分局,花蓮縣花蓮市國盛里國盛二街22號
SMA07010,國盛里,花蓮縣花蓮市國盛里國聯五路238號,23.995051,121.604588,B1,821.0,花蓮分局,花蓮縣花蓮市國盛里國聯五路238號
SMA07011,國盛里,花蓮縣花蓮市國盛里國盛二街203號之1,23.993536,121.606104,B1,360.0,花蓮分局,花蓮縣花蓮市國盛里國盛二街203號之1
SMA07012,國聯里,花蓮縣花蓮市國聯里國聯一路107號,23.990216,121.60122,B1,383.0,花蓮分局,花蓮縣花蓮市國聯里國聯一路107號
SMA07013,國聯里,花蓮縣花蓮市國聯里國民八街8號,23.993065,121.60415,B1、B2,308.0,花蓮分局,花蓮縣花蓮市國聯里國民八街8號
SMA07014,國聯里,花蓮縣花蓮市國聯里國民八街3號,23.993234,121.604169,B1、B2,465.0,花蓮分局,花蓮縣花蓮市國聯里國民八街3號
SMA07015,國盛里,花蓮縣花蓮市國盛里國盛一街76號,23.99106,121.606299,B1,124.0,花蓮分局,花蓮縣花蓮市國盛里國盛一街76號
SMA07016,國盛里,花蓮縣花蓮市國盛里國盛一街168之1號,23.992956,121.605838,B1,112.0,花蓮分局,花蓮縣花蓮市國盛里國盛一街168之1號
SMA07017,國聯里,花蓮縣花蓮市國聯里國聯五路5之5號,23.988772,121.605867,B1,362.0,花蓮分局,花蓮縣花蓮市國聯里國聯五路5之5號
SMA07018,國聯里,花蓮縣花蓮市國聯里國聯五路151號,23.993749,121.60462,B1,941.0,花蓮分局,花蓮縣花蓮市國聯里國聯五路151號
SMA07019,國盛里,花蓮縣花蓮市國盛里國盛一街66號,23.990769,121.606368,B1,335.0,花蓮分局,花蓮縣花蓮市國盛里國盛一街66號
SMA07020,國聯里,花蓮縣花蓮市國聯里國興五街202號等,23.987292,121.599929,B1,257.0,花蓮分局,花蓮縣花蓮市國聯里國興五街202號等
SMA07021,國盛里,花蓮縣花蓮市國盛里國盛一街66巷1號,23.990783,121.606438,B1,354.0,花蓮分局,花蓮縣花蓮市國盛里國盛一街66巷1號
SMA07022,國盛里,花蓮縣花蓮市國盛里國盛一街66巷2號,23.990663,121.606442,B1,517.0,花蓮分局,花蓮縣花蓮市國盛里國盛一街66巷2號
SMA07023,國盛里,花蓮縣花蓮市國盛2街101號,23.992689,121.606404,B1,388.0,花蓮分局,花蓮縣花蓮市國盛2街101號
SMA07024,國盛里,花蓮縣花蓮市國盛2街211號,23.994298,121.606035,B1,340.0,花蓮分局,花蓮縣花蓮市國盛2街211號
SMA07025,國盛里,花蓮縣花蓮市國盛4街53號,23.995057,121.607352,B1,150.0,花蓮分局,花蓮縣花蓮市國盛4街53號
SMA07026,國盛里,花蓮縣花蓮市國盛8街1巷1、3號,23.994577,121.609296,B1,39.0,花蓮分局,花蓮縣花蓮市國盛8街1巷1、3號
SMA07027,國盛里,花蓮縣花蓮市國盛8街1巷5、7號,23.994483,121.609242,B1,39.0,花蓮分局,花蓮縣花蓮市國盛8街1巷5、7號
SMA07028,國聯里,花蓮縣花蓮市國興一街30號,23.994968,121.603872,B1,179.0,花蓮分局,花蓮縣花蓮市國興一街30號
SMA07029,國聯里,花蓮縣花蓮市國興一街36號,23.995187,121.603953,B1,498.0,花蓮分局,花蓮縣花蓮市國興一街36號
SMA07030,國聯里,花蓮縣花蓮市國興一街95號,23.99555,121.603854,B1,762.0,花蓮分局,花蓮縣花蓮市國興一街95號
SMA07031,國聯里,花蓮縣花蓮市國興二街125之1號,23.989166,121.601907,B1,211.0,花蓮分局,花蓮縣花蓮市國興二街125之1號
SMA07032,國聯里,花蓮縣花蓮市國興二街137號,23.989018,121.601657,B1,245.0,花蓮分局,花蓮縣花蓮市國興二街137號
SMA07033,國聯里,花蓮縣花蓮市國興5街150號,23.988113,121.602584,B1,393.0,花蓮分局,花蓮縣花蓮市國興5街150號
SMA07034,國聯里,花蓮縣花蓮市國聯一路37號,23.993383,121.603941,B1,327.0,花蓮分局,花蓮縣花蓮市國聯一路37號
SMA07035,國聯里,花蓮縣花蓮市國聯一路39號,23.993002,121.603809,B1,474.0,花蓮分局,花蓮縣花蓮市國聯一路39號
SMA07036,國聯里,花蓮縣花蓮市國聯一路41號,23.993174,121.603877,B1,258.0,花蓮分局,花蓮縣花蓮市國聯一路41號
SMA07037,國聯里,花蓮縣花蓮市國聯五路3之1、3之3號,23.988408,121.605909,B1,493.0,花蓮分局,花蓮縣花蓮市國聯五路3之1、3之3號
SMA07038,國聯里,花蓮縣花蓮市國聯五路127號,23.992531,121.604926,B1,264.0,花蓮分局,花蓮縣花蓮市國聯五路127號
SMA07039,國聯里,花蓮縣花蓮市中山路589號,23.988344,121.600334,B1,381.0,花蓮分局,花蓮縣花蓮市中山路589號
SMA07040,國聯里,花蓮縣花蓮市國民1街10號,23.988815,121.600889,B1,302.0,花蓮分局,花蓮縣花蓮市國民1街10號
