類別,電腦編號,行政區,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)"
一般建築,FS3777,區國泰里,國泰里,高雄市鳳山區國泰里五甲二路391號,"22.597625,120.335599",1,370.0,鳳山分局,,,,,,,
一般建築,FS5879,區興仁里,興仁里,高雄市鳳山區興仁里立德街130號,"22.621317,120.359295",1,370.0,鳳山分局,,,,,,,
一般建築,FS0834,區天興里,天興里,高雄市鳳山區天興里自強一路102號,"22.59019399,120.329540825018",1,380.0,鳳山分局,,,,,,,
一般建築,FS3780,區國泰里,國泰里,高雄市鳳山區國泰里五甲二路470號,"22.597747,120.335198",1,384.0,鳳山分局,,,,,,,
一般建築,FS5744,區鳳崗里,鳳崗里,高雄市鳳山區鳳崗里鳳崗路12號,"22.628477,120.359909",1,390.0,鳳山分局,,,,,,,
一般建築,FS3465,區南成里,南成里,高雄市鳳山區南成里林森路141號,"22.593971,120.333192",1,392.0,鳳山分局,,,,,,,
一般建築,FS3315,區武漢里,武漢里,高雄市鳳山區武漢里武營路241號,"22.611183,120.337199",1,393.0,鳳山分局,,,,,,,
一般建築,FS1568,區文德里,文德里,高雄市鳳山區文德里濱山街55巷11弄1號,"22.64627,120.351003",1,394.0,鳳山分局,,,,,,,
一般建築,FS2748,區忠義里,忠義里,高雄市鳳山區忠義里中山西路316號,"22.628518,120.343109",1,410.0,鳳山分局,,,,,,,
一般建築,FS3556,區南興里,南興里,高雄市鳳山區南興里中山路34巷37之2號,"22.62096474,120.361263101534",1,412.0,鳳山分局,,,,,,,
一般建築,FS0536,區中和里,中和里,高雄市鳳山區中和里中興街58號,"22.625966,120.348352",1,419.0,鳳山分局,,,,,,,
一般建築,FS2866,區忠義里,忠義里,高雄市鳳山區忠義里中山西路262號,"22.628238,120.345161",1,423.0,鳳山分局,,,,,,,
一般建築,FS2869,區忠義里,忠義里,高雄市鳳山區忠義里中山西路141號,"22.62723,120.351392",1,433.0,鳳山分局,,,,,,,
一般建築,FS1606,區文德里,文德里,高雄市鳳山區文德里文澄街2巷18號,"22.643595,120.356026",1,434.0,鳳山分局,,,,,,,
