電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
B054,一般大樓,中山里,24.870608,"121.215995 ",B1,2481.0,龍潭分局,,桃園市龍潭區中山里大昌路一段78號
B055,一般大樓,龍星里,24.863668,"121.218621 ",B2,1211.0,龍潭分局,,桃園市龍潭區龍星里中正路261巷85弄16號
B056,一般大樓,中正里,24.857238,"121.215908 ",B1,623.0,龍潭分局,,桃園市龍潭區中正里神龍路379號
B057,一般大樓,中正里,24.857324,"121.216824 ",B1,1450.0,龍潭分局,,桃園市龍潭區中正里神龍路415號
B058,一般民宅,中山里,24.869262,"121.213959 ",B1,292.0,龍潭分局,,桃園市龍潭區中山里中正路6號
B059,一般大樓,中正里,24.858061,"121.218522 ",B1,2736.0,龍潭分局,,桃園市龍潭區中正里龍華路347巷38號 
B060,一般民宅,中山里,24.867001,"121.218276 ",B1,313.0,龍潭分局,,桃園市龍潭區中山里公園路58巷30號
B061,學校,龍潭里,24.864151,"121.213582 ",B1,1786.0,龍潭分局,,桃園市龍潭區龍潭里南龍路13號
B062,一般大樓,龍星里,24.863047,"121.217083 ",B1,483.0,龍潭分局,,桃園市龍潭區龍星里中正路242-1號
B063,一般民宅,中山里,24.868655,"121.214063 ",B1,302.0,龍潭分局,,桃園市龍潭區中山里東龍路390號
B064,一般大樓,龍星里,24.861456,"121.219409 ",B2,1038.0,龍潭分局,,桃園市龍潭區龍星里光明路43號
B065,一般大樓,中山里,24.866792,"121.218706 ",B1,696.0,龍潭分局,,桃園市龍潭區中山里公園路68號
B066,一般大樓,中正里,24.859334,"121.216266 ",B1,2095.0,龍潭分局,,桃園市龍潭區中正里東龍路47號
B067,一般大樓,中正里,24.857813,"121.213045 ",B1,2081.0,龍潭分局,,桃園市龍潭區中正里新龍路219巷10號
B068,一般大樓,上華里,24.851669,"121.222282 ",B2,610.0,龍潭分局,,桃園市龍潭區上華里中正路上華段112巷36弄22號
B069,一般大樓,龍星里,24.861772,"121.219198 ",B2,619.0,龍潭分局,,桃園市龍潭區大同路191巷12號
B070,一般大樓,中正里,24.858429,"121.213415 ",B1,619.0,龍潭分局,,桃園市龍潭區中正里新龍路207號
B071,一般大樓,中山里,24.869733,"121.216850 ",B1,531.0,龍潭分局,,桃園市龍潭區中山里華南路1段80號 
B072,一般大樓,中山里,24.873273,"121.217015 ",B1,1122.0,龍潭分局,,桃園市龍潭區中山里大昌路一段75巷133弄29號
B073,政府機關,中山里,24.870514,"121.222404 ",B1,2969.0,龍潭分局,,桃園市龍潭區中山里中興路690號
B074,一般民宅,龍星里,24.86069,"121.217224 ",B1,118.0,龍潭分局,,桃園市龍潭區龍星里新龍路28號
B075,一般民宅,龍星里,24.862025,"121.219645 ",B1,111.0,龍潭分局,,桃園市龍潭區龍星里大同路193號5樓
B076,一般大樓,中山里,24.867942,"121.212019 ",B1,905.0,龍潭分局,,桃園市龍潭區中山里中豐路中山段97-1號
B077,一般大樓,中山里,24.868281,"121.213560 ",B1,676.0,龍潭分局,,桃園市龍潭區中山里東龍路341巷21號2樓
B078,一般大樓,中山里,24.869411,"121.215369 ",B1,1473.0,龍潭分局,,桃園市龍潭區中山里百福街108號
