地址,緯經度,地下樓層數,分配容量,轄管分局,備註,類別,電腦編號
草屯鎮明正里中正路891號,"23.984871,120.686255",1.0,30.0,草屯分局,,一般住宅,KRA00153
草屯鎮明正里中正路893號,"23.984841,120.686212",1.0,30.0,草屯分局,,一般住宅,KRA00152
"草屯鎮明正里中正路887號 ","23.984804,120.686163",1.0,62.0,草屯分局,,一般住宅,KRA00155
草屯鎮明正里中正路893-1號,"23.984802,120.686233",1.0,45.0,草屯分局,,一般住宅,KRA00370
草屯鎮明正里中正路1130-1號,"23.990638,120.688698",1.0,739.0,草屯分局,,中正家園,KRA00306
"草屯鎮明正里成功路1段459號 ","23.984574,120.682283",1.0,156.0,草屯分局,,上毅天下,KRA00243
"草屯鎮明正里成功路1段265號 ","23.981574,120.681197",1.0,1031.0,草屯分局,,大園道,KRA00291
草屯鎮明正里中山街322號,"23.980998,120.683210",1.0,158.0,草屯分局,,一般住宅,KRA00123
草屯鎮炎峰里虎山路915號,"23.978805,120.685775",1.0,202.0,草屯分局,,曾漢棋醫院,KRA00148
草屯鎮炎峰里虎山路792號,"23.976506,120.685915",1.0,40.0,草屯分局,,一般住宅,KRA00158
