類別,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註
雲林縣政府,283.0,鎮西里,雲林縣斗六市鎮西里明德路399號,1.0,1736,斗六分局,
雲林縣消防局,284.0,鎮西里,雲林縣斗六市公園路6號,1.0,1834,斗六分局,
中華幼稚園,285.0,鎮西里,雲林縣斗六市鎮西里建成路33號,1.0,294,斗六分局,
廣泉行公司,286.0,鎮西里,雲林縣斗六市鎮西里建成路45至47號,1.0,292,斗六分局,
台大醫院,287.0,鎮西里,雲林縣斗六市鎮西里雲林路2段579號,1.0,116,斗六分局,
新光人壽,288.0,鎮西里,雲林縣斗六市鎮西里雲林路2段243號,1.0,441,斗六分局,
台大雲林分院(新醫療大樓),289.0,鎮西里,雲林縣斗六市鎮西里雲林路2段579號,1.0,7176,斗六分局,
家福股份有限公司,290.0,鎮西里,雲林縣斗六市鎮西里雲林路2段297號,1.0,14133,斗六分局,
公寓,291.0,鎮東里,雲林縣斗六市鎮東里文化路2號,1.0,150,斗六分局,
公寓,292.0,鎮東里,雲林縣斗六市鎮東里民生路238號,1.0,320,斗六分局,
公寓,293.0,鎮東里,雲林縣斗六市民生路240號,1.0,400,斗六分局,
公寓,294.0,鎮東里,雲林縣斗六市鎮東里民生路238號,1.0,330,斗六分局,
公寓,295.0,鎮東里,雲林縣斗六市鎮東里文化路35號,1.0,217,斗六分局,
公寓,296.0,鎮東里,雲林縣斗六市鎮東里文化路73巷20號,1.0,212,斗六分局,
公寓,297.0,鎮東里,雲林縣斗六市鎮東里民生路272號,1.0,1062,斗六分局,
公寓,298.0,鎮東里,雲林縣斗六市鎮東里民生路2846號,1.0,261,斗六分局,
公寓,299.0,鎮東里,雲林縣斗六市鎮東里民生路242號,1.0,873,斗六分局,
公寓,300.0,鎮東里,雲林縣斗六市鎮東里鎮東路10號,1.0,173,斗六分局,
公寓,301.0,鎮東里,雲林縣斗六市鎮東里文化路180號,1.0,3176,斗六分局,
公寓,302.0,鎮東里,雲林縣斗六市鎮東里警民街26號,1.0,265,斗六分局,
斗六市公所,303.0,鎮東里,雲林縣斗六市鎮東里永樂街18號,1.0,3929,斗六分局,
雲林縣總工會,304.0,鎮東里,雲林縣斗六市鎮東里永樂街35號,1.0,129,斗六分局,
鎮東國小,305.0,鎮東里,雲林縣斗六市鎮東里文化路205號,1.0,172,斗六分局,
斗六國中,306.0,鎮東里,雲林縣斗六市鎮東里育英北街69號,1.0,2876,斗六分局,
鎮東國小,307.0,鎮東里,雲林縣斗六市鎮東里文化路205號,1.0,397,斗六分局,
大成中醫,308.0,鎮東里,雲林縣斗六市鎮東里鎮東路117號,1.0,633,斗六分局,
公寓,309.0,鎮南里,雲林縣斗六市鎮南里5鄰中山路194號,1.0,517,斗六分局,
大樓,310.0,鎮南里,雲林縣斗六市鎮南里8鄰永昌西街2號之10,1.0,1918,斗六分局,
公寓,311.0,鎮南里,雲林縣斗六市鎮南里中山路234號,1.0,169,斗六分局,
公寓,312.0,鎮南里,雲林縣斗六市鎮南里7鄰中山路268號之3,1.0,1025,斗六分局,
大樓,313.0,鎮南里,雲林縣斗六市鎮南里7鄰永昌西街1號之5,1.0,560,斗六分局,
公寓,314.0,鎮南里,雲林縣斗六市鎮南里中山路258號,1.0,164,斗六分局,
公寓,315.0,鎮南里,雲林縣斗六市鎮南里7鄰南興街23號,1.0,429,斗六分局,
公寓,316.0,鎮南里,雲林縣斗六市鎮南里4鄰中山路198號,1.0,392,斗六分局,
公寓,317.0,鎮南里,雲林縣斗六市鎮南里13鄰南揚街120號,1.0,550,斗六分局,
公寓,318.0,鎮南里,雲林縣斗六市鎮南里12鄰明德路91號,1.0,576,斗六分局,
公寓,319.0,鎮南里,雲林縣斗六市鎮南里明德路463至481號,1.0,1390,斗六分局,
大樓,320.0,鎮南里,雲林縣斗六市鎮南里文安街59號,1.0,1296,斗六分局,
公寓,321.0,鎮南里,雲林縣斗六市鎮南里14鄰武陵街55-67號,1.0,1510,斗六分局,
公寓,322.0,鎮南里,雲林縣斗六市鎮南里14鄰武陵街49巷423號,1.0,2141,斗六分局,
公寓,323.0,鎮南里,雲林縣斗六市鎮南里14鄰武陵街46號,1.0,2640,斗六分局,
公寓,324.0,鎮南里,雲林縣斗六市鎮南里文安街60-62號,1.0,168,斗六分局,
公寓,325.0,鎮南里,雲林縣斗六市鎮南里明德路549號,1.0,813,斗六分局,
公寓,326.0,鎮南里,雲林縣斗六市鎮南里14鄰武陵街25-33號,1.0,449,斗六分局,
景新鞋業,327.0,饒平村,雲林縣莿桐鄉饒平路16號之3,1.0,333,斗六分局,
歐迪工程公司,328.0,長安里,斗六市長安里長安西路1-6號,1.0,2577,斗六分局,
