類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)"
一般建築,XG1721,店鎮里,高雄市小港區店鎮里下橫路39之6號,"22.560351,120.353868",1.0,18.0,小港分局,,
一般建築,XG1720,店鎮里,高雄市小港區店鎮里下橫路39之7號,"22.560379,120.353898",1.0,18.0,小港分局,,
一般建築,XG1727,店鎮里,高雄市小港區店鎮里下橫路39號,"22.560196,120.353652",1.0,18.0,小港分局,,
一般建築,XG1241,松山里,高雄市小港區松山里14鄰松興路107號,"22.574648,120.372252",1.0,18.0,小港分局,,
一般建築,XG1238,松山里,高雄市小港區松山里14鄰松興路113號,"22.574691,120.371995",1.0,18.0,小港分局,,
一般建築,XG1237,松山里,高雄市小港區松山里14鄰松興路115號,"22.574701,120.371953",1.0,18.0,小港分局,,
一般建築,XG1239,松山里,高雄市小港區松山里鄰14松興路111號,"22.5746449,120.371977667345",1.0,18.0,小港分局,,
一般建築,XG1852,泰山里,高雄市小港區泰山里宏平路68號,"22.572037,120.364178",1.0,18.0,小港分局,,
一般建築,XG2418,泰山里,高雄市小港區泰山里青山街45巷19號,"22.571836,120.362381",1.0,18.0,小港分局,,
一般建築,XG2419,泰山里,高雄市小港區泰山里青山街45巷21號,"22.571819,120.362408",1.0,18.0,小港分局,,
一般建築,XG2421,泰山里,高雄市小港區泰山里青山街45巷25號,"22.571774,120.362458",1.0,18.0,小港分局,,
一般建築,XG2422,泰山里,高雄市小港區泰山里青山街45巷27號,"22.571746,120.362485",1.0,18.0,小港分局,,
一般建築,XG2423,泰山里,高雄市小港區泰山里青山街45巷29號,"22.571719,120.362512",1.0,18.0,小港分局,,
一般建築,XG2424,泰山里,高雄市小港區泰山里青山街45巷31號,"22.571693,120.362542",1.0,18.0,小港分局,,
一般建築,XG1972,港南里,高雄市小港區港南里福利路43號,"22.565576,120.334954",1.0,18.0,小港分局,,
一般建築,XG0817,港興里,高雄市小港區港興里小港路48巷1弄10號,"22.566092,120.344328",1.0,18.0,小港分局,,
一般建築,XG0757,港興里,高雄市小港區港興里小港路48巷1弄17號,"22.565946,120.344291",1.0,18.0,小港分局,,
一般建築,XG0758,港興里,高雄市小港區港興里小港路48巷1弄19號,"22.565944,120.344255",1.0,18.0,小港分局,,
一般建築,XG0978,港興里,高雄市小港區港興里小港路48巷1弄1號,"22.565977,120.344648",1.0,18.0,小港分局,,
一般建築,XG0759,港興里,高雄市小港區港興里小港路48巷1弄21號,"22.565942,120.34422",1.0,18.0,小港分局,,
一般建築,XG1885,鳳林里,高雄市小港區鳳林里2鄰鳳林路132之1號,"22.527688,120.345318",1.0,18.0,小港分局,,
一般建築,XG1884,鳳林里,高雄市小港區鳳林里2鄰鳳林路132之2號,"22.527715,120.345284",1.0,18.0,小港分局,,
一般建築,XG1886,鳳林里,高雄市小港區鳳林里2鄰鳳林路132號,"22.52766,120.34535",1.0,18.0,小港分局,,
一般建築,XG1883,鳳林里,高雄市小港區鳳林里2鄰鳳林路134號,"22.52775,120.345257",1.0,18.0,小港分局,,
一般建築,XG1881,鳳林里,高雄市小港區鳳林里2鄰鳳林路136之1號,"22.527805,120.345196",1.0,18.0,小港分局,,
一般建築,XG1880,鳳林里,高雄市小港區鳳林里2鄰鳳林路136之2號,"22.527832,120.34517",1.0,18.0,小港分局,,
一般建築,XG1882,鳳林里,高雄市小港區鳳林里2鄰鳳林路136號,"22.527778,120.345228",1.0,18.0,小港分局,,
一般建築,XG0913,鳳宮里,高雄市小港區鳳宮里大業北路166號,"22.561311,120.350026",1.0,18.0,小港分局,,
一般建築,XG1274,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之10號,"22.510811,120.361661",1.0,18.0,小港分局,,
一般建築,XG1275,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之11號,"22.510838,120.361633",1.0,18.0,小港分局,,
一般建築,XG1276,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之12號,"22.510864,120.361605",1.0,18.0,小港分局,,
一般建築,XG1277,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之13號,"22.510901,120.36158",1.0,18.0,小港分局,,
一般建築,XG1279,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之1號,"22.510532,120.36194",1.0,18.0,小港分局,,
一般建築,XG1280,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之2號,"22.51056,120.361911",1.0,18.0,小港分局,,
一般建築,XG1281,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之3號,"22.510591,120.361883",1.0,18.0,小港分局,,
一般建築,XG1282,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之4號,"22.510618,120.361856",1.0,18.0,小港分局,,
一般建築,XG1283,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之5號,"22.510645,120.361831",1.0,18.0,小港分局,,
一般建築,XG1284,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之6號,"22.510673,120.361805",1.0,18.0,小港分局,,
一般建築,XG1285,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之7號,"22.510701,120.361778",1.0,18.0,小港分局,,
一般建築,XG1286,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之8號,"22.510731,120.36175",1.0,18.0,小港分局,,
一般建築,XG1287,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之9號,"22.510757,120.361721",1.0,18.0,小港分局,,
一般建築,XG1278,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3號,"22.510503,120.361971",1.0,18.0,小港分局,,
一般建築,XG1575,鳳興里,高雄市小港區鳳興里10鄰鳳西街18之5號,"22.52457,120.34496",1.0,18.0,小港分局,,
一般建築,XG1574,鳳興里,高雄市小港區鳳興里10鄰鳳西街18之6號,"22.524588,120.34492",1.0,18.0,小港分局,,
一般建築,XG1215,鳳興里,高雄市小港區鳳興里11鄰鳳盛街17號,"22.523858,120.347516",1.0,18.0,小港分局,,
一般建築,XG1216,鳳興里,高雄市小港區鳳興里11鄰鳳盛街19號,"22.52384,120.347483",1.0,18.0,小港分局,,
一般建築,XG1217,鳳興里,高雄市小港區鳳興里11鄰鳳盛街21號,"22.523813,120.347457",1.0,18.0,小港分局,,
一般建築,XG2277,濟南里,高雄市小港區濟南里青山街49號,"22.571807,120.361729",1.0,18.0,小港分局,,
一般建築,XG0833,三苓里,高雄市小港區三苓里二苓路252號,"22.565664,120.347639",1.0,19.0,小港分局,,
一般建築,XG1752,三苓里,高雄市小港區三苓里二苓路268號,"22.565643,120.347308",1.0,19.0,小港分局,,
一般建築,XG1751,三苓里,高雄市小港區三苓里二苓路270號,"22.565643,120.347271",1.0,19.0,小港分局,,
一般建築,XG1877,大苓里,高雄市小港區大苓里民益路133巷42弄10號,"22.568735,120.347053",1.0,19.0,小港分局,,
一般建築,XG1878,大苓里,高雄市小港區大苓里民益路133巷42弄11號,"22.5687,120.34705",1.0,19.0,小港分局,,
一般建築,XG1879,大苓里,高雄市小港區大苓里民益路133巷42弄12號,"22.568669,120.347044",1.0,19.0,小港分局,,
一般建築,XG1876,大苓里,高雄市小港區大苓里民益路133巷42弄9號,"22.568766,120.347057",1.0,19.0,小港分局,,
一般建築,XG2052,大苓里,高雄市小港區大苓里沿海一路160巷12號,"22.568085,120.350067",1.0,19.0,小港分局,,
工廠,XG2269,山明里,高雄市小港區山明里1鄰北林路1號,"22.54605,120.377011",1.0,19.0,小港分局,,
一般建築,XG1992,六苓里,高雄市小港區六苓里華盛街76巷39號,"22.567754,120.360626",1.0,19.0,小港分局,,
一般建築,XG1555,六苓里,高雄市小港區六苓里華盛街76巷9號,"22.56758,120.360049",1.0,19.0,小港分局,,
一般建築,XG1943,正苓里,高雄市小港區正苓里永順街152號,"22.569191,120.353375",1.0,19.0,小港分局,,
一般建築,XG1725,店鎮里,高雄市小港區店鎮里下橫路39之2號,"22.560243,120.353729",1.0,19.0,小港分局,,
一般建築,XG1724,店鎮里,高雄市小港區店鎮里下橫路39之3號,"22.560269,120.353765",1.0,19.0,小港分局,,
一般建築,XG1723,店鎮里,高雄市小港區店鎮里下橫路39之4號,"22.560288,120.353801",1.0,19.0,小港分局,,
一般建築,XG1722,店鎮里,高雄市小港區店鎮里下橫路39之5號,"22.560324,120.353837",1.0,19.0,小港分局,,
一般建築,XG1728,店鎮里,高雄市小港區店鎮里下橫路43巷4號,"22.560507,120.353764",1.0,19.0,小港分局,,
一般建築,XG2305,店鎮里,高雄市小港區店鎮里南北路54巷10號,"22.56153,120.355082",1.0,19.0,小港分局,,
一般建築,XG2304,店鎮里,高雄市小港區店鎮里南北路54巷8號,"22.56153,120.355045",1.0,19.0,小港分局,,
一般建築,XG2300,店鎮里,高雄市小港區店鎮里頂橫路2之4號,"22.56189,120.355044",1.0,19.0,小港分局,,
一般建築,XG2301,店鎮里,高雄市小港區店鎮里頂橫路2之5號,"22.561892,120.355082",1.0,19.0,小港分局,,
一般建築,XG1244,松山里,高雄市小港區松山里14鄰松興路95號,"22.574594,120.37248",1.0,19.0,小港分局,,
一般建築,XG2420,泰山里,高雄市小港區泰山里青山街45巷23號,"22.571801,120.362438",1.0,19.0,小港分局,,
一般建築,XG2608,高松里,高雄市小港區高松里19鄰松崗路101號,"22.575354,120.375292",1.0,19.0,小港分局,,
一般建築,XG2609,高松里,高雄市小港區高松里19鄰松崗路103號,"22.575374,120.375325",1.0,19.0,小港分局,,
一般建築,XG2610,高松里,高雄市小港區高松里19鄰松崗路105號,"22.575392,120.375364",1.0,19.0,小港分局,,
一般建築,XG2615,高松里,高雄市小港區高松里19鄰松崗路85巷10弄2號,"22.575624,120.374967",1.0,19.0,小港分局,,
一般建築,XG2616,高松里,高雄市小港區高松里19鄰松崗路85巷10弄3號,"22.575642,120.37501",1.0,19.0,小港分局,,
一般建築,XG2617,高松里,高雄市小港區高松里19鄰松崗路85巷10弄4號,"22.575661,120.375056",1.0,19.0,小港分局,,
一般建築,XG2618,高松里,高雄市小港區高松里19鄰松崗路85巷10弄5號,"22.575689,120.375099",1.0,19.0,小港分局,,
一般建築,XG2559,港后里,高雄市小港區港后里豐登街68號,"22.570402,120.333993",1.0,19.0,小港分局,,
一般建築,XG1785,港明里,高雄市小港區港明里港盛街24號,"22.567678,120.332187",1.0,19.0,小港分局,,
一般建築,XG0859,港墘里,高雄市小港區港墘里平和路140號,"22.566784,120.332542",1.0,19.0,小港分局,,
一般建築,XG0858,港墘里,高雄市小港區港墘里平和路142號,"22.566821,120.332511",1.0,19.0,小港分局,,
一般建築,XG0857,港墘里,高雄市小港區港墘里平和路144號,"22.566856,120.332475",1.0,19.0,小港分局,,
一般建築,XG0775,港墘里,高雄市小港區港墘里達德街89號,"22.567498,120.334642",1.0,19.0,小港分局,,
一般建築,XG2313,港興里,高雄市小港區港興里小港路90巷1弄31號,"22.565797,120.342709",1.0,19.0,小港分局,,
一般建築,XG2314,港興里,高雄市小港區港興里小港路90巷1弄33號,"22.565797,120.342668",1.0,19.0,小港分局,,
一般建築,XG2315,港興里,高雄市小港區港興里小港路90巷1弄35號,"22.565797,120.342625",1.0,19.0,小港分局,,
一般建築,XG2316,港興里,高雄市小港區港興里小港路90巷1弄37號,"22.565788,120.342581",1.0,19.0,小港分局,,
一般建築,XG0962,鳳源里,高雄市小港區鳳源里10鄰鳳北路191巷14弄6號,"22.527823,120.343397",1.0,19.0,小港分局,,
一般建築,XG1218,鳳興里,高雄市小港區鳳興里11鄰鳳盛街23號,"22.523786,120.347421",1.0,19.0,小港分局,,
一般建築,XG1629,鳳興里,高雄市小港區鳳興里3鄰鳳西街7之5號,"22.523395,120.346795",1.0,19.0,小港分局,,
一般建築,XG1064,六苓里,高雄市小港區六苓里華盛街68號,"22.567239,120.359917",1.0,20.0,小港分局,,
一般建築,XG1063,六苓里,高雄市小港區六苓里華盛街70號,"22.567294,120.359938",1.0,20.0,小港分局,,
一般建築,XG1062,六苓里,高雄市小港區六苓里華盛街72號,"22.567329,120.359885",1.0,20.0,小港分局,,
一般建築,XG2132,六苓里,高雄市小港區六苓里華盛街76巷26號,"22.567518,120.360471",1.0,20.0,小港分局,,
一般建築,XG2131,六苓里,高雄市小港區六苓里華盛街76巷28號,"22.56753,120.360502",1.0,20.0,小港分局,,
一般建築,XG2130,六苓里,高雄市小港區六苓里華盛街76巷30號,"22.567542,120.360541",1.0,20.0,小港分局,,
一般建築,XG2601,合作里,高雄市小港區合作里8鄰復華路160號,"22.585115,120.36335",1.0,20.0,小港分局,,
一般建築,XG2600,合作里,高雄市小港區合作里8鄰復華路162號,"22.58516,120.363356",1.0,20.0,小港分局,,
一般建築,XG2599,合作里,高雄市小港區合作里8鄰復華路164號,"22.585189,120.363354",1.0,20.0,小港分局,,
一般建築,XG2598,合作里,高雄市小港區合作里8鄰復華路166號,"22.585225,120.363354",1.0,20.0,小港分局,,
一般建築,XG2597,合作里,高雄市小港區合作里8鄰復華路168號,"22.58527,120.363356",1.0,20.0,小港分局,,
一般建築,XG2596,合作里,高雄市小港區合作里8鄰復華路170號,"22.585305,120.36336",1.0,20.0,小港分局,,
一般建築,XG2595,合作里,高雄市小港區合作里8鄰復華路172號,"22.58536,120.36336",1.0,20.0,小港分局,,
一般建築,XG2578,合作里,高雄市小港區合作里8鄰復華路176號,"22.58554,120.363406",1.0,20.0,小港分局,,
一般建築,XG2579,合作里,高雄市小港區合作里8鄰復華路178號,"22.585567,120.36341",1.0,20.0,小港分局,,
一般建築,XG2580,合作里,高雄市小港區合作里8鄰復華路180號,"22.585604,120.36341",1.0,20.0,小港分局,,
一般建築,XG2582,合作里,高雄市小港區合作里8鄰復華路184號,"22.585677,120.363418",1.0,20.0,小港分局,,
一般建築,XG2583,合作里,高雄市小港區合作里8鄰復華路186號,"22.585712,120.363417",1.0,20.0,小港分局,,
一般建築,XG2584,合作里,高雄市小港區合作里8鄰復華路188號,"22.58574,120.363418",1.0,20.0,小港分局,,
一般建築,XG2585,合作里,高雄市小港區合作里8鄰復華路190號,"22.585785,120.363422",1.0,20.0,小港分局,,
一般建築,XG2586,合作里,高雄市小港區合作里8鄰復華路192號,"22.58582,120.363415",1.0,20.0,小港分局,,
一般建築,XG2587,合作里,高雄市小港區合作里8鄰復華路194號,"22.585857,120.363418",1.0,20.0,小港分局,,
一般建築,XG2588,合作里,高雄市小港區合作里8鄰復華路196號,"22.585892,120.363418",1.0,20.0,小港分局,,
一般建築,XG2589,合作里,高雄市小港區合作里8鄰復華路198號,"22.585929,120.363421",1.0,20.0,小港分局,,
一般建築,XG2590,合作里,高雄市小港區合作里8鄰復華路200號,"22.585965,120.363426",1.0,20.0,小港分局,,
一般建築,XG2591,合作里,高雄市小港區合作里8鄰復華路202號,"22.586002,120.363426",1.0,20.0,小港分局,,
一般建築,XG2592,合作里,高雄市小港區合作里8鄰復華路204號,"22.586037,120.363427",1.0,20.0,小港分局,,
一般建築,XG2593,合作里,高雄市小港區合作里8鄰復華路206號,"22.586074,120.363426",1.0,20.0,小港分局,,
一般建築,XG2594,合作里,高雄市小港區合作里8鄰復華路208號,"22.58611,120.363432",1.0,20.0,小港分局,,
一般建築,XG1243,松山里,高雄市小港區松山里14鄰松興路103號,"22.574629,120.372325",1.0,20.0,小港分局,,
一般建築,XG1242,松山里,高雄市小港區松山里14鄰松興路105號,"22.574639,120.37229",1.0,20.0,小港分局,,
一般建築,XG2468,桂林里,高雄市小港區桂林里18鄰桂華街232號,"22.583434,120.355943",1.0,20.0,小港分局,,
一般建築,XG2467,桂林里,高雄市小港區桂林里18鄰桂華街234號,"22.583434,120.355906",1.0,20.0,小港分局,,
一般建築,XG2466,桂林里,高雄市小港區桂林里18鄰桂華街236號,"22.583434,120.355868",1.0,20.0,小港分局,,
一般建築,XG2465,桂林里,高雄市小港區桂林里18鄰桂華街238號,"22.583434,120.35583",1.0,20.0,小港分局,,
一般建築,XG2464,桂林里,高雄市小港區桂林里18鄰桂華街240號,"22.583434,120.35579",1.0,20.0,小港分局,,
一般建築,XG2463,桂林里,高雄市小港區桂林里18鄰桂華街246號,"22.583432,120.355684",1.0,20.0,小港分局,,
一般建築,XG2462,桂林里,高雄市小港區桂林里18鄰桂華街248號,"22.583432,120.355645",1.0,20.0,小港分局,,
一般建築,XG2461,桂林里,高雄市小港區桂林里18鄰桂華街250號,"22.583432,120.35561",1.0,20.0,小港分局,,
一般建築,XG2460,桂林里,高雄市小港區桂林里18鄰桂華街252號,"22.583432,120.355573",1.0,20.0,小港分局,,
一般建築,XG2459,桂林里,高雄市小港區桂林里18鄰桂華街254號,"22.583432,120.355529",1.0,20.0,小港分局,,
一般建築,XG1820,高松里,高雄市小港區高松里15鄰松南街46號,"22.573965,120.373512",1.0,20.0,小港分局,,
一般建築,XG2619,高松里,高雄市小港區高松里19鄰松崗路77號,"22.575182,120.374785",1.0,20.0,小港分局,,
一般建築,XG2620,高松里,高雄市小港區高松里19鄰松崗路79號,"22.575191,120.374835",1.0,20.0,小港分局,,
一般建築,XG2621,高松里,高雄市小港區高松里19鄰松崗路81號,"22.575199,120.374872",1.0,20.0,小港分局,,
一般建築,XG2622,高松里,高雄市小港區高松里19鄰松崗路83號,"22.575218,120.374909",1.0,20.0,小港分局,,
一般建築,XG2625,高松里,高雄市小港區高松里19鄰松崗路87號,"22.575227,120.375013",1.0,20.0,小港分局,,
一般建築,XG2626,高松里,高雄市小港區高松里19鄰松崗路89號,"22.575254,120.375056",1.0,20.0,小港分局,,
一般建築,XG2627,高松里,高雄市小港區高松里19鄰松崗路91號,"22.575264,120.375092",1.0,20.0,小港分局,,
一般建築,XG2628,高松里,高雄市小港區高松里19鄰松崗路93號,"22.575282,120.375131",1.0,20.0,小港分局,,
一般建築,XG2629,高松里,高雄市小港區高松里19鄰松崗路95號,"22.575301,120.375167",1.0,20.0,小港分局,,
一般建築,XG2630,高松里,高雄市小港區高松里19鄰松崗路97號,"22.575319,120.375203",1.0,20.0,小港分局,,
一般建築,XG1309,港正里,高雄市小港區港正里平和二路44號,"22.560095,120.335267",1.0,20.0,小港分局,,
一般建築,XG1308,港正里,高雄市小港區港正里平和二路46號,"22.560068,120.335237",1.0,20.0,小港分局,,
一般建築,XG1307,港正里,高雄市小港區港正里平和二路48號,"22.56004,120.335207",1.0,20.0,小港分局,,
一般建築,XG1306,港正里,高雄市小港區港正里平和二路50號,"22.560023,120.335177",1.0,20.0,小港分局,,
一般建築,XG2394,港后里,高雄市小港區港后里天順街25號,"22.569282,120.333738",1.0,20.0,小港分局,,
一般建築,XG2395,港后里,高雄市小港區港后里天順街27號,"22.569319,120.333723",1.0,20.0,小港分局,,
一般建築,XG2396,港后里,高雄市小港區港后里天順街29號,"22.569355,120.333709",1.0,20.0,小港分局,,
一般建築,XG2397,港后里,高雄市小港區港后里天順街31號,"22.569382,120.333696",1.0,20.0,小港分局,,
一般建築,XG2398,港后里,高雄市小港區港后里天順街33號,"22.569417,120.33368",1.0,20.0,小港分局,,
一般建築,XG2399,港后里,高雄市小港區港后里天順街35號,"22.569445,120.333668",1.0,20.0,小港分局,,
一般建築,XG2400,港后里,高雄市小港區港后里天順街37號,"22.569481,120.333656",1.0,20.0,小港分局,,
一般建築,XG2401,港后里,高雄市小港區港后里天順街39號,"22.569517,120.333641",1.0,20.0,小港分局,,
一般建築,XG2402,港后里,高雄市小港區港后里天順街41號,"22.569552,120.333627",1.0,20.0,小港分局,,
一般建築,XG2403,港后里,高雄市小港區港后里天順街43號,"22.569589,120.333614",1.0,20.0,小港分局,,
一般建築,XG1273,港明里,高雄市小港區港明里港壽街14號,"22.568152,120.333342",1.0,20.0,小港分局,,
一般建築,XG1272,港明里,高雄市小港區港明里港壽街16號,"22.568197,120.333322",1.0,20.0,小港分局,,
一般建築,XG1271,港明里,高雄市小港區港明里港壽街18號,"22.568232,120.333309",1.0,20.0,小港分局,,
一般建築,XG1270,港明里,高雄市小港區港明里港壽街20號,"22.568277,120.333294",1.0,20.0,小港分局,,
一般建築,XG1049,港興里,高雄市小港區港興里福隆街110號,"22.567246,120.34177",1.0,20.0,小港分局,,
一般建築,XG2725,順苓里,高雄市小港區順苓里漢民路337號,"22.567098,120.355224",1.0,20.0,小港分局,,
一般建築,XG2286,廈莊里,高雄市小港區廈莊里2鄰新昌街17之5號,"22.583936,120.362151",1.0,20.0,小港分局,,
一般建築,XG2285,廈莊里,高雄市小港區廈莊里2鄰新昌街17之6號,"22.583991,120.362151",1.0,20.0,小港分局,,
一般建築,XG0999,鳳興里,高雄市小港區鳳興里5鄰鳳西街11之2號,"22.523672,120.34623",1.0,20.0,小港分局,,
一般建築,XG1002,鳳興里,高雄市小港區鳳興里5鄰鳳西街11之5號,"22.523726,120.346125",1.0,20.0,小港分局,,
一般建築,XG0959,濟南里,高雄市小港區濟南里廠邊二路55號,"22.571797,120.356836",1.0,20.0,小港分局,,
一般建築,XG0834,三苓里,高雄市小港區三苓里二苓路250號,"22.565664,120.34768",1.0,21.0,小港分局,,
一般建築,XG1484,三苓里,高雄市小港區三苓里義興街118號,"22.567014,120.351125",1.0,21.0,小港分局,,
一般建築,XG1264,大苓里,高雄市小港區大苓里民益路133巷42弄3號,"22.569075,120.347104",1.0,21.0,小港分局,,
一般建築,XG1803,大苓里,高雄市小港區大苓里沿海一路68號,"22.569019,120.34956",1.0,21.0,小港分局,,
一般建築,XG1802,大苓里,高雄市小港區大苓里沿海一路70號,"22.568987,120.349583",1.0,21.0,小港分局,,
一般建築,XG1800,大苓里,高雄市小港區大苓里沿海一路74號,"22.568933,120.349637",1.0,21.0,小港分局,,
一般建築,XG1799,大苓里,高雄市小港區大苓里沿海一路76號,"22.568899,120.349658",1.0,21.0,小港分局,,
一般建築,XG1798,大苓里,高雄市小港區大苓里沿海一路78號,"22.568868,120.349676",1.0,21.0,小港分局,,
一般建築,XG1797,大苓里,高雄市小港區大苓里沿海一路80號,"22.568805,120.349664",1.0,21.0,小港分局,,
一般建築,XG1263,山東里,高雄市小港區山東里民義街37號,"22.570388,120.350072",1.0,21.0,小港分局,,
一般建築,XG2129,六苓里,高雄市小港區六苓里華盛街76巷32號,"22.567554,120.360575",1.0,21.0,小港分局,,
一般建築,XG2128,六苓里,高雄市小港區六苓里華盛街76巷34號,"22.567564,120.360612",1.0,21.0,小港分局,,
一般建築,XG1991,六苓里,高雄市小港區六苓里華盛街76巷41號,"22.567769,120.360663",1.0,21.0,小港分局,,
一般建築,XG1990,六苓里,高雄市小港區六苓里華盛街76巷45號,"22.567793,120.360737",1.0,21.0,小港分局,,
一般建築,XG1801,正苓里,高雄市小港區正苓里沿海一路72號,"22.568956,120.349609",1.0,21.0,小港分局,,
一般建築,XG1692,正苓里,高雄市小港區正苓里金府路21巷12號,"22.565781,120.354328",1.0,21.0,小港分局,,
一般建築,XG1691,正苓里,高雄市小港區正苓里金府路21巷20號,"22.565788,120.354155",1.0,21.0,小港分局,,
一般建築,XG1690,正苓里,高雄市小港區正苓里金府路21巷22號,"22.56578,120.354122",1.0,21.0,小港分局,,
一般建築,XG2528,正苓里,高雄市小港區正苓里崇文路91號,"22.56893,120.351727",1.0,21.0,小港分局,,
一般建築,XG2581,合作里,高雄市小港區合作里8鄰復華路182號,"22.58564,120.363414",1.0,21.0,小港分局,,
一般建築,XG1818,宏亮里,高雄市小港區宏亮里大鵬路152號,"22.569275,120.358588",1.0,21.0,小港分局,,
一般建築,XG2478,桂林里,高雄市小港區桂林里18鄰桂誠街131號,"22.583696,120.355948",1.0,21.0,小港分局,,
一般建築,XG2469,桂林里,高雄市小港區桂林里18鄰桂誠街151號,"22.583713,120.355538",1.0,21.0,小港分局,,
一般建築,XG2624,高松里,高雄市小港區高松里19鄰松崗路85巷3號,"22.575372,120.374799",1.0,21.0,小港分局,,
一般建築,XG1611,港口里,高雄市小港區港口里22鄰平和路35號,"22.563983,120.334225",1.0,21.0,小港分局,,
一般建築,XG1610,港口里,高雄市小港區港口里22鄰平和路37號,"22.56401,120.334203",1.0,21.0,小港分局,,
一般建築,XG1609,港口里,高雄市小港區港口里22鄰平和路39號,"22.564036,120.334182",1.0,21.0,小港分局,,
一般建築,XG1608,港口里,高雄市小港區港口里22鄰平和路41號,"22.564073,120.334163",1.0,21.0,小港分局,,
一般建築,XG1607,港口里,高雄市小港區港口里22鄰平和路43號,"22.5641,120.334143",1.0,21.0,小港分局,,
一般建築,XG1605,港口里,高雄市小港區港口里22鄰平和路45之1號,"22.564163,120.334103",1.0,21.0,小港分局,,
一般建築,XG1604,港口里,高雄市小港區港口里22鄰平和路45之2號,"22.56419,120.334082",1.0,21.0,小港分局,,
一般建築,XG1606,港口里,高雄市小港區港口里22鄰平和路45號,"22.564129,120.334126",1.0,21.0,小港分局,,
一般建築,XG1310,港正里,高雄市小港區港正里平和二路42號,"22.560113,120.335302",1.0,21.0,小港分局,,
一般建築,XG1305,港正里,高雄市小港區港正里平和二路52號,"22.559995,120.33514",1.0,21.0,小港分局,,
一般建築,XG1304,港正里,高雄市小港區港正里平和二路56號,"22.55994,120.33507",1.0,21.0,小港分局,,
一般建築,XG1303,港正里,高雄市小港區港正里平和二路58號,"22.559913,120.335036",1.0,21.0,小港分局,,
一般建築,XG1302,港正里,高雄市小港區港正里平和二路60號,"22.559895,120.335004",1.0,21.0,小港分局,,
一般建築,XG1301,港正里,高雄市小港區港正里平和二路62號,"22.559868,120.334973",1.0,21.0,小港分局,,
一般建築,XG1300,港正里,高雄市小港區港正里平和二路64號,"22.55985,120.334937",1.0,21.0,小港分局,,
一般建築,XG2503,港明里,高雄市小港區港明里港興街34號,"22.568988,120.332652",1.0,21.0,小港分局,,
一般建築,XG2502,港明里,高雄市小港區港明里港興街36號,"22.568971,120.332618",1.0,21.0,小港分局,,
一般建築,XG0856,港墘里,高雄市小港區港墘里平和路146號,"22.566893,120.332444",1.0,21.0,小港分局,,
一般建築,XG2513,港興里,高雄市小港區港興里小港路48巷1弄9號,"22.565961,120.344455",1.0,21.0,小港分局,,
一般建築,XG1141,港興里,高雄市小港區港興里小港路90巷1弄32號,"22.565932,120.342661",1.0,21.0,小港分局,,
一般建築,XG1200,順苓里,高雄市小港區順苓里樂利路85巷4號,"22.569364,120.356789",1.0,21.0,小港分局,,
一般建築,XG1199,順苓里,高雄市小港區順苓里樂利路85巷5號,"22.569362,120.356748",1.0,21.0,小港分局,,
一般建築,XG1202,順苓里,高雄市小港區順苓里樂利路85巷6號,"22.569362,120.356709",1.0,21.0,小港分局,,
一般建築,XG1201,順苓里,高雄市小港區順苓里樂利路85巷7號,"22.569362,120.356669",1.0,21.0,小港分局,,
一般建築,XG1036,順苓里,高雄市小港區順苓里龍華街66號,"22.568867,120.356142",1.0,21.0,小港分局,,
一般建築,XG1035,順苓里,高雄市小港區順苓里龍華街70號,"22.568949,120.35614",1.0,21.0,小港分局,,
一般建築,XG0821,廈莊里,高雄市小港區廈莊里2鄰新昌街13號,"22.583558,120.362151",1.0,21.0,小港分局,,
一般建築,XG0822,廈莊里,高雄市小港區廈莊里2鄰新昌路13之1號,"22.583603,120.362149",1.0,21.0,小港分局,,
一般建築,XG0818,鳳宮里,高雄市小港區鳳宮里大業北路162號,"22.561257,120.350081",1.0,21.0,小港分局,,
一般建築,XG1417,鳳源里,高雄市小港區鳳源里13鄰鳳林路166巷15號,"22.527052,120.342181",1.0,21.0,小港分局,,
一般建築,XG1207,鳳興里,高雄市小港區鳳興里11鄰鳳華路56巷2之1號,"22.523886,120.347886",1.0,21.0,小港分局,,
一般建築,XG1208,鳳興里,高雄市小港區鳳興里11鄰鳳華路56巷2之2號,"22.523923,120.347855",1.0,21.0,小港分局,,
一般建築,XG1209,鳳興里,高雄市小港區鳳興里11鄰鳳華路56巷2之3號,"22.523959,120.347828",1.0,21.0,小港分局,,
