電腦編號,里別,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註
EQA00323,清華里,桃園市新屋區清華里8鄰中山東路一段428號,"24.971505 ","121.123223 ",B01,952.0,楊梅分局,B
EQA00325,中山里,桃園市楊梅區中山北路一段74巷19號,"24.908301 ","121.150640 ",B01,1100.0,楊梅分局,C
EQA00326,秀才里,桃園市楊梅區秀才里秀才路851號,"24.887942 ","121.134556 ",B01,2152.0,楊梅分局,B
EQA00327,梅溪里,桃園市楊梅區梅溪里6鄰梅獅路二段232巷33號,"24.905250 ","121.176572 ",B01,588.0,楊梅分局,C
EQA00328,青山里,桃園市楊梅區獅一路7號,"24.923301 ","121.175052 ",B01,4121.0,楊梅分局,B
EQA00329,高上里,桃園市楊梅區高獅路863巷8弄9號,"24.926690 ","121.167232 ",B01,51.0,楊梅分局,B
EQA00330,九斗里,桃園市新屋區九斗里8鄰中山東路二段130巷12號,"24.969345 ","121.134902 ",B01,1096.0,楊梅分局,B
EQA00332,豐野里,桃園市楊梅區豐野里19鄰中正路147號,"24.937471 ","121.080335 ",B01,181.0,楊梅分局,B
EQA00333,高榮里,桃園市楊梅區梅獅路539巷3號,"24.924599 ","121.185498 ",B01,164.0,楊梅分局,B
EQA00334,新屋里,桃園市新屋區新屋里14中興路111號,"24.970070 ","121.102156 ",B01,2225.0,楊梅分局,B
EQA00335,三湖里,桃園市楊梅區三湖里1鄰楊湖路一段752號,"24.912919 ","121.124115 ",B01,161.0,楊梅分局,B
EQA00337,望間里,桃園市新屋區望間里10鄰十五間45號,"24.940742 ","121.064498 ",B01,390.0,楊梅分局,B
EQA00338,光華里,桃園市楊梅區光華里12鄰中興路88號,"24.917170 ","121.184706 ",B01,4579.0,楊梅分局,B
EQA00339,高上里,桃園市楊梅區幼四路5號,"24.927861 ","121.170657 ",B01,505.0,楊梅分局,B
EQA00340,瑞原里,桃園市楊梅區瑞原里11鄰民富路一段796巷22弄19號,"24.923813 ","121.120654 ",B01,518.0,楊梅分局,B
EQA00341,高上里,桃園市楊梅區高青路28巷1號之1,"24.929110 ","121.161644 ",B01,875.0,楊梅分局,B
EQA00342,梅溪里,桃園市楊梅區梅溪里5鄰梅獅路二段154號,"24.907009 ","121.176494 ",B01,4579.0,楊梅分局,C
EQA00343,永寧里,桃園市楊梅區永寧里環南路75巷1弄19號,"24.901883 ","121.148454 ",B01,1494.0,楊梅分局,C
EQA00344,中山里,桃園市楊梅區中山里行善路80號,"24.904866 ","121.152247 ",B01,626.0,楊梅分局,B
EQA00345,中山里,桃園市楊梅區中山里行善路80號,"24.904238 ","121.152640 ",B01,1708.0,楊梅分局,B
EQA00346,楊明里,桃園市楊梅區楊明里新農街592號,"24.912803 ","121.161721 ",B01,1068.0,楊梅分局,C
EQA00347,瑞溪里,桃園市楊梅區瑞溪里3鄰梅獅路二段232巷1號,"24.905469 ","121.176891 ",B01,2006.0,楊梅分局,C
EQA00348,水美里,桃園市楊梅區水美里新梅五街61號,"24.918235 ","121.144217 ",B01,433.0,楊梅分局,C
EQA00349,中山里,桃園市楊梅區中山里中山北路一段356號,"24.908874 ","121.157109 ",B01,2543.0,楊梅分局,B
EQA00352,中山里,桃園市楊梅區中山里行善路120號,"24.903279 ","121.153305 ",B01,123.0,楊梅分局,B
EQA00353,新屋里,桃園市新屋區新屋里中華路242號,"24.972235 ","121.108039 ",B01,572.0,楊梅分局,B
EQA00354,四維里,桃園市楊梅區四維里文化街330號,"24.909287 ","121.182321 ",B01,1179.0,楊梅分局,C
EQA00355,紅梅里,桃園市楊梅區紅梅里校前路149號,"24.904072 ","121.147598 ",B01,325.0,楊梅分局,B
EQA00356,三民里,桃園市楊梅區三民里三民路45號,"24.907004 ","121.170392 ",B01,1897.0,楊梅分局,C
EQA00357,瑞坪里,桃園市楊梅區瑞坪里文化街535號,"24.907152 ","121.180938 ",B01,585.0,楊梅分局,B
EQA00358,瑞溪里,桃園市楊梅區瑞溪里4鄰梅獅路二段168號,"24.906495 ","121.176775 ",B01,2438.0,楊梅分局,C
EQA00360,清華里,桃園市新屋區清華里中華路810-1號,"24.984017 ","121.106408 ",B01,240.0,楊梅分局,B
EQA00361,青山里,桃園市楊梅區青山一街39號,"24.922457 ","121.177088 ",B01,3736.0,楊梅分局,C
EQA00362,永寧里,桃園市楊梅區永寧里東森路5號,"24.888088 ","121.161230 ",B01,347.0,楊梅分局,B
EQA00363,永寧里,桃園市楊梅區永寧里東森路52號,"24.886836 ","121.162128 ",B01,756.0,楊梅分局,B
EQA00364,永寧里,桃園市楊梅區永寧里東森路18號,"24.887541 ","121.161463 ",B01,1315.0,楊梅分局,B
EQA00366,清華里,桃園市新屋區清華里中華路810-1號,"24.984469 ","121.106769 ",B01,8334.0,楊梅分局,B
EQA00367,瑞坪里,桃園市楊梅區瑞坪里福羚路232巷41弄1號,"24.906616 ","121.183164 ",B01,1506.0,楊梅分局,C
EQA00368,秀才里,桃園市楊梅區秀才里秀才路618號,"24.892386 ","121.134570 ",B01,1972.0,楊梅分局,B
EQA00369,金溪里,桃園市楊梅區金溪里金溪路205號,"24.902786 ","121.172415 ",B01,3371.0,楊梅分局,C
EQA00370,四維里,桃園市楊梅區四維里四維路169號,"24.911757 ","121.182493 ",B01,1702.0,楊梅分局,C
EQA00371,埔心里,桃園市楊梅區埔心里永美路208-1號,"24.919460 ","121.183661 ",B01,52.0,楊梅分局,B
EQA00372,永寧里,桃園市楊梅區永寧里東森路53巷2號,"24.887775 ","121.162886 ",B01,547.0,楊梅分局,B
EQA00373,楊梅里,桃園市楊梅區楊梅里新梅六街46號,"24.915243 ","121.146284 ",B01,1028.0,楊梅分局,C
EQA00375,埔心里,桃園市楊梅區埔心里中興路133號,"24.916884 ","121.185515 ",B01,620.0,楊梅分局,B
EQA00376,金溪里,桃園市楊梅區金溪里長青五街1號,"24.884820 ","121.171092 ",B01,278.0,楊梅分局,C
EQA00377,楊梅里,桃園市楊梅區楊梅里大平街106號,"24.911019 ","121.145022 ",B01,824.0,楊梅分局,C
EQA00378,永安里,桃園市新屋區永安里永福路686號,"24.986182 ","121.032195 ",B01,1175.0,楊梅分局,B
EQA00379,高上里,桃園市楊梅區高上里高獅路813巷2號,"24.924503 ","121.165894 ",B01,1140.0,楊梅分局,B
EQA00380,瑞坪里,桃園市楊梅區瑞坪里文化街535號,"24.906576 ","121.181178 ",B01,192.0,楊梅分局,B
EQA00381,大同里,桃園市楊梅區大同里楊新北路2巷45號,"24.910816 ","121.148739 ",B01,121.0,楊梅分局,B
EQA00382,永寧里,桃園市楊梅區永寧里環南路80巷1號,"24.902052 ","121.147913 ",B01,1500.0,楊梅分局,C
EQA00383,瑞坪里,桃園市楊梅區瑞坪里文化街535號,"24.906896 ","121.180327 ",B01,132.0,楊梅分局,B
EQA00386,梅溪里,桃園市楊梅區梅溪里22鄰新農街二段110巷2號,"24.912691 ","121.168996 ",B01,3347.0,楊梅分局,C
EQA00387,員本里,桃園市楊梅區員本里民富路三段142巷26號,"24.930578 ","121.102962 ",B01,781.0,楊梅分局,C
EQA00388,楊明里,桃園市楊梅區楊明里新農街412號,"24.912248 ","121.157993 ",B01,440.0,楊梅分局,C
EQA00389,瑞溪里,桃園市楊梅區瑞溪里梅獅路二段232巷20號,"24.905523 ","121.175944 ",B01,3134.0,楊梅分局,C
EQA00390,楊明里,桃園市楊梅區楊明里新農街660號,"24.912953 ","121.163938 ",B01,919.0,楊梅分局,C
EQA00391,梅溪里,桃園市楊梅區梅溪里7鄰三民北路163巷18號,"24.912272 ","121.168652 ",B01,941.0,楊梅分局,C
EQA00392,頭洲里,桃園市新屋區頭洲里高洲六街61號,"24.960893 ","121.158880 ",B01,1540.0,楊梅分局,C
EQA00393,社子里,桃園市新屋區社子里社子路92巷92弄35號,"24.960905 ","121.091511 ",B01,1205.0,楊梅分局,B
EQA00394,高上里,桃園市楊梅區高上里高獅路863巷1號,"24.924877 ","121.167012 ",B01,1267.0,楊梅分局,B
EQA00395,豐野里,桃園市楊梅區豐野里豐興街23巷7號,"24.935507 ","121.086264 ",B01,470.0,楊梅分局,C
EQA00396,瑞塘里,桃園市楊梅區瑞塘里萬大路165號,"24.909189 ","121.179094 ",B01,1087.0,楊梅分局,C
EQA00397,楊明里,桃園市楊梅區楊明里金山街318號,"24.911816 ","121.162428 ",B01,2108.0,楊梅分局,C
EQA00398,雙榮里,桃園市楊梅區雙榮里民族路五段147巷43號,"24.955629 ","121.173639 ",B01,1661.0,楊梅分局,C
EQA00399,大同里,桃園市楊梅區大同里楊新北路188巷30號,"24.911764 ","121.153072 ",B02,853.0,楊梅分局,C
EQA00400,大平里,桃園市楊梅區大平里中山南路448號,"24.905698 ","121.131121 ",B01,322.0,楊梅分局,C
EQA00401,楊明里,楊梅區楊明里金山街275巷1號,"24.911410 ","121.161665 ",B03,3981.0,楊梅分局,C
EQA00402,紅梅里,桃園市楊梅區紅梅里校前路149號,"24.904483 ","121.147961 ",B01,902.0,楊梅分局,B
EQA00404,富豐里,桃園市楊梅區富豐里富全街1號,"24.933776 ","121.066418 ",B01,204.0,楊梅分局,A
EQA00405,上湖里,桃園市楊梅區上湖里富民街143巷25號,"24.915279 ","121.068502 ",B01,440.0,楊梅分局,C
EQA00406,中山里,桃園市楊梅區中山里環東路298巷86號,"24.905725 ","121.158730 ",B01,590.0,楊梅分局,B
EQA00407,大同里,桃園市楊梅區大同里楊新北路321巷30號,"24.916777 ","121.155715 ",B01,322.0,楊梅分局,B
EQA00408,新榮里,桃園市楊梅區新榮里快速路五段858號,"24.951944 ","121.162076 ",B01,1662.0,楊梅分局,B
EQA00409,高榮里,桃園市楊梅區高榮里電研路190巷500號,"24.945770 ","121.173556 ",B01,3181.0,楊梅分局,B
EQA00410,瑞塘里,桃園市楊梅區瑞塘里萬大路152巷15號,"24.909117 ","121.178269 ",B01,2330.0,楊梅分局,C
EQA00411,瑞塘里,桃園市楊梅區瑞塘里瑞福街48號,"24.910940 ","121.178906 ",B01,1613.0,楊梅分局,C
EQA00412,瑞塘里,桃園市楊梅區瑞塘里瑞梅街220巷1號2樓,"24.909227 ","121.176106 ",B01,816.0,楊梅分局,C
EQA00413,楊江里,桃園市楊梅區楊江里金華街22號,"24.909162 ","121.143500 ",B01,260.0,楊梅分局,C
EQA00414,瑞溪里,桃園市楊梅區瑞溪里梅獅路二段46號6樓,"24.909415 ","121.174848 ",B01,5467.0,楊梅分局,C
EQA00415,中山里,桃園市楊梅區中山里環東路298巷198號,"24.905978 ","121.158580 ",B01,3252.0,楊梅分局,B
EQA00416,四維里,桃園市楊梅區四維里永美路371巷26號15樓,"24.916143 ","121.181025 ",B01,4000.0,楊梅分局,C
EQA00417,楊明里,桃園市楊梅區楊明里金山街275巷10號10樓,"24.911752 ","121.161504 ",B01,4395.0,楊梅分局,C
EQA00418,楊明里,桃園市楊梅區楊明里新農街379巷13弄3號,"24.912620 ","121.156694 ",B01,1321.0,楊梅分局,C
EQA00419,青山里,桃園市楊梅區青山一街205巷2號,"24.921112 ","121.173116 ",B01,1151.0,楊梅分局,C
EQA00420,瑞塘里,桃園市楊梅區瑞塘里福羚路137號,"24.908835 ","121.179409 ",B01,3170.0,楊梅分局,C
EQA00421,楊梅里,桃園市楊梅區楊梅里金德路20號14樓,"24.915182 ","121.146157 ",B01,1847.0,楊梅分局,C
EQA00422,楊梅里,桃園市楊梅區楊梅里光復北街10號,"24.911883 ","121.146322 ",B01,901.0,楊梅分局,C
EQA00423,中山里,桃園市楊梅區中山里中山北路一段199巷82號,"24.905984 ","121.154759 ",B01,5970.0,楊梅分局,C
EQA00424,永寧里,桃園市楊梅區永寧里校前路254巷51號,"24.901301 ","121.148874 ",B01,1771.0,楊梅分局,C
EQA00425,永寧里,桃園市楊梅區永寧里校前路276巷6號2樓,"24.901335 ","121.150163 ",B01,296.0,楊梅分局,C
EQA00426,瑞塘里,桃園市楊梅區瑞塘里福羚路92巷1號2樓,"24.908986 ","121.176458 ",B01,1863.0,楊梅分局,C
EQA00427,梅溪里,桃園市楊梅區梅溪里5鄰三民北路96號,"24.910656 ","121.170235 ",B01,826.0,楊梅分局,C
EQA00428,楊明里,桃園市楊梅區楊明里金山街368巷36號11樓,"24.912267 ","121.163230 ",B01,7787.0,楊梅分局,C
EQA00429,梅溪里,桃園市楊梅區梅溪里19鄰三元街99號,"24.910459 ","121.171245 ",B01,1037.0,楊梅分局,B
EQA00430,高上里,桃園市楊梅區高上里高青路42-2號,"24.927557 ","121.160496 ",B01,581.0,楊梅分局,C
EQA00432,豐野里,桃園市楊梅區豐野里豐興街78號,"24.936339 ","121.086513 ",B01,479.0,楊梅分局,C
EQA00433,富岡里,桃園市楊梅區富岡里中華街66巷45號,"24.934753 ","121.081244 ",B01,832.0,楊梅分局,B
EQA00434,石磊里,桃園市新屋區石磊里華興路67巷17號2樓,"24.991039 ","121.099637 ",B01,951.0,楊梅分局,C
EQA00435,社子里,桃園市新屋區社子里社福路235號,"24.956855 ","121.081696 ",B01,87.0,楊梅分局,B
EQA00437,楊江里,桃園市楊梅區楊江里光華街1號,"24.908576 ","121.146388 ",B01,1247.0,楊梅分局,C
EQA00438,東流里,桃園市楊梅區東流里中山南路616號12樓,"24.904038 ","121.126946 ",B01,1463.0,楊梅分局,C
EQA00439,青山里,桃園市楊梅區青山里獅五路1號,"24.925091 ","121.173592 ",B01,854.0,楊梅分局,B
EQA00440,青山里,桃園市楊梅區青山里青山一街155號,"24.921334 ","121.173448 ",B01,5026.0,楊梅分局,C
EQA00441,青山里,桃園市楊梅區青山里獅五路3號,"24.925904 ","121.172980 ",B01,953.0,楊梅分局,B
EQA00442,金溪里,桃園市楊梅區金溪里瑞坪路276巷18號,"24.898506 ","121.175877 ",B01,5307.0,楊梅分局,C
EQA00443,梅溪里,桃園市楊梅區梅溪里21鄰新農街二段192號,"24.912065 ","121.171472 ",B01,5256.0,楊梅分局,C
EQA00444,頭洲里,桃園市新屋區頭洲里高洲一街37號,"24.961391 ","121.160571 ",B01,1029.0,楊梅分局,B
EQA00445,石磊里,桃園市新屋區石磊里中華路885巷19號,"24.985517 ","121.104698 ",B01,309.0,楊梅分局,C
EQA00446,青山里,桃園市楊梅區青山里青山一街111-1號,"24.921717 ","121.174954 ",B01,3617.0,楊梅分局,C
EQA00447,瑞塘里,桃園市楊梅區瑞塘里梅獅路二段89號,"24.908859 ","121.175730 ",B01,1916.0,楊梅分局,C
EQA00448,永寧里,桃園市楊梅區永寧里大北坑街一段215號,"24.873386 ","121.172103 ",B01,1218.0,楊梅分局,B
EQA00449,豐野里,桃園市楊梅區豐野里豐興街82號,"24.936454 ","121.086374 ",B01,346.0,楊梅分局,C
EQA00450,高上里,桃園市楊梅區高上里青年路5號,"24.926135 ","121.169854 ",B01,817.0,楊梅分局,B
EQA00452,中山里,桃園市楊梅區中山里中山北路一段199巷15號,"24.906776 ","121.154281 ",B01,9464.0,楊梅分局,C
EQA00454,大同里,桃園市楊梅區大同里楊新北路265號5樓之3,"24.913119 ","121.153043 ",B01,10474.0,楊梅分局,C
EQA00455,楊明里,桃園市楊梅區楊明里中山北路一段369號,"24.908486 ","121.158392 ",B01,242.0,楊梅分局,C
EQA00456,清華里,桃園市新屋區清華里中華路768號,"24.983650 ","121.106532 ",B01,1018.0,楊梅分局,B
EQA00457,楊梅里,桃園市楊梅區楊梅里大成路165號,"24.911954 ","121.145564 ",B01,112.0,楊梅分局,C
EQA00458,四維里,桃園市楊梅區四維里永美路387巷17號,"24.915302 ","121.180367 ",B01,6472.0,楊梅分局,C
EQA00459,清華里,桃園市新屋區清華里新文路1088巷150弄106號,"24.982307 ","121.123984 ",B01,712.0,楊梅分局,C
EQA00460,瑞塘里,桃園市楊梅區瑞塘里四維二路76號,"24.913130 ","121.179637 ",B01,3813.0,楊梅分局,C
EQA00462,豐野里,桃園市楊梅區豐野里19鄰中正路147號,"24.937472 ","121.080803 ",B01,548.0,楊梅分局,B
EQA00479,上田里,桃園市楊梅區上田里和平路236巷8號,"24.940644 ","121.129543 ",B01,118.0,楊梅分局,B
EQA00480,瑞坪里,桃園市楊梅區瑞坪里18鄰梅獅路二段251號,"24.905621 ","121.178692 ",B01,2290.0,楊梅分局,C
EQA00481,永平里,桃園市楊梅區永平里3鄰永平路235號,"24.920789 ","121.180158 ",B01,866.0,楊梅分局,B
EQA00482,永寧里,桃園市楊梅區永寧里25鄰環南路216號,"24.902476 ","121.144833 ",B01,1426.0,楊梅分局,C
EQA00483,永平里,桃園市楊梅區永平里3鄰永平路232號,"24.921353 ","121.180292 ",B01,1129.0,楊梅分局,C
EQA00484,仁美里,桃園市楊梅區仁美里2鄰永平路101號,"24.921074 ","121.182512 ",B01,817.0,楊梅分局,B
EQA00485,永平里,桃園市楊梅區永平里10鄰梅獅路一段426巷68號,"24.916041 ","121.171743 ",B01,1811.0,楊梅分局,B
EQA00486,梅溪里,桃園市楊梅區梅溪里20鄰中山北路二段220號,"24.909780 ","121.172203 ",B01,372.0,楊梅分局,C
EQA00488,瑞坪里,桃園市楊梅區瑞坪里35鄰瑞溪路二段126號,"24.908707 ","121.181174 ",B01,853.0,楊梅分局,C
EQA00489,楊梅里,桃園市楊梅區楊梅里26鄰楊新路41號,"24.913078 ","121.146731 ",B01,160.0,楊梅分局,C
EQA00490,中山里,桃園市楊梅區中山里4鄰環東路298巷8號,"24.906808 ","121.158088 ",B01,636.0,楊梅分局,B
EQA00491,上田里,桃園市楊梅區上田里6鄰和平路236巷31弄28號,"24.941428 ","121.127288 ",B01,1029.0,楊梅分局,C
EQA00492,金龍里,桃園市楊梅區金龍里14鄰金龍一路2號,"24.911778 ","121.186361 ",B01,2428.0,楊梅分局,C
EQA00493,石磊里,桃園市新屋區石磊里1鄰中華路835巷30號,"24.984771 ","121.104953 ",B01,1482.0,楊梅分局,C
EQA00494,永平里,桃園市楊梅區永平里9鄰新農街二段239巷2號,"24.912716 ","121.172706 ",B01,506.0,楊梅分局,C
EQA00495,中山里,桃園市楊梅區中山里5鄰中山北路一段80號,"24.907935 ","121.151514 ",B01,161.0,楊梅分局,C
EQA00496,頭湖里,桃園市楊梅區頭湖里12鄰泰圳路389號,"24.903826 ","121.108789 ",B01,2719.0,楊梅分局,C
EQA00497,中山里,桃園市楊梅區中山里4鄰環東路298巷196號,"24.906763 ","121.159488 ",B01,4024.0,楊梅分局,B
EQA00498,高榮里,桃園市楊梅區高榮里5鄰電研路68號,"24.952184 ","121.166710 ",B01,166.0,楊梅分局,B
EQA00499,社子里,桃園市新屋區社子里1鄰社子路92巷92弄30號,"24.960772 ","121.091050 ",B01,624.0,楊梅分局,C
EQA00500,仁美里,桃園市楊梅區仁美里21鄰幼獅路20號,"24.922456 ","121.182584 ",B01,321.0,楊梅分局,C
EQA00501,中山里,桃園市楊梅區中山里17鄰中山北路一段126號四樓,"24.908086 ","121.152467 ",B01,2401.0,楊梅分局,C
EQA00502,楊梅里,桃園市楊梅區楊梅里2鄰楊新路151號,"24.913361 ","121.143531 ",B01,985.0,楊梅分局,C
EQA00503,高上里,桃園市楊梅區高上里8鄰高獅路566之8號,"24.921967 ","121.160134 ",B01,601.0,楊梅分局,B
EQA00504,大同里,桃園市楊梅區大同里12鄰自立街65巷7號十一樓,"24.911757 ","121.150565 ",B01,1325.0,楊梅分局,C
EQA00505,紅梅里,桃園市楊梅區紅梅里15鄰秀才路104巷21號六樓,"24.904611 ","121.141784 ",B01,1467.0,楊梅分局,C
EQA00506,中山里,桃園市楊梅區中山里4鄰環東路298巷98號,"24.905423 ","121.158999 ",B01,654.0,楊梅分局,B
EQA00507,永平里,桃園市楊梅區永平里10鄰梅獅路一段426巷11號,"24.915121 ","121.173715 ",B01,442.0,楊梅分局,B
EQA00508,青山里,桃園市楊梅區青山里2鄰獅二路12號3樓,"24.924532 ","121.172625 ",B01,677.0,楊梅分局,B
EQA00509,永平里,桃園市楊梅區永平里10鄰梅獅路一段426巷91號,"24.915562 ","121.170501 ",B01,1390.0,楊梅分局,B
EQA00510,金龍里,桃園市楊梅區金龍里10鄰金龍二路1-1號,"24.914371 ","121.185314 ",B01,2388.0,楊梅分局,B
EQA00511,員本里,桃園市楊梅區員本里21鄰新富九街1號,"24.936090 ","121.088954 ",B01,260.0,楊梅分局,B
EQA00512,頭洲里,桃園市新屋區頭洲里3鄰高洲五街29號八樓,"24.961644 ","121.159061 ",B01,2831.0,楊梅分局,B
EQA00513,永平里,桃園市楊梅區永平里10鄰梅獅路一段426巷68號,"24.916355 ","121.171884 ",B01,1041.0,楊梅分局,B
EQA00514,清華里,桃園市新屋區清華里18鄰新華路1段158號,"24.988022 ","121.108389 ",B01,9215.0,楊梅分局,B
EQA00515,仁美里,桃園市楊梅區仁美里1鄰永平路158巷1號,"24.921677 ","121.181429 ",B01,204.0,楊梅分局,B
EQA00516,瑞坪里,桃園市楊梅區瑞坪里36鄰福羚路248巷28號2樓,"24.907064 ","121.183178 ",B01,423.0,楊梅分局,B
EQA00517,瑞坪里,桃園市楊梅區瑞坪里36鄰福羚路248巷43號4樓,"24.907114 ","121.183950 ",B01,2140.0,楊梅分局,B
EQA00518,中山里,桃園市楊梅區中山里4鄰環東路200號,"24.904680 ","121.156096 ",B01,1417.0,楊梅分局,B
EQA00519,永寧里,桃園市楊梅區永寧里28鄰環南路50號,"24.902195 ","121.148303 ",B01,176.0,楊梅分局,B
EQA00520,永寧里,桃園市楊梅區永寧里32鄰校前路324巷96號,"24.898865 ","121.148448 ",B01,229.0,楊梅分局,B
EQA00521,楊明里,桃園市楊梅區楊明里20鄰中山北路一段494巷100號,"24.912431 ","121.160114 ",B01,1466.0,楊梅分局,B
EQA00522,三民里,桃園市楊梅區三民里1鄰中山北路二段99號,"24.908095 ","121.169674 ",B01,1565.0,楊梅分局,B
EQA00523,上湖里,桃園市楊梅區上湖里9鄰楊湖路四段256號二樓,"24.911200 ","121.068152 ",B01,590.0,楊梅分局,B
EQA00524,高榮里,桃園市楊梅區高榮里6鄰電研路190巷268號之1,"24.949800 ","121.173336 ",B01,1950.0,楊梅分局,B
EQA00525,楊明里,桃園市楊梅區楊明里36鄰新農街640號九樓,"24.912954 ","121.163471 ",B01,1407.0,楊梅分局,B
EQA00526,楊明里,桃園市楊梅區楊明里27鄰新農街576號八樓,"24.912516 ","121.161427 ",B01,1669.0,楊梅分局,B
EQA00527,中山里,桃園市楊梅區中山里4鄰中山北路一段199巷116號,"24.906306 ","121.155367 ",B01,2103.0,楊梅分局,B
EQA00528,新生里,桃園市新屋區新生里7鄰新生五街19號,"24.974760 ","121.104627 ",B01,420.0,楊梅分局,C
EQA00529,頭洲里,桃園市新屋區頭洲里5鄰民族路六段539巷30號二樓,"24.963349 ","121.152523 ",B01,1689.0,楊梅分局,C
EQA00530,永平里,桃園市楊梅區永平里9鄰新農街二段239巷5號六樓,"24.912522 ","121.172311 ",B01,2662.0,楊梅分局,C
EQA00531,金溪里,桃園市楊梅區金溪里19鄰金溪路285巷50號二樓,"24.900963 ","121.174406 ",B01,2129.0,楊梅分局,C
EQA00532,楊梅里,桃園市楊梅區楊梅里30鄰新梅六街29號十三樓,"24.915652 ","121.145529 ",B01,2161.0,楊梅分局,C
EQA00533,赤欄里,桃園市新屋區赤欄里1鄰東興路一段450巷60弄1號,"24.982962 ","121.080352 ",B01、B02,2937.0,楊梅分局,C
EQA00534,中山里,桃園市楊梅區中山里4鄰中山北路一段199巷27號,"24.906843 ","121.154322 ",B01,1741.0,楊梅分局,B
EQA00535,中山里,桃園市楊梅區中山里4鄰環東路298巷68號,"24.905951 ","121.158597 ",B01,508.0,楊梅分局,B
EQA00536,社子里,桃園市新屋區社子里1鄰社子路92巷58號,"24.960342 ","121.090261 ",B01,791.0,楊梅分局,B
