建築物名稱,類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里10鄰獅山5之12號,"24.678418663509984, 120.87442789641332",1.0,77.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里9鄰大厝59之12號,"24.680361713109537, 120.8747783153355",1.0,45.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里9鄰56號,"24.680756427986456, 120.8760451900822",1.0,165.0,竹南分局,竹南,
公寓,公寓,山佳里,苗栗縣竹南鎮山佳里27鄰龍山路3段37之1號,"24.70208887863261, 120.87833389775285",1.0,272.0,竹南分局,竹南,
大樓,大樓,山佳里,苗栗縣竹南鎮山佳里4鄰光復路512號,"24.701325498418683, 120.87949119590655",1.0,1277.0,竹南分局,竹南,
大樓,大樓,山佳里,苗栗縣竹南鎮山佳里21鄰佳北二街103號,"24.704336231470982, 120.87912950173073",1.0,1145.0,竹南分局,竹南,
大樓,大樓,山佳里,苗栗縣竹南鎮山佳里19鄰佳北二街68號,"24.704280581545152, 120.88007394008262",1.0,1589.0,竹南分局,竹南,
大樓,大樓,山佳里,苗栗縣竹南鎮山佳里9鄰佳北二街197巷15號,"24.703231582941086, 120.88030571124732",1.0,1890.0,竹南分局,竹南,
大樓,大樓,山佳里,苗栗縣竹南鎮山佳里7鄰龍山路221號,"24.702541454389753, 120.8821088689177",1.0,2796.0,竹南分局,竹南,
公寓,公寓,山佳里,苗栗縣竹南鎮山佳里11鄰中興街25號,"24.701697914807305, 120.88345324008232",1.0,274.0,竹南分局,竹南,
公寓,公寓,山佳里,苗栗縣竹南鎮山佳里27鄰中興街23、21號,"24.701562032289203, 120.88369184008256",1.0,276.0,竹南分局,竹南,
君毅中學,學校,山佳里,苗栗縣竹南鎮山佳里28鄰華興街76號,"24.70156363228693, 120.88320825357691",1.0,958.0,竹南分局,竹南,
苗栗縣政府公教大樓,政府機關,大厝里,苗栗縣竹南鎮大厝里18鄰大業街58號,"24.684113653850464, 120.87161634192854",1.0,2294.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里1鄰大業街120號,"24.68618595729042, 120.87148299775289",1.0,385.0,竹南分局,竹南,
公寓,公寓,佳興里,苗栗縣竹南鎮佳興里6鄰光復路470號,"24.6954736456624, 120.87965848241201",1.0,40.0,竹南分局,竹南,
公寓,公寓,佳興里,苗栗縣竹南鎮佳興里10鄰照南路116號,"24.695908797550263, 120.87670368610472",1.0,88.0,竹南分局,竹南,
公寓,公寓,佳興里,苗栗縣竹南鎮佳興里2鄰公義路154號,"24.697289843387974, 120.88235832658802",1.0,162.0,竹南分局,竹南,
公寓,公寓,山佳里,苗栗縣竹南鎮山佳里15鄰公義路230巷15號,"24.699465151513163, 120.88378965542314",1.0,45.0,竹南分局,竹南,
公寓,公寓,佳興里,苗栗縣竹南鎮佳興里1鄰環市路3段559號,"24.694188938084924, 120.88340072658796",1.0,37.0,竹南分局,竹南,
公寓,公寓,佳興里,苗栗縣竹南鎮佳興里2鄰公義路172號,"24.697949089970407, 120.8827219995991",1.0,109.0,竹南分局,竹南,
公寓,公寓,佳興里,苗栗縣竹南鎮佳興里4鄰光復路420號,"24.695020574992654, 120.87964751124719",1.0,24.0,竹南分局,竹南,
公寓,公寓,山佳里,苗栗縣竹南鎮山佳里15鄰照南路86之2號,"24.695589883487994, 120.87736118425832",1.0,68.0,竹南分局,竹南,
公寓,公寓,山佳里,苗栗縣竹南鎮山佳里15鄰照南路36之5號,"24.69551509320897, 120.87868581124722",1.0,45.0,竹南分局,竹南,
公寓,公寓,佳興里,苗栗縣竹南鎮佳興里1鄰勝利街237號,"24.693637843452716, 120.88393048241201",1.0,117.0,竹南分局,竹南,
冠昇食品,公司企業,崎頂里,苗栗縣竹南鎮崎頂里8鄰山頂15號,"24.72493398993877, 120.87999979959946",1.0,352.0,竹南分局,大同,
陳宅,公寓,崎頂里,苗栗縣竹南鎮崎頂里13鄰仁愛路1365巷10號,"24.711436150152426, 120.8828351842585",1.0,100.0,竹南分局,大同,
先輝企業社,公司企業,崎頂里,苗栗縣竹南鎮崎頂里15鄰尖山100號,"24.720050808132314, 120.87754763681099",1.0,34.0,竹南分局,大同,
公寓,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路330號,"24.709896374070212, 120.88167225357698",1.0,204.0,竹南分局,大同,
嬌聯工業,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路362號,"24.71294125496376, 120.8767913400828",1.0,304.0,竹南分局,大同,
加和紙業,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和義街8號,"24.714689167032965, 120.876748697753",1.0,102.0,竹南分局,大同,
崎頂工業,公司企業,崎頂里,苗栗縣竹南鎮崎頂里15鄰仁愛路2095號,"24.716679686655738, 120.87515485542347",1.0,85.0,竹南分局,大同,
群化工業,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1359號,"24.71126821861053, 120.88364405357714",1.0,84.0,竹南分局,大同,
豐成鑄造,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和義街5號,"24.714486236898416, 120.87693132658823",1.0,58.0,竹南分局,大同,
大松木材行,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街16號,"24.71219334138701, 120.87997858056599",1.0,86.0,竹南分局,大同,
利銓玻璃行,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街30號,"24.7136097076789, 120.87811511494012",1.0,133.0,竹南分局,大同,
新諺公司,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路354號,"24.71202972492403, 120.87795764008258",1.0,108.0,竹南分局,大同,
永好紙器廠,公司企業,崎頂里,苗栗縣竹南鎮崎頂里15鄰和誠街18號,"24.712379463324613, 120.87966921124745",1.0,37.0,竹南分局,大同,
經濟部管理站,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和義街6號,"24.714584544482182, 120.87683278425861",1.0,180.0,竹南分局,大同,
"經濟部竹南工業區
服務中心",大樓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路336號,"24.71046248408466, 120.88057159775298",1.0,113.0,竹南分局,大同,
農保公司,公司企業,崎頂里,苗栗縣竹南鎮崎頂里15鄰和誠街20號,"24.712668640456595, 120.87967691309392",1.0,61.0,竹南分局,大同,
東協化工,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路346號,"24.711431564734962, 120.87893428241227",1.0,180.0,竹南分局,大同,
富蘭公司,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1407號,"24.712695149317256, 120.88094098610489",1.0,400.0,竹南分局,大同,
吉原公司,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街14號,"24.711804286239612, 120.88050869775293",1.0,66.0,竹南分局,大同,
公寓,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1359號,"24.711287711315446, 120.88368696891791",1.0,121.0,竹南分局,大同,
錦華塑膠公司,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街16號,"24.712164102541205, 120.88006441124749",1.0,42.0,竹南分局,大同,
公寓,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路381號,"24.711157550654228, 120.90757603823621",1.0,145.0,竹南分局,大同,
正昇企業,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街35號,"24.713795722711367, 120.877243341929",1.0,64.0,竹南分局,大同,
公寓,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路38號,"24.70991485994029, 120.88098632474176",1.0,228.0,竹南分局,大同,
精廣機械,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街6號,"24.711063943597825, 120.8816585400826",1.0,165.0,竹南分局,大同,
苗開興業,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路342號,"24.710820840843066, 120.87962489590667",1.0,74.0,竹南分局,大同,
成奕企業,公司企業,崎頂里,苗栗縣竹南鎮崎頂里15鄰仁愛路1463號,"24.714604736666335, 120.87734689590665",1.0,29.0,竹南分局,大同,
公寓,公寓,崎頂里,苗栗縣竹南鎮崎頂里15鄰仁愛路1463之1號,"24.714962967325114, 120.8774461842586",1.0,29.0,竹南分局,大同,
瑞航公司,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1403號,"24.71253045563916, 120.880957197753",1.0,130.0,竹南分局,大同,
鑫豪食品公司,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1453號,"24.71454762176898, 120.8781389284345",1.0,86.0,竹南分局,大同,
福進公司,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街26號,"24.71330663163463, 120.87872542658825",1.0,86.0,竹南分局,大同,
公寓,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰仁愛路1397號,"24.712078102689336, 120.88129171309374",1.0,53.0,竹南分局,大同,
興鋁合金,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路330號,"24.709872820577427, 120.88190737076417",1.0,264.0,竹南分局,大同,
泉閔食品,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街23號,"24.71282364765361, 120.87866925542346",1.0,144.0,竹南分局,大同,
良駿企業,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路364號,"24.7130732085192, 120.87659581124757",1.0,132.0,竹南分局,大同,
金記寶安,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路338號,"24.710695973005787, 120.88023959775305",1.0,36.0,竹南分局,大同,
庚新科技,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街22號,"24.712778362731026, 120.8792842554234",1.0,96.0,竹南分局,大同,
德一食品,公司企業,崎頂里,苗栗縣竹南鎮崎頂里15鄰仁愛路1445號,"24.71423193763719, 120.87791762474201",1.0,97.0,竹南分局,大同,
裕詮實業,公司企業,崎頂里,苗栗縣竹南鎮崎頂里15鄰仁愛路1387號,"24.712435463241327, 120.88119935542338",1.0,153.0,竹南分局,大同,
嬌聯工業,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路362號,"24.71295100118564, 120.87683425542357",1.0,256.0,竹南分局,大同,
興鋁合金工業,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路330號,"24.709863074114615, 120.88177862474193",1.0,392.0,竹南分局,大同,
代洲企業公司,公司企業,崎頂里,苗栗縣竹南鎮崎頂里13鄰仁愛路1363巷20號,"24.711317072178954, 120.8837098995993",1.0,61.0,竹南分局,大同,
嬌聯塑膠公司,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠街32號,"24.713682791980297, 120.87775956891774",1.0,237.0,竹南分局,大同,
東協化工,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路346號,"24.711538774433475, 120.8789235535771",1.0,621.0,竹南分局,大同,
公寓,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和勇街2號,"24.70763774361855, 120.87684308425857",1.0,178.0,竹南分局,大同,
公寓,公寓,崎頂里,苗栗縣竹南鎮崎頂里16鄰和誠路,"24.711862724090345, 120.88040349502072",1.0,58.0,竹南分局,大同,
台灣煙酒公司,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路345號,"24.71076828729439, 120.87799605357714",1.0,1054.0,竹南分局,大同,
超豐電子,公司企業,崎頂里,苗栗縣竹南鎮崎頂里16鄰和興路358號,"24.712545170544068, 120.87721314008267",1.0,1952.0,竹南分局,大同,
台元紡織,公司企業,公義里,苗栗縣竹南鎮公義里11鄰公義路1639號,"24.723704237260733, 120.90444551124767",1.0,484.0,竹南分局,大同,
吳宅,公寓,公義里,苗栗縣竹南鎮公義里11鄰公義路1639號,"24.723704237260733, 120.90444551124767",1.0,56.0,竹南分局,大同,
廷維陶瓷,公司企業,公義里,苗栗縣竹南鎮公義里11鄰公義路1801號,"24.73040188523251, 120.90659385357726",1.0,96.0,竹南分局,大同,
美德向邦公司,公司企業,公義里,苗栗縣竹南鎮公義里1鄰公館1之2號,"24.7408866371808, 120.90617539740414",1.0,480.0,竹南分局,大同,
欣澔科技,公司企業,大埔里,苗栗縣竹南鎮大埔里18鄰公義路813號,"24.707469537313553, 120.89351445542343",1.0,53.0,竹南分局,大同,
公寓,公寓,大埔里,苗栗縣竹南鎮大埔里13鄰竹篙厝200號,"24.7067689520044, 120.88860325357697",1.0,237.0,竹南分局,大同,
公寓,公寓,大埔里,苗栗縣竹南鎮大埔里13鄰仁愛路1283號,"24.709412114252704, 120.88420785542333",1.0,198.0,竹南分局,大同,
廷洋電機,公司企業,大埔里,苗栗縣竹南鎮大埔里8鄰公義路921號,"24.70943865374966, 120.89644079775307",1.0,82.0,竹南分局,大同,
朝翔工業,公司企業,大埔里,苗栗縣竹南鎮大埔里18鄰公義路861號,"24.70866720856496, 120.89360439775298",1.0,169.0,竹南分局,大同,
公寓,公寓,頂埔里,苗栗縣竹南鎮頂埔里10鄰台糖1號,"24.70494989718513, 120.92044974615777",1.0,416.0,竹南分局,大同,
田僑建設,公司企業,頂埔里,苗栗縣竹南鎮頂埔里15鄰中華路155號,"24.709915027573714, 120.92376651124744",1.0,1222.0,竹南分局,大同,
有光紙業,公司企業,頂埔里,苗栗縣竹南鎮頂埔里10鄰頂大埔10號,"24.70699591144358, 120.9256713400825",1.0,429.0,竹南分局,大同,
台糖畜產研究所,公司企業,頂埔里,苗栗縣竹南鎮頂埔里10鄰台糖1號,"24.704310364652205, 120.92026777098707",1.0,368.0,竹南分局,大同,
公寓,公寓,頂埔里,苗栗縣竹南鎮頂埔里10鄰大埔109之1號,"24.705599106634907, 120.92202236896296",1.0,48.0,竹南分局,大同,
公寓,公寓,大埔里,苗栗縣竹南鎮大埔里20鄰中埔街1號,"24.71612214171264, 120.90811052474206",1.0,312.0,竹南分局,大同,
吉伸紙業,公司企業,大埔里,苗栗縣竹南鎮大埔里19鄰五福新村201號,"24.716184465698767, 120.90441510173082",1.0,112.0,竹南分局,大同,
黃宅,公寓,大埔里,苗栗縣竹南鎮大埔里20鄰中埔街5號,"24.715866634195866, 120.90902328241238",1.0,153.0,竹南分局,大同,
黃宅,公寓,大埔里,苗栗縣竹南鎮大埔里20鄰中埔街7號,"24.716102649764697, 120.90819635542356",1.0,161.0,竹南分局,大同,
聯有企業,公司企業,大埔里,苗栗縣竹南鎮大埔里19鄰五福新村198號,"24.716252687458375, 120.90443655940119",1.0,42.0,竹南分局,大同,
莊宅,公寓,大埔里,苗栗縣竹南鎮大埔里20鄰中埔街,"24.71578014232862, 120.90680391309397",1.0,94.0,竹南分局,大同,
公寓,公寓,大埔里,苗栗縣竹南鎮大埔里6鄰公義路300號,"24.7046521623685, 120.88991243823618",1.0,180.0,竹南分局,大同,
公寓,公寓,大埔里,苗栗縣竹南鎮大埔里20鄰中埔街116號,"24.715447181062565, 120.9089516112476",1.0,160.0,竹南分局,大同,
實國實業,公司企業,大埔里,苗栗縣竹南鎮大埔里20鄰中埔街18號,"24.71577239632486, 120.90680309959939",1.0,100.0,竹南分局,大同,
台灣家畜衛生試驗所,政府機關,崎頂里,苗栗縣竹南鎮崎頂里2鄰牧場21號,"24.714864983205363, 120.87265308545778",1.0,3129.0,竹南分局,大同,
公寓,公寓,頂埔里,苗栗縣竹南鎮頂埔里1鄰中華路78巷31號,"24.70831112958318, 120.92610335173062",1.0,84.0,竹南分局,大同,
公寓,公寓,頂埔里,苗栗縣竹南鎮頂埔里12鄰中華路266之1號,"24.713599000069255, 120.92260838241236",1.0,54.0,竹南分局,大同,
公寓,公寓,頂埔里,苗栗縣竹南鎮頂埔里12鄰中華路282號,"24.713251846882475, 120.92260829590663",1.0,158.0,竹南分局,大同,
公寓,公寓,頂埔里,苗栗縣竹南鎮頂埔里1鄰中華路78巷31號,"24.70839223522313, 120.92604972658815",1.0,58.0,竹南分局,大同,
公寓,公寓,頂埔里,苗栗縣竹南鎮頂埔里12鄰中華路220號,"24.71187980303086, 120.92345832843469",1.0,41.0,竹南分局,大同,
公寓,公寓,正南里,苗栗縣竹南鎮正南里9鄰中正路14號,"24.684283053585382, 120.87942367076369",1.0,53.0,竹南分局,竹南,
公寓,公寓,營盤里,苗栗縣竹南鎮營盤里5鄰建國路84巷17號,"24.690581403804188, 120.8755404842584",1.0,61.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44之7號,"24.693076231000674, 120.86894052474167",1.0,197.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄44號,"24.69304698766683, 120.86904781309356",1.0,97.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里15鄰建國路288巷205號,"24.694819832410406, 120.87238512474161",1.0,56.0,竹南分局,竹南,
公寓,公寓,聖福里,苗栗縣竹南鎮聖福里20鄰建國路288巷79弄40號,"24.692858248937277, 120.86923864192876",1.0,64.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里4鄰民權街16號,"24.686145047342112, 120.87950675542298",1.0,49.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里4鄰民權街18號,"24.686047202483916, 120.87939888241198",1.0,54.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里4鄰民權街20號,"24.686077802438376, 120.8795030284342",1.0,60.0,竹南分局,竹南,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里4鄰民權街22號,"24.686066250795523, 120.87929531124715",1.0,29.0,竹南分局,竹南,
張耳鼻喉科,醫療院所,竹南里,苗栗縣竹南鎮竹南里17鄰博愛街123號,"24.686836956475485, 120.87545170940085",1.0,37.0,竹南分局,竹南,
台電大埔變電所,台電大埔變電所,大埔里,苗栗縣竹南鎮大埔里8鄰公義路1240號,"24.714940175199537, 120.90576668425865",1.0,34.0,竹南分局,大同,
大埔工業,公司企業,大埔里,苗栗縣竹南鎮大埔里20鄰1號,"24.716151379628833, 120.90820708425873",1.0,281.0,竹南分局,大同,
奇美玻璃,公司企業,崎頂里,苗栗縣竹南鎮崎頂里12鄰仁愛路1439號,"24.714521929065167, 120.87829685542344",1.0,81.0,竹南分局,大同,
公寓,公寓,竹南里,苗栗縣竹南鎮竹南里17鄰敦化街5號,"24.686618098229577, 120.87562629959893",1.0,106.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里10鄰獅山12之2號,"24.677141784967443, 120.87317939463024",1.0,53.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里1鄰大營路103號,"24.685063442890723, 120.87273881124707",1.0,36.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里1鄰文心街7號,"24.686861452996602, 120.87102618425831",1.0,30.0,竹南分局,竹南,
泓暘實業,公司企業,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路8號,"24.675021971262087, 120.87624619775237",1.0,164.0,竹南分局,竹南,
泰瑋紙器工業,公司企業,大厝里,苗栗縣竹南鎮大厝里9鄰大厝70號,"24.679593700047427, 120.8770317268111",1.0,166.0,竹南分局,竹南,
台興機械工業,公司企業,大厝里,苗栗縣竹南鎮大厝里13鄰獅山81之6號,"24.673738067576522, 120.87633086914073",1.0,249.0,竹南分局,竹南,
國新工業,公司企業,大厝里,苗栗縣竹南鎮大厝里9鄰60之6號,"24.679840703668916, 120.87551544605469",1.0,66.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里12鄰獅山72之2號,"24.680964952913534, 120.87363293737323",1.0,53.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里1鄰文心街27號,"24.68718843334372, 120.87039064036739",1.0,50.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里13鄰獅山100號,"24.674292812562886, 120.87419890627817",1.0,120.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里1鄰大業街83號,"24.68559909666051, 120.87120277076377",1.0,32.0,竹南分局,竹南,
騰翔玻璃公司,公司企業,大厝里,苗栗縣竹南鎮大厝里13鄰獅山102號,"24.674777943457478, 120.87339545326665",1.0,68.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里12鄰獅山70號,"24.675628365293583, 120.86814224863119",1.0,881.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里13鄰獅山102號,"24.674731970257387, 120.87373328858375",1.0,88.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里13鄰獅山199號,"24.67748701833407, 120.87216514783752",1.0,34.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里19鄰中正路333號,"24.68364975457616, 120.87079612474156",1.0,42.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里9鄰大厝69號,"24.67946454376074, 120.87787753534906",1.0,41.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里21鄰中正路303號,"24.6835929429595, 120.87157909959895",1.0,21.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路22號,"24.67742596234515, 120.87718428241183",1.0,126.0,竹南分局,竹南,
光田興業,公司企業,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路91號,"24.681734165511998, 120.87913669775274",1.0,42.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里3鄰61之15號,"24.678463648832054, 120.87614518792545",1.0,94.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里14鄰10號,"24.67521860984888, 120.87633369463022",1.0,109.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里10鄰1號,"24.67733655873065, 120.87455187098706",1.0,122.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里12鄰獅山72之2號,"24.675136651186406, 120.86803720339273",1.0,133.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里9鄰59號,"24.681451940259674, 120.8746837380641",1.0,161.0,竹南分局,竹南,
偉仁紙業股份有限公司,公司企業,大厝里,苗栗縣竹南鎮大厝里10鄰獅山5之4號,"24.680992104071436, 120.87369686266516",1.0,44.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里17鄰大營路22號,"24.681977149167096, 120.87321632474155",1.0,20.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路22號,"24.67738696633626, 120.8772057400822",1.0,800.0,竹南分局,竹南,
台灣愛美克,公司企業,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路19號,"24.677158015694335, 120.87706641124699",1.0,138.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里15鄰南大路15號,"24.676474914889955, 120.86383087076364",1.0,45.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里21鄰中正路285、287號,"24.68347880338664, 120.87204791493971",1.0,53.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里17鄰大營路19之3號,"24.68178809295834, 120.87304145357675",1.0,22.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里17鄰大營路19之2號,"24.681700354990685, 120.87313801309341",1.0,22.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路17之1號,"24.676121362830038, 120.87656144192847",1.0,480.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里1鄰大營路93之4號,"24.68445075946242, 120.87292712658792",1.0,32.0,竹南分局,竹南,
進春紙器,公司企業,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路17號,"24.67683571055497, 120.87595828241182",1.0,70.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里1鄰大營路101號,"24.684884858919037, 120.87281436891752",1.0,18.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里1鄰大營路105號,"24.685039203982146, 120.87274899775268",1.0,32.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里19鄰中正路357號,"24.683402454963062, 120.87018421124718",1.0,26.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里14鄰國泰路41號,"24.678208460998988, 120.87702626891726",1.0,94.0,竹南分局,竹南,
林怡豐製粉廠,公司企業,大厝里,苗栗縣竹南鎮大厝里10鄰獅山3之10號,"24.677841883113654, 120.87420210755434",1.0,29.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里9鄰大厝61之1號,"24.678469399548757, 120.87614333724831",1.0,53.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里3鄰南大路226號,"24.680885007647024, 120.87100233823604",1.0,22.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里2鄰南大路228號,"24.68092390256219, 120.87113497076376",1.0,22.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里2鄰南大路230號,"24.680794069046918, 120.87095435357656",1.0,22.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里2鄰南大路234號,"24.680916702576283, 120.87095318425813",1.0,21.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里2鄰南大路236號,"24.680719212888533, 120.87083789775261",1.0,20.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里9鄰大厝61之15號,"24.678447763742863, 120.87613859471264",1.0,45.0,竹南分局,竹南,
公寓,公寓,大厝里,苗栗縣竹南鎮大厝里14鄰鐵路東1號,"24.67925308234829, 120.87498418945626",1.0,106.0,竹南分局,竹南,
"苗栗縣政府
稅務局竹南分局",大樓,正南里,苗栗縣竹南鎮正南里25鄰福德路135號,"24.68276886578563, 120.87557211124701",1.0,709.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里23鄰大營路130號,"24.685145307002635, 120.87294236707118",1.0,25.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里25鄰福德路163之1號,"24.682938509937475, 120.87490414008232",1.0,42.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里1鄰中山路110號,"24.68561895149539, 120.88003035357683",1.0,89.0,竹南分局,竹南,
竹南高中,學校,正南里,苗栗縣竹南鎮正南里23鄰中正路98號,"24.684408592697526, 120.87464866891752",1.0,612.0,竹南分局,竹南,
竹南高中,學校,正南里,苗栗縣竹南鎮正南里23鄰中正路98號,"24.684408592697526, 120.87464866891752",1.0,702.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里25鄰福德路174號,"24.683241955214136, 120.87461288241192",1.0,580.0,竹南分局,竹南,
竹南鎮公所,大樓,正南里,苗栗縣竹南鎮正南里23鄰中正路112號,"24.6838458179345, 120.87334972572876",1.0,569.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里17鄰福德路97號,"24.683326700748673, 120.87747352658783",1.0,154.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里19鄰和平街43號,"24.684631795311905, 120.87712281124712",1.0,249.0,竹南分局,竹南,
公寓,公寓,正南里,苗栗縣竹南鎮正南里23鄰中正路98號,"24.68409860839481, 120.87387919959914",1.0,485.0,竹南分局,竹南,
