編號,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,"unnamed (1)"
1107.0,潮洋里,臺中市西屯區潮洋里市政北二路310號,1.0,1848.0,第六分局,"120.635857 ","24.164449 ",
1108.0,惠來里,臺中市西屯區惠來里市政北一路200號,1.0,1057.0,第六分局,"120.639566 ","24.160930 ",
1109.0,惠來里,臺中市西屯區惠來里惠來路三段196號,1.0,1224.0,第六分局,"120.648930 ","24.169958 ",
1110.0,惠來里,臺中市西屯區惠來里西屯路二段208巷8號,1.0,2344.0,第六分局,"120.650054 ","24.169007 ",
1111.0,惠來里,臺中市西屯區惠來里西屯路二段190號,1.0,2737.0,第六分局,"120.649720 ","24.167866 ",
1112.0,惠來里,臺中市西屯區惠來里府會二街169號,1.0,1602.0,第六分局,"120.638673 ","24.163525 ",
1113.0,惠來里,臺中市西屯區惠來里府會一街190號,1.0,2012.0,第六分局,"120.643895 ","24.162054 ",
1114.0,潮洋里,臺中市西屯區潮洋里朝貴一街78號,1.0,387.0,第六分局,"120.635577 ","24.170922 ",
1115.0,潮洋里,臺中市西屯區潮洋里環河路211號,1.0,718.0,第六分局,"120.630162 ","24.163325 ",
1116.0,何安里,臺中市西屯區何安里臺灣大道二段936號,1.0,2060.0,第六分局,"120.651433 ","24.162023 ",
1117.0,何仁里,臺中市西屯區何仁里櫻城三街10號,1.0,180.0,第六分局,"120.650972 ","24.169643 ",
1118.0,惠來里,臺中市西屯區惠來里惠民路29號,1.0,3061.0,第六分局,"120.639061 ","24.162637 ",
1119.0,惠來里,臺中市西屯區惠來里臺灣大道三段301號,3.0,12316.0,第六分局,"120.643224 ","24.164663 ",
1120.0,何成里,臺中市西屯區何成里大容東一街37號,1.0,635.0,第六分局,"120.648420 ","24.156043 ",
1121.0,潮洋里,臺中市西屯區潮洋里臺灣大道三段525號,1.0,1108.0,第六分局,"120.638492 ","24.168987 ",
1122.0,惠來里,臺中市西屯區惠來里市政北五路268號,1.0,2917.0,第六分局,"120.642234 ","24.162700 ",
1123.0,何南里,臺中市西屯區何南里東興路三段352號,1.0,262.0,第六分局,"120.654757 ","24.156934 ",
1124.0,何南里,臺中市西屯區何南里東興路三段350號,1.0,262.0,第六分局,"120.654838 ","24.156896 ",
1125.0,何南里,臺中市西屯區何南里東興路三段319號,1.0,701.0,第六分局,"120.654281 ","24.156690 ",
1126.0,潮洋里,臺中市西屯區潮洋里河南路三段120號,3.0,8795.0,第六分局,"120.638024 ","24.164283 ",
1127.0,潮洋里,臺中市西屯區潮洋里朝貴一街80號,1.0,407.0,第六分局,"120.635451 ","24.171026 ",
1128.0,何成里,臺中市西屯區何成里大墩路949號,1.0,806.0,第六分局,"120.651428 ","24.158487 ",
1129.0,何成里,臺中市西屯區何成里文心路二段578號,1.0,144.0,第六分局,"120.647469 ","24.158785 ",
1130.0,何南里,臺中市西屯區何南里精誠路2號,1.0,227.0,第六分局,"120.657353 ","24.157717 ",
1131.0,惠來里,臺中市西屯區惠來里市政路480號,1.0,4902.0,第六分局,"120.638548 ","24.159742 ",
1132.0,潮洋里,臺中市西屯區潮洋里市政北二路330號,1.0,415.0,第六分局,"120.635570 ","24.164764 ",
1133.0,惠來里,臺中市西屯區惠來里府會一街6號,1.0,1230.0,第六分局,"120.645649 ","24.158799 ",
1134.0,惠來里,臺中市西屯區惠來里文心路二段645號,1.0,1286.0,第六分局,"120.648588 ","24.161799 ",
1135.0,潮洋里,臺中市西屯區潮洋里市政北二路449號,1.0,2882.0,第六分局,"120.632214 ","24.165462 ",
1136.0,惠來里,臺中市西屯區惠來里市政北一路198號,4.0,874.0,第六分局,"120.639809 ","24.160941 ",
1137.0,惠來里,臺中市西屯區惠來里市政北一路1號,1.0,1797.0,第六分局,"120.646351 ","24.156745 ",
1138.0,惠來里,臺中市西屯區惠來里市政北三路135號,1.0,1297.0,第六分局,"120.642737 ","24.160989 ",
1139.0,惠來里,臺中市西屯區惠來里惠中六街23號,1.0,1087.0,第六分局,"120.641711 ","24.160544 ",
1140.0,惠來里,臺中市西屯區惠來里臺灣大道三段78號,1.0,2412.0,第六分局,"120.648526 ","24.164204 ",
1141.0,惠來里,臺中市西屯區惠來里市政北一路267號,1.0,1550.0,第六分局,"120.638631 ","24.160812 ",
1142.0,惠來里,臺中市西屯區惠來里惠來路二段82號,1.0,1044.0,第六分局,"120.640637 ","24.161026 ",
1143.0,何成里,臺中市西屯區何成里大容東街88號,3.0,484.0,第六分局,"120.648473 ","24.157105 ",
1144.0,惠來里,臺中市西屯區惠來里市政北二路61號之2,1.0,4024.0,第六分局,"120.639852 ","24.161640 ",
1145.0,惠來里,臺中市西屯區惠來里河南路三段131號,1.0,1127.0,第六分局,"120.639190 ","24.164142 ",
1146.0,惠來里,臺中市西屯區惠來里市政北一路128號,1.0,1451.0,第六分局,"120.641762 ","24.159732 ",
1147.0,惠來里,臺中市西屯區惠來里市政南一路12號,1.0,3066.0,第六分局,"120.638208 ","24.158847 ",
1148.0,惠來里,臺中市西屯區惠來里惠中三街23號,1.0,1132.0,第六分局,"120.642672 ","24.163216 ",
1149.0,惠來里,臺中市西屯區惠來里惠中路一段133號,1.0,1387.0,第六分局,"120.642844 ","24.158200 ",
1150.0,惠來里,臺中市西屯區惠來里市政北一路28號,1.0,1782.0,第六分局,"120.645283 ","24.157779 ",
1151.0,惠來里,臺中市西屯區惠來里市政北三路31號,1.0,1200.0,第六分局,"120.645953 ","24.159227 ",
1152.0,何成里,臺中市西屯區何成里大墩20街162號,1.0,1275.0,第六分局,"120.651287 ","24.160457 ",
1153.0,潮陽里,臺中市西屯區潮洋里臺灣大道三段593號,1.0,1719.0,第六分局,"120.637142 ","24.170013 ",
1154.0,何成里,臺中市西屯區何成里文心路二段546號,1.0,1166.0,第六分局,"120.647240 ","24.156030 ",
1155.0,潮洋里,臺中市西屯區潮洋里龍門路39號,1.0,1668.0,第六分局,"120.633567 ","24.163595 ",
1156.0,惠來里,臺中市西屯區惠來里市政北一路367號,1.0,2215.0,第六分局,"120.637496 ","24.161477 ",
1157.0,惠來里,臺中市西屯區惠來里惠文路788號,1.0,1774.0,第六分局,"120.644357 ","24.156815 ",
1158.0,惠來里,臺中市西屯區惠來里市政路456號,1.0,780.0,第六分局,"120.639022 ","24.159492 ",
1159.0,惠來里,臺中市西屯區惠來里臺灣大道三段33號,1.0,1682.0,第六分局,"120.648267 ","24.162476 ",
1160.0,潮洋里,臺中市西屯區潮洋里朝富路256號,1.0,253.0,第六分局,"120.635219 ","24.163383 ",
1161.0,何南里,臺中市西屯區何南里大墩二十街37號,1.0,973.0,第六分局,"120.654726 ","24.158232 ",
1162.0,惠來里,臺中市西屯區惠來里市政北五路60號,1.0,1189.0,第六分局,"120.646666 ","24.160121 ",
1163.0,惠來里,臺中市西屯區惠來里市政北一路21號,1.0,1704.0,第六分局,"120.645197 ","24.157057 ",
1164.0,惠來里,臺中市西屯區惠來里市政路101號,1.0,1763.0,第六分局,"120.640731 ","24.157561 ",
1165.0,惠來里,臺中市西屯區惠來里市政北七路101號,1.0,711.0,第六分局,"120.642748 ","24.163689 ",
1166.0,惠來里,臺中市西屯區惠來里市政路53號,1.0,2747.0,第六分局,"120.642759 ","24.156161 ",
1167.0,惠來里,臺中市西屯區惠來里市政北一路20號,1.0,7878.0,第六分局,"120.645612 ","24.157648 ",
