類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
麗景江山,孝忠里,基隆市信義區深溪路36巷70弄8號,"25.13175, 121.78399",2.0,3971,第二分局,,"麗景江山 孝忠007 孝忠里 基隆市信義區深溪路36巷70弄8號 3971 第二分局"
深美國小,孝忠里,基隆市信義區深美街198號,"25.13743, 121.77813",1.0,1254,第二分局,,"深美國小 孝忠008 孝忠里 基隆市信義區深美街198號 1254 第二分局"
信義城,孝忠里,基隆市信義區深溪路38巷3號,"25.13218, 121.78262",3.0,5227,第二分局,,"信義城 孝忠009 孝忠里 基隆市信義區深溪路38巷3號 5227 第二分局"
玉品園,孝忠里,基隆市信義區教忠街58號,"25.13482, 121.77781",1.0,628,第二分局,,"玉品園 孝忠010 孝忠里 基隆市信義區教忠街58號 628 第二分局"
凱撒大地,孝深里,基隆市信義區深澳坑路166之17號,"25.12652, 121.78501",2.0,2868,第二分局,,"凱撒大地 孝深001 孝深里 基隆市信義區深澳坑路166之17號 2868 第二分局"
深澳國小,孝深里,基隆市信義區深澳坑路55之1號,"25.12858, 121.78301",1.0,1218,第二分局,,"深澳國小 孝深003 孝深里 基隆市信義區深澳坑路55之1號 1218 第二分局"
微笑臺北,孝深里,基隆市信義區孝東路88號,"25.1282, 121.77949",4.0,17223,第二分局,,"微笑臺北 孝深004 孝深里 基隆市信義區孝東路88號 17223 第二分局"
七樓電梯,孝深里,基隆市信義區深澳坑路132號,"25.12682, 121.78385",1.0,339,第二分局,,"七樓電梯 孝深005 孝深里 基隆市信義區深澳坑路132號 339 第二分局"
榮華富貴,孝深里,基隆市信義區深澳坑路109巷13弄7號,"25.12843, 121.7863",1.0,494,第二分局,,"榮華富貴 孝深006 孝深里 基隆市信義區深澳坑路109巷13弄7號 494 第二分局"
住安城堡,孝深里,基隆市信義區孝東路27號,"25.12831, 121.77646",1.0,776,第二分局,,"住安城堡 孝深007 孝深里 基隆市信義區孝東路27號 776 第二分局"
港都天下,孝德里,基隆市信義區福民街71巷3號,"25.13146, 121.77716",2.0,1177,第二分局,,"港都天下 孝德001 孝德里 基隆市信義區福民街71巷3號 1177 第二分局"
七樓電梯,孝德里,基隆市信義區東峰街22號,"25.13233, 121.77435",1.0,230,第二分局,,"七樓電梯 孝德002 孝德里 基隆市信義區東峰街22號 230 第二分局"
五樓公寓地下室,孝德里,基隆市信義區福民街55巷42號,"25.13283, 121.77626",1.0,297,第二分局,,"五樓公寓地下室 孝德003 孝德里 基隆市信義區福民街55巷42號 297 第二分局"
翡翠宮廷,孝德里,基隆市信義區深澳坑路6巷143號,"25.13376, 121.77461",1.0,1096,第二分局,,"翡翠宮廷 孝德004 孝德里 基隆市信義區深澳坑路6巷143號 1096 第二分局"
翡翠宮廷,孝德里,基隆市信義區深澳坑路6巷304號,"25.13378, 121.77453",1.0,1569,第二分局,,"翡翠宮廷 孝德005 孝德里 基隆市信義區深澳坑路6巷304號 1569 第二分局"
主恩兒童之家,孝德里,基隆市信義區深澳坑路8號,"25.13317, 121.77695",1.0,637,第二分局,,"主恩兒童之家 孝德006 孝德里 基隆市信義區深澳坑路8號 637 第二分局"
田園調布,孝德里,基隆市信義區福民街17之1號,"25.13306, 121.77477",2.0,2414,第二分局,,"田園調布 孝德007 孝德里 基隆市信義區福民街17之1號 2414 第二分局"
田園調布,孝德里,基隆市信義區福民街150號,"25.13184, 121.7764",2.0,1412,第二分局,,"田園調布 孝德008 孝德里 基隆市信義區福民街150號 1412 第二分局"
五樓公寓地下室,孝德里,基隆市信義區福民街55巷3號,"25.13229, 121.77632",1.0,3084,第二分局,,"五樓公寓地下室 孝德009 孝德里 基隆市信義區福民街55巷3號 3084 第二分局"
港都天下,孝德里,基隆市信義區深澳坑路10之6號,"25.13146, 121.77716",1.0,583,第二分局,,"港都天下 孝德010 孝德里 基隆市信義區深澳坑路10之6號 583 第二分局"
彩虹山莊,孝賢里,基隆市信義區東美二街73之1號,"25.1359, 121.77257",1.0,616,第二分局,,"彩虹山莊 孝賢001 孝賢里 基隆市信義區東美二街73之1號 616 第二分局"
乾隆皇第,孝賢里,基隆市信義區教孝街2號,"25.1365, 121.77407",1.0,421,第二分局,,"乾隆皇第 孝賢002 孝賢里 基隆市信義區教孝街2號 421 第二分局"
港都傳奇,孝賢里,基隆市信義區教孝街75號,"25.13779, 121.77586",2.0,2685,第二分局,,"港都傳奇 孝賢003 孝賢里 基隆市信義區教孝街75號 2685 第二分局"
港都經典華廈,孝賢里,基隆市信義區深澳坑路2之47號,"25.13656, 121.77335",1.0,858,第二分局,,"港都經典華廈 孝賢004 孝賢里 基隆市信義區深澳坑路2之47號 858 第二分局"
三樓透天群,孝賢里,基隆市信義區深澳坑路2之36號,"25.13656, 121.77335",2.0,1152,第二分局,,"三樓透天群 孝賢005 孝賢里 基隆市信義區深澳坑路2之36號 1152 第二分局"
富麗居,孝賢里,基隆市信義區深澳坑路2之19號,"25.13656, 121.77335",1.0,190,第二分局,,"富麗居 孝賢007 孝賢里 基隆市信義區深澳坑路2之19號 190 第二分局"
發樓,孝賢里,基隆市信義區深澳坑路2之9號,"25.13656, 121.77335",2.0,1665,第二分局,,"發樓 孝賢008 孝賢里 基隆市信義區深澳坑路2之9號 1665 第二分局"
大香港,孝賢里,基隆市信義區深澳坑路2之5號,"25.13656, 121.77335",2.0,2506,第二分局,,"大香港 孝賢009 孝賢里 基隆市信義區深澳坑路2之5號 2506 第二分局"
港都傳奇,孝賢里,基隆市信義區教孝街79號,"25.13777, 121.77598",1.0,1580,第二分局,,"港都傳奇 孝賢010 孝賢里 基隆市信義區教孝街79號 1580 第二分局"
信義福邸,東光里,基隆市信義區東信路156號,"25.1279, 121.76532",1.0,146,第二分局,
信義之心,東光里,基隆市信義區崇法街89巷1號,"25.13309, 121.76621",3.0,3466,第二分局,,"信義之心 東光004 東光里 基隆市信義區崇法街89巷1號 3466 第二分局"
5樓公寓,東安里,基隆市信義區東信路2巷9號,"25.12832, 121.76844",1.0,163,第二分局,,"5樓公寓 東安001 東安里 基隆市信義區東信路2巷9號 163 第二分局"
7樓電梯,東安里,基隆市信義區培德路17號,"25.12226, 121.77629",1.0,84,第二分局,,"7樓電梯 東安004 東安里 基隆市信義區培德路17號 84 第二分局"
7樓電梯,東安里,基隆市信義區培德路173號,"25.12922, 121.77144",1.0,184,第二分局,,"7樓電梯 東安005 東安里 基隆市信義區培德路173號 184 第二分局"
" 基隆市環保局清潔隊",東安里,基隆市信義區培德路221之3號,"25.12188, 121.77706",1.0,120,第二分局,,"基隆市環保局清潔隊 東安006 東安里 基隆市信義區培德路221之3號 120 第二分局"
名人天廈,東安里,基隆市信義區培德路16號,"25.12872, 121.76977",1.0,136,第二分局,,"名人天廈 東安007 東安里 基隆市信義區培德路16號 136 第二分局"
7樓電梯,東安里,基隆市信義區培德路14巷19號,"25.12845, 121.76947",2.0,169,第二分局,,"7樓電梯 東安008 東安里 基隆市信義區培德路14巷19號 169 第二分局"
7樓電梯,東安里,基隆市信義區培德路75之3號,"25.12991, 121.77283",1.0,250,第二分局,,"7樓電梯 東安009 東安里 基隆市信義區培德路75之3號 250 第二分局"
藝術名廈,東安里,基隆市信義區培德路189號及2樓之至12,"25.12916, 121.77244",2.0,295,第二分局,,"藝術名廈 東安010 東安里 基隆市信義區培德路189號及2樓之至12 295 第二分局"
7樓電梯,東安里,基隆市信義區東信路5號,"25.12771, 121.76792",1.0,149,第二分局,,"7樓電梯 東安011 東安里 基隆市信義區東信路5號 149 第二分局"
信義國中,東安里,基隆市信義區東信路4號,"25.12886, 121.76842",1.0,379,第二分局,,"信義國中 東安012 東安里 基隆市信義區東信路4號 379 第二分局"
東光市場,東明里,基隆市信義區東信路55巷17號,"25.127, 121.76694",1.0,1008,第二分局,,"東光市場 東明001 東明里 基隆市信義區東信路55巷17號 1008 第二分局"
5樓公寓,東明里,基隆市信義區東信路35巷110號,"25.12599, 121.76691",1.0,344,第二分局,,"5樓公寓 東明002 東明里 基隆市信義區東信路35巷110號 344 第二分局"
5樓公寓,東明里,基隆市信義區東信路55巷42之3號,"25.12682, 121.76559",1.0,146,第二分局,,"5樓公寓 東明003 東明里 基隆市信義區東信路55巷42之3號 146 第二分局"
7樓電梯,東明里,基隆市信義區東光路42號,"25.13009, 121.76775",3.0,204,第二分局,,"7樓電梯 東明004 東明里 基隆市信義區東光路42號 204 第二分局"
7樓電梯,東明里,基隆市信義區東信路71號,"25.12755, 121.7626",1.0,849,第二分局,,"7樓電梯 東明005 東明里 基隆市信義區東信路71號 849 第二分局"
7樓電梯,東明里,基隆市信義區東信路37號,"25.12739, 121.76679",1.0,395,第二分局,,"7樓電梯 東明006 東明里 基隆市信義區東信路37號 395 第二分局"
一品特區,東明里,基隆市信義區東光路201之1號,"25.12755, 121.7626",3.0,1235,第二分局,,"一品特區 東明007 東明里 基隆市信義區東光路201之1號 1235 第二分局"
橙品雙璽,東明里,基隆市信義區東光路40之2號,"25.12755, 121.7626",1.0,140,第二分局,,"橙品雙璽 東明008 東明里 基隆市信義區東光路40之2號 140 第二分局"
6樓電梯,東明里,基隆市信義區東光路40之3號,"25.12755, 121.7626",1.0,166,第二分局,,"6樓電梯 東明009 東明里 基隆市信義區東光路40之3號 166 第二分局"
5樓公寓,東信里,基隆市信義區東信路180巷28號,"25.12947, 121.76362",1.0,199,第二分局,
5樓公寓,東信里,基隆市信義區花源五街47號,"25.13358, 121.76456",1.0,1005,第二分局,,"5樓公寓 東信002 東信里 基隆市信義區花源五街47號 1005 第二分局"
四季春,東信里,基隆市信義區花源五街1號,"25.13284, 121.76372",2.0,2296,第二分局,,"四季春 東信003 東信里 基隆市信義區花源五街1號 2296 第二分局"
威鎮八方,東信里,基隆市信義區正信路227巷21弄8號,"25.13507, 121.7644",3.0,11038,第二分局,,"威鎮八方 東信004 東信里 基隆市信義區正信路227巷21弄8號 11038 第二分局"
信義花園,東信里,基隆市信義區東信路236巷32號,"25.12755, 121.7626",2.0,3692,第二分局,,"信義花園 東信005 東信里 基隆市信義區東信路236巷32號 3692 第二分局"
新富,東信里,基隆市信義區正信路295號,"25.13186, 121.76466",1.0,397,第二分局,,"新富 東信006 東信里 基隆市信義區正信路295號 397 第二分局"
台灣造船股份有限公司,社寮里,基隆市中正區和一路155巷14號,"25.15471, 121.76423",1.0,378,第二分局,,"台灣造船股份有限公司 社寮001 社寮里 基隆市中正區和一路155巷14號 378 第二分局"
微笑蔬果行,信義里,基隆市中正區義二路175號,"25.12912, 121.74941",1.0,229,第二分局,,"微笑蔬果行 信義001 信義里 基隆市中正區義二路175號 229 第二分局"
5樓公寓,信綠里,基隆市信義區正信路24之5號,"25.1315, 121.76141",1.0,285,第二分局,,"5樓公寓 信綠002 信綠里 基隆市信義區正信路24之5號 285 第二分局"
