"unnamed (1)",類別,電腦編號,村里別,地址,經緯度,地下層數位址,可容納人數,轄管分局,停車場坡道,備註,placemark_address
162.0,工廠,ENA06026,廣興里,328桃園市觀音區廣興里1鄰廣興一路137號,"25.03135, 121.098",1.0,148.0,大園分局,,,"25.03135, 121.098"
163.0,大樓,ENA06027,廣興里,328桃園市觀音區廣興里溝尾路31之3號,"25.03627, 121.0925",1.0,295.0,大園分局,,,"25.03627, 121.0925"
164.0,大樓,ENA06028,廣興里,328桃園市觀音區廣興里1鄰廣興一路163號,"25.0317, 121.08683",1.0,97.0,大園分局,,,"25.0317, 121.08683"
165.0,大樓,ENA06029,坑尾里,328桃園市觀音區坑尾里濱海路廣興段187號,"25.03379, 121.09736",1.0,127.0,大園分局,,,"25.03379, 121.09736"
166.0,工廠,ENA06030,廣興里,328桃園市觀音區廣興里8鄰中山路一段280巷96號,"25.03221, 121.08895",1.0,188.0,大園分局,,,"25.03221, 121.08895"
167.0,大樓,ENA06031,廣興里,328桃園市觀音區廣興里2鄰廣興一路100號,"25.03157, 121.08698",1.0,157.0,大園分局,,,"25.03157, 121.08698"
168.0,大樓,ENA06033,廣興里,328桃園市觀音區廣興里2鄰中正路55號,"25.03055, 121.08851",1.0,377.0,大園分局,,,"25.03055, 121.08851"
169.0,工廠,ENA06034,廣興里,328桃園市觀音區廣興里8鄰中山路一段280巷90號,"25.03114, 121.0872",1.0,735.0,大園分局,,,"25.03114, 121.0872"
170.0,工廠,ENA06035,坑尾里,328桃園市觀音區坑尾里13鄰坑尾二路382巷170號,"25.03008, 121.09492",1.0,2698.0,大園分局,,,"25.03008, 121.09492"
171.0,工廠,ENA06037,大潭里,328桃園市觀音區大潭里9鄰電廠路1號,"25.03096, 121.05196",1.0,750.0,大園分局,,,"25.03096, 121.05196"
172.0,工廠,ENA06038,大潭里,328桃園市觀音區大潭里9鄰電廠路1-3號,"25.03096, 121.05196",1.0,1160.0,大園分局,,,"25.03096, 121.05196"
173.0,大樓,ENA06039,大潭里,328桃園市觀音區大潭里9鄰電廠路1-5號,"25.03096, 121.05196",1.0,203.0,大園分局,,,"25.03096, 121.05196"
174.0,工廠,ENA06040,大潭里,328桃園市觀音區大潭里9鄰電廠路1號,"25.03096, 121.05196",1.0,873.0,大園分局,,,"25.03096, 121.05196"
175.0,工廠,ENA06041,大潭里,328桃園市觀音區大潭里9鄰電廠路1號,"25.03096, 121.05196",1.0,161.0,大園分局,,,"25.03096, 121.05196"
176.0,工廠,ENA06042,大潭里,328桃園市觀音區大潭里9鄰電廠路1號,"25.03096, 121.05196",1.0,1095.0,大園分局,,,"25.03096, 121.05196"
177.0,工廠,ENA06043,大潭里,328桃園市觀音區大潭里大潭三路12巷2號,"25.02493, 121.05778",1.0,1933.0,大園分局,,,"25.02493, 121.05778"
178.0,大樓,ENA06044,大潭里,328桃園市觀音區大潭里8鄰電廠路1號,"25.06393, 121.19727",1.0,71.0,大園分局,,,"25.06393, 121.19727"
179.0,大樓,ENA06045,大潭里,328桃園市觀音區大潭里1鄰桃科二路288號,"25.02506, 121.05798",1.0,176.0,大園分局,,,"25.02506, 121.05798"
180.0,大樓,ENA06046,大潭里,328桃園市觀音區大潭里環科路218號,"25.03557, 121.05828",1.0,2191.0,大園分局,,,"25.03557, 121.05828"
181.0,大樓,ENA06047,白玉里,328桃園市觀音區白玉里玉林路一段521號,"25.04588, 121.09117",1.0,173.0,大園分局,,,"25.04588, 121.09117"
182.0,工廠,ENA06048,觀音里,328桃園市觀音區觀音里信義路156巷68號,"25.03674, 121.07534",1.0,390.0,大園分局,,,"25.03674, 121.07534"
183.0,大樓,ENA06049,坑尾里,328桃園市觀音區坑尾里14鄰中山路一段739巷5號,"25.03204, 121.10015",2.0,1050.0,大園分局,,,"25.03204, 121.10015"
184.0,大樓,ENA06050,白玉里,328桃園市觀音區白玉里桃科九路58號,"25.04985, 121.08848",1.0,520.0,大園分局,,,"25.04985, 121.08848"
185.0,大樓,ENA06051,大潭里,328桃園市觀音區大潭里環科路259號,"25.03647, 121.05903",1.0,108.0,大園分局,,,"25.03647, 121.05903"
186.0,大樓,ENA06052,大潭里,328桃園市觀音區大潭里1鄰環科路331號,"25.03759, 121.06266",1.0,1933.0,大園分局,V,,"25.03759, 121.06266"
187.0,觀音區公所,ENA06053,大潭里,328桃園市觀音區大潭里觀興路56號,"25.0281388991346, 121.08354259626952",1.0,2200.0,大園分局,V,,"25.0281388991346, 121.08354259626952"
188.0,大樓,ENA06054,大潭里,328桃園市觀音區大潭里電廠路1號,"25.03096, 121.05196",1.0,3172.0,大園分局,V,,"25.03096, 121.05196"
189.0,大樓,ENA06055,廣興里,328桃園市觀音區廣興里11鄰大觀路四段115號2樓,"25.03439, 121.0993",1.0,376.0,大園分局,,,"25.03439, 121.0993"
190.0,工廠,ENA06056,白玉里,328桃園市觀音區白玉里1鄰桃科十路100號,"25.050765, 121.091804",1.0,3966.0,大園分局,V,,"25.050765, 121.091804"
191.0,大樓,ENA06057,大潭里,328桃園市觀音區大潭里1鄰環西路128號,"25.03273, 121.05602",1.0,96.0,大園分局,V,,"25.03273, 121.05602"
192.0,大樓,ENA06058,白玉里,328桃園市觀音區白玉里18鄰寶倉街108號,"25.04164481838601, 121.08128513859758",1.0,421.0,大園分局,,,"25.04164481838601, 121.08128513859758"
193.0,工廠,ENA07001,金湖里,328桃園市觀音區金湖里中山路一段1568之1號,"25.02146, 121.11881",1.0,1208.0,大園分局,V,,"25.02146, 121.11881"
194.0,大樓,ENA07002,富源里,328桃園市觀音區富源里新富路606號,"24.99314, 121.13101",1.0,40.0,大園分局,,,"24.99314, 121.13101"
195.0,大樓,ENA07003,新坡里,328桃園市觀音區新坡里新生路110號,"25.01474, 121.13277",1.0,52.0,大園分局,V,,"25.01474, 121.13277"
196.0,工廠,ENA07004,金湖里,328桃園市觀音區金湖里中山路一段1568之1號,"25.02146, 121.11881",1.0,411.0,大園分局,V,,"25.02146, 121.11881"
197.0,工廠,ENA07005,富源里,328桃園市觀音區富源里新富路1786號,"24.97186, 121.14263",1.0,240.0,大園分局,,,"24.97186, 121.14263"
198.0,大樓,ENA07006,富源里,328桃園市觀音區富源里新富路161號,"24.98523, 121.13007",1.0,133.0,大園分局,,,"24.98523, 121.13007"
199.0,工廠,ENA07007,富源里,328桃園市觀音區富源里3鄰新富路855號,"24.97186,121.14263",1.0,758.0,大園分局,,,"24.97186,121.14263"
200.0,工廠,ENA07008,富源里,328桃園市觀音區富源里7鄰富源三路66號,"25.01261, 121.13628",1.0,1323.0,大園分局,,,"25.01261, 121.13628"
201.0,大樓,ENA07010,富源里,328桃園市觀音區富源里新富路606號,"24.97369, 121.14017",1.0,45.0,大園分局,,,"24.97369, 121.14017"
202.0,大樓,ENA07013,上大里,328桃園市觀音區上大里中觀路一段767號,"24.97406, 121.15967",1.0,37.0,大園分局,,,"24.97406, 121.15967"
203.0,工廠,ENA07014,崙坪里,328桃園市觀音區崙坪里忠愛路123巷9弄2號,"24.99513, 121.16246",1.0,863.0,大園分局,,,"24.99513, 121.16246"
204.0,工廠,ENA07015,崙坪里,328桃園市觀音區崙坪里忠愛路123巷9弄7號,"24.99513, 121.16246",1.0,768.0,大園分局,,,"24.99513, 121.16246"
205.0,工廠,ENA07016,崙坪里,328桃園市觀音區崙坪里忠愛路123巷9弄6號,"24.99439, 121.16279",1.0,928.0,大園分局,,,"24.99439, 121.16279"
206.0,工廠,ENA07017,崙坪里,328桃園市觀音區崙坪里忠愛路123巷10弄2號,"24.99467, 121.16234",1.0,731.0,大園分局,,,"24.99467, 121.16234"
207.0,大樓,ENA07018,崙坪里,328桃園市觀音區崙坪里忠愛路123巷9弄5號,"24.99427, 121.16208",1.0,822.0,大園分局,,,"24.99427, 121.16208"
208.0,工廠,ENA07019,崙坪里,328桃園市觀音區崙坪里忠愛路123巷8弄2號,"24.99467, 121.16225",1.0,861.0,大園分局,,,"24.99467, 121.16225"
209.0,大樓觀音農會,ENA07020,崙坪里,328桃園市觀音區崙坪里忠愛路123巷8弄18號,"24.99439, 121.16219",1.0,858.0,大園分局,,,"24.99439, 121.16219"
210.0,工廠,ENA07021,崙坪里,328桃園市觀音區崙坪里忠愛路123巷10弄1號,"24.9944, 121.16201",1.0,901.0,大園分局,,,"24.9944, 121.16201"
211.0,大樓,ENA07022,崙坪里,328桃園市觀音區崙坪里忠愛路123巷9弄18號,"24.99513, 121.16246",1.0,732.0,大園分局,,,"24.99513, 121.16246"
212.0,大樓,ENA07023,崙坪里,328桃園市觀音區崙坪里忠愛路123巷8弄28號,"24.99404, 121.16215",1.0,632.0,大園分局,,,"24.99404, 121.16215"
213.0,大樓,ENA07025,大同里,328桃園市觀音區大同里中山路二段805-1號,"25.01138, 121.13907",1.0,241.0,大園分局,,,"25.01138, 121.13907"
214.0,工廠,ENA07026,大同里,(機敏單位),,1.0,576.0,大園分局,,328桃園市觀音區大同里中山路二段833號
215.0,工廠,ENA07027,金湖里,328桃園市觀音區金湖里中山路一段968號,"25.02969, 121.10569",1.0,73.0,大園分局,,,"25.02969, 121.10569"
216.0,工廠中華電信,ENA07028,金湖里,328桃園市觀音區金湖里中山路一段1471號,"25.0228, 121.11718",1.0,48.0,大園分局,,,"25.0228, 121.11718"
217.0,工廠電信總局,ENA07030,金湖里,328桃園市觀音區金湖里中山路一段1568號,"25.017, 121.11871",1.0,661.0,大園分局,V,,"25.017, 121.11871"
218.0,工廠,ENA07031,藍埔里,328桃園市觀音區藍埔里新華路一段855巷16號,"24.99839, 121.12008",1.0,988.0,大園分局,,,"24.99839, 121.12008"
219.0,大樓,ENA07032,金湖里,328桃園市觀音區金湖里中山路一段1579巷20號,"25.0213, 121.11972",1.0,363.0,大園分局,,,"25.0213, 121.11972"
220.0,工廠,ENA07034,金湖里,328桃園市觀音區金湖里2鄰金橋路育仁段905-1號,"25.02398, 121.11227",1.0,56.0,大園分局,,,"25.02398, 121.11227"
221.0,工廠郵政總局,ENA07036,崙坪里,(機敏單位),,1.0,302.0,大園分局,,328桃園市觀音區崙坪里學府路23號
222.0,大樓電信總局,ENA07037,崙坪里,(機敏單位),,1.0,504.0,大園分局,,328桃園市觀音區崙坪里忠愛路260巷60號
223.0,大樓,ENA07039,大堀里,328桃園市觀音區大同里新華路二段225號,"25.00587, 121.13038",1.0,92.0,大園分局,V,,"25.00587, 121.13038"
224.0,大樓,ENA07040,新坡里,328桃園市觀音區新坡里文中路32巷26號,"25.01448, 121.13664",1.0,854.0,大園分局,,,"25.01448, 121.13664"
225.0,工廠觀音高中,ENA07042,新坡里,328桃園市觀音區新坡里新生路76巷5弄2號,"25.01448, 121.13664",1.0,559.0,大園分局,V,,"25.01448, 121.13664"
226.0,工廠觀音高中,ENA07043,大同里,(機敏單位),,1.0,377.0,大園分局,V,328桃園市觀音區大同里新華路二段596號
227.0,工廠,ENA07044,大同里,(機敏單位),,2.0,1161.0,大園分局,,328桃園市觀音區大同里新華路二段586號
228.0,工廠,ENA07045,富源里,328桃園市觀音區富源里富源七路125號,"24.97573, 121.13736",1.0,784.0,大園分局,V,,"24.97573, 121.13736"
229.0,大樓,ENA07046,金湖里,328桃園市觀音區金湖里中山路一段1119號,"25.02775, 121.10914",1.0,213.0,大園分局,V,,"25.02775, 121.10914"
230.0,大樓,ENA07047,新坡里,328桃園市觀音區新坡里中山路二段519號,"25.01545, 121.13592",1.0,52.0,大園分局,V,,"25.01545, 121.13592"
231.0,大樓,ENA07048,新坡里,328桃園市觀音區新坡里中山路二段519號,"25.01261, 121.13628",1.0,1484.0,大園分局,V,,"25.01261, 121.13628"
232.0,大樓,ENA07049,上大里,328桃園市觀音區上大里中觀路二段185巷36號,"24.97802, 121.16162",1.0,1522.0,大園分局,V,,"24.97802, 121.16162"
233.0,大樓,ENA07050,大同里,328桃園市觀音區大同里福新路1225巷11號,"25.00939, 121.14218",1.0,647.0,大園分局,V,,"25.00939, 121.14218"
234.0,大樓,ENA07051,富源里,328桃園市觀音區富源里忠富路富源段361號,"24.967, 121.14799",1.0,350.0,大園分局,V,,"24.967, 121.14799"
235.0,工廠,ENA07052,崙坪里,328桃園市觀音區崙坪里忠愛路二段198-196號,"25.00045, 121.15962",1.0,843.0,大園分局,V,,"25.00045, 121.15962"
236.0,大樓,ENA07053,崙坪里,328桃園市觀音區崙坪里忠愛路二段198-116號,"25.00045, 121.15962",1.0,1406.0,大園分局,V,,"25.00045, 121.15962"
237.0,工廠,ENA07054,藍埔里,328桃園市觀音區藍埔里石牌路665號,"25.00585, 121.11966",2.0,504.0,大園分局,V,,"25.00585, 121.11966"
238.0,大樓,ENA07055,上大里,328桃園市觀音區上大里10鄰福恩路一段118巷51號,"24.97791, 121.15652",1.0,2965.0,大園分局,,,"24.97791, 121.15652"
239.0,工廠,ENA07056,大堀里,328桃園市大堀里4鄰新華路二段110巷127號,"25.003789, 121.127306",1.0,1376.0,大園分局,,,"25.003789, 121.127306"
240.0,工廠,ENA07057,富源里,328桃園市觀音區富源里15鄰新富路575號,"24.971782451912492, 121.14187796743205",1.0,1697.0,大園分局,V,,"24.971782451912492, 121.14187796743205"
241.0,大樓,ENA07058,新坡里,328桃園市觀音區新坡里16鄰新生路482巷32號2樓,"25.02280756985446, 121.14106498135142",2.0,1105.0,大園分局,V,,"25.02280756985446, 121.14106498135142"
242.0,大樓,ENA08001,草漯里,328桃園市觀音區草漯里大同一路1號,"25.04718, 121.14298",1.0,685.0,大園分局,,,"25.04718, 121.14298"
243.0,工廠,ENA08002,草漯里,328桃園市觀音區草漯里大同一路6號,"25.05764, 121.13031",1.0,136.0,大園分局,,,"25.05764, 121.13031"
244.0,工廠,ENA08003,草漯里,328桃園市觀音區草漯里大同ㄧ路8號,"25.05228, 121.12681",1.0,255.0,大園分局,,,"25.05228, 121.12681"
245.0,大樓,ENA08004,草漯里,328桃園市觀音區草漯里大同ㄧ路10號,"25.05119, 121.12685",1.0,373.0,大園分局,,,"25.05119, 121.12685"
246.0,大樓,ENA08005,草漯里,328桃園市觀音區草漯里大同ㄧ路15號,"25.05024, 121.12748",1.0,100.0,大園分局,,,"25.05024, 121.12748"
247.0,工廠,ENA08007,草漯里,328桃園市觀音區草漯里大同一路23之1號,"25.04613, 121.13315",1.0,110.0,大園分局,,,"25.04613, 121.13315"
248.0,大樓,ENA08009,草漯里,328桃園市觀音區草漯里大同一路28號,"25.04626, 121.13228",1.0,412.0,大園分局,,,"25.04626, 121.13228"
249.0,工廠,ENA08010,草漯里,328桃園市觀音區草漯里榮工北路6號,"25.0458, 121.13307",1.0,36.0,大園分局,,,"25.0458, 121.13307"
250.0,工廠,ENA08011,草漯里,328桃園市觀音區草漯里榮工北路10號,"25.05881, 121.12896",1.0,190.0,大園分局,,,"25.05881, 121.12896"
251.0,工廠,ENA08012,草漯里,328桃園市觀音區草漯里榮工北路11號,"25.05783, 121.12969",1.0,340.0,大園分局,,,"25.05783, 121.12969"
252.0,大樓,ENA08013,草漯里,328桃園市觀音區草漯里榮工北路12號,"25.05839, 121.12983",1.0,475.0,大園分局,,,"25.05839, 121.12983"
253.0,工廠,ENA08014,草漯里,328桃園市觀音區草漯里榮工南路2號,"25.05495, 121.13042",1.0,221.0,大園分局,,,"25.05495, 121.13042"
254.0,大樓,ENA08016,草漯里,328桃園市觀音區草漯里榮工南路6號,"25.04639, 121.13548",1.0,475.0,大園分局,,,"25.04639, 121.13548"
255.0,工廠,ENA08017,草漯里,328桃園市觀音區草漯里榮工南路15號,"25.04883, 121.13606",1.0,191.0,大園分局,,,"25.04883, 121.13606"
256.0,大樓,ENA08018,草漯里,328桃園市觀音區草漯里榮工南路17號,"25.05563, 121.13052",1.0,139.0,大園分局,,,"25.05563, 121.13052"
257.0,工廠,ENA08019,草漯里,328桃園市觀音區草漯里大同二路1號,"25.05387, 121.13019",1.0,100.0,大園分局,,,"25.05387, 121.13019"
258.0,大樓,ENA08020,草漯里,328桃園市觀音區草漯里大同二路5號,"25.04718, 121.14298",1.0,438.0,大園分局,,,"25.04718, 121.14298"
259.0,工廠,ENA08023,草漯里,328桃園市觀音區草漯里大同二路18號,"25.04872, 121.13519",1.0,90.0,大園分局,,,"25.04872, 121.13519"
260.0,大樓,ENA08024,草漯里,328桃園市觀音區草漯里大同二路19號,"25.05512, 121.12434",1.0,31.0,大園分局,,,"25.05512, 121.12434"
261.0,大樓,ENA08025,草漯里,328桃園市觀音區草漯里大同二路20號,"25.04907, 121.13513",1.0,646.0,大園分局,,,"25.04907, 121.13513"
262.0,工廠,ENA08026,草漯里,328桃園市觀音區草漯里大同二路21號,"25.05007, 121.13039",1.0,106.0,大園分局,,,"25.05007, 121.13039"
263.0,工廠,ENA08027,草漯里,328桃園市觀音區草漯里大同二路24號,"25.04954, 121.13554",1.0,71.0,大園分局,,,"25.04954, 121.13554"
264.0,工廠,ENA08028,草漯里,328桃園市觀音區草漯里大同二路36號,"25.04746, 121.13338",1.0,121.0,大園分局,,,"25.04746, 121.13338"
265.0,大樓,ENA08029,草漯里,328桃園市觀音區草漯里大同二路39號,"25.04753, 121.13546",1.0,44.0,大園分局,,,"25.04753, 121.13546"
266.0,大樓,ENA08030,草漯里,328桃園市觀音區草漯里忠孝路546號,"25.05889, 121.13647",1.0,211.0,大園分局,,,"25.05889, 121.13647"
267.0,大樓,ENA08032,草漯里,328桃園市觀音區草漯里大觀路二段189號,"25.04718, 121.14298",1.0,3465.0,大園分局,,,"25.04718, 121.14298"
268.0,工廠,ENA08033,草漯里,328桃園市觀音區草漯里13鄰成功路一段408號,"25.05546, 121.13598",1.0,115.0,大園分局,,,"25.05546, 121.13598"
269.0,工廠,ENA08035,草漯里,328桃園市觀音區草漯里源遠街7號,"25.05075, 121.12821",1.0,181.0,大園分局,,,"25.05075, 121.12821"
270.0,工廠,ENA08036,草漯里,328桃園市觀音區草漯里源遠街8號,"25.05542, 121.13162",1.0,754.0,大園分局,,,"25.05542, 121.13162"
271.0,工廠,ENA08037,草漯里,328桃園市觀音區草漯里源遠街12號,"25.04987, 121.12878",1.0,195.0,大園分局,,,"25.04987, 121.12878"
272.0,大樓,ENA08038,樹林里,328桃園市觀音區樹林里工業一路1號,"25.06491, 121.12908",1.0,147.0,大園分局,,,"25.06491, 121.12908"
273.0,大樓,ENA08039,樹林里,328桃園市觀音區樹林里工業一路5號,"25.06588, 121.12812",1.0,250.0,大園分局,,,"25.06588, 121.12812"
274.0,大樓,ENA08040,樹林里,328桃園市觀音區樹林里工業一路12號,"25.06198, 121.12837",1.0,577.0,大園分局,,,"25.06198, 121.12837"
275.0,工廠,ENA08041,樹林里,328桃園市觀音區樹林里工業一路16號,"25.06839, 121.12765",1.0,40.0,大園分局,,,"25.06839, 121.12765"
276.0,工廠,ENA08045,樹林里,328桃園市觀音區樹林里工業二路12號,"25.06576, 121.12627",1.0,32.0,大園分局,,,"25.06576, 121.12627"
277.0,工廠,ENA08048,樹林里,328桃園市觀音區樹林里工業二路18號,"25.06697, 121.1259",1.0,169.0,大園分局,,,"25.06697, 121.1259"
278.0,工廠,ENA08049,樹林里,328桃園市觀音區樹林里工業二路22號,"25.06713, 121.12478",1.0,119.0,大園分局,,,"25.06713, 121.12478"
279.0,大樓,ENA08050,樹林里,328桃園市觀音區樹林里工業二路23號,"25.06674, 121.12371",1.0,76.0,大園分局,,,"25.06674, 121.12371"
280.0,工廠,ENA08051,樹林里,328桃園市觀音區樹林里工業二路25號,"25.06706, 121.12335",1.0,175.0,大園分局,,,"25.06706, 121.12335"
281.0,大樓,ENA08052,樹林里,328桃園市觀音區樹林里工業二路28號,"25.06198, 121.12837",1.0,224.0,大園分局,,,"25.06198, 121.12837"
282.0,大樓,ENA08053,樹林里,328桃園市觀音區樹林里工業三路1號,"25.05764, 121.12566",1.0,117.0,大園分局,,,"25.05764, 121.12566"
283.0,工廠,ENA08054,樹林里,328桃園市觀音區樹林里工業三路9號,"25.05973, 121.12403",1.0,1034.0,大園分局,,,"25.05973, 121.12403"
284.0,大樓,ENA08055,樹林里,328桃園市觀音區樹林里建國路11號,"25.05267, 121.12613",1.0,80.0,大園分局,,,"25.05267, 121.12613"
285.0,工廠,ENA08057,樹林里,328桃園市觀音區樹林里工業四路7號,"25.05619, 121.11996",3.0,390.0,大園分局,V,,"25.05619, 121.11996"
286.0,公寓,ENA08058,樹林里,328桃園市觀音區樹林里工業四路9號,"25.05708, 121.11948",1.0,1144.0,大園分局,V,,"25.05708, 121.11948"
287.0,公寓,ENA08059,樹林里,328桃園市觀音區樹林里工業四路11號,"25.05841, 121.11892",1.0,156.0,大園分局,,,"25.05841, 121.11892"
288.0,公寓,ENA08060,樹林里,328桃園市觀音區樹林里工業四路12號,"25.0588, 121.1189",1.0,388.0,大園分局,,,"25.0588, 121.1189"
289.0,大樓,ENA08061,樹林里,328桃園市觀音區樹林里工業四路16號,"25.0601, 121.11843",1.0,34.0,大園分局,,,"25.0601, 121.11843"
290.0,大樓,ENA08062,樹林里,328桃園市觀音區樹林里工業五路11號,"25.05622, 121.11595",4.0,461.0,大園分局,,,"25.05622, 121.11595"
291.0,工廠,ENA08063,樹林里,328桃園市觀音區樹林里工業五路17號,"25.0618, 121.11322",1.0,964.0,大園分局,,,"25.0618, 121.11322"
292.0,工廠,ENA08064,樹林里,328桃園市觀音區樹林里經建一路16號,"25.05545, 121.12172",1.0,297.0,大園分局,V,,"25.05545, 121.12172"
293.0,大樓,ENA08065,樹林里,328桃園市觀音區樹林里經建一路28號,"25.05663, 121.12436",1.0,166.0,大園分局,V,,"25.05663, 121.12436"
294.0,大樓,ENA08066,樹林里,328桃園市觀音區樹林里經建一路31號,"25.05715, 121.12247",1.0,118.0,大園分局,V,,"25.05715, 121.12247"
295.0,工廠,ENA08067,樹林里,328桃園市觀音區樹林里經建一路33號,"25.05741, 121.12333",1.0,593.0,大園分局,V,,"25.05741, 121.12333"
296.0,工廠,ENA08068,樹林里,328桃園市觀音區樹林里經建一路33號之1,"25.05741, 121.12333",1.0,1943.0,大園分局,,,"25.05741, 121.12333"
297.0,工廠,ENA08070,樹林里,328桃園市觀音區樹林里經建一路38號,"25.05888, 121.1266",1.0,21.0,大園分局,,,"25.05888, 121.1266"
298.0,工廠,ENA08071,樹林里,328桃園市觀音區樹林里經建一路42號,"25.05917, 121.12736",1.0,160.0,大園分局,,,"25.05917, 121.12736"
299.0,工廠,ENA08072,樹林里,328桃園市觀音區樹林里經建一路47號,"25.05844, 121.12552",1.0,123.0,大園分局,,,"25.05844, 121.12552"
300.0,工廠,ENA08073,樹林里,328桃園市觀音區樹林里經建一路49號,"25.05842, 121.12598",1.0,101.0,大園分局,,,"25.05842, 121.12598"
301.0,工廠,ENA08074,樹林里,328桃園市觀音區樹林里經建一路55號,"25.06198, 121.12837",1.0,577.0,大園分局,,,"25.06198, 121.12837"
302.0,工廠,ENA08077,樹林里,328桃園市觀音區樹林里經建二路3號,"25.05534, 121.11666",1.0,190.0,大園分局,V,,"25.05534, 121.11666"
303.0,工廠,ENA08078,樹林里,328桃園市觀音區樹林里經建二路25號,"25.05783, 121.12024",1.0,282.0,大園分局,,,"25.05783, 121.12024"
304.0,工廠,ENA08079,樹林里,328桃園市觀音區樹林里經建二路28號,"25.05737, 121.12208",1.0,277.0,大園分局,,,"25.05737, 121.12208"
305.0,工廠,ENA08080,樹林里,328桃園市觀音區樹林里工業一路31號,"25.0675, 121.12635",1.0,5053.0,大園分局,,,"25.0675, 121.12635"
306.0,工廠,ENA08081,樹林里,328桃園市觀音區樹林里經建二路33號,"25.05889, 121.12413",1.0,371.0,大園分局,V,,"25.05889, 121.12413"
307.0,工廠,ENA08083,樹林里,328桃園市觀音區樹林里經建二路45號,"25.06005, 121.12537",1.0,363.0,大園分局,,,"25.06005, 121.12537"
308.0,工廠,ENA08084,樹林里,328桃園市觀音區樹林里經建二路46號,"25.05946, 121.12506",1.0,84.0,大園分局,,,"25.05946, 121.12506"
309.0,工廠,ENA08085,樹林里,328桃園市觀音區樹林里經建二路49號,"25.06029, 121.12538",1.0,1068.0,大園分局,,,"25.06029, 121.12538"
310.0,工廠,ENA08086,樹林里,328桃園市觀音區樹林里經建二路52號,"25.06033, 121.12585",1.0,72.0,大園分局,,,"25.06033, 121.12585"
311.0,工廠,ENA08087,樹林里,328桃園市觀音區樹林里經建三路5號,"25.05766, 121.11799",1.0,426.0,大園分局,,,"25.05766, 121.11799"
312.0,工廠,ENA08088,樹林里,328桃園市觀音區樹林里經建三路25、27號,"25.06073, 121.12447",1.0,96.0,大園分局,,,"25.06073, 121.12447"
313.0,工廠,ENA08089,樹林里,328桃園市觀音區樹林里經建三路29號,"25.06122, 121.12437",1.0,115.0,大園分局,,,"25.06122, 121.12437"
314.0,工廠,ENA08090,樹林里,328桃園市觀音區樹林里經建三路33號,"25.06179, 121.12478",1.0,74.0,大園分局,,,"25.06179, 121.12478"
315.0,工廠,ENA08091,樹林里,328桃園市觀音區樹林里經建三路42號,"25.05999, 121.12411",1.0,61.0,大園分局,,,"25.05999, 121.12411"
316.0,工廠,ENA08092,樹林里,328桃園市觀音區樹林里經建三路45號,"25.06131, 121.12513",1.0,60.0,大園分局,,,"25.06131, 121.12513"
317.0,工廠,ENA08093,樹林里,328桃園市觀音區樹林里經建三路46號,"25.0605, 121.12512",1.0,178.0,大園分局,,,"25.0605, 121.12512"
318.0,工廠,ENA08094,樹林里,328桃園市觀音區樹林里經建三路50號,"25.06137, 121.12532",1.0,487.0,大園分局,,,"25.06137, 121.12532"
319.0,工廠,ENA08095,樹林里,328桃園市觀音區樹林里經建三路52號,"25.06211, 121.12608",1.0,244.0,大園分局,,,"25.06211, 121.12608"
320.0,工廠,ENA08096,樹林里,328桃園市觀音區樹林里經建四路7號,"25.05943, 121.11614",1.0,27.0,大園分局,,,"25.05943, 121.11614"
321.0,工廠,ENA08097,樹林里,328桃園市觀音區樹林里經建四路9號,"25.05963, 121.11646",1.0,61.0,大園分局,,,"25.05963, 121.11646"
322.0,工廠,ENA08098,樹林里,328桃園市觀音區樹林里經建四路15號,"25.05963, 121.11784",1.0,403.0,大園分局,,,"25.05963, 121.11784"
323.0,工廠,ENA08099,樹林里,328桃園市觀音區樹林里經建四路17號,"25.05962, 121.11806",1.0,81.0,大園分局,,,"25.05962, 121.11806"
324.0,工廠,ENA08100,樹林里,328桃園市觀音區樹林里經建四路21號,"25.05989, 121.11846",1.0,481.0,大園分局,,,"25.05989, 121.11846"
325.0,工廠,ENA08101,樹林里,328桃園市觀音區樹林里經建四路22號,"25.06176, 121.12366",1.0,25.0,大園分局,,,"25.06176, 121.12366"
326.0,工廠,ENA08103,樹林里,328桃園市觀音區樹林里經建四路32號,"25.06273, 121.12506",1.0,86.0,大園分局,,,"25.06273, 121.12506"
327.0,工廠,ENA08104,樹林里,328桃園市觀音區樹林里經建四路34號,"25.063, 121.1253",1.0,38.0,大園分局,,,"25.063, 121.1253"
328.0,工廠,ENA08105,樹林里,328桃園市觀音區樹林里經建四路36號,"25.06342, 121.12579",1.0,496.0,大園分局,,,"25.06342, 121.12579"
329.0,工廠,ENA08106,樹林里,328桃園市觀音區樹林里經建四路42號,"25.06185, 121.12308",1.0,63.0,大園分局,,,"25.06185, 121.12308"
330.0,工廠,ENA08107,樹林里,328桃園市觀音區樹林里經建四路43號,"25.06216, 121.12376",1.0,112.0,大園分局,,,"25.06216, 121.12376"
331.0,工廠,ENA08108,樹林里,328桃園市觀音區樹林里經建四路45號,"25.06216, 121.12376",1.0,15.0,大園分局,,,"25.06216, 121.12376"
332.0,工廠,ENA08109,樹林里,328桃園市觀音區樹林里經建四路47號,"25.06407, 121.12622",1.0,438.0,大園分局,,,"25.06407, 121.12622"
