編號,地址,避難所在之地下樓層數,可容納人數,經度,緯度,里別,轄管分局
264.0,臺中市烏日區三榮路一段482號,1,543.0,"120.610372 ","24.105820 ",三和里,烏日分局
265.0,臺中市烏日區榮和路29號,1,871.0,"120.603841 ","24.107752 ",榮泉里,烏日分局
266.0,臺中市烏日區環河路四段180號,1,1504.0,"120.606582 ","24.105246 ",三和里,烏日分局
267.0,臺中市烏日區三榮北路122號,1,3903.0,"120.597584 ","24.108174 ",三和里,烏日分局
268.0,臺中市烏日區健行南路15號,1,636.0,"120.604767 ","24.105089 ",榮泉里,烏日分局
269.0,臺中市烏日區健行南路23號,1,708.0,"120.593140 ","24.108871 ",榮泉里,烏日分局
270.0,臺中市烏日區三榮十五路22號,1,3534.0,"120.604232 ","24.106776 ",榮泉里,烏日分局
271.0,臺中市烏日區三榮路一段373號,1,1358.0,"120.596840 ","24.107813 ",三和里,烏日分局
272.0,臺中市龍井區新興路5巷20號,1,308.0,"120.606471 ","24.104579 ",新東里,烏日分局
273.0,臺中市龍井區新興路22巷2弄18號,1,253.0,"120.608825 ","24.107587 ",新東里,烏日分局
274.0,臺中市龍井區新興路22巷2弄20號,12,200.0,120.59714,24.10967,新東里,烏日分局
275.0,臺中市烏日區三民街179號,1,975.0,120.59651,24.10985,烏日里,烏日分局
276.0,臺中市烏日區信義街164巷7號,1,552.0,120.59532,24.10942,仁德里,烏日分局
277.0,臺中市烏日區中山路一段555號,12,1842.0,120.60419,24.10674,仁德里,烏日分局
278.0,臺中市龍井區東海里12鄰遊園北路88號地下第2層,2,1725.0,120.58411,24.187985,東海里,烏日分局
279.0,臺中市龍井區新東里7鄰新興路22巷2弄23號,1,233.0,120.583725,24.181465,新東里,烏日分局
280.0,臺中市龍井區新庄里7鄰遊園南路270巷68號,2,1272.0,120.570064,24.179259,新庄里,烏日分局
281.0,"臺中市龍井區新庄里23鄰中沙路1巷36弄18號
",1,212.0,120.582523,24.18119,新庄里,烏日分局
282.0,"臺中市龍井區新東里11鄰新興路49巷2之1號
",1,109.0,120.5848197,24.1811909,新東里,烏日分局
283.0,"臺中市龍井區新庄里21鄰新庄街二段36巷27號二樓之1
",2,543.0,120.5733108,24.1820598,新庄里,烏日分局
284.0,臺中市龍井區新庄里5鄰新仁路22巷16號,12,464.0,120.579,24.1843,新庄里,烏日分局
285.0,臺中市龍井區新東里新興路25巷1弄18號,1,232.0,120.588637,24.180164,新東里,烏日分局
