編號,地址,經度,緯度,里別,避難所在之地下樓層數,可容納人數,轄管分局,"unnamed (1)","unnamed (2)"
194.0,臺中市北區六合里成功路490號,120.675799,24.147252,六合里,1.0,"  893 ",第二分局,,
195.0,臺中市北區六合里臺灣大道一段632號,120.675625,24.146087,六合里,1.0,"  216 ",第二分局,,
196.0,臺中市北區六合里福龍街99號,120.674561,24.147732,六合里,1.0,"  536 ",第二分局,,
197.0,臺中市北區六合里臺灣大道一段700號,120.674657,24.146993,六合里,1.0,"  343 ",第二分局,,
198.0,臺中市北區光大里湖北街124號,120.677713,24.152778,光大里,1.0,"  1,302 ",第二分局,,
199.0,臺中市北區健行里德化街607號,120.666844,24.161453,健行里,1.0,"  293 ",第二分局,,
200.0,臺中市北區淡溝里博館二街45巷1號,120.667272,24.154333,淡溝里,1.0,"  763 ",第二分局,,
201.0,臺中市北區明德里太原五街13號,120.669908,24.165859,明德里,1.0,"  150 ",第二分局,,
202.0,臺中市北區淡溝里西屯路一段250巷1號,120.668873,24.155912,淡溝里,1.0,"  204 ",第二分局,,
203.0,臺中市北區淡溝里博館二街45巷1號,120.667272,24.154333,淡溝里,1.0,"  449 ",第二分局,,
204.0,臺中市北區中正里民權路222號,120.672343,24.1448,中正里,1.0,"  286 ",第二分局,,
205.0,臺中市北區淡溝里民權路472之9號," 120.67065",24.158790,淡溝里,12.0,"  3,559 ",第二分局,,
206.0,臺中市北區大湖里太平路100號,120.680172,24.149854,大湖里,2.0,"  948 ",第二分局,,
207.0,臺中市北區中正里原子街59號,120.673962,24.14627,中正里,2.0,"  208 ",第二分局,,
208.0,臺中市北區中正里原子街69號,120.67419,24.146419,中正里,2.0,"  489 ",第二分局,,
209.0,臺中市北區中正里臺灣大道一段601號,120.6758833,24.14544693,中正里,1.0,"  323 ",第二分局,,
210.0,臺中市北區中正里中山路391號,120.674578,24.145102,中正里,1.0,"  228 ",第二分局,,
211.0,臺中市北區中正里中山路371號,120.674814,24.144943,中正里,1.0,"  472 ",第二分局,,
212.0,臺中市北區光大里五順街257號,120.678624,24.152463,光大里,1.0,"  260 ",第二分局,,
213.0,臺中市北區光大里五順街269號,120.678365,24.152342,光大里,1.0,"  520 ",第二分局,,
214.0,臺中市北區光大里原子街127巷2弄18號,120.676469,24.149268,光大里,1.0,"  286 ",第二分局,,
215.0,臺中市北區六合里原子街125號,120.675656,24.148164,六合里,2.0,"  469 ",第二分局,,
216.0,臺中市北區中達里英才路236號,120.673081,24.155929,中達里,1.0,"  422 ",第二分局,,
217.0,臺中市北區中達里華中街27號," 120.67203",24.157104,中達里,1.0,"  341 ",第二分局,,
218.0,臺中市北區光大里原子街158號,120.677128,24.148965,光大里,1.0,"  375 ",第二分局,,
219.0,臺中市北區光大里原子街127巷21-2號,120.676305,24.149324,光大里,1.0,"  302 ",第二分局,,
220.0,臺中市北區光大里公園路182號,120.677717,24.150804,光大里,1.0,"  496 ",第二分局,,
221.0,臺中市北區光大里公園路186號,120.677635,24.151022,光大里,1.0,"  291 ",第二分局,,
222.0,臺中市北區大湖里太平路167號,120.679788,24.149432,大湖里,1.0,"  660 ",第二分局,,
223.0,臺中市北區六合里臺灣大道一段640號," 120.67557",24.146390,六合里,1.0,"  180 ",第二分局,,
224.0,臺中市北區五常里五順街158號,120.680846,24.153696,五常里,1.0,"  250 ",第二分局,,
225.0,臺中市北區五常里五義街160號,120.680964,24.154318,五常里,1.0,"  317 ",第二分局,,
226.0,臺中市北區五常里五義街169號,120.680333,24.153715,五常里,1.0,"  324 ",第二分局,,
227.0,臺中市北區淡溝里博館路10號,120.669284,24.15855,淡溝里,3.0,"  800 ",第二分局,,
228.0,臺中市北區錦平里中華路二段120號,120.682311,24.152107,錦平里,1.0,"  219 ",第二分局,,
229.0,臺中市北區淡溝里博館二街62號,120.667101,24.15407,淡溝里,3.0,"  513 ",第二分局,,
230.0,臺中市北區淡溝里育德路170號,120.671459,24.157606,淡溝里,1.0,"  276 ",第二分局,,
231.0,臺中市北區淡溝里大仁街70號,120.669425,24.153949,淡溝里,1.0,"  525 ",第二分局,,
232.0,臺中市北區五常里五權路499號,120.68467,24.154257,五常里,1.0,"  1,819 ",第二分局,,
233.0,臺中市北區邱厝里英才路98號," 120.67812",24.156138,邱厝里,1.0,"  1,544 ",第二分局,,
234.0,臺中市北區光大里英士路29號,120.677053,24.149417,光大里,1.0,"  702 ",第二分局,,
235.0,臺中市北區光大里英士路28號,120.677036,24.149605,光大里,1.0,"  1,268 ",第二分局,,
236.0,臺中市北區六合里五權路166號,120.674903,24.148695,六合里,1.0,"  1,182 ",第二分局,,
237.0,臺中市北區淡溝里英才路386之1號,120.668132,24.154820,淡溝里,1.0,"  1,608 ",第二分局,,
238.0,臺中市北區淡溝里英才路380之1號," 120.66883",24.155505,淡溝里,1.0,"  1,536 ",第二分局,,
239.0,臺中市北區淡溝里英才路390號之5,120.667821,24.154379,淡溝里,1.0,"  694 ",第二分局,,
240.0,臺中市北區大湖里柳川西路四段37號,120.6773291,24.151276,大湖里,1.0,"  100 ",第二分局,,
241.0,臺中市北區六合里成功路450號," 120.67614",24.146917,六合里,1.0,"  161 ",第二分局,,
242.0,臺中市北區五常里學士路98號," 120.68222",24.155017,五常里,2.0,"  3,641 ",第二分局,,
243.0,臺中市北區淡溝里民權路411號,120.6704612,24.15854179,淡溝里,3.0,"  3,914 ",第二分局,,
244.0,臺中市北區淡溝里英才路377號,120.668203,24.154520,淡溝里,1.0,"  1,545 ",第二分局,,
245.0,臺中市北區淡溝里臺灣大道二段362號,120.671248,24.159064,淡溝里,1.0,"  966 ",第二分局,,
246.0,臺中市北區光大里五權路216號,120.676738,24.15070962,光大里,1.0,"  995 ",第二分局,,
247.0,臺中市北區淡溝里育德路187之1號,120.6718969,24.15739263,淡溝里,1.0,"  800 ",第二分局,,
248.0,臺中市北區中達里日盛街59號,120.6716514,24.15311301,中達里,1.0,"  369 ",第二分局,,
249.0,臺中市北區淡溝里西屯路一段226號之3," 120.67078",24.153831,淡溝里,1.0,"  520 ",第二分局,,
