類別,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註,placemark_address
公寓,85.0,光興里,雲林縣斗六市光興里西平路80號,1.0,952.0,斗六分局,,雲林縣斗六市光興里西平路80號
公寓,86.0,光興里,雲林縣斗六市光興里大同路46至48號,1.0,254.0,斗六分局,,雲林縣斗六市光興里大同路46至48號
公寓,87.0,光興里,雲林縣斗六市光興里民生路119號,1.0,182.0,斗六分局,,雲林縣斗六市光興里民生路119號
公寓,88.0,光興里,雲林縣斗六市光興里雲林路1段60號,1.0,188.0,斗六分局,,雲林縣斗六市光興里雲林路1段60號
公寓,89.0,成功里,雲林縣斗六市成功里榮譽路91號之93,1.0,733.0,斗六分局,,雲林縣斗六市成功里榮譽路91號之93
公寓,90.0,成功里,雲林縣斗六市成功里五權路80號,1.0,517.0,斗六分局,,雲林縣斗六市成功里五權路80號
公寓,91.0,成功里,雲林縣斗六市成功里民族路50號,1.0,432.0,斗六分局,,雲林縣斗六市成功里民族路50號
公寓,92.0,成功里,雲林縣斗六市成功里成功路435巷127號,1.0,316.0,斗六分局,,雲林縣斗六市成功里成功路435巷127號
公寓,93.0,成功里,雲林縣斗六市成功里鎮東路338號,1.0,1024.0,斗六分局,,雲林縣斗六市成功里鎮東路338號
公寓,94.0,成功里,雲林縣斗六市成功里鎮東路356巷68號、天祥街77號,1.0,458.0,斗六分局,,雲林縣斗六市成功里鎮東路356巷68號、天祥街77號
公寓,95.0,成功里,雲林縣斗六市成功里富強街37號,1.0,994.0,斗六分局,,雲林縣斗六市成功里富強街37號
公寓,96.0,成功里,雲林縣斗六市成功里復國街16號之32,1.0,1324.0,斗六分局,,雲林縣斗六市成功里復國街16號之32
慈德工業社,97.0,成功里,雲林縣斗六市成功里榮譽路30號之1,1.0,112.0,斗六分局,,雲林縣斗六市成功里榮譽路30號之1
瑞興工業社,98.0,成功里,雲林縣斗六市成功里大學路540號,1.0,124.0,斗六分局,,雲林縣斗六市成功里大學路540號
斗六國小,99.0,成功里,雲林縣斗六市成功里4鄰鎮東路225號,1.0,2656.0,斗六分局,,雲林縣斗六市成功里4鄰鎮東路225號
斗六國小,100.0,成功里,雲林縣斗六市成功里4鄰鎮東路515號,1.0,1660.0,斗六分局,,雲林縣斗六市成功里4鄰鎮東路515號
信安醫院,101.0,江厝里,雲林縣斗六市江厝里瓦厝路159號,1.0,1013.0,斗六分局,,雲林縣斗六市江厝里瓦厝路159號
公寓,102.0,忠孝里,雲林縣斗六市忠孝里內環路661號,1.0,680.0,斗六分局,,雲林縣斗六市忠孝里內環路661號
公寓,103.0,忠孝里,雲林縣斗六市忠孝里文化路138號,1.0,408.0,斗六分局,,雲林縣斗六市忠孝里文化路138號
公寓,104.0,忠孝里,雲林縣斗六市忠孝里永安路72號,1.0,489.0,斗六分局,,雲林縣斗六市忠孝里永安路72號
公寓,105.0,忠孝里,雲林縣斗六市忠孝里內環路630號,1.0,148.0,斗六分局,,雲林縣斗六市忠孝里內環路630號
公寓,106.0,忠孝里,雲林縣斗六市忠孝里內環路1.3.5.7號,1.0,529.0,斗六分局,,雲林縣斗六市忠孝里內環路1.3.5.7號
公寓,107.0,忠孝里,雲林縣斗六市忠孝里永安路46號,1.0,1322.0,斗六分局,,雲林縣斗六市忠孝里永安路46號
公寓,108.0,忠孝里,雲林縣斗六市忠孝里大同路252號,1.0,286.0,斗六分局,,雲林縣斗六市忠孝里大同路252號
公寓,109.0,忠孝里,雲林縣斗六市忠孝里大同路123號,1.0,114.0,斗六分局,,雲林縣斗六市忠孝里大同路123號
公寓,110.0,忠孝里,雲林縣斗六市忠孝里中正路23號,1.0,128.0,斗六分局,,雲林縣斗六市忠孝里中正路23號
不公開,111.0,忠孝里,雲林縣斗六市忠孝里文化路38號,1.0,849.0,斗六分局,,雲林縣斗六市忠孝里文化路38號
不公開,112.0,忠孝里,雲林縣斗六市忠孝里文化路38號,1.0,966.0,斗六分局,,雲林縣斗六市忠孝里文化路38號
不公開,113.0,忠孝里,雲林縣斗六市忠孝里大同路109號,1.0,513.0,斗六分局,,雲林縣斗六市忠孝里大同路109號
公寓,114.0,林中村,雲林縣林內鄉林中村光復路2-3號,1.0,133.0,斗六分局,,雲林縣林內鄉林中村光復路2-3號
林內鄉公所,115.0,林中村,雲林縣林內鄉林中村中正路340號,1.0,128.0,斗六分局,,雲林縣林內鄉林中村中正路340號
合眾紙業公司,116.0,林中村,雲林縣林內鄉林中村瑞農路65號,1.0,118.0,斗六分局,,雲林縣林內鄉林中村瑞農路65號
不公開,117.0,林中村,雲林縣林內鄉林中村中西路21號,1.0,517.0,斗六分局,,雲林縣林內鄉林中村中西路21號
不公開,118.0,林中村,雲林縣林內鄉林中村中正路42號,1.0,346.0,斗六分局,,雲林縣林內鄉林中村中正路42號
不公開,119.0,林中村,雲林縣林內鄉林中村中正路382號,1.0,512.0,斗六分局,,雲林縣林內鄉林中村中正路382號
淵明國中,120.0,林中村,雲林縣林內鄉林中村公園路3號,1.0,1810.0,斗六分局,,雲林縣林內鄉林中村公園路3號
公寓,121.0,林頭里,雲林縣斗六市林頭里21鄰大學路1段599號,1.0,1294.0,斗六分局,,雲林縣斗六市林頭里21鄰大學路1段599號
公寓,122.0,林頭里,雲林縣斗六市林頭里福德街43-49號,1.0,1173.0,斗六分局,,雲林縣斗六市林頭里福德街43-49號
公寓,123.0,林頭里,雲林縣斗六市林頭里福德街46-52號,1.0,864.0,斗六分局,,雲林縣斗六市林頭里福德街46-52號
菸酒公賣局,124.0,林頭里,雲林縣斗六市林頭里南聖路45號,1.0,178.0,斗六分局,,雲林縣斗六市林頭里南聖路45號
南聖宮管理委員會(左),125.0,林頭里,雲林縣斗六市林頭里3鄰南聖路301號,1.0,37.0,斗六分局,,雲林縣斗六市林頭里3鄰南聖路301號
南聖宮管理委員會(右),126.0,林頭里,雲林縣斗六市林頭里3鄰南聖路301號,1.0,194.0,斗六分局,,雲林縣斗六市林頭里3鄰南聖路301號
