編號,村里別,地址,可容納人數,轄區分局,經度,緯度,避難所在之地下樓層數
196.0,豐榮里,臺中市豐原區豐榮里三民路190巷21號,61.0,豐原分局,"120.717935 ","24.254104 ",1.0
197.0,豐榮里,臺中市豐原區豐榮里三民路190巷1弄3號,14.0,豐原分局,"120.717823 ","24.253653 ",1.0
198.0,豐榮里,臺中市豐原區豐榮里三民路190巷1弄4號,17.0,豐原分局,"120.717906 ","24.253646 ",1.0
199.0,豐榮里,臺中市豐原區豐榮里三民路190巷18號,27.0,豐原分局,"120.718062 ","24.254102 ",1.0
200.0,豐榮里,臺中市豐原區豐榮里三民路190巷16號,20.0,豐原分局,"120.718064 ","24.254059 ",1.0
201.0,豐榮里,臺中市豐原區豐榮里三民路190巷6-1號,27.0,豐原分局,"120.718065 ","24.253848 ",1.0
202.0,豐榮里,臺中市豐原區豐榮里三民路1135號,14.0,豐原分局,"120.719483 ","24.253430 ",1.0
203.0,豐榮里,臺中市豐原區豐榮里三民路173號,17.0,豐原分局,"120.717913 ","24.253233 ",1.0
204.0,豐榮里,臺中市豐原區豐榮里三民路190巷24號,8.0,豐原分局,"120.718059 ","24.254230 ",1.0
205.0,豐榮里,臺中市豐原區豐榮里三民路190巷22號,17.0,豐原分局,"120.718061 ","24.254187 ",1.0
206.0,豐榮里,臺中市豐原區豐榮里三民路178號,17.0,豐原分局,"120.718408 ","24.253453 ",1.0
207.0,豐榮里,臺中市豐原區豐榮里三民路134號,44.0,豐原分局,"120.719476 ","24.253596 ",1.0
208.0,豐榮里,臺中市豐原區豐榮里三民路128號,41.0,豐原分局,"120.719565 ","24.253606 ",1.0
209.0,豐榮里,臺中市豐原區豐榮里三民路132號,41.0,豐原分局,"120.719476 ","24.253596 ",1.0
210.0,豐榮里,臺中市豐原區豐榮里三民路124號,34.0,豐原分局,"120.719652 ","24.253616 ",1.0
211.0,豐榮里,臺中市豐原區豐榮里三民路120號,70.0,豐原分局,"120.719746 ","24.253627 ",1.0
212.0,豐榮里,臺中市豐原區豐榮里三民路122號,70.0,豐原分局,"120.719699 ","24.253623 ",1.0
213.0,豐榮里,臺中市豐原區豐榮里三民路114號,68.0,豐原分局,"120.719877 ","24.253647 ",1.0
214.0,豐榮里,臺中市豐原區豐榮里三民路112號,47.0,豐原分局,"120.719925 ","24.253651 ",1.0
